'day	d a j
reporma	ɾ e p o ɾ m a
repormado	ɾ e p o ɾ m a d o
repormasyon	ɾ e p o ɾ m a s j o n
repormista	ɾ e p o ɾ m i s t a
reportahe	ɾ e p o ɾ t a h e
repositoryo	ɾ e p o s i t o ɾ j o
repregunta	ɾ e p ɾ e ɡ u n t a
representante	ɾ e p ɾ e s e n t a n t e
representasyon	ɾ e p ɾ e s e n t a s j o n
represko	ɾ e p ɾ e s k o
represyon	ɾ e p ɾ e s j o n
repridyeretor	ɾ e p ɾ i d j e ɾ e t o ɾ
repridyereytor	ɾ e p ɾ i d j e ɾ e j t o ɾ
repriherador	ɾ e p ɾ i h e ɾ a d o ɾ
repriherasyon	ɾ e p ɾ i h e ɾ a s j o n
reproduksiyon	ɾ e p ɾ o d u k s i o n
reptil	ɾ e p t i l
reptilya	ɾ e p t i l j a
republika	ɾ e p u b l i k a
republikanismo	ɾ e p u b l i k a n i s m o
republikano	ɾ e p u b l i k a n o
reputasyon	ɾ e p u t a s j o n
resaytal	ɾ e s a j t a l
resbak	ɾ e s b a k
resbakan	ɾ e s b a k a n
resepsiyon	ɾ e s e p s i o n
reserba	ɾ e s e ɾ b a
reserbado	ɾ e s e ɾ b a d o
reserbasyon	ɾ e s e ɾ b a s j o n
reseta	ɾ e s e t a
resetaryo	ɾ e s e t a ɾ j o
resibaryo	ɾ e s i b a ɾ j o
resibo	ɾ e s i b o
residensiya	ɾ e s i d e n s i a
residensiyal	ɾ e s i d e n s i a l
residente	ɾ e s i d e n t e
resignasyon	ɾ e s i ɡ n a s j o n
resina	ɾ e s i n a
resipe	ɾ e s i p e
resipi	ɾ e s i p i
resistansiya	ɾ e s i s t a n s i a
resistansya	ɾ e s i s t a n s j a
resistensiya	ɾ e s i s t e n s i a
resistensya	ɾ e s i s t e n s j a
resitasyon	ɾ e s i t a s j o n
resma	ɾ e s m a
resolba	ɾ e s o l b a
resolbe	ɾ e s o l b e
resolusyon	ɾ e s o l u s j o n
resonable	ɾ e s o n a b l e
respetable	ɾ e s p e t a b l e
respeto	ɾ e s p e t o
respirasyon	ɾ e s p i ɾ a s j o n
respiratoryo	ɾ e s p i ɾ a t o ɾ j o
respondante	ɾ e s p o n d a n t e
responde	ɾ e s p o n d e
respondente	ɾ e s p o n d e n t e
respondiyante	ɾ e s p o n d i a n t e
respondiyente	ɾ e s p o n d i e n t e
respondyante	ɾ e s p o n d j a n t e
respondyente	ɾ e s p o n d j e n t e
responsabilidad	ɾ e s p o n s a b i l i d a d
responsable	ɾ e s p o n s a b l e
responsibilidad	ɾ e s p o n s i b i l i d a d
restauran	ɾ e s t a w ɾ a n
restawran	ɾ e s t a w ɾ a n
restitusyon	ɾ e s t i t u s j o n
restituto	ɾ e s t i t u t o
restoran	ɾ e s t o ɾ a n
restorasyon	ɾ e s t o ɾ a s j o n
restorasyonista	ɾ e s t o ɾ a s j o n i s t a
restriksiyon	ɾ e s t ɾ i k s i o n
resuello	ɾ e s w e l j o
resulba	ɾ e s u l b a
resulta	ɾ e s u l t a
resultado	ɾ e s u l t a d o
resureksiyon	ɾ e s u ɾ e k s i o n
resurreccion	ɾ e s u ɾ e k s i o n
retaso	ɾ e t a s o
retensiyon	ɾ e t e n s i o n
retirada	ɾ e t i ɾ a d a
retirado	ɾ e t i ɾ a d o
retiro	ɾ e t i ɾ o
reto	ɾ e t o
retokado	ɾ e t o k a d o
retoke	ɾ e t o k e
retorika	ɾ e t o ɾ i k a
retraksiyon	ɾ e t ɾ a k s i o n
retratista	ɾ e t ɾ a t i s t a
retrato	ɾ e t ɾ a t o
retribusyon	ɾ e t ɾ i b u s j o n
retroaktibo	ɾ e t ɾ o ʔ a k t i b o
retsam	ɾ e t s a m
reunyon	ɾ e ʔ u n j o n
revelo	ɾ e b e l o
reyal	ɾ e a l
reyalidad	ɾ e a l i d a d
reyalisasyon	ɾ e a l i s a s j o n
reyalismo	ɾ e a l i s m o
reyalista	ɾ e a l i s t a
reyes	ɾ e j e s
reyna	ɾ e j n a
reynato	ɾ e j n a t o
reyno	ɾ e j n o
reynoso	ɾ e j n o s o
reyp	ɾ e j p
ribal	ɾ i b a l
ribete	ɾ i b e t e
ribyu	ɾ i b j u
ribyuhin	ɾ i b j u h i n
ricafort	ɾ i k a f o ɾ t
ricafrente	ɾ i k a f ɾ e n t e
ricardo	ɾ i k a ɾ d o
ricarte	ɾ i k a ɾ t e
ricky	ɾ i k i
rido	ɾ i d o
rigalo	ɾ i ɡ a l o
rigodon	ɾ i ɡ o d o n
rigudon	ɾ i ɡ u d o n
rikonosi	ɾ i k o n o s i
rikrut	ɾ i k ɾ u t
rikruter	ɾ i k ɾ u t e ɾ
riles	ɾ i l e s
rilos	ɾ i l o s
rimando	ɾ i m a n d o
rimarim	ɾ i m a ɾ i m
rimas	ɾ i m a s
rin	ɾ e n
rindi	ɾ i n d i
rine	ɾ i n e
rinef	ɾ i n e f
ringgit	ɾ i ŋ ɡ i t
ringring	ɾ i ŋ ɾ i ŋ
rini	ɾ i n i
rinoseronte	ɾ i n o s e ɾ o n t e
riple	ɾ i p l e
risonable	ɾ i s o n a b l e
ritmiko	ɾ i t m i k o
ritmo	ɾ i t m o
rito	ɾ i t o
ritrato	ɾ i t ɾ a t o
ritwal	ɾ i t w a l
rivero	ɾ i b e ɾ o
riyan	ɾ i a n
riyenda	ɾ i e n d a
riyesgo	ɾ i e s ɡ o
rizal	ɾ i s a l
rizalina	ɾ i s a l i n a
rizalino	ɾ i s a l i n o
riñon	ɾ i n j o n
roa	ɾ o a
roberto	ɾ o b e ɾ t o
robles	ɾ o b l e s
robman	ɾ o b m a n
robot	ɾ o b o t
rocafort	ɾ o k a f o ɾ t
rocky	ɾ a k i
rodolfo	ɾ o d o l f o
rodrigo	ɾ o d ɾ i ɡ o
rodriguez	ɾ o d ɾ i ɡ e s
rody	ɾ o d i
rogelio	ɾ o h e l j o
rolando	ɾ o l a n d o
roler	ɾ o l e ɾ
rolly	ɾ o l i
rolyo	ɾ o l j o
romana	ɾ o m a n a
romano	ɾ o m a n o
romansa	ɾ o m a n s a
romantiko	ɾ o m a n t i k o
romasanta	ɾ o m a s a n t a
romblon	ɾ o m b l o n
romero	ɾ o m e ɾ o
rompida	ɾ o m p i d a
romualdez	ɾ o m w a l d e s
romualdo	ɾ o m w a l d o
romulo	ɾ o m u l o
ronda	ɾ o n d a
rondalya	ɾ o n d a l j a
rondilla	ɾ o n d i l j a
rongavilla	ɾ o ŋ ɡ a b i l j a
ronquillo	ɾ o ŋ k i l j o
roon	ɾ o ʔ o n
ropero	ɾ o p e ɾ o
roro	ɾ o ɾ o
rosa	ɾ o s a
rosales	ɾ o s a l e s
rosalina	ɾ o s a l i n a
rosalinda	ɾ o s a l i n d a
rosario	ɾ o s a ɾ j o
rosaryo	ɾ o s a ɾ j o
rosas	ɾ o s a s
rosauro	ɾ o s a w ɾ o
rose	ɾ o w s
rosemary	ɾ o w s m e ɾ i
rosendo	ɾ o s e n d o
rosete	ɾ o s e t e
rosie	ɾ o w s i
rosillo	ɾ o s i l j o
rosing	ɾ o s i ŋ
rosita	ɾ o s i t a
roskas	ɾ o s k a s
rotasyon	ɾ o t a s j o n
rotograbado	ɾ o t o ɡ ɾ a b a d o
rotonda	ɾ o t o n d a
rotunda	ɾ o t u n d a
roxanne	ɾ o k s a n
roxas	ɾ o h a s
roño	ɾ o n j o
rubi	ɾ u b i
rubilyn	ɾ u b i l i n
rubio	ɾ u b j o
rubriks	ɾ u b ɾ i k s
ruby	ɾ u b i
rubya	ɾ u b j a
rubyo	ɾ u b j o
ruedas	ɾ u e d a s
ruler	ɾ u l e ɾ
ruleta	ɾ u l e t a
rumaan	ɾ u m a ʔ a n
rumana	ɾ u m a n a
rumano	ɾ u m a n o
rumanya	ɾ u m a n j a
rumba	ɾ u m b a
rumesbak	ɾ u m e s b a k
rumi	ɾ u m i
rumonda	ɾ u m o n d a
rumor	ɾ u m o ɾ
rumupok	ɾ u m u p o k
rumurupok	ɾ u m u ɾ u p o k
rupero	ɾ u p e ɾ o
rupok	ɾ u p o k
rupya	ɾ u p j a
rurok	ɾ u ɾ o k
rurupok	ɾ u ɾ u p o k
rusa	ɾ u s a
ruso	ɾ u s o
rusya	ɾ u s j a
ruta	ɾ u t a
ruweda	ɾ u e d a
ruwina	ɾ u i n a
s	s
s'loton	s l o t o n
s'ya	s j a
sa	s a
sa'kin	s a k i n
sa'min	s a m i n
sa'tin	s a t i n
sa'yo	s a j o
saa	s a ʔ a
saab	s a ʔ a b
saad	s a ʔ a d
saak	s a ʔ a k
saan	s a n
saanman	s a ʔ a n m a n
saat	s a ʔ a t
saavedra	s a ʔ a b e d ɾ a
sab	s a b
saba	s a b a
sabad	s a b a d
sabadista	s a b a d i s t a
sabado	s a b a d o
sabak	s a b a k
sabal	s a b a l
sabalo	s a b a l o
sabana	s a b a n a
sabangan	s a b a ŋ a n
sabansaan	s a b a n s a ʔ a n
sabanyon	s a b a n j o n
sabat	s a b a t
sabater	s a b a t e ɾ
sabaw	s a b a w
sabay	s a b a j
sabdiyek	s a b d i e k
sabdyek	s a b d j e k
sabeismo	s a b e i s m o
sabeniano	s a b e n j a n o
sabi	s a b e
sabihan	s a b i h a n
sabihin	s a b i h i n
sabik	s a b i k
sabila	s a b i l a
sabilaw	s a b i l a w
sabillo	s a b i l j o
sabisabi	s a b i s a b i
sabit	s a b i t
sabjek	s a b d j e k
sablan	s a b l a n
sablay	s a b l a j
sable	s a b l e
sabo	s a b o
sabog	s a b o ɡ
sabon	s a b o n
sabong	s a b o ŋ
sabongera	s a b o ŋ e ɾ a
sabongero	s a b o ŋ e ɾ o
sabotahe	s a b o t a h e
saboy	s a b o j
sabsab	s a b s a b
sabsaban	s a b s a b a n
sabsidiya	s a b s i d i a
sabsidya	s a b s i d j a
sabtang	s a b t a ŋ
sabukot	s a b u k o t
sabunan	s a b u n a n
sabungan	s a b u ŋ a n
sabungero	s a b u ŋ e ɾ o
sabunin	s a b u n i n
sabunot	s a b u n o t
sabunutan	s a b u n u t a n
saburo	s a b u ɾ o
sabutan	s a b u t a n
sabwat	s a b w a t
sabwatan	s a b w a t a n
sacdalan	s a k d a l a n
saclolo	s a k l o l o
sadagipik	s a d a ɡ i p i k
sadagipikan	s a d a ɡ i p i k a n
sadaka	s a d a k a
sadanga	s a d a ŋ a
sadaqa	s a d a k a
sadhan	s a d h a n
sadie	s e j d i
sadismo	s a d i s m o
sadista	s a d i s t a
sadiwa	s a d i w a
sadiwantao	s a d i w a n t a ʔ o
sadiya	s a d i a ʔ
sadlak	s a d l a k
sadlok	s a d l o k
sadol	s a d o l
sadsad	s a d s a d
saduceo	s a d u s e o
saduseo	s a d u s e o
saduseyo	s a d u s e o
sadya	s a d j a ʔ
sadyain	s a d j a ʔ i n
saga	s a ɡ a
sagaak	s a ɡ a ʔ a k
sagabal	s a ɡ a b a l
sagad	s a ɡ a d
sagada	s a ɡ a d a
sagadsad	s a ɡ a d s a d
sagal	s a ɡ a l
sagala	s a ɡ a l a
sagam	s a ɡ a m
sagana	s a ɡ a n a
sagansan	s a ɡ a n s a n
sagap	s a ɡ a p
sagasa	s a ɡ a s a ʔ
sagasag	s a ɡ a s a ɡ
sagasain	s a ɡ a s a ʔ i n
sagat	s a ɡ a t
sagay	s a ɡ a j
sagayad	s a ɡ a j a d
sagaysay	s a ɡ a j s a j
sagbayan	s a ɡ b a j a n
saghoy	s a ɡ h o j
sagi	s a ɡ e ʔ
sagid	s a ɡ i d
sagilap	s a ɡ i l a p
sagimis	s a ɡ i m i s
sagimsim	s a ɡ i m s i m
sagimuymoy	s a ɡ i m u j m o j
saging	s a ɡ i ŋ
sagingan	s a ɡ i ŋ a n
saginsin	s a ɡ i n s i n
sagip	s a ɡ i p
sagisag	s a ɡ i s a ɡ
sagitan	s a ɡ i t a n
sagitaryo	s a ɡ i t a ɾ j o
sagitsit	s a ɡ i t s i t
sagka	s a ɡ k a ʔ
sagkaan	s a ɡ k a ʔ a n
saglit	s a ɡ l e t
sagnay	s a ŋ a j
sago	s a ɡ o
sagot	s a ɡ o t
sagoy	s a ɡ o j
sagpak	s a ɡ p a k
sagpi	s a ɡ p i ʔ
sagrado	s a ɡ ɾ a d o
sags	s a ɡ s
sagsag	s a ɡ s a ɡ
sagubang	s a ɡ u b a ŋ
saguid	s a ɡ i d
saguinsin	s a ɡ i n s i n
sagun	s a ɡ u n
sagupa	s a ɡ u p a ʔ
sagutan	s a ɡ u t a n
sagutin	s a ɡ u t i n
sagwa	s a ɡ w a ʔ
sagwan	s a ɡ w a n
sagwil	s a ɡ w i l
sagñay	s a ŋ a j
saha	s a h a ʔ
sahagun	s a h a ɡ u n
sahang	s a h a ŋ
sahat	s a h a t
sahig	s a h e ɡ
sahing	s a h i ŋ
sahitaryo	s a h i t a ɾ j o
saho	s a h o ʔ
sahod	s a h o d
sahog	s a h o ɡ
sahol	s a h o l
sahon	s a h o n
sahuran	s a h u ɾ a n
said	s a ʔ i d
saidlain	s a j d l a j n
saikawalo	s a ʔ i k a w a l o
sailalim	s a ʔ i l a l i m
saimsim	s a ʔ i m s i m
saing	s a ʔ i ŋ
sais	s a ʔ i s
saito	s a j t o
sajada	s a d j a d a
saka	s a k a
sakag	s a k a ɡ
sakahan	s a k a h a n
sakal	s a k a l
sakalam	s a k a l a m
sakali	s a k a l e ʔ
sakalin	s a k a l i n
sakam	s a k a m
sakang	s a k a ŋ
sakapuwego	s a k a p u e ɡ o
sakapwego	s a k a p w e ɡ o
sakate	s a k a t e
sakay	s a k a j
sakayan	s a k a j a n
sakdal	s a k d a l
saket	s a k e t
sakidlat	s a k i d l a t
sakil	s a k i l
sakim	s a k i m
sakit	s a k e t
sakitin	s a k i t i n
sakla	s a k l a ʔ
saklamento	s a k l a m e n t o
saklang	s a k l a ŋ
saklap	s a k l a p
saklaw	s a k l a w
saklay	s a k l a j
saklit	s a k l i t
saklob	s a k l o b
saklolo	s a k l o l o
sakmal	s a k m a l
sakmata	s a k m a t a
sakmura	s a k m u ɾ a ʔ
saknong	s a k n o ŋ
sako	s a k o
sakob	s a k o b
sakol	s a k o l
sakon	s a k o n
sakong	s a k o ŋ
sakop	s a k o p
sakote	s a k o t e
sakramento	s a k ɾ a m e n t o
sakrilehiyo	s a k ɾ i l e h i o
sakripisyo	s a k ɾ i p i s j o
sakristan	s a k ɾ i s t a n
sakristiya	s a k ɾ i s t i a
saks	s a k s
saksa	s a k s a ʔ
saksak	s a k s a k
saksakan	s a k s a k a n
saksakin	s a k s a k i n
sakses	s a k s e s
saksi	s a k s i
saksihan	s a k s i h a n
saktan	s a k t a n
sakto	s a k t o
sakuna	s a k u n a
sakupbayan	s a k u p b a j a n
sakwa	s a k w a
sakwako	s a k w a k o
sakya	s a k j a ʔ
sakyamuni	s a k j a m u n i
sakyan	s a k j a n
sala	s a l a
salaan	s a l a ʔ a n
salab	s a l a b
salabat	s a l a b a t
salabay	s a l a b a j
salabid	s a l a b i d
saladin	s a l a d i n
saladyo	s a l a d j o
salag	s a l a ɡ
salaghati	s a l a ɡ h a t i ʔ
salagimsim	s a l a ɡ i m s i m
salaginto	s a l a ɡ i n t o ʔ
salagoy	s a l a ɡ o j
salagubang	s a l a ɡ u b a ŋ
salahilo	s a l a h i l o
salahula	s a l a h u l a ʔ
salain	s a l a ʔ i n
salakab	s a l a k a b
salakat	s a l a k a t
salakata	s a l a k a t a ʔ
salakay	s a l a k a j
salakayin	s a l a k a j i n
salakot	s a l a k o t
salalak	s a l a l a k
salalay	s a l a l a j
salamangka	s a l a m a ŋ k a
salamangkero	s a l a m a ŋ k e ɾ o
salamat	s a l a m a t
salamats	s a l a m a t s
salami	s a l a m i
salamin	s a l a m i n
salamisim	s a l a m i s i m
salampak	s a l a m p a k
salampay	s a l a m p a j
salamuch	s a l a m a t s
salamuha	s a l a m u h a ʔ
salandanan	s a l a n d a n a n
salang	s a l a ŋ
salanggapang	s a l a ŋ ɡ a p a ŋ
salangit	s a l a ŋ i t
salangkipot	s a l a ŋ k i p o t
salansan	s a l a n s a n
salanta	s a l a n t a ʔ
salap	s a l a p
salapang	s a l a p a ŋ
salapaw	s a l a p a w
salapi	s a l a p i ʔ
salapid	s a l a p i d
salapot	s a l a p o t
salapsap	s a l a p s a p
salara	s a l a ɾ a
salarin	s a l a ɾ i n
salaryo	s a l a ɾ j o
salas	s a l a s
salasa	s a l a s a ʔ
salasala	s a l a s a l a
salat	s a l a t
salatan	s a l a t a n
salaula	s a l a ʔ u l a ʔ
salaveria	s a l a b e ɾ j a
salawa	s a l a w a
salawag	s a l a w a ɡ
salawahan	s a l a w a h a n
salawak	s a l a w a k
salawal	s a l a w a l
salawikain	s a l a w i k a ʔ i n
salawilis	s a l a w i l i s
salawsaw	s a l a w s a w
salay	s a l a j
salaysay	s a l a j s a j
salazar	s a l a s a ɾ
salba	s a l b a
salbabida	s a l b a b i d a
salbahe	s a l b a h e
salbakuta	s a l b a k u t a
salceda	s a l s e d a
salcedo	s a l s e d o
saldaña	s a l d a n j a
saleko	s a l e k o
salero	s a l e ɾ o
sales	s a l e s
salgado	s a l ɡ a d o
sali	s a l e
salida	s a l i d a
salidangdang	s a l i d a ŋ d a ŋ
salig	s a l i ɡ
saligan	s a l i ɡ a n
salik	s a l i k
salikmata	s a l i k m a t a
salikop	s a l i k o p
saliksik	s a l i k s i k
salimao	s a l i m a ʔ o
salimpusa	s a l i m p u s a ʔ
salimuot	s a l i m u ʔ o t
salin	s a l i n
salinas	s a l i n a s
saling	s a l i ŋ
salingket	s a l i ŋ k e t
salinidad	s a l i n i d a d
salinlahi	s a l i n l a h i ʔ
salipadpad	s a l i p a d p a d
salipapaw	s a l i p a p a w
salipawpaw	s a l i p a w p a w
salirandang	s a l i ɾ a n d a ŋ
salirangdang	s a l i ɾ a ŋ d a ŋ
salirangrang	s a l i ɾ a ŋ ɾ a ŋ
saliranrang	s a l i ɾ a n ɾ a ŋ
saliro	s a l i ɾ o
salisi	s a l i s i
salisipan	s a l i s i p a n
salit	s a l i t
salita	s a l i t a ʔ
salitain	s a l i t a ʔ i n
salitikan	s a l i t i k a n
salitin	s a l i t i n
salitre	s a l i t ɾ e
saliw	s a l i w
saliwa	s a l i w a ʔ
sallapadan	s a l l a p a d a n
sally	s a l i
salmo	s a l m o
salmon	s a l m o n
salo	s a l o
salog	s a l o ɡ
salok	s a l o k
salong	s a l o ŋ
salonga	s a l o ŋ ɡ a
saloobin	s a l o ʔ o b i n
saloong	s a l o ʔ o ŋ
salop	s a l o p
salot	s a l o t
saloy	s a l o j
salpikaw	s a l p i k a w
salpok	s a l p o k
salpukin	s a l p u k i n
salsa	s a l s a
salsahan	s a l s a h a n
salsal	s a l s a l
salsitsas	s a l s i t s a s
salsitson	s a l s i t s o n
salt	s o l t
salta	s a l t a
saltik	s a l t i k
salubayo	s a l u b a j o
salubong	s a l u b o ŋ
salubsob	s a l u b s o b
salud	s a l u d
saludo	s a l u d o
salukoy	s a l u k o j
salulo	s a l u l o ʔ
salumbides	s a l u m b i d e s
salumpong	s a l u m p o ŋ
salumpuwit	s a l u m p u i t
salungat	s a l u ŋ a t
salungguhit	s a l u ŋ ɡ u h i t
salungguhitan	s a l u ŋ ɡ u h i t a n
salungki	s a l u ŋ k i ʔ
salungso	s a l u ŋ s o ʔ
saluno	s a l u n o ʔ
saluobin	s a l u ʔ o b i n
saluong	s a l u ʔ o ŋ
saluubin	s a l u ʔ u b i n
saluwal	s a l u a l
saluyan	s a l u j a n
saluyot	s a l u j o t
saluysoy	s a l u j s o j
salva	s a l b a
salvacion	s a l b a s j o n
salvador	s a l b a d o ɾ
salvage	s a l b e j d s
salvanera	s a l b a n e ɾ a
salvatierra	s a l b a t i e ɾ a
salwa	s a l w a
salwak	s a l w a k
sam	s a m
sama	s a m a
samahan	s a m a h a n
samain	s a m a ʔ i n
samakailan	s a m a k a j l a n
samakalawa	s a m a k a l a w a
samakatlo	s a m a k a t l o
samakatuwid	s a m a k a t u i d
samakatwid	s a m a k a t w i d
samal	s a m a l
samalamig	s a m a l a m i ɡ
samaniego	s a m a n j e ɡ o
samantala	s a m a n t a l a
samantha	s a m a n t a
samar	s a m a ɾ
samaral	s a m a ɾ a l
samaritano	s a m a ɾ i t a n o
samasam	s a m a s a m
samat	s a m a t
samay	s a m a j
samaya	s a m a j a ʔ
samaynaka	s a m a j n a k a ʔ
samba	s a m b a
sambahayan	s a m b a h a j a n
sambakol	s a m b a k o l
sambal	s a m b a l
sambalilo	s a m b a l i l o
sambasamba	s a m b a s a m b a
sambat	s a m b a t
sambit	s a m b i t
samboan	s a m b o a n
sambog	s a m b o ɡ
sambong	s a m b o ŋ
sambot	s a m b o t
sambulat	s a m b u l a t
samg	s a m d j i
samgiyup	s a m ɡ i u p
samgiyupsal	s a m ɡ i u p s a l
samgiyupsalan	s a m ɡ i u p s a l a n
samgyup	s a m ɡ j u p
samgyupsal	s a m ɡ j u p s a l
samgyupsalan	s a m ɡ j u p s a l a n
samid	s a m i d
samil	s a m i l
saminaka	s a m i n a k a ʔ
samlang	s a m l a ŋ
samo	s a m o ʔ
samok	s a m o k
samonte	s a m o n t e
samot	s a m o t
sampa	s a m p a
sampaga	s a m p a ɡ a
sampagita	s a m p a ɡ i t a
sampaguita	s a m p a ɡ i t a
sampal	s a m p a l
sampalataya	s a m p a l a t a j a
sampalin	s a m p a l i n
sampaloc	s a m p a l o k
sampalok	s a m p a l o k
sampalukin	s a m p a l u k i n
sampan	s a m p a n
sampay	s a m p a j
sampayan	s a m p a j a n
sampid	s a m p i d
sampo	s a m p o ʔ
sampol	s a m p o l
sampon	s a m p o n
sampu	s a m p u ʔ
sampuluan	s a m p u l u ʔ a n
sampuluanin	s a m p u l u ʔ a n i n
sampun	s a m p u n
sampuo	s a m p u ʔ o ʔ
sampurado	s a m p u ɾ a d o
samsam	s a m s a m
samsamin	s a m s a m i n
samson	s a m s o n
samuel	s a m w e l
samula	s a m u l a ʔ
samuol	s a m u ʔ o l
samuray	s a m u ɾ a j
samyo	s a m j o
san	s a n
sana	s a n a
sanaol	s a n a ʔ o l
sanap	s a n a p
sanay	s a n a j
sanayan	s a n a j a n
sanaysay	s a n a j s a j
sanchez	s a n t s e s
sandaan	s a n d a ʔ a n
sandaigdigan	s a n d a ʔ i ɡ d i ɡ a n
sandakati	s a n d a k a t i ʔ
sandal	s a n d a l
sandali	s a n d a l e ʔ
sandalo	s a n d a l o
sandalyas	s a n d a l j a s
sandamakmak	s a n d a m a k m a k
sandamukal	s a n d a m u k a l
sandana	s a n d a n a ʔ
sandata	s a n d a t a
sandatahan	s a n d a t a h a n
sandirit	s a n d i ɾ i t
sando	s a n d o
sandok	s a n d o k
sandoval	s a n d o b a l
sandugo	s a n d u ɡ o ʔ
sanduguan	s a n d u ɡ u ʔ a n
sandurugo	s a n d u ɾ u ɡ o ʔ
sandwits	s a n d w i t s
sang	s a ŋ
sanga	s a ŋ a
sangab	s a ŋ a b
sangag	s a ŋ a ɡ
sangagin	s a ŋ a ɡ i n
sangal	s a ŋ a l
sangalang	s a ŋ ɡ a l a ŋ
sangandaan	s a ŋ a n d a ʔ a n
sangat	s a ŋ a t
sangay	s a ŋ a j
sangcap	s a ŋ k a p
sangco	s a ŋ k o
sangga	s a ŋ ɡ a
sanggalang	s a ŋ ɡ a l a ŋ
sanggano	s a ŋ ɡ a n o
sanggawali	s a ŋ ɡ a w a l i ʔ
sanggi	s a ŋ ɡ i ʔ
sanggol	s a ŋ ɡ o l
sanggumay	s a ŋ ɡ u m a j
sangguni	s a ŋ ɡ u n i ʔ
sanggunian	s a ŋ ɡ u n i ʔ a n
sanghaya	s a ŋ h a j a ʔ
sanghiblayan	s a ŋ h i b l a j a n
sanghid	s a ŋ h i d
sanghod	s a ŋ h o d
sangi	s a ŋ i ʔ
sangig	s a ŋ i ɡ
sangkaing	s a ŋ k a ʔ i ŋ
sangkaka	s a ŋ k a k a
sangkal	s a ŋ k a l
sangkalan	s a ŋ k a l a n
sangkap	s a ŋ k a p
sangkapat	s a ŋ k a p a t
sangkaramihan	s a ŋ k a ɾ a m i h a n
sangkatauhan	s a ŋ k a t a ʔ u h a n
sangkaterba	s a ŋ k a t e ɾ b a
sangkatlo	s a ŋ k a t l o
sangkatutak	s a ŋ k a t u t a k
sangke	s a ŋ k e ʔ
sangki	s a ŋ k i ʔ
sangkletas	s a ŋ k l e t a s
sangko	s a ŋ k o
sangkong	s a ŋ k o ŋ
sangkot	s a ŋ k o t
sangktuwaryo	s a ŋ k t u a ɾ j o
sangkutsa	s a ŋ k u t s a
sangla	s a ŋ l a ʔ
sanglaan	s a ŋ l a ʔ a n
sanglay	s a ŋ l a j
sangley	s a ŋ l e j
sangmatwiran	s a ŋ m a t w i ɾ a n
sangmukti	s a ŋ m u k t i ʔ
sangod	s a ŋ o d
sangpuo	s a ŋ p u ʔ o ʔ
sangsala	s a ŋ s a l a ʔ
sangsang	s a ŋ s a ŋ
sangyawa	s a ŋ j a w a ʔ
sangyod	s a ŋ j o d
sangyuta	s a ŋ j u t a ʔ
sanhi	s a n h i ʔ
sanib	s a n i b
saniban	s a n i b a n
sanidad	s a n i d a d
sanitaryo	s a n i t a ɾ j o
sanke	s a ŋ k e ʔ
sanki	s a ŋ k i ʔ
sanktuwaryo	s a ŋ k t u a ɾ j o
sanla	s a n l a ʔ
sanlaksa	s a n l a k s a ʔ
sanlangitan	s a n l a ŋ i t a n
sanlibo	s a n l i b o
sanlibutan	s a n l i b u t a n
sanlibutnin	s a n l i b u t n i n
sanling	s a n l i ŋ
sano	s a n o ʔ
sanog	s a n o ɡ
sanrok	s a n ɾ o k
sanrurugo	s a n ɾ u ɾ u ɡ o ʔ
sansala	s a n s a l a ʔ
sansan	s a n s a n
sanse	s a n s e
sansinukbin	s a n s i n u k b i n
sansinukob	s a n s i n u k o b
sansinukuban	s a n s i n u k u b a n
sanskrito	s a n s k ɾ i t o
sanson	s a n s o n
santa	s a n t a
santabi	s a n t a b i
santacruzan	s a n t a k ɾ u s a n
santakrusan	s a n t a k ɾ u s a n
santan	s a n t a n
santander	s a n t a n d e ɾ
santatlo	s a n t a t l o
santelmo	s a n t e l m o
santiago	s a n t i a ɡ o
santillan	s a n t i l j a n
santo	s a n t o
santol	s a n t o l
santolan	s a n t o l a n
santos	s a n t o s
santuhin	s a n t u h i n
santulan	s a n t u l a n
santuolyo	s a n t u ʔ o l j o
santuwaryo	s a n t u a ɾ j o
santwaryo	s a n t w a ɾ j o
sanvictores	s a n b i k t o ɾ e s
sanwits	s a n w i t s
sanyo	s a n j o ʔ
sao	s a ʔ o
saog	s a ʔ o ɡ
saoy	s a ʔ o j
sapa	s a p a
sapad	s a p a d
sapagka	s a p a ɡ k a ʔ
sapagkat	s a p a ɡ k a t
sapait	s a p a ʔ i t
sapak	s a p a k
sapalaran	s a p a l a ɾ a n
sapanahon	s a p a n a h o n
sapang	s a p a ŋ
sapantaha	s a p a n t a h a ʔ
sapat	s a p a t
sapatero	s a p a t e ɾ o
sapatilya	s a p a t i l j a
sapatos	s a p a t o s
sapaw	s a p a w
sapi	s a p i ʔ
sapian	s a p i ʔ a n
sapid	s a p i d
sapilitan	s a p i l i t a n
sapin	s a p i n
sapinan	s a p i n a n
sapiro	s a p i ɾ o
sapisapi	s a p i s a p i ʔ
sapit	s a p i t
saplot	s a p l o t
sapnan	s a p n a n
sapnit	s a p n i t
sapo	s a p o
sapodilya	s a p o d i l j a
sapok	s a p o k
sapol	s a p o l
sapon	s a p o n
sapot	s a p o t
sapsap	s a p s a p
sapsoy	s a p s o j
sapsuy	s a p s u j
sapul	s a p u l
sapupo	s a p u p o
sapupuhin	s a p u p u h i n
