aachen	aː χ ə n
währungsunterschieden	v ɛ ʁ ʊ ŋ z ʊ n t ɛ ʁ ʃ iː d ə n
währungsvergewaltigung	v ɛ ʁ ʊ ŋ s v ɛ ʁ g eː v a l t ɪ g ʊ ŋ
währungsverlust	v ɛ ʁ ʊ ŋ s v ɛ ʁ l ʊ s t
währungsverluste	v ɛ ʁ ʊ ŋ s v ɛ ʁ l ʊ s t ə
währungsverschiebung	v ɛ ʁ ʊ ŋ s v ɛ ʁ ʃ iː b ʊ ŋ
währungsverschiebungen	v ɛ ʁ ʊ ŋ s v ɛ ʁ ʃ iː b ʊ ŋ ə n
währungswarrant	v ɛ ʁ ʊ ŋ s v a ʁ ʁ a n t
währungswarrants	v ɛ ʁ ʊ ŋ s v a ʁ ʁ a n t s
wälder	v ɛ l d ɐ
wäldern	v ɛ l d ɛ ʁ n
wälle	v ɛ l ə
wällen	v ɛ l l ə n
wälze	v ɛ l t s ə
wälzen	v ɛ l t s ə n
wälzend	v ɛ l t s ɛ n t
wälzende	v ɛ l t s ɛ n d ə
wälzendem	v ɛ l t s ɛ n d ə m
wälzenden	v ɛ l t s ɛ n d ə n
wälzender	v ɛ l t s ɛ n d ɐ
wälzendes	v ɛ l t s ɛ n d ə s
wälzer	v ɛ l t s ɐ
wälzern	v ɛ l t s ɛ ʁ n
wälzers	v ɛ l t s ɛ ʁ s
wälzest	v ɛ l t s ɛ s t
wälzt	v ɛ l t s t
wälzte	v ɛ l t s t ə
wälzten	v ɛ l t s t ə n
wälztest	v ɛ l t s t ɛ s t
wälztet	v ɛ l t s t ə t
wämser	v ɛ m z ɐ
wämsern	v ɛ m z ɛ ʁ n
wände	v ɛ n d ə
wänden	v ɛ n d ə n
wäre	v ɛː ʁ ə
wären	v ɛː ɐ n
wärme	v ɛ ʁ m ə
wärmebehandlung	v ɛ ʁ m eː b eː a n d l ʊ ŋ
wärmebeständig	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ ç
wärmebeständige	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ə
wärmebeständigem	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ə m
wärmebeständigen	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ə n
wärmebeständiger	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ɐ
wärmebeständigere	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ɐ ə
wärmebeständigerem	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ɐ ə m
wärmebeständigeren	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ɐ ə n
wärmebeständigerer	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ɐ ɐ
wärmebeständigeres	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ɐ ə s
wärmebeständiges	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g ə s
wärmebeständigkeit	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ k k ə iː t
wärmebeständigste	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g s t ə
wärmebeständigstem	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g s t ə m
wärmebeständigsten	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g s t ə n
wärmebeständigster	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g s t ɐ
wärmebeständigstes	v ɛ ʁ m eː b ɛ s t ɛ n d ɪ g s t ə s
wärmedämmenden	v ɛ ʁ m eː d ɛ m m ɛ n d ə n
wärmedämmendene	v ɛ ʁ m eː d ɛ m m ɛ n d ə n ə
wärmedämmendenem	v ɛ ʁ m eː d ɛ m m ɛ n d ə n ə m
wärmedämmendenen	v ɛ ʁ m eː d ɛ m m ɛ n d ə n ə n
wärmedämmendener	v ɛ ʁ m eː d ɛ m m ɛ n d ə n ɐ
wärmedämmendenes	v ɛ ʁ m eː d ɛ m m ɛ n d ə n ə s
wärmegrad	v ɛ ʁ m ɛ g ʁ a t
wärmegrade	v ɛ ʁ m ɛ g ʁ a d ə
wärmegraden	v ɛ ʁ m ɛ g ʁ a d ə n
wärmegrades	v ɛ ʁ m ɛ g ʁ a d ə s
wärmegrads	v ɛ ʁ m ɛ g ʁ a t s
wärmelehre	v ɛ ʁ m eː l eː ʁ ə
wärmelehren	v ɛ ʁ m eː l eː ʁ ə n
wärmeleiter	v ɛ ʁ m eː l ə iː t ɐ
wärmeleiters	v ɛ ʁ m eː l a eː t ɛ ʁ s
wärmeleitpaste	v ɛ ʁ m eː l a eː t p a s t ə
wärmemesser	v ɛ ʁ m eː m ɛ s z ɐ
wärmemessern	v ɛ ʁ m eː m ɛ s z ɛ ʁ n
wärmen	v ɛ ʁ m ə n
wärmend	v ɛ ʁ m ɛ n t
wärmende	v ɛ ʁ m ɛ n d ə
wärmendem	v ɛ ʁ m ɛ n d ə m
wärmenden	v ɛ ʁ m ɛ n d ə n
wärmender	v ɛ ʁ m ɛ n d ɐ
wärmendes	v ɛ ʁ m ɛ n d ə s
wärmepumpen	v ɛ ʁ m eː p ʊ m p ə n
wärmer	v ɛ ʁ m ɐ
wärmere	v ɛ ʁ m ɐ ə
wärmerem	v ɛ ʁ m ɐ ə m
wärmeren	v ɛ ʁ m ɐ ə n
wärmerer	v ɛ ʁ m ɐ ɐ
wärmeres	v ɛ ʁ m ɐ ə s
wärmeschutz	v ɛ ʁ m ɛ ʃ ʊ t s
wärmesensor	v ɛ ʁ m eː z ɛ n z oː ʁ
wärmetechnik	v ɛ ʁ m eː t ɛ ç n iː k
wärmetechnisch	v ɛ ʁ m eː t ɛ ç n ɪ ʃ
wärmetechnische	v ɛ ʁ m eː t ɛ ç n ɪ ʃ ə
wärmetechnischem	v ɛ ʁ m eː t ɛ ç n ɪ ʃ ə m
wärmetechnischen	v ɛ ʁ m eː t ɛ ç n ɪ ʃ ə n
wärmetechnischer	v ɛ ʁ m eː t ɛ ç n ɪ ʃ ɐ
wärmetechnisches	v ɛ ʁ m eː t ɛ ç n ɪ ʃ ə s
wärmeverteiler	v ɛ ʁ m eː v ɛ ʁ t ə iː l ɐ
wärmflasche	v ɛ ʁ m f l a ʃ ə
wärmflaschen	v ɛ ʁ m f l a ʃ ə n
wärmflaschenkrieg	v ɛ ʁ m f l a ʃ ɛ ŋ k ʁ iː k
wärmst	v ɛ ʁ m s t
wärmste	v ɛ ʁ m s t ə
wärmstem	v ɛ ʁ m s t ə m
wärmsten	v ɛ ʁ m s t ə n
wärmster	v ɛ ʁ m s t ɐ
wärmstes	v ɛ ʁ m s t ə s
wärmt	v ɛ ʁ m t
wärmte	v ɛ ʁ m t ə
wärmten	v ɛ ʁ m t ə n
wärmtest	v ɛ ʁ m t ɛ s t
wärmtet	v ɛ ʁ m t ə t
wärst	v ɛ ʁ s t
wärt	v ɛ ʁ t
wärter	v ɛ ʁ t ɐ
wärterin	v ɛ ʁ t ɐ ɪ n
wärterinnen	v ɛ ʁ t eː ʁ ɪ n n ə n
wärtern	v ɛ ʁ t ɛ ʁ n
wärters	v ɛ ʁ t ɛ ʁ s
wäsche	v ɛ ʃ ə
wäschefabrik	v ɛ ʃ eː f a b ʁ iː k
wäschegeschäft	v ɛ ʃ eː g ɛ ʃ ɛ f t
wäschegeschäfts	v ɛ ʃ eː g ɛ ʃ ɛ f t s
wäscheklammer	v ɛ ʃ ɛ k l a m m ɐ
wäscheklammern	v ɛ ʃ ɛ k l a m m ɛ ʁ n
wäscher	v ɛ ʃ ɐ
wäscherei	v ɛ ʃ ɐ a eː
wäschereien	v ɛ ʃ ɐ ə iː ə n
wäscherin	v ɛ ʃ ɐ ɪ n
wäscherinnen	v ɛ ʃ eː ʁ ɪ n n ə n
wäschern	v ɛ ʃ ɛ ʁ n
wäschers	v ɛ ʃ ɛ ʁ s
wäscheschleuder	v ɛ ʃ ɛ ʃ l ɔ ɔʏ̯ d ɐ
wäscheschleudern	v ɛ ʃ ɛ ʃ l ɔ ɔʏ̯ d ɛ ʁ n
wäscheschrank	v ɛ ʃ ɛ ʃ ʁ a ŋ k
wäscheschranks	v ɛ ʃ ɛ ʃ ʁ a ŋ k s
wäscheschränke	v ɛ ʃ ɛ ʃ ʁ ɛ ŋ k ə
wäscheschränken	v ɛ ʃ ɛ ʃ ʁ ɛ ŋ k ə n
wäscheständer	v ɛ ʃ ɛ s t ɛ n d ɐ
wäschetinte	v ɛ ʃ eː t ɪ n t ə
wäschst	v ɛ ʃ s t
wäscht	v ɛ ʃ t
wässerig	v ɛ s z ɐ ɪ ç
wässerige	v ɛ s z ɐ ɪ g ə
wässerigem	v ɛ s z ɐ ɪ g ə m
wässerigen	v ɛ s z ɐ ɪ g ə n
wässeriger	v ɛ s z ɐ ɪ g ɐ
wässerigere	v ɛ s z ɐ ɪ g ɐ ə
wässerigerem	v ɛ s z ɐ ɪ g ɐ ə m
wässerigeren	v ɛ s z ɐ ɪ g ɐ ə n
wässerigerer	v ɛ s z ɐ ɪ g ɐ ɐ
wässerigeres	v ɛ s z ɐ ɪ g ɐ ə s
wässeriges	v ɛ s z ɐ ɪ g ə s
wässerigste	v ɛ s z eː ʁ ɪ g s t ə
wässerigstem	v ɛ s z eː ʁ ɪ g s t ə m
wässerigsten	v ɛ s z eː ʁ ɪ g s t ə n
wässerigster	v ɛ s z eː ʁ ɪ g s t ɐ
wässerigstes	v ɛ s z eː ʁ ɪ g s t ə s
wässerung	v ɛ s z ɐ ʊ ŋ
wässerungen	v ɛ s z ɐ ʊ ŋ ə n
wässrig	v ɛ s s ʁ ɪ ç
wässrige	v ɛ s s ʁ ɪ g ə
wässrigem	v ɛ s s ʁ ɪ g ə m
wässrigen	v ɛ s s ʁ ɪ g ə n
wässriger	v ɛ s s ʁ ɪ g ɐ
wässrigere	v ɛ s s ʁ ɪ g ɐ ə
wässrigerem	v ɛ s s ʁ ɪ g ɐ ə m
wässrigeren	v ɛ s s ʁ ɪ g ɐ ə n
wässrigerer	v ɛ s s ʁ ɪ g ɐ ɐ
wässrigeres	v ɛ s s ʁ ɪ g ɐ ə s
wässriges	v ɛ s s ʁ ɪ g ə s
wässrigste	v ɛ s s ʁ ɪ g s t ə
wässrigstem	v ɛ s s ʁ ɪ g s t ə m
wässrigsten	v ɛ s s ʁ ɪ g s t ə n
wässrigster	v ɛ s s ʁ ɪ g s t ɐ
wässrigstes	v ɛ s s ʁ ɪ g s t ə s
wöchentlich	v œ ç ɛ n t l ɪ ç
wöchentliche	v œ ç ɛ n t l ɪ ç ə
wöchentlichem	v œ ç ɛ n t l ɪ ç ə m
wöchentlichen	v œ ç ɛ n t l ɪ ç ə n
wöchentlicher	v œ ç ɛ n t l ɪ ç ɐ
wöchentliches	v œ ç ɛ n t l ɪ ç ə s
wöchnerin	v œ ç n ɐ ɪ n
wöchnerinnen	v œ ç n eː ʁ ɪ n n ə n
wöchnerinnenabteilung	v œ ç n eː ʁ ɪ n n eː n a p t ə iː l ʊ ŋ
wöchnerinnenabteilungen	v œ ç n eː ʁ ɪ n n eː n a p t ə iː l ʊ ŋ ə n
wöchnerinnenheim	v œ ç n eː ʁ ɪ n n ɛ n a eː m
wöchnerinnenheimen	v œ ç n eː ʁ ɪ n n ɛ n a eː m ə n
wöchnerinnenheims	v œ ç n eː ʁ ɪ n n ɛ n a eː m s
wölbe	v œ l b ə
wölben	v œ l b n
wölbend	v œ l b ɛ n t
wölbende	v œ l b ɛ n d ə
wölbendem	v œ l b ɛ n d ə m
wölbenden	v œ l b ɛ n d ə n
wölbender	v œ l b ɛ n d ɐ
wölbendes	v œ l b ɛ n d ə s
wölbst	v œ l p s t
wölbt	v œ l p t
wölbte	v œ l p t ə
wölbten	v œ l p t ə n
wölbtest	v œ l p t ɛ s t
wölbtet	v œ l p t ə t
wölbung	v œ l b ʊ ŋ
wölfe	v œ l f ə
wölfen	v œ l f ə n
wölfin	v œ l f ɪ n
wörtchen	v œ ʁ t ç ə n
wörtchens	v œ ʁ t ç ɛ n s
wörterbuch	v œ ʁ t ɐ b uː x
wörterbucheintrag	v œ ʁ t ɛ ʁ b ʊ x a eː n t ʁ a k
wörterbucheintrages	v œ ʁ t ɛ ʁ b ʊ x a eː n t ʁ a g ə s
wörterbucheintrags	v œ ʁ t ɛ ʁ b ʊ x a eː n t ʁ a k s
wörterbucheinträge	v œ ʁ t ɛ ʁ b ʊ x a eː n t ʁ ɛ g ə
wörterbucheinträgen	v œ ʁ t ɛ ʁ b ʊ x a eː n t ʁ ɛ g ə n
wörterbuches	v œ ʁ t ɐ b uː x ə s
wörterbuchs	v œ ʁ t ɐ b uː x s
wörterbuchverwaltung	v œ ʁ t ɛ ʁ b ʊ x v ɛ ʁ v a l t ʊ ŋ
wörterbücher	v œ ʁ t ɐ b yː ç ɐ
wörterbüchern	v œ ʁ t ɐ b yː ç ɐ n
wörterliste	v œ ʁ t ɛ ʁ l ɪ s t ə
wörterlisten	v œ ʁ t ɛ ʁ l ɪ s t ə n
wörtern	v œ ʁ t ɛ ʁ n
wörterverzeichnis	v œ ʁ t ɛ ʁ v ɛ ʁ t s a eː ç n ɪ s
wörterverzeichnisse	v œ ʁ t ɛ ʁ v ɛ ʁ t s a eː ç n ɪ s z ə
wörterverzeichnissen	v œ ʁ t ɛ ʁ v ɛ ʁ t s a eː ç n ɪ s z ə n
wörterverzeichnisses	v œ ʁ t ɛ ʁ v ɛ ʁ t s a eː ç n ɪ s z ə s
wörtlich	v œ ʁ t l ɪ ç
wörtliche	v œ ʁ t l ɪ ç ə
wörtlichem	v œ ʁ t l ɪ ç ə m
wörtlichen	v œ ʁ t l ɪ ç ə n
wörtlicher	v œ ʁ t l ɪ ç ɐ
wörtlichere	v œ ʁ t l ɪ ç ɐ ə
wörtlicherem	v œ ʁ t l ɪ ç ɐ ə m
wörtlicheren	v œ ʁ t l ɪ ç ɐ ə n
wörtlicherer	v œ ʁ t l ɪ ç ɐ ɐ
wörtlicheres	v œ ʁ t l ɪ ç ɐ ə s
wörtliches	v œ ʁ t l ɪ ç ə s
wörtlichste	v œ ʁ t l ɪ ç s t ə
wörtlichstem	v œ ʁ t l ɪ ç s t ə m
wörtlichsten	v œ ʁ t l ɪ ç s t ə n
wörtlichster	v œ ʁ t l ɪ ç s t ɐ
wörtlichstes	v œ ʁ t l ɪ ç s t ə s
wühlarbeit	v yː l a ʁ b ə iː t
wühlarbeiten	v yː l a ʁ b ə iː t ə n
wühle	v yː l ə
wühlen	v yː l ə n
wühlend	v yː l ɛ n t
wühlende	v yː l ɛ n d ə
wühlendem	v yː l ɛ n d ə m
wühlenden	v yː l ɛ n d ə n
wühlender	v yː l ɛ n d ɐ
wühlendes	v yː l ɛ n d ə s
wühler	v yː l ɐ
wühlerin	v yː l ɐ ɪ n
wühlerinnen	v yː l eː ʁ ɪ n n ə n
wühlerisch	v yː l eː ʁ ɪ ʃ
wühlerische	v yː l eː ʁ ɪ ʃ ə
wühlerischem	v yː l eː ʁ ɪ ʃ ə m
wühlerischen	v yː l eː ʁ ɪ ʃ ə n
wühlerischer	v yː l eː ʁ ɪ ʃ ɐ
wühlerischere	v yː l eː ʁ ɪ ʃ ɐ ə
wühlerischerem	v yː l eː ʁ ɪ ʃ ɐ ə m
wühlerischeren	v yː l eː ʁ ɪ ʃ ɐ ə n
wühlerischerer	v yː l eː ʁ ɪ ʃ ɐ ɐ
wühlerischeres	v yː l eː ʁ ɪ ʃ ɐ ə s
wühlerisches	v yː l eː ʁ ɪ ʃ ə s
wühlerischste	v yː l eː ʁ ɪ ʃ s t ə
wühlerischstem	v yː l eː ʁ ɪ ʃ s t ə m
wühlerischsten	v yː l eː ʁ ɪ ʃ s t ə n
wühlerischster	v yː l eː ʁ ɪ ʃ s t ɐ
wühlerischstes	v yː l eː ʁ ɪ ʃ s t ə s
wühlern	v yː l ɛ ʁ n
wühlers	v yː l ɛ ʁ s
wühlmaus	v yː l m a oː s
wühlmäuse	v yː l m ɔ ɔʏ̯ z ə
wühlmäusen	v yː l m ɔ ɔʏ̯ z ə n
wühlst	v yː l s t
wühlt	v yː l t
wühlte	v yː l t ə
wühlten	v yː l t ə n
wühltest	v yː l t ɛ s t
wühltet	v yː l t ə t
wülste	v ʏ l s t ə
wülsten	v ʏ l s t ə n
wünschbar	v ʏ n s t s b a ʁ
wünschbare	v ʏ n s t s b a ʁ ə
wünschbarem	v ʏ n s t s b a ʁ ə m
wünschbaren	v ʏ n s t s b a ʁ ə n
wünschbarer	v ʏ n s t s b a ʁ ɐ
wünschbares	v ʏ n s t s b a ʁ ə s
wünsche	v ʏ n ʃ ə
wünschelrute	v ʏ n ʃ ə l ʁ uː t ə
wünschelruten	v ʏ n ʃ ɛ l ʁ uː t ə n
wünschelrutengänger	v ʏ n ʃ ɛ l ʁ uː t ɛ ŋ ɛ ŋ ɐ
wünschelrutengängerin	v ʏ n ʃ ɛ l ʁ uː t ɛ ŋ ɛ ŋ ɐ ɪ n
wünschelrutengängerinnen	v ʏ n ʃ ɛ l ʁ uː t ɛ ŋ ɛ ŋ eː ʁ ɪ n n ə n
wünschelrutengängern	v ʏ n ʃ ɛ l ʁ uː t ɛ ŋ ɛ ŋ ɛ ʁ n
wünschelrutengängers	v ʏ n ʃ ɛ l ʁ uː t ɛ ŋ ɛ ŋ ɛ ʁ s
wünschen	v ʏ n ʃ ə n
wünschend	v ʏ n ʃ ɛ n t
wünschende	v ʏ n ʃ ɛ n d ə
wünschendem	v ʏ n ʃ ɛ n d ə m
wünschenden	v ʏ n ʃ ɛ n d ə n
wünschender	v ʏ n ʃ ɛ n d ɐ
wünschendes	v ʏ n ʃ ɛ n d ə s
wünschenswert	v ʏ n ʃ ɛ n s v ɛ ʁ t
wünschenswerte	v ʏ n ʃ ɛ n s v ɛ ʁ t ə
wünschenswertem	v ʏ n ʃ ɛ n s v ɛ ʁ t ə m
wünschenswerten	v ʏ n ʃ ɛ n s v ɛ ʁ t ə n
wünschenswerter	v ʏ n ʃ ɛ n s v ɛ ʁ t ɐ
wünschenswertere	v ʏ n ʃ ɛ n s v ɛ ʁ t ɐ ə
wünschenswerterem	v ʏ n ʃ ɛ n s v ɛ ʁ t ɐ ə m
wünschenswerteren	v ʏ n ʃ ɛ n s v ɛ ʁ t ɐ ə n
wünschenswerterer	v ʏ n ʃ ɛ n s v ɛ ʁ t ɐ ɐ
wünschenswerteres	v ʏ n ʃ ɛ n s v ɛ ʁ t ɐ ə s
wünschenswertes	v ʏ n ʃ ɛ n s v ɛ ʁ t ə s
wünschenswerteste	v ʏ n ʃ ɛ n s v ɛ ʁ t ɛ s t ə
wünschenswertestem	v ʏ n ʃ ɛ n s v ɛ ʁ t ɛ s t ə m
wünschenswertesten	v ʏ n ʃ ɛ n s v ɛ ʁ t ɛ s t ə n
wünschenswertester	v ʏ n ʃ ɛ n s v ɛ ʁ t ɛ s t ɐ
wünschenswertestes	v ʏ n ʃ ɛ n s v ɛ ʁ t ɛ s t ə s
wünschest	v ʏ n ʃ ɛ s t
wünschst	v ʏ n ʃ s t
wünscht	v ʏ n s t s t
wünschte	v ʏ n s t s t ə
wünschten	v ʏ n s t s t ə n
wünschtest	v ʏ n s t s t ɛ s t
wünschtet	v ʏ n s t s t ə t
würde	v ʏ ʁ d ə
würden	v ʏ ʁ d n
würdenträger	v ʏ ʁ d ɛ n t ʁ ɛ g ɐ
würdenträgern	v ʏ ʁ d ɛ n t ʁ ɛ g ɛ ʁ n
würdest	v ʏ ʁ d ə s t
würdet	v ʏ ʁ d ə t
würdevoll	v ʏ ʁ d eː v ɔ l l
würdevolle	v ʏ ʁ d eː v ɔ l l ə
würdevollem	v ʏ ʁ d eː v ɔ l l ə m
würdevollen	v ʏ ʁ d eː v ɔ l l ə n
würdevoller	v ʏ ʁ d eː v ɔ l l ɐ
würdevollere	v ʏ ʁ d eː v ɔ l l ɐ ə
würdevollerem	v ʏ ʁ d eː v ɔ l l ɐ ə m
würdevolleren	v ʏ ʁ d eː v ɔ l l ɐ ə n
würdevollerer	v ʏ ʁ d eː v ɔ l l ɐ ɐ
würdevolleres	v ʏ ʁ d eː v ɔ l l ɐ ə s
würdevolles	v ʏ ʁ d eː v ɔ l l ə s
würdevollste	v ʏ ʁ d eː v ɔ l l s t ə
würdevollstem	v ʏ ʁ d eː v ɔ l l s t ə m
würdevollsten	v ʏ ʁ d eː v ɔ l l s t ə n
würdevollster	v ʏ ʁ d eː v ɔ l l s t ɐ
würdevollstes	v ʏ ʁ d eː v ɔ l l s t ə s
würdig	v ʏ ʁ d ɪ ç
würdige	v ʏ ʁ d ɪ g ə
würdigem	v ʏ ʁ d ɪ g ə m
würdigen	v ʏ ʁ d ɪ g ə n
würdigend	v ʏ ʁ d iː g ɛ n t
würdigende	v ʏ ʁ d iː g ɛ n d ə
würdigendem	v ʏ ʁ d iː g ɛ n d ə m
würdigenden	v ʏ ʁ d iː g ɛ n d ə n
würdigender	v ʏ ʁ d iː g ɛ n d ɐ
würdigendes	v ʏ ʁ d iː g ɛ n d ə s
würdiger	v ʏ ʁ d ɪ g ɐ
würdigere	v ʏ ʁ d ɪ g ɐ ə
würdigerem	v ʏ ʁ d ɪ g ɐ ə m
würdigeren	v ʏ ʁ d ɪ g ɐ ə n
würdigerer	v ʏ ʁ d ɪ g ɐ ɐ
würdigeres	v ʏ ʁ d ɪ g ɐ ə s
würdiges	v ʏ ʁ d ɪ g ə s
würdigkeit	v ʏ ʁ d ɪ k k ə iː t
würdigst	v ʏ ʁ d ɪ k s t
würdigste	v ʏ ʁ d ɪ g s t ə
würdigstem	v ʏ ʁ d ɪ g s t ə m
würdigsten	v ʏ ʁ d ɪ g s t ə n
würdigster	v ʏ ʁ d ɪ g s t ɐ
würdigstes	v ʏ ʁ d ɪ g s t ə s
würdigt	v ʏ ʁ d ɪ k t
würdigte	v ʏ ʁ d ɪ k t ə
würdigten	v ʏ ʁ d ɪ k t ə n
würdigtest	v ʏ ʁ d ɪ k t ɛ s t
würdigtet	v ʏ ʁ d ɪ k t ə t
würdigung	v ʏ ʁ d ɪ g ʊ ŋ
würdigungspreis	v ʏ ʁ d iː g ʊ ŋ s p ʁ a eː s
würdigungspreise	v ʏ ʁ d iː g ʊ ŋ s p ʁ a eː z ə
würdigungspreisen	v ʏ ʁ d iː g ʊ ŋ s p ʁ a eː z ə n
würdigungspreises	v ʏ ʁ d iː g ʊ ŋ s p ʁ a eː z ə s
würfe	v ʏ ʁ f ə
würfel	v ʏ ʁ f eː l
würfelbecher	v ʏ ʁ f ɛ l b ɛ ç ɐ
würfelbechern	v ʏ ʁ f ɛ l b ɛ ç ɛ ʁ n
würfelbechers	v ʏ ʁ f ɛ l b ɛ ç ɛ ʁ s
würfele	v ʏ ʁ f eː l ə
würfelförmig	v ʏ ʁ f ɛ l f œ ʁ m ɪ ç
würfelförmige	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ə
würfelförmigem	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ə m
würfelförmigen	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ə n
würfelförmiger	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ɐ
würfelförmigere	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ɐ ə
würfelförmigerem	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ɐ ə m
würfelförmigeren	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ɐ ə n
würfelförmigerer	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ɐ ɐ
würfelförmigeres	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ɐ ə s
würfelförmiges	v ʏ ʁ f ɛ l f œ ʁ m ɪ g ə s
würfelförmigste	v ʏ ʁ f ɛ l f œ ʁ m ɪ g s t ə
würfelförmigstem	v ʏ ʁ f ɛ l f œ ʁ m ɪ g s t ə m
würfelförmigsten	v ʏ ʁ f ɛ l f œ ʁ m ɪ g s t ə n
würfelförmigster	v ʏ ʁ f ɛ l f œ ʁ m ɪ g s t ɐ
würfelförmigstes	v ʏ ʁ f ɛ l f œ ʁ m ɪ g s t ə s
würfelig	v ʏ ʁ f eː l ɪ ç
würfelige	v ʏ ʁ f eː l ɪ g ə
würfeligem	v ʏ ʁ f eː l ɪ g ə m
würfeligen	v ʏ ʁ f ə l ɪ g ə n
würfeliger	v ʏ ʁ f eː l ɪ g ɐ
würfeliges	v ʏ ʁ f eː l ɪ g ə s
würfeln	v ʏ ʁ f ɛ l n
würfelnd	v ʏ ʁ f ɛ l n t
würfelnde	v ʏ ʁ f ɛ l n d ə
würfelndem	v ʏ ʁ f ɛ l n d ə m
würfelnden	v ʏ ʁ f ɛ l n d ə n
würfelnder	v ʏ ʁ f ɛ l n d ɐ
würfelndes	v ʏ ʁ f ɛ l n d ə s
würfels	v ʏ ʁ f ɛ l s
würfelspiel	v ʏ ʁ f ɛ l s p iː l
würfelspiele	v ʏ ʁ f ɛ l s p iː l ə
würfelspielen	v ʏ ʁ f ɛ l s p iː l ə n
würfelspiels	v ʏ ʁ f ɛ l s p iː l s
würfelst	v ʏ ʁ f ɛ l s t
würfelt	v ʏ ʁ f ɛ l t
würfelte	v ʏ ʁ f ɛ l t ə
würfelten	v ʏ ʁ f ɛ l t ə n
würfeltest	v ʏ ʁ f eː l t ɛ s t
würfeltet	v ʏ ʁ f ɛ l t ə t
würfelzucker	v ʏ ʁ f ɛ l t s ʊ k ɐ
würfelzuckern	v ʏ ʁ f ɛ l t s ʊ k ɛ ʁ n
würfelzuckers	v ʏ ʁ f ɛ l t s ʊ k ɛ ʁ s
würfen	v ʏ ʁ f ə n
würfle	v ʏ ʁ f l ə
würflig	v ʏ ʁ f l ɪ ç
würflige	v ʏ ʁ f l ɪ g ə
würfligem	v ʏ ʁ f l ɪ g ə m
würfligen	v ʏ ʁ f l ɪ g ə n
würfliger	v ʏ ʁ f l ɪ g ɐ
würfliges	v ʏ ʁ f l ɪ g ə s
würge	v ʏ ʁ g ə
würgen	v ʏ ʁ g ə n
würgend	v ʏ ʁ g ɛ n t
würgende	v ʏ ʁ g ɛ n d ə
würgendem	v ʏ ʁ g ɛ n d ə m
würgenden	v ʏ ʁ g ɛ n d ə n
würgender	v ʏ ʁ g ɛ n d ɐ
würgendes	v ʏ ʁ g ɛ n d ə s
würgengel	v ʏ ʁ g ɛ ŋ eː l
würgengeln	v ʏ ʁ g ɛ ŋ ɛ l n
würgengels	v ʏ ʁ g ɛ ŋ ɛ l s
würger	v ʏ ʁ g ɐ
würgerin	v ʏ ʁ g ɐ ɪ n
würgerinnen	v ʏ ʁ g eː ʁ ɪ n n ə n
würgern	v ʏ ʁ g ɛ ʁ n
würgers	v ʏ ʁ g ɛ ʁ s
würgst	v ʏ ʁ k s t
würgt	v ʏ ʁ k t
würgte	v ʏ ʁ k t ə
würgten	v ʏ ʁ k t ə n
würgtest	v ʏ ʁ k t ɛ s t
würgtet	v ʏ ʁ k t ə t
würmchen	v ʏ ʁ m ç ə n
würmchens	v ʏ ʁ m ç ɛ n s
würmer	v ʏ ʁ m ɐ
würmern	v ʏ ʁ m ɛ ʁ n
würstchen	v ʏ ʁ s t ç ə n
würstchens	v ʏ ʁ s t ç ɛ n s
würste	v ʏ ʁ s t ə
würsten	v ʏ ʁ s t ə n
württemberg	v ʏ ʁ t t ɛ m b ɛ ʁ k
württembergisch	v ʏ ʁ t t ɛ m b ɛ ʁ g ɪ ʃ
württembergische	v ʏ ʁ t t ɛ m b ɛ ʁ g ɪ ʃ ə
württembergischem	v ʏ ʁ t t ɛ m b ɛ ʁ g ɪ ʃ ə m
württembergischen	v ʏ ʁ t t ɛ m b ɛ ʁ g ɪ ʃ ə n
württembergischer	v ʏ ʁ t t ɛ m b ɛ ʁ g ɪ ʃ ɐ
