'n	m
eingeschrieben	a ɪ̯ n ɡ ə ʃ ʀ iː b n̩
eingleisig	a ɪ̯ n ɡ l a ɪ̯ z ɪ k
eingliedern	a ɪ̯ n ɡ l iː d ɐ n
eingraben	a ɛ̯ n ɡ ʁ aː b ɛ n
eingreifen	a ɪ̯ n ɡ ʁ a ɪ̯ f ə n
eingängig	a ɪ̯ n ɡ ɛ ŋ ɪ k
einhauchen	a ɪ̯ n h a ʊ̯ x n̩
einheimisch	a ɪ̯ n h a ɪ̯ m ɪ ʃ
einheimsen	a ɪ̯ n h a ɪ̯ m z ə n
einheitlicher	ʔ a ɪ̯ n h a ɪ̯ t l ɪ ç ɐ
einheizen	a ɪ̯ n h a ɪ̯ t s ə n
einhellig	a ɪ̯ n h ɛ l ɪ k
einher	a ɪ̯ n h eː ɐ̯
einherfahren	a ɪ̯ n h eː ɐ̯ f aː ʁ ə n
einhergehen	a ɪ̯ n h ɛ ɐ̯ ɡ eː ə n
einherschreiten	a ɪ̯ n h eː ɐ̯ ʃ ʁ a ɪ̯ t n̩
einhundert	a ɪ̯ n h ʊ n d ɐ t
einhundertprozentig	a ɪ̯ n h ʊ n d ɐ t p ʁ o t͡s ɛ n t ɪ ç
einhundertste	a ɪ̯ n h ʊ n d ɐ t͡s t ə
einhunderttausend	a ɪ̯ n h ʊ n d ɐ t t a ʊ̯ z ə n t
einhunderttausendfach	a ɪ̯ n h ʊ n d ɐ t t a ʊ z n̩ t f a χ
einhunderttausendmal	a ɪ̯ n h ʊ n d ɐ t t a ʊ z n̩ t m aː l
einhunderttausendste	a ɪ̯ n h ʊ n d ɐ t t a ʊ z n̩ t͡s t ə
einhämmern	a ɪ̯ n h ɛ m ɐ n
einhüllen	a ɪ̯ n h ʏ l ə n
einig	a ɪ̯ n ɪ k
einige	a ɪ̯ n ɪ ɡ ə
einimpfen	a ɪ̯ n ɪ m p f ə n
einjagen	a ɪ̯ n j aː ɡ n̩
einjährig	a ɪ̯ n j ɛː ʁ ɪ ç
einkapseln	a ɪ̯ n k a p s ə l n
einkehren	a ɪ̯ n k eː ʁ ə n
einkettig	a ɪ̯ n k ɛ t ɪ k
einkettigen	a ɪ̯ n k ɛ t ɪ ɡ n̩
einklemmen	a ɪ̯ n k l ɛ m ə n
einklopfen	a ɪ̯ n k l ɔ p͡f n̩
einkommensschwach	a ɪ̯ n k ɔ m ə n s ʃ v a x
einkühlen	a ɪ̯ n k yː l n̩
einlangen	a ɪ̯ n l a ŋ ə n
einlassen	a ɪ̯ n l a s ə n
einleben	a ɪ̯ n l eː b n̩
einlegen	a ɪ̯ n l eː ɡ ə n
einleiten	a ɪ̯ n l a ɪ̯ t n̩
einlesen	a ɪ̯ n l eː z ə n
einliefern	a ɪ̯ n l iː f ɐ n
einlösen	a ɪ̯ n l øː z n̩
einmal	a ɪ m a
einmalig	a ɪ̯ n m aː l ɪ k
einmarschieren	ʔ a ɪ̯ n m a ʁ ʃ iː ʁ ə n
einmauern	a ɪ̯ n m a ʊ̯ ɐ n
einmeißeln	a ɪ̯ n m a ɪ̯ s l̩ n
einmengen	a ɪ̯ n m ɛ ŋ ə n
einmilliardste	a ɪ̯ n m ɪ l i̯ a ʁ t͡s t ə
einmillionste	a ɪ̯ n m ɪ l i̯ oː n s t ə
einminütig	a ɪ̯ n m i n yː t ɪ ç
einmischen	a ɪ n m ɪ ʃ ə n
einmonatig	a ɪ̯ n m oː n a t ɪ ç
einmotorig	a ɪ̯ n m o t oː ʁ ɪ ç
einmotten	a ɪ̯ n m ɔ t ə n
einmütig	a ɪ̯ n m yː t ɪ k
einnehmen	a ɪ̯ n n eː m ə n
einnehmend	a ɪ̯ n n eː m ə n t
einnorden	a ɪ̯ n n ɔ r d ə n
einpacken	ʔ a ɪ̯ n p a k ŋ̩
einpennen	a ɪ̯ n p ɛ n ə n
einpflegen	a ɪ̯ n p͡f l eː ɡ n̩
einplanen	a ɪ̯ n p l aː n ə n
einpreisen	a ɪ̯ n p ʁ a ɪ̯ z n̩
einprozentig	a ɪ̯ n p ʁ o t͡s ɛ n t ɪ ç
einprägen	a ɪ̯ n p ʁ ɛː ɡ n̩
einprägsam	a ɪ̯ n p ʁ eː k z a m
einquartieren	a ɪ̯ n k v a ʁ t iː ʁ ə n
einrahmen	a ɪ̯ n ʁ aː m ə n
einreichen	a ɪ̯ n ʁ a ɪ̯ ç ə n
einreihig	a ɪ̯ n ʁ a ɪ̯ ɪ k
einreisen	a ɪ̯ n ʁ a ɪ̯ s n̩
einreißend	a ɪ̯ n ʁ a ɪ̯ s n̩ t
einrenken	a ɪ̯ n ʁ ɛ ŋ k ə n
einrexen	a ɛ̯ n n ʁ ɛ k s n̩
einrichten	a ɪ̯ n ʁ ɪ ç t n̩
einrollen	a ɪ̯ n ʁ ɔ l n̩
einrosten	a ɪ̯ n ʁ ɔ s t ə n
einrücken	a ɪ̯ n ʁ ʏ k ə n
einrühren	a ɪ̯ n ʁ yː ʁ ə n
einsagen	a ɛ̯ n s aː ɡ ŋ̩
einsam	a ɪ̯ n z a m
einsammeln	a ɪ̯ n z a m l̩ n
einsargen	a ɪ̯ n z a ʁ ɡ ə n
einsaugen	a ɪ̯ n z a ʊ̯ ɡ ə n
einschauen	a ɪ̯ n ʃ a ʊ̯ ə n
einschiessen	a ɪ̯ n ʃ iː s ə n
einschießen	a ɪ̯ n ʃ iː s ə n
einschießend	a ɪ̯ n ʃ iː s ə n t
einschlafen	a ɪ̯ n ʃ l aː f ə n
einschleimen	a ɪ̯ n ʃ l a ɪ̯ m ə n
einschließlich	a ɪ̯ n ʃ l iː s l ɪ ç
einschlummern	a ɪ̯ n ʃ l ʊ m ɐ n
einschlägig	a ɪ̯ n ʃ l eː ɡ ɪ k
einschmeicheln	a ɪ̯ n ʃ m a ɪ̯ ç ə l n
einschulen	a ɪ̯ n ʃ uː l ə n
einsegnen	a ɪ̯ n z eː ɡ n ə n
einseifen	a ɪ̯ n z a ɪ̯ f ə n
einseitig	a ɪ̯ n z a ɪ̯ t ɪ k
einsetzbar	ʔ a ɪ̯ n z ɛ t s b aː ɐ̯
einsetzen	ʔ a ɪ̯ n z ɛ t s n̩
einsichtig	a ɪ̯ n z ɪ ç t ɪ k
einsilbig	a ɪ̯ n z ɪ l b ɪ k
einspeicheln	a ɪ̯ n ʃ p a ɪ̯ ç ə l n
einspeichen	a ɪ̯ n ʃ p a ɪ̯ ç n
einspeisen	a ɪ̯ n ʃ p a ɪ̯ z n̩
einsprachig	a ɪ̯ n ʃ p ʁ aː χ ɪ ç
einspritzen	ʔ a ɪ̯ n ʃ p ʁ ɪ t s n̩
einspurig	a ɪ̯ n ʃ p uː ʁ ɪ k
einsteigen	ʔ a ɪ̯ n ʃ t a ɪ̯ ɡ ŋ̩
einstellig	a ɪ̯ n ʃ t ɛ l ɪ k
einstig	a ɪ̯ n s t ɪ k
einstmals	a ɪ̯ n s t m aː l s
einstufig	a ɪ̯ n ʃ t uː f ɪ k
einstweilig	a ɪ̯ n s t v a ɪ̯ l ɪ ç
einstämmig	a ɪ̯ n ʃ t ɛ m ɪ k
einstündig	a ɪ̯ n ʃ t ʏ n d ɪ k
eintauchen	a ɪ̯ n t a ʊ̯ x ə n
eintauschen	a ɪ̯ n t a ʊ̯ ʃ n̩
eintausend	a ɪ̯ n t a ʊ̯ z n̩ t
eintausendste	a ɪ̯ n t a ʊ̯ z n̩ t͡s t ə
eintreiben	a ɪ̯ n t ʁ a ɪ̯ b n̩
eintreten	ʔ a ɪ̯ n t ʁ eː t ə n
eintrichtern	a ɪ̯ n t ʁ ɪ ç t ɐ n
eintrocknen	a ɪ̯ n t ʁ ɔ k n ə n
eintägig	a ɪ̯ n t ɛː ɡ ɪ ç
eintönig	a ɪ̯ n t øː n ɪ k
eintüten	a ɪ̯ n t yː t n̩
einundachtzig	ʔ a ɪ̯ n ʊ n t a x t͡s ɪ ç
einundachtzigste	a ɪ̯ n ʊ n t a x t͡s ɪ ç s t ə
einunddreissigeckig	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç ɛ k ɪ ç
einunddreissigmal	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç m aː l
einunddreissigstens	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç s t n̩ s
einunddreißigeckig	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç ɛ k ɪ ç
einunddreißigeckiger	a ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç ɛ k ɪ ç ɡ ɐ
einunddreißigfach	a ɪ̯ n ʊ n d ʁ a ɪ̯ s ɪ ç f a x
einunddreißigjährig	a ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç j ɛː ʁ ɪ ç
einunddreißigmal	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç m aː l
einunddreißigminütig	a ɪ̯ n ʊ n d ʁ a ɪ̯ s ɪ ç m i n yː t ɪ ç
einunddreißigste	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə
einunddreißigstens	a ɪ̯ n ʔ ʊ n t d ʁ a ɪ̯ s ɪ ç s t n̩ s
einunddreißigstündig	a ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç ʃ t ʏ n d ɪ ç
einunddreißigstündiger	a ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç ʃ t ʏ n d ɪ ɡ ɐ
einunddreißigtägig	a ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç t ɛː ɡ ɪ ç
einunddreißigtägiger	a ɪ̯ n ʊ n t d ʁ a ɪ̯ s ɪ ç t ɛː ɡ ɪ ɡ ɐ
einundfünfzigfach	a ɪ̯ n ʊ n t f ʏ n f t͡s ɪ ç f a x
einundfünfzigjährig	a ɪ̯ n ʊ n t f ʏ n f t͡s ɪ ç j ɛː ʁ ɪ ç
einundfünfzigmal	a ɪ̯ n ʊ n t f ʏ n f t͡s ɪ ç m aː l
einundfünfzigminütig	a ɪ̯ n ʊ n t f ʏ n f t͡s ɪ ç m i n yː t ɪ ç
einundfünfzigminütiger	a ɪ̯ n ʊ n t f ʏ n f t͡s ɪ ç m i n yː t ɪ ɡ ɐ
einundfünfzigste	a ɪ̯ n ʊ n t f ʏ n f t͡s ɪ ç s t ə
einundfünfzigstens	a ɪ̯ n ʔ ʊ n t f y n f t͡s ɪ k s t n̩ s
einundfünfzigster	a ɪ̯ n ʊ n t f y n f t͡s ɪ ç s t ə
einundneunzig	a ɪ̯ n ʊ n t n ɔ ɪ̯ n t͡s ɪ ç
einundneunzigste	a ɪ̯ n ʊ n t n ɔ ɪ̯ n t͡s ɪ ç s t ə
einundsechzig	a ɪ̯ n ʊ n t z ɛ ç t͡s ɪ ç
einundsechzigfach	a ɪ̯ n ʊ n t z ɛ ç t͡s ɪ ç f a x
einundsechzigjährig	a ɪ̯ n ʊ n t z ɛ ç t͡s ɪ ç j ɛː ʁ ɪ ç
einundsechzigste	a ɪ̯ n ʊ n t z ɛ ç t͡s ɪ ç s t ə
einundsiebzig	a ɪ̯ n ʊ n t z iː p t͡s ɪ ç
einundsiebzigste	a ɪ̯ n ʊ n t z iː p t͡s ɪ ç s t ə
einundvierzigfach	a ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç f a x
einundvierzigjährig	a ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ç
einundvierzigmal	a ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç m aː l
einundvierzigminütig	a ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç m i n yː t ɪ ç
einundvierzigminütiger	a ɪ̯ n ʊ n t f ɪ ɐ̯ t͡s ɪ ç m i n yː t ɪ ɡ ɐ
einundvierzigste	a ɪ̯ n ʊ n t f ɪ ʁ t͡s ɪ ç s t ə
einundvierzigstens	a ɪ̯ n ʔ ʊ n t f ɪ ʁ t͡s ɪ k s t n̩ s
einundzwanzigeckig	a ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç ɛ k ɪ ç
einundzwanzigeckiger	a ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç ɛ k ɪ ç ɡ ɐ
einundzwanzigfach	a ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç f a x
einundzwanzigjährig	a ɪ̯ n ʊ n t͡s v a n t͡s ɪ ç j ɛː ʁ ɪ ç
einundzwanzigköpfig	a ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç k œ p f ɪ ç
einundzwanzigköpfiger	a ɪ̯ n ʊ n t͡s v a n t͡s ɪ ç k œ p͡f ɪ ɡ ɐ
einundzwanzigmal	a ɪ̯ n ʊ n t t͡s v a n t͡s ɪ ç m aː l
einundzwanzigminütig	a ɪ̯ n ʊ n t͡s v a n t͡s ɪ ç m i n yː t ɪ ç
einundzwanzigminütiger	a ɪ̯ n ʊ n t͡s v a n t͡s ɪ ç m i n yː t ɪ ɡ ɐ
einundzwanzigste	a ɪ̯ n ʔ ʊ n t t͡s v a n t͡s ɪ ç s t ə
einundzwanzigstens	a ɪ̯ n ʔ ʊ n t t͡s v a n t͡s ɪ ç s t n̩ s
einundzwanzigstündig	a ɪ̯ n ʊ ʊ n t͡s v a n t͡s ɪ ç ʃ t ʏ n d ɪ ç
einundzwanzigstündiger	a ɪ̯ n ʊ n t͡s v a n t͡s ɪ ç ʃ t ʏ n d ɪ ɡ ɐ
einundzwanzigwöchig	a ɪ̯ n ʊ n t t͡s v a n t͡s ɪ k v œ ç ɪ k
einvernehmlich	a ɪ̯ n f ɛ ɐ̯ n eː m l ɪ ç
einverstanden	a ɪ̯ n f ɛ ʁ ʃ t a n d n̩
einverständlich	a ɪ̯ n f ɛ ʁ ʃ t ɛ n t l ɪ ç
einwandfrei	a ɪ̯ n v a n t f ʁ a ɪ̯
einwechseln	a ɪ̯ n v ɛ k s l̩ n
einweihen	a ɪ̯ n v a ɪ̯ ə n
einwertig	a ɪ̯ n v eː ɐ̯ t ɪ k
einwickeln	a ɪ̯ n v ɪ k ə l n
einwirken	a ɪ̯ n v ɪ ʁ k n̩
einwohnerreich	a ɪ̯ n v oː n ɐ ʁ a ɪ̯ ç
einwählen	a ɪ̯ n v ɛː l ə n
einwärts	a ɪ̯ n v ɛ ʁ t͡s
einwöchig	a ɪ̯ n v œ ç ɪ ç
einzahlen	a ɪ̯ n t s aː l ə n
einzeilig	a ɪ̯ n t͡s a ɪ̯ l ɪ ç
einzelnd	a ɪ̯ n t s ə l n t
einziehbar	a ɪ̯ n t͡s iː b aː ɐ̯
einziehen	a ɪ̯ n t͡s iː ə̯ n
einzig	a ɪ̯ n t͡s ɪ k
einzigartig	a ɪ̯ n t͡s ɪ k aː r t ɪ k
einziger	ʔ a ɪ n t s ɪ ɡ ɐ
einzigst	a ɪ̯ n t s ɪ k s t
einzuschätzen	a ɪ̯ n t͡s u ʃ ɛ t s ə n
einzwicken	a ɪ̯ n t͡s v ɪ k ŋ̩
einäschern	a ɪ̯ n ʔ ɛ ʃ ɐ n
einäugig	a ɪ̯ n ʔ ɔ ɪ̯ ɡ ɪ k
einölen	a ɪ̯ n øː l ə n
eisenbewehrt	a ɪ̯ z n̩ b ə v eː ɐ̯ t
eisenfarben	a ɪ̯ z n̩ f a ʁ b n̩
eisern	a ɪ̯ z ɐ n
eisfrei	a ɪ̯ s f ʁ a ɪ̯
eisig	ʔ a ɪ̯ z ɪ k
eiskalt	a ɪ̯ s k a l t
eitel	a ɪ̯ t ə l
eiterig	a ɪ̯ t ə ʁ ɪ k
eitern	a i̯ t ɐ n
eitrig	a ɪ̯ t ʁ ɪ k
eiweißhaltig	a ɪ̯ v a ɪ̯ s h a l t ɪ ç
ejakulieren	e j a k u l iː ʁ ə n
ekelerregend	eː k l̩ ʔ ɛ ɐ̯ ʁ eː ɡ ə n t
ekelhaft	ʔ eː k l̩ h a f t
ekelig	eː k ə l ɪ k
ekeln	eː k ə l n
ekkrin	ɛ k ʁ iː n
eklatant	e k l a t a n t
eklig	eː k l ɪ k
ekligen	eː k l ɪ ɡ n̩
elegisch	e l eː ɡ ɪ ʃ
elektrifizieren	e l ɛ k t ʁ i f i t͡s iː ɐ̯ n
elektronisch	e l ɛ k t ʁ oː n ɪ ʃ
elementar	e l e m ɛ n t aː r
elend	eː l ɛ n t
elendiglich	e l ɛ n d ɪ k l ɪ ç
eleusinisch	e l ɔ ɪ̯ z iː n ɪ ʃ
elfeckig	ɛ l f ʔ ɛ k ɪ k
elfenbeinfarben	ɛ l f ə n b a ɪ̯ n f a ɐ̯ b ə n
elfengleich	ɛ l f ə n ɡ l a ɪ̯ ç
elffach	ɛ l f f a x
elfjährig	ɛ l f j ɛː ʁ ɪ ç
elfköpfig	ɛ l f k œ p f ɪ ç
elfköpfiger	ɛ l f k œ p͡f ɪ ɡ ɐ
elfmal	ɛ l f m aː l
elfminütig	ɛ l f m i n yː t ɪ ç
elfmonatig	ɛ l f m oː n a t ɪ ç
elfseitig	ɛ l f z a ɪ̯ t ɪ ç
elfstellig	ɛ l f ʃ t ɛ l ɪ k
elfstündig	ɛ l f ʃ t ʏ n d ɪ ç
elfte	ɛ l f t ə
elftens	ɛ l f t ə n s
elftägig	ɛ l f t ɛː ɡ ɪ ç
elftägiger	ɛ l f t ɛː ɡ ɪ ɡ ɐ
elfwöchig	ɛ l f v œ ç ɪ ç
elfzehn	ɛ l f t͡s eː n
eliminieren	e l i m i n iː ʁ ə n
elitär	e l i t eː ɐ̯
elizitieren	e l i t͡s i t iː ɐ̯ n
ellipsenförmig	ɛ l ɪ p s n̩ f œ ʁ m ɪ k
ellipsenförmige	ɛ l ɪ p s n̩ f œ ʁ m ɪ ɡ ə
ellipsenförmigem	ɛ l ɪ p s n̩ f œ ʁ m ɪ ɡ ə m
ellipsenförmigen	ɛ l ɪ p s n̩ f œ ʁ m ɪ ɡ n̩
ellipsenförmiger	ɛ l ɪ p s n̩ f œ ʁ m ɪ ɡ ɐ
ellipsenförmiges	ɛ l ɪ p s n̩ f œ ʁ m ɪ ɡ ə s
eloxieren	e l ɔ k s iː ʁ ə n
emaillieren	e m a j iː ʁ ə n
emanatistisch	e m a n a t ɪ s t ɪ ʃ
emendieren	e m ɛ n d iː ʁ ə n
emeritieren	e m e ʁ i t iː ɐ̯ n
emittieren	e m ɪ t iː ʁ ə n
emotiv	e m o t iː f
empfahen	ɛ m p͡f aː ə n
empfangen	ɛ m f a ŋ ə n
empfehlenswert	ʔ ɛ m p f eː l ə n s v eː ɐ̯ t
empfindsam	ɛ m p͡f ɪ n t z a m
empfänglich	ʔ ɛ m p f ɛ ŋ l ɪ ç
emphatisch	ɛ m f aː t ɪ ʃ
empirisch	ɛ m p iː ʁ ɪ ʃ
empor	ɛ m p oː r
emporhelfen	ɛ m p oː ɐ̯ h ɛ l f n̩
empört	ɛ m p øː ɐ̯ t
emsig	ɛ m z ɪ k
emsigste	ɛ m z ɪ k s t ə
emsigstem	ɛ m z ɪ k s t ə m
emsigsten	ɛ m z ɪ k s t n̩
emsigster	ɛ m z ɪ k s t ɐ
emsigstes	ɛ m z ɪ k s t ə s
emulieren	ʔ e m u l iː ɐ̯ n
enden	ɛ n d ə n
endgültig	ɛ n t ɡ ʏ l t ɪ k
endigen	ɛ n d ɪ ɡ n̩
endlich	ɛ n t l ɪ ç
endoplasmatisch	ɛ n d o p l a s m aː t ɪ ʃ
endothym	ɛ n d o t yː m
energisch	eː n ɛ ʁ ɡ ɪ ʃ
enervieren	e n ɛ r v iː r ə n
eng	ɛ ŋ
engagieren	ã ɡ a ʒ iː ʁ ə n
engagiert	ã ɡ a ʒ iː ɐ̯ t
engelhaft	ɛ ŋ l̩ h a f t
engherzig	ɛ ŋ h ɛ ʁ t͡s ɪ k
engstirnig	ʔ ɛ ŋ ʃ t ɪ ʁ n ɪ k
enorm	e n ɔ ʁ m
enrollieren	ɑ̃ r ɔ l iː r ə n
entamerikanisieren	ɛ n t a m e ʁ i k a n i z iː ʁ ə n
entartet	ɛ n t ʔ a ʁ t ə t
entbehren	ɛ n t b eː ʁ ə n
entbehrlich	ʔ ɛ n t b eː ɐ̯ l ɪ ç
entbehrungsreich	ɛ n t b eː ʀ ʊ ŋ s ʀ a ɪ ç
entbieten	ɛ n t b iː t n̩
entbinden	ɛ n t b ɪ n d ə n
entbrennen	ɛ n t b ʁ ɛ n ə n
entdecken	ɛ n t d ɛ k ə n
enteisen	ʔ ɛ n t ʔ a ɪ̯ z n̩
entenartig	ɛ n t n̩ ʔ aː ɐ̯ t ɪ k
entern	ɛ n t ɐ n
entfachen	ʔ ɛ n t f a x n̩
entfahren	ɛ n t f aː ʁ ə n
entfetten	ɛ n t f ɛ t n̩
entflammbar	ʔ ɛ n t f l a m b aː ɐ̯
entflammen	ɛ n t f l a m ə n
entflechten	ɛ n t f l ɛ ç t n̩
entfolgen	ɛ n t f ɔ l ɡ ŋ̩
entfreunden	ɛ n t f r ɔ ɪ̯ n t n̩
entführen	ɛ n t f yː r ə n
entgegenbringen	ɛ n t ɡ eː ɡ n̩ b ʁ ɪ ŋ ə n
entgegenbringend	ɛ n t ɡ eː ɡ n̩ b ʁ ɪ ŋ ə n t
entgegengebracht	ɛ n t ɡ eː ɡ n̩ ɡ ə b ʁ a x t
entgegensehen	ɛ n t ɡ eː ɡ n̩ z eː ə n
entgegenstehen	ɛ n t ɡ eː ɡ ə n ʃ t eː ə n
entgegnen	ɛ n t ɡ eː ɡ n ə n
entgehen	ɛ n t ɡ eː ə n
entgeltlich	ɛ n t ɡ ɛ l t l ɪ ç
entgiften	ɛ n t ɡ ɪ f t n̩
entgleisen	ɛ n t ɡ l a ɪ̯ z n̩
enthaften	ɛ n t h a f t n̩
enthaltsam	ɛ n t h a l t z a m
enthaupten	ɛ n t h a ʊ̯ p t n̩
entjungfern	ɛ n t j ʊ ŋ f ɐ n
entkleidend	ɛ n t k l a ɪ̯ d ə n t
entkleidet	ɛ n t k l a ɪ̯ d ə t
entknoten	ɛ n t k n oː t ə n
entkuppeln	ɛ n t k ʊ p l̩ n
entlang	ɛ n t l a ŋ
entlaufen	ɛ n t l a ʊ̯ f n̩
entlausen	ɛ n t l a ʊ̯ z n̩
entleeren	ɛ n t l eː ʁ ə n
entlegen	ɛ n t l eː ɡ n̩
entlehnen	ɛ n t l eː n ə n
entleiben	ɛ n t l a ɪ̯ b n̩
entleihen	ɛ n t l a ɪ̯ ə n
entlieben	ɛ n t l iː b ə n
entlohnen	ɛ n t l oː n ə n
entlässt	ɛ n t l ɛ s t
entmannen	ɛ n t m a n ə n
entmieten	ɛ n t m iː t n̩
entmutigen	ɛ n t m uː t ɪ ɡ ə n
entmutigend	ɛ n t m uː t ɪ ɡ n̩ t
entnerven	ɛ n t n ɛ r f ə n
entpuppen	ɛ n t p ʊ p n̩
entrahmen	ɛ n t ʁ aː m ə n
entraten	ɛ n t ʁ aː t n̩
entrichten	ɛ n t ʁ ɪ ç t ə n
entrisch	e n t ʁ i ʃ
enträtseln	ɛ n t ʁ eː t͡s l̩ n
entrücken	ɛ n t ʁ ʏ k ə n
entsaften	ɛ n t z a f t ə n
entsagen	ɛ n t z aː ɡ ə n
entsahnen	ɛ n t z aː n ə n
entscheidend	ʔ ɛ n t ʃ a ɪ̯ d n̩ t
entscheidungsreif	ɛ n t ʃ a ɪ̯ d ʊ ŋ s ʁ a ɪ̯ f
entschieden	ʔ ɛ n t ʃ iː d n̩
entschlacken	ɛ n t ʃ l a k n̩
entschlagen	ɛ n t ʃ l aː ɡ n̩
entschliessen	ɛ n t ʃ l iː s ə n
entschließen	ʔ ɛ n t ʃ l iː s n̩
entschlossen	ɛ n t ʃ l ɔ s n̩
entschlussfreudig	ɛ n t ʃ l ʊ s f ʁ ɔ ɪ̯ d ɪ ç
entschlüpfen	ɛ n t ʃ l ʏ p͡f n̩
entschlüsseln	ʔ ɛ n t ʃ l ʏ s l̩ n
entschulden	ɛ n t ʃ ʊ l d n̩
entschuldigen	ɛ n t ʃ ʊ l d ɪ ɡ ə n
entschwinden	ɛ n t ʃ v ɪ n d n̩
entschädigen	ʔ ɛ n t ʃ ɛː d ɪ ɡ ŋ̩
entseelen	ɛ n t z eː l ə n
entsetzen	ɛ n t s ɛ t s ə n
entsetzlich	ɛ n t z ɛ t͡s l ɪ ç
entseuchen	ɛ n t z ɔ ɪ̯ ç n̩
entsinnen	ɛ n t z ɪ n n̩
entspannen	ʔ ɛ n t ʃ p a n ə n
entstaub	ɛ n t ʃ t a ʊ̯ p
entstauben	ɛ n t ʃ t a ʊ̯ b n̩
entstehen	ʔ ɛ n t ʃ t eː ə n
entstellen	ʔ ɛ n t ʃ t ɛ l ə n
entströmen	ɛ n t ʃ t ʁ øː m ə n
entsäuern	ɛ n t z ɔ ɪ̯ ɐ n
entteeren	ɛ n t t eː ʁ ə n
entthronen	ɛ n t ʁ oː n ə n
enttäuschen	ɛ n t t ɔ ʏ̯ ʃ ə n
enttäuschend	ɛ n t t ɔ ɪ̯ ʃ n̩ t
enttäuscht	ɛ n t ɔ ɪ̯ ʃ t
entwachsen	ɛ n t v a k s n̩
entwaffnen	ʔ ɛ n t v a f n ə n
entwalden	ɛ n t v a l d ə n
entwarnen	ɛ n t v a ʁ n ə n
entweder	ɛ n t v eː d ɐ
entwesen	ɛ n t v eː z ə n
entwickeln	ʔ ɛ n t v ɪ k l̩ n
entwickelt	ɛ n t v ɪ k l̩ t
entwirren	ɛ n t v ɪ ʁ ə n
entwunden	ɛ n t v ʊ n d ə n
entzaubernd	ɛ n t t͡s a ʊ̯ b ɐ n t
entziffern	ɛ n t t͡s ɪ f ɐ n
entzweireißen	ɛ n t t͡s v a ɪ̯ ʁ a ɪ̯ s n̩
entzücken	ɛ n t t͡s ʏ k ə n
entzückend	ɛ n t t͡s ʏ k n̩ t
enzootisch	ɛ n t͡s o oː t ɪ ʃ
ephemer	e f e m eː ɐ̯
epileptisch	e p i l ɛ p t ɪ ʃ
epilieren	e p i l iː ʁ ə n
epochal	e p ɔ χ aː l
erahnen	e r aː n ə n
erbarmungslos	ɛ ɐ̯ b a ʁ m ʊ ŋ s l oː s
erbauen	ɛ ɐ̯ b a ʊ̯ ə n
erbaulich	ɛ ɐ̯ b a ʊ̯ l ɪ ç
erben	ɛ ʁ b n̩
erbieten	ɛ r b iː t ə n
erbitten	ɛ ɐ̯ b ɪ t n̩
erbittern	ɛ ɐ̯ b ɪ t ɐ n
erbkrank	ɛ r p k r a ŋ k
erblassen	ɛ ɐ̯ b l a s n̩
erblich	ɛ ʁ b l ɪ ç
erblinden	ɛ ɐ̯ b l ɪ n d n̩
erbrechen	ɛ ɐ̯ b ʁ ɛ ç ə n
erbärmlich	ɛ ɐ̯ b ɛ ʁ m l ɪ ç
erbötig	ɛ ɐ̯ b øː t ɪ k
erdbebengefährdet	eː ɐ̯ t b eː b n̩ ɡ ə f ɛː ɐ̯ d ə t
erdenken	ɛ ɐ̯ d ɛ ŋ k n̩
erdenklich	ɛ ɐ̯ d ɛ ŋ k l ɪ ç
erdhaltig	eː ɐ̯ t h a l t ɪ k
erdröhnen	ɛ ɐ̯ d ʁ øː n ə n
erdrückend	ɛ ʁ d ʁ ʏ k n̩ t
erdulden	ɛ ɐ̯ d ʊ l d n̩
erdunkeln	ɛ ɐ̯ d ʊ ŋ k l̩ n
erdähnlich	eː ɐ̯ t ʔ eː n l ɪ ç
ereifern	ɛ ɐ̯ ʔ a ɪ̯ f ɐ n
ereignen	ɛ ʁ a ɪ̯ ɡ n ə n
ereignisbasiert	ɛ ɐ̯ ʔ a ɪ̯ ɡ n ɪ s b a z iː ɐ̯ t
