'n	m
trödel	t ʁ øː d l̩
trödeln	t ʁ øː d l̩ n
trödler	t ʁ øː d l ɐ
tröndelag	t r œ n d ə l aː k
tröpfchen	t r œ p f ç ə n
tröpfeln	t ʁ œ p f l̩ n
trösten	t r øː s t ə n
tröten	t ʁ øː t n̩
trüben	t r yː b ə n
trübheit	t ʁ yː p h a ɪ̯ t
trübsal	t ʁ yː p z a l
trübselig	t ʁ yː p z eː l ɪ ç
trübsinn	t ʁ yː p z ɪ n
trübsinnes	t ʁ yː p z ɪ n ə s
trübsinnig	t ʁ yː p z ɪ n ɪ k
trübsinns	t ʁ yː p z ɪ n s
trügen	t ʁ yː ɡ ə n
trügerisch	t ʁ yː ɡ ə ʁ ɪ ʃ
trümmerfrau	t ʁ ʏ m ɐ f ʁ a ʊ̯
tschadisch	t͡ʃ a d ɪ ʃ
tschador	t͡ʃ a d oː ɐ̯
tschako	t ʃ a k o
tschau	t ʃ a ʊ̯
tschechei	t͡ʃ ɛ ç a ɪ̯
tschechenigel	t͡ʃ ɛ ç n̩ ʔ iː ɡ l̩
tschecherant	t ʃ ɛ ç ə ʁ a n t
tschechien	t͡ʃ ɛ ç i̯ ə n
tschechisch	t͡ʃ ɛ ç ɪ ʃ
tschechoslowakei	t ʃ ɛ ç o s l o v a k a ɪ̯
tschechoslowakisch	t͡ʃ ɛ ç o s l o v aː k ɪ ʃ
tschekist	t ʃ e k ɪ s t
tschenstochau	t͡ʃ ɛ n s t ɔ x a ʊ̯
tschernobyl	t ʃ ɛ ʁ n o b ɪ l
tschetschenien	t ʃ ɛ t ʃ eː n i ə n
tschick	t͡ʃ ɪ k
tschinelle	t͡ʃ ɪ n ɛ l ə
tschinellenaffe	t͡ʃ ɪ n ɛ l ə n ʔ a f ə
tschuldigung	t͡ʃ ʊ l d ɪ ɡ ʊ ŋ
tschuri	t ʃ ʊ ʁ iː
tschusch	t͡ʃ uː ʃ
tschö	t ʃ øː
tschüs	t ʃ yː s
tschüsch	t ʃ yː ʃ
tschüss	t͡ʃ ʏ s
tschüssikowski	t͡ʃ ʏ s i k ɔ f s k i
tschüß	t ʃ yː s
tsunami	t͡s u n aː m i
tu	t uː
tuba	t uː b a
tubaspieler	t uː b a ʃ p iː l ɐ
tube	t uː b ə
tuch	t uː x
tuchel	t uː x ə l
tuchels	t uː x ə l s
tuchen	t uː χ n̩
tuchfühlung	t uː x f yː l ʊ ŋ
tuchhändler	t uː x h ɛ n d l ɐ
tuchhändlers	t uː x h ɛ n d l ɐ s
tuchmacher	t uː x m a x ə ʁ
tuchmacherin	t uː x m a χ ɐ ʁ ɪ n
tuchwarenhändler	t uː x v aː ʁ ə n h ɛ n d l ɐ
tuchwarenhändlers	t uː x v aː ʁ ə n h ɛ n d l ɐ s
tuckern	t ʊ k ə r n
tuen	t uː ə n
tuest	t uː ə s t
tuet	t uː ə t
tugend	t uː ɡ n̩ t
tugendhaft	t uː ɡ n̩ t h a f t
tugendreich	t uː ɡ n̩ t ʁ a ɪ̯ ç
tukan	t u k aː n
tulpenblüte	t ʊ l p m̩ b l yː t ə
tulpenstrauß	t ʊ l p ə n ʃ t r a ʊ̯ s
tumb	t ʊ m p
tumor	t u m oː ɐ̯
tumult	t u m ʊ l t
tumultuarisch	t u m ʊ l t u ʔ a ʁ ɪ ʃ
tunen	t j uː n ə n
tunesien	t u n eː z i̯ ə n
tunesier	t u n eː z i̯ ɐ
tungern	t ʊ ŋ ɐ n
tunika	t uː n i k a
tunnelblick	t ʊ n l̩ b l ɪ k
tunnelbohrmaschine	t ʊ n ə l b oː ɐ̯ m a ʃ iː n ə
tunnelsystem	t ʊ n l̩ z ʏ s t eː m
tunnelzug	t ʊ n ə l t͡s uː k
tunte	t ʊ n t ə
tuntenballett	t ʊ n t ə n b a l ɛ t
tunwort	t uː n v ɔ ʁ t
tupel	t uː p l̩
tupf	t ʊ p f
tupfen	t ʊ p f ə n
tupfer	t ʊ p f ə r
tupperparty	t ʊ p ɐ p aː ɐ̯ t i
turban	t ʊ r b aː n
turbanschnecke	t ʊ r b aː n ʃ n ɛ k ə
turbokapitalismus	t ʊ ʁ b o k a p i t a l ɪ s m ʊ s
turbulent	t ʊ ʁ b u l ɛ n t
turin	t u r iː n
turiner	t u ʁ iː n ɐ
turingmaschine	t j uː ʁ ɪ ŋ m a ʃ iː n ə
turingmächtig	t j uː ʁ ɪ ŋ m ɛ ç t ɪ ç
turinisch	t u ʁ iː n ɪ ʃ
turkmenistan	t ʊ ʁ k m eː n ɪ s t a n
turkologie	t u ʁ k o l o ɡ iː
turmbauer	t ʊ ʁ m b a ʊ̯ ɐ
turmfalke	t ʊ r m f a l k ə
turmuhr	t ʊ ʁ m ʔ uː ɐ̯
turnbeutel	t ʊ ʁ n b ɔ ɪ̯ t l̩
turnbeutelvergesser	t ʊ ʁ n b ɔ ɪ̯ t l̩ f ɛ ɐ̯ ɡ ɛ s ɐ
turnier	t u n iː r
turniererfahren	t ʊ ʁ n iː ɐ̯ ʔ ɛ ɐ̯ f aː ʁ ə n
turnsaal	t ʊ ʁ n s aː l
turnusgemäß	t ʊ ʁ n ʊ s ɡ ə m ɛː s
turnusmäßig	t ʊ ʁ n ʊ s m ɛː s ɪ ç
turnübung	t ʊ ʁ n yː b ʊ ŋ
turtel	t ʊ ʁ t l̩
turteln	t ʊ ʁ t l̩ n
tuse	t uː z ə
tussi	t ʊ s i
tutanchamun	t u t a n ç a m uː n
tute	t uː t ə
tutenchamun	t u t ɛ n ç a m uː n
tutorium	t u t oː ʁ i ʊ m
tuttlingen	t ʊ t l ɪ ŋ ə n
tutu	t y t yː
tuvaluisch	t u v aː l u ɪ ʃ
tuwinisch	t u v iː n ɪ ʃ
tuwort	t uː v ɔ ʁ t
tweed	t v iː t
tweet	t v iː t
tweeten	t v iː t n̩
twen	t v ɛ n
twerken	t v ɛ ʁ k n̩
twink	t v ɪ ŋ k
twist	t v ɪ s t
twistringen	t v ɪ s t ʁ ɪ ŋ ə n
twitter	t v ɪ t ə r
twittern	t v ɪ t ə r n
typberatung	t yː p b ə ʁ aː t ʊ ŋ
typchen	t yː p ç ə n
typenschild	t yː p n̩ ʃ ɪ l t
typhus	t yː f ʊ s
typin	t yː p ɪ n
typinnen	t yː p ɪ n ə n
typisieren	t y p i z iː ʁ ə n
typlokalität	t yː p l o k aˑ l i t ɛː t
typografie	t y p o ɡ ʁ a f iː
typographie	t y p o ɡ ʁ a f iː
typus	t yː p ʊ s
tyrrhenisch	t ʏ ʁ eː n ɪ ʃ
täfelchen	t ɛː f ə l ç ə n
täfelung	t ɛː f ə l ʊ ŋ
täglich	t eː k l ɪ ç
täler	t eː l ɐ
tändelei	t ɛ n d ə l a ɪ̯
tändeln	t ɛ n d l̩ n
tändelnd	t ɛ n d l̩ n t
tänzeln	t ɛ n t͡s l̩ n
tänzelnd	t ɛ n t͡s l̩ n t
tänzer	t ɛ n t͡s ɐ
tänzerin	t ɛ n t͡s ə ʁ ɪ n
täppisch	t ɛ p ɪ ʃ
täschner	t ɛ ʃ n ɐ
tässchen	t ɛ s ç ə n
täter	t ɛː t ə r
täterschaft	t eː t ɐ ʃ a f t
tätervolk	t eː t ɐ f ɔ l k
tätig	t eː t ɪ ç
tätigen	t eː t ɪ ɡ n̩
tätigkeit	t ɛː t ɪ ç k a ɪ̯ t
tätigkeiten	t ɛː t ɪ ç k a ɪ̯ t ə n
tätigkeitsform	t ɛː t ɪ ç k a ɪ̯ t͡s f ɔ ʁ m
tätlich	t eː t l ɪ ç
tätowieren	t eː t o v iː ʁ ə n
tätowierung	t eː t o v iː ʁ ʊ ŋ
tätscheln	t ɛ t͡ʃ l̩ n
täubchen	t ɔ ʏ̯ p ç ə n
täuber	t ɔ ʏ̯ b ə r
täubin	t ɔ ʏ̯ b ɪ n
täublein	t ɔ ɪ̯ p l a ɪ̯ n
täufer	t ɔ ʏ̯ f ɐ
täuschen	t ɔ ɪ̯ ʃ ə n
täuschung	t ɔ ɪ̯ ʃ ʊ ŋ
töchterschule	t œ ç t ɐ ʃ uː l ə
töfte	t œ f t ə
töggelen	t œ ɡ ə l ə n
töle	t øː l ə
tölpelhaft	t œ l p l̩ h a f t
tölz	t œ l t͡s
tölz'	t œ l t͡s
tönern	t øː n ɐ n
tönisvorst	t øː n ɪ s f ɔ ʁ s t
tönning	t œ n ɪ ŋ
töpfe	t œ p f ə
töpfen	t œ p f ə n
töpfer	t œ p f ə r
töpferei	t œ p͡f ə ʁ a ɪ̯
töpfern	t œ p f ɐ n
törn	t œ ʁ n
törtchen	t œ ʁ t ç ə n
törö	t ø ʁ øː
töter	t øː t ɐ
tötungsdelikt	t øː t ʊ ŋ s d e l ɪ k t
tübchen	t yː p ç ə n
tübingens	t yː b ɪ ŋ ə n s
tüddelkram	t y d l̩ k r aː m
tüdelig	t yː d ə l ɪ ç
tüdeln	t yː d l̩ n
tüfteln	t ʏ f t ə l n
tüll	t ʏ l
tülle	t ʏ l ə
tüllen	t ʏ l ə n
tülls	t ʏ l s
tülpchen	t ʏ l p ç ə n
tümelei	t yː m ə l a ɪ̯
tümpel	t ʏ m p l̩
tünnes	t ʏ n ə s
tür	t yː r
türangel	t yː ɐ̯ a ŋ l̩
türdrücker	t y ɐ̯ d r ʏ k ɐ
türgriff	t yː ɐ̯ ɡ ʁ ɪ f
türgriffe	t yː ɐ̯ ɡ ʁ ɪ f ə
türgriffes	t yː ɐ̯ ɡ ʁ ɪ f ə s
türgriffs	t yː ɐ̯ ɡ ʁ ɪ f s
türhüter	t yː ɐ̯ h yː t ɐ
türke	t ʏ r k ə
türken	t ʏ ʁ k n̩
türkenkoffer	t ʏ ʁ k ə n k ɔ f ə ʁ
türkischstämmig	t ʏ ʁ k ɪ ʃ ʃ t ɛ m ɪ ç
türklinke	t yː r k l ɪ ŋ k ə
türknopf	t yː r k n ɔ p f
türknopfe	t yː ɐ̯ k n ɔ p͡f ə
türknopfes	t yː ɐ̯ k n ɔ p͡f ə s
türknopfs	t yː ɐ̯ k n ɔ p͡f s
türknöpfe	t yː ɐ̯ k n œ p͡f n̩
türknöpfen	t yː ɐ̯ k n œ p͡f n̩
türmatte	t yː ɐ̯ m a t ə
türpfosten	t yː ɐ̯ p͡f ɔ s t n̩
türschlüssel	t yː ɐ̯ ʃ l ʏ s l̩
türschlüssels	t yː ɐ̯ ʃ l ʏ s l̩ s
türschnalle	t y ɐ̯ ʃ n a l ə
türspalt	t yː ɐ̯ ʃ p a l t
türspion	t yː ɐ̯ ʃ p i oː n
türspione	t yː ɐ̯ ʃ p i oː n ə
türspionen	t yː ɐ̯ ʃ p i oː n ə n
türspions	t yː ɐ̯ ʃ p i oː n s
türsteher	t yː ɐ̯ ʃ t eː ɐ
türstock	t yː ɐ̯ ʃ t ɔ k
türsturz	t yː ɐ̯ ʃ t ʊ ɐ̯ t͡s
türverriegelung	t yː ɐ̯ f ɛ ɐ̯ ʁ iː ɡ ə l ʊ ŋ
türzarge	t yː r t s a r ɡ ə
tüskendör	t ʏ s k ə n d øː ɐ̯
tüte	t yː t ə
tüttel	t ʏ t l̩
tüv	t ʏ f
u	ʔ uː
ubiquitär	u b i k v i t ɛː ɐ̯
uchte	ʊ x t ə
uckermark	ʊ k ɐ m a ʁ k
udssr	u d e ʔ ɛ s ʔ ɛ s ʔ ɛ ʁ
ueckermünde	ʏ k ɐ m ʏ n d ə
uelzen	ʏ l t͡s n̩
uetersen	yː t ɐ z n̩
ufer	uː f ɐ
uff	ʔ ʊ f
uffenheim	ʊ f n̩ h a ɪ̯ m
ufo	uː f o
ufologe	u f o l oː ɡ ə
ugrisch	uː ɡ ʀ ɪ ʃ
uhr	uː r
uhren	ʔ uː ɐ̯ n
uhrenfeder	uː ʁ ə n f eː d ɐ
uhrglasnagel	uː ɐ̯ ɡ l aː s n aː ɡ l̩
uhrmacherin	uː ɐ m a χ ɐ ʁ ɪ n
uhrwerk	uː ɐ̯ v ɛ ʁ k
uhrzeiger	uː r t s a ɪ̯ ɡ ɐ
uhrzeigersinn	uː ɐ̯ t͡s a ɪ̯ ɡ ɐ z ɪ n
uhrzeit	uː ɐ̯ t͡s a ɪ̯ t
uhrzeiten	uː ɐ̯ t͡s a ɪ̯ t n̩
uhu	uː h u
ui	ʊ ɪ̯
uigure	ʊ ɪ̯ ɡ uː ʁ ə
ukas	uː k a s
ukrainisch	u k ʁ a ɪ̯ n ɪ ʃ
ukulele	u k u l eː l ə
ulan	u l aː n
uldonia	ʊ l d oː n i̯ a
ulk	ʊ l k
ulkig	ʊ l k ɪ ç
ulm	ʊ l m
ulme	ʊ l m ə
ulster	ʊ l s t ɐ
ultimativ	ʊ l t i m aˑ t iː f
ultramontan	ʊ l t ʁ a m ɔ n t aː n
ultranationalismus	ʊ l t ʁ a n a t͡s i̯ o n a l ɪ s m ʊ s
ultrareich	ʊ l t ʁ a ʁ a ɪ̯ ç
ultraschallgerät	ʊ l t ʁ a ʃ a l ɡ ə ʁ ɛː t
umarbeiten	ʊ m a ʁ b a ɪ̯ t ə n
umarmen	ʊ m ʔ a ʁ m ə n
umbau	ʊ m b a ʊ̯
umbauen	ʊ m b a ʊ̯ ə n
umbenennen	ʊ m b ə n ɛ n ə n
umbiegen	ʊ m b iː ɡ ŋ̩
umbilder	ʊ m b ɪ l d ɐ
umbildung	ʊ m b ɪ l d ʊ ŋ
umbinden	ʊ m b i n d n̩
umblicken	ʊ m b l ɪ k ə n
umblicker	ʊ m b l ɪ k ɐ
umbringer	ʊ m b ʁ ɪ ŋ ɐ
umbringers	ʊ m b ʁ ɪ ŋ ɐ s
umbruch	ʊ m b ʁ ʊ x
umbuchen	ʊ m b uː x ŋ̍
umbucher	ʊ m b uː x ɐ
umbuchers	ʊ m b uː x ɐ s
umbuchung	ʊ m b uː x ʊ ŋ
umbuchungen	ʊ m b uː x ʊ ŋ ə n
umdenken	ʊ m d ɛ ŋ k n̩
umdeuten	ʊ m d ɔ ʏ̯ t n̩
umdisponieren	ʊ m d ɪ s p o n iː ʁ ə n
umdreher	ʊ m d ʁ eː ɐ
umdrehers	ʊ m d ʁ eː ɐ s
umeinander	ʊ m a ɪ̯ n a n d ɐ
umeinanderstehen	ʔ ʊ m ʔ a ɪ̯ n ʔ a n d ɐ ʃ t eː ə n
umerziehen	ʊ m ʔ ɛ ɐ̯ t͡s iː ə n
umerziehung	ʊ m ʔ ɛ ɐ̯ t͡s iː ʊ ŋ
umerziehungslager	ʊ m ʔ ɛ ɐ̯ t͡s iː ʊ ŋ s l aː ɡ ɐ
umfahrers	ʊ m f aː ʁ ɐ s
umfallen	ʊ m f a l ə n
umfaller	ʊ m f a l ɐ
umfallers	ʊ m f a l ɐ s
umfang	ʊ m f a ŋ
umfangen	ʊ m f a ŋ ə n
umfangswinkel	ʊ m f a ŋ s v ɪ ŋ k ə l
umfassen	ʔ ʊ m f a s n̩
umfassung	ʊ m f a s ʊ ŋ
umfelder	ʔ ʊ m f ɛ l d ɐ
umfließung	ʊ m f l iː s ʊ ŋ
umformer	ʊ m f ɔ ʁ m ɐ
umformerin	ʊ m f ɔ ʁ m ə ʁ ɪ n
umformerinnen	ʊ m f ɔ ʁ m ə ʁ ɪ n ə n
umformers	ʊ m f ɔ ʁ m ɐ s
umformulierer	ʊ m f ɔ ʁ m u l iː ʁ ɐ
umformulierers	ʊ m f ɔ ʁ m u l iː ʁ ɐ s
umformung	ʊ m f ɔ ʁ m ʊ ŋ
umfrage	ʊ m f ʁ aː ɡ ə
umfrageergebnis	ʊ m f ʁ aː ɡ ə ʔ ɛ ɐ̯ ɡ eː p n ɪ s
umfrieden	ʊ m f ʁ iː d n̩
umfrieder	ʊ m f ʁ iː d ɐ
umfrieders	ʊ m f ʁ iː d ɐ s
umfriedung	ʊ m f ʁ iː d ʊ ŋ
umfärben	ʊ m f ɛ ʁ b ə n
umfärber	ʊ m f ɛ ʁ b ɐ
umfärbers	ʊ m f ɛ ʁ b ɐ s
umgang	ʊ m ɡ a ŋ
umgangsform	ʊ m ɡ a ŋ s f ɔ ʁ m
umgangssprache	ʊ m ɡ a ŋ s ʃ p ʁ aː x ə
umgangssprachen	ʊ m ɡ a ŋ s ʃ p ʁ aː x ŋ
umgangssprachgebrauch	ʊ m ɡ a ŋ s ʃ p ʁ aː χ ɡ ə b ʁ a ʊ̯ χ
umgangssprachlich	ʊ m ɡ a ŋ s ʃ p ʁ aː χ l ɪ ç
umgarner	ʊ m ɡ a ʁ n ɐ
umgarnerin	ʊ m ɡ a ʁ n ə ʁ ɪ n
umgarnerinnen	ʊ m ɡ a ʁ n ə ʁ ɪ n ə n
umgarners	ʊ m ɡ a ʁ n ɐ s
umgeberin	ʊ m ɡ eː b ə ʁ ɪ n
umgeberinnen	ʊ m ɡ eː b ə ʁ ɪ n ə n
umgebung	ʊ m ɡ eː b ʊ ŋ
umgebungsluft	ʊ m ɡ eː b ʊ ŋ s l ʊ f t
umgehen	ʊ m ɡ eː ə n
umgehend	ʊ m ɡ eː ə n t
umgeher	ʊ m ɡ eː ɐ
umgeherin	ʊ m ɡ eː ə ʁ ɪ n
umgeherinnen	ʊ m ɡ eː ə ʁ ɪ n ə n
umgehung	ʊ m ɡ eː ʊ ŋ
umgehungsstraße	ʊ m ɡ eː ʊ ŋ s ʃ t ʁ aː s ə
umgekommen	ʊ m ɡ ə k ɔ m ə n
umgekommene	ʊ m ɡ ə k ɔ m ə n ə
umgekommenen	ʊ m ɡ ə k ɔ m ə n ə n
umgekommener	ʊ m ɡ ə k ɔ m ə n ɐ
umgelautet	ʊ m ɡ ə l a ʊ̯ t ə t
umgenutzt	ʊ m ɡ ə n ʊ t͡s t
umgeparkt	ʊ m ɡ ə p a ʁ k t
umgepflanzt	ʊ m ɡ ə p͡f l a n t͡s t
umgepolt	ʊ m ɡ ə p oː l t
umgestimmt	ʊ m ɡ ə ʃ t ɪ m t
umgewöhnen	ʊ m ɡ ə v øː n ə n
umgewöhner	ʊ m ɡ ə v øː n ɐ
umgewöhners	ʊ m ɡ ə v øː n ɐ s
umgewöhnt	ʊ m ɡ ə v øː n t
umgewöhnung	ʊ m ɡ ə v øː n ʊ ŋ
umgeändert	ʊ m ɡ ə ɛ n d ɐ t
umgraben	ʔ ʊ m ɡ ʁ aː b m̩
umgänglich	ʊ m ɡ ɛ ŋ l ɪ ç
umhaben	ʊ m h aː b ə n
umhang	ʊ m h a ŋ
umhauen	ʊ m h a ʊ̯ ə n
umhauer	ʊ m h a ʊ̯ ɐ
umhauers	ʊ m h a ʊ̯ ɐ s
umhausen	ʊ m h a ʊ̯ z ə n
umhausens	ʊ m h a ʊ̯ z ə n s
umher	ʊ m h eː ɐ̯
umherbewegend	ʊ m h eː ɐ̯ b ə v eː ɡ ə n d
umhergehen	ʊ m h eː ɐ̯ ɡ eː ə n
umhergeher	ʊ m h eː ɐ̯ ɡ eː ɐ
umhergeherin	ʊ m h eː ɐ̯ ɡ eː ə ʁ ɪ n
umhergeherinnen	ʊ m h eː ɐ̯ ɡ eː ə ʁ ɪ n ə n
umhergehers	ʊ m h eː ɐ̯ ɡ eː ɐ s
umherziehen	ʊ m h eː ɐ̯ t͡s iː ə n
umherziehend	ʊ m h eː ɐ̯ t͡s iː ə n d
umherzieher	ʊ m h eː ɐ̯ t͡s iː ɐ
umherziehers	ʊ m h eː ɐ̯ t͡s iː ɐ s
umhin	ʊ m h ɪ n
umhingekonnt	ʊ m h ɪ n ɡ ə k ɔ n t
umhinkönnen	ʊ m h ɪ n k œ n ə n
umhüller	ʊ m h ʏ l ɐ
umhüllerin	ʊ m h ʏ l ə ʁ ɪ n
umhüllerinnen	ʊ m h ʏ l ə ʁ ɪ n ə n
umhüllers	ʊ m h ʏ l ɐ s
umhüllt	ʊ m h ʏ l t
umhüllung	ʊ m h ʏ l ʊ ŋ
umhüllungen	ʊ m h ʏ l ʊ ŋ ə n
umkehrer	ʊ m k eː ʁ ɐ
umkehrerin	ʊ m k eː ʁ ə ʁ ɪ n
umkehrerinnen	ʊ m k eː ʁ ə ʁ ɪ n ə n
umkehrers	ʊ m k eː ʁ ɐ s
umkippen	ʊ m k ɪ p n̩
umkipper	ʊ m k ɪ p ɐ
umkippers	ʊ m k ɪ p ɐ s
umklammerers	ʊ̯ m k l a m ɐ ʁ ɐ s
umklammern	ʊ m k l a m m e r n
umklappen	ʊ m k l a p ə n
umklapper	ʊ m k l a p ɐ
umklappers	ʊ m k l a p ɐ s
umkleiden	ʊ m k l a ɪ̯ d n̩
umkommen	ʊ m k ɔ m ə n
umkreisen	ʊ m k ʁ a ɪ̯ z ə n
umkreiser	ʊ m k ʁ a ɪ̯ z ɐ
umkreisers	ʊ m k ʁ a ɪ̯ z ɐ s
umkrempeln	ʊ m k ʁ ɛ m p l̩ n
umkrempler	ʊ m k ʁ ɛ m p l ɐ
umkremplers	ʊ m k ʁ ɛ m p l ɐ s
umkristallisieren	ʊ m k ʁ ɪ s t a l i z iː ʁ ə n
umkristallisierer	ʊ m k ʁ ɪ s t a l i z iː ʁ ɐ
umkristallisierers	ʊ m k ʁ ɪ s t a l i z iː ʁ ɐ s
umkristallisierung	ʊ m k ʁ ɪ s t a l i z iː ʁ ʊ ŋ
umkämpfen	ʊ m k ɛ m p͡f n̩
umlage	ʊ m l aː ɡ ə
umlaufbahn	ʔ ʊ m l a ʊ̯ f b aː n
umlaufbahnen	ʔ ʊ m l a ʊ̯ f b aː n ə n
umlaufen	ʊ m l a ʊ̯ f n̩
umlaut	ʊ m l a ʊ̯ t
umlauten	ʊ m l a ʊ̯ t n̩
umlautend	ʊ m l a ʊ̯ t ə n t
umlegen	ʊ m l eː ɡ n̩
umleitung	ʊ m l a ɪ̯ t ʊ ŋ
umlernen	ʊ m l ɛ ʁ n ə n
umlohen	ʊ m l oː ə n
umläufig	ʊ m l ɔ ɪ̯ f ɪ k
umlügen	ʊ m l yː ɡ ə n
ummanteler	ʊ m m a n t l̩ ɐ
ummanteln	ʊ m m a n t l̩ n
ummantelung	ʊ m m a n t ə l ʊ ŋ
ummauert	ʊ m m a ʊ̯ ɐ t
ummelden	ʔ ʊ m m ɛ l d n̩
umnachtet	ʊ m n a χ t ə t
umnieten	ʊ m n iː t n̩
umnutzen	ʊ m n ʊ t s ə n
umnutzung	ʊ m n ʊ t s ʊ ŋ
umparkend	ʊ m p a ʁ k n̩ t
umpflanzen	ʊ m p͡f l a n t͡s n̩
umpflanzend	ʊ m p f l a n t s n̩ t
umpflanzer	ʊ m p͡f l a n t͡s ɐ
umpolen	ʊ m p oː l ə n
umpolend	ʊ m p oː l ə n t
umpoler	ʊ m p oː l ɐ
umrechnen	ʊ m ʁ ɛ ç n ə n
umrechnung	ʊ m ʁ ɛ ç n ʊ ŋ
umrechnungsfaktor	ʊ m ʁ ɛ ç n ʊ ŋ s f a k t oː ɐ̯
umreißen	ʊ m ʁ a ɪ̯ s n̩
umringen	ʊ m r ɪ ŋ ə n
umrunden	ʊ m ʁ ʊ n d n̩
umrüstend	ʊ m ʁ ʏ s t ə n t
umrüster	ʊ m ʁ ʏ s t ɐ
umrüsters	ʊ m ʁ ʏ s t ɐ s
umsatteln	ʊ m z a t ə l n
umsatzsteuererstattung	ʊ m z a t͡s ʃ t ɔ ʏ ɐ ɛ ɐ̯ ʃ t a t ʊ ŋ
umsatzsteuerfrei	ʊ m z a t͡s ʃ t ɔ ʏ ɐ f ʁ a ɪ̯
umsatzsteuerpflichtig	ʊ m z a t͡s ʃ t ɔ ʏ ɐ p͡f l ɪ ç t ɪ k
umsatzsteuerrückerstattung	ʊ m z a t͡s ʃ t ɔ ʏ ɐ ʁ ʏ k ɛ ɐ̯ ʃ t a t ʊ ŋ
umschalten	ʔ ʊ m ʃ a l t n̩
umschalter	ʊ m ʃ a l t ɐ
umschalters	ʊ m ʃ a l t ɐ s
umschalttaste	ʔ ʊ m ʃ a l t t a s t ə
umschauen	ʊ m ʃ a ʊ̯ ə n
umschauer	ʊ m ʃ a ʊ̯ ɐ
umschauers	ʊ m ʃ a ʊ̯ ɐ s
umschichten	ʊ m ʃ ɪ ç t ə n
umschichter	ʊ m ʃ ɪ ç t ɐ
umschichters	ʊ m ʃ ɪ ç t ɐ s
umschiffen	ʊ m ʃ ɪ f ə n
umschiffer	ʊ m ʃ ɪ f ɐ
umschiffers	ʊ m ʃ ɪ f ɐ s
umschlagplatzes	ʊ m ʃ l aː k p l a t͡s ə s
umschlagplätze	ʊ m ʃ l aː k p l ɛ t͡s ə
umschlichten	ʊ m ʃ l ɪ ç t n̩
umschliessen	ʊ m ʃ l iː s ə n
umschließen	ʊ m ʃ l iː s ə n
umschließer	ʊ m ʃ l iː s ɐ
umschlingen	ʊ m ʃ l ɪ ŋ ə n
umschlingung	ʊ m ʃ l ɪ ŋ ʊ ŋ
umschläge	ʊ m ʃ l eː ɡ ə
umschmelzen	ʊ m ʃ m ɛ l t͡s ə n
umschmelzer	ʊ m ʃ m ɛ l t͡s ɐ
umschreiben	ʊ m ʃ r a ɪ̯ b ə n
umschreiber	ʊ m ʃ r a ɪ̯ b ɐ
umschreibung	ʊ m ʃ ʁ a ɪ̯ b ʊ ŋ
umschulder	ʊ m ʃ ʊ l d ɐ
umschuler	ʊ m ʃ uː l ɐ
umschweif	ʊ m ʃ v a ɪ̯ f
umschwung	ʊ m ʃ v ʊ ŋ
umseitig	ʊ m z a ɪ̯ t ɪ ç
umsetzung	ʊ m z ɛ t s ʊ ŋ
umsicht	ʊ m z ɪ ç t
umsichtig	ʊ m z ɪ ç t ɪ k
umsichtigen	ʊ m z ɪ ç t ɪ ɡ n̩
umsichtigste	ʊ m z ɪ ç t ɪ ç s t ə
umsichtigstem	ʊ m z ɪ ç t ɪ ç s t ə m
umsichtigsten	ʊ m z ɪ ç t ɪ ç s t n̩
umsichtigster	ʊ m z ɪ ç t ɪ ç s t ɐ
umsichtigstes	ʊ m z ɪ ç t ɪ ç s t ə s
umsiedeln	ʔ ʊ m z iː d l̩ n
umspannen	ʊ m ʃ p a n ə n
umstand	ʊ m ʃ t a n t
umstandsbestimmung	ʊ m ʃ t a n t͡s b ə ʃ t ɪ m ʊ ŋ
umstandslos	ʊ m ʃ t a n t͡s l oː s
umstandswort	ʊ m ʃ t a n t͡s v ɔ ʁ t
umsteigen	ʔ ʊ m ʃ t a ɪ̯ ɡ ŋ̩
umsteiger	ʊ m ʃ t a ɪ̯ ɡ ɐ
umsteigerin	ʊ m ʃ t a ɪ̯ ɡ ə ʁ ɪ n
umsteigerinnen	ʊ m ʃ t a ɪ̯ ɡ ə ʁ ɪ n ə n
umsteigers	ʊ m ʃ t a ɪ̯ ɡ ɐ s
umstellen	ʊ m ʃ t ɛ l ə n
umstieg	ʊ m ʃ t iː k
umstimmend	ʊ m ʃ t ɪ m ə n t
umstimmungsversuch	ʊ m ʃ t ɪ m ʊ ŋ s f ɛ ɐ̯ z uː x
umstimmungsversuche	ʊ m ʃ t ɪ m ʊ ŋ s f ɛ ɐ̯ z uː x ə
umstreiten	ʊ m ʃ t ʁ a ɪ̯ t n̩
umstrukturieren	ʊ m ʃ t ʁ ʊ k t u ʁ iː ʁ ə n
umsturz	ʊ m ʃ t ʊ ʁ t͡s
umständlich	ʊ m ʃ t ɛ n t l ɪ ç
umstürzen	ʊ m ʃ t ʏ ʁ t͡s n̩
umstürzlerisch	ʊ m ʃ t ʏ ʁ t͡s l ə ʁ ɪ ʃ
umtaufen	ʊ m t a ʊ̯ f n̩
umtreiben	ʊ m t ʁ a ɪ̯ b ə n
umtreten	ʊ m t ʁ eː t n̩
umtriebig	ʊ m t ʁ iː b ɪ k
umtrunk	ʊ m t ʁ ʊ ŋ k
umverteilen	ʊ m f ɛ ɐ̯ t a ɪ̯ l ə n
