'ch	χ
ngwylanod	ŋ ʊ i̯ l a n ɔ d
ngwyliau	ŋ w ɪ l j a i̯
ngwylio	ŋ w ɪ l j ɔ
ngwys	ŋ w iː s
ngwystl	ŋ w ɪ s d l
ngwŷdd	ŋ w iː ð
ngwŷr	ŋ w iː r
ngyrru	ŋ ə r i
ngâl	ŋ aː l
ngŵr	ŋ uː r
ngŵydd	ŋ ʊ ɪ̯ ð
ngŵyr	ŋ ʊ i̯ r
nhachwedd	n̥ a χ w ɛ ð
nhad	n̥ aː d
nhadau	n̥ a d a i̯
nhafarn	n̥ a v a r n
nhafarnwraig	n̥ a v a r n w r a i̯ ɡ
nhafod	n̥ a v ɔ d
nhafodau	n̥ a v ɔ d a i̯
nhaid	n̥ a i̯ d
nhain	n̥ a i̯ n
nhair	n̥ a i̯ r
nhaith	n̥ a i̯ θ
nhal	n̥ a l
nhalcen	n̥ a l k ɛ n
nhalent	n̥ a l ɛ n t
nhaliadau	n̥ a l j a d a i̯
nhalu	n̥ a l i
nharian	n̥ a r j a n
nharianau	n̥ a r j a n a i̯
nharth	n̥ a r θ
nharw	n̥ a r u
nhasmania	n̥ a z m a n j a
nhatws	n̥ a t ʊ s
nhawe	n̥ a u̯ ɛ
nhe	n̥ eː
nheclyn	n̥ ɛ k l ɪ n
nhegan	n̥ eː ɡ a n
nhegell	n̥ ɛ ɡ ɛ ɬ
nheigr	n̥ e i̯ ɡ r
nheigrod	n̥ e i̯ ɡ r ɔ d
nheimlad	n̥ e i̯ m l a d
nheimlo	n̥ e i̯ m l ɔ
nheirw	n̥ e i̯ r u
nheisen	n̥ e i̯ s ɛ n
nheledu	n̥ ɛ l eː d i
nhelyn	n̥ eː l ɪ n
nhelynau	n̥ ɛ l ə n a i̯
nhelynor	n̥ ɛ l ə n ɔ r
nhelynores	n̥ ɛ l ə n oː r ɛ s
nheulu	n̥ e i̯ l i
nhew	n̥ ɛ u̯
nhewaf	n̥ ɛ u̯ a v
nhewed	n̥ ɛ u̯ ɛ d
nhewi	n̥ ɛ u̯ i
nheyrn	n̥ e i̯ r n
nheyrnaddoliant	n̥ e i̯ r n a ð ɔ l j a n t
nheyrnas	n̥ e i̯ r n a s
nhi	n̥ iː
nhipyn	n̥ ɪ p ɪ n
nhitw	n̥ ɪ t u
nhlodion	n̥ l ɔ d j ɔ n
nhocyn	n̥ ɔ k ɪ n
nhorri	n̥ ɔ r i
nhost	d ɔ s t
nhraed	n̥ r a i̯ d
nhraeth	n̥ r a i̯ θ
nhre	n̥ r eː
nhrefydd	n̥ r eː v ɪ ð
nhreiglad	n̥ r e i̯ ɡ l a d
nhreiglo	n̥ r e i̯ ɡ l ɔ
nhreisiwr	n̥ r e i̯ s j ʊ r
nhri	n̥ r iː
nhriongl	n̥ r iː ɔ ŋ l
nhro	n̥ r oː
nhroed	n̥ r oː d
nhrwydded	n̥ r ʊ i̯ ð ɛ d
nhrwyddedau	n̥ r ʊ i̯ ð eː d a i̯
nhrwyn	n̥ r ʊ i̯ n
nhrydanwr	n̥ r ə d a n ʊ r
nhrydanwyr	n̥ r ə d a n w ɪ r
nhu	n̥ iː
nhudalen	n̥ ɪ d a l ɛ n
nhuedd	n̥ iː ɛ ð
nhw	n̥ uː
nhwll	n̥ ʊ ɬ
nhwrci	n̥ ʊ r k i
nhwthau	n uː θ ɛ
nhwymyn	n̥ ʊ i̯ m ɪ n
nhybaco	n̥ ə b a k ɔ
nhyn	n̥ ɪ n
nhyrrau	n̥ ə r a i̯
nhywyll	n̥ ə u̯ ɪ ɬ
nhâl	n̥ aː l
nhân	n̥ aː n
nhîm	n̥ iː m
nhŵr	n̥ uː r
nhŷ	n̥ iː
ni	n iː
nial	n iː a l
nianc	n iː a ŋ k
nicaragwa	n ɪ k a r a ɡ w a
nicel	n ɪ k ɛ l
nicloth	n ɪ k l ɔ θ
nico	n ɪ k ɔ
nicotin	n ɪ k ɔ t iː n
nicotîn	n ɪ k ɔ t iː n
nid	n ɪ d
nifer	n ɪ v ɛ r
nifwl	n iː v ʊ l
nigar	n ɪ ɡ a r
nigid	n iː ɡ ɪ d
nigidau	n ɪ ɡ iː d ɛ
nigon	n iː ɡ ɔ n
nigwyddiad	n ɪ ɡ ʊ i̯ ð j a d
nihoniwm	n ɪ h ɔ n j ʊ m
nilledyn	n ɪ ɬ eː d ɪ n
nilyn	n iː l ɪ n
ninnau	n ɪ n a i̯
niobiwm	n i ɔ b j ʊ m
niod	n iː ɔ d
nis	n iː s
nisgwyl	n ɪ s ɡ ʊ i̯ l
nisgyn	n ɪ s ɡ ɪ n
nisgynebau	n ɪ s ɡ ə n eː b a i̯
nisgynneb	n ɪ s ɡ ə n ɛ b
nith	n iː θ
nithio	n ɪ θ j ɔ
nitrad	n ɪ t r a d
nitradu	n ɪ t r a d i
nitreiddiad	n ɪ t r e i̯ ð j a d
nitrogen	n ɪ t r ɔ ɡ ɛ n
niwclear	n ɪ u̯ k l ɛ a r
niwed	n ɪ u̯ ɛ d
niweidio	n ɪ u̯ e i̯ d j ɔ
niweidiol	n ɪ u̯ e i̯ d j ɔ l
niwl	n ɪ u̯ l
niwlen	n ɪ u̯ l ɛ n
niwliog	n ɪ u̯ l j ɔ ɡ
niwlog	n ɪ u̯ l ɔ ɡ
niwtron	n ɪ u̯ t r ɔ n
niwygiedig	n i w ɨ̞ ɡ j ɛ d i ɡ
nobeliwm	n ɔ b ɛ l j ʊ m
nod	n oː d
nodadwy	n ɔ d a d ʊ i̯
nodau	n oː d a i̯
nodd	n oː ð
nodded	n oː ð ɛ d
noddfa	n ɔ ð v a
noddi	n oː ð i
noddwr	n oː ð ʊ r
nodedig	n ɔ d eː d ɪ ɡ
nodedigrwydd	n ɔ d ɛ d ɪ ɡ r ʊ i̯ ð
nodi	n oː d i
nodiad	n ɔ d j a d
nodrefn	n ɔ d r ɛ v n
nodwydd	n ɔ d w ɪ ð
nodyn	n oː d ɪ n
noeth	n ɔ i̯ θ
noethni	n ɔ i̯ θ n i
nof	n oː v
nofel	n oː v ɛ l
nofi	n oː v i
nofio	n ɔ v j ɔ
nofiwr	n ɔ v j ʊ r
nofwraig	n ɔ v w r a i̯ ɡ
nofwyr	n ɔ v w ɪ r
noli	n ɔ l i
nolis	n ɔ l i z
norseg	n ɔ r s ɛ ɡ
norwy	n oː r ʊ i̯
norwyad	n ɔ r ʊ i̯ a d
norwyaidd	n ɔ r ʊ i̯ a i̯ ð
norwyes	n ɔ r ʊ i̯ ɛ s
nos	n oː s
nosbarth	n ɔ s b a r θ
nosbarthau	n ɔ s b a r θ a i̯
nosi	n ɔ s i
nosloyw	n oː s l ɔ i̯ u
noson	n ɔ s ɔ n
noswaith	n ɔ s w a i̯ θ
not	n ɔ t
nraenog	n r a i̯ n ɔ ɡ
nraig	n r a i̯ ɡ
nrama	n r a m a
nrwm	n r ʊ m
nudd	n iː ð
nudden	n iː ð ɛ n
nuedd	n iː ɛ ð
nulyn	n iː l ɪ n
nwcwpww	n ʊ k ʊ p uː ʊ
nwfr	n ʊ v r
nwy	n ʊ i̯
nwyd	n ʊ i̯ d
nwydd	n ʊ ɨ̯ ð
nwyddau	n ʊ ɨ̯ ð a i̯
nwyf	n ʊ i̯ v
nwyflwydd	n ə v l ʊ i̯ ð
nwyfre	n ʊ i̯ v r ɛ
nwylo	n iː l ɔ
nwyon	n ʊ i̯ ɔ n
nwyrain	n ʊ i̯ r a i n
nych	n iː χ
nychlyd	n ə χ l ɪ d
nydd	n iː ð
nydden	n ə ð ɛ n
nyddu	n ə ð i
nyf	n iː v
nyflwydd	n ə v l ʊ i̯ ð
nyfrgi	n ə v r ɡ i
nymff	n ɪ m f
nynes	n ə n ɛ s
nynoliaeth	n ə n ɔ l j a i̯ θ
nyrs	n ə r s
nyrsio	n ə r s j ɔ
nyrsys	n ə r s ɪ z
nysgu	n ə s ɡ i
nyth	n iː θ
nythfa	n ə θ v a
nythfeydd	n ə θ v e i̯ ð
nythu	n ə θ i
nâd	n aː d
nêr	n eː r
nôl	n oː l
o	oː
o'ch	ɔ χ
obadeia	ɔ b a d e i̯ a
obennydd	ɔ b ɛ n ɪ ð
oberon	oː b ɛ r ɔ n
obeutu	ɔ b e i̯ t i
oblegid	ɔ b l eː ɡ ɪ d
oce	ɔ k ɛ
oced	ɔ k ɛ d
ochr	oː χ ɔ r
ochrgamu	ɔ χ r ɡ a m i
ochrog	ɔ χ r ɔ ɡ
ocr	ɔ k r
ocsid	ɔ k s ɪ d
ocsidaidd	o k s ɪ d a i̯ ð
ocsidiad	o k s ɪ d j a d
ocsidydd	ɔ k s iː d ɪ ð
ocsigen	ɔ k s ɪ ɡ ɛ n
ocsigenu	ɔ k s ɪ ɡ eː n i
ocsiwn	ɔ k ʃ ʊ n
ocsiynau	ɔ k ʃ ə n a i̯
ocê	ɔ k eː
od	ɔ d
oddeutu	ɔ ð e i̯ t i
oddf	ɔ ð v
oddi	ɔ ð i
odi	oː d i
odl	ɔ d l
odli	ɔ d l i
odrif	ɔ d r iː v
odro	ɔ d r ɔ
oed	oː d
oedd	oː ð
oedi	ɔ i̯ d i
oediad	ɔ i̯ d j a d
oedolion	ɔ i̯ d ɔ l j ɔ n
oedolyn	ɔ i̯ d oː l ɪ n
oen	oː n
oenig	ɔ i̯ n ɪ ɡ
oer	oː r
oerach	ɔ i̯ r a χ
oerfel	ɔ i̯ r v ɛ l
oeri	ɔ i̯ r i
oes	oː s
oesfyr	ɔ ɪ s v ɪ r
ofalus	ɔ v a l ɪ s
ofer	oː v ɛ r
oferedd	ɔ v eː r ɛ ð
ofergoel	ɔ v ɛ r ɡ ɔ i̯ l
offeiriad	ɔ f e i̯ r j a d
offer	oː f ɛ r
offeren	ɔ f eː r ɛ n
offerennau	ɔ f ɛ r ɛ n a i̯
offeryn	ɔ f eː r ɪ n
offerynnau	ɔ f ɛ r ə n a i̯
offrwm	ɔ f r ʊ m
offrymiad	ɔ f r ə m j a d
offrymu	ɔ f r ə m ɪ
offrymwr	ɔ f r ə m ʊ r
offrymydd	ɔ f r ə m ɪ ð
ofn	oː v a n
ofnadwy	ɔ v n a d u
ofni	ɔ v n i
ofyn	oː v ɪ n
og	oː ɡ
ogan	oː ɡ a n
oganeson	ɔ ɡ a n ɛ s ɔ n
oged	oː ɡ ɛ d
ogedu	ɔ ɡ eː d i
ogledd	ɔ ɡ l ɛ ð
ogof	oː ɡ ɔ v
ogwr	oː ɡ ʊ r
ogystal	ɔ ɡ ə s d a l
oherwydd	ɔ h eː r ʊ i̯ ð
ohirio	ɔ h ɪ r j ɔ
ohonoch	ɔ h ɔ n ɔ χ
ohonon	ɔ h ɔ n ɔ n
ohonot	ɔ h ɔ n ɔ t
ohonyn	ɔ h ɔ n ɨ n
olaf	oː l a
olau	oː l a i̯
olchi	ɔ l χ i
olddodi	ɔ l ð oː d i
olddodiad	oː l ð ɔ d j a d
oleuadau	ɔ l e i̯ a d a i̯
olew	ɔ l ɛ u̯
olewydd	ɔ l ɛ u̯ ɪ ð
olewydden	ɔ l ɛ u̯ ə ð ɛ n
olif	ɔ l ɪ v
olifau	ɔ l iː v a i̯
olifs	ɔ l ɪ v z
oll	oː ɬ
olwen	ɔ l w ɛ n
olwg	oː l ʊ ɡ
olwyn	oː l ʊ i̯ n
olygfa	ɔ l ə ɡ v a
olygfeydd	ɔ l ə ɡ v e i̯ ð
olygu	ɔ l ə ɡ i
olygus	ɔ l ə ɡ ɪ s
olympaidd	ɔ l ɪ m p a i̯ ð
olyniaeth	ɔ l ə n j a i̯ θ
olynol	ɔ l ə n ɔ l
olynu	ɔ l ə n i
olynydd	ɔ l ə n ɪ ð
oman	ɔ m a n
ombwdsmon	ɔ m b ʊ d s m ɔ n
omled	ɔ m l ɛ d
omlet	ɔ m l ɛ t
onanu	ɔ n a n i
ongl	ɔ ŋ l
onglydd	ɔ ŋ l ɪ ð
oni	ɔ n i
onid	ɔ n ɪ d
onn	ɔ n
onnen	ɔ n ɛ n
ontolegol	ɔ n t ɔ l ɛ ɡ ɔ l
opteg	ɔ p t ɛ ɡ
optegol	ɔ p t eː ɡ ɔ l
optegwr	ɔ p t eː ɡ ʊ r
optegydd	ɔ p t eː ɡ ɪ ð
orbit	ɔ r b ɪ t
ordd	ɔ r ð
oren	oː r ɛ n
orffennaf	ɔ r f ɛ n a v
organ	ɔ r ɡ a n
organig	ɔ r ɡ a n ɪ ɡ
organyn	ɔ r ɡ a n ɪ n
oriau	ɔ r j a i̯
oriawr	ɔ r j a u̯ r
oriel	ɔ r j ɛ l
origami	ɔ r ɪ ɡ a m i
orllewin	ɔ r ɬ ɛ u̯ ɪ n
ormod	ɔ r m ɔ d
orsaf	ɔ r s a v
orwedd	ɔ r w ɛ ð
os	ɔ s
osgamu	ɔ s ɡ a m i
osgfwrdd	ɔ s ɡ v ʊ r ð
osgiladu	ɔ s ɡ ɪ l a d i
osgiliad	ɔ s ɡ ɪ l j a d
osgiliadu	ɔ s ɡ ɪ l a d i
osgiliadur	ɔ s ɡ ɪ l j a d ʊ r
osgl	ɔ s ɡ l
osglawr	ɔ s k l a u̯ r
osgled	ɔ s ɡ l ɛ d
osgoi	ɔ s ɡ ɔ i̯
osgöwr	ɔ s ɡ oː ʊ r
osian	ɔ ʃ a n
osmiwm	ɔ z m j ʊ m
osod	ɔ s ɔ d
ots	ɔ t s
owain	o u̯ a i̯ n
p	p iː
p'le	p l eː
p'nawn	p n a u̯ n
p'un	p iː n
pa	p aː
pab	p aː b
pabell	p a b ɛ ɬ
pabi	p a b i
pabydd	p a b ɪ ð
pabyddiaeth	p a b ə ð j a i̯ θ
pabyddion	p a b ə ð j ɔ n
pabyddol	p a b ə ð ɔ l
pabïau	p a b iː a i̯
pac	p a k
pacio	p a k j ɔ
paciodd	p a k j ɔ ð
paciwch	p a k j ʊ χ
padarn	p a d ə n
padell	p a d ɛ ɬ
pader	p a d ɛ r
padrig	p a d r ɪ ɡ
paement	p e i̯ m ɛ n t
paent	p a i̯ n t
paentiad	p e i̯ n t j a d
paentiau	p e i̯ n t j a i̯
paentio	p e i̯ n t j ɔ
paffio	p a f j ɔ
paffiwr	p a f j ʊ r
paffwyr	p a f w ɪ r
pafin	p a v ɪ n
pafán	p a v a n
pagan	p aː ɡ a n
paganiaeth	p a ɡ a n j a i̯ θ
paham	p a h a m
paid	p a i̯ d
paill	p a i̯ ɬ
pair	p a i̯ r
paith	p a i̯ θ
pajamas	p a d͡ʒ a m a z
paladiwm	p a l a d j ʊ m
palf	p a l v
pali	p a l i
palimpsest	p a l ɪ m p s ɛ s d
pall	p a ɬ
pallu	p a ɬ i
palmant	p a l m a n t
palment	p a l m ɛ n t
palmwydd	p a l m w ɪ ð
palu	p a l i
pam	p a m
pan	p a n
panasen	p a n a s ɛ n
pandai	p a n d a i̯
pandemig	p a n d ɛ m ɪ ɡ
pandemigau	p a n d ɛ m iː ɡ a i̯
pandy	p a n d i
paned	p a n ɛ d
paneidiau	p a n e i̯ d j a i̯
pang	p a ŋ
panicl	p a n ɪ k l̩
panigl	p a n ɪ ɡ l̩
pannas	p a n a s
pannog	p a n ɔ ɡ
panog	p a n ɔ ɡ
pant	p a n t
pantio	p a n t j ɔ
pantomeim	p a n t ɔ m e i̯ m
papaia	p a p a i̯ a
papur	p a p ɪ r
papws	p a p ʊ s
para	p a r a
parablus	p a r a b l ɪ s
paradwys	p a r a d ʊ i̯ s
parafeddyg	p a r a v eː ð ɪ ɡ
paragwâi	p a r a ɡ w aː i̯
paramaethu	p a r a m e i̯ θ i
paratoad	p a r a t oː a d
paratoi	p a r a t ɔ i̯
paratôdd	p a r a t oː ð
parc	p a r k
parch	p a r χ
parchedig	p a r χ eː d ɪ ɡ
parchu	p a r χ i
parchus	p a r χ ɪ s
parcio	p a r k j ɔ
parddu	p a r ð i
pardduo	p a r ð iː ɔ
pared	p a r ɛ d
parhad	p a r h aː d
parhaol	p a r h a u̯ ɔ l
parhau	p a r h a i̯
parhaus	p a r h a i̯ s
paris	p a r ɪ s
parlwr	p a r l ʊ r
parlys	p a r l ɪ s
parod	p a r ɔ d
parot	p a r ɔ t
parotach	p a r ɔ t a χ
parotaf	p a r ɔ t a v
paroted	p a r ɔ t ɛ d
parth	p a r θ
parthau	p a r θ a i̯
parti	p a r t i
partner	p a r t n ɛ r
partïon	p a r t iː ɔ n
parwn	p a r ʊ n
parêd	p a r eː d
pas	p a s
pasbort	p a s b ɔ r t
pasg	p a s ɡ
pasiaf	p a s j a
pasio	p a s j ɔ
past	p a s d
pasta	p a s d a
pastai	p a s d a i̯
pasteiod	p a s d e i̯ ɔ d
pastwn	p a s t ʊ n
patagonia	p a t a ɡ ɔ n j a
pathew	p a θ ɛ u̯
pathewod	p a θ ɛ u̯ ɔ d
patriarch	p a t r j a r χ
patriarchaeth	p a t r j a r χ a i̯ θ
patrwm	p a t r ʊ m
pau	p a i̯
paul	p a u̯ l
paun	p a i̯ n
pawb	p a u̯ b
pawl	p a u̯ l
pawr	p a u̯ r
pawrwellt	p a u̯ r w ɛ ɬ t
pe	p eː
pechadur	p ɛ χ a d ɪ r
pechod	p eː χ ɔ d
pechu	p eː χ i
pecyn	p ɛ k ɪ n
pedair	p eː d a i̯ r
pedol	p eː d ɔ l
pedolau	p ɛ d oː l a i̯
pedoli	p ɛ d oː l i
pedolwr	p ɛ d oː l ʊ r
pedolwyr	p ɛ d ɔ l w ɪ r
pedr	p ɛ d r
pedrain	p ɛ d r a i̯ n
pedrannu	p ɛ d r a n i
pedrongl	p ɛ d r ɔ ŋ l
pedronglau	p ɛ d r ɔ ŋ l a i̯
pedrsill	p ɛ d r s ɪ ɬ
pedryn	p ɛ d r ɪ n
pedwar	p ɛ d w a r
pedwarawd	p ɛ d w a r a u̯ d
pedwardegau	p ɛ d w a r d eː ɡ a i̯
pedwaredd	p ɛ d w a r ɛ ð
pedwerydd	p ɛ d w eː r ɪ ð
pefrio	p e v r j ɔ
pefrwydd	p ɛ v r w ɪ ð
pegio	p ɛ ɡ j ɔ
pegwn	p eː ɡ ʊ n
pei	p e i̯
peidio	p e i̯ d j ɔ
peilliaid	p e i̯ ɬ j a i̯ d
peint	p e i̯ n t
peintiad	p e i̯ n t j a d
peintiaid	p e i̯ n t j a i̯ d
peintiau	p e i̯ n t j a i̯
peintio	p e i̯ n t j ɔ
peintiwr	p e i̯ n t j ʊ r
peintwyr	p e i̯ n t w ɪ r
peipen	p e i̯ p ɛ n
peirianddryll	p e i̯ r j a n ð r ɪ ɬ
peiriannau	p e i̯ r j a n a i̯
peirianneg	p e i̯ r j a n ɛ ɡ
peiriannol	p e i̯ r j a n ɔ l
peiriannwr	p e i̯ r j a n ʊ r
peiriannwyr	p e i̯ r j a n w ɪ r
peiriannydd	p e i̯ r j a n ɪ ð
peiriant	p e i̯ r j a n t
peirianwaith	p e i̯ r j a n w a i̯ θ
peis	p e i z
peithiau	p e i̯ θ j a i̯
pelanllys	p ɛ l a n ɬ ɪ s
pelenllys	p ɛ l ɛ n ɬ ɪ s
peli	p eː l i
pell	p eː ɬ
pellach	p ɛ ɬ a χ
pellter	p ɛ ɬ d ɛ r
pellweledydd	p ɛ ɬ w ɛ l eː d ɪ ð
pelydrau	p ɛ l ə d r a i̯
pen	p ɛ n
penarth	p ɛ n a r θ
penbedw	p ɛ m b eː d u
penbleth	p ɛ m b l ɛ θ
penblethau	p ɛ m b l ɛ θ a i̯
penboethni	p ɛ n b ɔ i̯ θ n i
pencampwr	p ɛ ŋ k a m p ʊ r
pencampwriaeth	p ɛ ŋ k a m p ʊ r j a i̯ θ
pencampwriaethau	p ɛ ŋ k a m p ʊ r j e i̯ θ a i̯
pencampwyr	p ɛ ŋ k a m p w ɪ r
penchwiban	p ɛ n χ w iː b a n
pencnaw	p ɛ ŋ k n a u̯
pendant	p ɛ n d a n t
penddu	p ɛ n ð i
pendduyn	p ɛ n ð iː ɪ n
pendefig	p ɛ n d ɛ v ɪ ɡ
penderfyniad	p ɛ n d ɛ r v ə n j a d
penderfyniaeth	p ɛ n d ɛ r v ə n j a i̯ θ
penderfynol	p ɛ n d ɛ r v ə n ɔ l
penderfynu	p ɛ n d ɛ r v ə n i
penderfynwch	p ɛ n d ɛ r v ə n ʊ χ
pendew	p ɛ n d ɛ u̯
pendilio	p ɛ n d ɪ l j ɔ
pendolcio	p ɛ n d ɔ l k j ɔ
pendoncio	p ɛ n d ɔ ŋ k j ɔ
pendonciwr	p ɛ n d ɔ ŋ k j ʊ r
pendrist	p ɛ n d r ɪ s d
pendro	p ɛ n d r o
pendrwm	p ɛ n d r ʊ m
pendywyll	p ɛ n d ə u̯ ɪ ɬ
penelin	p ɛ n eː l ɪ n
penfain	p ɛ n v a i̯ n
penfeddw	p ɛ n v eː ð u
penfelen	p e n v eː l ɛ n
penfelyn	p ɛ n v eː l ɪ n
penfelynwyrdd	p ɛ n v ɛ l ə n w ɪ r ð
penffestr	p ɛ n f a s d
penfras	p ɛ n v r a s
penglog	p ɛ ŋ ɡ l ɔ ɡ
pengoch	p ɛ ŋ ɡ ɔ χ
pengoll	p ɛ n ɡ ɔ ɬ
pengrych	p ɛ n ɡ r ɪ χ
pengwin	p ɛ ŋ ɡ w ɪ n
pengwiniaid	p ɛ ŋ ɡ w ɪ n j a i̯ d
peniad	p ɛ n j a d
peniadau	p ɛ n j a d a i̯
penillion	p ɛ n ɪ ɬ j ɔ n
penisel	p ɛ n iː s ɛ l
penmynydd	p ɛ n m ə n ɪ ð
pennaeth	p ɛ n a i̯ θ
pennau	p ɛ n a i̯
pennawd	p ɛ n a u̯ d
pennawr	p ɛ n a u̯ r
pennill	p ɛ n ɪ ɬ
pennod	p ɛ n ɔ d
pennog	p ɛ n ɔ ɡ
pennor	p ɛ n ɔ r
pennu	p ɛ n i
pennyg	p ɛ n ɪ ɡ
penodol	p ɛ n oː d ɔ l
penrhwym	p ɛ n r̥ ʊ i̯ m
penrhyddid	p ɛ n r̥ ə ð ɪ d
pensaer	p ɛ n s a i̯ r
pensaernïaeth	p ɛ n s a i̯ r n iː a i̯ θ
pensag	p ɛ n s a ɡ
penseiri	p ɛ n s e i̯ r i
penseren	p ɛ n s eː r ɛ n
pensil	p ɛ n s ɪ l
pensiliau	p ɛ n s ɪ l j a i̯
pensiwn	p ɛ n ʃ ʊ n
pensiynwr	p ɛ n ʃ ə n ʊ r
pensyfrdan	p ɛ n s ə v r d a n
pentewyn	p ɛ n t ɛ u̯ ɪ n
pentis	p ɛ n t ɪ s
pentref	p ɛ n t r ɛ
pentwr	p ɛ n t ʊ r
pentyrru	p ɛ n t ə r i
penwag	p ɛ n w a ɡ
penwan	p ɛ n w a n
penwar	p ɛ n w a r
penwn	p eː n ʊ n
penysgafn	p ɛ n ə s ɡ a v n
penysgawn	p ɛ n ə s ɡ a u̯ n
perarogl	p ɛ r a r ɔ ɡ l
peraroglaidd	p ɛ r a r ɔ ɡ l a i̯ ð
peraroglus	p ɛ r a r ɔ ɡ l ɪ s
perchen	p ɛ r χ ɛ n
perchennog	p ɛ r χ ɛ n ɔ ɡ
perchentyaeth	p ɛ r χ ɛ n t iː a i̯ θ
perchentyol	p ɛ r χ ɛ n t iː ɔ l
perchyll	p ɛ r χ ɪ ɬ
percu	p ɛ r k i
perej	p eː r ɛ d͡ʒ
peren	p eː r ɛ n
perfedd	p ɛ r v ɛ ð
perfeddion	p ɛ r v ɛ ð j ɔ n
perfeddlen	p ɛ r v ɛ ð l ɛ n
perffaith	p ɛ r f a i̯ θ
perffeithio	p ɛ r f e i̯ θ j ɔ
perfieri	p ɛ r v i eː r i
pergnau	p ɛ r ɡ n a i̯
peri	p ɛ r i
perianth	p ɛ r j a n θ
perihelion	p ɛ r ɪ h ɛ l j ɔ n
peris	p eː r ɪ s
peritonëwm	p ɛ r i t ɔ n eː ʊ m
periw	p ɛ r ɪ u̯
periwiad	p ɛ r ɪ u̯ j a d
perl	p ɛ r l
perlau	p ɛ r l a i̯
perlgragen	p ɛ r l ɡ r a ɡ ɛ n
perllan	p ɛ r ɬ a n
perllys	p ɛ r ɬ ɪ s
permanganad	p ɛ r m a ŋ ɡ a n a d
perocsid	p ɛ r ɔ k s ɪ d
persain	p ɛ r s a i̯ n
persawr	p ɛ r s a u̯ r
persawrus	p ɛ r s a u̯ r ɪ s
perseiniol	p ɛ r s e i̯ n j ɔ l
persli	p ɛ r s l i
person	p ɛ r s ɔ n
personél	p ɛ r s ɔ n ɛ l
perswadio	p ɛ r s w a d j ɔ
pert	p ɛ r t
perth	p ɛ r θ
perthi	p ɛ r θ i
perthlys	p ɛ r θ l ɪ s
perthnasau	p ɛ r θ n a s a i̯
perthyn	p ɛ r θ ɪ n
perthynas	p ɛ r θ ə n a s
pery	p eː r i
perygl	p ɛ r ɨ ɡ l̩
peryglus	p ɛ r ə ɡ l ɪ s
pesto	p ɛ s d ɔ
peswch	p ɛ s ʊ χ
pesychlys	p ɛ s ə χ l ɪ s
pesychu	p ɛ s ə χ i
peth	p eː θ
pethach	p eː θ a χ
pethau	p eː θ a i̯
petheuach	p ɛ θ e i̯ a χ
petreiddiad	p ɛ t r e i̯ ð j a d
petris	p ɛ t r ɪ s
petroliwm	p ɛ t r ɔ l j ʊ m
petruso	p ɛ t r ɪ s ɔ
petryal	p ɛ t r iː a l
petryalau	p ɛ t r i a l a i̯
peunaidd	p e ɨ̯ n a i̯ ð
peunes	p e i̯ n ɛ s
peunesau	p e ɨ̯ n ɛ s a i̯
peunod	p e i̯ n ɔ d
peunydd	p e i̯ n ɪ ð
peutu	p e i̯ t i
ph	f iː
phab	f aː b
phabell	f a b ɛ ɬ
phac	f a k
phacio	f a k j ɔ
phaciodd	f a k j ɔ ð
phaentiad	f e i̯ n t j a d
phaith	f a i̯ θ
phan	f a n
phaned	f a n ɛ d
phant	f a n t
phapur	f a p ɪ r
phara	f a r a
pharagwâi	f a r a ɡ w aː i̯
pharatoi	f a r a t ɔ i̯
pharatôdd	f a r a t oː ð
pharc	f a r k
pharcio	f a r k j ɔ
pharhau	f a r h a i̯
pharis	f a r ɪ s
pharod	f a r ɔ d
pharotach	f a r ɔ t a χ
pharotaf	f a r ɔ t a v
pharoted	f a r ɔ t ɛ d
pharti	f a r t i
phartner	f a r t n ɛ r
phartïon	f a r t iː ɔ n
phasbort	f a s b ɔ r t
phast	f a s d
phasta	f a s d a
phastai	f a s d a i̯
phawb	f a u̯ b
phecyn	f ɛ k ɪ n
phedair	f eː d a i̯ r
phedol	f eː d ɔ l
phedr	f ɛ d r
phedrannu	f ɛ d r a n i
phedwar	f ɛ d w a r
phei	f e i
pheidio	f e i d j ɔ
pheint	f e i̯ n t
pheiriannwr	f e i̯ r j a n ʊ r
pheiriannwyr	f e i̯ r j a n w ɪ r
pheiriannydd	f e i̯ r j a n ɪ ð
pheis	f e i z
phen	f ɛ n
phencampwr	f ɛ ŋ k a m p ʊ r
phencampwriaeth	f ɛ ŋ k a m p ʊ r j a i̯ θ
phencampwriaethau	f ɛ ŋ k a m p ʊ r j e i̯ θ a i̯
phencampwyr	f ɛ ŋ k a m p w ɪ r
phenderfynu	f ɛ n d ɛ r v ə n i
phenglog	f ɛ ŋ ɡ l ɔ ɡ
phengwin	f ɛ ŋ ɡ w ɪ n
phengwiniaid	f ɛ ŋ ɡ w ɪ n j a i̯ d
pheriw	f ɛ r ɪ u̯
pherl	f ɛ r l
pherlau	f ɛ r l a i̯
pherth	f ɛ r θ
pherthnasau	f ɛ r θ n a s a i̯
pherthynas	f ɛ r θ ə n a s
pheswch	f ɛ s ʊ χ
pheth	f eː θ
phethau	f eː θ a i̯
phetroliwm	f ɛ t r ɔ l j ʊ m
phib	f iː b
phibau	f iː b a i̯
phibgorn	f ɪ b ɡ ɔ r n
phig	f iː ɡ
