'tain	t ɛ̃
tirlemont	t i ʁ l ə m ɔ̃
tisaneur	t i z a n œ ʁ
tise	t i z
tiser	t i z e
tisiphone	t i z i f ɔ n
tismé	t i s m e
tisonnier	t i z ɔ n j e
tisseranderie	t i s ʁ ɑ̃ d ʁ i
tisserin	t i s ʁ ɛ̃
tit	t i
titane	t i t a n
titanesque	t i t a n ɛ s k
titanide	t i t a n i d
titianesque	t i s j a n ɛ s k
titienne	t i s j ɛ n
titillation	t i t i j a s j ɔ̃
titrer	t i t ʁ e
titriser	t i t ʁ i z e
tits	t i
tituber	t i t y b e
titulariser	t i t y l a ʁ i z e
titulature	t i t y l a t y ʁ
tiyana	t i j a n a
tiédasse	t j e d a s
tiédir	t j e d i ʁ
tkt	t ‿ ɛ̃ k j ɛ t
tmèse	t m ɛ z
tno	t e e n o
tnt	t e ɛ n t e
toast	t ɔ s t
toaster	t ɔ s t e
toasteur	t o s t œ ʁ
tobie	t ɔ b i
tobol	t ɔ b ɔ l
tocade	t ɔ k a d
tocard	t ɔ k a ʁ
tocardes	t ɔ k a ʁ d
tochare	t ɔ k a ʁ
tocharien	t ɔ k a ʁ j ɛ̃
tocophobie	t ɔ k ɔ f ɔ b i
tocqueville	t ɔ k v i l
tocquevillien	t ɔ k v i l j ɛ̃
tofou	t ɔ f u
tofu	t o f u
togolais	t ɔ ɡ ɔ l ɛ
toila	t w a l a
toilai	t w a l e
toilaient	t w a l ɛ
toilais	t w a l ɛ
toilait	t w a l ɛ
toilant	t w a l ɑ̃
toilas	t w a l a
toilasse	t w a l a s
toilassent	t w a l a s
toilasses	t w a l a s
toilassiez	t w a l a s j e
toilassions	t w a l a s j ɔ̃
toilent	t w a l
toiler	t w a l e
toilera	t w a l ʁ a
toilerai	t w a l ʁ e
toileraient	t w a l ʁ ɛ
toilerais	t w a l ʁ ɛ
toilerait	t w a l ʁ ɛ
toileras	t w a l ʁ a
toilerez	t w a l ʁ e
toileriez	t w a l ə ʁ j e
toilerions	t w a l ə ʁ j ɔ̃
toilerons	t w a l ʁ ɔ̃
toileront	t w a l ʁ ɔ̃
toilez	t w a l e
toilier	t w a l j e
toiliez	t w a l j e
toilions	t w a l j ɔ̃
toilons	t w a l ɔ̃
toilâmes	t w a l a m
toilât	t w a l a
toilâtes	t w a l a t
toilèrent	t w a l ɛ ʁ
tois	t w a
tokamak	t ɔ k a m a k
tokharien	t ɔ k a ʁ j ɛ̃
tokyo	t o k j o
tolkiénien	t ɔ l k j e n j ɛ̃
tolstoïen	t ɔ l s t ɔ j ɛ̃
toluène	t ɔ l ɥ ɛ n
tolérante	t ɔ l e ʁ ɑ̃ t
tomata	t ɔ m a t a
tomatai	t ɔ m a t e
tomataient	t ɔ m a t ɛ
tomatais	t ɔ m a t ɛ
tomatait	t ɔ m a t ɛ
tomatant	t ɔ m a t ɑ̃
tomatas	t ɔ m a t a
tomatasse	t ɔ m a t a s
tomatassent	t ɔ m a t a s
tomatasses	t ɔ m a t a s
tomatassiez	t ɔ m a t a s j e
tomatassions	t ɔ m a t a s j ɔ̃
tomate	t a m a t i
tomatent	t ɔ m a t
tomatera	t ɔ m a t ʁ a
tomaterai	t ɔ m a t ʁ e
tomateraient	t ɔ m a t ʁ ɛ
tomaterais	t ɔ m a t ʁ ɛ
tomaterait	t ɔ m a t ʁ ɛ
tomateras	t ɔ m a t ʁ a
tomaterez	t ɔ m a t ʁ e
tomateriez	t ɔ m a t ə ʁ j e
tomaterions	t ɔ m a t ə ʁ j ɔ̃
tomaterons	t ɔ m a t ʁ ɔ̃
tomateront	t ɔ m a t ʁ ɔ̃
tomatez	t ɔ m a t e
tomatier	t ɔ m a t j e
tomatiez	t ɔ m a t j e
tomations	t ɔ m a t j ɔ̃
tomatons	t ɔ m a t ɔ̃
tomatâmes	t ɔ m a t a m
tomatât	t ɔ m a t a
tomatâtes	t ɔ m a t a t
tomatèrent	t ɔ m a t ɛ ʁ
tomaté	t ɔ m a t e
tombal	t ɔ̃ b a l
tombelaine	t ɔ̃ b l ɛ n
tombereau	t ɔ̃ b ʁ o
tombeur	t ɔ̃ b œ ʁ
tombeurs	t ɔ̃ b œ ʁ
tombeuse	t ɔ̃ b ø z
tombeuses	t ɔ̃ b ø z
tombola	t ɔ̃ b ɔ l a
tombouctou	t ɔ̃ b u k t u
tomboy	t ɔ m b ɔ j
tome	t o m
tomette	t ɔ m ɛ t
tomographie	t ɔ m ɔ ɡ ʁ a f i
ton	t õ
tonale	t ɔ n a l
toncar	t ɔ̃ k a ʁ
tondit	t ɔ̃ d i
toner	t ɔ n ɛ ʁ
tongien	t ɔ̃ ɡ j ɛ̃
tonics	t ɔ n i k
toniques	t ɔ n i k
tonitruant	t ɔ n i t ʁ y ɑ̃
tonitruer	t ɔ n i t ʁ y e
tonitrument	t ɔ n i t ʁ y m ɑ̃
tonkinois	t ɔ̃ k i n w a
tonlieu	t ɔ̃ l j ø
tonnant	t ɔ n ɑ̃
tonnelier	t ɔ n ə l j e
tonnelière	t ɔ n ə l j ɛ ʁ
tonnellerie	t ɔ n ɛ l ʁ i
tonner	t ɔ n e
tonnerrois	t ɔ n e ʁ w a
tonsillectomie	t ɔ̃ s i j ɛ k t ɔ m i
tonsurer	t ɔ̃ s y ʁ e
tonte	t ɔ̃ t
tontine	t ɔ̃ t i n
tontinier	t ɔ̃ t i n j e
tontiniers	t ɔ̃ t i n j e
tontinière	t ɔ̃ t i n j ɛ ʁ
tontinières	t ɔ̃ t i n j ɛ ʁ
tonus	t ɔ n y s
topette	t ɔ p ɛ t
topie	t ɔ p i
topinambour	t ɔ p i n ɑ̃ b u ʁ
topographier	t ɔ p ɔ ɡ ʁ a f j e
topolecte	t ɔ p ɔ l ɛ k t
topologie	t ɔ p ɔ l ɔ ʒ i
toponyme	t ɔ p ɔ n i m
toponymie	t ɔ p ɔ n i m i
toponymique	t ɔ p ɔ n i m i k
topsent	t ɔ p s ɑ̃
toquade	t ɔ k a d
torcher	t ɔ ʁ ʃ e
torchons	t ɔ ʁ ʃ ɔ̃
torchère	t ɔ ʁ ʃ ɛ ʁ
torcol	t ɔ ʁ k ɔ l
torcé	t ɔ ʁ s e
tore	t ɔ ʁ
torero	t ɔ ʁ e ʁ o
toreros	t ɔ ʁ e ʁ o
tores	t ɔ ʁ
torgnole	t ɔ ʁ ɲ ɔ l
torgnoler	t ɔ ʁ ɲ ɔ l e
toril	t ɔ ʁ i l
torique	t ɔ ʁ i k
toriques	t ɔ ʁ i k
tornadique	t ɔ ʁ n a d i k
tornadiques	t ɔ ʁ n a d i k
toron	t ɔ ʁ ɔ̃
torpide	t ɔ ʁ p i d
torpilla	t ɔ ʁ p i j a
torpillai	t ɔ ʁ p i j e
torpillaient	t ɔ ʁ p i j ɛ
torpillais	t ɔ ʁ p i j ɛ
torpillait	t ɔ ʁ p i j ɛ
torpillant	t ɔ ʁ p i j ɑ̃
torpillas	t ɔ ʁ p i j a
torpillasse	t ɔ ʁ p i j a s
torpillassent	t ɔ ʁ p i j a s
torpillasses	t ɔ ʁ p i j a s
torpillassiez	t ɔ ʁ p i j a s j e
torpillassions	t ɔ ʁ p i j a s j ɔ̃
torpillent	t ɔ ʁ p i j
torpiller	t ɔ ʁ p i j e
torpillera	t ɔ ʁ p i j ʁ a
torpillerai	t ɔ ʁ p i j ʁ e
torpilleraient	t ɔ ʁ p i j ʁ ɛ
torpillerais	t ɔ ʁ p i j ʁ ɛ
torpillerait	t ɔ ʁ p i j ʁ ɛ
torpilleras	t ɔ ʁ p i j ʁ a
torpillerez	t ɔ ʁ p i j ʁ e
torpilleriez	t ɔ ʁ p i j ə ʁ j e
torpillerions	t ɔ ʁ p i j ə ʁ j ɔ̃
torpillerons	t ɔ ʁ p i j ʁ ɔ̃
torpilleront	t ɔ ʁ p i j ʁ ɔ̃
torpilleur	t ɔ ʁ p i j œ ʁ
torpillez	t ɔ ʁ p i j e
torpilliez	t ɔ ʁ p i j j e
torpillions	t ɔ ʁ p i j j ɔ̃
torpillons	t ɔ ʁ p i j ɔ̃
torpillâmes	t ɔ ʁ p i j a m
torpillât	t ɔ ʁ p i j a
torpillâtes	t ɔ ʁ p i j a t
torpillèrent	t ɔ ʁ p i j ɛ ʁ
torpillé	t ɔ ʁ p i j e
torque	t ɔ ʁ k
torreilles	t ɔ ʁ ɛ j
torrentiel	t ɔ ʁ ɑ̃ s j ɛ l
torréfacteur	t ɔ ʁ e f a k t œ ʁ
torréfactrice	t ɔ ʁ e f a k t ʁ i s
torréfier	t ɔ ʁ e f j e
tors	t ɔ ʁ
torsade	t ɔ ʁ s a d
torsader	t ɔ ʁ s a d e
torseur	t ɔ ʁ s œ ʁ
tortil	t ɔ ʁ t i l
tortilla	t ɔ ʁ t i j a
tortillage	t ɔ ʁ t i j a ʒ
tortillarde	t ɔ ʁ t i j a ʁ d
tortillon	t ɔ ʁ t i j ɔ̃
tortionnaire	t ɔ ʁ s j ɔ n ɛ ʁ
tortionnairement	t ɔ ʁ s j ɔ n ɛ ʁ m ɑ̃
tortis	t ɔ ʁ t i
tortueusement	t ɔ ʁ t ɥ ø z m ɑ̃
toréador	t ɔ ʁ e a d ɔ ʁ
toréer	t ɔ ʁ e e
toréro	t ɔ ʁ e ʁ o
tos	t o
tossette	t o s ɛ t
total	t o t a l
totalisante	t ɔ t a l i z ɑ̃ t
totalitaire	t ɔ t a l i t ɛ ʁ
totalitarismes	t ɔ t a l i t a ʁ i s m
totalités	t ɔ t a l i t e
totaux	t ɔ t o
totipotente	t ɔ t i p ɔ t ɑ̃ t
totipotentes	t ɔ t i p ɔ t ɑ̃ t
totor	t ɔ t ɔ ʁ
tototte	t ɔ t ɔ t
totémiques	t ɔ t e m i k
totémisme	t ɔ t e m i s m
touaille	t w a j
touareg	t w a ʁ ɛ ɡ
toub	t u b
toubab	t u b a b
toucan	t u k ɑ̃
touchable	t u ʃ a b l
touchables	t u ʃ a b l
touchette	t u ʃ ɛ t
touer	t u e
touillage	t u j a ʒ
touillages	t u j a ʒ
touillette	t u j ɛ t
touladi	t u l a d i
toulois	t u l w a
toulou	t u l u
toulouges	t u l u ʒ
toulougien	t u l u ʒ j ɛ̃
toulounide	t u l u n i d
touloupe	t u l u p
toulouze	t u l u z
toundra	t u n d ʁ a
toune	t u n
touran	t u ʁ ɑ̃
tourancheau	t u ʁ ɑ̃ ʃ o
tourandocte	t u ʁ ɑ̃ d ɔ k t
tourane	t u ʁ a n
touranique	t u ʁ a n i k
tourbes	t u ʁ b
tourbillonnaire	t u ʁ b i j ɔ n ɛ ʁ
tourer	t u ʁ e
tourguéniévien	t u ʁ ɡ e n j e v j ɛ̃
tourier	t u ʁ j e
touristiquement	t u ʁ i s t i k m ɑ̃
tourière	t u ʁ j ɛ ʁ
tourlonias	t u ʁ l ɔ n j a
tourmaline	t u ʁ m a l i n
tourmenta	t u ʁ m ɑ̃ t a
tourmentai	t u ʁ m ɑ̃ t e
tourmentais	t u ʁ m ɑ̃ t ɛ
tourmentas	t u ʁ m ɑ̃ t a
tourmentasse	t u ʁ m ɑ̃ t a s
tourmentassent	t u ʁ m ɑ̃ t a s
tourmentasses	t u ʁ m ɑ̃ t a s
tourmentassiez	t u ʁ m ɑ̃ t a s j e
tourmentassions	t u ʁ m ɑ̃ t a s j ɔ̃
tourmentera	t u ʁ m ɑ̃ t ʁ a
tourmenterai	t u ʁ m ɑ̃ t ʁ e
tourmenteraient	t u ʁ m ɑ̃ t ʁ ɛ
tourmenterais	t u ʁ m ɑ̃ t ʁ ɛ
tourmenterait	t u ʁ m ɑ̃ t ʁ ɛ
tourmenteras	t u ʁ m ɑ̃ t ʁ a
tourmenterez	t u ʁ m ɑ̃ t ʁ e
tourmenteriez	t u ʁ m ɑ̃ t ə ʁ j e
tourmenterions	t u ʁ m ɑ̃ t ə ʁ j ɔ̃
tourmenterons	t u ʁ m ɑ̃ t ʁ ɔ̃
tourmenteront	t u ʁ m ɑ̃ t ʁ ɔ̃
tourmentez	t u ʁ m ɑ̃ t e
tourmentiez	t u ʁ m ɑ̃ t j e
tourmentions	t u ʁ m ɑ̃ t j ɔ̃
tourmentons	t u ʁ m ɑ̃ t ɔ̃
tourmentâmes	t u ʁ m ɑ̃ t a m
tourmentât	t u ʁ m ɑ̃ t a
tourmentâtes	t u ʁ m ɑ̃ t a t
tournai	t u ʁ n ɛ
tournebroche	t u ʁ n ə b ʁ ɔ ʃ
tournemain	t u ʁ n ə m ɛ̃
tournicoter	t u ʁ n i k ɔ t e
tourniquer	t u ʁ n i k e
tournis	t u ʁ n i
tournoyais	t u ʁ n w a j ɛ
tournoyait	t u ʁ n w a j ɛ
tournoyeur	t u ʁ n w a j œ ʁ
tourquennoise	t u ʁ k e n w a z
tourte	t u ʁ t
tourteau	t u ʁ t o
tourtoirac	t u ʁ t w a ʁ a k
tourtouse	t u ʁ t u z
touski	t u s k i
toussoter	t u s ɔ t e
toustes	t u s t
toutologue	t u t ɔ l ɔ ɡ
touéz	t w ə
township	t a w n ʃ i p
tox	t ɔ k s
toxico	t ɔ k s i k o
toxicologie	t ɔ k s i k ɔ l ɔ ʒ i
toxicologiquement	t ɔ k s i k ɔ l ɔ ʒ i k m ɑ̃
toxicomane	t ɔ k s i k o m a n
toxicomanie	t ɔ k s i k ɔ m a n i
toxine	t ɔ k s i n
toxique	t ɔ k s i k
toxoplasmose	t ɔ k s ɔ p l a s m o z
toxémie	t ɔ k s e m i
toé	t w e
toûjours	t u ʒ u ʁ
tps	t e p e ɛ s
traboule	t ʁ a b u l
trabéculum	t ʁ a b e k y l ɔ m
tracassa	t ʁ a k a s a
tracassai	t ʁ a k a s e
tracassaient	t ʁ a k a s ɛ
tracassais	t ʁ a k a s ɛ
tracassant	t ʁ a k a s ɑ̃
tracassas	t ʁ a k a s a
tracassasse	t ʁ a k a s a s
tracassassent	t ʁ a k a s a s
tracassasses	t ʁ a k a s a s
tracassassiez	t ʁ a k a s a s j e
tracassassions	t ʁ a k a s a s j ɔ̃
tracassent	t ʁ a k a s
tracassera	t ʁ a k a s ʁ a
tracasserai	t ʁ a k a s ʁ e
tracasseraient	t ʁ a k a s ʁ ɛ
tracasserais	t ʁ a k a s ʁ ɛ
tracasserait	t ʁ a k a s ʁ ɛ
tracasseras	t ʁ a k a s ʁ a
tracasserez	t ʁ a k a s ʁ e
tracasserie	t ʁ a k a s ʁ i
tracasseriez	t ʁ a k a s ə ʁ j e
tracasserions	t ʁ a k a s ə ʁ j ɔ̃
tracasserons	t ʁ a k a s ʁ ɔ̃
tracasseront	t ʁ a k a s ʁ ɔ̃
tracasses	t ʁ a k a s
tracassez	t ʁ a k a s e
tracassier	t ʁ a k a s j e
tracassiez	t ʁ a k a s j e
tracassions	t ʁ a k a s j ɔ̃
tracassons	t ʁ a k a s ɔ̃
tracassâmes	t ʁ a k a s a m
tracassât	t ʁ a k a s a
tracassâtes	t ʁ a k a s a t
tracassèrent	t ʁ a k a s ɛ ʁ
tracassé	t ʁ a k a s e
tracerie	t ʁ a s ʁ i
trachome	t ʁ a k o m
trachéale	t ʁ a ʃ e a l
trachée	t ʁ a ʃ e
trachéenne	t ʁ a ʃ e ɛ n
trachéite	t ʁ a k e i t
trachélienne	t ʁ a ʃ e l j ɛ n
trachéotomie	t ʁ a k e ɔ t ɔ m i
tractage	t ʁ a k t a ʒ
tractation	t ʁ a k t a s j ɔ̃
tractativement	t ʁ a k t a t i v m ɑ̃
tracter	t ʁ a k t e
tractrice	t ʁ a k t ʁ i s
trada	t ʁ e d a
tradai	t ʁ e d e
tradaient	t ʁ e d ɛ
tradais	t ʁ e d ɛ
tradait	t ʁ e d ɛ
tradant	t ʁ e d ɑ̃
tradas	t ʁ e d a
tradasse	t ʁ e d a s
tradassent	t ʁ e d a s
tradasses	t ʁ e d a s
tradassiez	t ʁ e d a s j e
tradassions	t ʁ e d a s j ɔ̃
trade	t ʁ ɛ d
tradent	t ʁ ɛ d
trader	t ʁ e d e
tradera	t ʁ e d ʁ a
traderai	t ʁ e d ʁ e
traderaient	t ʁ e d ʁ ɛ
traderais	t ʁ e d ʁ ɛ
traderait	t ʁ e d ʁ ɛ
traderas	t ʁ e d ʁ a
traderez	t ʁ e d ʁ e
traderiez	t ʁ e d ə ʁ j e
traderions	t ʁ e d ə ʁ j ɔ̃
traderons	t ʁ e d ʁ ɔ̃
traderont	t ʁ e d ʁ ɔ̃
trades	t ʁ ɛ d
tradez	t ʁ e d e
tradi	t ʁ a d i
tradiez	t ʁ e d j e
trading	t ʁ e d i ŋ
tradions	t ʁ e d j ɔ̃
traditionalisme	t ʁ a d i s j ɔ n a l i s m
trado	t ʁ a d o
tradons	t ʁ e d ɔ̃
traductibilité	t ʁ a d y k t i b i l i t e
traductif	t ʁ a d y k t i f
traductologie	t ʁ a d y k t ɔ l ɔ ʒ i
traductologue	t ʁ a d y k t ɔ l ɔ ɡ
traductrice	t ʁ a d y k t ʁ i s
traduise	t ʁ a d ɥ i z
traduisible	t ʁ a d ɥ i z i b l
tradâmes	t ʁ e d a m
tradât	t ʁ e d a
tradâtes	t ʁ e d a t
tradèrent	t ʁ e d ɛ ʁ
tradé	t ʁ e d e
trafics	t ʁ a f i k
tragicomique	t ʁ a ʒ i k ɔ m i k
tragicomédie	t ʁ a ʒ i k ɔ m e d i
tragienne	t ʁ a ʒ j ɛ n
tragule	t ʁ a ɡ y l
tragédien	t ʁ a ʒ e d j ɛ̃
tragédienne	t ʁ a ʒ e d j ɛ n
tragédiennes	t ʁ a ʒ e d j ɛ n
tragédiens	t ʁ a ʒ e d j ɛ̃
tragédies	t ʁ a ʒ e d i
trahan	t ʁ a ɑ̃
traina	t ʁ e n a
trainai	t ʁ e n e
trainais	t ʁ e n e
trainait	t ʁ e n e
trainas	t ʁ e n a
trainasse	t ʁ e n a s
trainassent	t ʁ e n a s
trainasses	t ʁ e n a s
trainassiez	t ʁ e n a s j e
trainassions	t ʁ e n a s j ɔ̃
trainbus	t ʁ ɛ̃ b y s
trainent	t ʁ e n
trainera	t ʁ e n ə ʁ a
trainerai	t ʁ e n ə ʁ e
traineraient	t ʁ e n ə ʁ e
trainerais	t ʁ e n ə ʁ e
trainerait	t ʁ e n ə ʁ e
traineras	t ʁ e n ə ʁ a
trainerez	t ʁ e n ə ʁ ɔ e
traineriez	t ʁ e n ə ʁ j e
trainerions	t ʁ e n ə ʁ j ɔ̃
trainerons	t ʁ e n ə ʁ ɔ̃
traineront	t ʁ e n ə ʁ ɔ̃
traines	t ʁ e n
trainez	t ʁ e n e
trainiez	t ʁ e n j e
trainions	t ʁ e n j ɔ̃
trainons	t ʁ e n ɔ̃
trainâmes	t ʁ e n a m
trainât	t ʁ e n a
trainâtes	t ʁ e n a t
trainèrent	t ʁ e n ɛ ʁ
traitable	t ʁ e t a b l
traitement	t ʁ ɛ t m ɑ̃
traiteur	t ʁ e t œ ʁ
traiteuse	t ʁ e t ø z
traitre	t ʁ ɛ t ʁ
traitrement	t ʁ e t ʁ ə m ɑ̃
traitreusement	t ʁ e t ʁ ø z m ɑ̃
traluire	t ʁ a l ɥ i ʁ
traminot	t ʁ a m i n o
trampoliniste	t ʁ ɑ̃ p ɔ l i n i s t
trance	t ʁ ɑ̃ s
trancheuse	t ʁ ɑ̃ ʃ ø z
tranquillisant	t ʁ ɑ̃ k i l i z ɑ̃
tranquillisante	t ʁ ɑ̃ k i l i z ɑ̃ t
transactionnel	t ʁ ɑ̃ z a k s j ɔ n ɛ l
transalpin	t ʁ ɑ̃ z a l p ɛ̃
transat	t ʁ ɑ̃ z a t
transbahuter	t ʁ ɑ̃ s b a y t e
transbienne	t ʁ ɑ̃ s b j ɛ n
transborder	t ʁ ɑ̃ s b ɔ ʁ d e
transcaspien	t ʁ ɑ̃ s k a s p j ɛ̃
transcendant	t ʁ ɑ̃ s ɑ̃ d ɑ̃
transcendantal	t ʁ ɑ̃ s ɑ̃ d ɑ̃ t a l
transcendent	t ʁ ɑ̃ s ɑ̃ d
transcender	t ʁ ɑ̃ s ɑ̃ d e
transclure	t ʁ ɑ̃ s k l y ʁ
transcontinental	t ʁ ɑ̃ s k ɔ̃ t i n ɑ̃ t a l
transculturation	t ʁ ɑ̃ s k y l t y ʁ a s j ɔ̃
transculturel	t ʁ ɑ̃ s k y l t y ʁ ɛ l
transeuphratéen	t ʁ ɑ̃ z ø f ʁ a t e ɛ̃
transexuelle	t ʁ ɑ̃ s ɛ k s ɥ ɛ l
transfermienne	t ʁ ɑ̃ s f ɛ ʁ m j ɛ n
transferts	t ʁ ɑ̃ s f ɛ ʁ
transfrontalière	t ʁ ɑ̃ s f ʁ ɔ̃ t a l j ɛ ʁ
transfuge	t ʁ ɑ̃ s f y ʒ
transfusion	t ʁ ɑ̃ s f y z j ɔ̃
transfusionnelle	t ʁ ɑ̃ s f y z j ɔ n ɛ l
transfèrement	t ʁ ɑ̃ s f ɛ ʁ m ɑ̃
transgenre	t ʁ ɑ̃ s ʒ ɑ̃ ʁ
transgenèse	t ʁ ɑ̃ s ʒ ə n ɛ z
transgresser	t ʁ ɑ̃ s ɡ ʁ e s e
transgresseur	t ʁ ɑ̃ s ɡ ʁ e s œ ʁ
transgresseuse	t ʁ ɑ̃ s ɡ ʁ e s ø z
transgène	t ʁ ɑ̃ s ʒ ɛ n
transgénique	t ʁ ɑ̃ s ʒ e n i k
transhumante	t ʁ ɑ̃ z y m ɑ̃ t
transhumer	t ʁ ɑ̃ z y m e
transidentité	t ʁ ɑ̃ s i d ɑ̃ t i t e
transigeant	t ʁ ɑ̃ z i ʒ ɑ̃
transit	t ʁ ɑ̃ z i
transiter	t ʁ ɑ̃ z i t e
transitif	t ʁ ɑ̃ z i t i f
transitifs	t ʁ ɑ̃ z i t i f
transitionnel	t ʁ ɑ̃ z i s j ɔ n ɛ l
transitive	t ʁ ɑ̃ z i t i v
transitivement	t ʁ ɑ̃ z i t i v m ɑ̃
transitives	t ʁ ɑ̃ z i t i v
transitivité	t ʁ ɑ̃ z i t i v i t e
transitoirement	t ʁ ɑ̃ z i t w a ʁ m ɑ̃
transitude	t ʁ ɑ̃ z i t y d
transité	t ʁ ɑ̃ z i t e
translata	t ʁ ɑ̃ s l a t a
translatai	t ʁ ɑ̃ s l a t e
translataient	t ʁ ɑ̃ s l a t ɛ
translatais	t ʁ ɑ̃ s l a t ɛ
translatait	t ʁ ɑ̃ s l a t ɛ
translatant	t ʁ ɑ̃ s l a t ɑ̃
translatas	t ʁ ɑ̃ s l a t a
translatasse	t ʁ ɑ̃ s l a t a s
translatassent	t ʁ ɑ̃ s l a t a s
translatasses	t ʁ ɑ̃ s l a t a s
translatassiez	t ʁ ɑ̃ s l a t a s j e
translatassions	t ʁ ɑ̃ s l a t a s j ɔ̃
translate	t ʁ ɑ̃ s l a t
translatent	t ʁ ɑ̃ s l a t
translater	t ʁ ɑ̃ s l a t e
translatera	t ʁ ɑ̃ s l a t ʁ a
translaterai	t ʁ ɑ̃ s l a t ʁ e
translateraient	t ʁ ɑ̃ s l a t ʁ ɛ
translaterais	t ʁ ɑ̃ s l a t ʁ ɛ
translaterait	t ʁ ɑ̃ s l a t ʁ ɛ
translateras	t ʁ ɑ̃ s l a t ʁ a
translaterez	t ʁ ɑ̃ s l a t ʁ e
translateriez	t ʁ ɑ̃ s l a t ə ʁ j e
translaterions	t ʁ ɑ̃ s l a t ə ʁ j ɔ̃
translaterons	t ʁ ɑ̃ s l a t ʁ ɔ̃
translateront	t ʁ ɑ̃ s l a t ʁ ɔ̃
translates	t ʁ ɑ̃ s l a t
translateur	t ʁ ɑ̃ s l a t œ ʁ
translateurs	t ʁ ɑ̃ s l a t œ ʁ
translatez	t ʁ ɑ̃ s l a t e
translatiez	t ʁ ɑ̃ s l a t j e
translatif	t ʁ ɑ̃ s l a t i f
translations	t ʁ ɑ̃ s l a s j ɔ̃
translatons	t ʁ ɑ̃ s l a t ɔ̃
translatrice	t ʁ ɑ̃ s l a t ʁ i s
translatrices	t ʁ ɑ̃ s l a t ʁ i s
translatâmes	t ʁ ɑ̃ s l a t a m
translatât	t ʁ ɑ̃ s l a t a
translatâtes	t ʁ ɑ̃ s l a t a t
translatèrent	t ʁ ɑ̃ s l a t ɛ ʁ
translaté	t ʁ ɑ̃ s l a t e
translawrencien	t ʁ ɑ̃ s l ɔ ʁ ɑ̃ s j ɛ̃
translawrencienne	t ʁ ɑ̃ s l ɔ ʁ ɑ̃ s j ɛ n
translawrenciennes	t ʁ ɑ̃ s l ɔ ʁ ɑ̃ s j ɛ n
translawrenciens	t ʁ ɑ̃ s l ɔ ʁ ɑ̃ s j ɛ̃
translingue	t ʁ ɑ̃ s l ɛ̃ ɡ
translingues	t ʁ ɑ̃ s l ɛ̃ ɡ
translittération	t ʁ ɑ̃ s l i t e ʁ a s j ɔ̃
translittérations	t ʁ ɑ̃ s l i t e ʁ a s j ɔ̃
transmeuf	t ʁ ɑ̃ s m œ f
transmeufs	t ʁ ɑ̃ s m œ f
transmissif	t ʁ ɑ̃ s m i s i f
transmissifs	t ʁ ɑ̃ s m i s i f
transmissive	t ʁ ɑ̃ s m i s i v
transmissives	t ʁ ɑ̃ s m i s i v
transmuer	t ʁ ɑ̃ s m ɥ e
transmuter	t ʁ ɑ̃ s m y t e
transnational	t ʁ ɑ̃ s n a s j ɔ n a l
transneptunien	t ʁ ɑ̃ s n ɛ p t y n j ɛ̃
transneptunienne	t ʁ ɑ̃ s n ɛ p t y n j ɛ n
transnistrie	t ʁ ɑ̃ s n i s t ʁ i
transocéanique	t ʁ ɑ̃ z ɔ s e a n i k
transpalette	t ʁ ɑ̃ s p a l ɛ t
transparaitre	t ʁ ɑ̃ s p a ʁ ɛ t ʁ
transpercer	t ʁ ɑ̃ s p ɛ ʁ s e
transphobie	t ʁ ɑ̃ s f ɔ b i
transpirant	t ʁ ɑ̃ s p i ʁ ɑ̃
transpirer	t ʁ ɑ̃ s p i ʁ e
transplutonienne	t ʁ ɑ̃ s p l y t ɔ n j ɛ n
transportes	t ʁ ɑ̃ s p ɔ ʁ t
transporteuse	t ʁ ɑ̃ s p ɔ ʁ t ø z
transpositeur	t ʁ ɑ̃ s p o z i t œ ʁ
transposée	t ʁ ɑ̃ s p o z e
transpyrénéen	t ʁ ɑ̃ s p i ʁ e n e ɛ̃
transpédégouine	t ʁ ɑ̃ s p e d e ɡ w i n
transpériphérique	t ʁ ɑ̃ s p e ʁ i f e ʁ i k
transsexuel	t ʁ ɑ̃ s ɛ k s ɥ ɛ l
transsilvanie	t ʁ ɑ̃ s i l v a n i
transsonique	t ʁ ɑ̃ s ɔ n i k
transsylvanie	t ʁ ɑ̃ s i l v a n i
transvasement	t ʁ ɑ̃ s v a z m ɑ̃
transvection	t ʁ ɑ̃ s v ɛ k s j ɔ̃
transylvain	t ʁ ɑ̃ z i l v ɛ̃
transylvanie	t ʁ ɑ̃ s i l v a n i
trapani	t ʁ a p a n i
trape	t ʁ a p
traper	t ʁ a p e
trapes	t ʁ a p
trappiste	t ʁ a p i s t
trapézienne	t ʁ a p e z j ɛ n
trapézoïde	t ʁ a p e z ɔ i d
traquet	t ʁ a k ɛ
trauma	t ʁ o m a
traumatique	t ʁ o m a t i k
traumatisa	t ʁ o m a t i z a
traumatisai	t ʁ o m a t i z e
traumatisaient	t ʁ o m a t i z ɛ
traumatisais	t ʁ o m a t i z ɛ
traumatisait	t ʁ o m a t i z ɛ
traumatisante	t ʁ o m a t i z ɑ̃ t
traumatisas	t ʁ o m a t i z a
traumatisasse	t ʁ o m a t i z a s
traumatisassent	t ʁ o m a t i z a s
traumatisasses	t ʁ o m a t i z a s
traumatisassiez	t ʁ o m a t i z a s j e
traumatisassions	t ʁ o m a t i z a s j ɔ̃
traumatise	t ʁ o m a t i z
