a	ɐ
riedle	ʁ i e d l i
riefenstahl	ʁ i e f ẽ s t ɐw
riefensthal	ʁ i e f ẽ s t ɐw
riem	ʁ i ẽj̃
riemann	ʁ i m ɐ̃
riesling	ʁ i e s l ĩ ɡ
rifa	ʁ i f ɐ
rifar	ʁ i f ɐ ɹ
rifat	ʁ i f ɐ t ʃ
riff	ʁ i f f
riffs	ʁ i f f s
rifle	ʁ i f l i
rifles	ʁ i f l i s
riga	ʁ i ɡ ɐ
righ	ʁ i ɡ
righi	ʁ i ɡ i
right	ʁ i ɡ t ʃ
rights	ʁ i ɡ t ʃ s
rigidamente	ʁ i ʒ i d ɐ m ẽ t ʃ i
rigidez	ʁ i ʒ i d ej s
rigo	ʁ i ɡ u
rigoberta	ʁ i ɡ o b e ɹ t ɐ
rigor	ʁ i ɡ o ɹ
rigores	ʁ i ɡ o ɾ i s
rigorosa	ʁ i ɡ o ɾ ɔ z ɐ
rigorosamente	ʁ i ɡ o ɾ ɔ z ɐ m ẽ t ʃ i
rigorosas	ʁ i ɡ o ɾ ɔ z ɐ s
rigoroso	ʁ i ɡ o ɾ o z u
rigorosos	ʁ i ɡ o ɾ o z u s
rigotto	ʁ i ɡ o t ʃ t u
riina	ʁ i ĩ n ɐ
rijas	ʁ i ʒ ɐ s
rijkaard	ʁ i ʒ k ɐ ɐ ʁ d ʒ
rijo	ʁ i ʒ o
rik	ʁ i k
ril	ʁ i w
riley	ʁ i l e i
rilha	ʁ i ʎ ɐ
rilhafoles	ʁ i ʎ ɐ f o l e s
rilhafolesco	ʁ i ʎ ɐ f o l e s k o
rilhar	ʁ i ʎ ɐ
rilhoto	ʁ i ʎ o t o
rilke	ʁ iw k i
rim	ʁ ĩ
rima	ʁ ĩ m ɐ
rimar	ʁ ĩ m ɐ ɹ
rimará	ʁ i m ɐ ɾ ɐ
rimas	ʁ ĩ m ɐ s
rimba	ʁ ĩ b ɐ
rimbaud	ʁ ĩ b ɐw d ʒ
rime	ʁ i m e
rimet	ʁ ĩ m e t ʃ
rimini	ʁ ĩ m ĩ n i
rimos	ʁ ĩ m u s
rimpochê	ʁ ĩ p o ʃ e
rinaldi	ʁ ĩ n ɐw d ʒ i
rinaldo	ʁ ĩ n ɐw d u
rinchar	ʁ ĩ ʃ ɐ
rincho	ʁ ĩ ʃ o
rinchão	ʁ ĩ ʃ ɐ̃ ɐ̃w̃
rincão	ʁ ĩ k ɐ̃w̃
rincón	ʁ ĩ k ɔ n
rindo	ʁ ĩ d u
rinencéfalo	ʁ i n ẽ s e f ɐ l o
ring	ʁ ĩ ɡ
ringo	ʁ ĩ ɡ u
ringue	ʁ ĩ ɡ i
ringues	ʁ ĩ ɡ i s
rinha	ʁ i ɲ ɐ
rinite	ʁ ĩ n i t ʃ i
rinoceronte	ʁ ĩ n o s e ɾ õ t ʃ i
rinocerontes	ʁ ĩ n o s e ɾ õ t ʃ i s
rinoplastia	ʁ i n o p l ɐ s t i ɐ
rinoplástico	ʁ i n o p l ɐ s t i k o
rinque	ʁ ĩ k i
rins	ʁ ĩ s
rinus	ʁ ĩ n uj s
rinópolis	ʁ i n o p o l i s
rio	ʁ i u
riobaldo	ʁ i o b ɐw d u
riocentro	ʁ i o s ẽ t ɾ u
riofilme	ʁ i o f iw m i
rioforte	ʁ i o f o ɹ t ʃ i
riograndense	ʁ i o ɡ ɾ ɐ̃ d ẽ s i
rioli	ʁ i o l i
rios	ʁ i u s
riot	ʁ i o t ʃ
riotur	ʁ i o t u ɹ
riozinho	ʁ i u z i ɲ o
rip	ʁ i p
ripa	ʁ i p ɐ
ripador	ʁ i p ɐ d o ɹ
ripanço	ʁ i p ɐ̃ s o
ripar	ʁ i p ɐ
ripará	ʁ i p ɐ ɾ ɐ
ripasa	ʁ i p ɐ z ɐ
ripley	ʁ i p l e i
riponga	ʁ i p õ ɡ ɐ
ripongo	ʁ i p õ ɡ o
ripostar	ʁ i p o s t ɐ
ripostou	ʁ i p o s t o
ripped	ʁ i p p e d ʒ
ripstein	ʁ i p s t e ĩ
ripuário	ʁ i p u ɐ ɾ i o
ripário	ʁ i p ɐ ɾ i o
ripícola	ʁ i p i k o l ɐ
riquenho	ʁ i k ẽ ɲ u
riquenhos	ʁ i k ẽ ɲ u s
riqueza	ʁ i k e z ɐ
riquezas	ʁ i k e z ɐ s
riquinho	ʁ i k i ɲ o
riquixá	ʁ i k i ʃ ɐ
riquíssima	ʁ i k i s ĩ m ɐ
riquíssimo	ʁ i k i s ĩ m u
rir	ʁ i ɹ
riram	ʁ i ɾ ɐ̃w̃
riria	ʁ i ɾ i ɐ
ririka	ʁ i ɾ i k ɐ
rirá	ʁ i ɾ ɐ
ris	ʁ i s
risada	ʁ i z ɐ d ɐ
risadas	ʁ i z ɐ d ɐ s
risadinha	ʁ i z ɐ d i ɲ ɐ
risc	ʁ i s k
risca	ʁ i s k ɐ
riscada	ʁ i s k ɐ d ɐ
riscado	ʁ i s k ɐ d u
riscala	ʁ i s k ɐ l ɐ
riscar	ʁ i s k ɐ ɹ
riscará	ʁ i s k ɐ ɾ ɐ
risco	ʁ i s k u
riscos	ʁ i s k u s
rise	ʁ i z i
risi	ʁ i z i
rising	ʁ i z ĩ ɡ
risinho	ʁ i z i ɲ o
riso	ʁ i z u
risonha	ʁ i z õ ɲ ɐ
risonho	ʁ i z õ ɲ u
risos	ʁ i z u s
risota	ʁ i z o t ɐ
risoto	ʁ i z o t u
risotos	ʁ i z o t u s
risotto	ʁ i z o t ʃ t u
rispidamente	ʁ i s p i d ɐ m ẽ t e
rispidez	ʁ i s p i d ej s
riste	ʁ i s t ʃ i
risério	ʁ i z ɛ ɾ i u
risíveis	ʁ i z i v ej s
risível	ʁ i z i v ew
rita	ʁ i t ɐ
ritchie	ʁ i t ʃ ʃ i
ritinha	ʁ i t ʃ ĩ ɲ ɐ
ritmado	ʁ i t ʃ m ɐ d u
ritmicamente	ʁ i t i m i k ɐ m ẽ t i
ritmistas	ʁ i t ʃ m i s t ɐ s
ritmo	ʁ i t ʃ m u
ritmos	ʁ i t ʃ m u s
rito	ʁ i t u
ritos	ʁ i t u s
ritts	ʁ i t ʃ t ʃ s
rituais	ʁ i t u ɐj s
ritual	ʁ i t u ɐw
ritualisticamente	ʁ i t u ɐ l i s t i k ɐ m ẽ t e
ritualmente	ʁ i t u ɐ w m ẽ t e
ritualístico	ʁ i t u ɐ l i s t ʃ i k u
ritz	ʁ i t ʃ s
ritápolis	ʁ i t ɐ p o l i s
ritão	ʁ i t ɐ̃ ɐ̃w̃
riu	ʁ iw
riul	ʁ iw w
riva	ʁ i v ɐ
rivais	ʁ i v ɐj s
rival	ʁ i v ɐw
rivaldo	ʁ i v ɐw d u
rivalidade	ʁ i v ɐ l i d ɐ d ʒ i
rivalidades	ʁ i v ɐ l i d ɐ d ʒ i s
rivaliza	ʁ i v ɐ l i z ɐ
rivalizam	ʁ i v ɐ l i z ɐ̃w̃
rivalizar	ʁ i v ɐ l i z ɐ ɹ
rivas	ʁ i v ɐ s
rive	ʁ i v i
rivelino	ʁ i v e l ĩ n u
river	ʁ i v e ɹ
rivera	ʁ i v e ɾ ɐ
riverside	ʁ i v e ɹ s i d ʒ i
rivette	ʁ i v e t ʃ t ʃ i
riviera	ʁ i v i e ɾ ɐ
rixa	ʁ i ʃ ɐ
rixar	ʁ i ʃ ɐ
rixoso	ʁ i ʃ o z o
riza	ʁ i z ɐ
rizoma	ʁ i z o m ɐ
rizosfera	ʁ i z o s f e ɾ ɐ
rizotônico	ʁ i z o t o n i k o
rizza	ʁ i z z ɐ
rizzi	ʁ i z z i
rizzieri	ʁ i z z i e ɾ i
rizzo	ʁ i z z u
rizóbio	ʁ i z o b i o
riço	ʁ i s o
rj	ʁ ʒ
rjr	ʁ ʒ ɹ
rko	ʁ k u
rl	ʁ w
rm	ʁ m
rmb	ʁ m b
rmc	ʁ m k
rn	ʁ n
rna	ʁ n ɐ
ro	ʁ u
roach	ʁ o ɐ ʃ
road	ʁ o ɐ d ʒ
roadrunner	ʁ o ɐ d ɾ ũ n e ɹ
roadster	ʁ o ɐ d ʒ s t e ɹ
roanne	ʁ o ɐ̃ n i
roark	ʁ o ɐ ɹ k
roaz	ʁ o ɐ ɾ s
rob	ʁ o b
robaina	ʁ o b ɐ ĩ n ɐ
robalinho	ʁ o b ɐ l ĩ ɲ u
robalo	ʁ o b ɐ l u
robards	ʁ o b ɐ ʁ d ʒ s
robazza	ʁ o b ɐ z z ɐ
robb	ʁ o b b
robben	ʁ o b b ẽ
robbie	ʁ o b b i
robbins	ʁ o b b ĩ s
robby	ʁ o b b i
robe	ʁ o b i
robert	ʁ o b e ɹ t ʃ
roberta	ʁ o b e ɹ t ɐ
roberti	ʁ o b e ɹ t ʃ i
robertinho	ʁ o b e ɹ t ʃ ĩ ɲ u
roberto	ʁ o b e ɹ t u
roberts	ʁ o b e ɹ t ʃ s
robertson	ʁ o b e ɹ t ʃ s õ
robertão	ʁ o b e ɹ t ɐ̃w̃
roberval	ʁ o b e ʁ v ɐw
robespierre	ʁ o b e s p i e ʁ i
robillard	ʁ o b iw l ɐ ʁ d ʒ
robin	ʁ o b ĩ
robinho	ʁ o b ĩ ɲ u
robinson	ʁ o b ĩ s õ
robledo	ʁ o b l e d u
robles	ʁ o b l i s
robocop	ʁ o b o k o p
robot	ʁ o b o
robotizada	ʁ o b o t ʃ i z ɐ d ɐ
robotizar	ʁ o b o t i z ɐ
robotização	ʁ o b o t i z ɐ s ɐ̃ ɐ̃w̃
robozinho	ʁ o b o z i ɲ o
robozão	ʁ o b o z ɐ̃ ɐ̃w̃
robson	ʁ o b s õ
robuchon	ʁ o b u ʃ õ
robusta	ʁ o b u s t ɐ
robustez	ʁ o b u s t ej s
robusto	ʁ o b u s t u
roby	ʁ o b i
robínia	ʁ o b i n i ɐ
robótica	ʁ o b ɔ t ʃ i k ɐ
robótico	ʁ o b o t i k o
robô	ʁ o b o
robôs	ʁ o b o s
roca	ʁ o k ɐ
rocambole	ʁ o k ɐ̃ b o l i
rocambolesca	ʁ o k ɐ̃ b o l e s k ɐ
rocard	ʁ o k ɐ ʁ d ʒ
rocas	ʁ o k ɐ s
rocca	ʁ o k k ɐ
rocco	ʁ o k k u
roch	ʁ o ʃ
rocha	ʁ o ʃ ɐ
rochael	ʁ o ʃ ɐ ɛw
rochant	ʁ o ʃ ɐ̃ t ʃ
rochas	ʁ o ʃ ɐ s
roche	ʁ o ʃ i
rocheda	ʁ o ʃ e d ɐ
rochedo	ʁ o ʃ e d u
rochefoucauld	ʁ o ʃ e f ow k ɐw w d ʒ
rochelle	ʁ o ʃ ɛw l i
rocher	ʁ o ʃ e ɹ
rochester	ʁ o ʃ e s t e ɹ
rochinha	ʁ o ʃ i ɲ ɐ
rochosas	ʁ o ʃ ɔ z ɐ s
rochoso	ʁ o ʃ o z u
rociar	ʁ o s i ɐ
rocim	ʁ o s ĩ
rocinante	ʁ o s i n ɐ̃ t e
rocinha	ʁ o s ĩ ɲ ɐ
rocio	ʁ o s i u
rock	ʁ o k k
rockabilly	ʁ o k k ɐ b iw w i
rockefeller	ʁ o k k e f ew l e ɹ
rockeiro	ʁ o k e ɾ ɾ o
rocket	ʁ o k k e t ʃ
rockets	ʁ o k k e t ʃ s
rockfeller	ʁ o k k f ew l e ɹ
rockn	ʁ o k k n
rocknroll	ʁ o k k n ɾ ow w
rocks	ʁ o k k s
rockstoria	ʁ o k k s t o ɾ i ɐ
rockstória	ʁ o k k s t ɔ ɾ i ɐ
rockwell	ʁ o k k w ew w
rocky	ʁ o k k i
roco	ʁ o k o
rococó	ʁ o k o k ɔ
rocsta	ʁ o k s t ɐ
rocódromo	ʁ o k o d ɾ o m o
rocódromos	ʁ o k o d ɾ o m o s
rod	ʁ o d ʒ
roda	ʁ o d ɐ
rodada	ʁ o d ɐ d ɐ
rodadas	ʁ o d ɐ d ɐ s
rodado	ʁ o d ɐ d u
rodados	ʁ o d ɐ d u s
rodagem	ʁ o d ɐ ʒ ẽj̃
rodam	ʁ o d ɐ̃w̃
rodamoinho	ʁ o d ɐ m o i ɲ o
rodando	ʁ o d ɐ̃ d u
rodapé	ʁ o d ɐ p ɛ
rodar	ʁ o d ɐ ɹ
rodaram	ʁ o d ɐ ɾ ɐ̃w̃
rodas	ʁ o d ɐ s
rodava	ʁ o d ɐ v ɐ
rodeada	ʁ o d e ɐ d ɐ
rodeado	ʁ o d e ɐ d u
rodeados	ʁ o d e ɐ d u s
rodear	ʁ o d e ɐ ɹ
rodei	ʁ o d ej
rodeia	ʁ o d ej ɐ
rodeiam	ʁ o d ej ɐ̃w̃
rodeio	ʁ o d ej u
rodeios	ʁ o d ej u s
rodela	ʁ o d ɛ l ɐ
rodelas	ʁ o d e l ɐ s
roden	ʁ o d ẽ
rodense	ʁ o d ẽ s e
rodeo	ʁ o d e u
rodes	ʁ o d e s
rodesiano	ʁ o d e z i ɐ n o
rodeão	ʁ o d e ɐ̃ ɐ̃w̃
rodeões	ʁ o d e õ s s
rodgers	ʁ o d ʒ ʒ e ɹ s
rodham	ʁ o d ɐ̃w̃
rodilha	ʁ o d i ʎ ɐ
rodilhão	ʁ o d i ʎ ɐ̃ ɐ̃w̃
rodin	ʁ o d ʒ ĩ
rodinha	ʁ o d ʒ ĩ ɲ ɐ
rodinhas	ʁ o d ʒ ĩ ɲ ɐ s
rodman	ʁ o d ʒ m ɐ̃
rodnei	ʁ o d ʒ n ej
rodney	ʁ o d ʒ n e i
rodo	ʁ o d u
rodoanel	ʁ o d o ɐ n ɛw
rodocrosita	ʁ o d o k ɾ o z i t ɐ
rododendro	ʁ o d o d ẽ d ɾ o
rodolfo	ʁ o d ɔ w f u
rodopiar	ʁ o d o p i ɐ ɹ
rodopio	ʁ o d o p i u
rodopios	ʁ o d o p i u s
rodou	ʁ o d ow
rodovia	ʁ o d o v i ɐ
rodovias	ʁ o d o v i ɐ s
rodoviária	ʁ o d o v i ɐ ɾ i ɐ
rodoviárias	ʁ o d o v i ɐ ɾ i ɐ s
rodoviário	ʁ o d o v i ɐ ɾ i u
rodoviários	ʁ o d o v i ɐ ɾ i u s
rodrigo	ʁ o d ɾ i ɡ u
rodrigues	ʁ o d ɾ i ɡ i s
rodriguez	ʁ o d ɾ i ɡ ej s
rodriguiano	ʁ o d ɾ i ɡ i ɐ n o
rodriguinho	ʁ o d ɾ i ɡ i ɲ o
rodriguinhos	ʁ o d ɾ i ɡ i ɲ o s
rodrix	ʁ o d ɾ i k s
rodríguez	ʁ o d ɾ i ɡ e s
rodá	ʁ o d ɐ
rodício	ʁ o d i s i o
rodícios	ʁ o d i s i o s
rodízio	ʁ o d i z i u
rodízios	ʁ o d i z i u s
roe	ʁ o i
roedor	ʁ o e d o ɹ
roedores	ʁ o e d o ɾ i s
roeis	ʁ o e ɾ s
roem	ʁ o ẽ s
roemos	ʁ o e m o s
roendo	ʁ o ẽ d u
roentgênio	ʁ o ẽ d e n i o
roer	ʁ o e ɹ
roerá	ʁ o e ɾ ɐ
roese	ʁ o e z i
roesler	ʁ o e s l e ɹ
roethlisberger	ʁ o e t l i z b e ʁ ʒ e ɹ
rogar	ʁ o ɡ ɐ ɹ
rogaram	ʁ o ɡ ɐ ɾ ɐ̃ ɐ̃w̃
rogará	ʁ o ɡ ɐ ɾ ɐ
rogatório	ʁ o ɡ ɐ t o ɾ i o
rogação	ʁ o ɡ ɐ s ɐ̃ ɐ̃w̃
rogelino	ʁ o ʒ e l ĩ n u
roger	ʁ o ʒ e ɹ
rogerinho	ʁ o ʒ e ɾ ĩ ɲ u
rogerio	ʁ o ʒ e ɾ i u
rogers	ʁ o ʒ e ɹ s
rogo	ʁ o ɡ o
rogos	ʁ o ɡ o s
rogério	ʁ o ʒ ɛ ɾ i u
rohm	ʁ o m
rohmer	ʁ o m e ɹ
roi	ʁ oj
roig	ʁ oj ɡ
roinga	ʁ ö ĩ ɡ ɐ
roinja	ʁ ö ĩ d ʒ ɐ
roit	ʁ oj t ʃ
roithman	ʁ oj t m ɐ̃
roitman	ʁ oj t ʃ m ɐ̃
roizenblatt	ʁ oj z ẽ b l ɐ t ʃ t ʃ
rojar	ʁ o ʒ ɐ
rojas	ʁ o ʒ ɐ s
rojão	ʁ o ʒ ɐ̃w̃
rojões	ʁ o ʒ õj̃ s
rol	ʁ ɔ w
rola	ʁ o l ɐ
rolada	ʁ o l ɐ d ɐ
rolado	ʁ o l ɐ d u
rolagem	ʁ o l ɐ ʒ ẽj̃
rolam	ʁ o l ɐ̃w̃
rolamento	ʁ o l ɐ m ẽ t u
rolamentos	ʁ o l ɐ m ẽ t u s
roland	ʁ o l ɐ̃ d ʒ
rolando	ʁ o l ɐ̃ d u
rolante	ʁ o l ɐ̃ t ʃ i
rolantes	ʁ o l ɐ̃ t ʃ i s
rolar	ʁ o l ɐ ɹ
rolaram	ʁ o l ɐ ɾ ɐ̃w̃
rolará	ʁ o l ɐ ɾ ɐ
rolava	ʁ o l ɐ v ɐ
rolavam	ʁ o l ɐ v ɐ̃w̃
roldana	ʁ ow d ɐ̃ n ɐ
roldán	ʁ ow d ɐ n
roldão	ʁ ow d ɐ̃w̃
role	ʁ o l i
roleta	ʁ o l e t ɐ
roletas	ʁ o l e t ɐ s
rolete	ʁ o l e t e
rolex	ʁ o l e k s
rolezar	ʁ o l e z ɐ
rolezinho	ʁ o l e z i ɲ o
rolf	ʁ ow f
rolha	ʁ o ʎ ɐ
rolhas	ʁ o ʎ ɐ s
rolhinha	ʁ o ʎ i ɲ ɐ
rolim	ʁ o l ĩ
rolimã	ʁ o l ĩ m ɐ̃
rolinho	ʁ o l i ɲ o
roliço	ʁ o l i s u
roll	ʁ ow w
rolla	ʁ ɔ w l ɐ
rollemberg	ʁ ow l ẽ b e ʁ ɡ
roller	ʁ ow l e ɹ
rollers	ʁ ow l e ɹ s
rolling	ʁ ow l ĩ ɡ
rollins	ʁ ow l ĩ s
rolls	ʁ ow w s
rolnik	ʁ ɔ w n i k
rolo	ʁ o l u
rolos	ʁ o l u s
rolou	ʁ o l ow
rolândia	ʁ o l ɐ̃ d ʒ i ɐ
rolê	ʁ o l e
rom	ʁ õ
roma	ʁ õ m ɐ
romagem	ʁ o m ɐ ʒ ẽ s
romagnolo	ʁ õ m ɐ ɡ n o l u
romain	ʁ o m ɐ ĩ
romaji	ʁ o m ɐ ʒ i
roman	ʁ o m ɐ̃
romana	ʁ o m ɐ̃ n ɐ
romanamente	ʁ o m ɐ n ɐ m ẽ t e
romanas	ʁ o m ɐ̃ n ɐ s
romance	ʁ o m ɐ̃ s i
romanceiro	ʁ o m ɐ̃ s ej ɾ u
romances	ʁ o m ɐ̃ s i s
romanche	ʁ o m ɐ̃ ʃ e
romancista	ʁ o m ɐ̃ s i s t ɐ
romancistas	ʁ o m ɐ̃ s i s t ɐ s
romanelli	ʁ o m ɐ n ew l i
romanesca	ʁ o m ɐ n e s k ɐ
romani	ʁ o m ɐ n i
romanini	ʁ o m ɐ n ĩ n i
romanioli	ʁ o m ɐ n i o l i
romanizar	ʁ o m ɐ n i z ɐ
romanização	ʁ o m ɐ n i z ɐ s ɐ̃ ɐ̃w̃
romanizações	ʁ o m ɐ n i z ɐ s õ s s
romano	ʁ o m ɐ̃ n u
romanos	ʁ o m ɐ̃ n u s
romanov	ʁ o m ɐ̃ n o v
romantica	ʁ o m ɐ̃ t ʃ i k ɐ
romanticamente	ʁ o m ɐ̃ t ʃ i k ɐ m ẽ t ʃ i
romanticismo	ʁ o m ɐ̃ t i s i z m o
romantismo	ʁ o m ɐ̃ t ʃ i z m u
romanço	ʁ o m ɐ̃ s o
romaria	ʁ o m ɐ ɾ i ɐ
rombicosidodecaedro	ʁ õ b i k o z i d o d e k ɐ e d ɾ o
rombo	ʁ õ b u
romboide	ʁ õ b o ɾ d e
rombos	ʁ õ b u s
rome	ʁ õ m i
romeira	ʁ o m e ɾ ɾ ɐ
romeiros	ʁ o m ej ɾ u s
romena	ʁ o m ẽ n ɐ
romenas	ʁ o m ẽ n ɐ s
romeno	ʁ o m ẽ n u
romenos	ʁ o m ẽ n u s
romeo	ʁ o m e u
romer	ʁ o m e ɹ
romero	ʁ o m e ɾ u
romeu	ʁ o m ew
romi	ʁ o m i
romildo	ʁ o m iw d u
rominger	ʁ o m ĩ ʒ e ɹ
rommel	ʁ õ m ɛw
romney	ʁ õ n e i
rompa	ʁ õ p ɐ
rompantes	ʁ õ p ɐ̃ t ʃ i s
rompe	ʁ õ p i
rompeis	ʁ õ p e ɾ s
rompem	ʁ õ p ẽj̃
rompendo	ʁ õ p ẽ d u
romper	ʁ õ p e ɹ
romperam	ʁ õ p e ɾ ɐ̃w̃
romperia	ʁ õ p e ɾ i ɐ
romperá	ʁ õ p e ɾ ɐ
rompeu	ʁ õ p ew
rompia	ʁ õ p i ɐ
rompida	ʁ õ p i d ɐ
rompidas	ʁ õ p i d ɐ s
rompido	ʁ õ p i d u
rompidos	ʁ õ p i d u s
rompimento	ʁ õ p ĩ m ẽ t u
rompimentos	ʁ õ p ĩ m ẽ t u s
roms	ʁ õ s
romu	ʁ o m u
romualdo	ʁ o m u ɐw d u
romulo	ʁ o m u l u
romário	ʁ o m ɐ ɾ i u
români	ʁ o m ɐ n i
românico	ʁ o m ɐ n i k o
romântica	ʁ o m ɐ̃ t ʃ i k ɐ
românticas	ʁ o m ɐ̃ t ʃ i k ɐ s
romântico	ʁ o m ɐ̃ t ʃ i k u
românticos	ʁ o m ɐ̃ t ʃ i k u s
romã	ʁ o m ɐ̃
romão	ʁ o m ɐ̃w̃
romãos	ʁ o m ɐ̃ ɐ̃w̃ s
romãzeira	ʁ o m ɐ̃ z e ɾ ɾ ɐ
romério	ʁ o m ɛ ɾ i u
romênia	ʁ o m e n i ɐ
ron	ʁ õ
ronald	ʁ õ n ɐw d ʒ
ronaldinho	ʁ o n ɐ w d i ɲ o
ronaldo	ʁ o n ɐw d u
ronaldão	ʁ o n ɐw d ɐ̃w̃
ronan	ʁ o n ɐ̃
ronca	ʁ õ k ɐ
roncador	ʁ õ k ɐ d o ɹ
roncar	ʁ õ k ɐ ɹ
roncará	ʁ õ k ɐ ɾ ɐ
roncesvales	ʁ õ s e z v ɐ l e s
ronco	ʁ õ k u
ronda	ʁ õ d ɐ
rondam	ʁ õ d ɐ̃w̃
rondando	ʁ õ d ɐ̃ d u
rondante	ʁ õ d ɐ̃ t e
rondar	ʁ õ d ɐ ɹ
rondas	ʁ õ d ɐ s
rondelli	ʁ õ d ew l i
rondinelli	ʁ õ d ʒ ĩ n ew l i
rondinha	ʁ õ d i ɲ ɐ
rondon	ʁ õ d õ
rondoniana	ʁ õ d o n i ɐ n ɐ
rondoniano	ʁ õ d o n i ɐ n o
rondoniense	ʁ õ d o n i ẽ s e
rondonópolis	ʁ õ d o n ɔ p o l i s
rondônia	ʁ õ d ʒ o n i ɐ
roney	ʁ õ n e i
ronga	ʁ õ ɡ ɐ
roni	ʁ o n i
ronino	ʁ o n i n o
ronnie	ʁ õ n i
ronrom	ʁ õ ʁ õ
ronrona	ʁ õ ʁ o n ɐ
ronronar	ʁ õ ʁ o n ɐ
ronrono	ʁ õ ʁ o n o
ronrons	ʁ õ ʁ õ s
rony	ʁ õ i
roo	ʁ o o
rookie	ʁ o o k i
rookies	ʁ o o k i i s
room	ʁ o õ
rooms	ʁ o õ s
rooney	ʁ o õ n e i
roosevelt	ʁ o o z e v ew t ʃ
root	ʁ u t
rootear	ʁ u t e ɐ
roots	ʁ o o t ʃ s
roque	ʁ o k i
roqueira	ʁ o k ej ɾ ɐ
roqueiro	ʁ o k ej ɾ u
roqueiros	ʁ o k ej ɾ u s
roques	ʁ o k i s
roquete	ʁ o k e t ʃ i
roquette	ʁ o k e t ʃ t ʃ i
roraima	ʁ o ɾ ɐ ĩ m ɐ
roraimense	ʁ o ɾ ɐ ɾ m ẽ s e
roriz	ʁ o ɾ i j s
rorqual	ʁ o ɹ k w ɐ w
rorty	ʁ o ɹ t ʃ i
rory	ʁ o ɹ i
rosa	ʁ ɔ z ɐ
rosada	ʁ ɔ z ɐ d ɐ
rosadas	ʁ ɔ z ɐ d ɐ s
rosado	ʁ ɔ z ɐ d u
rosalie	ʁ ɔ z ɐ l i
rosalina	ʁ ɔ z ɐ l ĩ n ɐ
rosalind	ʁ ɔ z ɐ l ĩ d ʒ
rosana	ʁ ɔ z ɐ̃ n ɐ
rosane	ʁ ɔ z ɐ̃ n i
rosangela	ʁ ɔ z ɐ̃ ʒ ɛ l ɐ
rosanna	ʁ ɔ z ɐ̃ n ɐ
rosario	ʁ ɔ z ɐ ɾ i u
rosas	ʁ ɔ z ɐ s
rosbife	ʁ o z b i f i
rosca	ʁ o s k ɐ
rose	ʁ o z i
roseana	ʁ o z e ɐ̃ n ɐ
roseane	ʁ o z e ɐ̃ n i
roseanne	ʁ o z e ɐ̃ n i
rosebank	ʁ o z e b ɐ̃ k
roseira	ʁ o z ej ɾ ɐ
roseiral	ʁ o z e ɾ ɾ ɐ w
roseiro	ʁ o z e ɾ ɾ o
rosela	ʁ o z e l ɐ
roseli	ʁ o z e l i
rosely	ʁ o z ew i
rosemary	ʁ o z ẽ m ɐ ɹ i
rosemberg	ʁ o z ẽ b e ʁ ɡ
rosemeire	ʁ o z e m ej ɾ i
rosenbaum	ʁ o z ẽ b ɐ ũ
rosenberg	ʁ o z ẽ b e ʁ ɡ
rosenfeld	ʁ o z ẽ f ew d ʒ
rosenthal	ʁ o z ẽ t ɐw
roses	ʁ o z i s
roseta	ʁ o z e t ɐ
rosh	ʁ o ʃ
rosi	ʁ o z i
rosicler	ʁ o z i k l e ɹ
rosie	ʁ o z i
rosilene	ʁ o z i l e n i
rosina	ʁ o z ĩ n ɐ
rosinete	ʁ o z ĩ n e t ʃ i
rosinha	ʁ o z ĩ ɲ ɐ
rosita	ʁ o z i t ɐ
rosivaldo	ʁ o z i v ɐw d u
rosmaninho	ʁ o z m ɐ n i ɲ o
rosnado	ʁ o z n ɐ d o
rosnar	ʁ o z n ɐ ɹ
rosnará	ʁ o z n ɐ ɾ ɐ
roso	ʁ o z u
rosquinha	ʁ o s k i ɲ ɐ
ross	ʁ o s
rossa	ʁ o s ɐ
rosselini	ʁ o s e l ĩ n i
rossellini	ʁ o s ew l ĩ n i
rosset	ʁ o s e t ʃ
rosseti	ʁ o s e t ʃ i
rosseto	ʁ o s e t u
rossetti	ʁ o s e t ʃ t ʃ i
rossi	ʁ o s i
rossini	ʁ o s ĩ n i
rossiniana	ʁ o s i n i ɐ n ɐ
rossiniano	ʁ o s i n i ɐ n o
rossio	ʁ o s i u
rosso	ʁ o s u
rossocaua	ʁ o s o k ɐw ɐ
rossy	ʁ o s i
rostand	ʁ o s t ɐ̃ d ʒ
rostenkowski	ʁ o s t ẽ k ow s k i
rostinho	ʁ o s t i ɲ o
rosto	ʁ o s t u
rostos	ʁ o s t u s
rostov	ʁ o s t o v
rostral	ʁ o s t ɾ ɐ w
rostropovich	ʁ o s t ɾ o p o v i ʃ
rosácea	ʁ o z ɐ s e ɐ
rosália	ʁ o z ɐ l i ɐ
rosário	ʁ o z ɐ ɾ i u
rosângela	ʁ o z ɐ̃ ʒ ɛ l ɐ
rosé	ʁ o z e
roséola	ʁ o z e o l ɐ
rota	ʁ o t ɐ
rotacionais	ʁ o t ɐ s i o n ɐ ɾ s
rotacional	ʁ o t ɐ s i o n ɐ w
rotacismo	ʁ o t ɐ s i z m o
rotar	ʁ o t ɐ
rotary	ʁ o t ɐ ɹ i
rotas	ʁ o t ɐ s
rotativa	ʁ o t ɐ t ʃ i v ɐ
rotativas	ʁ o t ɐ t ʃ i v ɐ s
rotatividade	ʁ o t ɐ t ʃ i v i d ɐ d ʒ i
