muy	m u ʝ
dica	d i k a
dimayor	d i m a ʝ o ɾ
dorantes	d o ɾ a n t e s
dorn	d o ɾ n
dov	d o b
droide	d ɾ oi d e
dumplings	d u m p l i n g s
dumpty	d u m p t i
duos	d wo s
duvall	d u b a ʎ
déjalas	d e x a l a s
efraim	e f ɾ ai m
eis	ei s
endara	e n d a ɾ a
energetica	e n e ɾ x e t i k a
eriksson	e ɾ i k s o n
espumante	e s p u m a n t e
estrela	e s t ɾ e l a
eternity	e t e ɾ n i t i
eudeba	eu d e b a
eusebia	eu s e b ʝ a
excompañero	e k s k o m p a ɲ e ɾ o
excompañeros	e k s k o m p a ɲ e ɾ o s
exesposo	e k s e s p o s o
expat	e k s p a t
expos	e k s p o s
fermi	f e ɾ m i
ferrovial	f e r o b ʝ a l
fidelis	f i d e l i s
figari	f i g a ɾ i
fiz	f i θ
flakes	f l a k e s
flesh	f l e s
flirteo	f l i ɾ t e o
fog	f o g
fois	f oi s
forn	f o ɾ n
fresneda	f ɾ e s n e d a
fum	f u m
fura	f u ɾ a
fàbregas	f a b ɾ e g a s
gallinita	g a ʎ i n i t a
gamescom	g a m e s k o m
ganesh	g a n e s
ganz	g a n θ
ganímedes	g a n i m e d e s
garantista	g a ɾ a n t i s t a
gargamel	g a ɾ g a m e l
gaytán	g a ʝ t a n
gdansk	g d a n s k
genetistas	x e n e t i s t a s
gennady	x e n n a d i
giddens	x i d d e n s
gilgamesh	x i l g a m e s
gilly	x i ʎ i
globovision	g l o b o b i s ʝ o n
gormaz	g o ɾ m a θ
groserias	g ɾ o s e ɾ ʝ a s
guadalix	g wa d a l i k s
gén	x e n
haider	ai d e ɾ
hajj	a x x
hamlin	a m l i n
handy	a n d i
harmonía	a ɾ m o n i a
hefner	e f n e ɾ
heinze	ei n θ e
helder	e l d e ɾ
herm	e ɾ m
hesíodo	e s i o d o
hickman	i k m a n
hilaria	i l a ɾ ʝ a
hilde	i l d e
hipona	i p o n a
hire	i ɾ e
hoff	o f
hooks	o o k s
huevona	we b o n a
hutus	u t u s
huír	wi ɾ
icebergs	i θ e b e ɾ g s
ieps	ʝ e p s
ige	i x e
ika	i k a
inacap	i n a k a p
infanteria	i m f a n t e ɾ ʝ a
inflacionarias	i m f l a θ ʝ o n a ɾ ʝ a s
informatico	i m f o ɾ m a t i k o
ingresantes	i n g ɾ e s a n t e s
instantanea	i n s t a n t a n e a
institutions	i n s t i t u t ʝ o n s
integramente	i n t e g ɾ a m e n t e
integration	i n t e g ɾ a t ʝ o n
interesting	i n t e ɾ e s t i n g
intergaláctica	i n t e ɾ g a l a k t i k a
intermunicipal	i n t e ɾ m u n i θ i p a l
internacion	i n t e ɾ n a θ ʝ o n
interprovinciales	i n t e ɾ p ɾ o b i n θ ʝ a l e s
inundacion	i n u n d a θ ʝ o n
invap	i m b a p
iqué	i k e
irreconocibles	i r e k o n o θ i b l e s
isl	i s l
izquiera	i θ k ʝ e ɾ a
jajajajaa	x a x a x a x a a
janssen	x a n s e n
jebel	x e b e l
joly	x o l i
jotos	x o t o s
jozef	x o θ e f
jubilatoria	x u b i l a t o ɾ ʝ a
juilliard	x wi ʎ ʝ a ɾ d
jumping	x u m p i n g
jurisprudenciales	x u ɾ i s p ɾ u d e n θ ʝ a l e s
kagoshima	k a g o s i m a
kaneda	k a n e d a
karadima	k a ɾ a d i m a
kazuya	k a θ u ʝ a
kinda	k i n d a
kirsty	k i ɾ s t i
knut	k n u t
koenig	k o e n i g
kot	k o t
kretina	k ɾ e t i n a
laika	l ai k a
lampard	l a m p a ɾ d
langer	l a n x e ɾ
lauder	l au d e ɾ
leaves	l e a b e s
lebac	l e b a k
libr	l i b ɾ
licinio	l i θ i n ʝ o
lolas	l o l a s
longobardi	l o n g o b a ɾ d i
lonnie	l o n n ʝ e
loris	l o ɾ i s
lorne	l o ɾ n e
loya	l o ʝ a
loz	l o θ
lsa	l s a
ludovic	l u d o b i k
maka	m a k a
maliki	m a l i k i
mamaguevo	m a m a g e b o
manaure	m a n au ɾ e
manitoba	m a n i t o b a
maquetación	m a k e t a θ ʝ o n
marcelina	m a ɾ θ e l i n a
marcuse	m a ɾ k u s e
marly	m a ɾ l i
marv	m a ɾ b
masala	m a s a l a
matti	m a t i
maturin	m a t u ɾ i n
mediatico	m e d ʝ a t i k o
mediáticamente	m e d ʝ a t i k a m e n t e
menard	m e n a ɾ d
menton	m e n t o n
metalica	m e t a l i k a
meteria	m e t e ɾ ʝ a
mignon	m i g n o n
misisipí	m i s i s i p i
mixco	m i k s k o
mompox	m o m p o k s
monegros	m o n e g ɾ o s
montmeló	m o n t m e l o
montrose	m o n t ɾ o s e
moralismo	m o ɾ a l i s m o
moratín	m o ɾ a t i n
morrigan	m o r i g a n
mostras	m o s t ɾ a s
mothers	m o t e ɾ s
motosierras	m o t o s ʝ e r a s
muestrame	m we s t ɾ a m e
multidisciplinarios	m u l t i d i s θ i p l i n a ɾ ʝ o s
murano	m u ɾ a n o
musset	m u s e t
mándalo	m a n d a l o
módems	m o d e m s
naoko	n a o k o
nare	n a ɾ e
navalmoral	n a b a l m o ɾ a l
navantia	n a b a n t ʝ a
nbi	m b i
nectar	n e k t a ɾ
negacionistas	n e g a θ ʝ o n i s t a s
nera	n e ɾ a
nespresso	n e s p ɾ e s o
neumaticos	n eu m a t i k o s
neus	n eu s
nicos	n i k o s
noelle	n o e ʎ e
nombrarse	n o m b ɾ a ɾ s e
núnca	n u n k a
obligadamente	o b l i g a d a m e n t e
ocasio	o k a s ʝ o
ohrid	o ɾ i d
ois	oi s
olvideis	o l b i d ei s
olvidémonos	o l b i d e m o n o s
olympiacos	o l i m p ʝ a k o s
onces	o n θ e s
onur	o n u ɾ
openstreetmap	o p e n s t ɾ e e t m a p
orbán	o ɾ b a n
otilia	o t i l ʝ a
ovelar	o b e l a ɾ
oyarbide	o ʝ a ɾ b i d e
oyarzún	o ʝ a ɾ θ u n
packet	p a k e t
pagame	p a g a m e
palawan	p a l a wa n
pamir	p a m i ɾ
paradisíaco	p a ɾ a d i s i a k o
parton	p a ɾ t o n
pasandola	p a s a n d o l a
pastiche	p a s t i t͡ʃ e
patologia	p a t o l o x ʝ a
pavese	p a b e s e
pedofilos	p e d o f i l o s
pellets	p e ʎ e t s
penagos	p e n a g o s
perfeccionismo	p e ɾ f e k θ ʝ o n i s m o
perreo	p e r e o
perucho	p e ɾ u t͡ʃ o
petroperú	p e t ɾ o p e ɾ u
picnics	p i k n i k s
pictogramas	p i k t o g ɾ a m a s
pinochetista	p i n o t͡ʃ e t i s t a
pirates	p i ɾ a t e s
plasmación	p l a s m a θ ʝ o n
polinizadores	p o l i n i θ a d o ɾ e s
politik	p o l i t i k
porla	p o ɾ l a
portobelo	p o ɾ t o b e l o
poseidon	p o s ei d o n
praça	p ɾ a θ a
prevalentes	p ɾ e b a l e n t e s
primal	p ɾ i m a l
probá	p ɾ o b a
protégete	p ɾ o t e x e t e
psicodélica	p s i k o d e l i k a
puertorico	p we ɾ t o ɾ i k o
pégale	p e g a l e
pídeles	p i d e l e s
públi	p u b l i
quill	k i ʎ
rainforest	r ai m f o ɾ e s t
ravenna	r a b e n n a
reaction	r e a k t ʝ o n
regni	r e g n i
rehúso	r eu s o
relevista	r e l e b i s t a
residence	r e s i d e n θ e
resultarle	r e s u l t a ɾ l e
robayo	r o b a ʝ o
robotech	r o b o t e t͡ʃ
roch	r o t͡ʃ
rossell	r o s e ʎ
rulli	r u ʎ i
rumsfeld	r u m s f e l d
rídiculo	r i d i k u l o
sabo	s a b o
salama	s a l a m a
salustiano	s a l u s t ʝ a n o
sanches	s a ɲ t͡ʃ e s
sartorius	s a ɾ t o ɾ ʝ u s
sascha	s a s t͡ʃ a
scam	s k a m
seduccion	s e d u k θ ʝ o n
seeley	s e e l e ʝ
seibo	s ei b o
sempronio	s e m p ɾ o n ʝ o
sengoku	s e n g o k u
senyor	s e ɲ ʝ o ɾ
sepulveda	s e p u l b e d a
serenamente	s e ɾ e n a m e n t e
serpenteante	s e ɾ p e n t e a n t e
sharapova	s a ɾ a p o b a
sherezade	s e ɾ e θ a d e
shinichi	s i n i t͡ʃ i
shlomo	s l o m o
shoko	s o k o
sieg	s ʝ e g
sifuentes	s i f we n t e s
simplex	s i m p l e k s
siqueira	s i k ei ɾ a
sist	s i s t
slalom	s l a l o m
slasher	s l a s e ɾ
slope	s l o p e
sobr	s o b ɾ
sommelier	s o m m e l ʝ e ɾ
sourceforge	s ou ɾ θ e f o ɾ x e
spínola	s p i n o l a
steal	s t e a l
stma	e s t m a
suajili	s wa x i l i
subcategorías	s u b k a t e g o ɾ i a s
subestimas	s u b e s t i m a s
sunchales	s u ɲ t͡ʃ a l e s
suriname	s u ɾ i n a m e
sverdlovsk	e s b e ɾ d l o b s k
swain	s wai n
swim	s wi m
sérica	s e ɾ i k a
sírvanse	s i ɾ b a n s e
tablita	t a b l i t a
tactical	t a k t i k a l
taper	t a p e ɾ
tasha	t a s a
teatinos	t e a t i n o s
tedeum	t e d eu m
tehuelche	t e we l t͡ʃ e
teka	t e k a
thesis	t e s i s
tiamina	t ʝ a m i n a
tomaso	t o m a s o
tomasz	t o m a s θ
toolkit	t o o l k i t
trabajarse	t ɾ a b a x a ɾ s e
trolebuses	t ɾ o l e b u s e s
twinkle	t wi n k l e
tycho	t i t͡ʃ o
undertaker	u n d e ɾ t a k e ɾ
universalismo	u n i b e ɾ s a l i s m o
username	u s e ɾ n a m e
vedettes	b e d e t t e s
veliz	b e l i θ
vell	b e ʎ
victimizarse	b i k t i m i θ a ɾ s e
vicálvaro	b i k a l b a ɾ o
vietcong	b ʝ e t k o n g
villagarcía	b i ʎ a g a ɾ θ i a
vincente	b i n θ e n t e
visi	b i s i
wacom	wa k o m
woon	wo o n
xóchitl	k s o t͡ʃ i t l
yamil	ʝ a m i l
yanet	ʝ a n e t
yn	i n
zubieta	θ u b ʝ e t a
ñublense	ɲ u b l e n s e
abiyán	a b i ʝ a n
abroad	a b ɾ o a d
accountability	a k k ou n t a b i l i t i
aceptalo	a θ e p t a l o
actopan	a k t o p a n
ademàs	a d e m a s
adolph	a d o l f
agile	a x i l e
agost	a g o s t
aichi	ai t͡ʃ i
ajíes	a x i e s
akita	a k i t a
alber	a l b e ɾ
aldridge	a l d ɾ i d x e
alentejo	a l e n t e x o
alguito	a l g i t o
allà	a ʎ a
almanza	a l m a n θ a
alpujarras	a l p u x a r a s
alvéolos	a l b e o l o s
ambrosia	a m b ɾ o s ʝ a
amedrentamiento	a m e d ɾ e n t a m ʝ e n t o
amenorrea	a m e n o r e a
amherst	a m e ɾ s t
andara	a n d a ɾ a
anio	a n ʝ o
anonimos	a n o n i m o s
antenor	a n t e n o ɾ
antihistamínicos	a n t i i s t a m i n i k o s
antiviral	a n t i b i ɾ a l
anuel	a n we l
apollinaire	a p o ʎ i n ai ɾ e
aportante	a p o ɾ t a n t e
apreto	a p ɾ e t o
aprobe	a p ɾ o b e
arabista	a ɾ a b i s t a
araque	a ɾ a k e
arganzuela	a ɾ g a n θ we l a
arranz	a r a n θ
arrested	a r e s t e d
artem	a ɾ t e m
asl	a s l
attitude	a t i t u d e
auri	au ɾ i
autoproclama	au t o p ɾ o k l a m a
avian	a b ʝ a n
axarquía	a k s a ɾ k i a
aysa	a i s a
azeríes	a θ e ɾ i e s
azuqueca	a θ u k e k a
badr	b a d ɾ
bahiano	b a ʝ a n o
balbo	b a l b o
ballivián	b a ʎ i b ʝ a n
banquen	b a n k e n
banu	b a n u
belfort	b e l f o ɾ t
benasque	b e n a s k e
beneficiencia	b e n e f i θ ʝ e n θ ʝ a
berberiscos	b e ɾ b e ɾ i s k o s
berries	b e r ʝ e s
berserk	b e ɾ s e ɾ k
bluegrass	b l we g ɾ a s
bodo	b o d o
bolin	b o l i n
bonis	b o n i s
brace	b ɾ a θ e
brandoni	b ɾ a n d o n i
brevísimo	b ɾ e b i s i m o
brigade	b ɾ i g a d e
bringas	b ɾ i n g a s
britto	b ɾ i t t o
bruxelles	b ɾ u k s e ʎ e s
bubi	b u b i
buchenwald	b u t͡ʃ e n wa l d
burlington	b u ɾ l i n g t o n
caborca	k a b o ɾ k a
cadaqués	k a d a k e s
cafta	k a f t a
cagandome	k a g a n d o m e
capot	k a p o t
castellet	k a s t e ʎ e t
caval	k a b a l
ccu	k k u
chamanismo	t͡ʃ a m a n i s m o
charlize	t͡ʃ a ɾ l i θ e
charrería	t͡ʃ a r e ɾ i a
chilecito	t͡ʃ i l e θ i t o
choc	t͡ʃ o k
chol	t͡ʃ o l
chole	t͡ʃ o l e
chupamedias	t͡ʃ u p a m e d ʝ a s
circ	θ i ɾ k
clarendon	k l a ɾ e n d o n
cloacal	k l o a k a l
clonazepam	k l o n a θ e p a m
colomb	k o l o m b
comares	k o m a ɾ e s
compilatorio	k o m p i l a t o ɾ ʝ o
comín	k o m i n
concepts	k o n θ e p t s
concesionado	k o n θ e s ʝ o n a d o
conección	k o n e k θ ʝ o n
consider	k o n s i d e ɾ
construír	k o n s t ɾ wi ɾ
contendores	k o n t e n d o ɾ e s
contracultural	k o n t ɾ a k u l t u ɾ a l
cooptación	k o o p t a θ ʝ o n
copal	k o p a l
copi	k o p i
copresidente	k o p ɾ e s i d e n t e
coraline	k o ɾ a l i n e
cosmonautas	k o s m o n au t a s
crewe	k ɾ e we
crian	k ɾ ʝ a n
crisp	k ɾ i s p
crédit	k ɾ e d i t
culés	k u l e s
cuore	k wo ɾ e
cusqueña	k u s k e ɲ a
cusqueño	k u s k e ɲ o
daf	d a f
dalt	d a l t
dastan	d a s t a n
dedazo	d e d a θ o
deirdre	d ei ɾ d ɾ e
dembélé	d e m b e l e
democrata	d e m o k ɾ a t a
derepente	d e ɾ e p e n t e
desubicados	d e s u b i k a d o s
devant	d e b a n t
diazepam	d ʝ a θ e p a m
dict	d i k t
dimitris	d i m i t ɾ i s
dinosaur	d i n o s au ɾ
discrepante	d i s k ɾ e p a n t e
donatello	d o n a t e ʎ o
donati	d o n a t i
drax	d ɾ a k s
drinks	d ɾ i n k s
dunga	d u n g a
durmio	d u ɾ m ʝ o
duster	d u s t e ɾ
dwyer	d wʝ e ɾ
dólmenes	d o l m e n e s
economias	e k o n o m ʝ a s
edta	e d t a
egmont	e g m o n t
elect	e l e k t
elections	e l e k t ʝ o n s
electrical	e l e k t ɾ i k a l
elohim	e l oi m
emprendedurismo	e m p ɾ e n d e d u ɾ i s m o
estacio	e s t a θ ʝ o
estevez	e s t e b e θ
etihad	e t i a d
ezquerra	e θ k e r a
fabrice	f a b ɾ i θ e
failed	f ai l e d
fairfield	f ai ɾ f ʝ e l d
fanzines	f a n θ i n e s
fars	f a ɾ s
ferries	f e r ʝ e s
fiori	f ʝ o ɾ i
flac	f l a k
foraminíferos	f o ɾ a m i n i f e ɾ o s
fotogalería	f o t o g a l e ɾ i a
franks	f ɾ a n k s
frenteamplista	f ɾ e n t e a m p l i s t a
fuensalida	f we n s a l i d a
funa	f u n a
funchal	f u ɲ t͡ʃ a l
fá	f a
gaius	g a ʝ u s
gastroenterología	g a s t ɾ o e n t e ɾ o l o x i a
gein	x ei n
generale	x e n e ɾ a l e
genovese	x e n o b e s e
genre	x e n r e
giordani	x ʝ o ɾ d a n i
globito	g l o b i t o
grands	g ɾ a n d s
grasse	g ɾ a s e
gratificantes	g ɾ a t i f i k a n t e s
greens	g ɾ e e n s
greyhound	g ɾ e ʝ ou n d
guang	g wa n g
guida	g i d a
hanako	a n a k o
haul	au l
hebert	e b e ɾ t
hedwig	e d wi g
hellen	e ʎ e n
hicieramos	i θ ʝ e ɾ a m o s
hidromasaje	i d ɾ o m a s a x e
hidromiel	i d ɾ o m ʝ e l
hidrostática	i d ɾ o s t a t i k a
hilfiger	i l f i x e ɾ
hipócritamente	i p o k ɾ i t a m e n t e
hispanica	i s p a n i k a
histerica	i s t e ɾ i k a
historique	i s t o ɾ i k e
holo	o l o
holográfico	o l o g ɾ a f i k o
homeless	o m e l e s
horses	o ɾ s e s
huanta	wa n t a
hurdes	u ɾ d e s
ibar	i b a ɾ
ielts	ʝ e l t s
ien	ʝ e n
indetenible	i n d e t e n i b l e
inea	i n e a
infiniti	i m f i n i t i
iniciático	i n i θ ʝ a t i k o
inmerecido	i m m e ɾ e θ i d o
inquirió	i n k i ɾ ʝ o
inr	i n r
insatisfactoria	i n s a t i s f a k t o ɾ ʝ a
interinato	i n t e ɾ i n a t o
internazionale	i n t e ɾ n a θ ʝ o n a l e
irvin	i ɾ b i n
isha	i s a
isil	i s i l
ituango	i t wa n g o
ituzaingo	i t u θ ai n g o
jad	x a d
jalapeños	x a l a p e ɲ o s
jamison	x a m i s o n
jemima	x e m i m a
jijón	x i x o n
josafat	x o s a f a t
jubilee	x u b i l e e
judias	x u d ʝ a s
juri	x u ɾ i
jéssica	x e s i k a
kabila	k a b i l a
kao	k a o
karine	k a ɾ i n e
kaufmann	k au f m a n
kawa	k a wa
kawai	k a wai
kazajos	k a θ a x o s
kes	k e s
khao	k a o
kiran	k i ɾ a n
kitten	k i t t e n
knéset	k n e s e t
lacarra	l a k a r a
lacteos	l a k t e o s
laetitia	l a e t i t ʝ a
lancashire	l a n k a s i ɾ e
langston	l a n g s t o n
latham	l a t a m
latimer	l a t i m e ɾ
launch	l au ɲ t͡ʃ
laín	l ai n
leggins	l e g x i n s
legio	l e x ʝ o
lemaitre	l e m ai t ɾ e
leví	l e b i
leyre	l ei ɾ e
libérate	l i b e ɾ a t e
lidocaína	l i d o k ai n a
limitacion	l i m i t a θ ʝ o n
limoges	l i m o x e s
linfomas	l i m f o m a s
liston	l i s t o n
livorno	l i b o ɾ n o
llamás	ʎ a m a s
llev	ʎ e b
llévatelo	ʎ e b a t e l o
loveless	l o b e l e s
macumba	m a k u m b a
maddalena	m a d d a l e n a
madi	m a d i
mainland	m ai n l a n d
maiquetia	m ai k e t ʝ a
maire	m ai ɾ e
maizena	m ai θ e n a
manfredo	m a m f ɾ e d o
marais	m a ɾ ai s
mariqueras	m a ɾ i k e ɾ a s
marsha	m a ɾ s a
maryam	m a ɾ ʝ a m
maryse	m a ɾ i s e
masterpiece	m a s t e ɾ p ʝ e θ e
matenme	m a t e m m e
mayada	m a ʝ a d a
mañalich	m a ɲ a l i t͡ʃ
mech	m e t͡ʃ
mehmed	m e m e d
mejórate	m e x o ɾ a t e
melendi	m e l e n d i
mendizabal	m e n d i θ a b a l
mention	m e n t ʝ o n
mercia	m e ɾ θ ʝ a
mercurial	m e ɾ k u ɾ ʝ a l
metanse	m e t a n s e
minato	m i n a t o
minaya	m i n a ʝ a
mink	m i n k
modelación	m o d e l a θ ʝ o n
mois	m oi s
monex	m o n e k s
monoplazas	m o n o p l a θ a s
moodle	m o o d l e
morenés	m o ɾ e n e s
morrita	m o r i t a
movete	m o b e t e
movilnet	m o b i l n e t
moyobamba	m o ʝ o b a m b a
mpc	m p k
mpio	m p ʝ o
mund	m u n d
mutant	m u t a n t
mínguez	m i n g e θ
naaaa	n a a a a
nabi	n a b i
natur	n a t u ɾ
necessary	n e θ e s a ɾ i
neha	n e a
nehemías	n e e m i a s
nep	n e p
noradrenalina	n o ɾ a d ɾ e n a l i n a
nú	n u
ofrecia	o f ɾ e θ ʝ a
ofrecian	o f ɾ e θ ʝ a n
oirte	oi ɾ t e
olimpica	o l i m p i k a
olle	o ʎ e
opp	o p p
orantes	o ɾ a n t e s
ormuz	o ɾ m u θ
osmosis	o s m o s i s
overall	o b e ɾ a ʎ
padierna	p a d ʝ e ɾ n a
pantallazos	p a n t a ʎ a θ o s
parenthood	p a ɾ e n t o o d
paresca	p a ɾ e s k a
paronacional	p a ɾ o n a θ ʝ o n a l
parrilladas	p a r i ʎ a d a s
pasabamos	p a s a b a m o s
pazzi	p a θ θ i
pediátricos	p e d ʝ a t ɾ i k o s
pelaez	p e l a e θ
pelagio	p e l a x ʝ o
perri	p e r i
personitas	p e ɾ s o n i t a s
pesame	p e s a m e
physics	f i s i k s
picasa	p i k a s a
piedrahita	p ʝ e d ɾ ai t a
placido	p l a θ i d o
pohl	p o l
polideportivos	p o l i d e p o ɾ t i b o s
ponchó	p o ɲ t͡ʃ o
postobón	p o s t o b o n
potabilizadora	p o t a b i l i θ a d o ɾ a
predictor	p ɾ e d i k t o ɾ
preguntandole	p ɾ e g u n t a n d o l e
prescripcion	p ɾ e s k ɾ i p θ ʝ o n
presses	p ɾ e s e s
pretenciosos	p ɾ e t e n θ ʝ o s o s
priority	p ɾ ʝ o ɾ i t i
proaño	p ɾ o a ɲ o
procedimentales	p ɾ o θ e d i m e n t a l e s
profecia	p ɾ o f e θ ʝ a
psicoactivas	p s i k o a k t i b a s
psíquicamente	p s i k i k a m e n t e
pélvicas	p e l b i k a s
péter	p e t e ɾ
quaresma	k wa ɾ e s m a
queri	k e ɾ i
radiacion	r a d ʝ a θ ʝ o n
radiodifusoras	r a d ʝ o d i f u s o ɾ a s
rajastán	r a x a s t a n
rang	r a n g
rash	r a s
raziel	r a θ ʝ e l
recombinación	r e k o m b i n a θ ʝ o n
recombinante	r e k o m b i n a n t e
reconoci	r e k o n o θ i
redondela	r e d o n d e l a
reencontrarme	r e e n k o n t ɾ a ɾ m e
reflections	r e f l e k t ʝ o n s
refugees	r e f u x e e s
regnum	r e g n u m
rehab	r e a b
reiko	r ei k o
remuneracion	r e m u n e ɾ a θ ʝ o n
repe	r e p e
replicantes	r e p l i k a n t e s
respondeme	r e s p o n d e m e
retalhuleu	r e t a l u l eu
revelacion	r e b e l a θ ʝ o n
revertirlo	r e b e ɾ t i ɾ l o
revolcarse	r e b o l k a ɾ s e
rib	r i b
ribadesella	r i b a d e s e ʎ a
rickman	r i k m a n
rigoletto	r i g o l e t t o
rope	r o p e
rosanna	r o s a n n a
rull	r u ʎ
ryszard	r i s θ a ɾ d
sachin	s a t͡ʃ i n
sacás	s a k a s
sadr	s a d ɾ
sagua	s a g wa
sankara	s a n k a ɾ a
satanizar	s a t a n i θ a ɾ
scolari	s k o l a ɾ i
seprona	s e p ɾ o n a
sesquicentenario	s e s k i θ e n t e n a ɾ ʝ o
sestao	s e s t a o
shasta	s a s t a
sierto	s ʝ e ɾ t o
sigen	s i x e n
sikh	s i k
simms	s i m m s
smaug	s m au g
sociedade	s o θ ʝ e d a d e
societat	s o θ ʝ e t a t
sociological	s o θ ʝ o l o x i k a l
splendid	s p l e n d i d
subacuático	s u b a k wa t i k o
submarinismo	s u b m a ɾ i n i s m o
subregional	s u b ɾ e x ʝ o n a l
subunidad	s u b u n i d a d
tafí	t a f i
tahir	t ai ɾ
tallin	t a ʎ i n
tamano	t a m a n o
tarifarios	t a ɾ i f a ɾ ʝ o s
tasty	t a s t i
tecamachalco	t e k a m a t͡ʃ a l k o
tenenbaum	t e n e m b au m
thiem	t ʝ e m
tilt	t i l t
timochenko	t i m o t͡ʃ e n k o
tixtla	t i k s t l a
torbe	t o ɾ b e
toreno	t o ɾ e n o
torroja	t o r o x a
tort	t o ɾ t
totally	t o t a ʎ i
tou	t ou
toward	t o wa ɾ d
trin	t ɾ i n
truly	t ɾ u l i
tucu	t u k u
tull	t u ʎ
tullerías	t u ʎ e ɾ i a s
turi	t u ɾ i
tántrico	t a n t ɾ i k o
uag	wa g
undo	u n d o
ung	u n g
unha	u n a
unter	u n t e ɾ
uom	wo m
usumacinta	u s u m a θ i n t a
utica	u t i k a
utuado	u t wa d o
uwe	u we
vaciamadrid	b a θ ʝ a m a d ɾ i d
valjean	b a l x e a n
valorable	b a l o ɾ a b l e
various	b a ɾ ʝ ou s
veeduría	b e e d u ɾ i a
velociraptor	b e l o θ i ɾ a p t o ɾ
vibes	b i b e s
videocámaras	b i d e o k a m a ɾ a s
vill	b i ʎ
vinny	b i n n i
violarte	b ʝ o l a ɾ t e
vlado	b l a d o
votá	b o t a
vés	b e s
víktor	b i k t o ɾ
weblog	we b l o g
wegener	we x e n e ɾ
wozniak	wo θ n ʝ a k
wyler	wi l e ɾ
wylie	wi l ʝ e
yanacocha	ʝ a n a k o t͡ʃ a
yucas	ʝ u k a s
yó	ʝ o
était	e t ai t
μm	m m
aalto	a a l t o
abello	a b e ʎ o
aconfesional	a k o m f e s ʝ o n a l
activities	a k t i b i t ʝ e s
acuerdense	a k we ɾ d e n s e
adiviná	a d i b i n a
agassi	a g a s i
agroexportador	a g ɾ o e k s p o ɾ t a d o ɾ
ahm	a m
alagón	a l a g o n
alconada	a l k o n a d a
alfin	a l f i n
alguen	a l g e n
algérie	a l x e ɾ ʝ e
alissa	a l i s a
allegri	a ʎ e g ɾ i
alzamora	a l θ a m o ɾ a
amenábar	a m e n a b a ɾ
americanismo	a m e ɾ i k a n i s m o
ampliacion	a m p l ʝ a θ ʝ o n
ampudia	a m p u d ʝ a
anep	a n e p
anova	a n o b a
anticuchos	a n t i k u t͡ʃ o s
antipersona	a n t i p e ɾ s o n a
antropologia	a n t ɾ o p o l o x ʝ a
anza	a n θ a
anímicamente	a n i m i k a m e n t e
apolonia	a p o l o n ʝ a
approaches	a p p ɾ o a t͡ʃ e s
arequipeño	a ɾ e k i p e ɲ o
armijo	a ɾ m i x o
armitage	a ɾ m i t a x e
aromaterapia	a ɾ o m a t e ɾ a p ʝ a
asano	a s a n o
assassins	a s a s i n s
autocritica	au t o k ɾ i t i k a
awake	a wa k e
ayerbe	a ʝ e ɾ b e
azócar	a θ o k a ɾ
banegas	b a n e g a s
baní	b a n i
barandal	b a ɾ a n d a l
bastard	b a s t a ɾ d
bayard	b a ʝ a ɾ d
beja	b e x a
belloso	b e ʎ o s o
betto	b e t t o
bhutto	b u t t o
biafra	b ʝ a f ɾ a
binder	b i n d e ɾ
biometría	b ʝ o m e t ɾ i a
birkin	b i ɾ k i n
blame	b l a m e
boleadoras	b o l e a d o ɾ a s
boles	b o l e s
bolis	b o l i s
bonadío	b o n a d i o
borís	b o ɾ i s
bramante	b ɾ a m a n t e
bric	b ɾ i k
brion	b ɾ ʝ o n
brontë	b ɾ o n t e
buenismo	b we n i s m o
burguillos	b u ɾ g i ʎ o s
buta	b u t a
byers	b ʝ e ɾ s
béla	b e l a
cacica	k a θ i k a
cadavid	k a d a b i d
cadem	k a d e m
caguán	k a g wa n
caj	k a x
caltech	k a l t e t͡ʃ
camry	k a m ɾ i
canedo	k a n e d o
cardigan	k a ɾ d i g a n
cardúmenes	k a ɾ d u m e n e s
carlino	k a ɾ l i n o
carrot	k a r o t
cartaya	k a ɾ t a ʝ a
casasola	k a s a s o l a
cassel	k a s e l
castelao	k a s t e l a o
cavalcanti	k a b a l k a n t i
cavite	k a b i t e
cañita	k a ɲ i t a
cebiche	θ e b i t͡ʃ e
cebollita	θ e b o ʎ i t a
chari	t͡ʃ a ɾ i
chenoa	t͡ʃ e n o a
chetas	t͡ʃ e t a s
chibcha	t͡ʃ i b t͡ʃ a
chicanas	t͡ʃ i k a n a s
chismear	t͡ʃ i s m e a ɾ
chá	t͡ʃ a
citatorio	θ i t a t o ɾ ʝ o
ciud	θ ʝ u d
closs	k l o s
cloudflare	k l ou d f l a ɾ e
clústeres	k l u s t e ɾ e s
cohesionado	k o e s ʝ o n a d o
colombres	k o l o m b ɾ e s
compañerito	k o m p a ɲ e ɾ i t o
conchetumadre	k o ɲ t͡ʃ e t u m a d ɾ e
congresal	k o n g ɾ e s a l
constipación	k o n s t i p a θ ʝ o n
contrarrevolucionaria	k o n t ɾ a r e b o l u θ ʝ o n a ɾ ʝ a
contribuído	k o n t ɾ i b wi d o
contáctame	k o n t a k t a m e
cosimo	k o s i m o
cosmovisiones	k o s m o b i s ʝ o n e s
costarica	k o s t a ɾ i k a
costner	k o s t n e ɾ
coty	k o t i
courage	k ou ɾ a x e
cousteau	k ou s t e au
