حتى	ħ a t aː
مولات	m a w l aː t
نجيم	n a d͡ʒ iː m
نزلات	n a z a l aː t
نسيتك	n a s iː t a k
نشترك	n a ʃ t a r a k
نشرهم	n a ʃ r a h a m
نضم	n a dˤ a m a
نكح	n a k a ħ a
نهايتهم	n a h aː j t a h a m
نوتة	n a w t a
نوران	n a w r aː n
نين	n a j j a n a
هؤلا	h u ʔ l a n
هاتش	h aː t i ʃ
هادى	h aː d aː
هاكان	h aː k aː n
هايج	h aː j a d͡ʒ a
هايجة	h aː j a d͡ʒ a
هيربرت	h a j r a b a r t
وأخاف	w a ʔ x aː f
وأخوها	w a ʔ x uː h aː
وأميركا	w a ʔ m iː r k aː
واداء	w aː d aː ʔ
واراد	w aː r aː d
وارجو	w aː r a d͡ʒ uː
والأحجام	w aː l ʔ a ħ d͡ʒ aː m
والأملاح	w aː l ʔ a m l aː ħ
والأنواع	w aː l ʔ a n w aː ʕ
والاستشارة	w aː l aː s t i ʃ aː r a
والاسود	w aː l aː s uː d
والحجز	w aː l a ħ a d͡ʒ a z a
والضابط	w aː l dˤ aː b i tˤ
والعاقبة	w aː l ʕ aː q i b a
والعمق	w aː l ʕ a m a q
والمروحيات	w a l m a r uː ħ i j j aː t
والهياكل	w a l h i j aː k i l
وامان	w aː m aː n
وانهاء	w aː n h aː ʔ
وايصال	w aː j sˤ aː l
وتحتها	w a t a ħ t a h aː
وتدميره	w a t a d m iː r a h
وتزييف	w a t z i j iː f
وتصلي	w a t sˤ a l i j j
وتطير	w a t tˤ iː r
وتظاهر	w a t ðˤ aː h i r
وتمرد	w a t m a r a d
وتيم	w a t iː m
وجزءا	w a d͡ʒ z a ʔ aː
وجلال	w a d͡ʒ l aː l
وجنوبها	w a d͡ʒ n uː b a h aː
وجيمي	w a d͡ʒ iː m i j j
وحائل	w a ħ aː ʔ i l
وخلل	w a x l a l
ورئيسي	w a r ʔ iː s i j j
ورجلا	w a r d͡ʒ a l a n
ورزقا	w a r z a q aː
ورقائق	w a r q aː ʔ i q
ورونالدو	w a r uː n aː l d uː
وري	w a r i j j
ورياضية	w a r j aː dˤ i j j a
وريثا	w a r iː θ aː
وسعود	w a s ʕ uː d
وسلوكيات	w a s l uː k i j j aː t
وشغلت	w a ʃ ɣ a l t
وشنت	w a ʃ a n t
وشوق	w a ʃ uː q
وشى	w a ʃ aː
وصراخ	w a sˤ r aː x
وضعيها	w a dˤ ʕ iː h aː
وطهارة	w a tˤ h aː r a
وعار	w a ʕ aː r
وعدنان	w a ʕ d a n aː n
وعلان	w a ʕ l aː n
وفوقه	w a f uː q a h
وفيس	w a f iː s
وقاسم	w a q aː s i m
وقبيل	w a q b iː l
وكرسي	w a k r a s i j j
ولقبه	w a l q a b a h
ومازالوا	w a m aː z aː l u w aː
ومتميز	w a m t a m iː z
ومحاكمتهم	w a m ħ aː k a m t a h a m
ومسؤولي	w a m s u ʔ uː l i j j
ومقهى	w a m q a h aː
وموجات	w a m uː d͡ʒ aː t
ومولاي	w a m uː l aː j
ومونتاج	w a m uː n t aː d͡ʒ
وميكائيل	w a m iː k aː ʔ iː l
ونتعلم	w a n t a ʕ l a m
ونجاحا	w a n d͡ʒ aː ħ aː
وهداية	w a h d aː j a
ويحكى	w a j ħ a k aː
ويطرد	w a j tˤ a r a d
ويوصف	w a j uː sˤ a f
يألف	j a ʔ l a f
ياخذون	j aː x a ð uː n
ياسيدتي	j aː s iː d t i j j
يتفقان	j a t f a q aː n
يتناقشون	j a t n aː q ʃ uː n
يجزي	j a d͡ʒ z i j j
يجمد	j a d͡ʒ m a d
يخبو	j a x b uː
يخترقون	j a x t a r q uː n
يداها	j a d aː h aː
يراسل	j a r aː s i l
يستفز	j a s t a f z
يشفيك	j a ʃ f iː k
يطورون	j a tˤ uː r uː n
يظنها	j a ðˤ a n h aː
يعودان	j a ʕ uː d aː n
يقولونها	j a q uː l uː n h aː
يكبرها	j a k b a r h aː
ينادوني	j a n aː d uː n i j j
birds	b i r d s
camera	ħ a m e r a
gone	ɡ o n e
idol	i d o l
ko	k o
mon	m o n
motor	m o t o r
multi	m u l t i
osn	o s n
pa	p a
rate	r a t e
running	r u n n i n ɡ
russia	r u s s i a
shot	ʃ o t
villa	v i l l a
wifi	w i f i
wrong	w r o n ɡ
أبويها	ʔ a b w iː h aː
أتقاكم	ʔ a t q aː k a m a
أتواصل	ʔ a t w aː sˤ i l
أختلاف	ʔ a x t i l aː f
أخطائها	ʔ a x tˤ aː ʔ i h aː
أدرار	ʔ a d r aː r
أذنب	ʔ a ð a n a b a
أرهقت	ʔ a r h a q t
أسترا	ʔ a s t a r aː
أسمهان	ʔ a s m a h aː n
أص	ʔ a sˤ sˤ
أصابنا	ʔ a sˤ aː b a n aː
أصدقه	ʔ a sˤ d a q a h a
أضافية	ʔ a dˤ aː f i j j a
أعترض	ʔ a ʕ t a r a dˤ a
أفتتاح	ʔ a f t i t aː ħ
أفعالا	ʔ a f ʕ aː l aː
أفلامهم	ʔ a f l aː m a h a m
أفلست	ʔ a f l a s t
أفنى	ʔ a f n aː
أفيري	ʔ a f iː r i j j
أقارن	ʔ a q aː r a n a
ألينا	ʔ a l iː n aː
أمنيه	ʔ a m n iː h
أناشد	ʔ a n aː ʃ i d
أنجيل	ʔ a n d͡ʒ iː l
أهداني	ʔ a h d aː n i j j
إحتجاجا	ʔ i ħ t i d͡ʒ aː d͡ʒ aː
إحتفالية	ʔ i ħ t i f aː l i j j a
إذاعات	ʔ i ð aː ʕ aː t
إعتمد	ʔ i ʕ t a m i d
إنعكاس	ʔ i n ʕ a k aː s
إياي	ʔ i j aː j
ابناءه	i b n aː ʔ a h a
اتعجب	i t t a ʕ d͡ʒ a b a
احراز	i ħ r aː z a
احساسي	i ħ s aː s i j j
احضري	i ħ dˤ a r i j j
احول	i ħ w a l l a
استثارة	i s t i θ aː r a
استجب	i s t a d͡ʒ a b a
استخدموه	i s t a x d a m uː h
استريح	i s t a r iː ħ
اسحبي	i s ħ a b i j j
اشراك	i ʃ r aː k a
اشلاء	i ʃ l aː ʔ
افتتاحيتها	i f t i t aː ħ iː t e h aː
اكتبه	i k t a b a h a
الآمنين	a l ʔ aː m a n iː n
الأحق	a l ʔ a ħ a q a
الأحقية	a l ʔ a ħ q i j j a
الأدبار	a l ʔ a d b aː r
الأرعن	a l ʔ a r ʕ a n a
الأسقفية	a l ʔ a s q a f i j j a
الأشعرية	a l ʔ a ʃ ʕ a r i j j a
الأصداف	a l ʔ a sˤ d aː f
الأكفاء	a l ʔ a k f aː ʔ
الأويغور	a l ʔ a w iː ɣ uː r
الأية	a l ʔ a j j a
الإشتباكات	a l ʔ i ʃ t i b aː k aː t
الإعتصام	a l ʔ i ʕ t i sˤ aː m
الإكس	a l ʔ i k s
الاستعراضات	a l i s t i ʕ r aː dˤ aː t
الاستقالات	a l i s t i q aː l aː t
الاناضول	a l aː n aː dˤ uː l
البائسين	a l b aː ʔ i s iː n
الباهتة	a l b aː h t a
الببلاوي	a l b i b l aː w i j j
البنيه	a l b a n iː h
البوطي	a l b uː tˤ i j j
التانجو	i l t aː n d͡ʒ uː
التلاحم	a t t i l aː ħ i m
التنزيه	a t t a n z iː h
التنصير	a t t a n sˤ iː r
الجبور	a l d͡ʒ a b uː r
الجلسه	a l d͡ʒ a l s a h
الحقيق	a l ħ a q iː q
الحمزة	a l ħ a m z a
الخافتة	a l x aː f t a
الخضير	a l x a dˤ iː r
الخطين	a l x a tˤ iː n
الخولاني	a l x uː l aː n i j j
الدو	a d d uː
الدوسي	a d d uː s i j j
الدينى	a d d iː n aː
الذود	a ð ð uː d
الرجالة	a r r i d͡ʒ aː l a
الزائرون	a z z aː ʔ i r uː n
الزاهرة	a z z aː h i r a
الزاهي	a z z aː h i j j
السكايب	a s s i k aː j i b
السوسن	a s s uː s a n
السوسي	a s s uː s i j j
الصقل	a sˤ sˤ a q a l a
الضائقة	a dˤ dˤ aː ʔ i q a
الطائلة	a tˤ tˤ aː ʔ i l a
العرفج	a l ʕ a r f a d͡ʒ
القائلين	a l q aː ʔ i l iː n
القسيمة	a l q a s iː m a
القصيره	a l q a sˤ iː r a h
الكبسولات	a l k a b s uː l aː t
الكلس	a l k a l a s a
الكنافة	a l k i n aː f a
الكونكورد	a l k uː n k uː r d
اللمبة	a l l a m b a
المأثورة	a l m a ʔ θ uː r a
الماسك	a l m aː s i k
المبرم	a l m a b r a m
المتعلقه	a l m u t a ʕ l a q a h
المجزل	a l m a d͡ʒ z a l
المخزونات	a l m a x z uː n aː t
المذاب	a l m a ð aː b
المرسيدس	a l m a r s iː d i s
المزخرف	a l m a z x a r a f
المسعورة	a l m a s ʕ uː r a
المصروف	a l m a sˤ r uː f
المضرة	a l m a dˤ r a
المعروفه	a l m a ʕ r uː f a h
المعلمي	a l m a ʕ l a m i j j
المكرم	a l m a k r a m
الملكوت	a l m a l k uː t
المنادية	a l m a n aː d i j j a
المندمجة	a l m a n d a m a d͡ʒ a
المنشطة	a l m a n ʃ a tˤ a
المنقبة	a l m a n q a b a
المنهارة	a l m i n h aː r a
النابية	a n n aː b i j j a
النصراني	a n n i sˤ r aː n i j j
النضير	a n n a dˤ iː r
الهديه	a l h a d iː h
امتصاصها	i m t i sˤ aː sˤ h aː
امريكى	i m r iː k aː
امله	i m l aː h a
اميركي	i m iː r k i j j
اناء	i n aː ʔ a
انانية	i n aː n i j a
اندر	i n d a r r a
انشقاقات	i n ʃ i q aː q aː t
اولوية	a w l a w i j j a
ايرينا	iː r iː n aː
ايكو	iː k uː
بأنحاء	b a ʔ a n ħ aː ʔ
بإضافته	b i ʔ i dˤ aː f t e h
بائعات	b aː ʔ i ʕ aː t
بادارة	b aː d aː r a
بارات	b aː r aː t
باطنها	b aː tˤ i n h aː
بافيت	b aː f iː t
بالأعلام	b i l ʔ a ʕ l aː m
بالإجمال	b i l ʔ i d͡ʒ m aː l
بالتسلل	b i t t i s l i l
بالطابع	b i tˤ tˤ aː b i ʕ
بالطاعون	b i tˤ tˤ aː ʕ uː n
بالغد	b aː l ɣ a d a
بالقارب	b i l q aː r i b
بالكاميرات	b i l k aː m iː r aː t
بالمنتجات	b i l m i n t a d͡ʒ aː t
بالوعي	b aː l uː ʕ i j j
باية	b aː j a
بايزيد	b aː j z iː d
ببئر	b a b ʔ i r
ببنك	b a b a n k
بتاعك	b i t aː ʕ i k
بحالته	b a ħ aː l t a h
بخيارات	b a x j aː r aː t
بدهن	b a d h a n a
بركلة	b a r k a l a
برمجي	b a r m a d͡ʒ i j j
بريتش	b a r iː t a ʃ
بسائل	b a s aː ʔ i l
بسلة	b a s a l a
بسير	b a s iː r
بعمى	b a ʕ m aː
بغنى	b a ɣ n aː
بقدومه	b a q d uː m a h
بمساعدتها	b i m s aː ʕ i d t e h aː
بميل	b a m iː l
بنجي	b a n d͡ʒ i j j
بنسيان	b a n s i j aː n
بنوتات	b a n uː t aː t
بهت	b a h t
بودلير	b uː d a l iː r
بوسكي	b uː s k i j j
بوعريريج	b uː ʕ r iː r iː d͡ʒ
بولندية	b uː l a n d i j j a
بونت	b uː n t
بيرام	b iː r aː m
بيف	b a j f
بينسون	b iː n s uː n
تبادلية	t a b aː d a l i j j a
تبتغي	t a b t a ɣ i j j
تبنتها	t a b a n t a h aː
تتصارع	t a t a sˤ aː r a ʕ a
تجاره	t a d͡ʒ aː r a h a
تجديها	t a d͡ʒ d iː h aː
تجلسين	t a d͡ʒ a l s iː n
تحضيرية	t a ħ dˤ iː r i j j a
تخمينات	t a x m iː n aː t
تدخلني	t a d x a l a n i j j
ترأست	t a r ʔ a s t a
تربيتي	t a r b iː t i j j
ترضون	t a r dˤ uː n
تزر	t a z a r r a
تستثني	t a s t a θ n i j j
تشاكي	t a ʃ aː k i j j
تشيري	t a ʃ iː r i j j
تضمه	t a dˤ a m m a h a
تطمع	t a tˤ a m m a ʕ a
تعافيه	t a ʕ aː f iː h
تعاقبني	t a ʕ aː q a b a n i j j
تعجيزية	t a ʕ d͡ʒ iː z i j j a
تقتضيه	t a q t a dˤ iː h
تقد	t a q a d d a
تكفيه	t a k f iː h
تلمسه	t a l a m s a h a
تمبلتون	t a m b a l t uː n
تنتظرني	t a n t a ðˤ r a n i j j
تنورتك	t a n w a r t a k a
تواضعه	t a w aː dˤ a ʕ a h a
توضيحا	t a w dˤ iː ħ aː
توقفي	t a w q a f i j j
ثمل	θ a m a l a
ثنيان	θ a n j aː n
جابو	d͡ʒ aː b uː
جرئ	d͡ʒ a r i ʔ
جليب	d͡ʒ a l iː b
جميعة	d͡ʒ a m iː ʕ a
جنائز	d͡ʒ a n aː ʔ i z
جورجيت	d͡ʒ uː r d͡ʒ iː t
حائطا	ħ aː ʔ i tˤ aː
حالاتي	ħ aː l aː t i j j
حجابي	ħ a d͡ʒ d͡ʒ aː b i j j
حذائك	ħ a ð aː ʔ i k
حريصون	ħ a r iː sˤ uː n
حقيقيون	ħ a q iː q i j uː n
حنجرتي	ħ a n d͡ʒ a r t i j j
خاطبت	x aː tˤ i b t
خذل	x a ð a l a
خسف	x a s a f a
خصرها	x a sˤ r a h aː
خليجيا	x a l iː d͡ʒ i j aː
خولان	x a w l aː n
دانون	d aː n uː n
دخلو	d a x l uː
دلة	d a l l a
دموعا	d a m uː ʕ a n
رأتها	r a ʔ t a h aː
راجعين	r aː d͡ʒ a ʕ iː n
رزم	r a z a m a
رفيقنا	r a f iː q n aː
ركبه	r a k b a h
رهيبا	r a h iː b aː
روشيل	r uː ʃ iː l
رينولد	r iː n uː l a d
زلفة	z a l a f a
زنجان	z a n d͡ʒ aː n
ساتون	s aː t uː n
ساعاتي	s aː ʕ aː t i j j
ستارا	s i t aː r aː
سديروت	s a d iː r uː t
سولانا	s uː l aː n aː
شعرات	ʃ a ʕ r aː t
شقيقتي	ʃ a q iː q t i j j
شيلو	ʃ a j l uː
صحيفتك	sˤ a ħ iː f t a k
صغرت	sˤ a ɣ r a t
صيامهم	sˤ a j aː m a h a m
صيدها	sˤ a j d a h aː
طافت	tˤ aː f i t
طريقكم	tˤ a r iː q a k a m
ظنها	ðˤ a n h aː
عائشه	ʕ aː ʔ i ʃ h
عاملني	ʕ aː m a l a n i j j
عجاف	ʕ a d͡ʒ d͡ʒ aː f
عداك	ʕ a d aː k
عر	ʕ a r r
عروضهم	ʕ a r uː dˤ a h a m
عليش	ʕ a l iː ʃ
عليوي	ʕ a l iː w i j j
عمراني	ʕ a m r aː n i j j
عمليتين	ʕ a m l iː t iː n
غربه	ɣ a r b a h
غروزني	ɣ a r uː z a n i j j
غطفان	ɣ a tˤ f aː n
فرصهم	f a r sˤ a h a m
فصبر	f a sˤ b a r
فنظرت	f a n ðˤ a r a t
فوقنا	f a w q a n aː
فيستر	f iː s t a r
فيلانوفا	f iː l aː n uː f aː
قرقاش	q a r q aː ʃ
قصات	q a sˤ sˤ aː t
قصيدتي	q a sˤ iː d t i j j
كاتز	k aː t i z
كارتيرون	k aː r t iː r uː n
كالهون	k aː l h uː n
كبائع	k a b aː ʔ i ʕ
كتفيك	k a t f iː k
كرهوا	k a r h a w aː
كريكيت	k a r iː k iː t
كمالا	k a m aː l a n
كنجم	k a n d͡ʒ a m
كهلان	k a h l aː n
لأسوأ	l a ʔ s uː ʔ
لاكوست	l aː k uː s t
لايملكون	l aː j m a l k uː n
لبيعه	l a b iː ʕ a h
لتقويض	l a t a q w iː dˤ
لتنمو	l a t a n a m uː
لجدي	l a d͡ʒ d i j j
لجملة	l a d͡ʒ m a l a
لحريق	l a ħ r iː q
لحضارة	l a ħ dˤ aː r a
لحظاتي	l a ħ ðˤ aː t i j j
لحقل	l a ħ q a l a
لخطأ	l a x tˤ a ʔ a
لدواعي	l a d w aː ʕ i j j
لردود	l a r d uː d
لعبهم	l a ʕ b a h a m
لقدوم	l a q d uː m
لقط	l a q a tˤ a
لقلبه	l a q l a b a h
للآلات	l a l ʔ aː l aː t
للتصحيح	l a l t a sˤ ħ iː ħ
للتقوى	l a l t a q w aː
للجو	l a l d͡ʒ uː
للزهور	l a l z a h uː r
للصحابة	l a l sˤ a ħ aː b a
للعرق	l a l ʕ a r a q
للنظم	l a l a n ðˤ a m
للنقاط	l a l a n q aː tˤ
لمسيرات	l a m s iː r aː t
لمصير	l a m sˤ iː r
لموسكو	l a m uː s k uː
لنترك	l a n t a r a k
لهاتين	l a h aː t iː n
لوطننا	l uː tˤ a n n aː
لوكيل	l uː k iː l
ليسلم	l a j s a l a m
ليفهم	l a j f a h a m
ليكرز	l iː k a r z
مؤدي	m u ʔ a d d i j j
مؤذ	m u ʔ a ð ð i n
مؤونة	m u ʔ uː n a
ماتريده	m aː t r iː d a h
ماتستطيع	m aː t i s t a tˤ iː ʕ
مارتيل	m aː r t iː l
مازيمبي	m aː z iː m b i j j
مافى	m aː f aː
مانحن	m aː n ħ i n
متفردة	m u t a f a r r i d a
متقدمه	m u t a q a d d a m a h
محافظته	m u ħ aː f a ðˤ t a h
محللا	m a ħ l a l a n
مخبري	m a x b a r i j j
مشرفين	m a ʃ r a f iː n
مشينة	m a ʃ iː n a
مصلحون	m a sˤ l a ħ uː n
مضاوي	m a dˤ aː w i j j
مضغة	m a dˤ ɣ a
مظلومة	m a ðˤ l uː m a
مفككة	m a f k a k a
مقشر	m a q ʃ a r
مكبس	m a k b a s
ملاين	m a l aː j i n
ملحوظات	m a l ħ uː ðˤ aː t
ملزمين	m a l z a m iː n
ملقط	m a l q a tˤ
منوي	m a n a w i j j
مهموما	m a h m uː m aː
مولدة	m a w l a d a
ميراج	m iː r aː d͡ʒ
ناز	n aː z a
نبضك	n a b dˤ a k a
نجومها	n a d͡ʒ uː m h aː
نخفف	n a x f a f a
نستخرج	n u s t a x r a d͡ʒ
نسرق	n a s r a q
نعطيها	n a ʕ tˤ iː h aː
هابطة	h aː b i tˤ a
هاديء	h aː d iː ʔ
هامور	h aː m uː r
هتكون	h a t k uː n
هدفان	h a d a f aː n
هرمي	h a r a m i j j
هوجان	h a w d͡ʒ aː n
وأنزلنا	w a ʔ a n z a l n aː
واحتفظت	w aː ħ t a f a ðˤ a t
واستقراره	w aː s t i q r aː r i h
واسلوب	w aː s l uː b
واصنع	w aː sˤ a n a ʕ a
واضافة	w aː dˤ aː f a
والاخرة	w aː l aː x i r a
والاغاني	w aː l aː ɣ aː n i j j
والامور	w aː l aː m uː r
والديانات	w aː l d i j aː n aː t
والرياضي	w a l r i j aː dˤ i j j
والو	w aː l uː
وبالخصوص	w a b aː l x a sˤ uː sˤ
وبري	w a b r i j j
وبكت	w a b a k t
وبيتي	w a b iː t i j j
وتب	w a t a b a
وتتكرر	w a t t a k r a r
وتدوم	w a t d uː m
وتغريدات	w a t ɣ a r iː d aː t
وتكاد	w a t k aː d
وتوافر	w a t w aː f i r
وثالثة	w a θ aː l i θ a
وجلبت	w a d͡ʒ l a b t
وجوناثان	w a d͡ʒ uː n aː θ aː n
وحرصه	w a ħ r a sˤ a h
وحصة	w a ħ sˤ a
وداود	w a d aː w a d
ودعاه	w a d ʕ aː h
ودك	w a d a k a
وذخائر	w a ð x aː ʔ i r
وذل	w a ð a l a
ورمزية	w a r m a z i j j a
وسمير	w a s m iː r
وشابة	w a ʃ aː b a
وصيه	w a sˤ iː h
وضمه	w a dˤ m a h
وضيقة	w a dˤ iː q a
وعربة	w a ʕ r a b a
وعماد	w a ʕ m aː d
وفارق	w a f aː r i q
وفتحها	w a f t a ħ h aː
وقانوني	w a q aː n uː n i j j
وقيمنا	w a q iː m a n aː
وكيع	w a k iː ʕ
ولائي	w a l aː ʔ i j j
ولعنة	w a l ʕ a n a
ومتطورة	w a m t a tˤ uː r a
ومجهزة	w a m d͡ʒ a h z a
ومحبوب	w a m ħ a b uː b
ومقارنتها	w a m q aː r a n t e h aː
ومكانتها	w a m k aː n t e h aː
ومهتم	w a m h a t a m
وموظفين	w a m uː ðˤ a f iː n
ونجعلهم	w a n d͡ʒ a ʕ l a h a m
ونشرب	w a n ʃ a r a b
ونقابة	w a n q aː b a
وهلال	w a h l aː l
وهواء	w a h w aː ʔ
ويغسل	w a j ɣ s a l
يائسات	j aː ʔ i s aː t
يابو	j aː b uː
يتجاوزون	j a t d͡ʒ aː w a z uː n
يتربى	j a t r a b aː
يتفاوت	j a t f aː w i t
يتمادى	j a t m aː d aː
يتمرد	j a t m a r a d
يحاضر	j a ħ aː dˤ i r
يحاط	j a ħ ħ aː tˤ
يحتمي	j a ħ t a m i j j
يرزقه	j a r z a q a h
يركبها	j a r k a b h aː
يزدادون	j a z d aː d uː n
يستورد	j a s t uː r a d
يشب	j a ʃ a b a
يشوبه	j a ʃ uː b a h
يشيخ	j a ʃ iː x
يصليها	j a sˤ l iː h aː
يضغطون	j a dˤ ɣ a tˤ uː n
يعاملني	j a ʕ aː m a l a n i j j
يعطونه	j a ʕ tˤ uː n a h
يعلوه	j a ʕ l uː h
يعمي	j a ʕ m i j j
يغلف	j a ɣ l a f
يفترس	j a f t a r a s
يفسرون	j a f s a r uː n
يقلون	j a q l uː n
يكررها	j a k r a r h aː
ينتصرون	j a n t a sˤ r uː n
يونيسيف	j uː n iː s iː f
ييب	j a j j a b a
aka	a k a
artist	a r t i s t
christian	k r i s t i a n
garden	ɡ a r d e n
om	o m
quran	ʕ u r a n
virtual	v i r t u a l
أتاكم	ʔ a t aː k a m a
أجدني	ʔ a d͡ʒ d a n i j j
أحلت	ʔ a ħ l a t a
أختم	ʔ a x t a m a
أرسال	ʔ a r s aː l
أسبابي	ʔ a s b aː b i j j
أستريد	ʔ a s t a r iː d
أسرها	ʔ a s r a h aː
أشبيلية	ʔ a ʃ b iː l i j j a
أشترى	ʔ a ʃ t a r aː
أصبحن	ʔ a sˤ b a ħ a n a
أصولية	ʔ u sˤ uː l i j j a
أفهمها	ʔ a f h a m h aː
أمكانية	ʔ a m k aː n i j j a
أنابيل	ʔ a n aː b iː l
أنتجه	ʔ a n t a d͡ʒ a h a
أنحف	ʔ a n ħ a f a
أنسا	ʔ a n s aː
أنوبيس	ʔ a n uː b iː s
أودعها	ʔ a w d a ʕ h aː
أورتيجا	ʔ uː r t iː d͡ʒ aː
أوغستين	ʔ uː ɣ u s t iː n
إتضح	ʔ i t dˤ a ħ a
إرشادي	ʔ i r ʃ aː d i j j
إسلامها	ʔ i s l aː m h aː
إنفراد	ʔ i n f i r aː d
إهتمامي	ʔ i h t i m aː m i j j
إيدو	ʔ iː d uː
إيريكا	ʔ iː r iː k aː
ائمة	i ʔ m a
اتركوه	i t t a r k uː h
اجتماعيين	i d͡ʒ t i m aː ʕ i j iː n
اجدادنا	i d͡ʒ d aː d n aː
اجره	i d͡ʒ r a h a
اجلهم	i d͡ʒ l a h a m a
احداثيات	i ħ d aː θ i j j aː t
احدد	i ħ d a d d a
اختلافنا	i x t i l aː f n aː
اخوتك	i x w a t a k a
استيقاظ	i s t iː q aː ðˤ
اسفر	i s f a r r a
اصيبوا	i sˤ j a b a w aː
اضطره	i dˤ tˤ a r a h a
اعصابي	i ʕ sˤ aː b i j j
اعينهم	i ʕ j a n h a m a
الآغا	a l ʔ aː ɣ aː
الأبلة	a l ʔ a b l a
الأسره	a l ʔ a s r a h
الأقدمية	a l ʔ a q d a m i j j a
الأنطاكي	a l ʔ a n tˤ aː k i j j
الإبراهيمية	a l ʔ i b r aː h iː m i j j a
الإذعان	a l ʔ i ð ʕ aː n
الإستحقاق	a l ʔ i s t i ħ q aː q
الإيقاعات	a l ʔ iː q aː ʕ aː t
الائمة	a l aː ʔ i m a
الابيات	a l aː b i j j aː t
الاساتذة	a l aː s aː t i ð a
الاغراء	a l aː ɣ r aː ʔ
الاغنام	a l aː ɣ n aː m
الالة	a l aː l a
الانتهازية	a l i n t i h aː z i j j a
البارونة	a l b aː r uː n a
البطريركي	a l b a tˤ r iː r k i j j
البقمي	a l b a q m i j j
البوربون	a l b uː r b uː n
البوظة	a l b uː ðˤ a
البومه	a l b uː m a h
البيبسي	a l b iː b s i j j
البيتي	a l b iː t i j j
البيروني	a l b iː r uː n i j j
التعريض	a t t a ʕ r iː dˤ
التوراتية	a t t uː r aː t i j j a
الجاثية	a l d͡ʒ aː θ i j j a
الجراج	a l d͡ʒ i r aː d͡ʒ
الجرثومية	a l d͡ʒ a r θ uː m i j j a
الجزولي	a l d͡ʒ a z uː l i j j
الجنسيتين	a l d͡ʒ a n s iː t iː n
الحاخامات	a l ħ aː x aː m aː t
الحشيشة	a l ħ a ʃ iː ʃ a
الحوالي	a l ħ a w aː l i j j
الخشونة	a l x a ʃ uː n a
الخصي	a l x a sˤ i j j
الدارات	a d d aː r aː t
الدفلى	a d d a f l aː
الرام	a r r aː m
الرسوب	a r r a s uː b
الرضاء	a r r i dˤ aː ʔ
الركابي	a r r i k aː b i j j
الروكي	a r r uː k i j j
الزبده	a z z a b d a h a
السائقون	a s s aː ʔ i q uː n
السديد	a s s a d iː d
السهلاوي	a s s a h l aː w i j j
الشاهين	a ʃ ʃ aː h iː n
الشقاوة	a ʃ ʃ i q aː w a
الشيش	a ʃ ʃ iː ʃ
الصبيح	a sˤ sˤ a b iː ħ
الضغينة	a dˤ dˤ a ɣ iː n a
الطايع	a tˤ tˤ aː j i ʕ
الطنين	a tˤ tˤ a n iː n
العضوات	a l ʕ a dˤ a w aː t
العلياء	a l ʕ i l j aː ʔ
العهدة	a l ʕ a h d a
الفدائي	a l f i d aː ʔ i j j
الفموية	a l f a m a w i j j a
القاني	a l q aː n i j j
القرمزية	a l q a r m a z i j j a
الكهرمان	a l k a h r a m aː n
الكيراتين	a l k iː r aː t iː n
الماحي	a l m aː ħ i j j
الماغوط	a l m aː ɣ uː tˤ
المتروكة	a l m a t r uː k a
المتفرعة	a l m u t a f r i ʕ a
المحير	a l m a ħ iː r
المخادعة	a l m u x aː d i ʕ a
المدافن	a l m a d aː f i n
المربيات	a l m a r b i j j aː t
المزرعه	a l m a z r a ʕ a h
المزهرية	a l m a z h a r i j j a
المستهلكون	a l m u s t a h l a k uː n
المسموع	a l m a s m uː ʕ
المع	a l m a ʕ a
المقدمين	a l m a q d a m iː n
المقصلة	a l m a q sˤ a l a
المنادين	a l m a n aː d iː n
المنجز	a l m a n d͡ʒ a z a
المنصهر	a l m a n sˤ a h a r
المنقوش	a l m a n q uː ʃ
المهجرة	a l m a h d͡ʒ a r a
المهروسة	a l m a h r uː s a
الموبقات	a l m uː b a q aː t
المولوتوف	a l m uː l uː t uː f
الناحيه	a n n aː ħ iː h
النصيري	a n n a sˤ iː r i j j
الهليون	a l h a l j uː n
الوسخة	a l w a s x a
الومك	a l w a m a k a
اليومى	a l j uː m aː
اناشيد	i n aː ʃ iː d
اناني	i n aː n i j j
انتل	i n t a l l a
انساها	i n s aː h aː
انعاش	i n ʕ aː ʃ a
اهدار	i h d aː r a
بأتم	b a ʔ t a m a
بأسرة	b a ʔ s a r a
بأسمي	b a ʔ s a m i j j
بأناس	b a ʔ n aː s
باحدى	b aː ħ d aː
بافي	b aː f i j j
باكستون	b aː k i s t uː n
بالأغاني	b i l ʔ a ɣ aː n i j j
بالأمانة	b i l ʔ a m aː n a
بالإتحاد	b i l ʔ i t ħ aː d
بالإيجاب	b i l ʔ iː d͡ʒ aː b
بالحرمان	b i l ħ i r m aː n
بالفرص	b i l f a r i sˤ
بالكمال	b i l k i m aː l
بامتداد	b aː m t i d aː d
بتأنيب	b a t a ʔ n iː b
بتشييد	b i t ʃ i j iː d
بتعاطي	b i t ʕ aː tˤ i j j
بتعويضات	b i t a ʕ w iː dˤ aː t
بتمشيط	b i t a m ʃ iː tˤ
بجسمه	b a d͡ʒ s a m a h
بخش	b a x ʃ
بدروس	b a d r uː s
بذنبه	b a ð a n b a h
بذهبية	b a ð h a b i j j a
براري	b a r aː r i j j
