km	k a ɛ m
cravacher	k ʁ a v a ʃ e
creusois	k ʁ ø z w a
crevure	k ʁ ə v y ʁ
croiserez	k ʁ w a z ə ʁ e
culminants	k y l m i n ɑ̃
cumbia	k œ̃ b j a
cumulable	k y m y l a b l
cupid	k y p i d
curetage	k y ʁ t a ʒ
curia	k y ʁ j a
cyl	s i l
cylon	s i l ɔ̃
cyriaque	s i ʁ j a k
cérémoniel	s e ʁ e m ɔ n j ɛ l
dado	d a d o
dakhla	d a k l a
defenseur	d ə f ɑ̃ s œ ʁ
deputy	d ə p y t i
devotion	d ə v ɔ s j ɔ̃
dha	d a
dilapide	d i l a p i d
diluvienne	d i l y v j ɛ n
dimensionnelles	d i m ɑ̃ s j ɔ n ɛ l
dimitrios	d i m i t ʁ i j o
diphtongue	d i f t ɔ̃ ɡ
discriminée	d i s k ʁ i m i n e
dodger	d ɔ d ʒ e
domicilier	d ɔ m i s i l j e
domme	d ɔ m
doner	d ɔ n e
dosette	d o z ɛ t
dothraki	d ɔ t ʁ a k i
dramane	d ʁ a m a n
dressler	d ʁ ɛ s l e
drône	d ʁ o n
ducat	d y k a
duez	d ɥ e
dumitru	d y m i t ʁ y
dunand	d y n ɑ̃
duro	d y ʁ o
durrell	d y ʁ ɛ l
durst	d y ʁ s t
dutreil	d y t ʁ ɛ j
dworkin	d w ɔ ʁ k ɛ̃
débranchée	d e b ʁ ɑ̃ ʃ e
décalant	d e k a l ɑ̃
décoché	d e k ɔ ʃ e
décoffrage	d e k ɔ f ʁ a ʒ
décollée	d e k ɔ l e
déconseillent	d e k ɔ̃ s ɛ j
décuplées	d e k y p l e
défibrillateurs	d e f i b ʁ i j a t œ ʁ
défileront	d e f i l ə ʁ ɔ̃
dégueule	d e ɡ œ l
déjeunes	d e ʒ œ n
déjouée	d e ʒ w e
démené	d e m ə n e
dénucléarisation	d e n y k l e a ʁ i z a s j ɔ̃
désarment	d e z a ʁ m
déstresser	d e s t ʁ e s e
détachables	d e t a ʃ a b l
déterminait	d e t ɛ ʁ m i n ɛ
déterminez	d e t ɛ ʁ m i n e
dévisagent	d e v i z a ʒ
eag	i ɡ
echelles	ɛ ʃ ɛ l
echternach	ɛ k t ɛ ʁ n a ʃ
edgardo	ɛ d ɡ a ʁ d o
educateur	e d y k a t œ ʁ
ellery	ɛ l ʁ i
emballant	ɑ̃ b a l ɑ̃
enac	ə n a k
enchaînez	ɑ̃ ʃ ɛ n e
endura	ɑ̃ d y ʁ a
ensevelissement	ɑ̃ s ə v l i s m ɑ̃
envisagera	ɑ̃ v i z a ʒ ə ʁ a
epad	e p a d
epc	ɛ p s e
epte	ɛ p t
escamoter	ɛ s k a m ɔ t e
escande	ɛ s k ɑ̃ d
esculape	ɛ s k y l a p
essentialiste	e s ɑ̃ s j a l i s t
estampage	ɛ s t ɑ̃ p a ʒ
estive	ɛ s t i v
euuuuh	ø u u
exigibilité	ɛ ɡ z i ʒ i b i l i t e
exploitante	ɛ k s p l w a t ɑ̃ t
expéditives	ɛ k s p e d i t i v
exterminée	ɛ k s t ɛ ʁ m i n e
factuellement	f a k t ɥ ɛ l m ɑ̃
faims	f ɛ̃
fase	f a z
fatalis	f a t a l i
faya	f a j a
fcg	ɛ f s e ʒ e
ferrais	f ɛ ʁ ɛ
festivité	f ɛ s t i v i t e
fibules	f i b y l
fioriture	f j ɔ ʁ i t y ʁ
flak	f l a k
flandin	f l ɑ̃ d ɛ̃
flon	f l ɔ̃
fluctuantes	f l y k t ɥ ɑ̃ t
fonck	f ɔ̃ k
fonteneau	f ɔ̃ t n o
foresta	f ɔ ʁ ɛ s t a
fouineur	f w i n œ ʁ
foultitude	f u l t i t y d
fourvoyer	f u ʁ v w a j e
frameries	f ʁ a m ʁ i
franceville	f ʁ ɑ̃ s v i l
franchouillard	f ʁ ɑ̃ ʃ u j a ʁ
franques	f ʁ ɑ̃ k
frc	ɛ f ɛ ʁ s e
freeway	f ʁ i w ɛ
frequence	f ʁ ə k ɑ̃ s
fris	f ʁ i
frisent	f ʁ i z
fédor	f e d ɔ ʁ
fédératrice	f e d e ʁ a t ʁ i s
gabrielli	ɡ a b ʁ i j ɛ l i
galan	ɡ a l ɑ̃
galla	ɡ a l a
galoches	ɡ a l ɔ ʃ
gambe	ɡ ɑ̃ b
garp	ɡ a ʁ p
gaufrier	ɡ o f ʁ i j e
gaulé	ɡ o l e
genin	ʒ ə n ɛ̃
germon	ʒ ɛ ʁ m ɔ̃
gfk	ʒ e ɛ f k a
giambattista	ʒ j ɑ̃ b a t i s t a
gilardi	ʒ i l a ʁ d i
gisela	ʒ i z ə l a
givrage	ʒ i v ʁ a ʒ
glop	ɡ l ɔ p
godf	ɡ ɔ d e ɛ f
goin	ɡ w ɛ̃
gommant	ɡ ɔ m ɑ̃
gonflements	ɡ ɔ̃ f l ə m ɑ̃
gonzaga	ɡ ɔ̃ z a ɡ a
gorgeous	ɡ ɔ ʁ ʒ u
grafton	ɡ ʁ a f t ɔ̃
grainville	ɡ ʁ ɛ̃ v i l
grandiront	ɡ ʁ ɑ̃ d i ʁ ɔ̃
grangier	ɡ ʁ ɑ̃ ʒ j e
granjon	ɡ ʁ ɑ̃ ʒ ɔ̃
granulaire	ɡ ʁ a n y l ɛ ʁ
grd	ɡ e ɛ ʁ d e
grimault	ɡ ʁ i m o
guillemins	ɡ i j m ɛ̃
guilt	ɡ i l t
géminées	ʒ e m i n e
géothermiques	ʒ e ɔ t ɛ ʁ m i k
hallu	a l y
hamma	a m a
hannut	a n y
hassane	a s a n
hawaïennes	a w a j ɛ n
hebdomadairement	ɛ b d ɔ m a d ɛ ʁ m ɑ̃
helmet	ɛ l m ɛ
hermance	ɛ ʁ m ɑ̃ s
holcomb	ɔ l k ɔ̃
hotspots	ɔ t s p o
hourras	u ʁ a
household	u z ɔ l d
href	ʁ ɛ f
hubei	y b ɛ j
huiler	ɥ i l e
huilerie	ɥ i l ʁ i
hulpe	y l p
humanities	y m a n i s i
hurtado	y ʁ t a d o
hurts	y ʁ
hyoïde	j ɔ i d
hériteront	e ʁ i t ə ʁ ɔ̃
iaa	j a a
ibérie	i b e ʁ i
iden	i d ɛ n
ighil	i ɡ i l
illuminera	i l y m i n ə ʁ a
ilyas	i l j a
imaginions	i m a ʒ i n j ɔ̃
imier	i m j e
incentive	ɛ̃ s ɑ̃ t i v
incombera	ɛ̃ k ɔ̃ b ə ʁ a
incongrus	ɛ̃ k ɔ̃ ɡ ʁ y
indifférenciée	ɛ̃ d i f e ʁ ɑ̃ s j e
indigénat	ɛ̃ d i ʒ e n a
industria	ɛ̃ d y s t ʁ i j a
inhabités	i n a b i t e
inpact	ɛ̃ p a k t
insp	ɛ̃ s p
inspectent	ɛ̃ s p ɛ k t
intendante	ɛ̃ t ɑ̃ d ɑ̃ t
intersectionnalité	ɛ̃ t ɛ ʁ s ɛ k s j ɔ n a l i t e
intr	ɛ̃ t ʁ
inventives	ɛ̃ v ɑ̃ t i v
ironisé	i ʁ ɔ n i z e
irritables	i ʁ i t a b l
istiqlal	i s t i k l a l
itérative	i t e ʁ a t i v
ivanovna	i v a n ɔ v n a
iñaki	i ɲ a k i
jalalabad	ʒ a l a l a b a d
jammer	ʒ a m e
jani	ʒ a n i
japy	ʒ a p i
jinn	ʒ i n
jinnah	ʒ i n a
johanson	ʒ ɔ ɑ̃ s ɔ̃
jonson	ʒ ɔ̃ s ɔ̃
josey	ʒ o z ɛ
jouzel	ʒ u z ɛ l
jovan	ʒ ɔ v ɑ̃
julii	ʒ y l i i
julián	ʒ y l j a n
justifiables	ʒ y s t i f j a b l
juvin	ʒ y v ɛ̃
kairos	k ɛ ʁ o
kandy	k ɑ̃ d i
karloff	k a ʁ l ɔ f
khanh	k a n
kiran	k i ʁ ɑ̃
kirito	k i ʁ i t o
kodiak	k ɔ d j a k
kouba	k u b a
kunta	k œ̃ t a
lafaye	l a f ɛ j
laguiller	l a ɡ i j e
lainage	l ɛ n a ʒ
lalaing	l a l ɛ̃
lambada	l ɑ̃ b a d a
landrecies	l ɑ̃ d ʁ ə s i
lankaise	l ɑ̃ k ɛ z
laparotomie	l a p a ʁ ɔ t ɔ m i
larrouturou	l a ʁ u t y ʁ u
latulippe	l a t y l i p
laughton	l o t ɔ̃
lavements	l a v m ɑ̃
lda	ɛ l d a
leaké	l i k e
lebret	l ə b ʁ ɛ
legislative	l e ʒ i s l a t i v
lehoux	l e u
letty	l ɛ t i
leucine	l ø s i n
librettiste	l i b ʁ ɛ t i s t
libérerait	l i b e ʁ ə ʁ ɛ
lik	l i k
lilie	l i l i
limerick	l i m ʁ i k
limita	l i m i t a
limp	l ɛ̃ p
linstant	l ɛ̃ s t ɑ̃
lior	l j ɔ ʁ
locass	l ɔ k a s
loew	l u
lotr	l ɔ t ʁ
loubard	l u b a ʁ
lug	l y ɡ
lécuyer	l e k ɥ i j e
lég	l e ɡ
maaloula	m a a l u l a
macadamia	m a k a d a m j a
macareux	m a k a ʁ ø
madiba	m a d i b a
madigan	m a d i ɡ ɑ̃
madina	m a d i n a
madrague	m a d ʁ a ɡ
magdelaine	m a ɡ d ə l ɛ n
magnac	m a ɲ a k
mahométane	m a ɔ m e t a n
malaisée	m a l ɛ z e
malaxer	m a l a k s e
malory	m a l ɔ ʁ i
mamas	m a m a
marcherons	m a ʁ ʃ ə ʁ ɔ̃
marinelli	m a ʁ i n ɛ l i
maritza	m a ʁ i t z a
marmonner	m a ʁ m ɔ n e
martelée	m a ʁ t ə l e
martyn	m a ʁ t ɛ̃
masquage	m a s k a ʒ
massinissa	m a s i n i s a
matante	m a t ɑ̃ t
megaman	m e ɡ a m ɑ̃
mehmed	m e m ɛ d
melia	m e l j a
memphrémagog	m ɑ̃ f ʁ e m a ɡ ɔ ɡ
mepris	m ə p ʁ i
messines	m e s i n
mesurettes	m ə z y ʁ ɛ t
mhm	ɛ m ɛ m
microalgues	m i k ʁ ɔ a l ɡ
mip	m i p
miramax	m i ʁ a m a k s
mogherini	m ɔ ɡ ʁ i n i
moissy	m w a s i
montaut	m ɔ̃ t o
montego	m ɔ̃ t e ɡ o
monténégrins	m ɔ̃ t e n e ɡ ʁ ɛ̃
morisot	m ɔ ʁ i z o
mossadegh	m ɔ s a d ɛ ɡ
motilité	m ɔ t i l i t e
mouskouri	m u s k u ʁ i
moustaki	m u s t a k i
mygales	m i ɡ a l
mésolithique	m e z ɔ l i t i k
métres	m e t ʁ
nadya	n a d j a
naifs	n ɛ f
naissons	n ɛ s ɔ̃
nanotubes	n a n ɔ t y b
nantie	n ɑ̃ t i
narcolepsie	n a ʁ k ɔ l ɛ p s i
nationalise	n a s j ɔ n a l i z
naves	n a v
nazim	n a z ɛ̃
neufville	n œ f v i l
nevins	n ə v ɛ̃
nickels	n i k ɛ l
niners	n i n e
nion	n j ɔ̃
noireau	n w a ʁ o
nombriliste	n ɔ̃ b ʁ i l i s t
nones	n ɔ n
notariale	n ɔ t a ʁ j a l
notredame	n ɔ t ʁ ə d a m
nouchi	n u ʃ i
nove	n ɔ v
oca	ɔ k a
ocha	ɔ ʃ a
octavo	ɔ k t a v o
oeb	ɔ ɛ b
oiseleur	w a z l œ ʁ
onusiennes	ɔ n y z j ɛ n
ormeau	ɔ ʁ m o
osu	o z y
ouroboros	u ʁ ɔ b ɔ ʁ o
overview	ɔ v ɛ ʁ v j u
pachyderme	p a ʃ i d ɛ ʁ m
pagano	p a ɡ a n o
palanquée	p a l ɑ̃ k e
palmeiras	p a l m ɛ ʁ a
panisse	p a n i s
pantomimes	p ɑ̃ t ɔ m i m
paramore	p a ʁ a m ɔ ʁ
parcoure	p a ʁ k u ʁ
parcourra	p a ʁ k u ʁ a
parisse	p a ʁ i s
paritarisme	p a ʁ i t a ʁ i s m
parjures	p a ʁ ʒ y ʁ
parvati	p a ʁ v a t i
patrouillant	p a t ʁ u j ɑ̃
peb	p ɛ b
pecheur	p ɛ ʃ œ ʁ
pef	p ɛ f
peinant	p ɛ n ɑ̃
peindra	p ɛ̃ d ʁ a
permissif	p ɛ ʁ m i s i f
persuadant	p ɛ ʁ s ɥ a d ɑ̃
petrova	p ɛ t ʁ ɔ v a
philistin	f i l i s t ɛ̃
piedra	p j e d ʁ a
pierlot	p j ɛ ʁ l o
pila	p i l a
pilées	p i l e
pinball	p ɛ̃ b o l
pixie	p i k s i
piétonniers	p j e t ɔ n j e
piñera	p i ɲ ə ʁ a
plaideur	p l ɛ d œ ʁ
plaquant	p l a k ɑ̃
pointilleuse	p w ɛ̃ t i j ø z
portillons	p ɔ ʁ t i j ɔ̃
pouliguen	p u l i ɡ ɛ̃
poupette	p u p ɛ t
pourvoyeuse	p u ʁ v w a j ø z
pousseur	p u s œ ʁ
pouzin	p u z ɛ̃
presbyterian	p ʁ ɛ s b i t ʁ j ɑ̃
previsions	p ʁ ə v i z j ɔ̃
prio	p ʁ i j o
projekt	p ʁ ɔ ʒ ɛ k t
propédeutique	p ʁ ɔ p e d ø t i k
proviseure	p ʁ ɔ v i z œ ʁ
provoquez	p ʁ ɔ v ɔ k e
prédéfinies	p ʁ e d e f i n i
prématurité	p ʁ e m a t y ʁ i t e
psr	p e ɛ s ɛ ʁ
ptolémaïque	p t ɔ l e m a i k
ptp	p e t e p e
punjabi	p œ̃ ʒ a b i
pvv	p e v e v e
périnéale	p e ʁ i n e a l
qantas	k ɑ̃ t a
quadriller	k a d ʁ i j e
quadripartite	k a d ʁ i p a ʁ t i t
qualifies	k a l i f i
radiocommunication	ʁ a d j ɔ k ɔ m y n i k a s j ɔ̃
ragent	ʁ a ʒ
rajoelina	ʁ a ʒ ɔ e l i n a
rapatriées	ʁ a p a t ʁ i j e
rapines	ʁ a p i n
rassembleront	ʁ a s ɑ̃ b l ə ʁ ɔ̃
rastas	ʁ a s t a
rdpc	ɛ ʁ d e p e s e
rebeus	ʁ ə b ø
recalculer	ʁ ə k a l k y l e
rechanges	ʁ ə ʃ ɑ̃ ʒ
recyclant	ʁ ə s i k l ɑ̃
reduc	ʁ ə d y k
reflexes	ʁ ə f l ɛ k s
rehauts	ʁ ə o
relativistes	ʁ ə l a t i v i s t
remanie	ʁ ə m a n i
rencart	ʁ ɑ̃ k a ʁ
repiquage	ʁ ə p i k a ʒ
reproductrice	ʁ ə p ʁ ɔ d y k t ʁ i s
ressortiront	ʁ ə s ɔ ʁ t i ʁ ɔ̃
retentissantes	ʁ ə t ɑ̃ t i s ɑ̃ t
revisions	ʁ ə v i z j ɔ̃
revolutions	ʁ ə v ɔ l y s j ɔ̃
revolving	ʁ ə v ɔ l v i ŋ
rhinoceros	ʁ i n ɔ s ə ʁ o
rians	ʁ i j ɑ̃
ridder	ʁ i d e
riku	ʁ i k y
rimmel	ʁ i m ɛ l
ringuet	ʁ ɛ̃ ɡ ɛ
robinho	ʁ ɔ b i n o
rockford	ʁ ɔ k f ɔ ʁ
rofl	ʁ ɔ f l
rolfe	ʁ ɔ l f
rook	ʁ u k
roseanne	ʁ o z a n
rosetti	ʁ o z ɛ t i
rousseurs	ʁ u s œ ʁ
rovère	ʁ ɔ v ɛ ʁ
rpdc	ɛ ʁ p e d e s e
rusk	ʁ y s k
rutilante	ʁ y t i l ɑ̃ t
règnera	ʁ ɛ ɲ ə ʁ a
réaffecter	ʁ e a f ɛ k t e
récités	ʁ e s i t e
récoltera	ʁ e k ɔ l t ə ʁ a
réimpr	ʁ e ɛ̃ p ʁ
réinterprète	ʁ e ɛ̃ t ɛ ʁ p ʁ ɛ t
réjouiront	ʁ e ʒ w i ʁ ɔ̃
révulse	ʁ e v y l s
rêveraient	ʁ ɛ v ə ʁ ɛ
sabins	s a b ɛ̃
sacrifions	s a k ʁ i f j ɔ̃
saguenéens	s a ɡ n e ɛ̃
sahélo	s a e l o
salu	s a l y
saluera	s a l y ʁ a
sass	s a s
sassanide	s a s a n i d
sauvageon	s o v a ʒ ɔ̃
savio	s a v j o
savy	s a v i
scaramouche	s k a ʁ a m u ʃ
scintillants	s ɛ̃ t i j ɑ̃
scriptorium	s k ʁ i p t ɔ ʁ j ɔ m
sectionnés	s ɛ k s j ɔ n e
semblons	s ɑ̃ b l ɔ̃
senateur	s ə n a t œ ʁ
senpai	s ɑ̃ p e
serva	s ɛ ʁ v a
sette	s ɛ t
shakti	ʃ a k t i
shimada	ʃ i m a d a
sibel	s i b ɛ l
sikkim	s i k i m
silencio	s i l ɑ̃ s j o
sirupeux	s i ʁ y p ø
siti	s i t i
sivan	s i v ɑ̃
sizun	s i z œ̃
skeeter	s k i t e
smiles	s m i l
smirnoff	s m i ʁ n ɔ f
smits	s m i
snapper	s n a p e
snapshot	s n a p ʃ o
solignac	s ɔ l i ɲ a k
solénoïde	s ɔ l e n ɔ i d
sordo	s ɔ ʁ d o
souciera	s u s j ə ʁ a
soulac	s u l a k
souviendrait	s u v j ɛ̃ d ʁ ɛ
spc	ɛ s p e s e
spoke	s p ɔ k
sprague	s p ʁ a ɡ
stadio	s t a d j o
stoddard	s t ɔ d a ʁ
stroheim	s t ʁ ɔ a j m
stroll	s t ʁ ɔ l
sunnydale	s y n i d a l
supervisera	s y p ɛ ʁ v i z ə ʁ a
suquet	s y k ɛ
suralimenté	s y ʁ a l i m ɑ̃ t e
surcote	s y ʁ k ɔ t
swinguer	s w ɛ̃ ɡ e
synthétisés	s ɛ̃ t e t i z e
sèze	s ɛ z
sécurisante	s e k y ʁ i z ɑ̃ t
séphora	s e f ɔ ʁ a
tablant	t a b l ɑ̃
tack	t a k
takagi	t a k a ʒ i
talonnettes	t a l ɔ n ɛ t
tatouées	t a t w e
tcheque	t ʃ ɛ k
teenager	t i n a ʒ e
tells	t ɛ l
tens	t ɑ̃
tense	t ɑ̃ s
tetons	t ə t ɔ̃
teur	t œ ʁ
thermiquement	t ɛ ʁ m i k m ɑ̃
thielemans	t j ɛ l m ɑ̃
thys	t i
théon	t e ɔ̃
tibial	t i b j a l
tiguan	t i ɡ ɑ̃
tintouin	t ɛ̃ t w ɛ̃
tipo	t i p o
tippett	t i p ɛ t
tiraille	t i ʁ a j
tissulaires	t i s y l ɛ ʁ
toilet	t w a l ɛ
tomasz	t ɔ m a s
tosa	t o z a
transalpins	t ʁ ɑ̃ z a l p ɛ̃
transfèrement	t ʁ ɑ̃ s f ɛ ʁ m ɑ̃
triforce	t ʁ i f ɔ ʁ s
trigo	t ʁ i ɡ o
trilatérale	t ʁ i l a t e ʁ a l
tuzla	t y z l a
téléguidés	t e l e ɡ i d e
télématin	t e l e m a t ɛ̃
témoignerait	t e m w a ɲ ə ʁ ɛ
téva	t e v a
uke	y k
unep	y n ɛ p
unforgettable	œ̃ f ɔ ʁ ʒ ɛ t a b l
unia	y n j a
unif	y n i f
unirent	y n i ʁ
uniront	y n i ʁ ɔ̃
unlock	œ̃ l ɔ k
upec	y p ɛ k
uqo	y k o
uz	y z
vaillantes	v a j ɑ̃ t
vanneste	v a n ɛ s t
vergennes	v ɛ ʁ ʒ ɛ n
vikram	v i k ʁ a m
villanova	v i l a n ɔ v a
vinyls	v i n i l
viscérales	v i s e ʁ a l
vitamin	v i t a m ɛ̃
voussures	v u s y ʁ
vuibert	v ɥ i b ɛ ʁ
vésicale	v e z i k a l
wada	w a d a
weymouth	w ɛ m u t
wille	w i l
wiltshire	w i l t ʃ i ʁ
wines	w i n
wop	w ɔ p
wpa	w e p a
xxxix	k s i k s
yuval	j y v a l
zagato	z a ɡ a t o
zestes	z ɛ s t
zitouni	z i t u n i
zucker	z y k e
échangera	e ʃ ɑ̃ ʒ ə ʁ a
échouerait	e ʃ u ʁ ɛ
écru	e k ʁ y
écœurement	e k œ ʁ m ɑ̃
égorgent	e ɡ ɔ ʁ ʒ
égorgeurs	e ɡ ɔ ʁ ʒ œ ʁ
élaine	e l ɛ n
électrifiées	e l ɛ k t ʁ i f j e
éloignerait	e l w a ɲ ə ʁ ɛ
éphésiens	e f e z j ɛ̃
épicurisme	e p i k y ʁ i s m
équiterre	e k i t ɛ ʁ
étalera	e t a l ə ʁ a
étirées	e t i ʁ e
évocatrices	e v ɔ k a t ʁ i s
по	p ɔ
abaque	a b a k
accrétion	a k ʁ e s j ɔ̃
accurate	a k y ʁ a t
accuseront	a k y z ə ʁ ɔ̃
achilles	a ʃ i j
achèteraient	a ʃ ɛ t ə ʁ ɛ
acquêts	a k ɛ
adaptait	a d a p t ɛ
additionnées	a d i s j ɔ n e
adiabatique	a d j a b a t i k
adibou	a d i b u
aditya	a d i t j a
adt	a d e t e
affranchissent	a f ʁ ɑ̃ ʃ i s
africanistes	a f ʁ i k a n i s t
agglutination	a ɡ l y t i n a s j ɔ̃
ahi	a i
aiguisent	ɛ ɡ i z
akin	a k ɛ̃
albères	a l b ɛ ʁ
alpaguer	a l p a ɡ e
amavi	a m a v i
ammien	a m j ɛ̃
analog	a n a l ɔ ɡ
angioplastie	ɑ̃ ʒ j ɔ p l a s t i
angular	ɑ̃ ɡ y l a ʁ
angélil	ɑ̃ ʒ e l i l
anions	a n j ɔ̃
annonciatrice	a n ɔ̃ s j a t ʁ i s
annualisé	a n ɥ a l i z e
antidémocratiques	ɑ̃ t i d e m ɔ k ʁ a t i k
apce	a p s
apoc	a p ɔ k
approx	a p ʁ ɔ k s
ariadne	a ʁ j a d n
arpent	a ʁ p
arromanches	a ʁ ɔ m ɑ̃ ʃ
arvernes	a ʁ v ɛ ʁ n
asad	a z a d
ascite	a s i t
asfc	a s ɛ f s e
assaf	a s a f
assèchent	a s ɛ ʃ
athérome	a t e ʁ ɔ m
aub	o b
audra	o d ʁ a
avitaillement	a v i t a j m ɑ̃
ayen	ɛ j ɛ̃
azalée	a z a l e
azergues	a z ɛ ʁ ɡ
babeurre	b a b œ ʁ
bainbridge	b ɛ̃ b ʁ i d ʒ
ballroom	b a l ʁ u m
bann	b a n
barcelo	b a ʁ s ə l o
bef	b ɛ f
bekaa	b ə k a
benkirane	b ɛ̃ k i ʁ a n
bentivoglio	b ɑ̃ t i v ɔ ɡ l j o
bernanke	b ɛ ʁ n ɑ̃ k
bessemer	b ɛ s m e
beure	b œ ʁ
beurrier	b œ ʁ j e
bhopal	b ɔ p a l
bianconeri	b j ɑ̃ k ɔ n ʁ i
bluebird	b l y b i ʁ
bojan	b ɔ ʒ ɑ̃
bolchévisme	b ɔ l ʃ e v i s m
bonifiés	b ɔ n i f j e
booter	b u t e
boro	b ɔ ʁ o
botany	b ɔ t a n i
botteur	b ɔ t œ ʁ
boulainvilliers	b u l ɛ̃ v i l j e
brasília	b ʁ a z i l j a
brimé	b ʁ i m e
bringing	b ʁ ɛ̃ ʒ i ŋ
britta	b ʁ i t a
broughton	b ʁ u t ɔ̃
brunetti	b ʁ y n ɛ t i
buccaux	b y k o
budge	b y d ʒ
buford	b y f ɔ ʁ
bugué	b y ɡ e
bunga	b œ̃ ɡ a
burnside	b y ʁ n s i d
butts	b y t
buxton	b y k s t ɔ̃
bytes	b i t
béotien	b e ɔ s j ɛ̃
caldas	k a l d a
calif	k a l i f
calleux	k a l ø
cambier	k ɑ̃ b j e
cambriole	k ɑ̃ b ʁ i j ɔ l
canola	k a n ɔ l a
canopé	k a n ɔ p e
capaldi	k a p a l d i
capitouls	k a p i t u
caprine	k a p ʁ i n
carélie	k a ʁ e l i
castra	k a s t ʁ a
catharisme	k a t a ʁ i s m
cathie	k a t i
cauchois	k o ʃ w a
cerruti	s e ʁ y t i
chandernagor	ʃ ɑ̃ d ɛ ʁ n a ɡ ɔ ʁ
chasseneuil	ʃ a s n œ j
chirico	ʃ i ʁ i k o
chlorés	k l ɔ ʁ e
chérissons	ʃ e ʁ i s ɔ̃
circonstancielle	s i ʁ k ɔ̃ s t ɑ̃ s j ɛ l
cirey	s i ʁ ɛ
cirta	s i ʁ t a
cisterciennes	s i s t ɛ ʁ s j ɛ n
claniques	k l a n i k
claridge	k l a ʁ i d ʒ
clarion	k l a ʁ j ɔ̃
clermontoise	k l ɛ ʁ m ɔ̃ t w a z
climatiser	k l i m a t i z e
cliver	k l i v e
cochise	k ɔ ʃ i z
cojones	k ɔ ʒ ɔ n
colli	k ɔ l i
collusions	k ɔ l y z j ɔ̃
colossiens	k ɔ l ɔ s j ɛ̃
combination	k ɔ̃ b i n a s j ɔ̃
commettons	k ɔ m ɛ t ɔ̃
component	k ɔ̃ p ɔ n
concluaient	k ɔ̃ k l y ɛ
confondons	k ɔ̃ f ɔ̃ d ɔ̃
conlon	k ɔ̃ l ɔ̃
consider	k ɔ̃ s i d e
contamines	k ɔ̃ t a m i n
convergeaient	k ɔ̃ v ɛ ʁ ʒ ɛ
cordula	k ɔ ʁ d y l a
coro	k ɔ ʁ o
corrective	k ɔ ʁ ɛ k t i v
cortical	k ɔ ʁ t i k a l
couci	k u s i
counting	k u n t i ŋ
couteuses	k u t ø z
crater	k ʁ a t e
crenshaw	k ʁ ɛ n ʃ o
créerai	k ʁ e ʁ e
crénelé	k ʁ e n ə l e
cubi	k y b i
curtin	k y ʁ t ɛ̃
cvt	s e v e t e
câblo	k a b l o
célèbes	s e l ɛ b
daghestan	d a ɡ ɛ s t ɑ̃
dales	d a l
dantesques	d ɑ̃ t ɛ s k
darry	d a ʁ i
dauvergne	d o v ɛ ʁ ɲ
daval	d a v a l
daïra	d a i ʁ a
dba	d e b a
debutant	d ə b y t ɑ̃
decitre	d ə s i t ʁ
deh	d ɛ
demille	d ə m i j
demoulin	d ə m u l ɛ̃
derecho	d e ʁ ɛ ʃ o
dermatologiques	d ɛ ʁ m a t ɔ l ɔ ʒ i k
derville	d ɛ ʁ v i l
difficulte	d i f i k y l t
dipôle	d i p o l
discriminants	d i s k ʁ i m i n ɑ̃
doble	d ɔ b l
dodus	d ɔ d y
dok	d ɔ k
doléance	d ɔ l e ɑ̃ s
dormiront	d ɔ ʁ m i ʁ ɔ̃
douars	d w a ʁ
drip	d ʁ i p
dumay	d y m ɛ
dumortier	d y m ɔ ʁ t j e
dunkin	d œ̃ k ɛ̃
dusan	d y z ɑ̃
dwyane	d w a j a n
débusqué	d e b y s k e
décongestionner	d e k ɔ̃ ʒ ɛ s t j ɔ n e
déiste	d e i s t
déloyaux	d e l w a j o
démaquille	d e m a k i j
dépersonnalisation	d e p ɛ ʁ s ɔ n a l i z a s j ɔ̃
désactivant	d e z a k t i v ɑ̃
déshabillage	d e z a b i j a ʒ
désorienter	d e z ɔ ʁ j ɑ̃ t e
déterminons	d e t ɛ ʁ m i n ɔ̃
détiendrait	d e t j ɛ̃ d ʁ ɛ
ectoplasme	ɛ k t ɔ p l a s m
effacerait	e f a s ə ʁ ɛ
egoiste	e ɡ w a s t
ehh	e
elevée	ɛ l ə v e
emballait	ɑ̃ b a l ɛ
embrigader	ɑ̃ b ʁ i ɡ a d e
empanadas	ɑ̃ p a n a d a
encensoir	ɑ̃ s ɑ̃ s w a ʁ
endoscopique	ɑ̃ d ɔ s k ɔ p i k
endossent	ɑ̃ d ɔ s
engorgé	ɑ̃ ɡ ɔ ʁ ʒ e
enright	ɑ̃ ʁ i t
ensa	ɑ̃ s a
enthalpie	ɑ̃ t a l p i
entire	ɑ̃ t i ʁ
entérologie	ɑ̃ t e ʁ ɔ l ɔ ʒ i
essling	ɛ s l i ŋ
essorage	e s ɔ ʁ a ʒ
estas	ɛ s t a
eul	œ l
eumène	ø m ɛ n
exacerbent	ɛ ɡ z a s ɛ ʁ b
excellentissime	ɛ k s e l ɑ̃ t i s i m
excisées	ɛ k s i z e
exiles	ɛ ɡ z i l
exotic	ɛ ɡ z ɔ t i k
expirera	ɛ k s p i ʁ ə ʁ a
exploita	ɛ k s p l w a t a
extraconjugales	ɛ k s t ʁ a k ɔ̃ ʒ y ɡ a l
fabuleusement	f a b y l ø z m ɑ̃
fadel	f a d ɛ l
falque	f a l k
