اس	ə s
ایفی	iː f iː
ایکٹیو	iː k ʈ ɪ j oː
باران	b ɑː ɾ ɑː n
بارانی	b ɑː ɾ ɑː n iː
بالنگ	b ɑː l ə ŋ ɡ
بانڈز	b ɑː n ɖ ɪ z
باپوں	b ɑː p õː
بجائی	b ə d͡ʒ ɑː iː
بحالت	b ə ɦ ɑː l ə t̪
بدظن	b ə d̪ z ə n
براک	b ə ɾ ɑː k
برسانے	b ə ɾ s ɑː n eː
بروس	b ə ɾ uː s
برون	b ə ɾ uː n
بشرط	b ə ʃ ɾ ə t̪
بغلیں	b ə ɣ l ẽː
بقایاجات	b ə q ɑː j ɑː d͡ʒ ɑː t̪
بوسے	b uː s eː
بھاسکر	bʱ ɑː s k ə ɾ
بھڑ	bʱ ə ɽ
بہادروں	b ə ɦ ɑː d̪ ə ɾ õː
بیلا	b eː l ɑː
تابی	t̪ ɑː b iː
تاريخ	t̪ ɑː ɾ iː x
تاز	t̪ ɑː z
تالیوں	t̪ ɑː l ɪ j õː
تعمیروترقی	t̪ ə m iː ɾ uː t̪ ə ɾ q iː
تفصیلا	t̪ ə f s iː l ɑː
تلفی	t̪ ə l f iː
تکتے	t̪ ə k t̪ eː
تھال	t̪ʰ ɑː l
تھنڈر	t̪ʰ ə n ɖ ə ɾ
تہس	t̪ ə ɦ ə s
جاسکی	d͡ʒ ɑː s k iː
جالوت	d͡ʒ ɑː l uː t̪
جانئیے	d͡ʒ ɑː n ɪ j eː
جاندا	d͡ʒ ɑː n d̪ ɑː
جاگا	d͡ʒ ɑː ɡ ɑː
جبلت	d͡ʒ ə b l ə t̪
جدون	d͡ʒ ə d̪ uː n
جلائی	d͡ʒ ə l ɑː iː
جنر	d͡ʒ ə n ɾ
جھٹلاتے	d͡ʒʱ ə ʈ l ɑː t̪ eː
جھٹلایا	d͡ʒʱ ə ʈ l ɑː j ɑː
جیز	d͡ʒ eː z
حاجات	ɦ ɑː d͡ʒ ɑː t̪
حبیبی	ɦ ə b iː b iː
حدتک	ɦ ə d̪ t̪ ə k
حفص	ɦ ə f s
حم	ɦ ə m
حکیموں	ɦ ə k iː m õː
حیث	ɦ ɛː s
خولی	x uː l iː
خیا	x ə j j ɑː
داستاں	d̪ ɑː s t̪ ɑ̃ː
دباتے	d̪ ə b ɑː t̪ eː
دبیر	d̪ ə b iː ɾ
دخلی	d̪ ə x l iː
دخول	d̪ ə x uː l
درپردہ	d̪ ə ɾ p ə ɾ d̪ ɑ
دریافتوں	d̪ ə ɾ j ɑː f ə t̪ õː
دلوائیں	d̪ ə l ʋ ɑː ẽː
دنگل	d̪ ə ŋ ɡ ə l
دنیاکے	d̪ ə n j ɑː k eː
دنیش	d̪ ə n iː ʃ
دکھلا	d̪ ə kʰ l ɑː
دھاک	d̪ʱ ɑː k
دہراتے	d̪ ə ɦ ɾ ɑː t̪ eː
دیدیں	d̪ eː d̪ ẽː
راؤنڈر	ɾ ɑː ʊ n ɖ ə ɾ
راجے	ɾ ɑː d͡ʒ eː
راون	ɾ ɑː ʋ ə n
رسیوں	ɾ ə s ɪ j õː
رنگینی	ɾ ə ŋ ɡ iː n iː
ریور	ɾ eː ʋ ə ɾ
ریٹرن	ɾ eː ʈ ɾ ə n
ریگولیٹ	ɾ eː ɡ oː l eː ʈ
ساعتوں	s ɑː ə t̪ õː
ساقط	s ɑː q ɪ t̪
ساڑھی	s ɑː ɽʱ iː
ساں	s ɑ̃ː
ستیاں	s ə t̪ ɪ j ɑ̃ː
سجائی	s ə d͡ʒ ɑː iː
سفاکیت	s ə f ɑː k ɪ j ə t̪
سلجھانے	s ə l d͡ʒʱ ɑː n eː
سلفیہ	s ə l f ɪ j ɑ
سلوی	s ə l ʋ iː
سلپ	s ə l p
سمال	s ə m ɑː l
سمیٹا	s ə m iː ʈ ɑː
سنبھلنے	s ə m bʱ ə l n eː
سوشیل	s oː ʃ iː l
سوناکشی	s oː n ɑː k ɪ ʃ iː
سونپنے	s uː n p ə n eː
سيد	s iː d̪
سہاگہ	s ə ɦ ɑː ɡ ɑ
سیک	s iː k
شرطوں	ʃ ə ɾ t̪ õː
شرمگاہ	ʃ ə ɾ m ə ɡ ɑː ɦ
شنوائی	ʃ ə n ʋ ɑː iː
شوکاز	ʃ oː k ɑː z
شٹر	ʃ ə ʈ ə ɾ
شکایتوں	ʃ ɪ k ɑː j ə t̪ õː
شہزادیاں	ʃ ə ɦ z ɑː d̪ ɪ j ɑ̃ː
صبغت	s ə b ɣ ə t̪
صرافہ	s ə ɾ ɑː f ɑ
صغیرہ	s ə ɣ iː ɾ ɑ
صلا	s ə l ɑː
ضروریہ	z ə ɾ ʋ ə ɾ ɪ j ɑ
طوائفوں	t̪ ə ʋ ɑː ɪ f õː
عادتوں	ɑː d̪ ə t̪ õː
عالمگیری	ɑː l m ə ɡ iː ɾ iː
عزاداروں	ɪ z ɑː d̪ ɑː ɾ õː
عطافرمائے	ɪ t̪ ɑː f ə ɾ m ɑː eː
عقلیہ	ə q l ɪ j ɑ
عقیق	ə q iː q
علاؤ	ɪ l ɑː oː
عليكم	ə l iː k ə m
عملوں	ə m l õː
عنصری	ə n s ə ɾ iː
غالبیات	ɣ ɑː l ɪ b ɪ j ɑː t̪
فاران	f ɑː ɾ ɑː n
فاقے	f ɑː q eː
فخری	f ə x ɾ iː
فرنگیوں	f ə ɾ ə ŋ ɡ ɪ j õː
قبطی	q ə b t̪ iː
قت	q ə t̪
قیراط	q ɛː ɾ ɑː t̪
لارجر	l ɑː ɾ d͡ʒ ə ɾ
لد	l ə d̪
لعین	l ə iː n
لفاظی	l ə f ɑː z iː
ليكن	l eː k ə n
لٹکے	l ə ʈ k eː
لکھن	l ə kʰ ə n
مائوں	m ɑː õː
مارکیٹیں	m ɑː ɾ k eː ʈ ẽː
مارہروی	m ɑː ɾ ɦ ə ɾ ʋ iː
ماشہ	m ɑː ʃ ɑ
مالش	m ɑː l ɪ ʃ
مالم	m ɑː l ɪ m
ماڑی	m ɑː ɽ iː
مترجمین	m ʊ t̪ ə ɾ d͡ʒ ə m iː n
مستانی	m ʊ s t̪ ɑː n iː
مصالحتی	m ʊ s ɑː l ə ɦ ə t̪ iː
مغموم	m ə ɣ m uː m
منسی	m ə n s iː
منڈیاں	m ə n ɖ ɪ j ɑ̃ː
منگوانے	m ə ŋ ɡ ʋ ɑː n eː
منگول	m ə ŋ ɡ uː l
موٹ	m oː ʈ
مچائی	m ə t͡ʃ ɑː iː
مژدہ	m ə ʒ d̪ ɑ
مگراس	m ə ɡ ɾ ɑː s
نائر	n ɑː ɪ ɾ
ناب	n ɑː b
ناقدری	n ɑː q ɪ d̪ ɾ iː
نباہ	n ə b ɑː ɦ
نذرانے	n ə z ɾ ɑː n eː
نضیر	n ə z iː ɾ
نفسا	n ə f s ɑː
نفقہ	n ə f q ɑ
نمٹانے	n ə m ʈ ɑː n eː
نوازتے	n ə ʋ ɑː z ə t̪ eː
نورپور	n ɔː ɾ p uː ɾ
نکیر	n ə k iː ɾ
نہس	n ə ɦ ə s
وابسطہ	ʋ ɑː b ɪ s t̪ ɑ
وادیاں	ʋ ɑː d̪ ɪ j ɑ̃ː
وارسا	ʋ ɑː ɾ s ɑː
والٹن	ʋ ɑː l ʈ ə n
واڑی	ʋ ɑː ɽ iː
وتی	ʋ ə t̪ iː
وراثتی	ʋ ə ɾ ɑː s ə t̪ iː
وزیرآباد	ʋ ə z iː ɾ ɑː b ɑː d̪
وسوسہ	ʋ ə s uː s ɑ
وفروخت	ʋ ə f ɾ uː x t̪
وفضل	ʋ ə f z ə l
وک	ʋ ə k
وہوا	ʋ ə ɦ ʋ ɑː
ٹارزن	ʈ ɑː ɾ z ə n
ٹاورز	ʈ ɑː ʋ ə ɾ z
ٹشو	ʈ ə ʃ oː
ٹوٹکے	ʈ oː ʈ k eː
ٹھاٹھیں	ʈʰ ɑː ʈʰ ẽː
ٹھہراؤ	ʈʰ ə ɦ ɾ ɑː oː
ٹھہرانا	ʈʰ ə ɦ ɾ ɑː n ɑː
ٹھہرتا	ʈʰ ə ɦ ɾ ə t̪ ɑː
ٹیکوں	ʈ eː k õː
پائل	p ɑː ɪ l
پاونڈ	p ɑː ʋ ə n ɖ
پبلکن	p ə b l ə k ə n
پرمجبور	p ə ɾ m ə d͡ʒ b uː ɾ
پرکسی	p ə ɾ k ə s iː
پرہیزگاروں	p ə ɾ ɦ eː z ɡ ɑː ɾ õː
پریہ	p ə ɾ jᵊ
پلائیں	p ə l ɑː ẽː
پٹاخے	p ə ʈ ɑː x eː
پکچرز	p ə k t͡ʃ ə ɾ z
پیشیاں	p ɛː ʃ ɪ j ɑ̃ː
چمٹ	t͡ʃ ə m ə ʈ
چپکا	t͡ʃ ə p k ɑː
چکنے	t͡ʃ ə k n eː
چکھ	t͡ʃ ə kʰ
چھوتے	t͡ʃʰ uː t̪ eː
چھڑک	t͡ʃʰ ə ɽ ə k
چے	t͡ʃ eː
ڈائن	ɖ ɑː ɪ n
ڈرانا	ɖ ə ɾ ɑː n ɑː
ڈرونز	ɖ ə ɾ ʋ ə n z
ڈینی	ɖ ɛː n iː
ڈیوک	ɖ ɪ j oː k
کاراستہ	k ɑː ɾ ɑː s t̪ ɑ
کاردار	k ɑː ɾ d̪ ɑː ɾ
کارپوریشنوں	k ɑː ɾ p uː ɾ eː ʃ n õː
کاسٹر	k ɑː s ʈ ə ɾ
کامرانی	k ɑː m ɾ ɑː n iː
کاکول	k ɑː k uː l
کدے	k ə d̪ eː
کرادیں	k ə ɾ ɑː d̪ ẽː
کربی	k ə ɾ b iː
کرجائے	k ə ɾ d͡ʒ ɑː eː
کرناچاہتے	k ə ɾ n ɑː t͡ʃ ɑː ɦ ə t̪ eː
کروشین	k ə ɾ oː ʃ iː n
کسنے	k ə s n eː
کسٹمر	k ə s ʈ m ə ɾ
کلاہ	k ə l ɑː ɦ
کمانڈرز	k ə m ɑː n ɖ ə ɾ z
کمشنرز	k ə m ʃ n ə ɾ z
کوسوں	k oː s õː
کولو	k oː l oː
کونا	k oː n ɑː
کوٹھا	k oː ʈʰ ɑː
کوکی	k oː k iː
کيے	k j eː
کڑوے	k ə ɽ ʋ eː
کھاؤں	kʰ ɑː õː
کھلائیں	kʰ ə l ɑː ẽː
کھوٹ	kʰ oː ʈ
کہلائیں	k ə ɦ l ɑː ẽː
کیاتو	k ɪ j ɑː t̪ oː
کیسٹ	k ɛː s ʈ
گبر	ɡ ə b ə ɾ
گذری	ɡ ə z ɾ iː
گملوں	ɡ ə m l õː
گندھارا	ɡ ə n d̪ʱ ɑː ɾ ɑː
گورکھپوری	ɡ oː ɾ kʰ p uː ɾ iː
گپٹل	ɡ ə p ʈ ə l
ہامان	ɦ ɑː m ɑː n
ہنڈا	ɦ ə n ɖ ɑː
ہوااور	ɦ ə ʋ ɑː ʋ ə ɾ
ہواس	ɦ ə ʋ ɑː s
ہولڈنگ	ɦ oː l ɖ ə ŋ ɡ
ہووے	ɦ oː ʋ eː
ہوگاکہ	ɦ oː ɡ ɑː k ɑ
ہي	ɦ iː
ہڑپہ	ɦ ə ɽ p ɑ
ہیکنگ	ɦ eː k ə ŋ ɡ
یاددہانی	j ɑː d̪ ɪ d̪ ɦ ɑː n iː
hindi	h ɪ n d̪ iː
آلا	ɑː l ɑː
ابراہام	ɪ b ɾ ɑː ɦ ɑː m
استثنائی	ɪ s t̪ ɪ s n ɑː iː
اسمگلر	ə s m ə ɡ l ə ɾ
اقامتی	ɪ q ɑː m ə t̪ iː
اقتصاد	ɪ q t̪ ɪ s ɑː d̪
القری	ə l q ə ɾ iː
المدنی	ə l m ə d̪ n iː
امامی	ə m ɑː m iː
انجینئروں	ə n d͡ʒ iː n ə ɾ õː
اندام	ɪ n d̪ ɑː m
اگرہم	ə ɡ ɾ ə ɦ ə m
ایرا	iː ɾ ɑː
ایرپورٹ	iː ɾ p uː ɾ ʈ
ایمپریس	iː m p ə ɾ iː s
باغبان	b ɑː ɣ b ɑː n
بحثوں	b ə ɦ s õː
براوو	b ə ɾ ɑː ʋ oː
براہین	b ə ɾ ɑː ɦ iː n
برفیلے	b ə ɾ f iː l eː
بز	b ə z
بنائیے	b ə n ɑː ɪ j eː
بڈگام	b ə ɖ ɡ ɑː m
بکے	b ə k eː
بھ	bʱ
بینکس	b ɛː ŋ k ə s
تاباں	t̪ ɑː b ɑ̃ː
تارہ	t̪ ɑː ɾ ɑ
تجوری	t̪ ə d͡ʒ ʋ ə ɾ iː
ترنگا	t̪ ə ɾ ə ŋ ɡ ɑː
تماش	t̪ ə m ɑː ʃ
تپاک	t̪ ə p ɑː k
تکفین	t̪ ə k f iː n
جمیکا	d͡ʒ ə m iː k ɑː
جونس	d͡ʒ uː n s
جونی	d͡ʒ uː n iː
جھل	d͡ʒʱ ə l
حالتیں	ɦ ɑː l ə t̪ ẽː
خرابے	x ə ɾ ɑː b eː
خفی	x ə f iː
خلاصی	x ə l ɑː s iː
خوشہ	x oː ʃ ɑ
درعا	d̪ ə ɾ ɑː
دھائی	d̪ʱ ɑː iː
دھاتیں	d̪ʱ ɑː t̪ ẽː
دھڑکتا	d̪ʱ ə ɽ k ə t̪ ɑː
ذكر	z ə k ə ɾ
رمل	ɾ ə m ə l
رکعتیں	ɾ ə k ə t̪ ẽː
رہبانیت	ɾ ə ɦ b ɑː n ɪ j ə t̪
ریگولیشن	ɾ eː ɡ oː l eː ʃ ə n
زبیری	z ə b iː ɾ iː
زہیر	z ə ɦ iː ɾ
سائبان	s ɑː ɪ b ɑː n
سفاری	s ə f ɑː ɾ iː
سورما	s uː ɾ m ɑː
سٹین	s ə ʈ iː n
سکتہ	s ə k t̪ ɑ
سیج	s iː d͡ʒ
شاہجہان	ʃ ɑː ɦ ɪ d͡ʒ ɦ ɑː n
شرقیہ	ʃ ə ɾ q ɪ j ɑ
شہیدی	ʃ ə ɦ iː d̪ iː
شیڈو	ʃ eː ɖ oː
طمانیت	t̪ ə m ɑː n ɪ j ə t̪
عقیقہ	ə q iː q ɑ
قحبہ	q ə ɦ b ɑ
قدوس	q ə d̪ uː s
لبنی	l ə b n iː
لفٹنگ	l ə f ʈ ə ŋ ɡ
لگالیا	l ə ɡ ɑː l ɪ j ɑː
لگاو	l ə ɡ ɑː ʋ
لہزا	l ə ɦ z ɑː
مختیار	m ʊ x t̪ ɪ j ɑː ɾ
معالجین	m ʊ ɑː l d͡ʒ iː n
ملاں	m ə l ɑ̃ː
منگولوں	m ə ŋ ɡ uː l õː
مڑے	m ə ɽ eː
ند	n ə d̪
نفاس	n ə f ɑː s
نکسن	n ə k s ə n
والیم	ʋ ɑː l iː m
پاتال	p ɑː t̪ ɑː l
پانسہ	p ɑ̃ː s ɑ
پجاریوں	p ə d͡ʒ ɑː ɾ ɪ j õː
پنکی	p ə ŋ k iː
پولیٹن	p oː l eː ʈ ə n
پچھواڑے	p ə t͡ʃʰ ʋ ɑː ɽ eː
چاڈ	t͡ʃ ɑː ɖ
چرخ	t͡ʃ ə ɾ x
چڑیاں	t͡ʃ ə ɽ ɪ j ɑ̃ː
چھڑکنے	t͡ʃʰ ə ɽ k ə n eː
ڈنڈی	ɖ ə n ɖ iː
کارہ	k ɑː ɾ ɑ
کامسئلہ	k ɑː m s ɪ l ɑ
کروادیا	k ə ɾ ʋ ɑː d̪ ɪ j ɑː
کوڑھ	k oː ɽʱ
کھرمنگ	kʰ ə ɾ m ə ŋ ɡ
کہتیں	k ə ɦ ə t̪ ẽː
کہن	k ə ɦ ə n
گالف	ɡ ɑː l ɪ f
گذارنے	ɡ ʊ z ɑː ɾ n eː
گننے	ɡ ə n n eː
گھبراتا	ɡʱ ə b ɾ ɑː t̪ ɑː
ہلے	ɦ ə l eː
ہیرالڈ	ɦ ɛː ɾ ɑː l ɖ
ہینگ	ɦ ɛː ŋ ɡ
آدرش	ɑː d̪ ə ɾ ɪ ʃ
آدھار	ɑː d̪ʱ ɑː ɾ
ابطال	ɪ b t̪ ɑː l
ارباز	ə ɾ b ɑː z
ارونا	ə ɾ uː n ɑː
اسٹائن	ɪ s ʈ ɑː ɪ n
اسٹون	ə s ʈ uː n
اضافیت	ɪ z ɑː f ɪ j ə t̪
افزوں	ə f z õː
اقل	ə q l
الحدید	ə l ɦ ə d̪ iː d̪
الدعوہ	ə l d̪ ə ʋ ɑ
انحصاری	ə n ɦ ɪ s ɑː ɾ iː
انگارے	ə ŋ ɡ ɑː ɾ eː
اکناف	ɪ k n ɑː f
اگتے	ə ɡ t̪ eː
ایقان	iː q ɑː n
بازیاں	b ɑː z ɪ j ɑ̃ː
بحکم	b ə ɦ k ə m
بدعنوانیوں	b ə d̪ ə n ʋ ɑː n ɪ j õː
بدنصیبی	b ə d̪ ə n s iː b iː
بروک	b ə ɾ uː k
برگد	b ə ɾ ɡ ə d̪
بوریاں	b uː ɾ ɪ j ɑ̃ː
بکتی	b ə k t̪ iː
بیرک	b ɛː ɾ ə k
بیکس	b eː k ə s
بیں	b ẽː
تابناک	t̪ ɑː b n ɑː k
ترپاٹھی	t̪ ə ɾ p ɑː ʈʰ iː
تعویز	t̪ ə ʋ iː z
تمیزی	t̪ ə m iː z iː
توشہ	t̪ oː ʃ ɑ
ثقلی	s ə q l iː
ثلاثی	s ə l ɑː s iː
جالا	d͡ʒ ɑː l ɑː
جھومر	d͡ʒʱ uː m ə ɾ
حضرو	ɦ ə z ɾ oː
حمایتیوں	ɦ ə m ɑː j ə t̪ ɪ j õː
درایت	d̪ ə ɾ ɑː j ə t̪
دستخطوں	d̪ ə s t̪ x ə t̪ õː
دھڑام	d̪ʱ ə ɽ ɑː m
رنویر	ɾ ə n ʋ iː ɾ
روکھڑی	ɾ oː kʰ ɽ iː
زردی	z ə ɾ d̪ iː
زما	z ə m ɑː
ساہی	s ɑː ɦ iː
سنگلاخ	s ə ŋ ɡ l ɑː x
سوراخوں	s uː ɾ ɑː x õː
شاویز	ʃ ɑː ʋ eː z
شستہ	ʃ ə s t̪ ɑ
عجل	ə d͡ʒ ə l
غزلیہ	ɣ ə z l ɪ j ɑ
فائن	f ɑː ɪ n
فارمنگ	f ɑː ɾ m ə ŋ ɡ
فلکیاتی	f ə l k ɪ j ɑː t̪ iː
قصدا	q ə s d̪ ɑː
لائک	l ɑː ɪ k
لامہ	l ɑː m ɑ
لنڈے	l ə n ɖ eː
لیمن	l ɛː m ə n
مستوج	m ʊ s t̪ uː d͡ʒ
مسمی	m ə s m iː
مصطفوی	m ʊ s t̪ ə f ʋ iː
معزولی	m ə z uː l iː
موہ	m oː ɦ
مکرجی	m ə k ɾ ə d͡ʒ iː
نئ	n ə iː
ناقل	n ɑː q ɪ l
ناندیڑ	n ɑː n d̪ eː ɽ
نیام	n ɪ j ɑː m
نےبھی	n eː bʱ iː
واسطی	ʋ ɑː s ɪ t̪ iː
وجان	ʋ ə d͡ʒ ɑː n
ورقہ	ʋ ə ɾ q ɑ
ووکیشنل	ʋ oː k eː ʃ ə n ə l
ٹائلوں	ʈ ɑː ɪ l õː
پاؤنڈز	p ɑː ʊ n ɖ ɪ z
پبلی	p ə b l iː
پنچایتی	p ə n t͡ʃ ɑː j ə t̪ iː
پھلیاں	pʰ ə l ɪ j ɑ̃ː
پھو	pʰ uː
چاہيے	t͡ʃ ɑː ɦ j eː
چت	t͡ʃ ə t̪
چراتے	t͡ʃ ə ɾ ɑː t̪ eː
چوراسی	t͡ʃ uː ɾ ɑː s iː
چٹا	t͡ʃ ə ʈ ɑː
ڈاکومنٹری	ɖ ɑː k oː m ə n ʈ ɾ iː
ڈسٹرب	ɖ ə s ʈ ə ɾ b
کالنگ	k ɑː l ə ŋ ɡ
کریمنل	k ə ɾ iː m ə n ə l
کشمش	k ə ʃ m ɪ ʃ
کنجوس	k ə n d͡ʒ uː s
کوسنے	k oː s n eː
کپتانوں	k ə p t̪ ɑː n õː
کیٹی	k eː ʈ iː
گرائمر	ɡ ə ɾ ɑː ɪ m ə ɾ
گرانی	ɡ ə ɾ ɑː n iː
گوئیوں	ɡ oː ɪ j õː
گوہاٹی	ɡ oː ɦ ɑː ʈ iː
گھنٹیاں	ɡʱ ə n ʈ ɪ j ɑ̃ː
ہواور	ɦ ə ʋ ɑː ʋ ə ɾ
ہٹو	ɦ ə ʈ oː
ہیڈن	ɦ eː ɖ ə n
ہےوہ	ɦ eː ʋ ɑ
یسار	j ə s ɑː ɾ
rs	ɾ ə s
آزر	ɑː z ə ɾ
آوارگی	ɑː ʋ ɑː ɾ ɡ iː
أحمد	ʔ ə ɦ m ə d̪
ابدالی	ɪ b d̪ ɑː l iː
اجرتوں	ə d͡ʒ ɾ ə t̪ õː
اخری	ə x ɾ iː
اسراء	ɪ s ɾ ɑː
اسماعيل	ɪ s m ɑː iː l
اسٹیم	ə s ʈ iː m
اللطیف	ə l l ə t̪ iː f
اگلنے	ə ɡ l ə n eː
ایستادہ	iː s t̪ ɑː d̪ ɑ
ایڈٹ	eː ɖ ə ʈ
بارا	b ɑː ɾ ɑː
بالفاظ	b ɪ l f ɑː z
بایزید	b ɑː j z iː d̪
بجتے	b ə d͡ʒ t̪ eː
برونائی	b ə ɾ uː n ɑː iː
بلجیم	b ə l d͡ʒ iː m
بندیال	b ə n d̪ ɪ j ɑː l
بنصرہ	b ə n s ə ɾ ɑ
بنیامین	b ə n j ɑː m iː n
بیرنگ	b ɛː ɾ ə ŋ ɡ
جارڈن	d͡ʒ ɑː ɾ ɖ ə n
جمایا	d͡ʒ ə m ɑː j ɑː
جھاڑیاں	d͡ʒʱ ɑː ɽ ɪ j ɑ̃ː
جھکتا	d͡ʒʱ ə k t̪ ɑː
حسینیہ	ɦ ə s iː n ɪ j ɑ
حیلوں	ɦ ɛː l õː
خیرہ	x ɛː ɾ ɑ
داروغہ	d̪ ɑː ɾ oː ɣ ɑ
دباوٴ	d̪ ə b ɑː ʋ ɪ ʃ
دلبر	d̪ ə l b ə ɾ
ديگر	d̪ eː ɡ ə ɾ
دہے	d̪ ə ɦ eː
دیامر	d̪ ə j ɑː m ə ɾ
ذبیحہ	z ə b iː ɦ ɑ
رلا	ɾ ə l ɑː
زاتی	z ɑː t̪ iː
زادوں	z ɑː d̪ õː
زندیق	z ə n d̪ iː q
سائرس	s ɑː ɪ ɾ ɪ s
سانڈ	s ɑː n ɖ
سجاتے	s ə d͡ʒ ɑː t̪ eː
سس	s ə s
سنگدل	s ə ŋ ɡ d̪ ə l
سکونی	s ə k uː n iː
سہتے	s ə ɦ t̪ eː
شائبہ	ʃ ɑː ɪ b ɑ
شامیوں	ʃ ɑː m ɪ j õː
شرابہ	ʃ ə ɾ ɑː b ɑ
شکاریوں	ʃ ɪ k ɑː ɾ ɪ j õː
صفوی	s ə f ʋ iː
صیاد	s ə j j ɑː d̪
ضیائے	z ə j ɑː eː
طرفین	t̪ ə ɾ f iː n
فاصل	f ɑː s ɪ l
فراہی	f ə ɾ ɑː ɦ iː
فرمادے	f ə ɾ m ɑː d̪ eː
فریفتہ	f ə ɾ iː f ə t̪ ɑ
فضیل	f ə z iː l
فکسڈ	f ə k s ə ɖ
فے	f eː
لاریب	l ɑː ɾ iː b
لینگے	l ɛː ŋ ɡ eː
مام	m ɑː m
مبسوط	m ə b s uː t̪
مشروع	m ə ʃ ɾ uː
مغنی	m ə ɣ n iː
موتہ	m oː t̪ ɑ
موڈی	m oː ɖ iː
موکش	m oː k ɪ ʃ
میشن	m eː ʃ ə n
نرمل	n ə ɾ m ə l
نطفے	n ə t̪ f eː
نعیمیہ	n ə iː m ɪ j ɑ
وادئ	ʋ ɑː d̪ ɪ j
وجہد	ʋ ə d͡ʒ ɦ ə d̪
ورون	ʋ ə ɾ uː n
وقد	ʋ ə q d̪
ٹیسٹنگ	ʈ ɛː s ʈ ə ŋ ɡ
پردازی	p ə ɾ d̪ ɑː z iː
پرقبضہ	p ə ɾ q ə b z ɑ
پکائی	p ə k ɑː iː
پھوٹنے	pʰ oː ʈ n eː
پینی	p ɛː n iː
چمڑا	t͡ʃ ə m ɽ ɑː
ڈانسر	ɖ ɑː n s ə ɾ
ڈھیٹ	ɖʱ eː ʈ
کراں	k ə ɾ ɑ̃ː
کرڈالا	k ə ɾ ɖ ɑː l ɑː
کسک	k ə s k
کلنک	k ə l ə n k
کمائیں	k ə m ɑː ẽː
کنجوسی	k ə n d͡ʒ uː s iː
کوئن	k oː ɪ n
کوزے	k oː z eː
کھلاؤ	kʰ ə l ɑː oː
کھٹ	kʰ ə ʈ
گاتی	ɡ ɑː t̪ iː
گشتہ	ɡ ə ʃ t̪ ɑ
گوانتانامو	ɡ ʋ ɑː n t̪ ɑː n ɑː m oː
گھونسلا	ɡʱ õː s l ɑː
گےاور	ɡ eː ɑː ʋ ə ɾ
ہائپر	ɦ ɑː ɪ p ə ɾ
tips	t̪ ɪ p s
آپٹیکل	ɑː p ʈ eː k ə l
آڈر	ɑː ɖ ə ɾ
ارمغان	ə ɾ m ə ɣ ɑː n
استیصال	ɪ s t̪ iː s ɑː l
اسید	ə s iː d̪
المجید	ə l m ə d͡ʒ iː d̪
النبي	ə l ə m b iː
اکالی	ɪ k ɑː l iː
ایرو	iː ɾ oː
بدلاؤ	b ə d̪ l ɑː oː
بدوی	b ə d̪ ʋ iː
برستے	b ə ɾ ə s t̪ eː
بستری	b ə s t̪ ə ɾ iː
بنالے	b ə n ɑː l eː
بگاڑا	b ə ɡ ɑː ɽ ɑː
بہے	b ə ɦ eː
تبا	t̪ ə b ɑː
تواب	t̪ ə ʋ ɑː b
توصیفی	t̪ ɔː s iː f iː
تھامسن	t̪ʰ ɑː m s ə n
ثقفی	s ə q f iː
جریج	d͡ʒ ə ɾ iː d͡ʒ
حالا	ɦ ɑː l ɑː
دنیابھر	d̪ ə n j ɑː bʱ ə ɾ
دیپیکا	d̪ eː p eː k ɑː
دیںگے	d̪ ẽː ɡ eː
راجکوٹ	ɾ ɑː d͡ʒ k oː ʈ
روف	ɾ uː f
سائبیریا	s ɑː ɪ b iː ɾ ɪ j ɑː
سفرنامے	s ə f ə ɾ n ɑː m eː
سلیکون	s ə l iː k oː n
سننی	s ə n n iː
سٹیم	s ə ʈ iː m
سیپ	s iː p
شداد	ʃ ə d̪ ɑː d̪
صمد	s ə m ə d̪
فرانک	f ə ɾ ɑː n ə k
قمی	q ə m iː
كوئی	k oː iː
لارہی	l ɑː ɾ ɦ iː
لہان	l ɪ ɦ ɑː n
ماورائی	m ɑː ʋ ɾ ɑː iː
مجلے	m ə d͡ʒ l eː
مرغا	m ə ɾ ɣ ɑː
مصحفی	m ə s ɦ ə f iː
منذر	m ə n z ə ɾ
نالائقی	n ɑː l ɑː ɪ q iː
نبیلہ	n ə b iː l ɑ
نتھ	n ə t̪ʰ
نوائی	n ə ʋ ɑː iː
ومسائل	ʋ ɪ m s ɑː ɪ l
ٹائپنگ	ʈ ɑː ɪ p ə ŋ ɡ
پریقین	p ə ɾ iː q iː n
پیتھک	p ɛː t̪ʰ ə k
چنڈی	t͡ʃ ə n ɖ iː
چوڑیوں	t͡ʃ uː ɽ ɪ j õː
چھوڑدیں	t͡ʃʰ oː ɽ d̪ ẽː
چیچک	t͡ʃ iː t͡ʃ ə k
ژاں	ʒ ɑ̃ː
کاحل	k ɑː ɦ ɪ l
کادعوی	k ɑː d̪ ə ʋ iː
کاس	k ɑː s
کاکس	k ɑː k ɪ s
کنوارے	k ə n ʋ ɑː ɾ eː
کوبرا	k oː b ɾ ɑː
کوکو	k oː k oː
گرفتہ	ɡ ə ɾ f ə t̪ ɑ
گریگ	ɡ ə ɾ iː ɡ
گومل	ɡ oː m ə l
گھبرایا	ɡʱ ə b ɾ ɑː j ɑː
ہشت	ɦ ɪ ʃ t̪
ہیڈلی	ɦ eː ɖ l iː
ji	ʒ iː
