the	t e
tramou	t ɾ a m o
trecos	t ɾ ɛ k o s
trigueiro	t ɾ i ɡ e j ɾ o
trilateral	t ɾ i l a t e ɾ a w
tuta	t u t a
ubes	u b e s
vaio	v a j o
veadeiros	v e a d e j ɾ o s
veiculares	v e j k u l a ɾ e s
vere	v ɛ ɾ e
viso	v i z o
viúvos	v i u v o s
waterfront	w ɔ t e ɻ f ɾ õ
weiwei	w e j w e j
wilkie	w i w k i
wushu	w u ʃ u
zaida	z a j d a
zeladores	z e l a d o ɾ e s
zelena	z e l e n a
átrios	a t ɾ i o s
élcio	ɛ w s i o
éra	ɛ ɾ a
abaixarem	a b a j ʃ a ɾ ẽ j̃
abduzida	a b d u z i d a
abilene	a b i l e n e
abraco	a b ɾ a k o
acenam	a s e n ɐ̃ w̃
acendimento	a s ẽ d͡ʒ i m ẽ t o
acompanharão	a k õ p ɐ ɲ a ɾ ɐ̃ w̃
acrescentem	a k ɾ e s ẽ t ẽ j̃
admiral	a d͡ʒ i m i ɾ a w
admirem	a d͡ʒ i m i ɾ ẽ j̃
admitiria	a d͡ʒ i m i t͡ʃ i ɾ i a
aerea	a ɛ ɾ e a
afundadas	a f ũ d a d a s
agacha	a ɡ a ʃ a
agathe	a ɡ a t e
agradasse	a ɡ ɾ a d a s e
ajoelhados	a ʒ o e ʎ a d o s
alii	a l i j
alista	a l i s t a
alvez	a w v e j s
alvi	a w v i
amén	a m ẽ j̃
anciosa	ɐ̃ s i ɔ z a
andri	ɐ̃ d ɾ i
aniquilada	a n i k i l a d a
ansiavam	ɐ̃ s i a v ɐ̃ w̃
antagônicas	ɐ̃ t a ɡ o n i k a s
apadrinhado	a p a d ɾ i ɲ a d o
apagaria	a p a ɡ a ɾ i a
apelativa	a p e l a t͡ʃ i v a
aporta	a p ɔ ɻ t ɐ
apostolo	a p o s t o l o
arabescos	a ɾ a b e s k o s
araçoiaba	a ɾ a s o j a b a
arenosas	a ɾ e n ɔ z a s
ariston	a ɾ i s t õ
arnhem	a ɻ ɲ ẽ j̃
arrecadam	a ʁ e k a d ɐ̃ w̃
articularam	a ɻ t͡ʃ i k u l a ɾ ɐ̃ w̃
ascension	a s ẽ s i õ
aspirando	a s p i ɾ ɐ̃ d o
assessorado	a s e s o ɾ a d o
assimila	a s i m i l a
assiná	a s i n a
asuna	a z u n a
atacadistas	a t a k a d͡ʒ i s t a s
aurelius	a w ɾ e l i w s
avaaz	a v a a j s
avisarem	a v i z a ɾ ẽ j̃
avultadas	a v u w t a d a s
baka	b a k a
balançado	b a l ɐ̃ s a d o
baleeira	b a l e e j ɾ a
berliner	b e ɻ l i n e
bevilaqua	b e v i l a k w a
bichinhas	b i ʃ i ɲ a s
biggie	b i ɡ i
bingos	b ĩ ɡ o s
biscates	b i s k a t e s
bixa	b i ʃ a
blofeld	b l o f ɛ w d͡ʒ
boazuda	b o a z u d a
bombardeiam	b õ b a ɻ d ɛ j ɐ̃ w̃
bomdia	b õ d͡ʒ i a
borghetti	b o ɻ ɡ e t͡ʃ i
borrou	b o ʁ o
bouro	b o w ɾ o
bracinhos	b ɾ a s i ɲ o s
braseiro	b ɾ a z e j ɾ o
brodsky	b ɾ ɔ d͡ʒ i s k i
bromley	b ɾ õ l e j
bua	b u a
bucetão	b u s e t ɐ̃ w̃
buscarei	b u s k a ɾ e j
buss	b u s
byun	b i ũ
calibragem	k a l i b ɾ a ʒ ẽ j̃
cappella	k a p ɛ l a
carrol	k a ʁ ɔ w
cartelas	k a ɻ t ɛ l ɐ s
casoy	k a z o j
centrale	s ẽ t ɾ a l e
cevallos	s e v a l o s
chap	ʃ a p
cientificas	s i ẽ t͡ʃ i f i k a s
cipa	s i p a
civita	s i v i t a
clau	k l a w
cloretos	k l o ɾ e t o s
cocaina	k o k a j n a
cohan	k o ɐ̃
colony	k o l o n i
cometê	k o m e t e
comos	k o m o s
comparecerem	k õ p a ɾ e s e ɾ ẽ j̃
comportaram	k õ p o ɻ t a ɾ ɐ̃ w̃
comprometesse	k õ p ɾ o m e t ɛ s e
concorridas	k õ k o ʁ i d a s
concretize	k õ k ɾ e t͡ʃ i z e
condicionadas	k õ d͡ʒ i s i o n a d a s
condoleezza	k õ d o l e e z a
confiavel	k õ f i a v e w
confirmará	k õ f i ɻ m a ɾ a
congelam	k õ ʒ ɛ l ɐ̃ w̃
conheçamos	k o ɲ e s ɐ m o s
constituírem	k õ s t͡ʃ i t u i ɾ ẽ j̃
construo	k õ s t ɾ u o
corintians	k o ɾ ĩ t͡ʃ i ɐ̃ s
coriolano	k o ɾ i o l ɐ n o
costado	k o s t a d o
costure	k o s t u ɾ e
crank	k ɾ ɐ̃ k e
crater	k ɾ a t e
creighton	k ɾ e j t õ
criaremos	k ɾ i a ɾ e m o s
cruzeirenses	k ɾ u z e j ɾ ẽ s e s
cruzi	k ɾ u z i
cuellar	k u e l a
danes	d ɐ n e s
declina	d e k l i n a
definhando	d e f i ɲ ɐ̃ d o
deflagra	d e f l a ɡ ɾ a
delicinha	d e l i s i ɲ a
delimitam	d e l i m i t ɐ̃ w̃
deportá	d e p o ɻ t a
derrotam	d e ʁ ɔ t ɐ̃ w̃
desbloqueada	d e z b l o k e a d a
descanço	d e s k ɐ̃ s o
descenso	d e s ẽ s o
desejassem	d e z e ʒ a s ẽ j̃
desenvolviam	d e z ĩ v o w v i ɐ̃ w̃
desing	d e z ĩ
desintegra	d e z ĩ t e ɡ ɾ a
desintegrando	d e z ĩ t e ɡ ɾ ɐ̃ d o
desmontados	d e z m õ t a d o s
desonestas	d e z o n ɛ s t a s
desrespeitados	d e z ʁ e s p e j t a d o s
detonaram	d e t o n a ɾ ɐ̃ w̃
difamatórias	d͡ʒ i f a m a t ɔ ɾ i a s
differences	d͡ʒ i f e ɾ ẽ s e s
dilson	d͡ʒ i w s õ
dispare	d͡ʒ i s p a ɾ e
divi	d͡ʒ i v i
edina	e d͡ʒ i n a
efêmeras	e f e m e ɾ a s
elen	e l ẽ j̃
embasada	ĩ b a z a d a
emparelhamento	ĩ p a ɾ e ʎ a m ẽ t o
empatam	ĩ p a t ɐ̃ w̃
encaixasse	ĩ k a j ʃ a s e
encaminhá	ĩ k a m i ɲ a
encerrava	ĩ s e ʁ a v a
encino	ĩ s i n o
endossou	ĩ d o s o
enfeitadas	ĩ f e j t a d a s
engajam	ĩ ɡ a ʒ ɐ̃ w̃
engasgo	ĩ ɡ a z ɡ o
engasgou	ĩ ɡ a z ɡ o
enron	ĩ ʁ õ
ensinarei	ĩ s i n a ɾ e j
entenderemos	ĩ t ẽ d e ɾ e m o s
enterrei	ĩ t e ʁ e j
entregarmos	ĩ t ɾ e ɡ a ɻ m u s
entrância	ĩ t ɾ ɐ̃ s i a
ero	ɛ ɾ o
erradicado	e ʁ a d͡ʒ i k a d o
esboçando	e z b o s ɐ̃ d o
escaravelhos	e s k a ɾ a v e ʎ o s
escavada	e s k a v a d a
escolherão	e s k o ʎ e ɾ ɐ̃ w̃
escoltando	e s k o w t ɐ̃ d o
escovei	e s k o v e j
esgotarem	e z ɡ o t a ɾ ẽ j̃
esperanca	e s p e ɾ ɐ̃ k a
esperá	e s p e ɾ a
estagnou	e s t a ɡ i n o
estatisticas	e s t a t͡ʃ i s t͡ʃ i k a s
estipulados	e s t͡ʃ i p u l a d o s
estofados	e s t o f a d o s
eternizada	e t e ɻ n i z a d ɐ
etnobotânica	e t͡ʃ i n o b o t ɐ n i k a
evasiva	e v a z i v a
evoque	e v ɔ k e
exam	ɛ k s ɐ̃ w̃
excelencia	e s e l ẽ s i a
exorcist	e z o ɻ s i s t͡ʃ
expedientes	e s p e d͡ʒ i ẽ t e s
explicaremos	e s p l i k a ɾ e m o s
exploratório	e s p l o ɾ a t ɔ ɾ i o
exímia	e z i m i a
fais	f a j s
fanboy	f ɐ̃ b o j
fane	f ɐ n e
fardamento	f a ɻ d a m ẽ t u
fassa	f a s a
fence	f ẽ s e
fenólicos	f e n ɔ l i k o s
ficaadica	f i k a a d͡ʒ i k a
fisiologista	f i z i o l o ʒ i s t a
floors	f l u ɻ s
fodona	f o d o n a
forced	f o ɻ s e d͡ʒ
formosas	f o ɻ m ɔ z ɐ s
forra	f o ʁ a
gaffney	ɡ a f i n e j
gasodutos	ɡ a z o d u t o s
genésio	ʒ e n ɛ z i o
goalball	ɡ o a w b ɔ w
gog	ɡ ɔ ɡ e
gotinhas	ɡ o t͡ʃ i ɲ a s
gou	ɡ o
graduais	ɡ ɾ a d u a j s
grammar	ɡ ɾ a m a
granma	ɡ ɾ ɐ̃ m a
gro	ɡ ɾ o
grossenses	ɡ ɾ o s ẽ s e s
grémio	ɡ ɾ ɛ m i o
günther	ɡ ũ t e ɻ
hangover	ɐ̃ ɡ o v e
hansel	ɐ̃ s ɛ w
hasbro	a z b ɾ o
hells	ɛ w s
hermès	e ɻ m ɛ j s
hina	i n a
hokuto	o k u t o
hoquei	o k e j
ibiapina	i b i a p i n a
igo	i ɡ o
iludam	i l u d ɐ̃ w̃
implícitos	ĩ p l i s i t o s
impugnada	ĩ p u ɡ i n a d a
imunossupressores	i m u n o s u p ɾ e s o ɾ e s
imágenes	i m a ʒ e n e s
inabilitação	i n a b i l i t a s ɐ̃ w̃
incentivadas	ĩ s ẽ t͡ʃ i v a d a s
incluidos	ĩ k l u j d o s
indelicada	ĩ d e l i k a d a
indicarem	ĩ d͡ʒ i k a ɾ ẽ j̃
inferências	ĩ f e ɾ ẽ s i a s
infringido	ĩ f ɾ ĩ ʒ i d o
inoperantes	i n o p e ɾ ɐ̃ t e s
integrador	ĩ t e ɡ ɾ a d o ɻ
intercontinentais	ĩ t e ɾ k õ t͡ʃ i n ẽ t a j s
intermédias	ĩ t e ɻ m ɛ d͡ʒ i ɐ s
interseções	ĩ t e ɻ s e s õ j̃ s
intimidadora	ĩ t͡ʃ i m i d a d o ɾ a
inu	i n u
invadisse	ĩ v a d͡ʒ i s e
invited	ĩ v i t e d͡ʒ
isos	i z o s
ista	i s t a
jennette	ʒ e n ɛ t e
json	ʒ i s õ
jumanji	ʒ u m ɐ̃ ʒ i
kana	k ɐ n a
karting	k a ɻ t͡ʃ ĩ
kazuma	k a z u m a
kimble	k ĩ b l e
klum	k l ũ
kotler	k o t l e
kpop	k e p ɔ p e
laminados	l a m i n a d o s
laminas	l a m i n a s
lamparinas	l ɐ̃ p a ɾ i n a s
lani	l a n i
latinoamericanos	l a t͡ʃ i n o a m e ɾ i k ɐ n o s
latrinas	l a t ɾ i n a s
layers	l e j e ɻ s
legitimada	l e ʒ i t͡ʃ i m a d a
legíveis	l e ʒ i v e j s
lencinhos	l ẽ s i ɲ o s
liberia	l i b e ɾ i a
libertina	l i b e ɻ t͡ʃ ĩ n ɐ
lidem	l i d ẽ j̃
linfática	l ĩ f a t͡ʃ i k a
listam	l i s t ɐ̃ w̃
locadoras	l o k a d o ɾ a s
looked	l u k e d͡ʒ i
lucasfilm	l u k a s f i w m
lulla	l u l a
lum	l ũ
lutarão	l u t a ɾ ɐ̃ w̃
lévy	l ɛ v i
lídice	l i d͡ʒ i s e
macao	m a k a w
maitre	m a j t ɾ e
malaria	m a l a ɾ i a
mamie	m a m i
marble	m a ɻ b l i
masjid	m a z ʒ i d͡ʒ
mastologista	m a s t o l o ʒ i s t a
matariam	m a t a ɾ i ɐ̃ w̃
maternais	m a t e ɻ n a j s
mazza	m a z a
mercantilismo	m e ɻ k ɐ̃ t͡ʃ i l i z m u
metalizado	m e t a l i z a d o
meteste	m e t ɛ s t e
militarizada	m i l i t a ɾ i z a d a
mirada	m i ɾ a d a
mishra	m i ʃ ɾ a
mobiles	m o b i l e s
moscatel	m o s k a t ɛ w
moídos	m o i d o s
mraz	m ɾ a j s
mug	m u ɡ e
multiplos	m u w t͡ʃ i p l o s
mundialização	m ũ d͡ʒ i a l i z a s ɐ̃ w̃
mungo	m ũ ɡ o
murnau	m u ɻ n a w
nagato	n a ɡ a t o
namu	n a m u
nanette	n a n ɛ t e
nanna	n ɐ n a
neutralizada	n e w t ɾ a l i z a d a
neutron	n e w t ɾ õ
neutrões	n e w t ɾ õ j̃ s
nevers	n e v e ɻ s
nicolle	n i k ɔ l e
nomura	n o m u ɾ a
norbit	n o ɻ b i t͡ʃ
nóvoa	n ɔ v o a
obedecerem	o b e d e s e ɾ ẽ j̃
objects	o b i ʒ ɛ k i t͡ʃ i s
odiasse	o d͡ʒ i a s e
oleaginosas	o l e a ʒ i n ɔ z a s
organized	o ɻ ɡ a n i z e d͡ʒ
oxóssi	o k s ɔ s i
panturrilhas	p ɐ̃ t u ʁ i ʎ a s
paraa	p a ɾ a a
paribas	p a ɾ i b a s
parobé	p a ɾ o b ɛ
partenon	p a ɻ t e n õ
particulado	p a ɻ t͡ʃ i k u l a d u
partiremos	p a ɻ t͡ʃ i ɾ ẽ m u s
patacas	p a t a k a s
patrao	p a t ɾ a w
pecaram	p e k a ɾ ɐ̃ w̃
peeling	p i l ĩ
pendragon	p ẽ d ɾ a ɡ õ
pensantes	p ẽ s ɐ̃ t e s
pepito	p e p i t o
percorriam	p e ɻ k o ʁ i ɐ̃ w̃
perdoava	p e ɻ d o a v ɐ
perolas	p e ɾ ɔ l a s
perpassa	p e ɻ p a s ɐ
petrova	p e t ɾ ɔ v a
piorarem	p i o ɾ a ɾ ẽ j̃
pipes	p i p e s
pisquei	p i s k e j
polinômios	p o l i n o m i o s
povoam	p o v o ɐ̃ w̃
precedidas	p ɾ e s e d͡ʒ i d a s
predito	p ɾ e d͡ʒ i t o
predominando	p ɾ e d o m i n ɐ̃ d o
predominou	p ɾ e d o m i n o
preparasse	p ɾ e p a ɾ a s e
presenciada	p ɾ e z ẽ s i a d a
presilhas	p ɾ e z i ʎ a s
prestigia	p ɾ e s t͡ʃ i ʒ i a
pretendidos	p ɾ e t ẽ d͡ʒ i d o s
privataria	p ɾ i v a t a ɾ i a
progridem	p ɾ o ɡ ɾ i d ẽ j̃
pronunciados	p ɾ o n ũ s i a d o s
prosas	p ɾ ɔ z a s
protagonizam	p ɾ o t a ɡ o n i z ɐ̃ w̃
pródiga	p ɾ ɔ d͡ʒ i ɡ a
quattro	k w a t ɾ o
questionem	k e s t͡ʃ i o n ẽ j̃
quicar	k i k a
quigley	k i ɡ l e j
rab	ʁ a b e
rabin	ʁ a b ĩ
raisa	ʁ a j z a
rale	ʁ a l e
ralei	ʁ a l e j
raríssima	ʁ a ɾ i s i m a
rashad	ʁ a ʃ a d͡ʒ
rbc	ɛ ʁ b e s e
reacende	ʁ e a s ẽ d e
recapturado	ʁ e k a p i t u ɾ a d u
reclamante	ʁ e k l a m ɐ̃ t e
recordistas	ʁ e k o ɻ d͡ʒ i s t ɐ s
redirecionamentos	ʁ e d͡ʒ i ɾ e s i o n a m ẽ t o s
redublagem	ʁ e d u b l a ʒ ẽ j̃
refuge	ʁ e f u ʒ e
refutada	ʁ e f u t a d a
relacionamos	ʁ e l a s i o n ɐ m o s
relegada	ʁ e l e ɡ a d a
reservava	ʁ e z e ɻ v a v ɐ
restituído	ʁ e s t͡ʃ i t u i d o
retardadas	ʁ e t a ɻ d a d ɐ s
retiraria	ʁ e t͡ʃ i ɾ a ɾ i a
retroviral	ʁ e t ɾ o v i ɾ a w
retráteis	ʁ e t ɾ a t e j s
revidaram	ʁ e v i d a ɾ ɐ̃ w̃
riomar	ʁ i o m a
rit	ʁ i t͡ʃ
robos	ʁ ɔ b o s
robóticas	ʁ o b ɔ t͡ʃ i k a s
roldanas	ʁ o w d ɐ n a s
rondava	ʁ õ d a v a
rupias	ʁ u p i a s
rémy	ʁ ɛ m i
sabra	s a b ɾ a
sacrificial	s a k ɾ i f i s i a w
sanepar	s a n e p a
sarai	s a ɾ a j
saram	s a ɾ ɐ̃ w̃
sarandon	s a ɾ ɐ̃ d õ
sarracenos	s a ʁ a s e n o s
saves	s a v e s
sazonalidade	s a z o n a l i d a d e
segal	s e ɡ a w
selamento	s e l a m ẽ t o
semânticos	s e m ɐ̃ t͡ʃ i k o s
shuriken	ʃ u ɾ i k ẽ j̃
silvânia	s i w v ɐ n i a
simpatizam	s ĩ p a t͡ʃ i z ɐ̃ w̃
sistémica	s i s t ɛ m i k a
sofreriam	s o f ɾ e ɾ i ɐ̃ w̃
sogipa	s o ʒ i p a
soi	s o j
somavam	s o m a v ɐ̃ w̃
sonhas	s o ɲ a s
spassky	i s p a s k i
speck	i s p ɛ k e
splits	i s p l i t͡ʃ i s
stanhope	i s t ɐ ɲ ɔ p e
strategies	i s t ɾ a t e ʒ i e s
subornado	s u b o ɻ n a d u
substituírem	s u b i s t͡ʃ i t u i ɾ ẽ j̃
subtropicais	s u b i t ɾ o p i k a j s
sufoque	s u f ɔ k e
sujeitando	s u ʒ e j t ɐ̃ d o
sulley	s u l e j
superestimada	s u p e ɾ e s t͡ʃ i m a d a
suportaram	s u p o ɻ t a ɾ ɐ̃ w̃
suprindo	s u p ɾ ĩ d o
surpreenderá	s u ɻ p ɾ e ẽ d e ɾ a
taffarel	t a f a ɾ ɛ w
tapou	t a p o
tasmania	t a z m a n i a
tbc	t e b e s e
tenderão	t ẽ d e ɾ ɐ̃ w̃
ticiane	t͡ʃ i s i ɐ n e
tissue	t͡ʃ i s u e
tolerava	t o l e ɾ a v a
tonino	t o n i n o
tonéis	t o n ɛ j s
toots	t u t͡ʃ i s
trancafiado	t ɾ ɐ̃ k a f i a d o
trinidade	t ɾ i n i d a d e
trá	t ɾ a
tubagens	t u b a ʒ ẽ j̃ s
tull	t u w
turin	t u ɾ ĩ
turistico	t u ɾ i s t͡ʃ i k o
turras	t u ʁ a s
uema	u e m a
ufop	u f ɔ p e
unisse	u n i s e
urbanizada	u ɻ b a n i z a d ɐ
ute	u t e
vacilei	v a s i l e j
vagou	v a ɡ o
valim	v a l ĩ
vazam	v a z ɐ̃ w̃
venezia	v e n e z i a
ventrículos	v ẽ t ɾ i k u l o s
venturini	v ẽ t u ɾ i n i
vilmar	v i w m a
virilhas	v i ɾ i ʎ a s
vistorias	v i s t o ɾ i a s
visualizaram	v i z u a l i z a ɾ ɐ̃ w̃
volpe	v ɔ w p e
vozão	v o z ɐ̃ w̃
wando	w ɐ̃ d o
wellcome	w ɛ w k o m e
wilco	w i w k o
wisdom	w i z d õ
yuji	j u ʒ i
yura	j u ɾ a
zacharias	z a ʃ a ɾ i a s
zaratustra	z a ɾ a t u s t ɾ a
zeladora	z e l a d o ɾ a
zerou	z e ɾ o
zumbidos	z ũ b i d o s
ávalos	a v a l o s
ésteres	ɛ s t e ɾ e s
aaf	a a f
abastecia	a b a s t e s i a
abobrinhas	a b o b ɾ i ɲ a s
abrandou	a b ɾ ɐ̃ d o
abrangia	a b ɾ ɐ̃ ʒ i a
acacia	a k a s i a
aceitarei	a s e j t a ɾ e j
aceleradora	a s e l e ɾ a d o ɾ a
aconselhamos	a k õ s e ʎ ɐ m o s
acrobática	a k ɾ o b a t͡ʃ i k a
adail	a d a j w
adesivas	a d e z i v a s
adivinhações	a d͡ʒ i v i ɲ a s õ j̃ s
adjetiva	a d͡ʒ i ʒ e t͡ʃ i v a
admitirem	a d͡ʒ i m i t͡ʃ i ɾ ẽ j̃
afligem	a f l i ʒ ẽ j̃
afundava	a f ũ d a v a
agostino	a ɡ o s t͡ʃ i n o
agravados	a ɡ ɾ a v a d o s
aguá	a ɡ w a
ahahaha	a a a
ajeite	a ʒ e j t e
alastrando	a l a s t ɾ ɐ̃ d o
aldemir	a w d e m i
aliam	a l i ɐ̃ w̃
alitalia	a l i t a l i a
alteraria	a w t e ɾ a ɾ i a
amell	a m ɛ w
amenizou	a m e n i z o
amityville	a m i t͡ʃ i v i l e
amtrak	ɐ̃ t ɾ a k e
andover	ɐ̃ d o v e
andrucha	ɐ̃ d ɾ u ʃ a
antagônicos	ɐ̃ t a ɡ o n i k o s
aparento	a p a ɾ ẽ t o
aperfeiçoados	a p e ɻ f e j s o a d u s
aprendizagens	a p ɾ ẽ d͡ʒ i z a ʒ ẽ j̃ s
apressadas	a p ɾ e s a d a s
aprovisionamento	a p ɾ o v i z i o n a m ẽ t o
apure	a p u ɾ e
aquarium	a k w a ɾ i ũ
ardenas	a ɻ d ẽ n ɐ s
arenosos	a ɾ e n o z o s
arlo	a ɻ l u
arrasados	a ʁ a z a d o s
arrecadamos	a ʁ e k a d ɐ m o s
ascenderam	a s ẽ d e ɾ ɐ̃ w̃
asfixiada	a s f i k s i a d a
asfixiado	a s f i k s i a d o
atlantico	a t l ɐ̃ t͡ʃ i k o
autografou	a w t o ɡ ɾ a f o
avaliadora	a v a l i a d o ɾ a
avistando	a v i s t ɐ̃ d o
baru	b a ɾ u
barómetro	b a ɾ ɔ m e t ɾ o
baseavam	b a z e a v ɐ̃ w̃
batizei	b a t͡ʃ i z e j
beltran	b e w t ɾ ɐ̃
betti	b ɛ t͡ʃ i
bimbo	b ĩ b o
biotech	b i o t ɛ ʃ
bjão	b i ʒ ɐ̃ w̃
bnb	b e ɛ n b e
bolando	b o l ɐ̃ d o
bonfá	b õ f a
brontë	b ɾ õ t e
bússolas	b u s o l a s
cabrália	k a b ɾ a l i a
caddy	k a d͡ʒ i
cafézinho	k a f ɛ z i ɲ o
calçadista	k a w s a d͡ʒ i s t a
canary	k a n a ɾ i
candidatarem	k ɐ̃ d͡ʒ i d a t a ɾ ẽ j̃
caracterizaram	k a ɾ a k i t e ɾ i z a ɾ ɐ̃ w̃
caraúbas	k a ɾ a u b a s
carburadores	k a ɻ b u ɾ a d o ɾ i s
carin	k a ɾ ĩ
carolinas	k a ɾ o l i n a s
castaño	k a s t a ɲ o
categorizados	k a t e ɡ o ɾ i z a d o s
causariam	k a w z a ɾ i ɐ̃ w̃
ceifou	s e j f o
cetonas	s e t o n a s
chaveamento	ʃ a v e a m ẽ t o
chemistry	ʃ e m i s t ɾ i
chequer	ʃ e k e
chim	ʃ ĩ
cir	s i
circunscrito	s i ɻ k ũ s k ɾ i t u
circunvizinhas	s i ɻ k ũ v i z ĩ ɲ ɐ s
claflin	k l a f l ĩ
clamava	k l a m a v a
classicamente	k l a s i k a m ẽ t e
clever	k l e v e
clicou	k l i k o
cobraria	k o b ɾ a ɾ i a
cogito	k o ʒ i t o
colonizaram	k o l o n i z a ɾ ɐ̃ w̃
coloquemos	k o l o k e m o s
comparecia	k õ p a ɾ e s i a
compleição	k õ p l e j s ɐ̃ w̃
comportadas	k õ p o ɻ t a d ɐ s
compôr	k õ p o ɻ
concentramos	k õ s ẽ t ɾ ɐ m o s
confirmaria	k õ f i ɻ m a ɾ i ɐ
coniventes	k o n i v ẽ t e s
constrangidos	k õ s t ɾ ɐ̃ ʒ i d o s
consumam	k õ s u m ɐ̃ w̃
convocava	k õ v o k a v a
cordovil	k o ɻ d o v i w
corpse	k ɔ ɻ p i s i
costurados	k o s t u ɾ a d o s
cranberries	k ɾ ɐ̃ b e ʁ i e s
cravadas	k ɾ a v a d a s
cronin	k ɾ o n ĩ
culo	k u l o
cursinhos	k u ɻ s ĩ ɲ u s
cuzões	k u z õ j̃ s
cód	k ɔ d͡ʒ
daia	d a j a
damen	d a m ẽ j̃
dancin	d ɐ̃ s ĩ
daum	d a ũ
dawg	d a w ɡ e
debruçam	d e b ɾ u s ɐ̃ w̃
deduzi	d e d u z i
defronta	d e f ɾ õ t a
demostrando	d e m o s t ɾ ɐ̃ d o
deniz	d e n i s
denotando	d e n o t ɐ̃ d o
deposta	d e p ɔ s t a
desacreditá	d e z a k ɾ e d͡ʒ i t a
desbancando	d e z b ɐ̃ k ɐ̃ d o
desconheciam	d e s k o ɲ e s i ɐ̃ w̃
descontinuada	d e s k õ t͡ʃ i n u a d a
descrevo	d e s k ɾ e v o
descritivas	d e s k ɾ i t͡ʃ i v a s
desimpedidos	d e z ĩ p e d͡ʒ i d o s
desrespeitada	d e z ʁ e s p e j t a d a
desvanece	d e z v a n ɛ s e
detalham	d e t a ʎ ɐ̃ w̃
detetor	d e t e t o ɻ
difficult	d͡ʒ i f i k u w t͡ʃ
digere	d͡ʒ i ʒ ɛ ɾ e
diminuísse	d͡ʒ i m i n u i s e
diplomatic	d͡ʒ i p l o m a t͡ʃ i k
dirigíveis	d͡ʒ i ɾ i ʒ i v e j s
discriminam	d͡ʒ i s k ɾ i m i n ɐ̃ w̃
distorceu	d͡ʒ i s t o ɻ s e w
distribuidos	d͡ʒ i s t ɾ i b u j d o s
dla	d l a
dobrei	d o b ɾ e j
doutorou	d o t o ɾ o
dov	d ɔ v e
dragonball	d ɾ a ɡ õ b ɔ w
duni	d u n i
dynamo	d͡ʒ i n ɐ m o
ecoaram	e k o a ɾ ɐ̃ w̃
edta	ɛ d͡ʒ i t a
efetuaram	e f e t u a ɾ ɐ̃ w̃
eiger	e j ʒ e
eliel	e l i ɛ w
elmano	e w m ɐ n o
embarcamos	ĩ b a ɻ k ɐ̃ m u s
empunha	ĩ p u ɲ a
encaixes	ĩ k a j ʃ e s
encarece	ĩ k a ɾ ɛ s e
encerramentos	ĩ s e ʁ a m ẽ t o s
encerrarem	ĩ s e ʁ a ɾ ẽ j̃
engenhosos	ĩ ʒ e ɲ o z o s
engravidando	ĩ ɡ ɾ a v i d ɐ̃ d o
enquadrou	ĩ k w a d ɾ o
enrugado	ĩ ʁ u ɡ a d o
ensaiei	ĩ s a j e j
ensopada	ĩ s o p a d a
entregassem	ĩ t ɾ e ɡ a s ẽ j̃
entretando	ĩ t ɾ e t ɐ̃ d o
entusiasmadas	ĩ t u z i a z m a d a s
enumerados	e n u m e ɾ a d o s
enviesada	ĩ v i e z a d a
enésima	e n ɛ z i m a
epico	e p i k o
eran	e ɾ ɐ̃
eritrócitos	e ɾ i t ɾ ɔ s i t o s
escutadas	e s k u t a d a s
estilização	e s t͡ʃ i l i z a s ɐ̃ w̃
estridentes	e s t ɾ i d ẽ t e s
estudaria	e s t u d a ɾ i a
evaporado	e v a p o ɾ a d o
evasivas	e v a z i v a s
excelsa	e s ɛ w s a
exclusões	e s k l u z õ j̃ s
expandidos	e s p ɐ̃ d͡ʒ i d o s
expele	e s p ɛ l e
explorei	e s p l o ɾ e j
expropriado	e s p ɾ o p ɾ i a d o
exs	ɛ k s
fahad	f a a d͡ʒ
fartou	f a ɻ t o
federada	f e d e ɾ a d a
federadas	f e d e ɾ a d a s
festejada	f e s t e ʒ a d a
flair	f l a i
fontinha	f õ t͡ʃ i ɲ a
fortificados	f o ɻ t͡ʃ i f i k a d u s
fowl	f o w
franciscanas	f ɾ ɐ̃ s i s k ɐ n a s
frantz	f ɾ ɐ̃ t͡ʃ i s
fujitsu	f u ʒ i t͡ʃ i s u
gaguinho	ɡ a ɡ i ɲ o
galicia	ɡ a l i s i a
garrafais	ɡ a ʁ a f a j s
gaylord	ɡ e j l ɔ ɻ d͡ʒ i
gelato	ʒ e l a t o
gemeos	ʒ e m e o s
geno	ʒ e n o
genovese	ʒ e n o v ɛ z e
geum	ʒ e ũ
gli	ɡ l i
gorongosa	ɡ o ɾ õ ɡ ɔ z a
gozamos	ɡ o z ɐ m o s
gpus	ɡ e p u j s
grantham	ɡ ɾ ɐ̃ t ɐ̃ w̃
guaraqueçaba	ɡ w a ɾ a k e s a b a
gueixas	ɡ e j ʃ a s
guilt	ɡ i w t͡ʃ
guima	ɡ i m a
gummy	ɡ ũ m i
hacienda	a s i ẽ d a
hakan	a k ɐ̃
hayate	a j a t e
hedda	ɛ d a
heuer	e w e
hitchens	i t͡ʃ ẽ j̃ s
holger	o w ʒ e
holman	o w m ɐ̃
héroes	ɛ ɾ o e s
ibanez	i b a n e j s
icom	i k õ
ige	i ʒ e
imaginasse	i m a ʒ i n a s e
inalcançáveis	i n a w k ɐ̃ s a v e j s
inesquecivel	i n e s k e s i v e w
