να	n a
επιστ	e p i s t
επώνυμουσ	e p o n i m u s
ερευνήσουν	e ɾ e v n i s u n
ερωτευθεί	e ɾ o t e f θ i
εστειλα	e s t i l a
ετοιμοθάνατοσ	e t i m o θ a n a t o s
ευλογιά	e v l o ʝ a
εύασ	e v a s
ζυγίζουν	z i ʝ i z u n
ηλιοστάσιο	i ʎ o s t a s i o
ηρεμήσουμε	i ɾ e m i s u m e
ηρωασ	i ɾ o a s
θαυμαστά	θ a v m a s t a
θελήσετε	θ e l i s e t e
θησείο	θ i s i o
θρεπτική	θ ɾ e p t i c i
θύελλασ	θ i e l a s
ιπποδύναμη	i p o ð i n a m i
ιρλανδούσ	i ɾ l a n ð u s
ισάριθμεσ	i s a ɾ i θ m e s
ισλανδίασ	i s l a n ð i a s
ισραηλινέσ	i s ɾ a i l i n e s
κάνασ	k a n a s
κάρπαθοσ	k a ɾ p a θ o s
κάρφωμα	k a ɾ f o m a
κέντημα	c e n d i m a
κήρυξαν	c i ɾ i k s a n
καθίσουν	k a θ i s u n
καθιστούσε	k a θ i s t u s e
καθρέπτεσ	k a θ ɾ e p t e s
καθυστερήσουν	k a θ i s t e ɾ i s u n
καθόσον	k a θ o s o n
καινήσ	c e n i s
καλοι	k a l i
καλοκαιρινόσ	k a l o c e ɾ i n o s
καλούδια	k a l u ð ʝ a
καλυτερεσ	k a l i t e ɾ e s
καλωσορίσατε	k a l o s o ɾ i s a t e
καμίνια	k a m i ɲ a
καμηλοπάρδαλη	k a m i l o p a ɾ ð a l i
καμπήσ	k a m b i s
κανάρια	k a n a ɾ ʝ a
κανών	k a n o n
καρυέσ	k a ɾ i e s
καστοριασ	k a s t o ɾ ʝ a s
κατάλληλησ	k a t a l i l i s
κατάφερναν	k a t a f e ɾ n a n
κατέβουμε	k a t e v u m e
κατακλυσμό	k a t a k l i z m o
καταστημα	k a t a s t i m a
κατεβήκαμε	k a t e v i k a m e
κατεδαφίσεισ	k a t e ð a f i s i s
καυκάσου	k a f k a s u
καυστικό	k a f s t i k o
κεραμικών	c e ɾ a m i k o n
κερασμένο	c e ɾ a z m e n o
κλίκα	k l i k a
κνωσού	k n o s u
κοζανη	k o z a n i
κουκλοθέατρο	k u k l o θ e a t ɾ o
κούκοσ	k u k o s
κρόκο	k ɾ o k o
κρύψου	k ɾ i p s u
κόλλησεσ	k o l i s e s
κόνι	k o n i
κύλινδροι	c i l i n ð ɾ i
λέγαν	l e ɣ a n
λίαμ	l i a m
λενόρ	l e n o ɾ
λιβ	l i v
λουτρών	l u t ɾ o n
λυκούδησ	l i k u ð i s
λόπεσ	l o p e s
μέριμνασ	m e ɾ i m n a s
μίσθωσησ	m i s θ o s i s
μανωλάσ	m a n o l a s
ματα	m a t a
μαχαιρώνει	m a ç e ɾ o n i
μεθύσεισ	m e θ i s i s
μειωση	m i o s i
μελετούσε	m e l e t u s e
μελισσανίδη	m e l i s a n i ð i
μεσολαβεί	m e s o l a v i
μεσοποταμίασ	m e s o p o t a m i a s
μεσοχώρι	m e s o x o ɾ i
μεταγενέστερο	m e t a ʝ e n e s t e ɾ o
μετατέθηκε	m e t a t e θ i c e
μεταφράστηκε	m e t a f ɾ a s t i c e
μεταχειρισμένα	m e t a ç i ɾ i z m e n a
μετείχε	m e t i ç e
μητρότητα	m i t ɾ o t i t a
μικτών	m i k t o n
μνημονεύει	m n i m o n e v i
μοναστηρίου	m o n a s t i ɾ i u
μοναχά	m o n a x a
μοσούλη	m o s u l i
μπακού	b a k u
νερα	n e ɾ a
νευρικών	n e v ɾ i k o n
νικάσ	n i k a s
νοικοκυριού	n i k o c i ɾ ʝ u
ντάουν	d a u n
ντύθηκε	d i θ i c e
ξέρξη	k s e ɾ k s i
ξανθη	k s a n θ i
ξηρέσ	k s i ɾ e s
ξυπνάμε	k s i p n a m e
ξυπνούσε	k s i p n u s e
οικονομικων	i k o n o m i k o n
ολυμπίου	o l i m b i u
οξύμωρο	o k s i m o ɾ o
πάν	p a n
πάρησ	p a ɾ i s
πάρθηκαν	p a ɾ θ i k a n
πέταγε	p e t a ʝ e
πίθηκοσ	p i θ i k o s
παγκορασίδων	p a ŋ ɡ o ɾ a s i ð o n
παθιασμένη	p a θ ç a z m e n i
παθιασμένο	p a θ ç a z m e n o
πακιστανοί	p a c i s t a n i
παλαιολόγοσ	p a l e o l o ɣ o s
παράσχοσ	p a ɾ a s x o s
παραδεχτείτε	p a ɾ a ð e x t i t e
παρεμβάσεων	p a ɾ e ɱ v a s e o n
παροτρύνει	p a ɾ o t ɾ i n i
παρόρμηση	p a ɾ o ɾ m i s i
πατρί	p a t ɾ i
πατριωτών	p a t ɾ i o t o n
πεντάλ	p e n d a l
περιορίστηκαν	p e ɾ i o ɾ i s t i k a n
περσινά	p e ɾ s i n a
πεταχτώ	p e t a x t o
πετρωμάτων	p e t ɾ o m a t o n
πετυχημένα	p e t i ç i m e n a
πητ	p i t
πλαισιώνουν	p l e s i o n u n
πλασματική	p l a z m a t i c i
πλατωνική	p l a t o n i c i
πληρεξούσιο	p l i ɾ e k s u s i o
ποδηλατικό	p o ð i l a t i k o
πολυεθνικήσ	p o l i e θ n i c i s
πολύχρωμεσ	p o l i x ɾ o m e s
ποντάρουν	p o n d a ɾ u n
πορτογάλοι	p o ɾ t o ɣ a l i
πραγματικότητεσ	p ɾ a ɣ m a t i k o t i t e s
πρεβέζησ	p ɾ e v e z i s
προκήρυξησ	p ɾ o c i ɾ i k s i s
προπαντόσ	p ɾ o p a n d o s
προπαρασκευή	p ɾ o p a ɾ a s c e v i
προσβάλλονται	p ɾ o z v a l o n d e
προσφυγήσ	p ɾ o s f i ʝ i s
προσφυγιάσ	p ɾ o s f i ʝ a s
προϋπολογισμούσ	p ɾ o i p o l o ʝ i z m u s
πτωτική	p t o t i c i
πυθία	p i θ i a
πυριτίου	p i ɾ i t i u
ράγκναρ	ɾ a ŋ ɡ n a ɾ
ρίκι	ɾ i c i
ρίψεισ	ɾ i p s i s
ρεμπέτικου	ɾ e m b e t i k u
ρουά	ɾ u a
ρούπελ	ɾ u p e l
ρυθμιστήσ	ɾ i θ m i s t i s
σαλέ	s a l e
σαμάνθα	s a m a n θ a
σαχτάρ	s a x t a ɾ
σβεν	z v e n
σεβαστώ	s e v a s t o
σεμιναρίων	s e m i n a ɾ i o n
σεξουαλικού	s e k s u a l i k u
σεξουαλικότητασ	s e k s u a l i k o t i t a s
σηκώνονται	s i k o n o n d e
σκεφθεί	s c e f θ i
σκοτεινού	s k o t i n u
σολομώντα	s o l o m o n d a
σπέρνουν	s p e ɾ n u n
σπιθαμή	s p i θ a m i
στέρησησ	s t e ɾ i s i s
στείρα	s t i ɾ a
στεγάσει	s t e ɣ a s i
στεφθεί	s t e f θ i
στηριζόταν	s t i ɾ i z o t a n
στηριχθεί	s t i ɾ i x θ i
στρατολόγηση	s t ɾ a t o l o ʝ i s i
στρατου	s t ɾ a t u
στύλ	s t i l
συγκεντρωτικά	s i ŋ ɟ e n d ɾ o t i k a
συγκυβερνήτη	s i ŋ ɟ i v e ɾ n i t i
συμμαχικέσ	s i m a ç i c e s
συνάφεια	s i n a f i a
συνδρομητική	s i n ð ɾ o m i t i c i
συνδυαστεί	s i n ð i a s t i
συνηθίσω	s i n i θ i s o
συντηρούν	s i n d i ɾ u n
συντηρούνται	s i n d i ɾ u n d e
συνόδων	s i n o ð o n
σχημάτισε	s ç i m a t i s e
σχολαστικόσ	s x o l a s t i k o s
τελικοσ	t e l i k o s
τεν	t e n
τερματικά	t e ɾ m a t i k a
τζέρικο	d͡z e ɾ i k o
τζουμέρκα	d͡z u m e ɾ k a
τηλεφωνούν	t i l e f o n u n
τιτανικό	t i t a n i k o
τμηματικά	t m i m a t i k a
τονωτικό	t o n o t i k o
τοπίων	t o p i o n
τρέχαμε	t ɾ e x a m e
τρίβεισ	t ɾ i v i s
τρελών	t ɾ e l o n
τριμελούσ	t ɾ i m e l u s
τροφοδοτούν	t ɾ o f o ð o t u n
τσικ	t͡s i k
τσιμπήματα	t͡s i m b i m a t a
τσιπσ	t͡s i p s
υβριδική	i v ɾ i ð i c i
υπενθυμίζεται	i p e n θ i m i z e t e
υπερφορολόγηση	i p e ɾ f o ɾ o l o ʝ i s i
υποβάλουν	i p o v a l u n
υποδείξει	i p o ð i k s i
υποθετω	i p o θ e t o
υποκρίνεσαι	i p o k ɾ i n e s e
υπολογιστη	i p o l o ʝ i s t i
υπομονη	i p o m o n i
υποστηρικτικό	i p o s t i ɾ i k t i k o
υποσχόμενο	i p o s x o m e n o
υποφέρετε	i p o f e ɾ e t e
υποχρέωσησ	i p o x ɾ e o s i s
φάρμεσ	f a ɾ m e s
φαντασμάτων	f a n d a z m a t o n
φαω	f a o
φιλανθρωπικού	f i l a n θ ɾ o p i k u
φιλοσοφίεσ	f i l o s o f i e s
φορτώνουν	f o ɾ t o n u n
φόρτο	f o ɾ t o
χαλκίδοσ	x a l c i ð o s
χαμογελάσει	x a m o ʝ e l a s i
χαμογελαστόσ	x a m o ʝ e l a s t o s
χαρακτηρισθεί	x a ɾ a k t i ɾ i s θ i
χειραφέτηση	ç i ɾ a f e t i s i
χορεύετε	x o ɾ e v e t e
χριστοδουλόπουλοσ	x ɾ i s t o ð u l o p u l o s
χρυσών	x ɾ i s o n
χωρά	x o ɾ a
χόλι	x o l i
χώματοσ	x o m a t o s
ψυχαγωγικό	p s i x a ɣ o ʝ i k o
ψύχοσ	p s i x o s
όξινο	o k s i n o
όργουελ	o ɾ ɣ u e l
όρμα	o ɾ m a
άθικτη	a θ i k t i
άνγκουσ	a ŋ ɡ u s
άσπροσ	a s p ɾ o s
άσχετουσ	a s ç e t u s
έκαμε	e k a m e
έκτακτων	e k t a k t o n
έλι	e l i
έλισ	e l i s
έμερσον	e m e ɾ s o n
έντερα	e n d e ɾ a
έφθανε	e f θ a n e
έχωσε	e x o s e
αβέβαιη	a v e v e i
αβλαβήσ	a v l a v i s
αγαπήθηκε	a ɣ a p i θ i c e
αγελάδων	a ʝ e l a ð o n
αγενείσ	a ʝ e n i s
αγρια	a ɣ ɾ i a
αγροικία	a ɣ ɾ i c i a
αγωνίστρια	a ɣ o n i s t ɾ i a
αεροβόλο	a e ɾ o v o l o
αθηναία	a θ i n e a
αισθανθείσ	e s θ a n θ i s
ακροατή	a k ɾ o a t i
αλέξισ	a l e k s i s
αλεξίπτωτα	a l e k s i p t o t a
αλιβερίου	a l i v e ɾ i u
αμαρτήματα	a m a ɾ t i m a t a
ανέθεσαν	a n e θ e s a n
αναδύονται	a n a ð i o n d e
αναζωογόνησησ	a n a z o o ɣ o n i s i s
ανανεώθηκε	a n a n e o θ i c e
αναπάντεχη	a n a p a n d e ç i
αναπτυγμένεσ	a n a p t i ɣ m e n e s
ανατολικόσ	a n a t o l i k o s
ανεβάζουμε	a n e v a z u m e
ανεβασμένη	a n e v a z m e n i
ανεξέλεγκτα	a n e k s e l e ŋ ɡ t a
ανεπίσημο	a n e p i s i m o
ανθρωπιστικό	a n θ ɾ o p i s t i k o
ανισότητασ	a n i s o t i t a s
αντικαταστήσουμε	a n d i k a t a s t i s u m e
αντόν	a n d o n
ανώτατων	a n o t a t o n
αξιωματούχου	a k s i o m a t u x u
απέσπασαν	a p e s p a s a n
απέφερε	a p e f e ɾ e
απαιτούμενεσ	a p e t u m e n e s
απεργια	a p e ɾ ʝ a
απεργούσ	a p e ɾ ɣ u s
αποδειξη	a p o ð i k s i
απολύει	a p o l i i
απολύμανση	a p o l i m a n s i
απομακρύνεσαι	a p o m a k ɾ i n e s e
αποστολάκησ	a p o s t o l a c i s
αποτύχεισ	a p o t i ç i s
απούσα	a p u s a
απρόσκοπτη	a p ɾ o s k o p t i
απόλυσή	a p o l i s i
αρμοστεία	a ɾ m o s t i a
αυτοκτόνησαν	a f t o k t o n i s a n
αυτοφώρω	a f t o f o ɾ o
αυτόνομου	a f t o n o m u
αφησεσ	a f i s e s
αφοσιωθεί	a f o s i o θ i
αφρόσ	a f ɾ o s
βάγια	v a ʝ a
βάλια	v a ʎ a
βάρνα	v a ɾ n a
βαθμολογικού	v a θ m o l o ʝ i k u
βαμβακερό	v a ɱ v a c e ɾ o
βασανιστικά	v a s a n i s t i k a
βιντεάκια	v i n d e a c a
βλέφαρα	v l e f a ɾ a
βουλευτικών	v u l e f t i k o n
βράβευσησ	v ɾ a v e f s i s
βραδινά	v ɾ a ð i n a
βυθόσ	v i θ o s
βύθισε	v i θ i s e
γέννασ	ʝ e n a s
γέννημα	ʝ e n i m a
γαλέρα	ɣ a l e ɾ a
γαμηθείσ	ɣ a m i θ i s
γαργαλιάνων	ɣ a ɾ ɣ a ʎ a n o n
γενετικών	ʝ e n e t i k o n
γενικούσ	ʝ e n i k u s
γεννημένοι	ʝ e n i m e n i
γκερέρο	ɟ e ɾ e ɾ o
γραμμικά	ɣ ɾ a m i k a
γραμμικήσ	ɣ ɾ a m i c i s
γρανάδα	ɣ ɾ a n a ð a
γυαλια	ʝ a ʎ a
γυρεύοντασ	ʝ i ɾ e v o n d a s
γυρισε	ʝ i ɾ i s e
δένδρου	ð e n ð ɾ u
δήμευση	ð i m e f s i
δαγκώσω	ð a ŋ ɡ o s o
δακτυλίου	ð a k t i l i u
δεινόσ	ð i n o s
δεσμευμένη	ð e z m e v m e n i
δηλητηρίασε	ð i l i t i ɾ i a s e
δηλώθηκε	ð i l o θ i c e
δημογραφικά	ð i m o ɣ ɾ a f i k a
δημοκράτησ	ð i m o k ɾ a t i s
δημοσίευσή	ð i m o s i e f s i
δημοσιευμένα	ð i m o s i e v m e n a
διαμορφώνοντασ	ð i̯ a m o ɾ f o n o n d a s
διαπραγματευτήσ	ð i̯ a p ɾ a ɣ m a t e f t i s
διαφημιστέσ	ð i̯ a f i m i s t e s
διερμηνέασ	ð i e ɾ m i n e a s
διευρυμένο	ð i e v ɾ i m e n o
δικαιωθεί	ð i c e o θ i
δινεισ	ð i n i s
διομήδη	ð i o m i ð i
διχασμένη	ð i x a z m e n i
δογμάτων	ð o ɣ m a t o n
δομοκού	ð o m o k u
δράσουμε	ð ɾ a s u m e
δραπέτεσ	ð ɾ a p e t e s
δραπετεύει	ð ɾ a p e t e v i
δρασεισ	ð ɾ a s i s
δριμεία	ð ɾ i m i a
δυνατού	ð i n a t u
δυσανεξία	ð i s a n e k s i a
δωρητέσ	ð o ɾ i t e s
εγγύησησ	e ŋ ɟ i i s i s
εγκατεστημένη	e ŋ ɡ a t e s t i m e n i
εδωσεσ	e ð o s e s
εθνοσυνέλευση	e θ n o s i n e l e f s i
ειμασταν	i m a s t a n
εκδηλωσεισ	e k ð i l o s i s
εκλείψεισ	e k l i p s i s
εκπόνησε	e k p o n i s e
εκτιμηση	e k t i m i s i
εμανουέλ	e m a n u e l
εμπλακούν	e m b l a k u n
εμφύτευμα	e ɱ f i t e v m a
εναπόθεση	e n a p o θ e s i
εναρμόνιση	e n a ɾ m o n i s i
ενεργειακών	e n e ɾ ʝ i a k o n
ενισχυτή	e n i s ç i t i
ενσαρκώνει	e n s a ɾ k o n i
ενσωματώθηκε	e n s o m a t o θ i c e
ενωτική	e n o t i c i
ενώθηκε	e n o θ i c e
εξέθεσε	e k s e θ e s e
εξέλεξε	e k s e l e k s e
εξαγγελία	e k s a ŋ ɟ e l i a
εξερευνά	e k s e ɾ e v n a
εξησ	e k s i s
εορταστική	e o ɾ t a s t i c i
επαναλαμβανόμενο	e p a n a l a ɱ v a n o m e n o
επιβλαβή	e p i v l a v i
επιδεικνύοντασ	e p i ð i k n i o n d a s
επιδοτήσεων	e p i ð o t i s e o n
επιθετικούσ	e p i θ e t i k u s
επισημάνσεισ	e p i s i m a n s i s
επισημαίνοντασ	e p i s i m e n o n d a s
επισκεφθούν	e p i s c e f θ u n
επισκόπων	e p i s k o p o n
επιφυλακτικόσ	e p i f i l a k t i k o s
εργοδοτών	e ɾ ɣ o ð o t o n
εσκανα	e s k a n a
εσωρούχων	e s o ɾ u x o n
ευα	e v a
ευγενούσ	e v ʝ e n u s
ζαλόγγου	z a l o ŋ ɡ u
ζησει	z i s i
ηλεκτρομαγνητικήσ	i l e k t ɾ o m a ɣ n i t i c i s
ημιτελικόσ	i m i t e l i k o s
θανατηφόροσ	θ a n a t i f o ɾ o s
θεμέλιοσ	θ e m e ʎ o s
θερμικό	θ e ɾ m i k o
θεσπίστηκε	θ e s p i s t i c e
θετικούσ	θ e t i k u s
θύμισεσ	θ i m i s e s
ιακωβίδησ	i a k o v i ð i s
ιδανικού	i ð a n i k u
ιεραποστολικό	i e ɾ a p o s t o l i k o
ικανοποίησε	i k a n o p i i s e
ιρανικό	i ɾ a n i k o
ιρλανδικό	i ɾ l a n ð i k o
κήλη	c i l i
καινούριου	c e n u ɾ ʝ u
κακοποιών	k a k o p i o n
κακουργημάτων	k a k u ɾ ʝ i m a t o n
καμάρεσ	k a m a ɾ e s
καριόλησ	k a ɾ ʝ o l i s
κασετίνα	k a s e t i n a
κατερινα	k a t e ɾ i n a
κατευθυνση	k a t e f θ i n s i
κατώτερων	k a t o t e ɾ o n
κελιών	c e ʎ o n
κεφαλαιαγοράσ	c e f a l e a ɣ o ɾ a s
κεφαλλονιάσ	c e f a l o ɲ a s
κηρύχθηκε	c i ɾ i x θ i c e
κλασικοί	k l a s i c i
κλονισμό	k l o n i z m o
κοιλότητασ	c i l o t i t a s
κοινωνικοποίηση	c i n o n i k o p i i s i
κοιτασ	c i t a s
κολινδρού	k o l i n ð ɾ u
κολλαγόνου	k o l a ɣ o n u
κορόιδευαν	k o ɾ o i̯ ð e v a n
κουφέτα	k u f e t a
κούρσεσ	k u ɾ s e s
κρεβατάκι	k ɾ e v a t a c i
κυνισμό	c i n i z m o
κυρίαρχων	c i ɾ i a ɾ x o n
κόπα	k o p a
κόφι	k o f i
λάβαρα	l a v a ɾ a
λάζαρου	l a z a ɾ u
λήθησ	l i θ i s
λαθη	l a θ i
λακτόζη	l a k t o z i
λεκανοπεδίου	l e k a n o p e ð i u
λιγνίτη	l i ɣ n i t i
λιμένασ	l i m e n a s
λογοτεχνικού	l o ɣ o t e x n i k u
λόγον	l o ɣ o n
μάγειρεσ	m a ʝ i ɾ e s
μίκα	m i k a
μίου	m i u
μακαρίτησ	m a k a ɾ i t i s
μανόλη	m a n o l i
μαρμαρά	m a ɾ m a ɾ a
μαρξισμού	m a ɾ k s i z m u
μελι	m e l i
μελισσανίδησ	m e l i s a n i ð i s
μεμονωμένη	m e m o n o m e n i
μενου	m e n u
μεταβίβασησ	m e t a v i v a s i s
μετακινήσεων	m e t a c i n i s e o n
μετρήστε	m e t ɾ i s t e
μιχαλολιάκου	m i x a l o ʎ a k u
μοτέλ	m o t e l
μπέζοσ	b e z o s
μπανάνασ	b a n a n a s
μπενίτο	b e n i t o
μπηκε	b i c e
μπράνσον	b ɾ a n s o n
μπό	b o
ναύτη	n a f t i
νεοελληνικών	n e o e l i n i k o n
νεοφιλελευθερισμόσ	n e o f i l e l e f θ e ɾ i z m o s
νικήσετε	n i c i s e t e
νοσηλευτική	n o s i l e f t i c i
νοσηλευτών	n o s i l e f t o n
νοτιοανατολικό	n o t i o a n a t o l i k o
νταλ	d a l
νυχτικό	n i x t i k o
νόμιμοι	n o m i m i
νόμιμουσ	n o m i m u s
ξέμεινα	k s e m i n a
ξανακάνεισ	k s a n a k a n i s
ξανακάνουμε	k s a n a k a n u m e
ξεκούραστη	k s e k u ɾ a s t i
ξυπνάνε	k s i p n a n e
ξυπνούν	k s i p n u n
οθονη	o θ o n i
οιδίποδα	i ð i p o ð a
ομοιόμορφο	o m i o m o ɾ f o
ομολογούν	o m o l o ɣ u n
ονομαστικήσ	o n o m a s t i c i s
οπλισμένοσ	o p l i z m e n o s
οποίαν	o p i a n
ουροποιητικού	u ɾ o p i i t i k u
οχυρών	o ç i ɾ o n
πάντρεψε	p a n d ɾ e p s e
πάτμου	p a t m u
παιρνουν	p e ɾ n u n
πανεπιστημιακήσ	p a n e p i s t i m i a c i s
παντρεμένεσ	p a n d ɾ e m e n e s
παράφραση	p a ɾ a f ɾ a s i
παραιτήσου	p a ɾ e t i s u
παραμορφώσεισ	p a ɾ a m o ɾ f o s i s
παχυσαρκίασ	p a ç i s a ɾ c i a s
πεζά	p e z a
πελατειακό	p e l a t i a k o
περιλαμβάνοντασ	p e ɾ i l a ɱ v a n o n d a s
περιορίσουμε	p e ɾ i o ɾ i s u m e
περισσό	p e ɾ i s o
πετυχημένεσ	p e t i ç i m e n e s
πιγκουίνοι	p i ŋ ɡ u i n i
πιν	p i n
πιστοποιείται	p i s t o p i i t e
πιστού	p i s t u
πιστώσεισ	p i s t o s i s
πλέξιμο	p l e k s i m o
πλέσσα	p l e s a
πλαισίων	p l e s i o n
πλεκτό	p l e k t o
πλοια	p l i a
πνίγονται	p n i ɣ o n d e
ποιηση	p i i s i
ποιμένασ	p i m e n a s
πονούν	p o n u n
ποντιακού	p o n d i a k u
ποντιακό	p o n d i a k o
ποσοτικά	p o s o t i k a
προεδρικού	p ɾ o e ð ɾ i k u
προεδρου	p ɾ o e ð ɾ u
προληπτικό	p ɾ o l i p t i k o
προσβάσιμα	p ɾ o z v a s i m a
προσιτή	p ɾ o s i t i
προστάτευσε	p ɾ o s t a t e f s e
προσχώρησε	p ɾ o s x o ɾ i s e
προσωπικοί	p ɾ o s o p i c i
προτιμήστε	p ɾ o t i m i s t e
προφητών	p ɾ o f i t o n
προφυλακτήρα	p ɾ o f i l a k t i ɾ a
προχωρήστε	p ɾ o x o ɾ i s t e
πρωινήσ	p ɾ o i n i s
πρωτεία	p ɾ o t i a
πρωτοεμφανίστηκε	p ɾ o t o e ɱ f a n i s t i c e
πρόβαλε	p ɾ o v a l e
πτωση	p t o s i
πυκνέσ	p i k n e s
πωληθεί	p o l i θ i
πόθουσ	p o θ u s
πόλου	p o l u
ράλλησ	ɾ a l i s
ρίχνεται	ɾ i x n e t e
ραδιενεργά	ɾ a ð i e n e ɾ ɣ a
ριτζ	ɾ i d͡z
ρομαντικοί	ɾ o m a n d i c i
σάμερ	s a m e ɾ
σερβική	s e ɾ v i c i
σημαδέψει	s i m a ð e p s i
σημασίεσ	s i m a s i e s
σκέτα	s c e t a
σκήνωμα	s c i n o m a
σκιέρ	s c e ɾ
σκληρότητασ	s k l i ɾ o t i t a s
σμήνη	z m i n i
σοκαρισμένοσ	s o k a ɾ i z m e n o s
σουέζ	s u e z
σουγιά	s u ʝ a
στήνεται	s t i n e t e
σταματίνα	s t a m a t i n a
στεγνώσουν	s t e ɣ n o s u n
στερλίνεσ	s t e ɾ l i n e s
στεφ	s t e f
στρίψω	s t ɾ i p s o
στραμμένη	s t ɾ a m e n i
στροσ	s t ɾ o s
στρυμόνα	s t ɾ i m o n a
συμβατικών	s i ɱ v a t i k o n
συμβουλεύουν	s i ɱ v u l e v u n
συμμετείχα	s i m e t i x a
συμπληρώσεισ	s i m b l i ɾ o s i s
συμφωνούσαν	s i ɱ f o n u s a n
συνδέσουμε	s i n ð e s u m e
συνθηκολόγηση	s i n θ i k o l o ʝ i s i
συνοδευτικά	s i n o ð e f t i k a
συνοδευόμενο	s i n o ð e v o m e n o
συσσώρευσησ	s i s o ɾ e f s i s
σφακιανάκη	s f a c a n a c i
σχηματίστηκαν	s ç i m a t i s t i k a n
σωματοφύλακασ	s o m a t o f i l a k a s
σύγγραμμα	s i ŋ ɣ r a m a
σύνδρομα	s i n ð ɾ o m a
σώβρακο	s o v ɾ a k o
τάπεσ	t a p e s
τάπητοσ	t a p i t o s
ταε	t a e
τζιτζικώστασ	d͡z i d͡z i k o s t a s
τζολί	d͡z o l i
τζούλιουσ	d͡z u ʎ u s
τηρηθεί	t i ɾ i θ i
τιμούρ	t i m u ɾ
τιτανικού	t i t a n i k u
τιφλίδασ	t i f l i ð a s
τοποθετήσουν	t o p o θ e t i s u n
τουρκοκύπριουσ	t u ɾ k o c i p ɾ i u s
τράκαρε	t ɾ a k a ɾ e
τραγανό	t ɾ a ɣ a n o
τραγουδήσουν	t ɾ a ɣ u ð i s u n
τριλογίασ	t ɾ i l o ʝ i a s
τριχών	t ɾ i x o n
υπέρμαχοι	i p e ɾ m a ç i
υπαλληλων	i p a l i l o n
υπεξαίρεση	i p e k s e ɾ e s i
υπερήρωεσ	i p e ɾ i ɾ o e s
υπερφυσικέσ	i p e ɾ f i s i c e s
υπηρετούσαν	i p i ɾ e t u s a n
υποκριτικό	i p o k ɾ i t i k o
υπολείπονται	i p o l i p o n d e
υποψήφιου	i p o p s i f i u
υπόκρουση	i p o k ɾ u s i
υψώνει	i p s o n i
φάρμασ	f a ɾ m a s
φανταζομαι	f a n d a z o m e
φαρμακα	f a ɾ m a k a
φιλενάδεσ	f i l e n a ð e s
φλεγμονήσ	f l e ɣ m o n i s
φορτισμένο	f o ɾ t i z m e n o
φουσκάλεσ	f u s k a l e s
φροντίζοντασ	f ɾ o n d i z o n d a s
φυλακίσεισ	f i l a c i s i s
φυσιογνωμίεσ	f i s i o ɣ n o m i e s
φώτισε	f o t i s e
χορο	x o ɾ o
χτένα	x t e n a
χωρίσετε	x o ɾ i s e t e
χωρικόσ	x o ɾ i k o s
χόκινσ	x o c i n s
ψαρι	p s a ɾ i
ψιλοκομμένο	p s i l o k o m e n o
ωπ	o p
ωπα	o p a
άπιαστο	a p ç a s t o
άσκοπη	a s k o p i
άσχετεσ	a s ç e t e s
άτυπα	a t i p a
έγκαιρησ	e ŋ ɟ e ɾ i s
έγκατα	e ŋ ɡ a t a
έδεσμα	e ð e z m a
έκλειψησ	e k l i p s i s
ένστικτό	e n s t i k t o
έπλυνα	e p l i n a
έτερον	e t e ɾ o n
αίαντα	e a n d a
αγαπήσουμε	a ɣ a p i s u m e
αθωότητά	a θ o o t i t a
αθώωση	a θ o o s i
αισθησιακή	e s θ i s i a c i
αιφνιδίασε	e f n i ð i a s e
αιχμηρά	e x m i ɾ a
ακολουθιών	a k o l u θ ç o n
αλεξάνδρειο	a l e k s a n ð ɾ i o
αλληλεγγυησ	a l i l e ŋ ɟ i i s
αμαρτωλόσ	a m a ɾ t o l o s
ανάργυροι	a n a ɾ ʝ i ɾ i
ανάρρωσησ	a n a ɾ o s i s
ανάστημά	a n a s t i m a
αναβίωσε	a n a v i o s e
αναγνωστάκησ	a n a ɣ n o s t a c i s
ανακοινώνοντασ	a n a c i n o n o n d a s
ανακοινώσουν	a n a c i n o s u n
αναλύσεων	a n a l i s e o n
ανανεωθεί	a n a n e o θ i
αναστείλει	a n a s t i l i
ανατρέπεται	a n a t ɾ e p e t e
αναφερόμενεσ	a n a f e ɾ o m e n e s
αναφερόμενο	a n a f e ɾ o m e n o
ανεβάζεισ	a n e v a z i s
ανεβάσετε	a n e v a s e t e
ανεπιθύμητο	a n e p i θ i m i t o
ανταλλακτικό	a n d a l a k t i k o
αντιπροσωπευτικά	a n d i p ɾ o s o p e f t i k a
αξιοθαύμαστο	a k s i o θ a v m a s t o
αξιολογεί	a k s i o l o ʝ i
αορτήσ	a o ɾ t i s
απαίσιο	a p e s i o
απείχε	a p i ç e
απελευθερωθούν	a p e l e f θ e ɾ o θ u n
απενεργοποίηση	a p e n e ɾ ɣ o p i i s i
απεχθάνεται	a p e x θ a n e t e
απογειώνεται	a p o ʝ i o n e t e
αποδόσεων	a p o ð o s e o n
αποκαταστήσουμε	a p o k a t a s t i s u m e
αποσπώντασ	a p o s p o n d a s
αποσταλεί	a p o s t a l i
αποτελεσματικότητά	a p o t e l e z m a t i k o t i t a
αποφάνθηκε	a p o f a n θ i c e
απόκρυφα	a p o k ɾ i f a
αρεσκείασ	a ɾ e s c i a s
αρτασ	a ɾ t a s
αρχαιοελληνικό	a ɾ ç e o e l i n i k o
ασημακοπούλου	a s i m a k o p u l u
