af	a f
elastisk	e l a s t i s k
ellie	ɛ l j ə
enderne	ɛ n ə r n ə
erasmus	e r a s m u s
eyeliner	a j ə l iː n ə r
filosoffer	f i l o s ɔ f ə r
forbandelsen	f ɔ r b a n ə l s ə n
fordamper	f ɔ r d a m p ə r
fordøje	f ɔ r d ø j ə
fortegnelse	f ɔ r t a j n ə l s ə
fortrin	f ɔ r t r iː n
frozen	f r oː s ə n
fyldig	f y l d i
fællestræk	f ɛ l ə s t r ɛ k
genialitet	ɡ e n i a l i t eː t
geologi	ɡ e o l o ɡ iː
giftstoffer	ɡ i f t s t ɔ f ə r
gilmore	ɡ i l m oː r ə
gitter	ɡ i t ə r
gras	ɡ r aː s
grimmeste	ɡ r e m ə s t ə
gudinden	ɡ u d e n ə n
gys	ɡ yː s
gårdene	ɡ ɔ r d ə n ə
hangar	h a n ɡ a r
hastig	h a s t i
helse	h ɛ l s ə
hykleri	h y k l ə r iː
hylderne	h y l ə r n ə
hyper	h y p ə r
hyppigste	h y p i s t ə
hætten	h ɛ t ə n
idrætscenter	i d r ɛ t s ɛ n t ə r
igangsættelse	i ɡ a n ɡ s ɛ t ə l s ə
ihærdig	i h ɛ r d i
indsætter	e n s ɛ t ə r
indtast	e n t a s t
israelere	i s r a ɛ l eː r ə
jaffa	j a f a
janni	j a n i
jog	j ɔ ɡ
kamma	k a m a
karakteristik	k a r a k t e r i s t i k
kattene	k a t ə n ə
kims	k e m s
klude	k l uː d ə
kofoed	k o f oː ə ð
krigsskib	k r iː s s k iː b
kryber	k r yː b ə r
kæle	k ɛː l ə
legitimation	l ɛ ɡ i t i m a ɕ oˀ n
lir	l iː r
livssyn	l i v s s yː n
logikken	l o ɡ i k ə n
læres	l ɛː r ə s
madrassen	m a d r a s ə n
manddrab	m a n d r aː b
medtage	m e d t aː ɡ ə
metaforer	m e t a f oː r ə r
metallisk	m e t a l i s k
migration	m i ɡ r a ɕ oˀ n
mort	m ɔ r t
motorola	m o t o r oː l a
naja	n a j a
napoleons	n a p o l e ɔ n s
nappe	n a p ə
naturkatastrofer	n a t u r k a t a s t r oː f ə r
ophidsede	ɔ p h i d s ə ð ə
oplader	ɔ p l aː d ə r
organismen	ɔ r ɡ a n i s m ə n
organist	ɔ r ɡ a n i s t
overtræde	ɔ v ə r t r ɛː ð ə
overvægtig	ɔ v ə r v ɛ ɡ t i
parsons	p a r s ɔ n s
passagen	p a s aː ɣ ə n
persisk	p ɛ r s i s k
pillen	p e l ə n
provst	p r ɔ v s t
pu	p uːˀ
rengøre	r ɛ n ɡ øː r ə
repræsentantskab	r ɛ p r ɛ s ə n t a n s k aː b
results	r e s u l t s
ripley	r i p l i
ryddes	r y ð ə s
samtidens	s a m t i d ɛ n s
sapiens	s a p i ɛ n s
scala	s k aː l a
skærmene	s k ɛ r m ə n ə
skøde	s k øː ð ə
snude	s n uː d ə
sommerlejr	s ɔ m ə r l a jˀ r
sorterer	s ɔ r t eː r ə r
spiritualitet	s p i r i t u a l i t eː t
sprække	s p r ɛ k ə
staven	s t aː v ə n
stimuli	s t i m u l iː
strengere	s t r ɛ n ɡ eː r ə
stuer	s t uː ə r
suit	s u i t
suttede	s u t ə ð ə
sutton	s u t ɔ n
svaneke	s v aː n ə k ə
talks	t a l k s
tia	t iː a
tildeler	t e l ə l ə r
tilfører	t e l f øː r ə r
trilogi	t r i l o ɡ iː
udslettelse	u d s l ɛ t ə l s ə
ufødte	u f ø t ə
vaughn	v a vˀ n
veranda	v ɛ r a n d a
worm	v ɔ r m
yorker	j ɔ r k ə r
øren	øː r ə n
øse	øː s ə
aflæses	a f l ɛː s ə s
afløbet	a f l øː b ə ð
appellerer	a p ə l eː r ə r
bakspejlet	b a k s p a j l ə ð
bankmand	b a n k m a n d
beans	b e a n s
beskyt	b e s k y t
bjælke	b j ɛ l k ə
boysen	b ø j s ə n
brøndbys	b r œ n b yː s
buffer	b o f ə r
børnebørnene	b œ r n ə b œ r n ə n ə
cafeer	k a f eː ə r
celta	s ɛ l t a
cock	k ɔ k
comp	k ɔ m p
diplomuddannelse	d i p l o m u d a n ə l s ə
dolores	d o l oː r ə s
doom	d oː m
drikken	d r e k ə n
dværgene	d v ɛ r ɣ ə n ə
dynamit	d y n a m i t
ejendommene	a j ə n d ɔ m ə n ə
eksperimentelle	ɛ k s p ɛ r i m ə n t ɛ l ə
erika	eː r i k a
erin	e r iː n
ett	ɛ t
fabler	f aː b l ə r
falsters	f a l s t ə r s
finansministeren	f i n a n s m i n i s t eː r ə n
firben	f i r b eː n
fist	f e s t
flamingo	f l a m e n ɡ o
flyvepladsen	f l yː v ə p l a s ə n
forfængelighed	f ɔ r f ɛ n ɡ ə l i h e ðˀ
forfører	f ɔ r f øː r ə r
forlangt	f ɔ r l a n ɡ t
forlægger	f ɔ r l ɛ ɡ ə r
forsvars	f ɔ r s v a r s
fostret	f ɔ s t r ɛ t
frisøren	f r i s øː r ə n
førere	f ø r eː r ə
gaard	ɡ ɔː r
gage	ɡ aː ɡ ə
gamble	ɡ a m b l ə
generobre	ɡ e n ə r oː b r ə
genève	ɡ e n ɛː v ə
glasgow	ɡ l a s ɡ ɔ w
glukose	ɡ l u k oː s ə
grammatiske	ɡ r a m aː t i s k ə
grøfter	ɡ r œ f t ə r
guinness	ɡ i n ə s
hakkede	h a k ə ð ə
heler	h eː l ə r
hulerne	h uː l ə r n ə
humanistisk	h u m a n i s t i s k
hvalen	v aː l ə n
hylster	h y l s t ə r
immun	e m uː n
installationen	e n s t a l a ɕ oˀ n ə n
irl	i r l
irriterede	i r i t eː r ə ð ə
jomfruen	j ɔ m f r uː ə n
jung	j o n ɡ
justine	j u s t iː n ə
kapgang	k a p ɡ a n ɡ
kendall	k ɛ n d a l
keys	k ø j s
kirkelig	k i r k ə l i
klargøre	k l a r ɡ øː r ə
kloakken	k l o a k ə n
klostre	k l ɔ s t r ə
kol	k ɔ l
komikeren	k o m i k eː r ə n
konsol	k ɔ n s ɔ l
krydses	k r y s ə s
kulturminister	k u l t u r m i n i s t ə r
kvadratkilometer	k v a d r a t k i l o m eː t ə r
kønnet	k œ n ə ð
lage	l aː ɣ ə
lamperne	l a m p ə r n ə
langå	l a n ɡ ɔ
latinsk	l a t iː n s k
leone	l e oː n ə
ligegyldige	l iː ə ɡ y l d i ə
ligesindede	l iː ə s e n ə ð ə
lilian	l i l j aː n
lofter	l ɔ f t ə r
læsse	l ɛ s ə
manges	m a n ɡ ə s
margit	m a r ɡ i t
masserne	m a s ə r n ə
matteo	m a t eː o
minedrift	m iː n ə d r e f t
morales	m o r aː l ə s
motorcyklen	m o t ɔ r s y k l ə n
målgruppen	m ɔ l ɡ r o p ə n
nak	n a k
nybyggeri	n y b ø ɡ ə r iː
nøjedes	n ø j ə ð ə s
officererne	ɔ f i s eː r ə r n ə
overenskomster	ɔ v ə r ə n s k ɔ m s t ə r
parcelhuse	p a r s ə l h uː s ə
patrik	p a t r e k
patruljen	p a t r u l j ə n
pavillon	p a v i l ɔ n
pizzaer	p i t s aː ə r
plukket	p l o k ə ð
pod	p o d
posthus	p ɔ s t h uː s
psykopat	s y k o p aː t
rappe	r a p ə
reaktoren	r e a k t oː r ə n
regnbuen	r a j n b uː ə n
rejsemål	r a j s ə m ɔː l
reklamere	r ɛ k l a m eː r ə
relax	r e l a k s
riga	r iː ɡ a
rigtignok	r e k t i n ɔ k
risk	r e s k
romer	r oː m ə r
sandaler	s a n d aː l ə r
sandstrande	s a n s t r a n ə
sejlere	s a j l eː r ə
sick	s e k
silo	s i l o
skabende	s k aː b ə n ə
skaftet	s k a f t ə ð
skeer	s k eː ə r
skinnede	s k e n ə ð ə
skotte	s k ɔ t ə
skåner	s k ɔː n ə r
smertefrit	s m ɛ r t ə f r i t
sommervarmen	s ɔ m ə r v a r m ə n
spundet	s p o n ə ð
spærregrænsen	s p ɛ r ə ɡ r ɛ n s ə n
stands	s t a n s
styrk	s t y r k
sultan	s u l t aː n
svinder	s v e n ə r
søndersø	s ø n ə r s øː
temmeligt	t ɛ m ə l i t
tilsendt	t e l s ɛ n t
tools	t oː l s
tori	t o r i
trioen	t r i oː ə n
trøjborg	t r ø j b ɔ r ɡ
tvivlen	t v i v l ə n
udregne	u d r a j n ə
une	uː n ə
vaffel	v a f ə l
vampyren	v a m p yː r ə n
vattenfall	v a t ə n f a l
videreførelse	v iː ð ə r ə f øː r ə l s ə
wanna	v a n a
webber	v ɛ b ə r
wolff	v ɔ l f
åbyhøj	ɔ b y h ø j
østrigsk	ø s t r iː s k
afløste	a f l ø s t ə
aftage	a f t aː ɡ ə
aku	a k u
alain	a l a iː n
animerede	a n i m eː r ə ð ə
ansvarsområder	a n s v a r s ɔ m r ɔː d ə r
antologi	a n t o l o ɡ iː
arvelige	a r v ə l iː ə
babser	b a p s ə r
bebrejde	b e b r a j d ə
bekræft	b e k r ɛ f t
belyser	b e l yː s ə r
beordre	b e ɔ r d r ə
bernhard	b ɛ r n h a rˀ d
betalende	b e t aː l ə n ə
blindhed	b l e n h e ðˀ
bloker	b l oː k ə r
blokkene	b l ɔ k ə n ə
borgeren	b ɔ r ɡ eː r ə n
bos	b oː s
bp	b eː p eː
bryant	b r y a n t
bu	b uːˀ
buckingham	b o k e n ɡ h a m
bundne	b o n ə
butter	b u t ə r
carlisle	k a r l i s l ə
centralen	s ɛ n t r aː l ə n
cicero	s i s eː r o
conway	k ɔ n v æ j
corp	k ɔ r p
cx	s e k s
danmarkshistoriens	d a n m a r k s h i s t o r i ɛ n s
davy	d a v yː
delstat	d ɛ l s t a t
dillon	d i l ɔ n
drifter	d r e f t ə r
drillede	d r e l ə ð ə
duftende	d o f t ə n ə
eventen	ɛ v ɛ n t ə n
fabrikanten	f a b r i k a n t ə n
ferm	f ɛ r m
fibrene	f i b r eː n ə
finesse	f i n ɛ s ə
flager	f l aː ɣ ə r
flyttekasser	f l ø t ə k a s ə r
flået	f l ɔːˀ ə ð
forbrændt	f ɔ r b r ɛ n t
fordømmer	f ɔ r d œ m ə r
formidabel	f ɔ r m i d aː b ə l
forræder	f ɔ r ɛː d ə r
forældremyndighed	f ɔ r ɛ l d r ə m ø n d i h e ðˀ
fraråder	f r a r ɔː d ə r
frigøres	f r i ɡ øː r ə s
fucke	f o k ə
færde	f ɛ r d ə
førsteplads	f œ r s t ə p l a s
gis	ɡ iː s
gløder	ɡ l øː d ə r
gnavere	ɡ n a v eː r ə
gymnasiale	ɡ y m n a s j aː l ə
gyserfilm	ɡ yː s ə r f i l m
hannover	h a n ɔ v ə r
haren	h aː r ə n
hep	h eː p
hide	h iː ð ə
hjalte	j a l t ə
hjørnespark	j œ r n ə s p a r k
holberg	h ɔ l b ɛ r ɡ
holds	h ɔ l s
hvilende	v iː l ə n ə
hydrauliske	h y d r a w l i s k ə
høstede	h ø s t ə ð ə
igangsatte	i ɡ a n ɡ s a t ə
indlægges	e n l ɛ ɡ ə s
indsende	e n s ɛ n ə
indskrænket	e n s k r ɛ n k ə ð
isolerer	i s o l eː r ə r
jehovas	j e h oː v a s
jus	j uː s
jøden	j øː ð ə n
kasernen	k a s ɛ r n ə n
kegle	k a j l ə
kendetegnes	k ɛ n ə t a j n ə s
komfortabel	k ɔ m f ɔ r t aː b ə l
komiske	k o m i s k ə
kongerne	k ɔ n ɡ ə r n ə
kruger	k r uː ə r
kulturhistorisk	k u l t u r h i s t oː r i s k
kvaler	k v aː l ə r
kvikke	k v e k ə
lamb	l a m b
latino	l a t iː n o
liva	l iː v a
lukketid	l o k ə t i ðˀ
lunden	l o n ə n
maskerne	m a s k ə r n ə
melody	m e l o d yː
monique	m o n i k ə
morse	m ɔ r s ə
mortens	m ɔ r t ə n s
multiple	m u l t i p l ə
mærkbart	m ɛ r k b a r t
nadver	n a ð v ə r
natklubber	n a t k l o b ə r
næbbet	n ɛ b ə ð
opgives	ɔ p ɡ iː v ə s
overtal	ɔ v ə r t aː l
oxygen	ɔ k s yː ə n
palme	p a l m ə
perron	p ɛ r ɔ n
pigge	p e ɡ ə
plov	p l ɔ v
polio	p o l j o
postet	p ɔ s t ə ð
products	p r o d o k t s
profeter	p r o f eː t ə r
prædikener	p r ɛ d i k ə n ə r
præmisser	p r ɛ m i s ə r
roskildes	r o s k i l ə s
rov	r ɔ v
rynket	r ø n k ə ð
røverne	r øː v ə r n ə
skattely	s k a t ə l yː
skovtur	s k ɔ v t uː r
skægt	s k ɛ k t
skænker	s k ɛ n k ə r
slynger	s l ø n ɡ ə r
sonde	s ɔ n ə
sortiment	s ɔ r t i m ɛ n t
speedy	s p iː d y
spejlbillede	s p a j l b e l ə ð ə
spotter	s p ɔ t ə r
startup	s t a r t u p
stokke	s t ɔ k ə
strengen	s t r ɛ n ɡ ə n
tamponer	t a m p oː n ə r
topform	t ɔ p f ɔ r m
tramper	t r a m p ə r
tsunami	t s u n a m iː
tyvende	t yː v ə n ə
tøsen	t øː s ə n
ug	uːˀ
units	u n i t s
upopulære	u p o p u l ɛː r ə
usammenhængende	u s a m ə n h ɛ n ɡ ə n ə
utæt	u t ɛ t
vampire	v a m p iː r ə
vandhuller	v a n h u l ə r
veloplagt	v e l ɔ p l a ɡ t
vogte	v ɔ k t ə
væmmeligt	v ɛ m ə l i t
walther	v a l t ə r
weir	v a jˀ r
xerxes	k s ɛ r k s ə s
ældes	ɛ l ə s
æsker	ɛ s k ə r
afklare	a f k l aː r ə
aftenshowet	a f d ə n s h ɔ w ə ð
aida	a j d a
ansvarsområde	a n s v a r s ɔ m r ɔː ð ə
aroma	a r oː m a
asa	aː s a
astro	a s t r oː
astrup	a s t r u p
barlow	b a r l ɔ w
begæret	b e ɡ ɛː r ə ð
berlins	b ɛ r l e n s
bernstein	b ɛ r n s t a jˀ n
bif	b iː f
brændevin	b r ɛ n ə v iː n
bøden	b øː ð ə n
defekte	d e f ɛ k t ə
dion	d i oː n
drivkraften	d r i v k r a f t ə n
eksperimenterer	ɛ k s p ɛ r i m ɛ n t eː r ə r
elver	ɛ l v ə r
endeløs	ɛ n ə l øː s
enghavevej	ɛ n ɡ h aː v ə v a j
etagers	e t aː ɣ ə r s
faire	f ɛː r ə
farens	f a r ɛ n s
felicia	f e l i s j a
fisket	f e s k ə ð
fjollede	f j ɔ l ə ð ə
fords	f ɔ r s
foreman	f ɔ r ə m aː n
forhallen	f ɔ r h a l ə n
formerer	f ɔ r m eː r ə r
fortløbende	f ɔ r t l øː b ə n ə
forward	f ɔ r v a rˀ d
frode	f r oː ð ə
fyrst	f y r s t
gabrielle	ɡ a b r i ɛ l ə
gamles	ɡ a m l ə s
gaston	ɡ a s t ɔ n
gibbons	ɡ i b ɔ n s
gong	ɡ ɔ n ɡ
grøften	ɡ r œ f t ə n
gårdspladsen	ɡ ɔ r s p l a s ə n
halvbror	h a l v b r oː r
hartmann	h a r t m a n
herres	h ɛ r ə s
hjælpemiddel	j ɛ l p ə m i d ə l
hollow	h ɔ l ɔ w
hovedformål	h ɔ v ə ð f ɔ r m ɔː l
hundige	h o n d i ə
idaho	i d a h oː
illustrator	i l u s t r aː t ə r
indkvarteret	e n k v a r t eː r ə t
indrammet	e n d r a m ə ð
indsigelse	e n s iː ə l s ə
indsigelser	e n s iː ə l s ə r
ingenlunde	e n ɡ ə n l o n ə
involveres	e n v ɔ l v ə r ə s
jae	j aː ə
kairo	k a j r o
kamel	k a m ɛ l
keramisk	k e r aː m i s k
kimberly	k e m b ə r l yː
klassikeren	k l a s i k eː r ə n
klodsede	k l ɔ s ə ð ə
kometen	k o m eː t ə n
konkurser	k ɔ n k u r s ə r
kostbart	k ɔ s t b a r t
kreml	k r ɛ mˀ l
landlige	l a n l i ə
livligt	l i v l i t
lufte	l o f t ə
låret	l ɔː r ə ð
margarita	m a r ɡ a r i t a
marin	m a r iː n
mart	m a r t
maskinpistoler	m a s k e n p i s t oː l ə r
merle	m ɛ r l ə
mesterskaberne	m ɛ s t ə r s k aː b ə r n ə
monza	m ɔ n s a
morens	m o r ɛ n s
mundtligt	m o n t l i t
naturpark	n a t u r p a r k
neck	n ɛ k
none	n oː n ə
nybyggede	n y b ø ɡ ə ð ə
olympia	o l ø m p i æ
omverden	ɔ m v ɛ r d ə n
ophæver	ɔ p h ɛː v ə r
opståede	ɔ p s t ɔː ə ð ə
opvarme	ɔ p v a r m ə
ormen	ɔ r m ə n
overvinder	ɔ v ə r v e n ə r
pitch	p i t s j
portaler	p ɔ r t aː l ə r
prædiker	p r ɛ d i k ə r
prøvelser	p r øː v ə l s ə r
pull	p o l
pumpes	p o m p ə s
påtænkte	p ɔ t ɛ n k t ə
påvises	p ɔ v iː s ə s
regnar	r a j n a r
rekrutter	r ɛ k r u t ə r
rhode	r h oː ð ə
russer	r u s ə r
rø	r øːˀ
røver	r øː v ə r
seeren	s eː ə r ə n
sejladser	s a j l a s ə r
sejles	s a j l ə s
sie	s iː ə
skaffes	s k a f ə s
skruetrækker	s k r uː ə t r ɛ k ə r
skuespillerinden	s k uː ə s p e l ə r e n ə n
sled	s l eː d
slutrunden	s l u t r o n ə n
sluttes	s l u t ə s
smykkerne	s m ø k ə r n ə
splinter	s p l e n t ə r
sporadisk	s p o r aː d i s k
sprøjt	s p r ø j t
stank	s t a n k
ståle	s t ɔː l ə
subjekt	s u b j ɛ k t
surrealistisk	s u r e a l i s t i s k
svækker	s v ɛ k ə r
sykes	s y k ə s
sået	s ɔːˀ ə ð
sæsons	s ɛ s ɔ n s
term	t ɛ r m
tess	t ɛ s
tilbede	t e l b eː ð ə
trash	t r a s j
trodsede	t r ɔ s ə ð ə
tusch	t u s j
twisted	t v e s t ə ð
tørster	t œ r s t ə r
tøvende	t øː v ə n ə
udtagelse	u d t aː ɣ ə l s ə
uerfarne	uː ə r f a r n ə
ugerne	uː ə r n ə
varebil	v aː r ə b iː l
virksom	v i r k s ɔ m
yndige	ø n d i ə
zlatan	s l a t aː n
æblekage	ɛː b l ə k aː ɡ ə
æsler	ɛ s l ə r
øjebliks	ø j ə b l e k s
acts	a k t s
addison	a d i s oː n
akvarie	a k v a r i ə
alto	a l t o
annoncerer	a n ɔ n s eː r ə r
arab	a r aː b
arb	a r b
arbejdets	a r b a j d ə t s
arbejdsuge	a r b a j d s uː ə
associerede	a s o s j eː r ə ð ə
author	a v t h oː r
bedømmes	b e d œ m ə s
befolkede	b e f ɔ l k ə ð ə
benægtede	b e n ɛ ɡ t ə ð ə
beriget	b e r iː ə ð
browns	b r ɔ w n s
bru	b r uːˀ
brudens	b r uː d ə n s
byggepladsen	b y ɡ ə p l a s ə n
bække	b ɛ k ə
calle	k a l ə
caribiske	k a r iː b i s k ə
children	s j i l d r ə n
citronen	s i t r oː n ə n
comfort	k ɔ m f ɔ r t
cylinderen	s y l e n d eː r ə n
distributør	d i s t r i b u t øː r
eco	eː k o
eisenhower	a j s ə n h ɔ w ə r
elektra	e l ɛ k t r a
elton	ɛ l t ɔ n
engels	ɛ n ɡ ə l s
farce	f a r s ə
fastholdes	f a s t h ɔ l ə s
fatima	f a t iː m a
flaskerne	f l a s k ə r n ə
foldede	f ɔ l ə ð ə
forbunds	f ɔ r b o n s
fordums	f ɔ r d ɔ m s
forfalskede	f ɔ r f a l s k ə ð ə
forhindres	f ɔ r h e n d r ə s
forpligte	f ɔ r p l e k t ə
forråd	f ɔ r ɔ d
forsvarsministeren	f ɔ r s v a r s m i n i s t eː r ə n
fortsættelsen	f ɔ r t s ɛ t ə l s ə n
fuldtidsjob	f u l t i d s j oː b
fysikken	f y s e k ə n
granger	ɡ r a n ɡ ə r
hygget	h y ɡ ə ð
idrætsanlæg	i d r ɛ t s a n l ɛ ɡ
inder	e n ə r
indskrænke	e n s k r ɛ n k ə
indtrådt	e n t r ɔ t
inviteres	e n v i t eː r ə s
jillian	j i l j aː n
katarina	k a t a r iː n a
kathleen	k a t l eː n
klokkerne	k l ɔ k ə r n ə
kokkedal	k ɔ k ə d aː l
konsulat	k ɔ n s u l aː t
konsultation	k ɔ n s u l t a ɕ oˀ n
kool	k oː l
krater	k r aː t ə r
krigene	k r iː ə n ə
kristin	k r i s t iː n
kødædende	k ø d ɛː d ə n ə
legatet	l e ɡ a t eː t
leila	l a j l a
lie	l iː ə
logge	l ɔ ɡ ə
magte	m a k t ə
magthaverne	m a ɡ t h a v ə r n ə
mandatet	m a n d a t eː t
maver	m aː v ə r
mestrer	m ɛ s t r ə r
militsen	m i l i t s ə n
miljøstyrelsen	m i l j ø s t yː r ə l s ə n
mindesmærke	m e n ə s m ɛ r k ə
mistænkelig	m i s t ɛ n k ə l i
måtten	m ɔ t ə n
møns	m œ n s
netavis	n e t a v iː s
noteres	n o t eː r ə s
ops	ɔ p s
optur	ɔ p t uː r
pater	p a t ə r
pensionerede	p a n s j o n eː r ə ð ə
pharma	f a r m a
planker	p l a n k ə r
poppen	p ɔ p ə n
receptionist	r ɛ s ɛ p s j o n i s t
rekvisitter	r ɛ k v i s i t ə r
rigsdagen	r iː s d aː ɣ ə n
roede	r oː ə ð ə
roere	r oː ə r ə
rokke	r ɔ k ə
rossi	r ɔ s i
rulleskøjter	r u l ə s k ø j t ə r
ryst	r ø s t
sarkastisk	s a r k a s t i s k
seas	s eː s
sigøjnere	s i ɡ ø j n eː r ə
singlen	s e n ɡ l ə n
skrænten	s k r ɛ n t ə n
skærbæk	s k ɛ r b ɛ k
snus	s n uː s
spillerens	s p e l ə r ɛ n s
spinat	s p i n aː t
stade	s t aː d ə
stikkende	s t e k ə n ə
struggle	s t r o ɡ l ə
stødet	s t øː ð ə ð
stønner	s t œ n ə r
sygeplejerskerne	s yː ə p l a j ə r s k ɛ r n ə
synonymer	s y n o n yː m ə r
sønnerne	s œ n ə r n ə
tilrettelægger	t e l r ɛ t ə l ɛ ɡ ə r
tilståelse	t e l s t ɔː ə l s ə
torn	t ɔ r n
trafikuheld	t r a f i k u h ɛ lˀ
tænketanken	t ɛ n k ə t a n k ə n
ubegrænsede	uː b ə ɡ r ɛ n s ə ð ə
udkant	u d k a n t
udskifter	u d s k e f t ə r
udøvet	u d øː v ə ð
underdirektør	o n ə r d i r ɛ k t øː r
universelt	u n i v ɛ r s ə l t
urbane	u r b aː n ə
urinen	u r iː n ə n
vamdrup	v a m d r u p
vekslende	v ɛ k s l ɛ n ə
velmenende	v ɛ l m eː n ə n ə
verdenskendte	v ɛ r d ə n s k ɛ n t ə
vicky	v e k i
væ	v ɛːˀ
wax	v a k s
wills	v e l s
wulff	v u l f
ægtemænd	ɛ ɡ t ə m ɛ n d
abrahams	a b r a h a m s
afgives	a f ɡ iː v ə s
aflivet	a f l iː v ə ð
afsnittene	a f s n e t ə n ə
anal	a n aː l
analytikere	a n a l y t i k eː r ə
arctic	a r k t i k
arden	a r d ə n
asta	a s t a
australiens	a v s t r a l j ɛ n s
bandit	b a n d i t
barnlig	b a r n l i
bells	b ɛ l s
bennet	b ɛ n ə ð
betjenten	b e t j ɛ n t ə n
biografier	b i o ɡ r a f iː ə r
blokaden	b l o k aː d ə n
blotter	b l ɔ t ə r
blyanter	b l y a n t ə r
bolte	b ɔ l t ə
boye	b ɔ j ə
bukarest	b u k a r ɛ s t
byrder	b y r d ə r
carlson	k a r l s ɔ n
carnival	k a r n i v aː l
centrets	s ɛ n t r ɛ t s
checks	s j ɛ k s
controller	k ɔ n t r ɔ l ə r
cora	k oː r a
cyklisterne	s y k l i s t ə r n ə
dekan	d e k aː n
diablo	d i aː b l o
dirigere	d i r i ɡ eː r ə
donerer	d o n eː r ə r
dukkerne	d o k ə r n ə
dumper	d o m p ə r
dybder	d y b d ə r
egå	eː ɡ ɔ
ejendomsretten	a j ə n d ɔ m s r ɛ t ə n
ekskone	ɛ k s k oː n ə
engelsktalende	ɛ n ɡ ə l s k t aː l ə n ə
epa	eː p a
episke	eː p i s k ə
estate	ɛ s t aː t ə
etikette	e t i k ɛ t ə
faciliteterne	f a s i l i t eː t ə r n ə
fantasifulde	f a n t a s i f u l ə
festerne	f ɛ s t ə r n ə
folkefest	f ɔ l k ə f ɛ s t
forståelig	f ɔ r s t ɔː ə l i
fremskreden	f r ɛ m s k r eː ð ə n
fremvist	f r ɛ m v e s t
frugtbart	f r o k t b a r t
fællesmøde	f ɛ l ə s m øː ð ə
gambler	ɡ a m b l ə r
german	ɡ ɛ r m aː n
gokke	ɡ ɔ k ə
grimes	ɡ r iː m ə s
grinte	ɡ r e n t ə
grotter	ɡ r ɔ t ə r
halvkugle	h a l v k uː l ə
høstes	h ø s t ə s
indiens	e n d i ɛ n s
intimitet	e n t i m i t eː t
jammer	j a m ə r
julefrokoster	j uː l ə f r o k ɔ s t ə r
karla	k a r l a
kernerne	k ɛ r n ə r n ə
kindle	k e n l ə
kloner	k l oː n ə r
kræftens	k r ɛ f t ə n s
larmen	l a r m ə n
lines	l iː n ə s
listerne	l e s t ə r n ə
lovely	l ɔ v ə l yː
luksuriøse	l ɔ k s u r i øː s ə
lundby	l o n b yː
lækkede	l ɛ k ə ð ə
løsesum	l øː s ə s ɔ m
løvens	l øː v ə n s
manerer	m a n eː r ə r
manualen	m a n u aː l ə n
margin	m a r ɡ iː n
matchende	m a t s j ɛ n ə
mckinley	m k iː n l i
melvin	m ɛ l v iː n
mobilnummer	m o b i l n o m ə r
modifikationer	m o d i f i k a ɕ oˀ n ə r
mottoet	m o t oː ə ð
måner	m ɔː n ə r
nada	n aː d a
nutella	n u t ɛ l a
nødsituation	n ø d s i t u a ɕ oˀ n
observeres	ɔ b s ɛ r v eː r ə s
olympus	o l ø m p u s
opdrager	ɔ p d r aː ɣ ə r
orla	ɔ r l a
otterup	ɔ t ə r u p
palæstinenserne	p a l ɛ s t i n ɛ n s ə r n ə
passes	p a s ə s
pejsen	p a j s ə n
platte	p l a t ə
pom	p ɔ m
pong	p ɔ n ɡ
praj	p r a jˀ
psi	s iː
respekten	r ɛ s p ɛ k t ə n
rettighed	r ɛ t i h e ðˀ
ridende	r iː ð ə n ə
romero	r o m eː r o
rostock	r ɔ s t ɔ k
sjældenhed	s j ɛ l ə n h e ðˀ
skranken	s k r a n k ə n
skrænter	s k r ɛ n t ə r
snøre	s n øː r ə
spektret	s p ɛ k t r ɛ t
sportsvogn	s p ɔ r t s v ɔ vˀ n
stationære	s t a s j o n ɛː r ə
stikken	s t e k ə n
stinkende	s t e n k ə n ə
strandede	s t r a n ə ð ə
strejfer	s t r a j f ə r
strimler	s t r e m l ə r
stuttgart	s t u t ɡ a r t
styrkerne	s t y r k ə r n ə
stålet	s t ɔː l ə ð
støjen	s t ø j ə n
suiter	s u i t ə r
sutten	s u t ə n
svensson	s v ɛ n s ɔ n
swipp	s v e p
telefonnumre	t e l ə f ɔ n ɔ m r ə
tigers	t iː ə r s
tilst	t e l s t
trækket	t r ɛ k ə ð
turne	t u r n ə
tværsnit	t v ɛ r s n i t
udstyres	u d s t yː r ə s
udtalelsen	u d t aː l ə l s ə n
ujævnt	u j ɛ vˀ n t
underside	o n ə r s iː d ə
uri	u r i
utopi	u t o p iː
valle	v a l ə
vanilla	v a n i l a
variationen	v a r i a ɕ oˀ n ə n
vejens	v a j ə n s
velbefindende	v ɛ l b e f e n ə n ə
velvære	v ɛ l v ɛː r ə
versa	v ɛ r s a
viaplay	v i a p l æ j
vicevært	v iː s ə v ɛ r t
vildmarken	v i l m a r k ə n
visner	v i s n ə r
vældige	v ɛ l d i ə
ådal	ɔ d aː l
østkyst	ø s t k ø s t
accepter	a k s ɛ p t ə r
aflaste	a f l a s t ə
alkoholen	a l k o h oː l ə n
amalienborg	a m a l j ə n b ɔ r ɡ
amo	a m o
asbest	a s b ɛ s t
asnæs	a s n ɛː s
autonomi	a v t o n o m iː
aviv	a v iːˀ v
ax	a k s
badetøj	b aː d ə t ø j
bagom	b a ɡ ɔ m
banderne	b a n ə r n ə
