ovat	o ʋ ɑ t
maalaama	m ɑː l ɑː m ɑ
maaleissa	m ɑː l e i̯ sː ɑ
maallikot	m ɑː lː i k o t
maallisia	m ɑː lː i s i ɑ
maanjäristystä	m ɑː n j æ r i s t y s t æ
maanomistajia	m ɑː n o m i s t ɑ j i ɑ
maanpinnasta	m ɑː n p i nː ɑ s t ɑ
maanpuolustusta	m ɑː n p u o̯ l u s t u s t ɑ
maantieteelliset	m ɑː n t i e̯ t eː lː i s e t
macos	m ɑ k o s
mahdottomasta	m ɑ h d o tː o m ɑ s t ɑ
mahdottomiksi	m ɑ h d o tː o m i k s i
mahtavien	m ɑ h t ɑ ʋ i e̯ n
maineikkain	m ɑ i̯ n e i̯ kː ɑ i̯ n
mainostajia	m ɑ i̯ n o s t ɑ j i ɑ
majoitustilat	m ɑ j o i̯ t u s t i l ɑ t
maksaessa	m ɑ k s ɑ e sː ɑ
maksajia	m ɑ k s ɑ j i ɑ
maksaman	m ɑ k s ɑ m ɑ n
maksamiseksi	m ɑ k s ɑ m i s e k s i
maljakon	m ɑ l j ɑ k o n
markkinatilanne	m ɑ r kː i n ɑ t i l ɑ nː eˣ
matalapalkka	m ɑ t ɑ l ɑ p ɑ l kː ɑ
matkaasi	m ɑ t k ɑː s i
matkalaukkua	m ɑ t k ɑ l ɑ u̯ kː u ɑˣ
matkapuhelimien	m ɑ t k ɑ p u h e l i m i e̯ n
matkustamoon	m ɑ t k u s t ɑ m oː n
meikäläiset	m e i̯ k æ l æ i̯ s e t
meinasivat	m e i̯ n ɑ s i ʋ ɑ t
mena	m e n ɑ
menetetyistä	m e n e t e t y i̯ s t æˣ
merivoimissa	m e r i ʋ o i̯ m i sː ɑ
messiaan	m e sː i ɑː n
mestaruuskisat	m e s t ɑ r uː s k i s ɑ t
metalin	m e t ɑ l i n
metsikössä	m e t s i k ø sː æ
miele	m i e̯ l eˣ
mielekkyyden	m i e̯ l e kː yː d e n
mielikuvista	m i e̯ l i k u ʋ i s t ɑ
mieluisan	m i e̯ l u i̯ s ɑ n
mihi	m i h i
ministeriöissä	m i n i s t e r i ø i̯ sː æ
mittapuun	m i tː ɑ p uː n
monikulttuuri	m o n i k u l tː uː r i
monimutkaisuuden	m o n i m u t k ɑ i̯ s uː d e n
motonet	m o t o n e t
muistutukseksi	m u i̯ s t u t u k s e k s i
munakkaan	m u n ɑ kː ɑː n
munakoisoa	m u n ɑ k o i̯ s o ɑˣ
murehtii	m u r e h t iː
mureni	m u r e n i
murtuivat	m u r t u i̯ ʋ ɑ t
murtumisen	m u r t u m i s e n
musiikkina	m u s iː kː i n ɑ
mustasukkaisuudesta	m u s t ɑ s u kː ɑ i̯ s uː d e s t ɑ
muutettavissa	m uː t e tː ɑ ʋ i sː ɑ
muututtua	m uː t u tː u ɑˣ
mysteerit	m y s t eː r i t
myydäkseen	m yː d æ k s eː n
myönnettyjen	m y ø̯ nː e tː y j e n
märkään	m æ r k æː n
määräaikaiseen	m æː r æ ɑ i̯ k ɑ i̯ s eː n
määrärahoista	m æː r æ r ɑ h o i̯ s t ɑ
naisina	n ɑ i̯ s i n ɑ
namibian	n ɑ m i b i ɑ n
nanjingin	n ɑ n j i ŋː i n
nappuloiden	n ɑ pː u l o i̯ d e n
narttua	n ɑ r tː u ɑˣ
nashvillessä	n ɑ ʃ ʋ i lː e sː æ
nauhoitukset	n ɑ u̯ h o i̯ t u k s e t
nauravan	n ɑ u̯ r ɑ ʋ ɑ n
neidit	n e i̯ d i t
nettisivulta	n e tː i s i ʋ u l t ɑ
neuvotelleet	n e u̯ ʋ o t e lː eː t
neuvottelupöytään	n e u̯ ʋ o tː e l u p ø y̯ t æː n
neuvottu	n e u̯ ʋ o tː u
niita	n iː t ɑ
niityn	n iː t y n
nopeammalla	n o p e ɑ mː ɑ lː ɑ
normaaleina	n o r m ɑː l e i̯ n ɑ
norsk	n o r s k
nostaakseen	n o s t ɑː k s eː n
nosturia	n o s t u r i ɑ
nousunsa	n o u̯ s u n s ɑ
nukeista	n u k e i̯ s t ɑˣ
nukkuvia	n u kː u ʋ i ɑ
numbers	n u m b e r s
nuorisotakuun	n u o̯ r i s o t ɑ k uː n
nykymuotoisen	n y k y m u o̯ t o i̯ s e n
nykysuomen	n y k y s u o̯ m e n
nyströmin	n y s t r ø m i n
oder	o d e r
odotetut	o d o t e t u t
ohjelmille	o h j e l m i lː eˣ
ohjelmistokehityksen	o h j e l m i s t o k e h i t y k s e n
oikaisee	o i̯ k ɑ i̯ s eː
oikeina	o i̯ k e i̯ n ɑ
oikeudekseen	o i̯ k e u̯ d e k s eː n
oikeusjuttua	o i̯ k e u s j u tː u ɑˣ
oikeusjärjestelmää	o i̯ k e u s j æ r j e s t e l m æː
oikeusvaltioperiaatteen	o i̯ k e u s ʋ ɑ l t i o p e r i ɑː tː eː n
oisivat	o i̯ s i ʋ ɑ t
oivaa	o i̯ ʋ ɑː
olemuksellaan	o l e m u k s e lː ɑː n
oleskelusta	o l e s k e l u s t ɑ
olinpaikkaa	o l i n p ɑ i̯ kː ɑːˣ
oloasi	o l o ɑ s i
omaehtoista	o m ɑ e h t o i̯ s t ɑˣ
omaperäisen	o m ɑ p e r æ i̯ s e n
omiasi	o m i ɑ s i
ontui	o n t u i̯
oops	oː p s
opetustoimen	o p e t u s t o i̯ m e n
opioidit	o p i o i̯ d i t
opiskelleen	o p i s k e lː eː n
opiskellessaan	o p i s k e lː e sː ɑː n
opiskelunsa	o p i s k e l u n s ɑ
oppimistulokset	o pː i m i s t u l o k s e t
optimoi	o p t i m o i̯
optimointia	o p t i m o i̯ n t i ɑ
organisaatioihin	o r ɡ ɑ n i s ɑː t i o i̯ h i n
orkla	o r k l ɑ
orton	o r t o n
osaanko	o s ɑː ŋ k o
osaavani	o s ɑː ʋ ɑ n i
osaisit	o s ɑ i̯ s i t
osoitteissa	o s o i̯ tː e i̯ sː ɑ
ostoskeskuksia	o s t o s k e s k u k s i ɑ
otettavat	o t e tː ɑ ʋ ɑ t
otsonin	o t s o n i n
otteiden	o tː e i̯ d e n
otteluennakko	o tː e l u e nː ɑ kː o
oulujärven	o u̯ l u j æ r ʋ e n
oval	o ʋ ɑ l
paalupaikkaa	p ɑː l u p ɑ i̯ kː ɑːˣ
pahatar	p ɑ h ɑ t ɑ r
pahentaisi	p ɑ h e n t ɑ i̯ s i
paikannettu	p ɑ i̯ k ɑ nː e tː u
paistan	p ɑ i̯ s t ɑ n
pakenemista	p ɑ k e n e m i s t ɑ
pakettiautojen	p ɑ k e tː i ɑ u̯ t o j e n
palelee	p ɑ l eˣ l eː
palkittua	p ɑ l k i tː u ɑˣ
paloasemalla	p ɑ l o ɑ s e m ɑ lː ɑ
paloma	p ɑ l o m ɑ
palomuurin	p ɑ l o m uː r i n
palopaikalle	p ɑ l o p ɑ i̯ k ɑ lː eˣ
palpatine	p ɑ l p ɑ t i n eˣ
palvelutalon	p ɑ l ʋ e l u t ɑ l o n
panamaan	p ɑ n ɑ m ɑː n
panon	p ɑ n o n
paperittomille	p ɑ p e r i tː o m i lː eˣ
parisprintin	p ɑ r i s p r i n t i n
parkkeeraa	p ɑ r kː eː r ɑː
parkkihalliin	p ɑ r kː i h ɑ lː iː n
parrish	p ɑ rː i ʃ
parsan	p ɑ r s ɑ n
passitti	p ɑ sː i tː i
paukahti	p ɑ u̯ k ɑ h t i
pauloihin	p ɑ u̯ l o i̯ h i n
peikon	p e i̯ k o n
peitellyt	p e i̯ t e lː y t
peitettiin	p e i̯ t e tː iː n
pelastajana	p e l ɑ s t ɑ j ɑ n ɑ
pelastaneen	p e l ɑ s t ɑ n eː n
pelottaisi	p e l o tː ɑ i̯ s i
pelästy	p e l æ s t y
perintöveroa	p e r i n t ø ʋ e r o ɑ
personality	p e r s o n ɑ l i t y
perunasalaattia	p e r u n ɑ s ɑ l ɑː tː i ɑ
peräkkäisessä	p e r æ kː æ i̯ s e sː æ
pesuaineen	p e s u ɑ i̯ n eː n
petollisia	p e t o lː i s i ɑ
petran	p e t r ɑ n
pienennettyä	p i e̯ n e nː e tː y æˣ
pieninkin	p i e̯ n i ŋ k i n
pipot	p i p o t
piraatteja	p i r ɑː tː e j ɑ
pirkkalaan	p i r kː ɑ l ɑː n
pirullisen	p i r u lː i s e n
pitkäjänteisen	p i t k æ j æ n t e i̯ s e n
pitoisuutta	p i t o i̯ s uː tː ɑ
platt	p l ɑ tː
plussia	p l u sː i ɑ
pohjoisemmassa	p o h j o i̯ s e mː ɑ sː ɑ
pohjosen	p o h j o s e n
poikakin	p o i̯ k ɑ k i n
poliisiautoa	p o l iː s i ɑ u̯ t o ɑˣ
polish	p o l i ʃ
polttoon	p o l tː oː n
polvella	p o l ʋ e lː ɑˣ
poo	p oː
poria	p o r i ɑ
pormestaria	p o r m e s t ɑ r i ɑ
pornaisten	p o r n ɑ i̯ s t e n
pornoon	p o r n oː n
presidenttiehdokkaan	p r e s i d e n tː i e h d o kː ɑː n
prevention	p r e ʋ e n t i o n
primera	p r i m e r ɑ
proud	p r o u̯ d
pudottua	p u d o tː u ɑˣ
puhdistusainetta	p u h d i s t u s ɑ i̯ n e tː ɑ
puhelujen	p u h eˣ l u j e n
puijo	p u i̯ j o
puinnit	p u i̯ nː i t
puoleiseen	p u o̯ l e i̯ s eː n
puolisoita	p u o̯ l i s o i̯ t ɑ
purivat	p u r i ʋ ɑ t
purkeissa	p u r k e i̯ sː ɑ
putkiremontin	p u t k i r e m o n t i n
putos	p u t o s
pyhiinvaeltajia	p y h iː n ʋ ɑ e l t ɑ j i ɑ
pyhäksi	p y h æ k s i
pyllyä	p y lː y æˣ
pysäyttäisi	p y s æ y tː æ i̯ s i
päivittyvät	p æ i̯ ʋ i tː y ʋ æ t
pännii	p æ nː iː
päähineet	p æː h i n eː t
päältään	p æː l t æː n
päärakennukseen	p æː r ɑ k e nː u k s eː n
pääsemättä	p æː s e m æ tː æ
päästettävä	p æː s t e tː æ ʋ æ
päästäkin	p æː s t æ k i n
päästämättä	p æː s t æ m æ tː æ
päätoimittajat	p æː t o i̯ m i tː ɑ j ɑ t
päättele	p æː tː e l eˣ
päättelyn	p æː tː e l y n
päättötodistuksen	p æː tː ø t o d i s t u k s e n
päätökseksi	p æː t ø k s e k s i
päävastuun	p æː ʋ ɑ s t uː n
pöytäkirjoja	p ø y̯ t æ k i r j o j ɑ
pöytälaatikossa	p ø y̯ t æ l ɑː t i k o sː ɑ
raahannut	r ɑː h ɑ nː u t
raahataan	r ɑː h ɑ t ɑː n
rabat	r ɑ b ɑ t
radikalisoituu	r ɑ d i k ɑ l i s o i̯ t uː
raikkaasta	r ɑ i̯ kː ɑː s t ɑˣ
rakennettuna	r ɑ k e nː e tː u n ɑ
rakennushankkeita	r ɑ k e nː u s h ɑ ŋ kː e i̯ t ɑ
rakentamia	r ɑ k e n t ɑ m i ɑ
ramirent	r ɑ m i r e n t
rantaradan	r ɑ n t ɑ r ɑ d ɑ n
rappuun	r ɑ pː uː n
rasvaan	r ɑ s ʋ ɑː n
ratsastin	r ɑ t s ɑ s t i n
rattaiden	r ɑ tː ɑ i̯ d e n
rauhalliseksi	r ɑ u̯ h ɑ lː i s e k s i
rautaesiripun	r ɑ u̯ t ɑ e s i r i p u n
rautakauden	r ɑ u̯ t ɑ k ɑ u̯ d e n
ravintoarvot	r ɑ ʋ i n t o ɑ r ʋ o t
ravintosisältö	r ɑ ʋ i n t o s i s æ l t ø
ravitsemustieteen	r ɑ ʋ i t s e m u s t i e̯ t eː n
realistisempi	r e ɑ l i s t i s e m p i
rehevää	r e h e ʋ æː
rehtoriksi	r e h t o r i k s i
rehujen	r e h u j e n
reich	r e i̯ t ʃ
reippaassa	r e i̯ pː ɑː sː ɑ
rentoon	r e n t oː n
rentoutumiseen	r e n t o u̯ t u m i s eː n
retoriikassa	r e t o r iː k ɑ sː ɑ
riesaa	r i e̯ s ɑːˣ
riippuvuuteen	r iː pː u ʋ uː t eː n
riitan	r iː t ɑ n
rikoslaista	r i k o s l ɑ i̯ s t ɑˣ
ripustettiin	r i p u s t e tː iː n
ristimäen	r i s t i m æ e n
rohkaissut	r o h k ɑ i̯ sː u t
rollia	r o lː i ɑ
roolipelit	r oː l i p e l i t
rotuihin	r o t u i̯ h i n
rubinin	r u b i n i n
rumbaa	r u m b ɑː
russon	r u sː o n
rypäleiden	r y p æ l e i̯ d e n
rytkösen	r y t k ø s e n
rönnberg	r ø n b e r ɡ
rönnholm	r ø nː h o l m
saaliina	s ɑː l iː n ɑ
saatavista	s ɑː t ɑ ʋ i s t ɑ
sademetsiä	s ɑ d eˣ m e t s i æˣ
saduissa	s ɑ d u i̯ sː ɑ
sairauksissa	s ɑ i̯ r ɑ u k s i sː ɑ
salaisella	s ɑ l ɑ i̯ s e lː ɑˣ
salakuljetuksen	s ɑ l ɑ k u l j e t u k s e n
salaliittoja	s ɑ l ɑ l iː tː o j ɑ
samaiset	s ɑ m ɑ i̯ s e t
samankaltaisuutta	s ɑ m ɑ n k ɑ l t ɑ i̯ s uː tː ɑ
samille	s ɑ m i lː eˣ
sanalta	s ɑ n ɑ l t ɑ
sandbergin	s ɑ n d b e r ɡ i n
satumaisen	s ɑ t u m ɑ i̯ s e n
seamus	s e ɑ m u s
seinämät	s e i̯ n æ m æ t
sekottaa	s e k o tː ɑːˣ
selittyvät	s e l i tː y ʋ æ t
selkeyden	s e l k e y̯ d e n
selvittämällä	s e l ʋ i tː æ m æ lː æ
selvästä	s e l ʋ æ s t æˣ
seung	s e u̯ ŋ
seuraavin	s e u̯ r ɑː ʋ i n
seuranneiden	s e u̯ r ɑ nː e i̯ d e n
siirretyt	s iː rː eˣ t y t
siirtokuntaan	s iː r t o k u n t ɑː n
siivin	s iː ʋ i n
siivoojien	s iː ʋ oː j i e n
sijaisuuksia	s i j ɑ i̯ s uː k s i ɑ
sikin	s i k i n
simolan	s i m o l ɑ n
sinäänsä	s i n æː n s æ
sisällölle	s i s æ lː ø lː eˣ
sisältämää	s i s æ l t æ m æː
sisältäviin	s i s æ l t æ ʋ iː n
sisältömarkkinointi	s i s æ l t ø m ɑ r kː i n o i̯ n t i
sisäoppilaitoksessa	s i s æ o pː i l ɑ i̯ t o k s e sː ɑ
sisäpolitiikkaan	s i s æ p o l i t iː kː ɑː n
sitoivat	s i t o i̯ ʋ ɑ t
sivilisaatiota	s i ʋ i l i s ɑː t i o t ɑ
sivistykseen	s i ʋ i s t y k s eː n
solidaarisuudesta	s o l i d ɑː r i s uː d e s t ɑ
sopimattomana	s o p i m ɑ tː o m ɑ n ɑ
sorkat	s o r k ɑ t
sorrettuja	s o rː e tː u j ɑ
sort	s o r t
sotilaalle	s o t i l ɑː lː eˣ
spotifyssä	s p o t i f y sː æ
subarun	s u b ɑ r u n
suhteelliset	s u h t eː lː i s e t
suihkulähteen	s u i̯ h k u l æ h t eː n
sukupuolirooleista	s u k u p u o̯ l i r oː l e i̯ s t ɑ
sulkeuduttua	s u l k e u̯ d u tː u ɑˣ
sulkien	s u l k i e n
sumner	s u m n e r
suomalaisasiantuntija	s u o̯ m ɑ l ɑ i̯ s ɑ s i ɑ n t u n t i j ɑ
suomalaisuuteen	s u o̯ m ɑ l ɑ i̯ s uː t eː n
suomennoksessa	s u o̯ m e nː o k s e sː ɑ
suomipopin	s u o̯ m i p o p i n
suorissa	s u o̯ r i sː ɑ
suosikkeihini	s u o̯ s i kː e i̯ h i n i
suosineet	s u o̯ s i n eː t
suren	s u r e n
surkeaan	s u r k e ɑː n
surmanneen	s u r m ɑ nː eː n
suullaan	s uː lː ɑː n
suunnistusta	s uː nː i s t u s t ɑ
suunnittelevansa	s uː nː i tː e l e ʋ ɑ n s ɑ
suuntaviivoja	s uː n t ɑ ʋ iː ʋ o j ɑ
suurempina	s uː r e m p i n ɑ
suuttumaan	s uː tː u m ɑː n
suvereniteetin	s u ʋ e r e n i t eː t i n
swanson	s w ɑ n s o n
sykkimään	s y kː i m æː n
sytyttyä	s y t y tː y æˣ
syödessään	s y ø̯ d e sː æː n
syöksynyt	s y ø̯ k s y n y t
sähköenergian	s æ h k ø e n e r ɡ i ɑ n
sähkölaitoksen	s æ h k ø l ɑ i̯ t o k s e n
sähköverkkojen	s æ h k ø ʋ e r kː o j e n
sängyssään	s æ ŋː y sː æː n
särkän	s æ r k æ n
säästettäisiin	s æː s t e tː æ i̯ s iː n
säästyivät	s æː s t y i̯ ʋ æ t
taidehallissa	t ɑ i̯ d eˣ h ɑ lː i sː ɑ
taidehistorian	t ɑ i̯ d eˣ h i s t o r i ɑ n
taistelleen	t ɑ i̯ s t e lː eː n
taitavien	t ɑ i̯ t ɑ ʋ i e̯ n
taitavin	t ɑ i̯ t ɑ ʋ i n
taitoon	t ɑ i̯ t oː n
taittunut	t ɑ i̯ tː u n u t
takeena	t ɑ k eː n ɑ
talibanin	t ɑ l i b ɑ n i n
tallaa	t ɑ lː ɑːˣ
tallenteena	t ɑ lː e n t eː n ɑ
taloaan	t ɑ l o ɑː n
talotekniikan	t ɑ l o t e k n iː k ɑ n
talousarviota	t ɑ l o u s ɑ r ʋ i o t ɑ
tankissa	t ɑ ŋ k i sː ɑ
tankoon	t ɑ ŋ k oː n
tanssitaiteen	t ɑ n sː i t ɑ i̯ t eː n
tapaturmat	t ɑ p ɑ t u r m ɑ t
tarjoilijaksi	t ɑ r j o i̯ l i j ɑ k s i
tarkastuksista	t ɑ r k ɑ s t u k s i s t ɑ
tarrasi	t ɑ rː ɑ s i
taustallaan	t ɑ u̯ s t ɑ lː ɑː n
taustamusiikkia	t ɑ u̯ s t ɑ m u s iː kː i ɑ
taustoihin	t ɑ u̯ s t o i̯ h i n
technopoliksen	t e k n o p o l i k s e n
technopolis	t e k n o p o l i s
tehneille	t e h n e i̯ lː eˣ
teksteillä	t e k s t e i̯ lː æˣ
televisiosarjassa	t e l e ʋ i s i o s ɑ r j ɑ sː ɑ
televisiosarjasta	t e l e ʋ i s i o s ɑ r j ɑ s t ɑ
teoksistaan	t e o k s i s t ɑː n
terroriteot	t e rː o r i t e o t
terveydellistä	t e r ʋ e y̯ d e lː i s t æˣ
teslaa	t e s l ɑː
tiedekunnasta	t i e̯ d eˣ k u nː ɑ s t ɑ
tietoo	t i e̯ t oː
tikin	t i k i n
tiloissaan	t i l o i̯ sː ɑː n
todennäköisen	t o d e n n æ k ø i̯ s e n
todistajina	t o d i s t ɑ j i n ɑ
toimitetut	t o i̯ m i t e t u t
toimittavan	t o i̯ m i tː ɑ ʋ ɑ n
toivomalla	t o i̯ ʋ o m ɑ lː ɑ
tolstoin	t o l s t o i̯ n
tonteilla	t o n t e i̯ lː ɑˣ
tonteista	t o n t e i̯ s t ɑˣ
took	t oː k
tornadon	t o r n ɑ d o n
toscanassa	t o s k ɑ n ɑ sː ɑ
toton	t o t o n
traumatisoitunut	t r ɑ u̯ m ɑ t i s o i̯ t u n u t
travolta	t r ɑ ʋ o l t ɑ
trilogiasta	t r i l o ɡ i ɑ s t ɑ
tuhlattua	t u h l ɑ tː u ɑˣ
tuhoisat	t u h o i̯ s ɑ t
tulisia	t u l i s i ɑ
tunnetuiksi	t u nː eˣ t u i̯ k s i
tunnetuille	t u nː eˣ t u i̯ lː eˣ
tunnistamatta	t u nː i s t ɑ m ɑ tː ɑ
tunteellisia	t u n t eː lː i s i ɑ
tunteistani	t u n t e i̯ s t ɑ n i
tuommoisia	t u o̯ mː o i̯ s i ɑ
tuotantoja	t u o̯ t ɑ n t o j ɑ
tuplaantuu	t u p l ɑː n t uː
tuplasi	t u p l ɑ s i
tutkimuslaitoksessa	t u t k i m u s l ɑ i̯ t o k s e sː ɑ
tutkimustietoon	t u t k i m u s t i e̯ t oː n
tuumaisen	t uː m ɑ i̯ s e n
tuunattu	t uː n ɑ tː u
työkoneet	t y ø̯ k o n eː t
työkyvyttömyyseläkettä	t y ø̯ k y ʋ y tː ø m yː s e l æ k e tː æ
työtaakkaa	t y ø̯ t ɑː kː ɑːˣ
tämänhetkiseen	t æ m æ n h e t k i s eː n
täpliä	t æ p l i æˣ
täsmennetty	t æ s m e nː e tː y
täyttyisi	t æ y̯ tː y i̯ s i
töölöön	t øː l øː n
ufot	u f o t
uhkapelin	u h k ɑ p e l i n
ulkoasuun	u l k o ɑ s uː n
ulkoilman	u l k o i l m ɑ n
ulkomaisilta	u l k o m ɑ i̯ s i l t ɑ
ulosajon	u l o s ɑ j o n
unilever	u n i l e ʋ e r
unohtaisi	u n o h t ɑ i̯ s i
upeimmat	u p e i̯ mː ɑ t
uraauurtavaa	u r ɑː uː r t ɑ ʋ ɑː
urheilullisen	u r h e i̯ l u lː i s e n
uudistavat	uː d i s t ɑ ʋ ɑ t
uusinnat	uː s i nː ɑ t
vaalealla	ʋ ɑː l eˣ ɑ lː ɑ
vaaleanpunaiseen	ʋ ɑː l e ɑ n p u n ɑ i̯ s eː n
vaalikoneiden	ʋ ɑː l i k o n e i̯ d e n
vaarallisuutta	ʋ ɑː r ɑ lː i s uː tː ɑ
vaativasta	ʋ ɑː t i ʋ ɑ s t ɑ
vahingoittavan	ʋ ɑ h i ŋː o i̯ tː ɑ ʋ ɑ n
vahtivat	ʋ ɑ h t i ʋ ɑ t
vaihtamatta	ʋ ɑ i̯ h t ɑ m ɑ tː ɑ
vaihtoehtoisista	ʋ ɑ i̯ h t o e h t o i̯ s i s t ɑ
vaikeiksi	ʋ ɑ i̯ k e i̯ k s i
vakoiluun	ʋ ɑ k o i̯ l uː n
vakuutuksiin	ʋ ɑ k uː t u k s iː n
valikosta	ʋ ɑ l i k o s t ɑ
valinnalle	ʋ ɑ l i nː ɑ lː eˣ
valinneen	ʋ ɑ l i nː eː n
valmentajani	ʋ ɑ l m e n t ɑ j ɑ n i
valtiojohdon	ʋ ɑ l t i o j o h d o n
valuuttaan	ʋ ɑ l uː tː ɑː n
valvontavirasto	ʋ ɑ l ʋ o n t ɑ ʋ i r ɑ s t o
vankileirillä	ʋ ɑ ŋ k i l e i̯ r i lː æ
vanteen	ʋ ɑ n t eː n
vapaaehtoistoimintaa	ʋ ɑ p ɑː e h t o i̯ s t o i̯ m i n t ɑːˣ
varastetuksi	ʋ ɑ r ɑ s t eˣ t u k s i
varastin	ʋ ɑ r ɑ s t i n
variaatiot	ʋ ɑ r i ɑː t i o t
various	ʋ ɑ r i o u s
varjelee	ʋ ɑ r j eˣ l eː
varojensa	ʋ ɑ r o j e n s ɑ
varuskuntien	ʋ ɑ r u s k u n t i e̯ n
vastaaviksi	ʋ ɑ s t ɑː ʋ i k s i
vastakohdat	ʋ ɑ s t ɑ k o h d ɑ t
vastenmielisenä	ʋ ɑ s t e n m i e̯ l i s e n æ
vastukset	ʋ ɑ s t u k s e t
vegaanit	ʋ e ɡ ɑː n i t
veljeksille	ʋ e l j e k s i lː eˣ
venlan	ʋ e n l ɑ n
venttiilien	ʋ e n tː iː l i e n
verikokeissa	ʋ e r i k o k e i̯ sː ɑ
verkoista	ʋ e r k o i̯ s t ɑˣ
verotti	ʋ e r o tː i
vesilintujen	ʋ e s i l i n t u j e n
vesiltä	ʋ e s i l t æ
viestintätekniikan	ʋ i e̯ s t i n t æ t e k n iː k ɑ n
vietnamia	ʋ i e̯ t n ɑ m i ɑ
vietynä	ʋ i e̯ t y n æ
viidet	ʋ iː d e t
viikkotolkulla	ʋ iː kː o t o l k u lː ɑ
viilattu	ʋ iː l ɑ tː u
viimeisteltiin	ʋ iː m e i̯ s t e l t iː n
vilppulassa	ʋ i l pː u l ɑ sː ɑ
virginiaan	ʋ i r ɡ i n i ɑː n
viskit	ʋ i s k i t
vivien	ʋ i ʋ i e n
vuotisjuhliaan	ʋ u o̯ t i s j u h l i ɑː n
väestörakenteen	ʋ æ e s t ø r ɑ k e n t eː n
vähittäiskaupassa	ʋ æ h i tː æ i̯ s k ɑ u̯ p ɑ sː ɑ
vähäisemmät	ʋ æ h æ i̯ s e mː æ t
väkivallalta	ʋ æ k i ʋ ɑ lː ɑ l t ɑ
väkivaltaisuutta	ʋ æ k i ʋ ɑ l t ɑ i̯ s uː tː ɑ
välttämiseen	ʋ æ l tː æ m i s eː n
väärennökset	ʋ æː r e nː ø k s e t
wikin	w i k i n
wolfram	w o l f r ɑ m
yhdisteen	y h d i s t eː n
yhteistoimintaan	y h t e i̯ s t o i̯ m i n t ɑː n
yhteisöllisesti	y h t e i̯ s ø lː i s e s t iˣ
yksinäiselle	y k s i n æ i̯ s e lː eˣ
yksityiskäyttöön	y k s i t y i̯ s k æ y̯ tː øː n
yleisimmän	y l e i̯ s i mː æ n
ylemmille	y l e mː i lː eˣ
yliajalla	y l i ɑ j ɑ lː ɑ
ylilennot	y l i l e nː o t
ylioppilaskirjoituksissa	y l i o pː i l ɑ s k i r j o i̯ t u k s i sː ɑ
yllätyksekseen	y lː æ t y k s e k s eː n
yläpäähän	y l æ p æː h æ n
yritysostot	y r i t y s o s t o t
yrttiä	y r tː i æˣ
zeeland	t s eː l ɑ n d
zimmer	t s i mː e r
ärrällä	æ rː æ lː æˣ
ääneksi	æː n e k s i
äärimmäisestä	æː r i mː æ i̯ s e s t æˣ
aamukahvia	ɑː m u k ɑ h ʋ i ɑ
aatoksiin	ɑː t o k s iː n
aberdeen	ɑ b e r d eː n
ahvenet	ɑ h ʋ e n e t
aiheellisia	ɑ i̯ h eː lː i s i ɑ
aiheutunutta	ɑ i̯ h e u̯ t u n u tː ɑ
aikatyön	ɑ i̯ k ɑ t y ø̯ n
ainesosaa	ɑ i̯ n eˣ s o s ɑː
ainutlaatuisella	ɑ i̯ n u t l ɑː t u i̯ s e lː ɑˣ
aires	ɑ i̯ r e s
aitauksessa	ɑ i̯ t ɑ u k s e sː ɑ
ajatelleeni	ɑ j ɑ t e lː eː n i
ajattelette	ɑ j ɑ tː e l e tː eˣ
ajettaisiin	ɑ j e tː ɑ i̯ s iː n
aktivistin	ɑ k t i ʋ i s t i n
alamaiset	ɑ l ɑ m ɑ i̯ s e t
alareunasta	ɑ l ɑ r e u̯ n ɑ s t ɑ
alasen	ɑ l ɑ s e n
alkavia	ɑ l k ɑ ʋ i ɑ
alkulohkossaan	ɑ l k u l o h k o sː ɑː n
alkuräjähdyksen	ɑ l k u r æ j æ h d y k s e n
almuja	ɑ l m u j ɑ
alueissa	ɑ l u e i̯ sː ɑ
alueitaan	ɑ l u e i̯ t ɑː n
aluksissa	ɑ l u k s i sː ɑ
alvaro	ɑ l ʋ ɑ r o
amatöörinä	ɑ m ɑ t øː r i n æ
amerikkalais	ɑ m e r i kː ɑ l ɑ i̯ s
amerikoissa	ɑ m e r i k o i̯ sː ɑ
ampparit	ɑ m pː ɑ r i t
ampujana	ɑ m p u j ɑ n ɑ
ampuneensa	ɑ m p u n eː n s ɑ
analogista	ɑ n ɑ l o ɡ i s t ɑ
analysoitavaksi	ɑ n ɑ l y s o i̯ t ɑ ʋ ɑ k s i
anemiaa	ɑ n eˣ m i ɑː
animaatioiden	ɑ n i m ɑː t i o i̯ d e n
arkaluontoisia	ɑ r k ɑ l u o̯ n t o i̯ s i ɑ
aromia	ɑ r o m i ɑ
artikkelini	ɑ r t i kː e l i n i
arvioidusta	ɑ r ʋ i o i̯ d u s t ɑ
arvostin	ɑ r ʋ o s t i n
ashin	ɑ ʃ i n
asiakirjaan	ɑ s i ɑ k i r j ɑː n
asiakirjasta	ɑ s i ɑ k i r j ɑ s t ɑ
asianomaisten	ɑ s i ɑ n o m ɑ i̯ s t e n
asiantuntijalle	ɑ s i ɑ n t u n t i j ɑ lː eˣ
asiattomia	ɑ s i ɑ tː o m i ɑ
asset	ɑ sː e t
asteikkoa	ɑ s t e i̯ kː o ɑˣ
asukkaana	ɑ s u kː ɑː n ɑ
aucklandin	ɑ u̯ k l ɑ n d i n
