bil	b íː l
rezanja	r ɛ z áː n j a
ribniške	r ìː b n i ʃ k ɛ
rica	r ìː t͡s a
rodovitnost	r ɔ d ɔ ʋ íː t n ɔ s t
rojake	r ɔ j àː k ɛ
romanske	r ɔ m áː n s k ɛ
romarske	r ɔ m áː r s k ɛ
rosenberg	r ɔ s ɛ n b ɛ́ː r k
ročko	r óː t͡ʃ k ɔ
rožnatega	r ɔ ʒ n a t éː ɡ a
rumenkasto	r u m ɛ n k áː s t ɔ
sabine	s a b ìː n ɛ
sablje	s àː b l j ɛ
samoobrambo	s a m ɔ ɔ b r áː m b ɔ
sang	s áː n k
sasi	s àː s i
sestavite	s ɛ s t a ʋ ìː t ɛ
sfinga	s f íː n ɡ a
shapiro	s x a p ìː r ɔ
skandinavske	s k a n d i n áː ʋ s k ɛ
sklade	s k l àː d ɛ
sklopke	s k l óː p k ɛ
skrijete	s k r i j èː t ɛ
sloan	s l ɔ̀ː a n
smatrali	s m a t r àː l i
snemate	s n ɛ m àː t ɛ
sobna	s óː b n a
solinah	s ɔ l ìː n a x
spar	s p áː r
spelje	s p ɛ̀ː l j ɛ
spretnostjo	s p r ɛ t n óː s t j ɔ
stečaja	s t ɛ t͡ʃ áː j a
straniščno	s t r a n ìː ʃ t͡ʃ n ɔ
strankama	s t r a n k áː m a
stregli	s t r èː ɡ l i
streljala	s t r ɛ l j áː l a
strelnim	s t r èː l n i m
striček	s t r ìː t͡ʃ ə k
substanca	s u p s t áː n t͡s a
subtilno	s u p t íː l n ɔ
sušijo	s ùː ʃ i j ɔ
tajnice	t áː j n i t͡s ɛ
tarči	t áː r t͡ʃ i
tehtala	t ɛ x t áː l a
temeljile	t ɛ m ɛ l j ìː l ɛ
terminu	t ɛ r m ìː n u
til	t íː l
toksikološki	t ɔ k s i k ɔ l óː ʃ k i
tovrstnem	t ɔ ʋ ə́ r s t n ɛ m
trobila	t r ɔ b ìː l a
tulipan	t u l i p áː n
turbulence	t u r b u l éː n t͡s ɛ
ubijalec	u b i j áː l ə t͡s
ubral	u b r áː l
ugledal	u ɡ l ɛ d áː l
ugrizi	u ɡ r ìː z i
umirili	u m i r ìː l i
umm	ùː m
upniki	ùː p n i k i
using	u s íː n k
uspešnejše	u s p èː ʃ n ɛ j ʃ ɛ
ustvarjalke	u s t ʋ a r j áː l k ɛ
ut	úː t
utrdilo	u t ə r d ìː l ɔ
učenjaki	u t͡ʃ ɛ n j àː k i
užitki	u ʒ íː t k i
valovni	ʋ a l ɔ́ː ʋ n i
varovalko	ʋ a r ɔ ʋ áː l k ɔ
vezanega	ʋ ɛ z a n éː ɡ a
veži	ʋ èː ʒ i
vgrajenim	ʋ ɡ r a j ɛ n ìː m
vnetij	ʋ n èː t i j
vohuna	ʋ ɔ x ùː n a
vojakih	ʋ ɔ j àː k i x
vp	ʋ ə́ p ə
vsestranska	ʋ s ɛ s t r áː n s k a
vtisi	ʋ t ìː s i
vtisov	ʋ t ìː s ɔ ʋ
vzoren	ʋ z óː r ə n
vzorniki	ʋ z óː r n i k i
včerajšnjem	ʋ t͡ʃ ɛ r áː j ʃ n j ɛ m
wanda	ʋ áː n d a
zadostujejo	z a d ɔ s t u j ɛ́ː j ɔ
zakladu	z a k l áː d u
zakrilca	z a k r íː l t͡s a
zalomilo	z a l ɔ m ìː l ɔ
zaloti	z a l òː t i
zametke	z a m éː t k ɛ
zanimivimi	z a n i m ìː ʋ i m i
zaostankom	z a ɔ s t áː n k ɔ m
zapisovali	z a p i s ɔ ʋ àː l i
zapornic	z a p óː r n i t͡s
zasnovanih	z a s n ɔ ʋ àː n i x
zasuka	z a s ùː k a
zdus	z d úː s
zemljepisne	z ɛ m l j ɛ p íː s n ɛ
zleze	z l èː z ɛ
zlorabljal	z l ɔ r a b l j áː l
zmanjšajte	z m a n ʃ áː j t ɛ
zrcala	z ə r t͡s áː l a
zvonu	z ʋ óː n u
čakajoč	t͡ʃ a k a j óː t͡ʃ
časopisje	t͡ʃ a s ɔ p íː s j ɛ
čina	t͡ʃ ìː n a
škofijsko	ʃ k ɔ f íː j s k ɔ
špan	ʃ p áː n
španskim	ʃ p áː n s k i m
žarometi	ʒ a r ɔ m èː t i
židje	ʒ ìː d j ɛ
žleb	ʒ l éː p
advent	a d ʋ éː n t
airport	a i r p óː r t
apartmaje	a p a r t m áː j ɛ
aprilski	a p r íː l s k i
asfaltirana	a s f a l t i r áː n a
avivu	a ʋ ìː ʋ u
bankam	b áː n k a m
bard	b áː r t
bavarci	b a ʋ áː r t͡s i
baški	b áː ʃ k i
berlinskem	b ɛ r l ìː n s k ɛ m
besno	b ɛ̀ː s n ɔ
birokrati	b i r ɔ k r àː t i
blagodejno	b l a ɡ ɔ d ɛ́ː j n ɔ
bodečo	b ɔ d èː t͡ʃ ɔ
bolnic	b ɔ̀ː ʋ n i t͡s
bostonski	b ɔ s t óː n s k i
branch	b r áː n x
brazilsko	b r a z íː l s k ɔ
bundy	b ùː n d i
bunkerjev	b ùː n k ɛ r j ɛ ʋ
canada	t͡s a n áː d a
catalina	t͡s a t a l ìː n a
clean	t͡s l ɛ̀ː a n
cunami	t͡s u n àː m i
darovala	d a r ɔ ʋ áː l a
debelejša	d ɛ b ɛ l ɛ́ː j ʃ a
dehidracije	d ɛ x i d r àː t͡s i j ɛ
dejavne	d ɛ j áː ʋ n ɛ
delničar	d ɛ̀ː l n i t͡ʃ a r
demografska	d ɛ m ɔ ɡ r áː f s k a
department	d ɛ p a r t m éː n t
devin	d ɛ ʋ íː n
deželami	d ɛ ʒ ɛ l àː m i
digitalnem	d i ɡ i t áː l n ɛ m
dijaka	d i j àː k a
diktaturi	d i k t a t ùː r i
dizelske	d i z éː l s k ɛ
dobova	d ɔ b ɔ́ː ʋ a
dokazni	d ɔ k áː z n i
dokumentirana	d ɔ k u m ɛ n t i r áː n a
domnevna	d ɔ m n éː ʋ n a
dosegati	d ɔ s èː ɡ a t i
downs	d ɔ́ː ʋ n s
dragocenimi	d r a ɡ ɔ t͡s ɛ n ìː m i
drsanju	d ə́ r s a n j u
državljanka	d ə r ʒ a ʋ l j áː n k a
dvaindvajset	d ʋ a i n d ʋ áː j s ɛ t
eks	éː k s
eksperimentu	ɛ k s p ɛ r i m éː n t u
eksplozivni	ɛ k s p l ɔ z íː ʋ n i
elektrod	ɛ l ɛ k t r óː t
enakopraven	ɛ n a k ɔ p r áː ʋ ə n
enoglasno	ɛ n ɔ ɡ l áː s n ɔ
fabrizio	f a b r ìː z i ɔ
fig	f íː k
finančnik	f i n áː n t͡ʃ n i k
frajer	f r àː j ɛ r
frizerju	f r i z éː r j u
garner	ɡ àː r n ɛ r
gerhard	ɡ ɛ r x áː r t
glifosata	ɡ l i f ɔ s áː t a
golimi	ɡ ɔ l ìː m i
gonna	ɡ óː n n a
gorečih	ɡ ɔ r èː t͡ʃ i x
gospodi	ɡ ɔ s p òː d i
gotskem	ɡ óː t s k ɛ m
gravitacijskega	ɡ r a ʋ i t a t͡s íː j s k ɛ ɡ a
halle	x áː l l ɛ
harmonikarjev	x a r m ɔ n i k áː r j ɛ ʋ
havana	x a ʋ áː n a
hepatitisu	x ɛ p a t ìː t i s u
herod	x ɛ r óː t
hidravličnih	x i d r a ʋ l ìː t͡ʃ n i x
idejne	i d ɛ́ː j n ɛ
incidenca	i n t͡s i d éː n t͡s a
indikatorji	i n d i k a t óː r j i
inki	íː n k i
instinkt	i n s t íː n k t
intenziteta	i n t ɛ n z i t éː t a
invazivnih	i n ʋ a z íː ʋ n i x
izboljšamo	i z b ɔ l ʃ áː m ɔ
izbranec	i z b r áː n ə t͡s
izglasoval	i z ɡ l a s ɔ ʋ áː l
izkupičkom	i s k u p ìː t͡ʃ k ɔ m
iznajdba	i z n áː j d b a
iznajdljiv	i z n á j d l j ìː ʋ
izobčenec	i z ɔ p t͡ʃ éː n ə t͡s
izogibala	i z ɔ ɡ i b áː l a
izpričuje	i s p r i t͡ʃ úː j ɛ
izrabiti	i z r a b ìː t i
izumrl	i z ùː m ə r l
izvedljiva	i z ʋ ɛ d l j ìː ʋ a
izvirala	i z ʋ i r áː l a
izvršilno	i z ʋ ə r ʃ íː l n ɔ
jablan	j àː b l a n
jadralna	j a d r áː l n a
jager	j àː ɡ ə r
jajčni	j áː j t͡ʃ n i
jambor	j àː m b ɔ r
jezuitov	j ɛ z u ìː t ɔ ʋ
jurček	j ùː r t͡ʃ ə k
kapitanom	k a p i t áː n ɔ m
katoličan	k a t ɔ l ìː t͡ʃ a n
keramiki	k ɛ r a m ìː k i
kiparske	k i p áː r s k ɛ
kisa	k ìː s a
kitica	k ìː t i t͡s a
klimatski	k l i m áː t s k i
klorida	k l ɔ r ìː d a
klovna	k l ɔ́ː ʋ n a
kolesarjem	k ɔ l ɛ s áː r j ɛ m
kolobar	k ɔ l ɔ b àː r
komisarjev	k ɔ m i s áː r j ɛ ʋ
kondoma	k ɔ n d óː m a
konjeniškega	k ɔ n j ɛ n ìː ʃ k ɛ ɡ a
konstantnega	k ɔ n s t a n t n éː ɡ a
kontakte	k ɔ n t áː k t ɛ
kontrolirajo	k ɔ n t r ɔ l ìː r a j ɔ
konzula	k ɔ n z ùː l a
kopljejo	k ɔ p l j ɛ̀ː j ɔ
korejske	k ɔ r ɛ́ː j s k ɛ
kortikosteroidi	k ɔ r t i k ɔ s t ɛ r ɔ ìː d i
kraka	k r àː k a
kriminalke	k r i m i n áː l k ɛ
križanič	k r i ʒ àː n i t͡ʃ
krščanstvom	k ə r ʃ t͡ʃ áː n s t ʋ ɔ m
kva	k ʋ áː
lakoti	l a k òː t i
ledvična	l ɛ d ʋ ìː t͡ʃ n a
leipzig	l ɛ ìː p z i k
lesarstvo	l ɛ s áː r s t ʋ ɔ
letakov	l ɛ t àː k ɔ ʋ
letnikih	l èː t n i k i x
levec	l èː ʋ ə t͡s
liberalcev	l i b ɛ r áː l t͡s ɛ ʋ
lističe	l ìː s t i t͡ʃ ɛ
lit	l íː t
lite	l ìː t ɛ
ljubita	l j u b ìː t a
ločnico	l óː t͡ʃ n i t͡s ɔ
lubenice	l u b ɛ n ìː t͡s ɛ
luci	l ùː t͡s i
luksuzno	l u k s úː z n ɔ
majde	m áː j d ɛ
makedonsko	m a k ɛ d óː n s k ɔ
malenkostno	m a l ɛ n k óː s t n ɔ
maline	m a l ìː n ɛ
manga	m áː n ɡ a
maver	m àː ʋ ɛ r
mašino	m a ʃ ìː n ɔ
mendoza	m ɛ n d óː z a
mihail	m i x áː i l
modic	m òː d i t͡s
molitvena	m ɔ l i t ʋ éː n a
molitveni	m ɔ l i t ʋ èː n i
momo	m óː m ɔ
monde	m óː n d ɛ
možak	m ɔ ʒ àː k
mračni	m r àː t͡ʃ n i
mukah	m ùː k a x
nacionalistične	n a t͡s i ɔ n a l ìː s t i t͡ʃ n ɛ
nadrejenimi	n a d r ɛ j ɛ n ìː m i
naftovod	n a f t ɔ ʋ óː t
nahraniti	n a x r a n ìː t i
najdražjih	n á j d r áː ʒ j i x
najslavnejših	n á j s l àː ʋ n ɛ j ʃ i x
nakazala	n a k a z áː l a
nalezljivo	n a l ɛ z l j ìː ʋ ɔ
nameščenimi	n a m ɛ ʃ t͡ʃ ɛ n ìː m i
nanizal	n a n i z áː l
napovedovalec	n a p ɔ ʋ ɛ d ɔ ʋ áː l ə t͡s
naravnana	n a r a ʋ n áː n a
naravoslovna	n a r a ʋ ɔ s l ɔ́ː ʋ n a
nastopale	n a s t ɔ p áː l ɛ
natisniti	n a t i s n ìː t i
navijajo	n a ʋ i j áː j ɔ
navijal	n a ʋ i j áː l
nervozen	n ɛ r ʋ óː z ə n
neskladju	n ɛ s k l áː d j u
ness	n éː s
neurju	n ɛ ùː r j u
neustrezen	n ɛ u s t r èː z ə n
nezgod	n ɛ z ɡ óː t
nečloveško	n ɛ t͡ʃ l ɔ ʋ éː ʃ k ɔ
nihala	n i x áː l a
nize	n ìː z ɛ
nordijska	n ɔ r d íː j s k a
normal	n ɔ r m áː l
norčuje	n ɔ r t͡ʃ úː j ɛ
nun	n úː n
objektivnost	ɔ b j ɛ k t íː ʋ n ɔ s t
oblači	ɔ b l àː t͡ʃ i
območno	ɔ b m óː t͡ʃ n ɔ
obravnavale	ɔ b r a ʋ n a ʋ áː l ɛ
obsodi	ɔ p s òː d i
obstali	ɔ p s t àː l i
obvarovali	ɔ b ʋ a r ɔ ʋ àː l i
občudovalec	ɔ p t͡ʃ u d ɔ ʋ áː l ə t͡s
ocenjevalcev	ɔ t͡s ɛ n j ɛ ʋ áː l t͡s ɛ ʋ
odcepitev	ɔ t t͡s ɛ p ìː t ə ʋ
odločb	ɔ d l óː t͡ʃ p
ogljem	ɔ ɡ l j éː m
ograde	ɔ ɡ r àː d ɛ
ogrin	ɔ ɡ r íː n
oljno	ɔ̀ː l n ɔ
omejitvijo	ɔ m ɛ j ìː t ʋ i j ɔ
oprostil	ɔ p r ɔ s t íː l
opuščeno	ɔ p ùː ʃ t͡ʃ ɛ n ɔ
orchestra	ɔ r x éː s t r a
osemsto	ɔ s éː m s t ɔ
osnutka	ɔ s n úː t k a
osnutkov	ɔ s n úː t k ɔ ʋ
ota	óː t a
own	ɔ́ː ʋ n
ozemeljsko	ɔ z ɛ m éː l s k ɔ
oznanjal	ɔ z n a n j áː l
ozrem	ɔ z r éː m
oživijo	ɔ ʒ ìː ʋ i j ɔ
paola	p a óː l a
paradižnike	p a r a d ìː ʒ n i k ɛ
parna	p áː r n a
patološko	p a t ɔ l óː ʃ k ɔ
pašnike	p áː ʃ n i k ɛ
pektoris	p ɛ k t ɔ r íː s
pendleton	p ɛ n d l ɛ t óː n
periferne	p ɛ r i f éː r n ɛ
pišeta	p i ʃ éː t a
plantaže	p l a n t áː ʒ ɛ
platišča	p l a t íː ʃ t͡ʃ a
plavi	p l àː ʋ i
plesnimi	p l ɛ s n ìː m i
plovbi	p l ɔ́ː ʋ b i
podpisi	p ɔ t p ìː s i
podrlo	p ɔ d ə́ r l ɔ
poenotiti	p ɔ ɛ n ɔ t ìː t i
poimenovanih	p ɔ i m ɛ n ɔ ʋ àː n i x
pokopala	p ɔ k ɔ p áː l a
pokrovček	p ɔ k r ɔ́ː ʋ t͡ʃ ə k
poldrugi	p ɔ ʋ d r ùː ɡ i
poljanska	p ɔ l j áː n s k a
ponikve	p ɔ n ìː k ʋ ɛ
ponte	p óː n t ɛ
pool	p ɔ̀ː ʋ
pospeševati	p ɔ s p ɛ ʃ ɛ ʋ àː t i
pospešitev	p ɔ s p ɛ ʃ íː t ə ʋ
pospeška	p ɔ s p éː ʃ k a
postanite	p ɔ s t a n ìː t ɛ
postanki	p ɔ s t áː n k i
posthumno	p ɔ s t x úː m n ɔ
potica	p ɔ t ìː t͡s a
potomka	p ɔ t óː m k a
poučil	p ɔ u t͡ʃ íː l
pozdrava	p ɔ z d r áː ʋ a
pošiljanjem	p ɔ ʃ i l j áː n j ɛ m
prado	p r àː d ɔ
pravljicami	p r a ʋ l j ìː t͡s a m i
prazgodovinske	p r a z ɡ ɔ d ɔ ʋ íː n s k ɛ
prašne	p r áː ʃ n ɛ
predragi	p r ɛ d r àː ɡ i
predsedovala	p r ɛ t s ɛ d ɔ ʋ áː l a
prefekt	p r ɛ f éː k t
pregnan	p r ɛ ɡ n áː n
preiskovalnega	p r ɛ i s k ɔ ʋ áː l n ɛ ɡ a
preminulega	p r ɛ m i n u l éː ɡ a
premišljevanja	p r ɛ m i ʃ l j ɛ ʋ áː n j a
preprečeval	p r ɛ p r ɛ t͡ʃ ɛ ʋ áː l
prepričevanje	p r ɛ p r i t͡ʃ ɛ ʋ áː n j ɛ
preskusi	p r ɛ s k ùː s i
prespala	p r ɛ s p áː l a
prestavite	p r ɛ s t a ʋ ìː t ɛ
pretiravajo	p r ɛ t i r a ʋ áː j ɔ
prezbiterija	p r ɛ z b i t ɛ r íː j a
preči	p r èː t͡ʃ i
preživita	p r ɛ ʒ ìː ʋ i t a
pribito	p r i b ìː t ɔ
prilepila	p r i l ɛ p ìː l a
primanjkljaja	p r i m a n k l j áː j a
prinašalec	p r i n a ʃ áː l ə t͡s
pristranski	p r i s t r áː n s k i
pristranskosti	p r i s t r áː n s k ɔ s t i
pritchard	p r i t x áː r t
prodajalcu	p r ɔ d a j áː l t͡s u
proglasili	p r ɔ ɡ l a s ìː l i
projekcij	p r ɔ j èː k t͡s i j
prosit	p r ɔ s íː t
protokole	p r ɔ t ɔ k óː l ɛ
prozorno	p r ɔ z óː r n ɔ
prvina	p ə r ʋ ìː n a
prvotnim	p ə r ʋ óː t n i m
prvovrstno	p ə r ʋ ɔ ʋ ə́ r s t n ɔ
psihe	p s ìː x ɛ
pustolovec	p u s t ɔ l ɔ́ː ʋ ə t͡s
pz	p s
radovljice	r a d ɔ ʋ l j ìː t͡s ɛ
rakci	r àː k t͡s i
rasle	r àː s l ɛ
rastočo	r a s t óː t͡ʃ ɔ
ravnate	r a ʋ n àː t ɛ
ravnici	r àː ʋ n i t͡s i
razglasiti	r a z ɡ l àː s i t i
raziskan	r a z i s k áː n
raziskane	r a z i s k áː n ɛ
razložena	r a z l ɔ ʒ éː n a
razor	r a z óː r
razpisala	r a s p i s áː l a
razpoložljiva	r a s p ɔ l ɔ ʒ l j ìː ʋ a
razrešitvi	r a z r ɛ ʃ íː t ʋ i
razvrstimo	r a z ʋ ə́ r s t i m ɔ
razširjenimi	r a s ʃ i r j ɛ n ìː m i
redovni	r ɛ d ɔ́ː ʋ n i
reprezentativne	r ɛ p r ɛ z ɛ n t a t íː ʋ n ɛ
resnejši	r èː s n ɛ j ʃ i
rezultira	r ɛ z u l t ìː r a
režirala	r ɛ ʒ i r áː l a
rokavico	r ɔ k a ʋ ìː t͡s ɔ
romunske	r ɔ m úː n s k ɛ
rotacijo	r ɔ t a t͡s íː j ɔ
rotterdamu	r ɔ t t ɛ r d áː m u
rozine	r ɔ z ìː n ɛ
ročnimi	r óː t͡ʃ n i m i
sadjarstvo	s a d j áː r s t ʋ ɔ
samotno	s a m óː t n ɔ
sekretarju	s ɛ k r ɛ t áː r j u
seneni	s ɛ n èː n i
sestavu	s ɛ s t áː ʋ u
sherlocka	s x ɛ r l óː t͡s k a
shranjevali	s x r a n j ɛ ʋ àː l i
simfoničnim	s i m f ɔ n ìː t͡ʃ n i m
skici	s k ìː t͡s i
sklicali	s k l i t͡s àː l i
skrinjica	s k r ìː n j i t͡s a
skrinjice	s k r ìː n j i t͡s ɛ
slavistike	s l a ʋ ìː s t i k ɛ
slušalko	s l u ʃ áː l k ɔ
sociološke	s ɔ t͡s i ɔ l óː ʃ k ɛ
sodu	s óː d u
spadali	s p a d àː l i
spiti	s p ìː t i
spletnimi	s p l èː t n i m i
spočit	s p ɔ t͡ʃ íː t
sprehodili	s p r ɛ x ɔ d ìː l i
spremljave	s p r ɛ m l j áː ʋ ɛ
sproščene	s p r ɔ̀ː ʃ t͡ʃ ɛ n ɛ
sredinsko	s r ɛ d íː n s k ɔ
srednjimi	s r ɛ d n j ìː m i
stikal	s t i k áː l
strankarski	s t r a n k áː r s k i
strelih	s t r èː l i x
strmoglavi	s t ə r m ɔ ɡ l àː ʋ i
strogimi	s t r ɔ ɡ ìː m i
struna	s t r ùː n a
stvarjo	s t ʋ áː r j ɔ
sunkov	s ùː n k ɔ ʋ
svetlejšo	s ʋ èː t l ɛ j ʃ ɔ
taborih	t a b ɔ̀ː r i x
temelja	t ɛ m éː l j a
templje	t ɛ̀ː m p l j ɛ
tenerife	t ɛ n ɛ r ìː f ɛ
teologija	t ɛ ɔ l ɔ ɡ íː j a
tesnega	t ɛ s n éː ɡ a
tig	t íː k
tipkovnici	t i p k ɔ́ː ʋ n i t͡s i
tiranije	t i r àː n i j ɛ
titani	t i t àː n i
tkanja	t k áː n j a
tobin	t ɔ b íː n
tolminski	t ɔ l m íː n s k i
tonih	t òː n i x
tora	t óː r a
tovornjakom	t ɔ ʋ ɔ r n j àː k ɔ m
tovrstnim	t ɔ ʋ ə́ r s t n i m
tranzitni	t r a n z íː t n i
trinajstega	t r i n áː j s t ɛ ɡ a
tune	t ùː n ɛ
turah	t ùː r a x
tut	t úː t
udeleževati	u d ɛ l ɛ ʒ ɛ ʋ àː t i
ugotovita	u ɡ ɔ t ɔ ʋ ìː t a
unikaten	u n i k áː t ə n
uničevali	u n i t͡ʃ ɛ ʋ àː l i
ustanovna	u s t a n ɔ́ː ʋ n a
učenke	u t͡ʃ éː n k ɛ
ušesne	u ʃ éː s n ɛ
varuhov	ʋ a r ùː x ɔ ʋ
vegetacija	ʋ ɛ ɡ ɛ t àː t͡s i j a
veterinarjev	ʋ ɛ t ɛ r i n áː r j ɛ ʋ
virgin	ʋ i r ɡ íː n
vkrcanje	ʋ k ə̀ r t͡s a n j ɛ
vladavini	ʋ l a d a ʋ ìː n i
vlagal	ʋ l a ɡ áː l
vlaknine	ʋ l a k n ìː n ɛ
vnela	ʋ n èː l a
vodko	ʋ óː t k ɔ
vodotoka	ʋ ɔ d ɔ t óː k a
vodotokih	ʋ ɔ d ɔ t óː k i x
vokalist	ʋ ɔ k a l íː s t
zadostoval	z a d ɔ s t ɔ ʋ áː l
zadružna	z a d r úː ʒ n a
zadušitev	z a d u ʃ íː t ə ʋ
zagnala	z a ɡ n áː l a
zajedavci	z a j ɛ d áː ʋ t͡s i
zakonodajna	z a k ɔ n ɔ d áː j n a
zaloška	z a l óː ʃ k a
zapeljiva	z a p ɛ l j ìː ʋ a
zapisoval	z a p i s ɔ ʋ áː l
zapiši	z a p ìː ʃ i
zaposljivost	z a p ɔ s l j ìː ʋ ɔ s t
zapravljali	z a p r a ʋ l j àː l i
zaprtim	z a p ə̀ r t i m
zasliševali	z a s l i ʃ ɛ ʋ àː l i
zaslužkom	z a s l úː ʃ k ɔ m
zavem	z àː ʋ ə m
začetnica	z a t͡ʃ éː t n i t͡s a
zaživelo	z a ʒ i ʋ éː l ɔ
zdita	z d ìː t a
zdr	z d ə́ r
zgoreli	z ɡ ɔ r èː l i
zgubi	z ɡ ùː b i
zločince	z l ɔ t͡ʃ íː n t͡s ɛ
zloženka	z l ɔ ʒ éː n k a
znašle	z n áː ʃ l ɛ
čarovnijo	t͡ʃ a r ɔ́ː ʋ n i j ɔ
častimo	t͡ʃ a s t ìː m ɔ
čipi	t͡ʃ ìː p i
črpati	t͡ʃ ə̀ r p a t i
čutilo	t͡ʃ u t ìː l ɔ
šepa	ʃ èː p a
škofovska	ʃ k ɔ f ɔ́ː ʋ s k a
škrati	ʃ k r àː t i
švrk	ʃ ʋ ə́ r k
žilja	ʒ íː l j a
živiva	ʒ i ʋ ìː ʋ a
anemijo	a n ɛ m íː j ɔ
anglo	àː n ɡ l ɔ
antioksidativno	a n t i ɔ k s i d a t íː ʋ n ɔ
arabec	a r àː b ə t͡s
aranžmaje	a r a n ʒ m áː j ɛ
arch	àː r x
arheologija	a r x ɛ ɔ l ɔ ɡ íː j a
astrologiji	a s t r ɔ l ɔ ɡ íː j i
astronomski	a s t r ɔ n óː m s k i
astronomskih	a s t r ɔ n óː m s k i x
avtomobilskem	áː ʋ t ɔ m ɔ b íː l s k ɛ m
avtoriteti	a ʋ t ɔ r i t èː t i
bagdada	b a ɡ d áː d a
balada	b a l áː d a
bančnem	b àː n t͡ʃ n ɛ m
beljakovinske	b ɛ l j a k ɔ ʋ íː n s k ɛ
benko	b ɛ̀ː n k ɔ
bic	b ìː t͡s
blagih	b l àː ɡ i x
bloga	b l óː ɡ a
bohinc	b ɔ x íː n t͡s
bolonjska	b ɔ l óː n s k a
bolt	b ɔ́ː ʋ t
bondu	b óː n d u
borovega	b ɔ r ɔ ʋ éː ɡ a
boštjančič	b ɔ ʃ t j áː n t͡ʃ i t͡ʃ
brezupno	b r ɛ z ùː p n ɔ
brick	b r ìː t͡s k
brskal	b ə́ r s k a l
chantal	x a n t áː l
ciganka	t͡s i ɡ áː n k a
corso	t͡s óː r s ɔ
croft	t͡s r óː f t
cveto	t͡s ʋ èː t ɔ
daljinec	d a l j ìː n ə t͡s
daljnih	d áː l n i x
daljšimi	d áː l ʃ i m i
darilni	d a r íː l n i
datira	d a t ìː r a
degradacije	d ɛ ɡ r a d àː t͡s i j ɛ
delfino	d ɛ l f ìː n ɔ
demokratizacijo	d ɛ m ɔ k r a t i z àː t͡s i j ɔ
depozit	d ɛ p ɔ z íː t
desetletno	d ɛ s ɛ t l éː t n ɔ
didaktike	d i d áː k t i k ɛ
dijaško	d i j áː ʃ k ɔ
direktorice	d i r ɛ k t ɔ r ìː t͡s ɛ
dobrovo	d ɔ b r ɔ́ː ʋ ɔ
dokumentom	d ɔ k u m éː n t ɔ m
dragocenost	d r a ɡ ɔ t͡s éː n ɔ s t
dua	d ùː a
duane	d u àː n ɛ
dunbar	d ùː n b a r
ekstrakta	ɛ k s t r áː k t a
elegantni	ɛ l ɛ ɡ áː n t n i
elisa	ɛ l ìː s a
enačijo	ɛ n àː t͡ʃ i j ɔ
even	ɛ̀ː ʋ ə n
evroobmočja	ɛ ʋ r ɔ ɔ b m óː t͡ʃ j a
faraona	f a r a óː n a
fernanda	f ɛ r n áː n d a
florjan	f l ɔ r j áː n
formatih	f ɔ r m àː t i x
fosili	f ɔ s ìː l i
fotografskega	f ɔ t ɔ ɡ r áː f s k ɛ ɡ a
franšiza	f r a n ʃ ìː z a
fruktoze	f r u k t óː z ɛ
gardiner	ɡ a r d ìː n ə r
generalmajor	ɡ ɛ n ɛ r áː l m a j ɔ r
geolog	ɡ ɛ ɔ l óː k
georgi	ɡ ɛ óː r ɡ i
glukoza	ɡ l u k óː z a
gosposki	ɡ ɔ s p óː s k i
gostejše	ɡ ɔ s t ɛ́ː j ʃ ɛ
gostinskih	ɡ ɔ s t íː n s k i x
granville	ɡ r a n ʋ íː l ɛ
grenka	ɡ r èː n k a
gričevja	ɡ r i t͡ʃ éː ʋ j a
grmovnic	ɡ ə r m ɔ́ː ʋ n i t͡s
grobega	ɡ r ɔ b éː ɡ a
gugalnica	ɡ u ɡ áː l n i t͡s a
habjan	x a b j áː n
harmonik	x a r m óː n i k
hauptman	x a u p t m áː n
havaje	x a ʋ áː j ɛ
hess	x éː s
hite	x ìː t ɛ
hkratni	x k r áː t n i
hura	x ùː r a
idrijskem	i d r íː j s k ə m
igorju	i ɡ óː r j u
igrivo	i ɡ r ìː ʋ ɔ
imitacija	i m i t àː t͡s i j a
imitacije	i m i t àː t͡s i j ɛ
interaktivne	i n t ɛ r a k t íː ʋ n ɛ
intervencij	i n t ɛ r ʋ èː n t͡s i j
inu	ìː n u
invaziji	i n ʋ àː z i j i
izdatki	i z d áː t k i
izginule	i z ɡ i n ùː l ɛ
izginuli	i z ɡ i n ùː l i
izgubljala	i z ɡ u b l j áː l a
izkusiti	i s k ùː s i t i
izoblikuje	i z ɔ b l i k úː j ɛ
izobraženega	i z ɔ b r a ʒ ɛ n éː ɡ a
izraznih	i z r áː z n i x
izvolila	i z ʋ ɔ l ìː l a
jamarjev	j àː m a r j ɛ ʋ
jelovice	j ɛ l ɔ ʋ ìː t͡s ɛ
kanadčan	k a n áː t t͡ʃ a n
kapsul	k a p s úː l
kartuzija	k a r t ùː z i j a
kazina	k a z ìː n a
keton	k ɛ t óː n
kitajščine	k i t áː j ʃ t͡ʃ i n ɛ
književni	k n j i ʒ éː ʋ n i
kodno	k óː d n ɔ
kolarič	k ɔ l a r ìː t͡ʃ
komentarju	k ɔ m ɛ n t áː r j u
komnu	k óː m n u
kompoziciji	k ɔ m p ɔ z ìː t͡s i j i
komunalni	k ɔ m u n áː l n i
konicami	k ɔ n i t͡s àː m i
konkurenčnega	k ɔ n k u r èː n t͡ʃ n ɛ ɡ a
konservativno	k ɔ n s ɛ r ʋ a t íː ʋ n ɔ
