seg	s æ ɪ̯
tidstypisk	t iː d s t yː p ɪ s k
tigerens	t ɪ ɡ ɛ r ɛ n s
tiltaleformen	t ɪ l t ɑː l ə f ɔ r m n̩
tko	t k uː
todal	t uː d ɑː l
torstensen	t u ʂ t ɛ n s n̩
treningsklær	t r eː n ɪ ŋ s k l æː r
trettebergstuen	t r ɛ tː ə b æ ɾ ɡ s t ʉː n̩
trippen	t r ɪ pː n̩
trollfjorden	t r ɔ l f j uː r n̩
tryna	t r yː n ɑ
tulipanene	t ʉː l ɪ p ɑː n ə n ə
tvilerne	t ʋ iː l æ ɳ ə
tylden	t ʏ l d n̩
tyskspråklige	t ʏ s k s p r oː k l ɪ ə
tømmerhogger	t œ mː ə r h ɔ ɡ ə r
tønnesson	t œ nː ə s uː n
ubearbeidet	ʉː b ə a r b æ ɪ d ə
udåd	ʉː d oː
ugandas	ʉː ɡ a n d a s
uniforme	ʉː n ɪ f ɔ r m ə
utkledning	ʉː t k l eː d n ɪ ŋ
utskrivning	ʉː t s k r iː ʋ n ɪ ŋ
valka	ʋ ɑ l k ɑ
vekslinger	ʋ ɛ k s l ɪ ŋ ə r
vektorene	ʋ ɛ k t uː r ə n ə
vemmelse	ʋ ɛ mː ə l s ə
ventilerte	ʋ ɛ n t ɪ l eː ʁ t ə
vestnorsk	ʋ ɛ s t n ɔ ʂ k
vestvik	ʋ ɛ s t ʋ iː k
vimpelen	ʋ ɪ m p ə l n̩
visdomstenner	ʋ iː s d ɔ m s t ɛ nː ə r
visningene	ʋ ɪ s n ɪ ŋ ə n ə
vrengte	ʋ r ɛ ŋ t ə
webserver	v ɛ b s ɛ r ʋ ə r
wrangler	v r ɑ ŋ l ə r
æresprisen	æː r ə s p r iː s n̩
aasens	ɑː s ə n s
acheron	a ʃ ə r uː n
acs	a k s
akerø	ɑː k ə r øː
aksellast	a k s ɛ lː a s t
aler	ɑː l ə r
amit	ɑ m iː t
arker	ɑ r k ə r
arriba	ɑ r iː b ɑ
asylsaker	a s yː l s ɑː k ə r
atoll	a t ɔ l
auksjonere	æ ʉ k ʃ uː n ə r ə
auksjonerer	æ ʉ k ʃ uː n ə r ə r
avbøtende	ɑː ʋ b øː t ə n d ə
avhendet	ɑː ʋ h ɛ n d ə
avian	ɑ ʋ ɪ ɑː n
avlønning	ɑː ʋ l œ nː ɪ ŋ
avrunder	ɑː ʋ r ʉ n d ə r
avstod	ɑː ʋ s t uː
avtrykkene	ɑː ʋ t r ʏ kː ə n ə
badstuer	b a d s t ʉː ə r
bagels	b ɑː ɡ ə l s
barty	b a ʁ t yː
batgirl	b ɑː t j iː ɭ
belåning	b ə l oː n ɪ ŋ
bjellen	b j ɛ lː n̩
bjoneroa	b j uː n ə r uː a
blofeld	b l uː f ɛ l
boforholdene	b uː f ɔ r h ɔ l d ə n ə
bolsjeviker	b uː l ʃ ə ʋ iː k ə r
bondesønn	b ʊ n d ə s œ n
bork	b ɔ r k
bossene	b ɔ sː ə n ə
bowes	b ɔ ʋ ə s
brees	b r eː s
brigadene	b r ɪ ɡ ɑː d ə n ə
bronkiene	b r ɔ ŋ k ɪ ə n ə
brukerstyrt	b r ʉː k ə ʁ s t yː ʁ t
brusken	b r ʉ s k n̩
brystbeinet	b r ʏ s t b æ ɪ n ə
bueskytteren	b ʉː ə ʃ ʏ tː ə r n̩
byll	b ʏ l
byster	b ʏ s t ə r
carsons	k a ʁ s uː n s
cin	s iː n
coma	k uː m a
consider	k ɔ n s iː d ə r
croce	k r uː s
dages	d ɑː ɡ ə s
daim	d ɑ ɪ̯ m
daoud	d æ ʉ̯
datastrømmer	d ɑː t a s t r œ mː ə r
datatyper	d ɑː t a t yː p ə r
delfinalen	d ɛ l f ɪ n ɑː l n̩
disposisjonsrett	d ɪ s p ʊ s ɪ ʃ uː n s r ɛ t
disputter	d ɪ s p ʉ tː ə r
dizzie	d ɪ t s ɪ
djup	j ʉː p
doningen	d uː n ɪ ŋ n̩
dubber	d ʉ bː ə r
eddington	ɛ dː ɪ ŋ t uː n
eldstemann	ɛ l s t ə m a n
election	e l ɛ k ʃ uː n
emmi	ɛ mː ɪ
endal	ɛ n d ɑː l
entur	ɛ n t ʉː r
evansville	e ʋ a n s ʋ ɪ lː ə
examples	ɛ k s a m p l ə s
exists	ɛ k s ɪ s t s
familiefedre	f a m iː l j ə f eː d r ə
fasjonabel	f a ʃ ʊ n ɑː b ə l
fastelavn	f a s t ə l a ʋ n
fau	f æ ʉ̯
fellesnavn	f ɛ lː ə s n a ʋ n
ferdiglaget	f æ ɖ ɪ ɡ l ɑː ɡ ə
festdrakter	f ɛ s t d r a k t ə r
festemidler	f ɛ s t ə m iː d l ə r
fiskå	f ɪ s k oː
flåttbitt	f l o t b i t
folketomme	f ɔ l k ə t ɔ mː ə
folketomt	f ɔ l k ə t ɔ m t
fordekket	f ɔ ɾ d ɛ kː ə
formgivere	f ɔ r m j iː ʋ ə r ə
formmessig	f ɔ r m ɛ sː ɪ
forskningsassistent	f ɔ ʂ k n ɪ ŋ s a s ɪ s t ɛ n t
forstående	f ɔ ʂ t oː ə n d ə
forvaltningsoppgaver	f ɔ r ʋ ɑ l t n ɪ ŋ s ɔ p ɡ ɑː ʋ ə r
forvarsler	f ɔ r ʋ ɑ ʂ l ə r
forærte	f ɔ r æː ʈ ə
frigjøringshær	f r iː j øː r ɪ ŋ s h æː r
fristelsene	f r ɪ s t ə l s ə n ə
fugene	f ʉː ɡ ə n ə
fuld	f ʉ l
geparden	ɡ ə p ɑː r n̩
girs	j i ʂ
gjerrighet	j æ r ɪ h eː t
gjespe	j ɛ s p ə
glassdør	ɡ l ɑ s d øː r
glava	ɡ l ɑː ʋ ɑ
glidelåser	ɡ l iː d ə l oː s ə r
glitteret	ɡ l ɪ tː ə r ə
gnagd	ɡ n a ɡ d
goldt	ɡ ɔ l t
grub	ɡ r ʉː b
grunnholdning	ɡ r ʉ n h ɔ l d n ɪ ŋ
grunnskolene	ɡ r ʉ n s k uː l ə n ə
gullklokka	ɡ ʉ l k l ɔ kː a
gullklokke	ɡ ʉ l k l ɔ k ə
haagenrud	h ɑː ɡ ə n r ʉː
hallie	h a l j ə
hamn	h a m n
hanka	h ɑ ŋ k ɑ
harselas	h a ʁ s ə l ɑː s
havområde	h ɑː ʋ ɔ m r oː d ə
helseorganisasjoner	h ɛ l s ə ʊ r ɡ a n ɪ s a ʃ uː n ə r
hike	h iː k ə
hillerød	h ɪ lː ə r øː
hillsong	h ɪ l s ɔ ŋ
hittebarn	h ɪ tː ə b ɑː ɳ
hjemmestyrkene	j ɛ mː ə s t ʏ r k ə n ə
hodeskallene	h uː d ə s k a lː ə n ə
horta	h u ʈ a
huslærer	h ʉː s l æː r ə r
husløs	h ʉː s l øː s
hutu	h ʉː t ʉ
håndhilste	h ɔ n d h ɪ l s t ə
hølet	h øː l ə
ifører	ɪ f øː r ə r
ignorering	ɪ ŋ n ʊ r eː r ɪ ŋ
ildsprutende	ɪ l s p r ʉː t ə n d ə
innvortes	ɪ nː ʋ ɔ ʁ t ə s
insolvent	ɪ n s ɔ l ʋ ɛ n t
interests	ɪ n t ə r ɛ s t s
isblokk	iː s b l ɔ k
issen	ɪ sː n̩
jarler	j ɑː ɭ ə r
johnsson	j uː n s uː n
julekake	j ʉː l ə k ɑː k ə
julenisser	j ʉː l ə n ɪ sː ə r
kalkulerende	k a l k ʉ l eː r ə n d ə
kammers	k a mː ə ʁ s
kanoniske	k a n uː n ɪ s k ə
kappestrid	k a p ə s t r iː
karstensen	k a ʁ s t ɛ n s n̩
kean	k eː ɑ n
kfor	k f ɔ r
kjernesaker	ç æː ɳ ə s ɑː k ə r
kjettingene	ç ɛ tː ɪ ŋ ə n ə
klaser	k l ɑː s ə r
klips	k l ɪ p s
knivet	k n iː ʋ ə
kreasjoner	k r ɛ a ʃ uː n ə r
krisens	k r iː s ɛ n s
kristenliv	k r ɪ s t n̩ l iː ʋ
krogvold	k r uː ɡ ʋ ɔ l
kruseduller	k r ʉː s ə d ʉ l ə r
kunstmuseer	k ʉ n s t m ʉ s eː ə r
kupongene	k ʉ p ɔ ŋ ə n ə
kvartfinaler	k ʋ ɑ ʁ t f ɪ n ɑː l ə r
kyssesyken	ç ʏ sː ə s yː k n̩
køhn	k øː n
labradoodle	l ɑː b r a d uː d l ə
labre	l ɑː b r ə
lavprisselskaper	l ɑː ʋ p r ɪ sː ə l s k ɑː p ə r
lecce	l ɛ k s
leiepriser	l æ ɪ ə p r iː s ə r
lengdehopp	l ɛ ŋ d ə h ɔ p
leninismen	l ɛ n ɪ n ɪ s m n̩
licking	l ɪ kː ɪ ŋ
lokaltrafikk	l u k a l t r a f i k
lsks	l s k s
lugano	l ʉ ɡ ɑː n ʊ
madonnas	m a d ʊ n a s
magrere	m ɑ ɡ r eː r ə
makulere	m ɑ k ʉ l eː r ə
massegravene	m a sː ə ɡ r ɑː ʋ ə n ə
mennen	m ɛ nː n̩
middagsmat	m i d a ɡ s m aː t
mikrotransaksjoner	m i k r u t r a n s a k ʃ uː n ə r
miriams	m iː r ɪ a m s
mistilpassede	m ɪ s t ɪ l p a sː ə d ə
montevideo	m u n t e ʋ iː d e u
morgenens	m ɔ r ɡ ə n ɛ n s
mukhtar	m ʉ k t ɑː r
myrkdalen	m ʏ r k d ɑː l n̩
mørkegrønne	m œ r k ə ɡ r œ nː ə
nimrod	n ɪ m r uː
nitrater	n ɪ t r ɑː t ə r
norce	n ɔ r s
norsar	n ɔ ʂ ɑː r
nyhetsinnslag	n yː h e t s i n s l aː ɡ
nytelsens	n yː t ə l s ɛ n s
næres	n æː r ə s
nødmelding	n øː m ɛ l d ɪ ŋ
omdefinerer	ɔ m d ə f ɪ n eː r ə r
opptakeren	ɔ p t ɑː k ə r n̩
ordblind	uː r b l ɪ n
overbefolkede	oː ʋ ə r b ə f ɔ l k ə d ə
overhuden	oː ʋ ə r h ʉː d n̩
oves	oː ʋ ə s
pakketilbud	p a kː ə t ɪ l b ʉː
palette	p ɑ l ɛ tː ə
paragon	p a r a ɡ uː n
pastinakk	p a s t ɪ n a k
phipps	f ɪ p s
podden	p ɔ dː n̩
populistene	p ʊ p ʉ l ɪ s t ə n ə
postgangen	p ɔ s t ɡ ɑ ŋ n̩
privatarkiv	p r iː ʋ a t a r k iː ʋ
profiterer	p r ʊ f ɪ t eː r ə r
prøvesmake	p r øː ʋ ə s m ɑː k ə
pudderet	p ʉ d eː r ə
påtvinges	p oː t ʋ ɪ ŋ ə s
rasjonene	r a ʃ uː n ə n ə
raska	r a s k a
ravet	r ɑː ʋ ə
redene	r eː d ə n ə
reip	r æ ɪ̯ p
ribbena	r ɪ bː ə n a
riku	r iː k ʉ
ripped	r ɪ pː ə
rodman	r uː m ɑ n
romtid	r u m t iː
rudjord	r ʉː j u r
rutegående	r ʉː t ə ɡ oː ə n d ə
saffron	s a f r uː n
saksbehandlingstid	s a k s b ə h a n d l ɪ ŋ s t iː
saltfisk	s ɑ l t f ɪ s k
samlingsstedet	s a m l ɪ ŋ s t eː d ə
sammenbrettet	s a mː ə n b r ɛ tː ə
schafer	ʃ ɑː f ə r
seating	s ɛ ɑː t ɪ ŋ
segalstad	s ə ɡ ɑː l s t ɑː
seksåringer	s ɛ k s oː r ɪ ŋ ə r
seleksjonen	s ɛ l ə k ʃ uː n n̩
selvrefleksjon	s ɛ l ʋ r ɛ f l ɛ k ʃ uː n
sjasmin	ʃ a s m iː n
skanningen	s k a nː ɪ ŋ n̩
skara	s k ɑː r ɑ
skattum	s k a tː ʉ m
skid	ʃ iː
skolevalgene	s k uː l ə ʋ a l ɡ ə n ə
skraphandler	s k r ɑː p h ɑ n d l ə r
skul	s k ʉː l
skyssen	ʃ ʏ sː n̩
slektinger	ʂ l ɛ k t ɪ ŋ ə r
sluttstrek	ʂ l ʉ t s t r eː k
smack	s m a k
småbiler	s m oː b iː l ə r
socio	s uː s ɪ ʊ
sofokles	s u f u k l eː s
southport	s uː t p u ʈ
sparkingen	s p ɑ r k ɪ ŋ n̩
spleiselaget	s p l æ ɪ s ə l ɑː ɡ ə
sprayflaske	s p r æ j f l a s k ə
staber	s t ɑː b ə r
standsmessig	s t a n s m ɛ sː ɪ
startstedet	s t a ʁ t s t eː d ə
statistical	s t a t ɪ s t ɪ k ɑː l
staying	s t æ ɪ ɪ ŋ
steinrøysa	s t æ j n r œ ʏ s a
stiftere	s t ɪ f t ə r ə
stortingsgata	s t u ʈ ɪ ŋ s ɡ ɑː t a
strokes	s t r uː k ə s
stromboli	s t r u m b u l iː
studentsamfunnet	s t ʉː d ɛ n t s a m f ʉ nː ə
studieplan	s t ʉː d j ə p l ɑː n
subsidiær	s ʉ b s ɪ d ɪ æː r
sunnmøringen	s ʉ n m øː r ɪ ŋ n̩
supernytt	s ʉ p æ ɳ ʏ t
surat	s ʉ r ɑː t
suspects	s ʉ s p ɛ k t s
synstap	s yː n s t ɑː p
såkornet	s oː k u ɳ ə
talemåter	t ɑː l ə m oː t ə r
taren	t ɑː r n̩
teeth	t iː t
telio	t eː l j u
thaksin	t a k s iː n
thales	t ɑː l ə s
tickets	t ɪ kː ə t s
tolstojs	t uː l s t ɔ j s
tomannsboliger	t u m a n s b uː l ɪ ə r
treningskampen	t r eː n ɪ ŋ s k a m p n̩
turmat	t ʉ r m ɑː t
turtagrø	t ʉː ʈ ɑ ɡ r øː
tvangsgifte	t ʋ ɑ ŋ s j ɪ f t ə
uensartet	ʉː ə n s a ʁ t ə
umusikalsk	ʉ m ʉ s ɪ k ɑː l s k
urdal	ʉː ɖ ɑː l
uskreven	ʉː s k r eː ʋ n̩
uskyldighet	ʉː ʃ ʏ l d ɪ h eː t
utedassen	ʉː t ə d a sː n̩
utfyllinger	ʉː t f ʏ lː ɪ ŋ ə r
utmålt	ʉː t m oː l t
utstrålte	ʉː t s t r oː l t ə
vanvare	ʋ ɑ n ʋ ɑː r ə
vekselen	ʋ ɛ k s ə l n̩
veldre	ʋ ɛ l d r ə
veton	ʋ ɛ t uː n
vibrato	ʋ ɪ b r ɑː t ʊ
viserne	ʋ iː s æ ɳ ə
vispen	ʋ ɪ s p n̩
vristen	ʋ r ɪ s t n̩
werder	ʋ æ ɖ ə r
yrkesaktiv	ʏ r k ə s a k t iː ʋ
ytterlig	² ʏ tː ə ɾ l ɪ
zé	s eː
aggresiv	a ɡ r ɛ s iː ʋ
akab	ɑː k ɑ b
aksjonsgruppe	a k ʃ uː n s ɡ r ʉ pː ə
annar	ɑ nː ɑ r
antelope	ɑ n t ə l uː p ə
aquaman	a k ʋ a m aː n
arks	ɑ r k s
arons	a r uː n s
asm	a s m
assessor	a s ɛ s ʊ r
auksjoneres	æ ʉ k ʃ uː n ə r ə s
avspeiles	ɑː ʋ s p æ ɪ l ə s
babar	b ɑː b ɑ r
badebyen	b ɑː d ə b yː n̩
bafta	b a f t a
bagene	b ɑː ɡ ə n ə
baklysene	b ɑː k l yː s ə n ə
bandar	b a n d a r
barthes	b a ʁ t ə s
bartram	b a ʁ t r a m
bekymringsmeldingen	b ə k ʏ m r ɪ ŋ s m ɛ l d ɪ ŋ n̩
belønn	b ə l œ n
berns	b æː ɳ s
birkelunden	b ɪ r k ə l ʉ n d n̩
biroller	b ɪ r ɔ lː ə r
bisfenol	b ɪ s f ɛ n uː l
blomsterpotte	b l ʊ m s t ə r p ɔ tː ə
blåere	b l oː ə r ə
bonger	b ɔ ŋ ə r
brig	b r iː ɡ
brosjen	b r ɔ ʃː n̩
bruckner	b r ʉ k n ə r
bruusgaard	b r ʉː s ɡ ɑː r
brødfrukt	b r øː f r ʉ k t
buffé	b ʉ f eː
bussturen	b ʉ s t ʉː r n̩
caulfield	k æ ʉ l f iː l
christiansdatter	k r ɪ s t j a n s d a tː ə r
chroma	k r uː m a
cinna	s ɪ nː ɑ
clos	k l uː s
cmyk	k m yː k
coed	k uː ə
committed	k ɔ m ɪ tː ə
crain	k r eː n
crocs	k r ɔ k s
cyster	s ʏ s t ə r
dahlstrøm	d ɑː l s t r œ m
dekningsområde	d ɛ k n ɪ ŋ s ɔ m r oː d ə
destabilisert	d ɛ s t a b ɪ l ɪ s eː ʁ t
disposisjonen	d ɪ s p ʊ s ɪ ʃ uː n n̩
distriktskontoret	d ɪ s t r ɪ k t s k ʊ n t ʊ r ə
dobbeltsidig	d ɔ bː ə l t s iː d ɪ
drinks	d r ɪ ŋ k s
dso	d s uː
dult	d ʉ l t
døveskolen	d øː ʋ ə s k uː l n̩
ebbesen	ɛ bː ə s n̩
ebbing	ɛ bː ɪ ŋ
eiendomshandel	æ ɪ ə n d ɔ m s h a n d ə l
elskedes	ɛ l s k ə d ə s
endevendte	ɛ n d ə ʋ ɛ n t ə
etcetera	ɛ t s ɛ t eː r a
expanding	ɛ k s p a n d ɪ ŋ
fakturerer	f a k t ʉ r eː r ə r
fansene	f a ŋ s ə n ə
fellesfagene	f ɛ lː ə s f ɑː ɡ ə n ə
fellesområder	f ɛ lː ə s ɔ m r oː d ə r
figurerte	f ɪ ɡ ʉ r eː ʁ t ə
filipino	f ɪ l ɪ p iː n ʊ
filmweb	f ɪ l m ʋ eː b
finansnæringens	f ɪ n a n s n æː r ɪ ŋ ɛ n s
fjellgård	f j ɛ l ɡ oː r
flaueste	f l æ ʉ ə s t ə
flisen	f l iː s n̩
fogderi	f ɔ ɡ d ə r iː
folkekultur	f ɔ l k ə k ʉ l t ʉː r
footprint	f uː t p r iː n t
forbeholdet	f ɔ r b ə h ɔ l d ə
formation	f ɔ r m a ɧ uː n
forordningene	f ɔ r uː r n ɪ ŋ ə n ə
forskningsskip	f ɔ ʂ k n ɪ ŋ s ʃ iː p
forsont	f ɔ ʂ uː n t
fossnes	f ɔ s n ə s
frafalles	f r a f a lː ə s
fylliker	f ʏ lː ɪ k ə r
gjødsler	j œ d s l ə r
glemsk	ɡ l ɛ m s k
gloves	ɡ l oː ʋ ə s
gobeliner	ɡ uː b ə l iː n ə r
goggen	ɡ ɔ ɡː n̩
gomer	ɡ uː m ə r
goss	ɡ ɔ sː
granulat	ɡ r a n ʉ l ɑː t
greenhill	ɡ r eː n h ɪ l
gremlins	ɡ r ɛ m l ɪ n s
grensevakten	ɡ r ɛ n s ə ʋ a k t n̩
gruff	ɡ r ʉ f
grunndata	ɡ r ʉ n d ɑː t a
grunnpakken	ɡ r ʉ n p a kː n̩
grunnstøting	ɡ r ʉ n s t øː t ɪ ŋ
gummibåten	ɡ ʉ mː ɪ b oː t n̩
harland	h ɑː ɭ ɑ n
harpen	h ɑ r p n̩
havforsuring	h ɑː ʋ f ɔ ʂ ʉː r ɪ ŋ
helsefarer	h ɛ l s ə f ɑː r ə r
helserisikoen	h ɛ l s ə r iː s ɪ k uː n̩
helseråd	h ɛ l s ə r oː
hemningsløs	h ɛ m n ɪ ŋ s l øː s
hemsedalsfjellet	h ɛ m s ə d ɑː l s f j ɛ lː ə
hjemmebrygg	j ɛ mː ə b r ʏ ɡ
hjå	j oː
hofmo	h ɔ f m ʊ
hoot	h uː t
horene	h uː r ə n ə
hunnkatt	h ʉ n k a t
håndter	h ɔ n t ə r
iba	iː b ɑ
idealisere	ɪ d ɛ a l ɪ s eː r ə
ih	iː
illegitimt	ɪ lː ə ɡ ɪ t ɪ m t
infiltratører	ɪ n f ɪ l t r a t øː r ə r
inkarnasjoner	ɪ n k a ʁ n a ʃ uː n ə r
innbruddstyvene	ɪ nː b r ʉ d s t yː ʋ ə n ə
innbytterbenken	ɪ nː b ʏ tː ə r b ɛ ŋ k n̩
innefra	ɪ nː ə f r a
innsynsrett	ɪ n s yː n s r ɛ t
intergalaktiske	ɪ n t ə r ɡ a l a k t ɪ s k ə
invasjonshær	ɪ n ʋ a ʃ uː n s h æː r
jarlene	j ɑː ɭ ə n ə
jordbruker	j uː r b r ʉː k ə r
karbonstål	k a r b uː n s t oː l
kebaben	k eː b ɑː b n̩
kivu	ç iː ʋ ʉ
kjelker	ç ɛ l k ə r
kjelling	ç ɛ lː ɪ ŋ
kjernevirksomhet	ç æː ɳ ə ʋ ɪ r k s ɔ m h eː t
kjøpepress	ç øː p ə p r ɛ s
klasevåpen	k l ɑː s ə ʋ oː p n̩
klesstilen	k l ɛ s t ɪ l n̩
kokosboller	k u k u s b o l ə r
konsulterte	k u n s ʉ l t eː ʁ t ə
koopa	k uː p a
kosakk	k u s a k
kosekroken	k uː s ə k r uː k n̩
krafts	k r a f t s
krakilsk	k r ɑ k iː l s k
krattskog	k r a t s k uː ɡ
krause	k r æ ʉ s ə
kundekrets	k ʉ n d ə k r ɛ t s
kurtisaner	k ʉ ʁ t ɪ s ɑː n ə r
kvinnesynet	k ʋ ɪ nː ə s yː n ə
kykladene	ç ʏ k l ɑː d ə n ə
kystlinja	ç ʏ s t l ɪ n j a
lagdommer	l ɑː ɡ d ɔ mː ə r
lak	l ɑː k
landshøvdingen	l ɑ n s h œ ʋ d ɪ ŋ n̩
lasarett	l ɑ s ɑ r ɛ t
lederene	l eː d ə r ə n ə
legaliseres	l ɛ ɡ a l ɪ s eː r ə s
lensherrer	l ɛ n s h ɛ rː ə r
lensmannskontorer	l ɛ n s m a n s k ʊ n t ʊ r ə r
lesebriller	l eː s ə b r ɪ lː ə r
lining	l iː n ɪ ŋ
lle	l eː
luftinntaket	l ʉ f t ɪ n t ɑː k ə
lugubert	l ʉ ɡ ʉ b eː ʁ t
luta	l ʉː t ɑ
løkene	l øː k ə n ə
manifold	m ɑ n ɪ f ɔ l
markblomster	m a r k b l ɔ m s t ə r
massehysteri	m a sː ə h ʏ s t ə r iː
massemordet	m a sː ə m uː r ə
meningsmålingen	m eː n ɪ ŋ s m oː l ɪ ŋ n̩
mexikanske	m ɛ k s ɪ k ɑː n s k ə
milioner	m ɪ l j uː n ə r
militæroperasjon	m ɪ l ɪ t æː r ʊ p ə r a ʃ uː n
mims	m ɪ m s
misfits	m ɪ s f ɪ t s
misjoner	m ɪ ʃ uː n ə r
mistake	m ɪ s t ɑː k ə
mistolkes	m ɪ s t ɔ l k ə s
moni	m uː n ɪ
motsettning	m uː t s ɛ t n ɪ ŋ
motsigelsen	m uː t s ɪ ə l s n̩
mujer	m ʉː j ə r
muskelmassen	m ʉ s k ə l m a sː n̩
muss	m ʉ sː
myndighetskontakt	m ʏ n d ɪ h eː t s k ʊ n t a k t
má	m ɑː
nedsettes	n eː d s ɛ tː ə s
neem	n eː m
nervebanene	n æ r ʋ ə b ɑː n ə n ə
netthandelen	n ɛ t h ɑ n d ə l n̩
nomade	n u m aː d ə
norgestoppen	n ɔ r ɡ ə s t ɔ pː n̩
norms	n ɔ r m s
norra	n ɔ rː a
nyhetsoppleser	n yː h e t s o p l eː s e r
odyssé	uː d ʏ s eː
ognedal	ɔ ŋ n ə d ɑː l
opphøret	ɔ p h øː r ə
oppslagsordet	ɔ p s l ɑː ɡ s uː r ə
optikere	ɔ p t ɪ k ə r ə
overraskes	oː ʋ ə r a s k ə s
palantir	p a l a n t iː r
partigruppene	p a ʁ t ɪ ɡ r ʉ pː ə n ə
partitur	p a ʁ t ɪ t ʉː r
picker	p ɪ kː ə r
plantegningene	p l ɑ n t æ ɪ n ɪ ŋ ə n ə
poppes	p ɔ pː ə s
populæritet	p u p ʉ l æː r ɪ t eː t
postloven	p ɔ s t l oː ʋ n̩
previn	p r e ʋ iː n
primærnæringer	p r i m æː ɳ æː r ɪ ŋ ə r
processes	p r ʊ s ɛ sː ə s
profflag	p r ɔ f l ɑː ɡ
promoteres	p r ʊ m ʊ t eː r ə s
raab	r ɑː b
rasistene	r a s ɪ s t ə n ə
rau	r æ ʉ̯
rekstens	r ɛ k s t ɛ n s
reminder	r ə m ɪ n d ə r
render	r ɛ n d ə r
rettferdiges	r ɛ t f æ ɖ ɪ ə s
rettsforhold	r ɛ t s f ɔ r h ɔ l
rismarkene	r iː s m a r k ə n ə
risp	r ɪ s p
ritas	r iː t ɑ s
rutebusser	r ʉː t ə b ʉ sː ə r
rutemønster	r ʉː t ə m œ n s t ə r
røhne	r øː n ə
sabbatsår	s a bː a t s oː r
samfunnsform	s a m f ʉ n s f ɔ r m
samlete	s a m l ə t ə
sammenslåingene	s a mː ə n s l oː ɪ ŋ ə n ə
sandemo	s a n d ə m uː
sané	s a n eː
scenariene	s ɛ n ɑː r ɪ ə n ə
schon	ʃ uː n
sedanen	s ɛ d ɑː n̩ː
selvlærte	s ɛ l ʋ l æː ʈ ə
semittiske	s ə m ɪ tː ɪ s k ə
sennepen	s ɛ nː ə p n̩
senneset	s ɛ nː ə s ə
sente	s ɛ n t ə
sidet	s iː d ə
simrad	s ɪ m r ɑː
singsaas	s ɪ ŋ s ɑː s
sisteplassen	s ɪ s t ə p l a sː n̩
skiforeningens	ʃ ɪ f ʊ r eː n ɪ ŋ ɛ n s
skjeggedal	ʃ ɛ ɡː ə d ɑː l
skjærhalden	ʃ æː r h a l d n̩
skulderbladene	s k ʉ l d ə r b l ɑː d ə n ə
skytterlaget	ʃ ʏ tː ə ɾ l ɑː ɡ ə
skåbu	s k oː b ʉ
slaktehus	ʂ l ɑ k t ə h ʉː s
slaves	ʂ l ɑː ʋ ə s
sliren	ʂ l iː r n̩
slutningene	ʂ l ʉː t n ɪ ŋ ə n ə
smittebærer	s m ɪ tː ə b æː r ə r
snodd	s n ɔ dː
soa	s uː a
solcellene	s uː l s ɛ lː ə n ə
soli	s uː l ɪ
solingen	s uː l ɪ ŋ n̩
solon	s uː l uː n
solstrålen	s uː l s t r oː l n̩
soningsforholdene	s uː n ɪ ŋ s f ɔ r h ɔ l d ə n ə
sparka	s p ɑ r k ɑ
spett	s p ɛ tː
spi	s p iː
spioneringen	s p ɪ uː n eː r ɪ ŋ n̩
spolene	s p uː l ə n ə
sprakende	s p r ɑː k ə n d ə
spåmenn	s p oː m ɛ n
statsrett	s t a t s r e t
steinens	s t æ ɪ n ɛ n s
steves	s t eː ʋ ə s
stridsøks	s t r iː d s ø k s
stronger	s t r ɔ ŋ ə r
stålproduksjon	s t oː l p r u d ʉ k ʃ uː n
subsidieres	s ʉ b s ɪ d ɪ eː r ə s
sutur	s ʉ t ʉː r
systematisering	s ʏ s t ə m a t ɪ s eː r ɪ ŋ
søkingen	s øː k ɪ ŋ n̩
teaterskole	t ɛ ɑː t ə ʁ s k uː l ə
tekstilproduksjon	t ɛ k s t ɪ l p r u d ʉ k ʃ uː n
terkel	t æ r k ə l
tidde	t ɪ dː ə
tilbad	t ɪ l b ɑː
tillie	t ɪ l j ə
tilnærmingene	t ɪ l n æ r m ɪ ŋ ə n ə
tilpassa	t ɪ l p a sː a
tilstoppet	t ɪ l s t ɔ pː ə
tilta	t ɪ l t ɑ
tippes	t ɪ pː ə s
torven	t ɔ r ʋ n̩
traktet	t r a k t ə
tramadol	t r a m a d uː l
treningsfasiliteter	t r eː n ɪ ŋ s f a s ɪ l ɪ t eː t ə r
treningsleirer	t r eː n ɪ ŋ s l æ ɪ r ə r
trippelt	t r ɪ pː ə l t
trofeene	t r u f eː ə n ə
tukthuset	t ʉ k t h ʉː s ə
tunnelbane	t ʉ n ə l b ɑː n ə
tårekanalene	t oː r ə k a n ɑː l ə n ə
tørrstoff	t œ r s t ɔ f
ubrent	ʉː b r ɛ n t
udinese	ʉː d ɪ n eː s ə
uholdbare	ʉː h ɔ l b ɑː r ə
ullteppe	ʉ l t ɛ pː ə
unionshæren	ʉ n ɪ uː n s h æː r n̩
usynlighet	ʉː s yː n l ɪ h eː t
utpresser	ʉː t p r ɛ sː ə r
utrustes	ʉː t r ʉ s t ə s
uttørkede	ʉː t t œ r k ə d ə
vekstraten	ʋ ɛ k s t r ɑː t n̩
vennine	ʋ ɛ nː ɪ n ə
vestviken	ʋ ɛ s t ʋ iː k n̩
vey	ʋ æ ɪ̯
