ها	h ɒː
تقاضاي	t æ ɢ ɒː z ɒː j
جوردن	d͡ʒ uː ɾ d æ n
حشر	h e̞ ʃ o ɾ
حقيقي	h æ ɢ iː ɢ iː
حلقوی	h æ l ɢ æ v iː
خایه	x ɒː j e̞
خزعلی	x æ z ʔ æ l iː
خیلیم	x iː l iː m
دادرس	d ɒː d e̞ ɾ e̞ s
داديم	d ɒː d iː m
دارش	d ɒː ɾ e̞ ʃ
داوري	d ɒː v æ ɾ iː
دایه	d ɒː j e̞
درا	d æ ɾ ɒː
دراوردن	d æ ɾ ɒː v æ ɾ d æ n
درزمینه	d æ ɾ z æ m iː n e̞
دزدهای	d o z d e̞ iː
دلکش	d æ l k e̞ ʃ
دومم	d uː m æ m
راسی	ɾ ɒː s iː
راضي	ɾ ɒː z iː
رمزهای	ɾ æ m z e̞ iː
رهنمودهای	ɾ æ h n o m uː d e̞ iː
زندوکیلی	z æ n d uː k iː l iː
زيباي	z iː b ɒː j
ساس	s ɒː s
سربار	s æ ɾ b ɒː ɾ
سرخپوشان	s e̞ ɾ æ x p uː ʃ ɒː n
سرنا	s o ɾ n ɒː
سزای	s e̞ z ɒː j
سمور	s o m uː ɾ
سپاسگزاری	s e̞ p ɒː s g o z ɒː ɾ iː
شادابی	ʃ ɒː d ɒː b iː
شاهکاره	ʃ ɒː h k ɒː ɾ e̞
شنوا	ʃ e̞ n æ v ɒː
عباد	æ b ɒː d
عذابم	æ z ɒː b æ m
علویان	æ l uː j ɒː n
غله	ɢ æ l e̞
فرآورده	f æ ɾ ɒː v æ ɾ d e̞
فردریک	f æ ɾ d æ ɾ iː k
فلوراید	f o l uː ɾ ɒː j æ d
قرباني	ɢ æ ɾ b ɒː n iː
قضایای	ɢ æ z ɒː j ɒː j
قيافه	ɢ æ j ɒː f e̞
كليد	k æ l iː d
لارن	l ɒː ɾ æ n
لاریجان	l ɒː ɾ iː d͡ʒ ɒː n
لازمش	l ɒː z m e̞ ʃ
لشت	l e̞ ʃ t
لژ	l æ ʒ
لیدیا	l iː d j ɒː
لینا	l iː n ɒː
ماورایی	m ɒː v æ ɾ ɒː j iː
ماییم	m ɒː j iː m
مبادی	m æ b ɒː d iː
متحدین	m æ t æ h d iː n
متدهای	m æ t æ d e̞ iː
مخربی	m æ x æ ɾ b iː
مدونا	m æ d uː n ɒː
مرصاد	m æ ɾ s ɒː d
مشکوکی	m o ʃ k uː k iː
مغزهای	m æ ɢ z e̞ iː
مقصدی	m æ ɢ s æ d iː
منتظري	m æ n t æ z æ ɾ iː
منزجر	m æ n z æ d͡ʒ æ ɾ
منطقي	m æ n t æ ɢ iː
منظورشون	m æ n z uː ɾ e̞ ʃ o n
موثرترین	m uː s æ ɾ t æ ɾ iː n
ميبينم	m iː b iː n æ m
میکروبیولوژی	m iː k o ɾ uː b iː j o l uː ʒ iː
ناجوانمردانه	n ɒː d͡ʒ æ v ɒː n æ m o ɾ d ɒː n e̞
ناگواری	n ɒː g o v ɒː ɾ iː
نتونیم	n æ t uː n iː m
نخوانده	n æ x ɒː n d e̞
نصیرالدین	n æ s iː ɾ ɒː l d iː n
نمك	n æ m æ k
نوآورانه	n æ v ɒː v æ ɾ ɒː n e̞
وارم	v ɒː ɾ æ m
وانا	v ɒː n ɒː
وتر	v æ t æ ɾ
وحالا	v æ h ɒː l ɒː
پامون	p ɒː m uː n
په	p e̞
پولت	p uː l æ t
پیغامی	p e̞ j ɢ ɒː m iː
پینه	p e̞ j n e̞
چسبنده	t͡ʃ æ s b æ n d e̞
چچن	t͡ʃ e̞ t͡ʃ æ n
ژائو	ʒ ɒː ʔ o
کاتالیست	k ɒː t ɒː l iː s t
کارشکنی	k ɒː ɾ e̞ ʃ k æ n iː
کارور	k ɒː ɾ v æ ɾ
کدومو	k o d uː m o
کودی	k uː d iː
کوپ	k uː p
گردوی	g æ ɾ d æ v iː
گنبدی	g o n b æ d iː
گیتاریست	g iː t ɒː ɾ iː s t
یونانیان	j o n ɒː n j ɒː n
alt	a l t
batman	b a t m a n
cell	s ɛ l
fi	f iː
que	k eː
she	ʃ eː
آتوسا	ɒː t uː s ɒː
آدمم	ɒː d æ m æ m
آنانی	ɒː n ɒː n iː
آهکی	ɒː h e̞ k iː
آپاچی	ɒː p ɒː t͡ʃ iː
آیزاک	ɒː j z ɒː k
ادمه	æ d m e̞
اسير	æ s iː ɾ
اقصی	æ ɢ s iː
امباپه	æ m b ɒː p e̞
امشبو	æ m ʃ o b uː
انیس	æ n iː s
اوس	o s
اولسن	o l s æ n
باتن	b ɒː t æ n
بازنشست	b ɒː z n e̞ ʃ æ s t
بالادستی	b ɒː l ɒː d æ s t iː
بباره	b e̞ b ɒː ɾ e̞
ببندین	b e̞ b æ n d iː n
بتدریج	b e̞ t æ d æ ɾ iː d͡ʒ
بدره	b e̞ d æ ɾ e̞
بدني	b e̞ d æ n iː
برودی	b e̞ ɾ uː d iː
بزرگا	b e̞ z æ ɾ g ɒː
بقل	b e̞ ɢ æ l
بوتان	b uː t ɒː n
بپوشن	b e̞ p uː ʃ æ n
تاچر	t ɒː t͡ʃ æ ɾ
تحریمهای	t æ h ɾ iː m e̞ iː
ترتیبات	t æ ɾ t iː b ɒː t
تقرب	t æ ɢ ɾ æ b
تهذیب	t æ h z iː b
تیبا	t iː b ɒː
تیزهوشان	t iː z h uː ʃ ɒː n
جاسپر	d͡ʒ ɒː s p o ɾ
جاندار	d͡ʒ ɒː n d ɒː ɾ
جولین	d͡ʒ uː l iː n
خاصیتی	x ɒː s iː t iː
خاویر	x ɒː v iː ɾ
خرمایی	x æ ɾ m ɒː j iː
خروجي	x o ɾ uː d͡ʒ iː
خمیری	x æ m iː ɾ iː
خوبا	x o b ɒː
خوبند	x o b æ n d
خوران	x o ɾ ɒː n
خونوادش	x o n æ v ɒː d e̞ ʃ
دادگر	d ɒː d e̞ g æ ɾ
دای	d ɒː j
درای	d æ ɾ ɒː j
دربیارم	d æ ɾ b iː j ɒː ɾ æ m
درحقیقت	d æ ɾ h æ ɢ iː ɢ æ t
درعوض	d æ ɾ ʔ uː z
درهمین	d æ ɾ h æ m iː n
درویشان	d e̞ ɾ æ v iː ʃ ɒː n
درگ	d æ ɾ g
دلمان	d æ l m ɒː n
دهلیز	d æ h l iː z
راکه	ɾ ɒː k e̞
رهایش	ɾ æ h ɒː j e̞ ʃ
روتوش	ɾ uː t uː ʃ
روتون	ɾ uː t uː n
رويداد	ɾ æ v iː d ɒː d
زاییده	z ɒː j iː d e̞
زندانبان	z æ n d ɒː n b ɒː n
زندگیتان	z æ n d æ g iː t ɒː n
ستارگانی	s e̞ t ɒː ɾ g ɒː n iː
ستودنی	s o t uː d æ n iː
سرابی	s o ɾ ɒː b iː
سلما	s æ l m ɒː
سنوات	s e̞ n æ v ɒː t
سپيده	s e̞ p iː d e̞
شاخصه	ʃ ɒː x s e̞
شاداب	ʃ ɒː d ɒː b
شفیق	ʃ o f iː ɢ
شلواری	ʃ o l v ɒː ɾ iː
شيعه	ʃ iː ʔ e̞
شکاک	ʃ e̞ k ɒː k
شکمت	ʃ e̞ k æ m æ t
طعمی	t æ ʔ m iː
طیبی	t iː b iː
عقلایی	æ ɢ l ɒː j iː
عمرتون	æ m o ɾ t uː n
فراگير	f æ ɾ ɒː g iː ɾ
فرای	f æ ɾ ɒː j
فریت	f æ ɾ iː t
فیبی	f iː b iː
كابل	k ɒː b e̞ l
كشيد	k e̞ ʃ iː d
لجباز	l æ d͡ʒ b ɒː z
لغزنده	l æ ɢ z æ n d e̞
مالکین	m ɒː l e̞ k iː n
متنفره	m æ t æ n f æ ɾ e̞
مخروط	m æ x o ɾ uː t
مريض	m æ ɾ iː z
مسئولانه	m æ s ʔ uː l ɒː n e̞
مساحتی	m æ s ɒː h t iː
منطقیه	m æ n t æ ɢ iː j e̞
مهمن	m æ h m æ n
مورا	m o ɾ ɒː
مگنا	m æ g o n ɒː
میدونستن	m iː d uː n e̞ s t æ n
نئو	n æ ʔ o
نابسامانی	n ɒː b e̞ s ɒː m ɒː n iː
نابودي	n ɒː b uː d iː
نادرشاه	n ɒː d e̞ ɾ e̞ ʃ ɒː h
نازکی	n ɒː z k iː
نامت	n ɒː m æ t
نمیدونستی	n e̞ m iː d uː n e̞ s t iː
نواک	n æ v ɒː k
نونهالان	n æ v æ n æ h ɒː l ɒː n
نويسي	n æ v iː s iː
نک	n æ k
نیمرخ	n æ j ɒː m o ɾ x
هاری	h ɒː ɾ iː
هرقدر	h æ ɾ ɢ æ d æ ɾ
هشام	h e̞ ʃ ɒː m
همراهانش	h æ m o ɾ ɒː h ɒː n e̞ ʃ
همچی	h æ m t͡ʃ iː
هنکس	h e̞ n k æ s
هواکش	h æ v ɒː k e̞ ʃ
وارسته	v ɒː ɾ e̞ s t e̞
واکنشهای	v ɒː k e̞ n e̞ ʃ e̞ iː
وایسی	v ɒː j e̞ s iː
ورنر	v æ ɾ n æ ɾ
ویرجین	v iː ɾ æ d͡ʒ iː n
يقين	j æ ɢ iː n
پاسور	p ɒː s uː ɾ
پاچینو	p ɒː t͡ʃ iː n o
پته	p æ t e̞
پلي	p æ l iː
پيشه	p iː ʃ e̞
پیامهای	p æ j ɒː m e̞ iː
پیشینیان	p iː ʃ iː n j ɒː n
چس	t͡ʃ o s
چلاق	t͡ʃ e̞ l ɒː ɢ
کازان	k ɒː z ɒː n
کاهنده	k ɒː h æ n d e̞
کریگ	k æ ɾ iː g
کنندست	k æ n æ n d æ s t
کوبنده	k uː b æ n d e̞
کوشک	k uː ʃ k
گرل	g e̞ ɾ æ l
گزار	g o z ɒː ɾ
گلوریا	g o l uː ɾ j ɒː
گماشته	g o m ɒː ʃ t e̞
گین	g iː n
یس	j e̞ s
یکا	j e̞ k ɒː
analysis	a n a l iː s i s
mini	m iː n i
var	v a ɾ
آبزی	ɒː b e̞ z iː
آموزشکده	ɒː m uː z e̞ ʃ k æ d e̞
آندو	ɒː n d uː
آوارگی	ɒː v ɒː ɾ g iː
اصلیش	æ s l iː ʃ
اواز	æ v ɒː z
اوبی	o b iː
اووه	o v e̞
بازسازي	b ɒː z s ɒː z iː
باهوشه	b ɒː h uː ʃ e̞
ببوسه	b e̞ b uː s e̞
بترکونیم	b e̞ t e̞ ɾ k uː n iː m
بدنتون	b e̞ d æ n t uː n
بشريت	b e̞ ʃ o ɾ iː t
بنابه	b e̞ n ɒː b e̞
بوریس	b e̞ v æ ɾ iː s
بوسش	b uː s e̞ ʃ
بیابون	b iː j ɒː b uː n
بیافتد	b iː j ɒː f t æ d
بیاندازد	b iː j ɒː n d ɒː z æ d
بیورن	b iː j o ɾ æ n
تائو	t ɒː ʔ o
تاخير	t ɒː x iː ɾ
تج	t æ d͡ʒ
تخمیر	t æ x m iː ɾ
ترز	t æ ɾ z
تقدير	t æ ɢ d iː ɾ
توسکا	t uː s k ɒː
تولی	t uː l iː
توکار	t uː k ɒː ɾ
تیغی	t iː ɢ iː
جاودانی	d͡ʒ ɒː v æ d ɒː n iː
جنگو	d͡ʒ æ n g uː
حرفاشو	h æ ɾ f ɒː ʃ o
خواران	x ɒː ɾ ɒː n
خوبمون	x o b e̞ m uː n
دامداران	d ɒː m æ d ɒː ɾ ɒː n
دث	d æ s
دمیدن	d æ m iː d æ n
دومینیک	d uː m iː n iː k
دکارت	d e̞ k ɒː ɾ æ t
رذل	ɾ æ z æ l
رونقی	ɾ uː n æ ɢ iː
زندست	z æ n d æ s t
زهرای	z æ h ɾ ɒː j
زورت	z uː ɾ æ t
سدی	s o d iː
سریعی	s o ɾ iː ʔ iː
سلامتي	s æ l ɒː m æ t iː
سوئيس	s uː ʔ iː s
سینوسی	s iː n uː s iː
شانگ	ʃ ɒː n g
شناختي	ʃ e̞ n ɒː x t iː
شنيدن	ʃ e̞ n iː d æ n
شکیبا	ʃ e̞ k iː b ɒː
شگرد	ʃ e̞ g æ ɾ æ d
شیرخوار	ʃ iː ɾ æ x ɒː ɾ
طلائی	t æ l ɒː ʔ iː
طلاست	t æ l ɒː s t
عشقولانه	æ ʃ o ɢ uː l ɒː n e̞
عصار	æ s ɒː ɾ
عناوینی	æ n ɒː v iː n iː
فائق	f ɒː ʔ e̞ ɢ
فندقی	f æ n d æ ɢ iː
قائله	ɢ ɒː ʔ e̞ l e̞
قرارداده	ɢ æ ɾ ɒː ɾ d ɒː d e̞
قراردادهایی	ɢ æ ɾ ɒː ɾ d ɒː d e̞ iː
قرنی	ɢ æ ɾ n iː
كردستان	k æ ɾ d æ s t ɒː n
كشي	k e̞ ʃ iː
كني	k æ n iː
لان	l ɒː n
لاگ	l ɒː g
لیفت	l iː f t
مادرانی	m ɒː d æ ɾ ɒː n iː
ماسوله	m ɒː s uː l e̞
مامانمه	m ɒː m ɒː n æ m e̞
مبنایی	m æ b e̞ n ɒː j iː
مرک	m æ ɾ k
معمولي	m æ ʔ m uː l iː
ملیحه	m æ l iː h e̞
منتج	m æ n t æ d͡ʒ
منگ	m æ n g
مهیار	m æ h j ɒː ɾ
مواردي	m æ v ɒː ɾ e̞ d iː
مونس	m uː n e̞ s
مچاله	m æ t͡ʃ ɒː l e̞
میخانه	m iː x ɒː n e̞
میخوایی	m iː x ɒː j iː
میرباقری	m iː ɾ o b ɒː ɢ æ ɾ iː
میفهمن	m iː f æ h m æ n
ناآگاه	n ɒː ɒː g ɒː h
ناخوش	n ɒː x o ʃ
نادون	n ɒː d uː n
نبراسکا	n æ b æ ɾ ɒː s k ɒː
نجاست	n æ d͡ʒ ɒː s t
ندانسته	n æ d ɒː n e̞ s t e̞
نشين	n e̞ ʃ iː n
نمین	n e̞ m iː n
نوردهی	n æ v æ ɾ d æ h iː
نکست	n æ k æ s t
هاچ	h ɒː t͡ʃ
هرب	h æ ɾ b
هشتمين	h e̞ ʃ t æ m iː n
همتونو	h æ m t uː n o
هموگلوبین	h æ m uː g o l uː b iː n
هندونه	h æ n d uː n e̞
هولی	h uː l iː
هیستامین	h iː s t ɒː m iː n
واقعآ	v ɒː ɢ e̞ ʔ ɒː
والده	v ɒː l d e̞
وستون	v æ s t uː n
وقتت	v æ ɢ t æ t
وگ	v æ g
ویراستار	v iː ɾ ɒː s t ɒː ɾ
ویز	v iː z
پارتیشن	p ɒː ɾ t iː ʃ æ n
پاهایش	p ɒː h ɒː j e̞ ʃ
چناران	t͡ʃ e̞ n ɒː ɾ ɒː n
چوپانی	t͡ʃ uː p ɒː n iː
ژوان	ʒ æ v ɒː n
کانتور	k ɒː n t uː ɾ
کسیو	k o s j o
کلارنس	k e̞ l ɒː ɾ æ n s
کلاف	k e̞ l ɒː f
گرمترین	g æ ɾ m æ t æ ɾ iː n
گشتاپو	g æ ʃ t ɒː p uː
گيلان	g iː l ɒː n
یونسی	j o n s iː
had	h a d
queen	k iː n
sub	s uː b
آوایی	ɒː v ɒː j iː
آيند	ɒː j æ n d
ارفع	æ ɾ f e̞ ʔ
ارین	æ ɾ iː n
افراشته	ɒː f ɾ ɒː ʃ t e̞
انتهاي	æ n t e̞ iː
اوهایو	o h ɒː j o
بحق	b e̞ h æ ɢ
براندون	b e̞ ɾ ɒː n d uː n
بسان	b e̞ s ɒː n
بندن	b æ n d æ n
بنزين	b e̞ n e̞ z iː n
بوست	b uː s t
بیولوژی	b iː j o l uː ʒ iː
تاريك	t ɒː ɾ iː k
تاما	t ɒː m ɒː
تانوس	t ɒː n uː s
تاکسیرانی	t ɒː k s iː ɾ ɒː n iː
تجمل	t æ d͡ʒ m æ l
تحلیف	t æ h l iː f
تختش	t æ x t e̞ ʃ
تخیلات	t æ x iː l ɒː t
تعطيلات	t æ ʔ t iː l ɒː t
تقویتی	t æ ɢ v iː t iː
تلویحا	t æ l v iː h ɒː
تنظیمی	t æ n z iː m iː
تودی	t uː d iː
تونند	t uː n æ n d
تونیک	t uː n iː k
ثبوت	s o b uː t
جنسن	d͡ʒ o n s æ n
جوایزی	d͡ʒ æ v ɒː j e̞ z iː
جیبوتی	d͡ʒ iː b uː t iː
جینا	d͡ʒ iː n ɒː
حجاریان	h e̞ d͡ʒ ɒː ɾ j ɒː n
حشیش	h e̞ ʃ iː ʃ
حوش	h uː ʃ
حيوان	h e̞ j v ɒː n
خدابنده	x æ d ɒː b æ n d e̞
خدام	x æ d ɒː m
خراج	x æ ɾ ɒː d͡ʒ
خليفه	x æ l iː f e̞
خمشی	x æ m e̞ ʃ iː
خیرات	x iː ɾ ɒː t
دامغانی	d ɒː m æ ɢ ɒː n iː
دخترشان	d æ x t o ɾ ʃ ɒː n
درازای	d æ ɾ ɒː z ɒː j
درجهت	d æ ɾ d͡ʒ æ h t
درحوزه	d æ ɾ h uː z e̞
درصده	d æ ɾ s æ d e̞
درمنطقه	d æ ɾ m æ n t æ ɢ e̞
دزفولی	d o z f uː l iː
دزموند	d o z m uː n æ d
دنیام	d æ n j ɒː m
رسانیده	ɾ e̞ s ɒː n iː d e̞
رسته	ɾ o s t e̞
رفتيم	ɾ o f t iː m
روتر	ɾ uː t æ ɾ
روزیه	ɾ uː z iː j e̞
ريده	ɾ iː d e̞
ریور	ɾ iː v æ ɾ
زاکربرگ	z ɒː k æ ɾ b æ ɾ g
زندانهای	z æ n d ɒː n e̞ iː
سالنی	s ɒː l æ n iː
ساچمه	s ɒː t͡ʃ æ m e̞
سندیکا	s æ n d iː k ɒː
سومين	s uː m iː n
سپاسگذارم	s e̞ p ɒː s g o z ɒː ɾ æ m
سیلیکونی	s iː l iː k uː n iː
سینماست	s iː n æ m ɒː s t
شامی	ʃ ɒː m iː
صافه	s ɒː f e̞
صحبتش	s æ h b e̞ t e̞ ʃ
عباراتی	æ b ɒː ɾ ɒː t iː
عسلی	æ s æ l iː
عطیه	æ t iː j e̞
غبطه	ɢ æ b t e̞
فایلی	f ɒː j e̞ l iː
فجیع	f æ d͡ʒ iː ʔ
فرافکنی	f æ ɾ ɒː f k æ n iː
فراموشم	f æ ɾ ɒː m uː ʃ æ m
فردریش	f æ ɾ d æ ɾ iː ʃ
فروت	f o ɾ uː t
فسادهای	f e̞ s ɒː d e̞ iː
فنس	f æ n s
قبادی	ɢ æ b ɒː d iː
قضای	ɢ æ z ɒː j
قعر	ɢ æ ʔ ɾ
قهرماني	ɢ æ h ɾ æ m ɒː n iː
كلا	k æ l ɒː
لاکتوز	l ɒː k t uː z
مالیده	m ɒː l iː d e̞
مایر	m ɒː j æ ɾ
مباشر	m æ b ɒː ʃ e̞ ɾ
مددکار	m æ d o d k ɒː ɾ
مرجانی	m æ ɾ d͡ʒ ɒː n iː
مسكن	m æ s k æ n
مسولان	m æ s uː l ɒː n
مسیرش	m æ s iː ɾ e̞ ʃ
مصداقی	m æ s d ɒː ɢ iː
معدوم	m æ ʔ d æ v æ m
ممفیس	m æ m f iː s
منار	m æ n ɒː ɾ
منافات	m æ n ɒː f ɒː t
منبت	m æ n b æ t
منتظرتم	m æ n t æ z æ ɾ t æ m
منظورمه	m æ n z uː ɾ æ m e̞
منوال	m æ n æ v ɒː l
میزارن	m iː z ɒː ɾ æ n
میزنین	m iː z æ n iː n
میلز	m iː l æ z
میومدی	m iː v æ m æ d iː
نحوي	n æ h æ v iː
ندبه	n æ d æ b e̞
نمائید	n æ m ɒː ʔ iː d
نمیدونست	n e̞ m iː d uː n e̞ s t
نمیذاری	n e̞ m iː z ɒː ɾ iː
هت	h æ t
همینقدر	h æ m iː n æ ɢ d æ ɾ
وضعمون	v æ z ʔ æ m uː n
وضعیتش	v æ z ʔ iː t e̞ ʃ
وول	v o l
يادآور	j ɒː d ɒː v æ ɾ
يادش	j ɒː d e̞ ʃ
يگانه	j e̞ g ɒː n e̞
پرخاشگر	p æ ɾ x ɒː ʃ g æ ɾ
چریک	t͡ʃ æ ɾ iː k
چندمنظوره	t͡ʃ æ n d æ m æ n z uː ɾ e̞
چپمن	t͡ʃ æ p æ m æ n
کارانه	k ɒː ɾ ɒː n e̞
کامیاب	k ɒː m j ɒː b
کانالم	k ɒː n ɒː l æ m
کبیسه	k æ b iː s e̞
کدنویسی	k æ d n e̞ v iː s iː
کشان	k e̞ ʃ ɒː n
کلاد	k e̞ l ɒː d
کلاسم	k e̞ l ɒː s æ m
کودهای	k uː d e̞ iː
کوهرنگ	k uː h æ ɾ æ n g
گدایی	g o d ɒː j iː
گرايش	g e̞ ɾ ɒː j e̞ ʃ
گرتا	g æ ɾ t ɒː
گریزان	g o ɾ iː z ɒː n
گواردیولا	g o v ɒː ɾ d iː v æ l ɒː
گورهای	g uː ɾ e̞ iː
گوهری	g uː h æ ɾ iː
گیرن	g iː ɾ æ n
گینه	g iː n e̞
یوتوب	j o t uː b
یکماه	j e̞ k m ɒː h
china	t͡ʃ iː n a
inside	ɪ n s iː d
thrones	t ɾ o n e̞ s
آرشيو	ɒː ɾ e̞ ʃ iː j o
آزادیخواهان	ɒː z ɒː d iː x ɒː h ɒː n
آشوری	ɒː ʃ uː ɾ iː
آلیاژی	ɒː l j ɒː ʒ iː
آمیزه	ɒː m iː z e̞
آندورا	ɒː n d uː ɾ ɒː
ادبي	æ d æ b iː
ارادی	æ ɾ ɒː d iː
المپیکی	ɒː l m æ p iː k iː
امانات	æ m ɒː n ɒː t
اولیاء	o l j ɒː ʔ
اونهاست	o n æ h ɒː s t
بادي	b ɒː d iː
بادیه	b ɒː d iː j e̞
بازمی	b ɒː z m iː
برابره	b æ ɾ ɒː b e̞ ɾ e̞
برتري	b æ ɾ t æ ɾ iː
برقراري	b e̞ ɾ æ ɢ ɾ ɒː ɾ iː
بطوری	b e̞ t uː ɾ iː
بیدی	b iː d iː
بیکاران	b iː k ɒː ɾ ɒː n
تجاوزات	t æ d͡ʒ ɒː v æ z ɒː t
تراشیدن	t o ɾ ʃ iː d æ n
تمديد	t æ m d iː d
جانباختگان	d͡ʒ ɒː n b ɒː x t e̞ g ɒː n
جوناس	d͡ʒ uː n ɒː s
حذر	h æ z æ ɾ
حوصلم	h uː s æ l æ m
خردسالان	x æ ɾ d e̞ s ɒː l ɒː n
خردمندانه	x æ ɾ d æ m æ n d ɒː n e̞
خصیصه	x æ s iː s e̞
داشتنت	d ɒː ʃ t æ n t
دانای	d ɒː n ɒː j
درهمه	d æ ɾ h æ m e̞
دلاوران	d æ l ɒː v æ ɾ ɒː n
رابا	ɾ ɒː b ɒː
رامش	ɾ ɒː m e̞ ʃ
ربطش	ɾ æ b e̞ t e̞ ʃ
رجا	ɾ e̞ d͡ʒ ɒː
رفتاري	ɾ o f t ɒː ɾ iː
رل	ɾ æ l
رویدادهایی	ɾ æ v iː d ɒː d e̞ iː
رپی	ɾ æ p iː
سار	s ɒː ɾ
سودابه	s uː d ɒː b e̞
سوسیالیست	s uː s j ɒː l iː s t
شلمچه	ʃ o l m æ t͡ʃ e̞
شکیرا	ʃ e̞ k iː ɾ ɒː
صبحی	s æ b h iː
ضربی	z æ ɾ b iː
طيف	t iː f
عطایی	æ t ɒː j iː
عقايد	æ ɢ ɒː j æ d
عند	æ n d
فالون	f ɒː l uː n
فرط	f æ ɾ t
فريب	f o ɾ iː b
فیضی	f iː z iː
قصار	ɢ æ s ɒː ɾ
كارم	k ɒː ɾ æ m
كاغذ	k ɒː ɢ æ z
كسب	k æ s b
كمال	k æ m ɒː l
لبت	l æ b t
لشگری	l e̞ ʃ g æ ɾ iː
لنجان	l æ n d͡ʒ ɒː n
لوگر	l uː g æ ɾ
مادلین	m ɒː d æ l iː n
مبرا	m æ b o ɾ ɒː
متضمن	m æ t æ z m æ n
مدیسون	m æ d iː s uː n
مراکشی	m æ ɾ ɒː k e̞ ʃ iː
مرتع	m æ ɾ t æ ʔ
مرگبارترین	m æ ɾ g o b ɒː ɾ t æ ɾ iː n
مستطیلی	m æ s t æ t iː l iː
مشکین	m o ʃ k iː n
مصطفي	m æ s t æ f iː
مظلومان	m æ z l uː m ɒː n
معصومیت	m æ ʔ s uː m iː t
مفسد	m æ f s æ d
منادی	m æ n ɒː d iː
منظمی	m æ n z æ m iː
ميتوانيد	m iː t æ v ɒː n iː d
میخوندم	m iː x æ n d æ m
میدونستیم	m iː d uː n e̞ s t iː m
ناشنوایان	n ɒː ʃ e̞ n æ v ɒː j ɒː n
ناکرده	n ɒː k æ ɾ d e̞
نبره	n æ b o ɾ e̞
نتورک	n æ t uː ɾ k
نذاشتی	n æ z ɒː ʃ t iː
نمونی	n o m uː n iː
نواقص	n æ v ɒː ɢ e̞ s
هاک	h ɒː k
هرکجا	h æ ɾ k e̞ d͡ʒ ɒː
همپتون	h æ m p o t uː n
هواش	h æ v ɒː ʃ
واژگانی	v ɒː ʒ e̞ g ɒː n iː
وسکس	v æ s k æ s
يازدهم	j ɒː z d æ h æ m
پارچ	p ɒː ɾ t͡ʃ
پاورقی	p ɒː v æ ɾ ɢ iː
پاياني	p ɒː j ɒː n iː
پرآب	p æ ɾ ɒː b
پروپاگاندای	p æ ɾ uː p ɒː g ɒː n d ɒː j
پلا	p æ l ɒː
پيشگيري	p iː ʃ g iː ɾ iː
چفت	t͡ʃ o f t
کمینه	k æ m iː n e̞
کندال	k æ n d ɒː l
کندر	k æ n d æ ɾ
کنشگر	k e̞ n e̞ ʃ g æ ɾ
کوران	k uː ɾ ɒː n
گاف	g ɒː f
گرایشی	g e̞ ɾ ɒː j e̞ ʃ iː
گرفتيم	g e̞ ɾ e̞ f t iː m
گس	g o s
یکایک	j e̞ k ɒː j e̞ k
mark	m a ɾ k
times	t iː m e̞ s
آبدانان	ɒː b e̞ d ɒː n ɒː n
آبیک	ɒː b iː k
آخرشم	ɒː x e̞ ɾ e̞ ʃ æ m
آرگوس	ɒː ɾ g uː s
آمارگیری	ɒː m ɒː ɾ g iː ɾ iː
آمال	ɒː m ɒː l
آنت	ɒː n æ t
آوازخوانی	ɒː v ɒː z x ɒː n iː
آپریل	ɒː p æ ɾ iː l
آگه	ɒː g e̞
ارا	æ ɾ ɒː
اسمس	æ s m æ s
اونجاش	o n d͡ʒ ɒː ʃ
ایثارگر	iː s ɒː ɾ g æ ɾ
ایرلاین	iː ɾ æ l ɒː j æ n
ایکاش	iː k ɒː ʃ
باشين	b ɒː ʃ iː n
ببینش	b e̞ b iː j ɒː n e̞ ʃ
بدانيد	b e̞ d ɒː n iː d
بروجن	b e̞ ɾ uː d͡ʒ æ n
برونی	b e̞ ɾ uː n iː
بشند	b e̞ ʃ æ n d
بلع	b æ l ʔ
بپزه	b e̞ p æ z e̞
بگذرونه	b e̞ g o z æ ɾ uː n e̞
تافل	t ɒː f e̞ l
تبدیلش	t æ b d iː l e̞ ʃ
توتم	t uː t æ m
تورین	t uː ɾ iː n
جامپ	d͡ʒ ɒː m æ p
جودوکار	d͡ʒ uː d uː k ɒː ɾ
حریر	h æ ɾ iː ɾ
حساسيت	h e̞ s ɒː s iː t
خواف	x ɒː f
دارين	d ɒː ɾ iː n
داشتنیه	d ɒː ʃ t æ n iː j e̞
دریاست	d æ ɾ j ɒː s t
دستاوردی	d æ s t ɒː v æ ɾ d iː
دستمایه	d æ s t æ m ɒː j e̞
دلجویی	d æ l d͡ʒ uː j iː
دندونم	d æ n d uː n æ m
دوجداره	d uː d͡ʒ d ɒː ɾ e̞
دوگل	d uː g æ l
ذهني	z æ h n iː
راین	ɾ ɒː j æ n
رحمه	ɾ æ h m e̞
رقاصه	ɾ æ ɢ ɒː s e̞
رهنمون	ɾ æ h n æ m uː n
رولاند	ɾ uː l ɒː n æ d
ریت	ɾ iː t
ریدر	ɾ iː d æ ɾ
زمام	z æ m ɒː m
ساختش	s ɒː x t e̞ ʃ
ساختماني	s ɒː x t æ m ɒː n iː
سخنانش	s o x n ɒː n e̞ ʃ
سرایدار	s o ɾ ɒː j æ d ɒː ɾ
سلتیک	s æ l t iː k
سودمندی	s uː d æ m æ n d iː
سورا	s uː ɾ ɒː
