the	t eː
huisgezin	ɦ œ y̯ s x ə z ɪ n
hulshout	ɦ ʏ l s ɦ ɑ u̯ t
huurkosten	ɦ yː r k ɔ s t ə
hydrofiele	ɦ i d r oː f i l ə
hymnen	ɦ ɪ m n ə
iberische	i b eː r i s ə
iens	i n s
ijsselmond	ɛ i̯ s ə l m ɔ n t
ijsvorming	ɛ i̯ s f ɔ r m ɪ ŋ
imponerend	ɪ m p oː n eː r ə n t
inbeeldt	ɪ n b eː l t
informatisering	ɪ n f ɔ r m aː t i z eː r ɪ ŋ
inhoudsloos	ɪ n ɦ ɑ u̯ t s l oː s
innoverend	ɪ n oː v ə r ə n t
intelligentste	ɪ n t ɛ l ə ɣ ɛ n t s t ə
interessegebied	ɪ n t ə r ɛ s ə ɣ ə b i t
investors	ɪ n v ɛ s t ɔ r s
irenestraat	iː r ə n ɛ s t r aː t
iri	iː r i
itchy	ɪ t ʃ i
itterbeek	ɪ t ə r b eː k
jaarringen	j aː r ɪ ŋ ə
jamboree	j ɑ m b oː r eː
jannah	j ɑ n aː
japonica	j aː p oː n i k aː
jardim	j ɑ r d ɪ m
jazmin	j ɑ z m ɪ n
jetze	j ɛ t s ə
jeugdbestuur	j øː x t b ə s t yː r
jeugdcommissie	j øː x t k ɔ m ɪ s i
jeugdgroepen	j øː x t x r u p ə
jeugdkamp	j øː x t k ɑ m p
jeugdprins	j øː x t p r ɪ n s
jodan	j oː d ɑ n
johto	j oː t oː
jongerenafdeling	j ɔ ŋ ə r ə n ɑ f d eː l ɪ ŋ
jorissen	j oː r ɪ s ə
jäger	j ɛː ɣ ə r
kaartspellen	k aː r t s p ɛ l ə
kaassaus	k aː s ɑ u̯ s
kabbelt	k ɑ b ə l t
kanji	k ɑ n j i
kanters	k ɑ n t ə r s
karikaturist	k aː r i k aː t y r ɪ s t
karskens	k ɑ r s k ə n s
kasteeltuin	k ɑ s t eː l t œ y̯ n
kea	k eː aː
keldert	k ɛ l d ə r t
keppler	k ɛ p l ə r
kerktorens	k ɛ r k t oː r ə n s
kernachtige	k ɛ r n ɑ x t ə ɣ ə
kian	k i ɑ n
kindsbeen	k ɪ n t s b eː n
kinsella	k ɪ n s ɛ l aː
kla	k l aː
knipoogde	k n i p oː x d ə
kobes	k oː b ə s
koenigsegg	k u n ə x s ɛ ɣ
kompassen	k ɔ m p ɑ s ə
komplete	k ɔ m p l eː t ə
koorzang	k oː r z ɑ ŋ
kopietjes	k oː p i t j ə s
kostenbeheersing	k ɔ s t ə b ə ɦ eː r s ɪ ŋ
kostendekkend	k ɔ s t ə d ɛ k ə n t
kotters	k ɔ t ə r s
kraambezoek	k r aː m b ə z u k
kremers	k r eː m ə r s
kreuziger	k r øː z ə ɣ ə r
kudos	k y d ɔ s
kultur	k ʏ l t ʏ r
kundalini	k ʏ n d aː l i n i
kwalificatiewedstrijden	k ʋ aː l i f i k aː s i ʋ ɛ t s t r ɛ i̯ d ə
kwartaalblad	k ʋ ɑ r t aː l b l ɑ t
lachlan	l ɑ x l ɑ n
landgericht	l ɑ n t x ə r ɪ x t
lanier	l aː n iː r
larbi	l ɑ r b i
leasing	l iː z ɪ ŋ
legermacht	l eː ɣ ə r m ɑ x t
lenigheid	l eː n ə x ɦ ɛ i̯ t
lesgaf	l ɛ s x ɑ f
lianen	l i aː n ə
lichaamsgeur	l ɪ x aː m s x øː r
lijvige	l ɛ i̯ v ə ɣ ə
limb	l ɪ m p
limburgia	l ɪ m b ʏ r ɣ i aː
linkerbovenhoek	l ɪ ŋ k ə r b oː v ə n ɦ u k
loma	l oː m aː
lottery	l ɔ t ə r i
lq	ɛ l k aː
lubbeek	l ʏ b eː k
luchtplaats	l ʏ x t p l aː t s
lustte	l ʏ s t ə
luton	l y t ɔ n
maakster	m aː k s t ə r
maarkedal	m aː r k ə d ɑ l
mahmud	m aː m ʏ t
makelijk	m aː k ə l ə k
mannenwereld	m ɑ n ə n ʋ eː r ə l t
marant	m aː r ɑ n t
marinduque	m aː r ɪ n d y k ə
marketingafdeling	m ɑ r k ə t ɪ ŋ ɑ f d eː l ɪ ŋ
mascottes	m ɑ s k ɔ t ə s
mattei	m ɑ t ɛ i̯
mayeur	m aː j øː r
mccluskey	m ə k l ʏ s k i
medailleklassement	m eː d ɑ i̯ ə k l ɑ s ə m ɛ n t
medegebruik	m eː d ə ɣ ə b r œ y̯ k
mediaconcern	m eː d i aː k ɔ n s ɛ r n
medic	m eː d ɪ k
meerhoven	m eː r ɦ oː v ə
meinerswijk	m ɛ i̯ n ə r s ʋ ɛ i̯ k
melia	m eː l i aː
melin	m eː l ɪ n
metcalf	m ɛ t k ɑ l f
minusma	m i n ʏ s m aː
misselijkmakende	m ɪ s ə l ə k m aː k ə n d ə
mockingjay	m ɔ k ɪ ŋ j eː
modulen	m oː d y l ə
moerbeke	m u r b eː k ə
motorscooter	m oː t ɔ r s k oː t ə r
motorstoring	m oː t ɔ r s t oː r ɪ ŋ
muk	m ʏ k
museumstuk	m y z eː ʏ m s t ʏ k
musset	m ʏ s ə t
mutte	m ʏ t ə
mwo	m ʋ oː
nachtkastjes	n ɑ x t k ɑ s t j ə s
nadenkend	n aː d ə k ɛ n t
nagelezen	n aː ɣ ə l eː z ə
natuurproducten	n aː t yː r p r oː d ʏ k t ə
neuve	n øː v ə
nevenvestiging	n eː v ə n v ɛ s t ə ɣ ɪ ŋ
nijenrode	n ɛ i̯ ə n r oː d ə
nijverheidsstraat	n ɛ i̯ v ə r ɦ ɛ i̯ t s t r aː t
ninjago	n ɪ n j aː ɣ oː
nobelstraat	n oː b ə l s t r aː t
noodwet	n oː t ʋ ɛ t
normaliseert	n ɔ r m aː l i z eː r t
nubische	n y b i s ə
nuran	n y r ɑ n
nvvs	ɛ n v eː v eː ɛ s
ogenschijnlijke	oː ɣ ə n s x ɛ i̯ n l ə k ə
omaanse	oː m aː n s ə
omgewaaid	ɔ m ɣ ə ʋ aː i̯ t
omslachtige	ɔ m s l ɑ x t ə ɣ ə
onbruikbare	ɔ n b r œ y̯ k b aː r ə
onderbetaalde	ɔ n d ə r b ə t aː l d ə
onderverdelen	ɔ n d ə r v ə r d eː l ə
oninteressante	ɔ n ɪ n t ə r ɛ s ɑ n t ə
onn	ɔ n
onoplettende	ɔ n ɔ p l ɛ t ə n d ə
ontwikkelingsorganisaties	ɔ n t ʋ ɪ k ə l ɪ ŋ s ɔ r ɣ aː n i z aː s i s
opspoort	ɔ p s p oː r t
origi	oː r i ɣ i
orkestratie	ɔ r k ə s t r aː s i
orry	ɔ r i
overheersers	oː v ə r ɦ eː r s ə r s
paasviering	p aː s f iː r ɪ ŋ
paketten	p aː k ɛ t ə
pandje	p ɑ n t j ə
parkpop	p ɑ r k p ɔ p
peervormig	p eː r v ɔ r m ə x
pepingen	p eː p ɪ ŋ ə
perdido	p ɛ r d i d oː
perfekte	p ɛ r f ɛ k t ə
persson	p ɛ r s ɔ n
petteflet	p ɛ t ə f l ɛ t
piels	p i l s
piersma	p iː r s m aː
pietersbasiliek	p i t ə r s b aː z i l i k
plichtig	p l ɪ x t ə x
plunder	p l ʏ n d ə r
pomerol	p oː m ə r ɔ l
pontons	p ɔ n t ɔ n s
postel	p ɔ s t ə l
potstal	p ɔ t s t ɑ l
precisielandbouw	p r eː s i z i l ɑ n t b ɑ u̯
prejudice	p r eː j y d i s ə
printje	p r ɪ n t j ə
privatiseringen	p r i v aː t i z eː r ɪ ŋ ə
productielijnen	p r oː d ʏ k s i l ɛ i̯ n ə
projectoren	p r oː j ɛ k t oː r ə
provoceerde	p r oː v oː s eː r d ə
pug	p ʏ x
puriteinse	p y r i t ɛ i̯ n s ə
puzzeltocht	p ʏ z ə l t ɔ x t
qiu	k i u̯
raadgevingen	r aː t x eː v ɪ ŋ ə
rachelle	r ɑ x ɛ l ə
raki	r aː k i
rallycross	r ɑ l i k r ɔ s
rambla	r ɑ m b l aː
randzaken	r ɑ n t s aː k ə
rassenrellen	r ɑ s ə n r ɛ l ə
ratelt	r aː t ə l t
rawalpindi	r aː ʋ ɑ l p ɪ n d i
rechtschapenheid	r ɛ x t s x aː p ə n ɦ ɛ i̯ t
rechtshandelingen	r ɛ x t s ɦ ɑ n d ə l ɪ ŋ ə
rectale	r ɛ k t aː l ə
regentenkamer	r eː ɣ ɛ n t ə k aː m ə r
reisbureaus	r ɛ i̯ s b y r oː s
relativisme	r eː l aː t i v ɪ s m ə
renteverhoging	r ɛ n t ə v ə r ɦ oː ɣ ɪ ŋ
reuen	r øː ə
revius	r eː v i ʏ s
reyers	r ɛ i̯ ə r s
rijnvogels	r ɛ i̯ n v oː ɣ ə l s
rinnooy	r ɪ n oː i̯
risicogebied	r i z i k oː ɣ ə b i t
ritmo	r ɪ t m oː
rodolfo	r oː d ɔ l f oː
rody	r oː d i
rookgassen	r oː k x ɑ s ə
rosetti	r oː z ɛ t i
rothstein	r ɔ t s t ɛ i̯ n
ruine	r œ y̯ n ə
rushdie	r ʏ ʃ d i
rutland	r ʏ t l ɑ n t
rügen	r y ɣ ə
saman	s aː m ɑ n
sanny	s ɑ n i
sasuke	s aː s y k ə
saven	s aː v ə
scarabee	s k aː r aː b eː
schattenjacht	s x ɑ t ə j ɑ x t
scheepvaartkwartier	s x eː p f aː r t k ʋ ɑ r t iː r
scheerde	s x eː r d ə
scheidingswand	s x ɛ i̯ d ɪ ŋ s ʋ ɑ n t
schietsport	s x i t s p ɔ r t
schikte	s x ɪ k t ə
schoolreisjes	s x oː l r ɛ i̯ ʃ ə s
schotwonden	s x ɔ t ʋ ɔ n d ə
schreeuwerige	s x r eː u̯ ə r ə ɣ ə
seca	s eː k aː
secularisering	s eː k y l aː r i z eː r ɪ ŋ
seger	s eː ɣ ə r
seinpost	s ɛ i̯ n p ɔ s t
sevenfold	s eː v ə f ɔ l t
sharen	ʃ aː r ə
sharkey	ʃ ɑ r k i
showers	ʃ oː ə r s
siegen	s i ɣ ə
siemen	s i m ə
slaapbanken	s l aː p b ɑ ŋ k ə
slavendrijvers	s l aː v ə d r ɛ i̯ v ə r s
sleeves	s l eː v ə s
sliertjes	s l iː r t j ə s
slu	s l y
snorfietsen	s n ɔ r f i t s ə
snuitje	s n œ y̯ t j ə
sob	s ɔ p
soekarno	s u k ɑ r n oː
soviet	s oː v i t
specification	s p eː s i f i k aː ʃ ɔ n
specke	s p ɛ k ə
speculeer	s p eː k y l eː r
spellingsregels	s p ɛ l ɪ ŋ s r eː ɣ ə l s
spelwereld	s p ɛ l ʋ eː r ə l t
spettert	s p ɛ t ə r t
speurneuzen	s p øː r n øː z ə
spierings	s p iː r ɪ ŋ s
spijbelt	s p ɛ i̯ b ə l t
splitsten	s p l ɪ t s t ə
spooktocht	s p oː k t ɔ x t
spotprijs	s p ɔ t p r ɛ i̯ s
spraakkunst	s p r aː k ʏ n s t
staatsapparaat	s t aː t s ɑ p aː r aː t
staatse	s t aː t s ə
stampte	s t ɑ m p t ə
statines	s t aː t i n ɛ s
steely	s t eː l i
stilgezeten	s t ɪ l ɣ ə z eː t ə
stokbroodje	s t ɔ k b r oː t j ə
straatbende	s t r aː t b ɛ n d ə
strandbad	s t r ɑ n t b ɑ t
straps	s t r ɑ p s
streuvels	s t r øː v ə l s
struikrovers	s t r œ y̯ k r oː v ə r s
stuurinrichting	s t yː r ɪ n r ɪ x t ɪ ŋ
successierechten	s ʏ k s ɛ s i r ɛ x t ə
superheldenfilm	s y p ə r ɦ ɛ l d ə f ɪ l m
supersterk	s y p ə r s t ɛ r k
superzware	s y p ə r z ʋ aː r ə
synchro	s ɪ n x r oː
talentscout	t aː l ɛ n t s k ɑ u̯ t
talkie	t ɑ l k i
tambora	t ɑ m b oː r aː
tandbederf	t ɑ n t b ə d ɛ r f
tandenknarsen	t ɑ n d ə k n ɑ r s ə
tano	t aː n oː
technician	t ɛ x n i ʃ ɑ n
tehran	t eː r ɑ n
testimonial	t ɛ s t i m oː n i ɑ l
testuitslag	t ɛ s t œ y̯ t s l ɑ x
theatersport	t eː aː t ə r s p ɔ r t
thissen	t ɪ s ə
thomése	t oː m eː z ə
tif	t ɪ f
tiggelaar	t ɪ ɣ ə l aː r
tintin	t ɪ n t ɪ n
tobey	t oː b ɛ i̯
toekomstplan	t u k ɔ m s t p l ɑ n
toenamen	t u n aː m ə
toho	t oː ɦ oː
transvetten	t r ɑ n s v ɛ t ə
travelbird	t r aː v ə l b ɪ r t
treinticket	t r ɛ i̯ n t ɪ k ə t
trekpaarden	t r ɛ k p aː r d ə
trento	t r ɛ n t oː
trinitas	t r i n i t ɑ s
tupelo	t y p ə l oː
typical	t i p i k ɑ l
uffelen	ʏ f ə l ə
uitgehouden	œ y̯ t x ə ɦ ɑ u̯ d ə
uitgelokte	œ y̯ t x ə l ɔ k t ə
univers	y n i v ɛ r s
valar	v aː l ɑ r
valmont	v ɑ l m ɔ n t
vapor	v aː p ɔ r
varg	v ɑ r x
vastlegde	v ɑ s t l ɛ x d ə
vaststellingen	v ɑ s t s t ɛ l ɪ ŋ ə
veelgemaakte	v eː l ɣ ə m aː k t ə
veelgevraagde	v eː l ɣ ə v r aː x d ə
veenhoop	v eː n ɦ oː p
veken	v eː k ə
velociraptor	v eː l oː s i r ɑ p t ɔ r
velsertunnel	v ɛ l s ə r t ʏ n ə l
vence	v ɛ n s
venter	v ɛ n t ə r
verblindend	v ə r b l ɪ n d ə n t
verdedigingswerk	v ə r d eː d ə ɣ ɪ ŋ s ʋ ɛ r k
verhees	v ə r ɦ eː s
verhuurmakelaar	v ə r ɦ yː r m aː k ə l aː r
vermarkt	v ə r m ɑ r k t
verschoon	v ə r s x oː n
versterkten	v ə r s t ɛ r k t ə
vertegenwoordigend	v ə r t eː ɣ ə n ʋ oː r d ə ɣ ə n t
verzekeringspremies	v ə r z eː k ə r ɪ ŋ s p r eː m i s
verzelfstandigd	v ə r z ɛ l f s t ɑ n d ə x t
verzetsmuseum	v ə r z ɛ t s m y z eː ʏ m
vetgedrukte	v ɛ t x ə d r ʏ k t ə
vindingen	v ɪ n d ɪ ŋ ə
vingerkootjes	v ɪ ŋ ə r k oː t j ə s
visé	v i z eː
vitrinekast	v i t r i n ə k ɑ s t
vizieren	v i z iː r ə
vleiend	v l ɛ i̯ ə n t
voedselproducten	v u t s ə l p r oː d ʏ k t ə
voilá	v oː l aː
volge	v ɔ l ɣ ə
volgeschreven	v ɔ l ɣ ə s x r eː v ə
volksverzekeringen	v ɔ l k s f ə r z eː k ə r ɪ ŋ ə
volkswagens	v ɔ l k s ʋ aː ɣ ə n s
vomar	v oː m ɑ r
voorvleugel	v oː r v l øː ɣ ə l
vredesweek	v r eː d ə s ʋ eː k
waddenkust	ʋ ɑ d ə k ʏ s t
wagendorp	ʋ aː ɣ ə d ɔ r p
walgde	ʋ ɑ l x d ə
wallpapers	ʋ ɑ l p aː p ə r s
wandtegels	ʋ ɑ n t eː ɣ ə l s
wasbaar	ʋ ɑ s b aː r
waterkoeling	ʋ aː t ə r k u l ɪ ŋ
weeft	ʋ eː f t
weerstations	ʋ eː r s t aː ʃ ɔ n s
wegbleef	ʋ ɛ x b l eː f
weggooi	ʋ ɛ x ɣ oː i̯
wegsteken	ʋ ɛ x s t eː k ə
weissman	ʋ ɛ i̯ s m ɑ n
wentelt	ʋ ɛ n t ə l t
werkbezoeken	ʋ ɛ r k b ə z u k ə
werkjaar	ʋ ɛ r k j aː r
wess	ʋ ɛ s
westelaken	ʋ ɛ s t ə l aː k ə
wetenschapsbeleid	ʋ eː t ə n s x ɑ p s b ə l ɛ i̯ t
weterings	ʋ eː t ə r ɪ ŋ s
wethouderschap	ʋ ɛ t ɦ ɑ u̯ d ə r s x ɑ p
wielerklassieker	ʋ i l ə r k l ɑ s i k ə r
wijngoed	ʋ ɛ i̯ n ɣ u t
wijsgerige	ʋ ɛ i̯ s x ə r ə ɣ ə
willoos	ʋ ɪ l oː s
windstilte	ʋ ɪ n t s t ɪ l t ə
wonderboy	ʋ ɔ n d ə r b ɔ i̯
woodhouse	ʋ oː t ɦ ɑ u̯ s ə
woodman	ʋ oː t m ɑ n
woodruff	ʋ oː t r ʏ f
woonoppervlak	ʋ oː n ɔ p ə r v l ɑ k
wouwse	ʋ ɑ u̯ s ə
wulpen	ʋ ʏ l p ə
yat	j ɑ t
zabel	z aː b ə l
zebrapaden	z eː b r aː p aː d ə
zegmaar	z ɛ x m aː r
zelfbeheer	z ɛ l f b ə ɦ eː r
zelfmoordpogingen	z ɛ l f m oː r t p oː ɣ ɪ ŋ ə
zerken	z ɛ r k ə
zesdelige	z ɛ s d ə l ə ɣ ə
zhi	ʒ i
ziekmelding	z i k m ɛ l d ɪ ŋ
zilverreigers	z ɪ l v ə r r ɛ i̯ ɣ ə r s
zloty	z l oː t i
zoetsappige	z u t s ɑ p ə ɣ ə
zoutig	z ɑ u̯ t ə x
zoutman	z ɑ u̯ t m ɑ n
zwaarwegende	z ʋ aː r ʋ eː ɣ ə n d ə
zwarter	z ʋ ɑ r t ə r
zwemwedstrijd	z ʋ ɛ m ʋ ɛ t s t r ɛ i̯ t
zwenkwielen	z ʋ ɛ ŋ k ʋ i l ə
zwerf	z ʋ ɛ r f
éé	eː
aalborg	aː l b ɔ r x
achtigs	ɑ x t ə x s
adolph	aː d ɔ l f
advocatenbureau	ɑ t f oː k aː t ə b y r oː
aether	aː t ə r
afgevinkt	ɑ f x ə v ɪ ŋ k t
afsneed	ɑ f s n eː t
afstandsmeter	ɑ f s t ɑ n t s m eː t ə r
afsterft	ɑ f s t ɛ r f t
afstudeert	ɑ f s t y d eː r t
agathe	aː ɣ aː t ə
agterberg	ɑ x t ə r b ɛ r x
albasten	ɑ l b ɑ s t ə
alcoholvergiftiging	ɑ l k oː ɦ ɔ l v ə r ɣ ɪ f t ə ɣ ɪ ŋ
alejandra	aː l ə j ɑ n d r aː
aleksandra	aː l ɛ k s ɑ n d r aː
ambitieniveau	ɑ m b i s i n i v oː
anabel	aː n aː b ə l
anansi	aː n ɑ n s i
angsthazen	ɑ ŋ s t ɦ aː z ə
angstklachten	ɑ ŋ s t k l ɑ x t ə
anticiperend	ɑ n t i s i p eː r ə n t
apophis	aː p ɔ f ɪ s
arag	aː r ɑ x
arbeidsomstandighedenwet	ɑ r b ɛ i̯ t s ɔ m s t ɑ n d ə x ɦ eː d ə n ʋ ɛ t
archipelbuurt	ɑ r x i p ə l b yː r t
aries	aː r i s
asielzoekerscentra	aː z i l z u k ə r s ɛ n t r aː
asturië	ɑ s t y r i ə
atreides	aː t r ɛ i̯ d ə s
attendeert	ɑ t ə d eː r t
aud	ɑ u̯ t
autoliefhebber	oː t oː l i f ɦ ɛ b ə r
ayahuasca	aː j aː ɦ y ɑ s k aː
bakkerijmuseum	b ɑ k ə r ɛ i̯ m y z eː ʏ m
ballistic	b ɑ l ɪ s t ɪ k
baptistengemeente	b ɑ p t ɪ s t ə n ɣ ə m eː n t ə
barbas	b ɑ r b ɑ s
basisteam	b aː z ɪ s t iː m
bastide	b ɑ s t i d ə
batibouw	b aː t i b ɑ u̯
batten	b ɑ t ə
bedrijfsbureau	b ə d r ɛ i̯ f s b y r oː
behartiging	b ə ɦ ɑ r t ə ɣ ɪ ŋ
bekkering	b ɛ k ə r ɪ ŋ
belafonte	b ə l aː f ɔ n t ə
belangerijk	b ə l ɑ ŋ ə r ɛ i̯ k
belastingvermindering	b ə l ɑ s t ɪ ŋ v ə r m ɪ n d ə r ɪ ŋ
beri	b eː r i
bernhardstraat	b ɛ r n ɦ ɑ r t s t r aː t
bernier	b ɛ r n iː r
beschikkingen	b ə s x ɪ k ɪ ŋ ə
bestendigd	b ə s t ɛ n d ə x t
betaalsysteem	b ə t aː l s i s t eː m
bete	b eː t ə
betz	b ɛ t s
beule	b øː l ə
bielsa	b i l s aː
bkv	b eː k aː v eː
blacksmith	b l ɑ k s m ɪ t
blanka	b l ɑ ŋ k aː
bliek	b l i k
bns	b eː ɛ n ɛ s
bodylotion	b oː d i l oː ʃ ɔ n
boeicop	b u i̯ k ɔ p
boetekleed	b u t ə k l eː t
bombarie	b ɔ m b aː r i
bomexplosie	b oː m ɛ k s p l oː z i
bondgenootschappen	b ɔ n t x ə n oː t s x ɑ p ə
borderlands	b ɔ r d ə r l ɑ n t s
boreel	b oː r eː l
borsboom	b ɔ r s b oː m
bosgrond	b ɔ s x r ɔ n t
botkanker	b ɔ t k ɑ ŋ k ə r
bov	b oː v
brinkstraat	b r ɪ ŋ k s t r aː t
brinta	b r ɪ n t aː
broerse	b r u r s ə
brontekst	b r ɔ n t ɛ k s t
brubaker	b r y b aː k ə r
brulapen	b r y l aː p ə
btr	b eː t eː ɛ r
budgethouders	b ʏ d ʒ ə t ɦ ɑ u̯ d ə r s
bugaboo	b y ɣ aː b oː
bunders	b ʏ n d ə r s
busscher	b ʏ s ə r
bve	b eː v eː
caa	k aː
cabauw	k aː b ɑ u̯
cac	k ɑ k
cadeaukaarten	k aː d oː k aː r t ə
calker	k ɑ l k ə r
campbells	k ɑ m b ɛ l s
cathcart	k ɑ t k ɑ r t
celdeur	s ɛ l d øː r
celeb	s eː l ɛ p
celeritas	s eː l eː r i t ɑ s
chiazaad	ʃ i aː z aː t
chiquita	ʃ i k i t aː
cissé	s i s eː
civitas	s i v i t ɑ s
clicker	k l ɪ k ə r
coachende	k oː ɑ ʃ ɛ n d ə
cocons	k oː k ɔ n s
codeert	k oː d eː r t
coliseum	k oː l i z eː ʏ m
colonna	k oː l ɔ n aː
combineerbaar	k ɔ m b i n eː r b aː r
concha	k ɔ n ʃ aː
conditioning	k ɔ n d i ʃ oː n ɪ ŋ
connections	k ɔ n ɛ k ʃ ɔ n s
convenanten	k ɔ n v ə n ɑ n t ə
coronamaatregelen	k oː r oː n aː m aː t r eː ɣ ə l ə
crimi	k r i m i
criminaliteitscijfers	k r i m i n aː l i t ɛ i̯ t s ɛ i̯ f ə r s
crumb	k r ʏ m p
curver	k ʏ r v ə r
cydia	s i d i aː
dagon	d aː ɣ ɔ n
dagvaardingen	d ɑ x f aː r d ɪ ŋ ə
dano	d aː n oː
darpa	d ɑ r p aː
dartmoor	d ɑ r t m oː r
dekselse	d ɛ k s ə l s ə
deserve	d eː z ɛ r v ə
desiré	d eː z i r eː
dienares	d i n aː r ɛ s
digipoort	d i ɣ i p oː r t
discord	d ɪ s k ɔ r t
divo	d i v oː
djoser	d ʒ oː z ə r
doelenstraat	d u l ə n s t r aː t
donge	d ɔ ŋ ə
doodschoten	d oː t s x oː t ə
doorgeprikt	d oː r ɣ ə p r ɪ k t
doortastendheid	d oː r t ɑ s t ə n t ɦ ɛ i̯ t
dorota	d oː r oː t aː
dorplein	d ɔ r p l ɛ i̯ n
doto	d oː t oː
draagconstructie	d r aː x k ɔ n s t r ʏ k s i
drouwenerzand	d r ɑ u̯ ə n ə r z ɑ n t
dsk	d eː ɛ s k aː
dubbelzijdig	d ʏ b ə l z ɛ i̯ d ə x
dwarsdijk	d ʋ ɑ r s d ɛ i̯ k
eastpak	eː ɑ s t p ɑ k
ecodorp	eː k oː d ɔ r p
ecoducten	eː k oː d ʏ k t ə
eddington	ɛ d ɪ ŋ t ɔ n
eenstemmig	eː n s t ɛ m ə x
egards	eː ɣ ɑ r t s
eikenhorst	ɛ i̯ k ə n ɦ ɔ r s t
eindpunten	ɛ i̯ n t p ʏ n t ə
ekkersrijt	ɛ k ə r s r ɛ i̯ t
elkanders	ɛ l k ɑ n d ə r s
emms	ɛ m s
entity	ɛ n t i t i
entreebewijs	ɛ n t r eː b ə ʋ ɛ i̯ s
epidurale	eː p i d y r aː l ə
etikettering	eː t i k ɛ t ə r ɪ ŋ
evaluation	eː v aː l y aː ʃ ɔ n
expect	ɛ k s p ɛ k t
familiebezit	f aː m i l i b ə z ɪ t
fassa	f ɑ s aː
fazio	f aː z i oː
feelin	f eː l ɪ n
ferencváros	f eː r ə k v aː r ɔ s
festina	f ɛ s t i n aː
finnair	f ɪ n ɛː r
fisting	f ɪ s t ɪ ŋ
flitspalen	f l ɪ t s p aː l ə
floreerde	f l oː r eː r d ə
fosters	f ɔ s t ə r s
framed	f r aː m ɛ t
frankering	f r ɑ ŋ k ə r ɪ ŋ
frikandellen	f r i k ɑ n d ɛ l ə
frings	f r ɪ ŋ s
fruitteler	f r œ y̯ t ə l ə r
ganesha	ɣ aː n ə ʃ aː
gasrekening	ɣ ɑ s r eː k ə n ɪ ŋ
gaswet	ɣ ɑ s ʋ ɛ t
gau	ɣ ɑ u̯
gaultmillau	ɣ ɑ u̯ l t m ɪ l oː
geclaimde	ɣ ə k l eː m d ə
gecoverd	ɣ ə k oː v ə r t
geet	ɣ eː t
geheimgehouden	ɣ ə ɦ ɛ i̯ m ɣ ə ɦ ɑ u̯ d ə
gelazer	ɣ ə l aː z ə r
gepareerd	ɣ ə p aː r eː r t
gepeperde	ɣ ə p eː p ə r d ə
gepimpte	ɣ ə p ɪ m p t ə
gepuzzel	ɣ ə p ʏ z ə l
geribbeld	ɣ ə r ɪ b ə l t
gesprekspartners	ɣ ə s p r ɛ k s p ɑ r t n ə r s
gestreeld	ɣ ə s t r eː l t
gestucte	ɣ ə s t ʏ k t ə
gesukkeld	ɣ ə s ʏ k ə l t
getuigden	ɣ ə t œ y̯ x d ə
gevreten	ɣ ə v r eː t ə
gewelddadigheid	ɣ ə ʋ ɛ l t d aː d ə x ɦ ɛ i̯ t
gewetensbezwaren	ɣ ə ʋ eː t ə n s b ə z ʋ aː r ə
gezelligs	ɣ ə z ɛ l ə x s
gezinszorg	ɣ ə z ɪ n s ɔ r x
gib	ɣ ɪ p
gitaarmuziek	ɣ i t aː r m y z i k
glaskralen	ɣ l ɑ s k r aː l ə
glutathion	ɣ l y t aː t i ɔ n
goedhartig	ɣ u t ɦ ɑ r t ə x
goethals	ɣ u t ɦ ɑ l s
gorkum	ɣ ɔ r k ʏ m
gotcha	ɣ ɔ t ʃ aː
goudsmeden	ɣ ɑ u̯ t s m eː d ə
granaatscherven	ɣ r aː n aː t s x ɛ r v ə
grandpa	ɣ r ɑ n t p aː
gravenweg	ɣ r aː v ə n ʋ ɛ x
greenspan	ɣ r eː n s p ɑ n
grenadiers	ɣ r eː n aː d iː r s
grietman	ɣ r i t m ɑ n
grimaud	ɣ r i m ɑ u̯ t
groenoord	ɣ r u n oː r t
groepstentoonstelling	ɣ r u p s t ɛ n t oː n s t ɛ l ɪ ŋ
groepsvorming	ɣ r u p s f ɔ r m ɪ ŋ
gromt	ɣ r ɔ m t
gulzigheid	ɣ ʏ l z ə x ɦ ɛ i̯ t
género	ɣ eː n ə r oː
haaglandia	ɦ aː x l ɑ n d i aː
haalbaarheidsonderzoek	ɦ aː l b aː r ɦ ɛ i̯ t s ɔ n d ə r z u k
haartransplantatie	ɦ aː r t r ɑ n s p l ɑ n t aː s i
haenen	ɦ aː n ə
hageman	ɦ aː ɣ ə m ɑ n
hallepoort	ɦ ɑ l ə p oː r t
hallucinerende	ɦ ɑ l y s i n eː r ə n d ə
hamertje	ɦ aː m ə r t j ə
hankey	ɦ ɑ ŋ k i
hanzelijn	ɦ ɑ n z ə l ɛ i̯ n
harpiste	ɦ ɑ r p ɪ s t ə
heijst	ɦ ɛ i̯ s t
herfstkleur	ɦ ɛ r f s t k l øː r
heroriënteren	ɦ ɛ r oː r i ɛ n t eː r ə
herschreef	ɦ ɛ r s x r eː f
hiragana	ɦ i r aː ɣ aː n aː
hobbelt	ɦ ɔ b ə l t
hofkerk	ɦ ɔ f k ɛ r k
hofstadter	ɦ ɔ f s t ɑ t ə r
holanda	ɦ oː l ɑ n d aː
hollywoodfilms	ɦ ɔ l i ʋ oː t f ɪ l m s
hoofdgerechten	ɦ oː f t x ə r ɛ x t ə
