að	aː ð
almannafé	a l m a nː a f j ɛː
almannagjá	a l m a nː a c a uː
almenningssamgangna	a l m ɛ nː i ŋ k s a m k a u ŋ k n a
alræmdu	a l r a i m t ʏ
alstaðar	a l s t aː ð a r
alvarlegustu	a l v a r l ɛː ɣ ʏ s t ʏ
alþjóðasamninga	a l θ j o uː ð a s a m n i ŋ k a
alþjóðasamningum	a l θ j o uː ð a s a m n i ŋ k ʏ m
alþýðan	a l θ iː ð a n
alþýðusambandið	a l θ iː ð ʏ s a m p a n t ɪ ð
amínósýrum	aː m iː n o uː s iː r ʏ m
andhverfu	a n t kʰ v ɛ r v ʏ
andres	a n t r ɛː s
andrúmslofts	a n t r u m s l ɔ f t s
andsnúnir	a n t s n uː n ɪ r
anka	a u ŋ̊ k a
appelsínugulu	a h p ɛ l s iː n ʏ k ʏː l ʏ
asnalega	a s t n a l ɛː ɣ a
atviks	aː t v ɪ k s
atvinnumál	aː t v ɪ nː ʏ m a uː l
avalon	aː v a l ɔː n
aðalfund	aː ð a l f ʏ n t
aðalheiði	aː ð a l h e iː ð ɪ
aðalstein	aː ð a l s t e iː n
aðalástæðan	aː ð a l a uː s t a iː ð a n
aðbúnaðar	a ð p uː n a ð a r
aðbúnaður	a ð p uː n a ð ʏ r
aðgangseyrir	a ð k a u ŋ k s e iː r ɪ r
aðgerðarinnar	a ð c ɛ r ð a r ɪ nː a r
aðkallandi	a ð kʰ a t l a n t ɪ
aðspurðra	a ð s p ʏ r ð r a
aðstoðarmanna	a ð s t ɔː ð a r m a nː a
bachman	p a x m aː n
bachs	p a x s
backman	p a h k m a n
bankaleynd	p a u ŋ̊ k a l e i n t
banvænn	p a n v a i t n
barir	p aː r ɪ r
barnabókum	p a r t n a p o uː k ʏ m
barnsburð	p a r t n s p ʏ r ð
basilíku	p aː s ɪ l iː k ʏ
belgísku	p ɛ l c i s k ʏ
bells	p ɛ t l s
beltin	p ɛ l̥ t ɪ n
benjamíns	p ɛ n j a m i n s
berar	p ɛː r a r
berserkir	p ɛ r̥ s ɛ r̥ c ɪ r
bindingu	p ɪ n t i ŋ k ʏ
birds	p ɪ r t s
bjarndýr	p j a r t n t iː r
bjórsins	p j o u r̥ s ɪ n s
björgunarsveitarinnar	p j œ r k ʏ n a r s v e iː t a r ɪ nː a r
bl	p l
blandist	p l a n t ɪ s t
blockchain	p l ɔ h k x a iː n
blokkar	p l ɔ h k a r
blésu	p l j ɛː s ʏ
blómgun	p l o u m k ʏ n
blómi	p l o uː m ɪ
blóðgjöf	p l o u ð c œː v
blóðskilun	p l o u ð s c ɪː l ʏ n
blöskraði	p l œ s k r aː ð ɪ
bolungavík	p ɔː l u ŋ k a v iː k
borgaralegt	p ɔ r k a r a l ɛ x t
borgarbókasafnið	p ɔ r k a r p o uː k a s a p n ɪ ð
borgurunum	p ɔ r k ʏ r ʏː n ʏ m
boðaðar	p ɔː ð a ð a r
boðnir	p ɔ ð n ɪ r
braki	p r aː c ɪ
brautskráðir	p r ø yː t s k r a uː ð ɪ r
brauðinu	p r ø yː ð ɪ n ʏ
breslin	p r ɛ s t l ɪ n
brettinu	p r ɛ h t ɪ n ʏ
brottflutning	p r ɔ h t f l ʏ h t n i ŋ k
brunna	p r ʏ nː a
brák	p r a uː k
bráðar	p r a uː ð a r
bráðnaði	p r a u ð n aː ð ɪ
bræðir	p r a iː ð ɪ r
budapest	p ʏː t a pʰ ɛ s t
budget	p ʏ t c ɛː t
burðarvirki	p ʏ r ð a r v ɪ r̥ c ɪ
busla	p ʏ s t l a
byggingarvinnu	p ɪ cː i ŋ k a r v ɪ nː ʏ
byggðaþróun	p ɪ ɣ ð a θ r o uː ʏ n
báran	p a uː r a n
bárðarbunga	p a u r ð a r p u ŋ k a
bæjarfélaga	p a iː j a r f j ɛː l aː ɣ a
bæjarstjórans	p a iː j a r s t j o uː r a n s
bæklingum	p a i h k l i ŋ k ʏ m
bítið	p iː t ɪ ð
bókaflokknum	p o uː k a f l ɔ h k n ʏ m
bókari	p o uː k a r ɪ
bólusett	p o uː l ʏ s ɛ h t
bóndabæ	p o u n t a p a iː
bóndanum	p o u n t a n ʏ m
bótum	p o uː t ʏ m
bölvað	p œ l v aː ð
bönn	p œ nː
bönnum	p œ nː ʏ m
búmm	p u mː
búningana	p uː n i ŋ k aː n a
búningarnir	p uː n i ŋ k a r t n ɪ r
býlinu	p iː l ɪː n ʏ
catarina	kʰ aː t a r ɪː n a
chino	cʰ ɪː n ɔ
click	kʰ l ɪ h k
cort	kʰ ɔ r̥ t
cray	kʰ r a iː
cu	kʰ ʏː
culver	kʰ ʏ l v ɛː r
cv	kʰ v ɛː
dagatöl	t aː ɣ a tʰ œː l
dansaðu	t a n s aː ð ʏ
deildarkeppni	t e i l t a r cʰ ɛ h p n ɪ
deildarstjóra	t e i l t a r s t j o uː r a
delano	t ɛː l a n ɔ
depot	t ɛː pʰ ɔː t
digger	t ɪ cː ɛ r
dimmir	t ɪ mː ɪ r
domus	t ɔː m ʏ s
drekasvæðinu	t r ɛː k a s v a iː ð ɪ n ʏ
drepnar	t r ɛ h p n a r
drops	t r ɔ p s
dráttarvextir	t r a u h t a r v ɛ k s t ɪ r
drægni	t r a i k n ɪ
duftið	t ʏ f t ɪ ð
dularfulli	t ʏː l a r f ʏ t l ɪ
dvalarleyfi	t v aː l a r l e iː v ɪ
dvölin	t v œː l ɪ n
dylans	t ɪː l a n s
dáinu	t a uː ɪ n ʏ
dómaframkvæmd	t o uː m a f r a m kʰ v a i m t
dómsvalds	t o u m s v a l t s
dómsúrskurði	t o u m s u r̥ s k ʏ r ð ɪ
efstaleiti	ɛ f s t a l e iː t ɪ
eftirmann	ɛ f t ɪ r m a nː
eftirrit	ɛ f t ɪ r r ɪː t
eggertssonar	ɛ cː ɛ r̥ t s s ɔː n a r
eglu	ɛ k l ʏ
eiginlegum	e iː j ɪ n l ɛː ɣ ʏ m
eiginmanninum	e iː j ɪ n m a nː ɪ n ʏ m
eignarinnar	e i k n a r ɪ nː a r
eilífi	e iː l iː v ɪ
einhleyp	e i n l̥ e iː p
einkafyrirtækjum	e i ŋ k a f ɪː r ɪ r tʰ a iː c ʏ m
einstæða	e i n s t a iː ð a
eistu	e i s t ʏ
eiturlyfjasala	e iː t ʏ r l ɪ v j a s aː l a
eldis	ɛ l t ɪ s
eldsneytið	ɛ l t s n e iː t ɪ ð
elin	ɛː l ɪ n
emmett	ɛ mː ɛ h t
endanlegum	ɛ n t a n l ɛː ɣ ʏ m
endaþarm	ɛ n t a θ a r m
endurbóta	ɛ n t ʏ r p o uː t a
endurgreiða	ɛ n t ʏ r k r e iː ð a
endurmat	ɛ n t ʏ r m aː t
endurmeta	ɛ n t ʏ r m ɛː t a
episode	ɛː p ɪ s ɔː t ɛ
erfiðis	ɛ r v ɪː ð ɪ s
erfiðri	ɛ r v ɪ ð r ɪ
erics	ɛː r ɪ k s
eureka	ø yː r ɛː k a
evrunni	ɛ v r ʏ nː ɪ
eyrarbakki	e iː r a r p a h c ɪ
eyðilögðu	e iː ð ɪ l œ ɣ ð ʏ
eðlilegast	ɛ ð l ɪ l ɛː ɣ a s t
fagaðila	f aː ɣ a ð ɪː l a
fagfélög	f a x f j ɛː l œː ɣ
faglegri	f a ɣ l ɛ ɣ r ɪ
faglegum	f a ɣ l ɛː ɣ ʏ m
fallujah	f a t l ʏ j a
false	f a l s ɛ
fargi	f a r c ɪ
fargjöld	f a r c œ l t
fartölvuna	f a r̥ tʰ œ l v ʏː n a
fastrar	f a s t r a r
fatahönnun	f aː t a h œ nː ʏ n
fekk	f ɛ h k
ferm	f ɛ r m
fermast	f ɛ r m a s t
ferðafólks	f ɛ r ð a f o u l̥ k s
ferðamannastaða	f ɛ r ð a m a nː a s t aː ð a
ferðamannastaðir	f ɛ r ð a m a nː a s t aː ð ɪ r
ferðist	f ɛ r ð ɪ s t
fetar	f ɛː t a r
filippseyja	f ɪː l ɪ h p s e iː j a
fimmtug	f ɪ m̥ tʰ ʏː ɣ
fiskimiðum	f ɪ s c ɪ m ɪː ð ʏ m
fiskunum	f ɪ s k ʏ n ʏ m
fitch	f ɪ h t x
fjandmenn	f j a n t m ɛ nː
fjandsamleg	f j a n t s a m l ɛː ɣ
fjarlægari	f j a r l a iː ɣ a r ɪ
fjármálakreppunnar	f j a u r m a uː l a kʰ r ɛ h p ʏ nː a r
fjármálastjóra	f j a u r m a uː l a s t j o uː r a
fjárveitingu	f j a u r v e iː t i ŋ k ʏ
fjóni	f j o uː n ɪ
fjölbreytilegum	f j œ l p r e iː t ɪ l ɛː ɣ ʏ m
fjöldaframleiðslu	f j œ l t a f r a m l e i ð s t l ʏ
fjölmiðlunar	f j œ l m ɪ ð l ʏː n a r
fjölskyldumál	f j œ l s c ɪ l t ʏ m a uː l
fjölsótt	f j œ l s o u h t
flokksmönnum	f l ɔ h k s m œ nː ʏ m
flugurnar	f l ʏː ɣ ʏ r t n a r
fléttast	f l j ɛ h t a s t
flókinna	f l o uː c ɪ nː a
flóttafólk	f l o u h t a f o u l̥ k
forgangs	f ɔ r k a u ŋ k s
formsatriði	f ɔ r m s a tʰ r ɪː ð ɪ
forsetum	f ɔ r̥ s ɛː t ʏ m
forstöðumann	f ɔ r̥ s t œː ð ʏ m a nː
forsíðuna	f ɔ r̥ s iː ð ʏ n a
framboðin	f r a m p ɔː ð ɪ n
framdir	f r a m t ɪ r
framkvæmdarinnar	f r a m kʰ v a i m t a r ɪ nː a r
framkvæmdavaldinu	f r a m kʰ v a i m t a v a l t ɪː n ʏ
framkvæmdunum	f r a m kʰ v a i m t ʏ n ʏ m
friðlandinu	f r ɪ ð l a n t ɪː n ʏ
frjálsi	f r j a u l s ɪ
frjótt	f r j o u h t
frobisher	f r ɔː p ɪ s h ɛː r
frumlega	f r ʏ m l ɛː ɣ a
frumsýning	f r ʏ m s iː n i ŋ k
fræðanna	f r a iː ð a nː a
fræðilegan	f r a iː ð ɪ l ɛː ɣ a n
fréttamiðlum	f r j ɛ h t a m ɪ ð l ʏ m
fuglaskoðun	f ʏ k l a s k ɔː ð ʏ n
fullyrðinga	f ʏ t l ɪ r ð i ŋ k a
fundarstaður	f ʏ n t a r s t aː ð ʏ r
furstans	f ʏ r̥ s t a n s
furðuleg	f ʏ r ð ʏ l ɛː ɣ
fylgdarmenn	f ɪ l t a r m ɛ nː
fyrirlítur	f ɪː r ɪ r l iː t ʏ r
fyrirskipa	f ɪː r ɪ r s c ɪː p a
fyrirætlun	f ɪː r ɪ r a i h t l ʏ n
fáfræði	f a uː f r a iː ð ɪ
fámennur	f a uː m ɛ nː ʏ r
fædda	f a i tː a
færsluna	f a i r̥ s t l ʏː n a
fæðutegundir	f a iː ð ʏ tʰ ɛː ɣ ʏ n t ɪ r
félagsfærni	f j ɛː l a x s f a i r t n ɪ
félagsmálaráðuneytisins	f j ɛː l a x s m a uː l a r a uː ð ʏ n e iː t ɪ s ɪ n s
fénað	f j ɛː n a ð
fólksflutningum	f o u l̥ k s f l ʏ h t n i ŋ k ʏ m
fórnarlambanna	f o u r t n a r l a m p a nː a
fóstru	f o u s t r ʏ
fótboltanum	f o uː t p ɔ l̥ t a n ʏ m
föstudaga	f œ s t ʏ t aː ɣ a
gagnagrunnurinn	k a k n a k r ʏ nː ʏ r ɪ nː
gagnkvæmu	k a k n kʰ v a iː m ʏ
gagnkvæmum	k a k n kʰ v a iː m ʏ m
gagnrýndir	k a k n r i n t ɪ r
gammageislun	k a mː a c e i s t l ʏ n
garrison	k a rː ɪ s ɔː n
garðarsdóttur	k a r ð a r s t o u h t ʏ r
gautur	k ø yː t ʏ r
geimskipi	c e i m s c ɪː p ɪ
geitin	c e iː t ɪ n
generator	c ɛː n ɛː r aː t ɔ r
genesis	c ɛː n ɛː s ɪ s
geni	c ɛː n ɪ
georgina	c ɛː ɔ r c ɪː n a
gerendur	c ɛː r ɛ n t ʏ r
gerðubergi	c ɛ r ð ʏ p ɛ r c ɪ
gettysburg	c ɛ h t ɪ s p ʏ r k
geðlæknar	c ɛ ð l a i h k n a r
geðrænum	c ɛ ð r a iː n ʏ m
giftum	c ɪ f t ʏ m
gilly	c ɪ t l ɪ
gjaldeyrishöft	c a l t e iː r ɪ s h œ f t
gjaldfrjáls	c a l t f r j a u l s
gjánni	c a u t n ɪ
glæps	k l a i p s
glæpsamlegt	k l a i p s a m l ɛ x t
gnúpverjahrepps	k n uː p v ɛ r j a r̥ ɛ h p s
gnýr	k n iː r
godzilla	k ɔ t s ɪ t l a
golfklúbbs	k ɔ l v kʰ l u pː s
golfvöll	k ɔ l v v œ t l
gora	k ɔː r a
grafreiturinn	k r aː v r e iː t ʏ r ɪ nː
greiddan	k r e i tː a n
greinaskrif	k r e iː n a s k r ɪː v
greiðast	k r e iː ð a s t
grindur	k r ɪ n t ʏ r
gripnum	k r ɪ h p n ʏ m
griðastaður	k r ɪː ð a s t aː ð ʏ r
grunnatriði	k r ʏ nː a tʰ r ɪː ð ɪ
grínista	k r iː n ɪ s t a
grömmum	k r œ mː ʏ m
guest	k v ɛ s t
gullmerki	k ʏ t l m ɛ r̥ c ɪ
gumma	k ʏ mː a
gítarleik	c iː tʰ a r l e iː k
göngudeild	k ø y ŋ k ʏ t e i l t
hafnafirði	h a p n a f ɪ r ð ɪ
hafró	h a v r o uː
hafíss	h aː v i sː
hagstæðari	h a x s t a iː ð a r ɪ
halden	h a l t ɛ n
harðardóttur	h a r ð a r t o u h t ʏ r
harðfiskur	h a r ð f ɪ s k ʏ r
hatursorðræðu	h aː t ʏ r s ɔ r ð r a iː ð ʏ
having	h aː v i ŋ k
heftið	h ɛ f t ɪ ð
heilbrigðra	h e i l p r ɪ ɣ ð r a
heilbrigðri	h e i l p r ɪ ɣ ð r ɪ
heildarupphæð	h e i l t a r ʏ h p h a iː ð
heilsast	h e i l s a s t
heilsugæslustöð	h e i l s ʏ c a i s t l ʏ s t œː ð
heimalöndum	h e iː m a l œ n t ʏ m
heimasvæði	h e iː m a s v a iː ð ɪ
heimdallar	h e i m t a t l a r
heimsóknar	h e i m s o u h k n a r
heini	h e iː n ɪ
heiðarleika	h e iː ð a r l e iː k a
heiðursgestur	h e iː ð ʏ r s c ɛ s t ʏ r
helguvík	h ɛ l k ʏ v iː k
hellman	h ɛ t l m aː n
helmingunartími	h ɛ l m i ŋ k ʏ n a r̥ tʰ iː m ɪ
helstar	h ɛ l s t a r
henna	h ɛ nː a
herafli	h ɛː r a p l ɪ
herbergisfélagi	h ɛ r p ɛ r c ɪ s f j ɛː l aː j ɪ
herfilega	h ɛ r v ɪ l ɛː ɣ a
hjartar	ç a r̥ t a r
hjartarætur	ç a r̥ t a r a iː t ʏ r
hjartastopp	ç a r̥ t a s t ɔ h p
hjálpsamur	ç a u l̥ p s aː m ʏ r
hlaðinu	l̥ aː ð ɪ n ʏ
hljóðvinnslu	l̥ j o u ð v ɪ n s t l ʏ
hlotnaðist	l̥ ɔ h t n a ð ɪ s t
hlustun	l̥ ʏ s t ʏ n
hlíðunum	l̥ iː ð ʏ n ʏ m
hlýnar	l̥ iː n a r
hnoðað	n̥ ɔː ð a ð
holdings	h ɔ l t i ŋ k s
holi	h ɔː l ɪ
holunum	h ɔː l ʏ n ʏ m
hopa	h ɔː p a
hopar	h ɔː p a r
hoppað	h ɔ h p a ð
hornspyrnu	h ɔ r t n s p ɪ r t n ʏ
hoskins	h ɔ s c ɪ n s
hrakað	r̥ aː k a ð
hrauna	r̥ ø yː n a
hreindýra	r̥ e i n t iː r a
hreinsunar	r̥ e i n s ʏː n a r
hrygningar	r̥ ɪ k n i ŋ k a r
hræðist	r̥ a iː ð ɪ s t
hröðu	r̥ œː ð ʏ
hugbúnaðargerð	h ʏ ɣ p uː n a ð a r c ɛ r ð
hugmyndafræðilega	h ʏ ɣ m ɪ n t a f r a iː ð ɪ l ɛː ɣ a
hugsana	h ʏ x s aː n a
hugðarefni	h ʏ ɣ ð a r ɛ p n ɪ
hvad	kʰ v aː t
hvalina	kʰ v aː l ɪː n a
hvelfingu	kʰ v ɛ l v i ŋ k ʏ
hvelfingunni	kʰ v ɛ l v i ŋ k ʏ nː ɪ
hversdagsleg	kʰ v ɛ r̥ s t a x s l ɛː ɣ
hvoli	kʰ v ɔː l ɪ
hvítlauks	xʷ iː t l ø y k s
hygla	h ɪ k l a
hált	h a u l̥ t
háskólaprófi	h a uː s k o uː l a pʰ r o uː v ɪ
hækkanir	h a i h k a n ɪ r
hækki	h a i h c ɪ
hættara	h a i h t a r a
hættulaust	h a i h t ʏ l ø y s t
héraðsdómara	ç ɛː r a ð s t o uː m a r a
héraðsdómari	ç ɛː r a ð s t o uː m a r ɪ
hólakirkju	h o uː l a cʰ ɪ r̥ c ʏ
hólmfríðar	h o u l m f r iː ð a r
höfrum	h œ v r ʏ m
höfundalögum	h œː v ʏ n t a l œː ɣ ʏ m
höfuðáverka	h œː v ʏ ð a uː v ɛ r̥ k a
höggin	h œ cː ɪ n
höggs	h œ kː s
höndinni	h œ n t ɪ nː ɪ
hörðustu	h œ r ð ʏ s t ʏ
höskuld	h œ s k ʏ l t
húsmæður	h uː s m a iː ð ʏ r
húsnæðislána	h uː s n a iː ð ɪ s t l a uː n a
húsnæðismálum	h uː s n a iː ð ɪ s m a uː l ʏ m
hýðinu	ç iː ð ɪ n ʏ
ikke	ɪ h c ɛ
illkynja	ɪ t l̥ cʰ ɪ n j a
illmögulegt	ɪ t l m œː ɣ ʏ l ɛ x t
ilo	ɪː l ɔ
ingigerði	i ɲ c ɪ c ɛ r ð ɪ
ingram	i ŋ k r aː m
innheimtir	ɪ nː h e i m̥ t ɪ r
innistæður	ɪ nː ɪ s t a iː ð ʏ r
innlendri	ɪ nː l ɛ n t r ɪ
iðkenda	ɪ ð cʰ ɛ n t a
iðnbyltingarinnar	ɪ ð n p ɪ l̥ t i ŋ k a r ɪ nː a r
jafningjar	j a p n i ɲ c a r
jafnræðisreglu	j a p n r a iː ð ɪ s r ɛ k l ʏ
jenis	j ɛː n ɪ s
jeppe	j ɛ h p ɛ
jesu	j ɛː s ʏ
jewel	j ɛː v ɛ l
jinping	j ɪ n̥ p i ŋ k
join	j ɔ iː n
jolly	j ɔ t l ɪ
jákvæðir	j a uː kʰ v a iː ð ɪ r
jóhan	j o uː h aː n
jólafrí	j o uː l a f r iː
jólakort	j o uː l a kʰ ɔ r̥ t
jólanna	j o uː l a nː a
jólatónleika	j o uː l a tʰ o u n l e iː k a
kallaðr	kʰ a t l a ð r
kapítalismi	kʰ aː p iː tʰ a l ɪ s m ɪ
kaunas	kʰ ø yː n a s
kaupanna	kʰ ø yː pʰ a nː a
kauprétt	kʰ ø yː p r j ɛ h t
keilis	cʰ e iː l ɪ s
kennaranema	cʰ ɛ nː a r a n ɛː m a
kennileita	cʰ ɛ nː ɪ l e iː t a
kennileitið	cʰ ɛ nː ɪ l e iː t ɪ ð
kennileitum	cʰ ɛ nː ɪ l e iː t ʏ m
kennsluhætti	cʰ ɛ n s t l ʏ h a i h t ɪ
kertið	cʰ ɛ r̥ t ɪ ð
kettlingar	cʰ ɛ h t l i ŋ k a r
kia	cʰ ɪː j a
kiki	cʰ ɪː c ɪ
kinnina	cʰ ɪ nː ɪ n a
kirkjugarð	cʰ ɪ r̥ c ʏ k a r ð
kjara	cʰ aː r a
kjósanda	cʰ o uː s a n t a
kjörinu	cʰ œː r ɪ n ʏ
klapparstíg	kʰ l a h p a r s t iː ɣ
klifrar	kʰ l ɪ v r a r
klondike	kʰ l ɔ n t ɪ cʰ ɛː
klopp	kʰ l ɔ h p
klíku	kʰ l iː k ʏ
kolvetna	kʰ ɔ l v ɛ h t n a
kommuna	kʰ ɔ mː ʏ n a
kransæðasjúkdóma	kʰ r a n s a iː ð a s j uː k t o uː m a
kray	kʰ r a iː
kringlu	kʰ r i ŋ l ʏ
krufningu	kʰ r ʏ p n i ŋ k ʏ
krumma	kʰ r ʏ mː a
kubbi	kʰ ʏ pː ɪ
kubbum	kʰ ʏ pː ʏ m
kvennablaðið	kʰ v ɛ nː a p l aː ð ɪ ð
kvennablaðsins	kʰ v ɛ nː a p l a ð s ɪ n s
kvennaliðið	kʰ v ɛ nː a l ɪː ð ɪ ð
kvikunni	kʰ v ɪː k ʏ nː ɪ
kvænist	kʰ v a iː n ɪ s t
kvótakerfi	kʰ v o uː t a cʰ ɛ r v ɪ
kvótanum	kʰ v o uː t a n ʏ m
kvöðum	kʰ v œː ð ʏ m
kynheilbrigði	cʰ ɪː n h e i l p r ɪ ɣ ð ɪ
kynsegin	cʰ ɪ n s e iː j ɪ n
kynstofn	cʰ ɪ n s t ɔ p n
kyrrum	cʰ ɪ rː ʏ m
kysst	cʰ ɪ s t
kæling	cʰ a iː l i ŋ k
kímnigáfu	cʰ i m n ɪ k a uː v ʏ
kólnað	kʰ o u l n a ð
kópaskeri	kʰ o uː p a s c ɛː r ɪ
kóralrif	kʰ o uː r a l r ɪː v
köldustu	kʰ œ l t ʏ s t ʏ
kúnum	kʰ uː n ʏ m
lagafrumvarpi	l aː ɣ a f r ʏ m v a r̥ p ɪ
lagalegar	l aː ɣ a l ɛː ɣ a r
lagaprófessor	l aː ɣ a pʰ r o uː f ɛ sː ɔ r
lampann	l a m̥ pʰ a nː
landmælinga	l a n t m a iː l i ŋ k a
landsdóms	l a n t s t o u m s
landskika	l a n t s c ɪː k a
landsmótum	l a n t s m o uː t ʏ m
laugarvatns	l ø yː ɣ a r v a h t n s
launakjör	l ø yː n a cʰ œː r
launalaust	l ø yː n a l ø y s t
leggöngum	l ɛ ɣ k ø y ŋ k ʏ m
leifsdóttir	l e i v s t o u h t ɪ r
leikskólans	l e iː k s k o uː l a n s
leiðbeinendur	l e i ð p e iː n ɛ n t ʏ r
leiðtogafundi	l e i ð tʰ ɔː ɣ a f ʏ n t ɪ
leiðtogans	l e i ð tʰ ɔː ɣ a n s
lesanda	l ɛː s a n t a
leyniskyttu	l e iː n ɪ s c ɪ h t ʏ
limum	l ɪː m ʏ m
linear	l ɪː n ɛː a r
listakonan	l ɪ s t a kʰ ɔː n a n
listamannanna	l ɪ s t a m a nː a nː a
listarnir	l ɪ s t a r t n ɪ r
listaverki	l ɪ s t a v ɛ r̥ c ɪ
listilega	l ɪ s t ɪ l ɛː ɣ a
litunum	l ɪː t ʏ n ʏ m
livingston	l ɪː v i ŋ k s t ɔː n
liðsfélagar	l ɪ ð s f j ɛː l aː ɣ a r
ljúfasta	l j uː v a s t a
loforðum	l ɔː v ɔ r ð ʏ m
loftflæði	l ɔ f t f l a iː ð ɪ
lokahóf	l ɔː k a h o uː v
lokahófi	l ɔː k a h o uː v ɪ
lokaðist	l ɔː k a ð ɪ s t
lokaðri	l ɔː k a ð r ɪ
losta	l ɔ s t a
loðnan	l ɔ ð n a n
lundann	l ʏ n t a nː
lutz	l ʏ h t s
lykkjan	l ɪ h c a n
lyons	l ɪː ɔ n s
lystarleysi	l ɪ s t a r l e iː s ɪ
lágs	l a u k s
láns	l a u n s
lántöku	l a u n tʰ œː k ʏ
lánveitingar	l a u n v e iː t i ŋ k a r
lánþega	l a u n θ ɛː ɣ a
lár	l a uː r
lægðin	l a i ɣ ð ɪ n
læknablaðinu	l a i h k n a p l aː ð ɪ n ʏ
læknavísindum	l a i h k n a v iː s ɪ n t ʏ m
léttasta	l j ɛ h t a s t a
léttvín	l j ɛ h t v iː n
lífstíð	l i v s t iː ð
líkönum	l iː kʰ œː n ʏ m
lími	l iː m ɪ
lógó	l o uː k o uː
lögaðili	l œː ɣ a ð ɪː l ɪ
lögfestur	l œ ɣ f ɛ s t ʏ r
lögfræðinnar	l œ ɣ f r a iː ð ɪ nː a r
löggjöfina	l œ ɣ c œː v ɪ n a
löglegar	l œ ɣ l ɛː ɣ a r
lögreglurannsókn	l œ ɣ r ɛ k l ʏ r a nː s o u h k n
lúk	l uː k
lúterstrúar	l uː tʰ ɛ r̥ s t r uː a r
magda	m a ɣ t a
magnara	m a k n a r a
mango	m a u ŋ k ɔ
manneskjurnar	m a nː ɛ s c ʏ r t n a r
mannlífinu	m a nː l iː v ɪ n ʏ
mannlífs	m a nː l i f s
mannsæmandi	m a nː s a iː m a n t ɪ
margbreytileg	m a r k p r e iː t ɪ l ɛː ɣ
markvissar	m a r̥ k v ɪ sː a r
martein	m a r̥ t e iː n
medan	m ɛː t a n
meistaranema	m e i s t a r a n ɛː m a
meistararitgerð	m e i s t a r a r ɪː t c ɛ r ð
merar	m ɛː r a r
merkum	m ɛ r̥ k ʏ m
metnaðarfullur	m ɛ h t n a ð a r f ʏ t l ʏ r
metnaði	m ɛ h t n a ð ɪ
metrunum	m ɛː t r ʏ n ʏ m
mettuð	m ɛ h t ʏ ð
meðalhraða	m ɛː ð a l r̥ aː ð a
meðalstórra	m ɛː ð a l s t o u rː a
meðferðarinnar	m ɛ ð f ɛ r ð a r ɪ nː a r
meðferðarúrræði	m ɛ ð f ɛ r ð a r u r r a iː ð ɪ
meðmælenda	m ɛ ð m a iː l ɛ n t a
meðmælum	m ɛ ð m a iː l ʏ m
mfa	m f aː
mildu	m ɪ l t ʏ
milligrömm	m ɪ t l ɪ k r œ mː
milliliðalaust	m ɪ t l ɪ l ɪː ð a l ø y s t
minjagripi	m ɪ n j a k r ɪː p ɪ
minkar	m i ŋ̊ k a r
minnisblaðinu	m ɪ nː ɪ s p l aː ð ɪ n ʏ
minniskort	m ɪ nː ɪ s k ɔ r̥ t
mislíkar	m ɪ s t l iː k a r
miðhálendisins	m ɪː ð h a uː l ɛ n t ɪ s ɪ n s
miðin	m ɪː ð ɪ n
miðli	m ɪ ð l ɪ
miðlunar	m ɪ ð l ʏː n a r
miðlæga	m ɪ ð l a iː ɣ a
mjúkir	m j uː c ɪ r
mokað	m ɔː k a ð
moldinni	m ɔ l t ɪ nː ɪ
morgunmatnum	m ɔ r k ʏ n m a h t n ʏ m
morðingjann	m ɔ r ð i ɲ c a nː
mundo	m ʏ n t ɔ
musk	m ʏ s k
myndarlegan	m ɪ n t a r l ɛː ɣ a n
myndaðir	m ɪ n t aː ð ɪ r
myndbanda	m ɪ n t p a n t a
myndbandsins	m ɪ n t p a n t s ɪ n s
myndlistarmönnum	m ɪ n t l ɪ s t a r m œ nː ʏ m
myndlíking	m ɪ n t l iː c i ŋ k
myndræna	m ɪ n t r a iː n a
myndver	m ɪ n t v ɛː r
mynta	m ɪ n̥ t a
málaflokkar	m a uː l a f l ɔ h k a r
málagjöld	m a uː l a c œ l t
málshöfðun	m a u l s h œ v ð ʏ n
mánaðamótin	m a uː n a ð a m o uː t ɪ n
mánaðarlegum	m a uː n a ð a r l ɛː ɣ ʏ m
mánudagurinn	m a uː n ʏ t aː ɣ ʏ r ɪ nː
mældust	m a i l t ʏ s t
mælikvarðar	m a iː l ɪ kʰ v a r ð a r
mími	m iː m ɪ
míni	m iː n ɪ
mótvægis	m o uː t v a iː j ɪ s
múm	m uː m
mýrin	m iː r ɪ n
nafnlausar	n a p n l ø yː s a r
nafnspjald	n a p n s p j a l t
nano	n aː n ɔ
nautin	n ø yː t ɪ n
nauðsynjum	n ø y ð s ɪ n j ʏ m
negldi	n ɛ k l t ɪ
nettengingu	n ɛ h t e i ɲ c i ŋ k ʏ
neysluvatni	n e i s t l ʏ v a h t n ɪ
neytandi	n e iː t a n t ɪ
neytir	n e iː t ɪ r
neytti	n e i h t ɪ
neyðarlögin	n e iː ð a r l œː j ɪ n
neyðartilvik	n e iː ð a r tʰ ɪ l v ɪː k
niðurgreiðslu	n ɪː ð ʏ r k r e i ð s t l ʏ
nokkurar	n ɔ h k ʏ r a r
norðanverðan	n ɔ r ð a n v ɛ r ð a n
norðurþings	n ɔ r ð ʏ r θ i ŋ k s
