finns	f ɪ n s
omgjorda	²'ɔ m j uː d a
omgärdar	²'ɔ m j ɛː d a r
osäkrad	²'uː s ɛː k r a d
pilgrims	²p 'iː l ɡ r ɪ m s
prioriterades	p r ɪ ʊ r ɪ t 'eː r a d ɛ s
privatsekreterare	²p r ɪ v 'ɑː t s ɛ k r ɛ t eː r a r ɛ
profetiska	p r ʊ f 'eː t ɪ s k a
rasch	r a ɧ
regelverken	²r 'eː ɡ ɛ l v a r k ɛ n
rehabiliteras	r ɛ h a b ɪ l ɪ t 'eː r a s
renheten	²r 'eː n h eː t ɛ n
rips	r ɪ p s
rosengårds	²r 'uː s ɛ n ɡ oː d ɕ
rotorn	²r 'uː t uː n
rännor	²r 'ɛ n ʊ r
sanningsenliga	²s 'a n ɪ ŋ s eː n l ɪ ɡ a
sannorlikhet	²s 'a n ʊ l iː k h eː t
sargad	²s 'a r j a d
segerstad	²s 'eː ɡ ɛ ɕ t ɑː d
selv	s ɛ l v
semesterdag	²s ɛ m 'ɛ s t ɛ d ɑː ɡ
shrimp	ɧ r ɪ m p
självbestämmanderätt	²ɧ 'ɛ l v b ɛ s t ɛ m a n d ɛ r ɛ t
skeppsvrak	²ɧ 'ɛ p s v r ɑː k
skolbyggnad	²s k 'uː l b ʏ ɡ n a d
skottlinjen	²s k 'ɔ t l ɪ n j ɛ n
skrap	s k r ɑː p
skulderbladet	²s k 'ɵ l d ɛ r b l ɑː d ɛ t
slampiga	²s l 'a m p ɪ ɡ a
snedvridna	²s n 'eː d v r iː d n a
snyfthistoria	²s n 'ʏ f t h ɪ s t uː r ɪ a
specialtecken	²s p ɛ s ɪ 'ɑː l t ɛ k ɛ n
spenar	²s p 'eː n a r
stickningar	²s t 'ɪ k n ɪ ŋ a r
strapatser	s t r a p 'a t s ɛ r
strumpeband	²s t r 'ɵ m p ɛ b a n d
stråna	²s t r 'oː n a
suggan	²s 'ɵ ɡ a n
svartklubb	²s v 'a t k l ɵ b
säkerhetsföreskrifter	²s 'ɛː k ɛ r h eː t s f øː r ɛ s k r ɪ f t ɛ r
särbehandlingen	²s 'ɛː r b ɛ h a n d l ɪ ŋ ɛ n
sötast	²s 'øː t a s t
taggas	²t 'a ɡ a s
tankevärld	²t 'a ŋ k ɛ v ɛː d
telefonsvararen	²t ɛ l ɛ f 'oː n s v ɑː r a r ɛ n
terroriserade	t a r ʊ r ɪ s 'eː r a d ɛ
tillfrågats	²t 'ɪ l f r oː ɡ a t s
tillhyggen	²t 'ɪ l h ʏ ɡ ɛ n
torgen	²t 'ɔ r j ɛ n
trosrörelsen	²t r 'uː s r øː r ɛ l s ɛ n
träffpunkt	²t r 'ɛ f p ɵ ŋ k t
tynande	²t 'yː n a n d ɛ
underförstådda	²'ɵ n d ɛ r f œ ɕ t ɔ d a
underpris	²'ɵ n d ɛ r p r iː s
underskriven	²'ɵ n d ɛ ɕ k r iː v ɛ n
understödjande	²'ɵ n d ɛ ɕ t øː d j a n d ɛ
utböling	²'ʉː t b øː l ɪ ŋ
uteslutningsmetoden	²'ʉː t ɛ s l ʉː t n ɪ ŋ s m ɛ t uː d ɛ n
utrustningar	²'ʉː t r ɵ s t n ɪ ŋ a r
utstrålade	²'ʉː t s t r oː l a d ɛ
vabba	²v 'a b a
variansen	v a r ɪ 'a n s ɛ n
vattenbad	²v 'a t ɛ n b ɑː d
vattenområde	²v 'a t ɛ n ɔ m r oː d ɛ
vattenområden	²v 'a t ɛ n ɔ m r oː d ɛ n
verkställd	²v 'ɛ r k s t ɛ l d
vindelns	²v 'ɪ n d ɛ l n s
virade	²v 'iː r a d ɛ
visselpipor	²v 'ɪ s ɛ l p iː p ʊ r
vitsig	²v 'ɪ t s ɪ ɡ
värkligen	²v 'ɛ r k l ɪ ɡ ɛ n
världspressen	²v 'ɛː d ɕ p r ɛ s ɛ n
vådaskott	²v 'oː d a s k ɔ t
vårdagjämningen	²v 'oː d ɑː ɡ j ɛ m n ɪ ŋ ɛ n
walesisk	v a l 'eː s ɪ s k
yrkets	²'ʏ r k ɛ t s
återblickar	²'oː t ɛ r b l ɪ k a r
ödmjukheten	²'øː d m j ʉː k h eː t ɛ n
ödsligt	²'øː d s l ɪ k t
önskelistan	²'œ n s k ɛ l ɪ s t a n
överenskommen	²'øː v ɛ r ɛ n s k ɔ m ɛ n
överkomliga	²'øː v ɛ r k ɔ m l ɪ ɡ a
överlappa	²'øː v ɛ l a p a
ackumuleras	a k ɵ m ɵ l 'eː r a s
angränsar	²'a n ɡ r ɛ n s a r
anteckningen	²'a n t ɛ k n ɪ ŋ ɛ n
arbetsrättsliga	²'a r b eː t s r ɛ t s l ɪ ɡ a
avfällingar	²'ɑː v f ɛ l ɪ ŋ a r
avgiftsbelagd	²'ɑː v j ɪ f t s b ɛ l a ɡ d
avgiftsfria	²'ɑː v j ɪ f t s f r iː a
avhoppet	²'ɑː v h ɔ p ɛ t
avlivade	²'ɑː v l iː v a d ɛ
ballerinor	b a l ɛ r 'iː n ʊ r
barnlitteratur	²b 'ɑː n l ɪ t ɛ r a t ʉː r
bergkvara	²b 'ɛ r j k v ɑː r a
besprutning	b ɛ s p r 'ʉː t n ɪ ŋ
bestiger	b ɛ s t 'iː ɡ ɛ r
besudla	b ɛ s 'ʉː d l a
bian	b ɪ 'ɑː n
bjälken	²b j 'ɛ l k ɛ n
blåsiga	²b l 'oː s ɪ ɡ a
bokprat	²b 'uː k p r ɑː t
bolts	b ɔ l t s
borgmästarens	²b 'ɔ r j m ɛ s t a r ɛ n s
bostadsrätterna	²b 'uː s t ɑː d s r ɛ t ɛ n a
bottenfärg	²b 'ɔ t ɛ n f a r j
brundle	²b r 'ɵ n d l ɛ
client	k l ɪ 'ɛ n t
corruption	k ɔ r ɵ p ɧ 'uː n
dansnummer	²d 'a n s n ɵ m ɛ r
devalvering	d ɛ v a l v 'eː r ɪ ŋ
diktaren	²d 'ɪ k t a r ɛ n
dinera	d ɪ n 'eː r a
djävlas	²j 'ɛː v l a s
eldrift	²'ɛ l d r ɪ f t
eldsvådan	²'ɛ l d s v oː d a n
exteriören	ɛ k s t ɛ r ɪ 'øː r ɛ n
fallgropar	²f 'a l ɡ r uː p a r
farang	f a r 'a ŋ
fastighetsrätt	²f 'a s t ɪ ɡ h eː t s r ɛ t
flaggas	²f l 'a ɡ a s
flunsan	²f l 'ɵ n s a n
flygförbud	²f l 'yː ɡ f œ r b ʉː d
forskningsläget	²f 'ɔ ɕ k n ɪ ŋ s l ɛː ɡ ɛ t
fotspåren	²f 'uː t s p oː r ɛ n
fotsvett	²f 'uː t s v ɛ t
framskjutna	²f r 'a m ɧ ʉː t n a
frihandeln	²f r 'iː h a n d ɛ l n
frispråkiga	²f r 'iː s p r oː k ɪ ɡ a
frälsningens	²f r 'ɛ l s n ɪ ŋ ɛ n s
fullbordats	²f 'ɵ l b uː d a t s
fullmakter	²f 'ɵ l m a k t ɛ r
fängelsets	²f 'ɛ ŋ ɛ l s ɛ t s
färdigheten	²f 'ɛː d ɪ ɡ h eː t ɛ n
förlåtas	f œ l 'oː t a s
försumlighet	f œ ɕ 'ɵ m l ɪ ɡ h eː t
förtöjd	f œ t 'œ j d
förälskelsen	f œ r 'ɛ l s k ɛ l s ɛ n
galago	ɡ a l 'ɑː ɡ ʊ
getmjölk	²j 'eː t m j œ l k
gissningen	²j 'ɪ s n ɪ ŋ ɛ n
grundstenar	²ɡ r 'ɵ n d s t eː n a r
gråhåriga	²ɡ r 'oː h oː r ɪ ɡ a
grönvitt	²ɡ r 'øː n v ɪ t
gånget	²ɡ 'ɔ ŋ ɛ t
halvägs	²h 'a l v ɛː ɡ s
hamburgs	²h 'a m b ɵ r j s
hamsterpaj	²h 'a m s t ɛ r p a j
hantlar	²h 'a n t l a r
hemlöse	²h 'ɛ m l øː s ɛ
hettade	²h 'ɛ t a d ɛ
häpp	h ɛ p
höstsol	²h 'œ s t s uː l
idet	ɪ d 'eː t
illvillig	²'ɪ l v ɪ l ɪ ɡ
inrymd	²'ɪ n r ʏ m d
inräknas	²'ɪ n r ɛː k n a s
instabiliteten	ɪ n s t a b ɪ l ɪ t 'eː t ɛ n
isblock	²'iː s b l ɔ k
isländskt	²'iː s l ɛ n d s k t
jaktprov	²j 'a k t p r uː v
jompa	²j 'ɔ m p a
kalhyggen	²k 'ɑː l h ʏ ɡ ɛ n
kappsäck	²k 'a p s ɛ k
kaspar	²k 'a s p a r
kastell	k a s t 'ɛ l
knapphändiga	²k n 'a p h ɛ n d ɪ ɡ a
knastrande	²k n 'a s t r a n d ɛ
kompliceras	k ɔ m p l ɪ s 'eː r a s
konisk	k 'uː n ɪ s k
kontaktbar	²k ɔ n t 'a k t b ɑː r
kulturkrock	²k ɵ l t 'ʉː r k r ɔ k
kyrkokör	²ɕ 'ʏ r k ʊ k øː r
kyrkslätt	²ɕ 'ʏ r k s l ɛ t
kärlekskranka	²ɕ 'ɛː l eː k s k r a ŋ k a
lednings	²l 'eː d n ɪ ŋ s
listans	l ɪ s t 'a n s
ljudbilden	²j 'ʉː d b ɪ l d ɛ n
ljudkort	²j 'ʉː d k ʊ t
ludovico	²l 'ʉː d ʊ v iː k ʊ
lyckeby	²l 'ʏ k ɛ b yː
läkekonsten	²l 'ɛː k ɛ k ɔ n s t eː n
lättvikt	²l 'ɛ t v ɪ k t
låne	²l 'oː n ɛ
mané	m a n 'eː
matsalar	²m 'ɑː t s ɑː l a r
miners	m ɪ n 'ɛ ɕ
nanda	²n 'a n d a
näringsförbud	²n 'ɛː r ɪ ŋ s f œ r b ʉː d
näsborren	²n 'ɛː s b ɔ r ɛ n
obebyggda	²'uː b ɛ b ʏ ɡ d a
obehandlade	²'uː b ɛ h a n d l a d ɛ
oemotståndliga	²'uː ɛ m uː t s t ɔ n d l ɪ ɡ a
ohämmade	²'uː h ɛ m a d ɛ
omräknat	²'ɔ m r ɛː k n a t
omständigheten	²'ɔ m s t ɛ n d ɪ ɡ h eː t ɛ n
ordlös	²'uː d l øː s
pag	p ɑː ɡ
paviljonger	p a v ɪ l j 'ɔ ŋ ɛ r
pepparmint	²p 'ɛ p a r m ɪ n t
plastmugg	²p l 'a s t m ɵ ɡ
polaroid	p ʊ l a r ʊ 'iː d
pools	p uː l s
popov	p ʊ p 'oː v
pranks	p r a ŋ k s
pskov	p s k uː v
pupillen	p ɵ p 'ɪ l ɛ n
påpassligt	²p 'oː p a s l ɪ k t
rabbinen	r a b 'iː n ɛ n
ramiro	r a m 'iː r ʊ
rani	r a n 'iː
realiteter	r ɛ a l ɪ t 'eː t ɛ r
redneck	²r 'eː d n ɛ k
rosing	²r 'uː s ɪ ŋ
rustningen	²r 'ɵ s t n ɪ ŋ ɛ n
räntefond	²r 'ɛ n t ɛ f ɔ n d
rävjakt	²r 'ɛː v j a k t
rödbrunt	²r 'øː d b r ɵ n t
rödhake	²r 'øː d h ɑː k ɛ
rökaren	²r 'øː k a r ɛ n
rörledningar	²r 'øː l eː d n ɪ ŋ a r
samhällsbyggande	²s 'a m h ɛ l s b ʏ ɡ a n d ɛ
shaolin	ɧ a ʊ l 'iː n
sjukskötare	²ɧ 'ʉː k ɧ øː t a r ɛ
skrupelfria	²s k r 'ʉː p ɛ l f r iː a
skräpigt	²s k r 'ɛː p ɪ k t
skärpts	ɧ a r p t s
skåpbilen	²s k 'oː p b iː l ɛ n
smaksättare	²s m 'ɑː k s ɛ t a r ɛ
smältpunkt	²s m 'ɛ l t p ɵ ŋ k t
smältvatten	²s m 'ɛ l t v a t ɛ n
snusmumriken	²s n 'ʉː s m ɵ m r iː k ɛ n
spelmotor	²s p 'eː l m uː t ʊ r
spindelväv	²s p 'ɪ n d ɛ l v ɛː v
spöregna	²s p 'øː r ɛ ŋ n a
squirrel	s k v 'ɪ r ɛ l
stadsbuss	²s t 'a t s b ɵ s
sterilitet	s t ɛ r ɪ l ɪ t 'eː t
strandat	s t r a n d 'ɑː t
streckade	²s t r 'ɛ k a d ɛ
strongt	s t r ɔ ŋ t
sträckningar	²s t r 'ɛ k n ɪ ŋ a r
studiefrämjandet	²s t 'ʉː d j ɛ f r ɛ m j a n d ɛ t
stukning	²s t 'ʉː k n ɪ ŋ
styvpappa	²s t 'yː v p a p a
stävjas	²s t 'ɛː v j a s
svartkonst	²s v 'a t k ɔ n s t
svear	²s v 'eː a r
svenning	²s v 'ɛ n ɪ ŋ
svindlare	²s v 'ɪ n d l a r ɛ
särtryck	²s 'ɛː t r ʏ k
tegeltak	²t 'eː ɡ ɛ l t ɑː k
televisionens	t ɛ l ɛ v ɪ ɧ ʊ n 'ɛ n s
tilldrar	²t 'ɪ l d r a r
tilltänkte	²t 'ɪ l t ɛ ŋ k t ɛ
tjockaste	²ɕ 'ɔ k a s t ɛ
tomato	t ʊ m 'ɑː t ʊ
toppnamn	²t 'ɔ p n a m n
traskade	²t r 'a s k a d ɛ
trumhinnan	²t r 'ɵ m h ɪ n a n
tryckpressen	²t r 'ʏ k p r ɛ s ɛ n
tvetydighet	²t v 'eː t yː d ɪ ɡ h eː t
tävlas	²t 'ɛː v l a s
ulfs	ɵ l f s
undertecknats	²'ɵ n d ɛ t ɛ k n a t s
uppfostrande	²'ɵ p f ʊ s t r a n d ɛ
uppkommande	²'ɵ p k ɔ m a n d ɛ
upptåget	²'ɵ p t oː ɡ ɛ t
utbuktning	²'ʉː t b ɵ k t n ɪ ŋ
uthärdligt	²'ʉː t h ɛː d l ɪ k t
uträknade	²'ʉː t r ɛː k n a d ɛ
utvägar	²'ʉː t v ɛː ɡ a r
vegetabiliskt	v ɛ ɡ ɛ t a b 'iː l ɪ s k t
vilden	²v 'ɪ l d ɛ n
vindriktningen	²v 'ɪ n d r ɪ k t n ɪ ŋ ɛ n
virvlande	²v 'ɪ r v l a n d ɛ
världsligt	²v 'ɛː d ɕ l ɪ k t
vånga	²v 'ɔ ŋ a
vårlök	²v 'oː l øː k
yrkesskola	²'ʏ r k ɛ s k uː l a
yrkesverksamhet	²'ʏ r k ɛ s v a r k s a m h eː t
zag	s ɑː ɡ
ätter	'ɛ t ɛ r
återkallelse	²'oː t ɛ r k a l ɛ l s ɛ
återvunnet	²'oː t ɛ r v ɵ n ɛ t
överläpp	²'øː v ɛ l ɛ p
övertagen	²'øː v ɛ t ɑː ɡ ɛ n
övervinster	²'øː v ɛ r v ɪ n s t ɛ r
absolution	a b s ʊ l ɵ ɧ 'uː n
aerial	a ɛ r ɪ 'ɑː l
agaton	a ɡ a t 'uː n
amnesi	a m n ɛ s 'iː
amt	a m t
anläggande	²'a n l ɛ ɡ a n d ɛ
arbetshäst	²'a r b eː t s h ɛ s t
ateistisk	a t ɛ 'ɪ s t ɪ s k
avila	²'ɑː v iː l a
avloppen	²'ɑː v l ɔ p ɛ n
avtrubbade	²'ɑː v t r ɵ b a d ɛ
avvärjt	²'ɑː v a r j t
ballerinan	b a l ɛ r 'iː n a n
ballistisk	b a l 'ɪ s t ɪ s k
bayersk	b 'ɛ j ɛ ɕ k
bedövad	b ɛ d 'øː v a d
beslutsamt	b ɛ s l 'ʉː t s a m t
beundrande	b ɛ 'ɵ n d r a n d ɛ
bibehållet	²b 'iː b ɛ h ɔ l ɛ t
blockbuster	²b l 'ɔ k b ɵ s t ɛ r
blodspår	²b l 'uː d s p oː r
borrby	²b 'ɔ r b yː
bortatröja	²b 'ɔ t a t r œ j a
brandfilt	²b r 'a n d f ɪ l t
brännkyrka	²b r 'ɛ n ɕ ʏ r k a
bys	b yː s
bötfäller	²b 'øː t f ɛ l ɛ r
clementin	k l ɛ m ɛ n t 'iː n
consent	k ɔ n s 'ɛ n t
conversations	k ɔ n v a ɕ a ɧ 'uː n s
cuadrado	k ɵ a d r 'ɑː d ʊ
datadriven	²d 'ɑː t a d r iː v ɛ n
deformeras	d ɛ f ɔ r m 'eː r a s
dignitärer	d ɪ ŋ n ɪ t 'ɛː r ɛ r
distansundervisning	²d ɪ s t 'a n s ɵ n d ɛ r v iː s n ɪ ŋ
duetter	d ɵ 'ɛ t ɛ r
elfström	²'ɛ l f s t r œ m
evils	ɛ v 'ɪ l s
fadäser	f a d 'ɛː s ɛ r
fastighetsmäklaren	²f 'a s t ɪ ɡ h eː t s m ɛː k l a r ɛ n
fingerfärdighet	²f 'ɪ ŋ ɛ r f ɛː d ɪ ɡ h eː t
florin	f l ʊ r 'iː n
flygbuss	²f l 'yː ɡ b ɵ s
fråm	f r oː m
fuckboy	²f 'ɵ k b ɔ j
fästingen	²f 'ɛ s t ɪ ŋ ɛ n
förlikat	f œ l ɪ k 'ɑː t
förlikningen	f œ l 'iː k n ɪ ŋ ɛ n
gardena	ɡ a d 'eː n a
gila	²j 'iː l a
gnagt	ɡ n a k t
godstrafiken	²ɡ 'uː d s t r a f iː k ɛ n
gråzonen	²ɡ r 'oː s uː n ɛ n
guldgruvor	²ɡ 'ɵ l d ɡ r ʉː v ʊ r
gångstil	²ɡ 'ɔ ŋ s t iː l
habit	h a b 'iː t
hackigt	²h 'a k ɪ k t
halvfulla	²h 'a l v f ɵ l a
halvfärdig	²h 'a l v f ɛː d ɪ ɡ
hamm	h a m
handgjort	²h 'a n d j uː t
handhållen	²h 'a n d h ɔ l ɛ n
handlandet	²h 'a n d l a n d ɛ t
himlakroppar	²h 'ɪ m l a k r ɔ p a r
hjärntvättas	²j 'ɛː n t v ɛ t a s
hultberg	²h 'ɵ l t b a r j
huvudväg	²h 'ʉː v ɵ d v ɛː ɡ
hästpojken	²h 'ɛ s t p ɔ j k ɛ n
hållaren	²h 'ɔ l a r ɛ n
hårdnade	²h 'oː d n a d ɛ
högskoleverket	²h 'øː ɡ s k uː l ɛ v a r k ɛ t
hörbart	²h 'øː r b ɑː t
innesäljare	²'ɪ n ɛ s ɛ l j a r ɛ
intagningen	²'ɪ n t ɑː ɡ n ɪ ŋ ɛ n
iprincip	ɪ p r ɪ n s 'iː p
isbana	²'iː s b ɑː n a
julig	²j 'ʉː l ɪ ɡ
jägarnas	²j 'ɛː ɡ a n a s
kah	k ɑː
kameleonten	k a m ɛ l ɛ 'ɔ n t ɛ n
kamila	k a m 'iː l a
kask	k a s k
katalys	k a t a l 'yː s
kittlade	²ɕ 'ɪ t l a d ɛ
klintberg	²k l 'ɪ n t b a r j
knivblad	²k n 'iː v b l ɑː d
kobbar	²k 'ɔ b a r
kraftfält	²k r 'a f t f ɛ l t
kronologiska	k r ʊ n ʊ l 'oː ɡ ɪ s k a
kämpaglöd	²ɕ 'ɛ m p a ɡ l øː d
känslokalla	²ɕ 'ɛ n s l ʊ k a l a
köpkraften	²ɕ 'øː p k r a f t ɛ n
lagskontrakt	²l 'ɑː ɡ s k ɔ n t r a k t
lanta	²l 'a n t a
levitt	l ɛ v 'ɪ t
listerlandet	²l 'ɪ s t ɛ l a n d ɛ t
livskraften	²l 'ɪ f s k r a f t ɛ n
lydstat	²l 'yː d s t ɑː t
låttext	²l 'ɔ t ɛ k s t
manta	²m 'a n t a
mantle	²m 'a n t l ɛ
marknadsmässigt	²m 'a r k n a d s m ɛ s ɪ k t
matsumoto	²m 'ɑː t s ɵ m uː t ʊ
mellanläge	²m 'ɛ l a n l ɛː ɡ ɛ
micha	²m 'ɪ ɧ a
mjölkproduktionen	²m j 'œ l k p r ʊ d ɵ k ɧ uː n ɛ n
mordutredning	²m 'uː d ʉː t r eː d n ɪ ŋ
morén	m ʊ r 'eː n
muscat	m ɵ s k 'ɑː t
målgången	²m 'oː l ɡ ɔ ŋ ɛ n
nanometer	n a n ʊ m 'eː t ɛ r
nolby	²n 'uː l b yː
nona	²n 'uː n a
nästla	²n 'ɛ s t l a
nödsamtal	²n 'øː d s a m t ɑː l
obsession	ɔ b s ɛ ɧ 'uː n
ockuperas	ɔ k ɵ p 'eː r a s
oled	²'uː l eː d
omrörning	²'ɔ m r øː n ɪ ŋ
omvändning	²'ɔ m v ɛ n d n ɪ ŋ
orimlighet	²'uː r ɪ m l ɪ ɡ h eː t
ortopedi	ɔ t ʊ p ɛ d 'iː
parentesen	p a r ɛ n t 'eː s ɛ n
parkeras	p a r k 'eː r a s
paté	p a t 'eː
pianister	p ɪ a n 'ɪ s t ɛ r
plattången	²p l 'a t ɔ ŋ ɛ n
pricksäker	²p r 'ɪ k s ɛː k ɛ r
pågar	²p 'oː ɡ a r
rainier	r a 'iː n ɪ ɛ r
riksföreståndare	²r 'ɪ k s f øː r ɛ s t ɔ n d a r ɛ
roni	r ʊ n 'iː
rusningen	²r 'ʉː s n ɪ ŋ ɛ n
rättan	²r 'ɛ t a n
rättstat	²r 'ɛ t s t ɑː t
rörelsehindrade	²r 'øː r ɛ l s ɛ h ɪ n d r a d ɛ
röstsedeln	²r 'œ s t s eː d ɛ l n
saddams	²s 'a d a m s
salve	²s 'a l v ɛ
sandsjö	²s 'a n d ɧ øː
sjuksängen	²ɧ 'ʉː k s ɛ ŋ ɛ n
sjuårig	²ɧ 'ʉː oː r ɪ ɡ
skampålen	²s k 'a m p oː l ɛ n
skeppade	²ɧ 'ɛ p a d ɛ
skolkommun	²s k 'uː l k ɔ m ʉː n
slagman	²s l 'ɑː ɡ m a n
släpvagnar	²s l 'ɛː p v a ŋ n a r
snellman	²s n 'ɛ l m a n
snöiga	²s n 'øː ɪ ɡ a
soppåsen	²s 'ɔ p oː s ɛ n
specialstyrka	²s p ɛ s ɪ 'ɑː l s t ʏ r k a
stadd	s t a d
stenhagen	²s t 'eː n h ɑː ɡ ɛ n
straffpunkten	²s t r 'a f p ɵ ŋ k t ɛ n
strövade	²s t r 'øː v a d ɛ
studievägledaren	²s t 'ʉː d j ɛ v ɛː ɡ l eː d a r ɛ n
stökigare	²s t 'øː k ɪ ɡ a r ɛ
säkerhetsklass	²s 'ɛː k ɛ r h eː t s k l a s
såkallad	²s 'oː k a l a d
tamdjur	²t 'a m j ʉː r
tickade	²t 'ɪ k a d ɛ
tidsomställningen	²t 'iː d s ɔ m s t ɛ l n ɪ ŋ ɛ n
tidsramar	²t 'iː d s r ɑː m a r
tomteboda	²t 'ɔ m t ɛ b uː d a
toppstyrning	²t 'ɔ p s t yː n ɪ ŋ
transkribera	t r a n s k r ɪ b 'eː r a
treåringen	²t r 'eː oː r ɪ ŋ ɛ n
trollspö	²t r 'ɔ l s p øː
tussen	²t 'ɵ s ɛ n
tvättstugor	²t v 'ɛ t s t ʉː ɡ ʊ r
umami	ɵ m a m 'iː
underbyggt	²'ɵ n d ɛ r b ʏ ɡ t
underskrivet	²'ɵ n d ɛ ɕ k r iː v ɛ t
ungdomsverksamheten	²'ɵ ŋ d ʊ m s v a r k s a m h eː t ɛ n
uppbackad	²'ɵ p b a k a d
uppladdade	²'ɵ p l a d a d ɛ
uppskäraren	²'ɵ p ɧ ɛː r a r ɛ n
uppståndne	²'ɵ p s t ɔ n d n ɛ
utbildningsfrågor	²'ʉː t b ɪ l d n ɪ ŋ s f r oː ɡ ʊ r
uttåg	²'ʉː t oː ɡ
varthän	²v 'ɑː t h ɛː n
vattnig	²v 'a t n ɪ ɡ
vrålande	²v r 'oː l a n d ɛ
väderstrecken	²v 'ɛː d ɛ ɕ t r ɛ k ɛ n
vägskälet	²v 'ɛː ɡ ɧ ɛː l ɛ t
wennerberg	²v 'ɛ n ɛ r b a r j
wiking	²v 'iː k ɪ ŋ
ytlighet	²'yː t l ɪ ɡ h eː t
ängsö	²'ɛ ŋ s øː
ångade	²'ɔ ŋ a d ɛ
årskris	²'oː ɕ k r iː s
återförs	²'oː t ɛ r f œ ɕ
anhåller	²'a n h ɔ l ɛ r
ankeln	²'a ŋ k ɛ l n
anläggandet	²'a n l ɛ ɡ a n d ɛ t
antifascistisk	a n t ɪ f a ɧ 'ɪ s t ɪ s k
armitage	a r m ɪ t 'ɑː ɧ
arrival	a r ɪ v 'ɑː l
artis	a t 'iː s
assistens	a s ɪ s t 'ɛ n s
atens	a t 'ɛ n s
avdelade	²'ɑː v d eː l a d ɛ
avskummet	²'ɑː v s k ɵ m ɛ t
avskydda	²'ɑː v ɧ ʏ d a
avvägar	²'ɑː v ɛː ɡ a r
backlash	²b 'a k l a ɧ
bakverket	²b 'ɑː k v a r k ɛ t
belastningar	b ɛ l 'a s t n ɪ ŋ a r
bia	²b 'iː a
bleknade	²b l 'eː k n a d ɛ
bokhandlaren	²b 'uː k h a n d l a r ɛ n
boplatsen	²b 'uː p l a t s ɛ n
brokigt	²b r 'uː k ɪ k t
brålanda	²b r 'oː l a n d a
civilmål	²s ɪ v 'iː l m oː l
commitment	k ɔ m ɪ t m 'ɛ n t
corporations	k ɔ r p ʊ r a ɧ 'uː n s
dallrar	²d 'a l r a r
dap	d ɑː p
delsjön	²d 'eː l ɧ øː n
depressiv	d ɛ p r ɛ s 'iː v
descent	d ɛ s 'ɛ n t
desinfektion	d ɛ s ɪ n f ɛ k ɧ 'uː n
dialektisk	d ɪ a l 'ɛ k t ɪ s k
dobbs	d ɔ b s
dracks	d r a k s
eders	'eː d ɛ ɕ
eldkvarn	²'ɛ l d k v ɑː n
ental	ɛ n t 'ɑː l
exposition	ɛ k s p ʊ s ɪ ɧ 'uː n
familjemiddag	²f a m 'ɪ l j ɛ m ɪ d ɑː ɡ
farlighet	²f 'ɑː l ɪ ɡ h eː t
fassa	²f 'a s a
fenotyp	f ɛ n ʊ t 'yː p
festvåning	²f 'ɛ s t v oː n ɪ ŋ
figurerade	f ɪ ɡ ɵ r 'eː r a d ɛ
filmhistoria	²f 'ɪ l m h ɪ s t uː r ɪ a
filmskådespelare	²f 'ɪ l m s k oː d ɛ s p eː l a r ɛ
flottiga	²f l 'ɔ t ɪ ɡ a
flytningar	²f l 'yː t n ɪ ŋ a r
forskningsarbete	²f 'ɔ ɕ k n ɪ ŋ s a r b eː t ɛ
fullstor	²f 'ɵ l s t uː r
fylligt	²f 'ʏ l ɪ k t
fördröjt	f œ d r 'œ j t
förebilderna	²f 'øː r ɛ b ɪ l d ɛ n a
förhandsvisningar	²f 'øː r h a n d s v iː s n ɪ ŋ a r
förlades	f œ l 'ɑː d ɛ s
förlöjligad	f œ l 'œ j l ɪ ɡ a d
förnimmer	f œ n 'ɪ m ɛ r
försummad	f œ ɕ 'ɵ m a d
försämringen	f œ ɕ 'ɛ m r ɪ ŋ ɛ n
förtärs	f œ t 'ɛː ɕ
gamlingen	²ɡ 'a m l ɪ ŋ ɛ n
garnering	ɡ a n 'eː r ɪ ŋ
genomsyrade	²j 'eː n ɔ m s yː r a d ɛ
gente	²j 'ɛ n t ɛ
geotermisk	j ɛ ʊ t 'ɛ r m ɪ s k
godan	²ɡ 'uː d a n
grundfrågan	²ɡ r 'ɵ n d f r oː ɡ a n
gröne	²ɡ r 'øː n ɛ
gura	²ɡ 'ʉː r a
hallby	²h 'a l b yː
hasselhoff	²h 'a s ɛ l h ɔ f
hastighetsmätare	²h 'a s t ɪ ɡ h eː t s m ɛː t a r ɛ
havren	²h 'ɑː v r ɛ n
hedersbrott	²h 'eː d ɛ ɕ b r ɔ t
hellsing	²h 'ɛ l s ɪ ŋ
hembygdsförbund	²h 'ɛ m b ʏ ɡ d s f œ r b ɵ n d
hemläxan	²h 'ɛ m l ɛ k s a n
hoffmans	²h 'ɔ f m a n s
honka	²h 'ɔ ŋ k a
hundgården	²h 'ɵ n d ɡ oː d ɛ n
husgrund	²h 'ʉː s ɡ r ɵ n d
huvuddragen	²h 'ʉː v ɵ d r ɑː ɡ ɛ n
huvudspråk	²h 'ʉː v ɵ d s p r oː k
häcklar	²h 'ɛ k l a r
hällar	²h 'ɛ l a r
händelselös	²h 'ɛ n d ɛ l s ɛ l øː s
hårsvall	²h 'oː ɕ v a l
innanmäte	²'ɪ n a n m ɛː t ɛ
iridium	ɪ r 'iː d ɪ ɵ m
jobbande	²j 'ɔ b a n d ɛ
