to	t ɔ
ruín	r u iː n
ružín	r u ʒ iː n
ryanom	r i a n ɔ m
ryžový	r i ʒ ɔ v iː
rým	r iː m
sandwich	s a n d v i x
scorpion	s t͡s ɔ r p i ɔ n
sebaisto	s e b a i s t ɔ
servírka	s e r v iː r k a
sestričku	s e s t r i t͡ʃ k u
sieťovú	s ɪ̯ e c ɔ v uː
silnejšími	s i l ɲ e j ʃ iː m i
sitkom	s i t k ɔ m
skenery	s k e ɲ e r i
skupinových	s k u p i n ɔ v iː x
skynet	s k i ɲ e t
slatina	s l a c i n a
sliezsky	s ʎ ɪ̯ e s k i
služobníkom	s l u ʒ ɔ b ɲ iː k ɔ m
smejeme	s m e j e m e
smieme	s m ɪ̯ e m e
snívame	s ɲ iː v a m e
spaľovacím	s p a ʎ ɔ v a t͡s iː m
spinkať	s p i n k a c
spišskú	s p i ʃ s k uː
splitu	s p ʎ i t u
spojovacím	s p ɔ j ɔ v a t͡s iː m
spracovávajú	s p r a t͡s ɔ v aː v a j uː
sprievodnými	s p r ɪ̯ e v ɔ d n iː m i
sprisahaní	s p r i s a ɦ a ɲ iː
spätným	s p æ t n iː m
starajte	s t a r a j c e
stretneš	s t r e t ɲ e ʃ
strojníckej	s t r ɔ j ɲ iː t͡s k e j
strážneho	s t r aː ʒ ɲ e ɦ ɔ
stylus	s t i l u s
sumarizuje	s u m a r i z u j e
surovinami	s u r ɔ v i n a m i
susediace	s u s e ɟ ɪ̯ a t͡s e
sutton	s u tː ɔ n
sučanoch	s u t͡ʃ a n ɔ x
svetlice	s v e t ʎ i t͡s e
svetoznámeho	s v e t ɔ z n aː m e ɦ ɔ
svietivosťou	s v ɪ̯ e c i v ɔ s c ɔ v
svrbí	s v r̩ b iː
symbióza	s i m b i ɔː z a
systémového	s i s t eː m ɔ v eː ɦ ɔ
súprave	s uː p r a v e
súvisela	s uː v i s e l a
sťahovaní	s c a ɦ ɔ v a ɲ iː
tancoch	t a n t͡s ɔ x
tancuj	t a n t͡s u j
tandem	t a n ɟ e m
technical	c e x ɲ i t͡s a l
technikách	c e x ɲ i k aː x
temnotu	c e m n ɔ t u
tendenciou	t e n d e n t͡s i ɔ v
tetou	c e t ɔ v
textúru	c e k s t uː r u
tka	t k a
tlačená	t l a t͡ʃ e n aː
tor	t ɔ r
tragických	t r a ɡ i t͡s k iː x
tribúnu	t r i b uː n u
triezvo	t r ɪ̯ e z v ɔ
tris	t r i s
trombózy	t r ɔ m b ɔː z i
tron	t r ɔ n
tropická	t r ɔ p i t͡s k aː
trpiaci	t r̩ p ɪ̯ a t͡s i
trus	t r u s
trvanlivosti	t r̩ v a n ʎ i v ɔ s c i
trčať	t r̩ t͡ʃ a c
tuberkulózu	t u b e r k u l ɔː z u
tureckú	t u r e t͡s k uː
turčianskeho	t u r t͡ʃ ɪ̯ a n s k e ɦ ɔ
tučniakov	t u t͡ʃ ɲ ɪ̯ a k ɔ v
udelilo	u ɟ e ʎ i l ɔ
umelými	u m e l iː m i
umierajúceho	u m ɪ̯ e r a j uː t͡s e ɦ ɔ
urcite	u r t͡s i c e
usmievam	u s m ɪ̯ e v a m
utečenca	u c e t͡ʃ e n t͡s a
uvádzame	u v aː d͡z a m e
učenci	u t͡ʃ e n t͡s i
užití	u ʒ i c iː
valcové	v a l t͡s ɔ v eː
varíte	v a r iː c e
vegetariánske	v e ɡ e t a r i aː n s k e
viagra	v ɪ̯ a ɡ r a
vidiac	v i ɟ ɪ̯ a t͡s
viedenské	v ɪ̯ e ɟ e n s k eː
vilém	v i l eː m
vinica	v i ɲ i t͡s a
virtuálnu	v i r t u aː l n u
vjazdu	v j a z d u
vládnou	v l aː d n ɔ v
vláčiť	v l aː t͡ʃ i c
vnem	v ɲ e m
vodárenskej	v ɔ d aː r e n s k e j
voyager	v ɔ j a ɡ e r
vpáde	f p aː ɟ e
vpádu	f p aː d u
vranova	v r a n ɔ v a
vreckovku	v r e t͡s k ɔ v k u
vrtu	v r̩ t u
vrátiš	v r aː c i ʃ
vydanú	v i d a n uː
vydávaním	v i d aː v a ɲ iː m
vyhýbanie	v i ɦ iː b a ɲ ɪ̯ e
vyhľadávače	v i ɦ ʎ a d aː v a t͡ʃ e
vyjdeme	v i j ɟ e m e
vykonávajúci	v i k ɔ n aː v a j uː t͡s i
vykonávanej	v i k ɔ n aː v a ɲ e j
vykopal	v i k ɔ p a l
vykročili	v i k r ɔ t͡ʃ i ʎ i
vykupiteľa	v i k u p i c e ʎ a
vyletela	v i ʎ e c e l a
vylučovaním	v i l u t͡ʃ ɔ v a ɲ iː m
vymyslia	v i m i s ʎ ɪ̯ a
vymýšľam	v i m iː ʃ ʎ a m
vypočúvaní	v i p ɔ t͡ʃ uː v a ɲ iː
vytiahnu	v i c ɪ̯ a ɦ n u
vytratila	v i t r a c i l a
využívajúca	v i u ʒ iː v a j uː t͡s a
vyčlenená	v i t͡ʃ ʎ e ɲ e n aː
vzdelanosť	v z ɟ e l a n ɔ s c
vzdelávaním	v z ɟ e l aː v a ɲ iː m
vzdušnú	v z d u ʃ n uː
vzorový	v z ɔ r ɔ v iː
vzťahujúcich	f s c a ɦ u j uː t͡s i x
vírusová	v iː r u s ɔ v aː
výboroch	v iː b ɔ r ɔ x
výdobytky	v iː d ɔ b i t k i
výnimoční	v iː ɲ i m ɔ t͡ʃ ɲ iː
výtvarníctva	v iː t v a r ɲ iː t͡s t v a
výuke	v iː u k e
wet	v e t
wyomingu	v i ɔ m i n ɡ u
zadržiava	z a d r̩ ʒ ɪ̯ a v a
zahrnutých	z a ɦ r̩ n u t iː x
zakrytý	z a k r i t iː
zakúpenie	z a k uː p e ɲ ɪ̯ e
zameraným	z a m e r a n iː m
zapôsobí	z a p u̯ ɔ s ɔ b iː
zaregistrovala	z a r e ɡ i s t r ɔ v a l a
zarobíte	z a r ɔ b iː c e
zastane	z a s t a ɲ e
zastávali	z a s t aː v a ʎ i
zavádzajú	z a v aː d͡z a j uː
zavádzajúce	z a v aː d͡z a j uː t͡s e
začínajúceho	z a t͡ʃ iː n a j uː t͡s e ɦ ɔ
zaľúbení	z a ʎ uː b e ɲ iː
zdš	z t͡ʃ
zebry	z e b r i
zhodnú	z ɦ ɔ d n uː
zhodnúť	z ɦ ɔ d n uː c
zion	z i ɔ n
zjavom	z j a v ɔ m
zjednotil	z j e d n ɔ c i l
zl	z l̩
zmenšujú	z m e n ʃ u j uː
znemožniť	z ɲ e m ɔ ʒ ɲ i c
zničeného	z ɲ i t͡ʃ e n eː ɦ ɔ
zohľadniť	z ɔ ɦ ʎ a d ɲ i c
zostaň	z ɔ s t a ɲ
zostupu	z ɔ s t u p u
zozbieraných	z ɔ z b ɪ̯ e r a n iː x
zožerie	z ɔ ʒ e r ɪ̯ e
zrodilo	z r ɔ ɟ i l ɔ
zrútili	z r uː c i ʎ i
zvažovať	z v a ʒ ɔ v a c
zverejnením	z v e r e j ɲ e ɲ iː m
zverejníme	z v e r e j ɲ iː m e
zvieraťu	z v ɪ̯ e r a c u
zvykneme	z v i k ɲ e m e
zväčšovať	z v æ t͡ʃː ɔ v a c
záhadnej	z aː ɦ a d ɲ e j
záhadným	z aː ɦ a d n iː m
zájdem	z aː j ɟ e m
záložky	z aː l ɔ ʃ k i
záplav	z aː p l a u̯
zápletky	z aː p ʎ e t k i
záriečie	z aː r ɪ̯ e t͡ʃ ɪ̯ e
zásadám	z aː s a d aː m
zásobníkom	z aː s ɔ b ɲ iː k ɔ m
zástavky	z aː s t a v k i
zátišie	z aː c i ʃ ɪ̯ e
závetu	z aː v e t u
závierka	z aː v ɪ̯ e r k a
záštitu	z aː ʃ c i t u
získavala	z iː s k a v a l a
zúžené	z uː ʒ e n eː
úmyslami	uː m i s l a m i
úrazy	uː r a z i
úroku	uː r ɔ k u
útrobách	uː t r ɔ b aː x
útržky	uː t r̩ ʃ k i
čaje	t͡ʃ a j e
červena	t͡ʃ e r v e n a
činil	t͡ʃ i ɲ i l
čítačka	t͡ʃ iː t a t͡ʃ k a
šialeného	ʃ ɪ̯ a ʎ e n eː ɦ ɔ
šikovnejší	ʃ i k ɔ v ɲ e j ʃ iː
španielčinu	ʃ p a ɲ ɪ̯ e l t͡ʃ i n u
žiga	ʒ i ɡ a
žitnom	ʒ i t n ɔ m
živlov	ʒ i v l ɔ v
žánroch	ʒ aː n r ɔ x
agentmi	a ɡ e n t m i
aktualizovaná	a k t u a l i z ɔ v a n aː
aktualizácii	a k t u a l i z aː t͡s i i
aky	a k i
alexandria	a l e k s a n d r i a
amar	a m a r
anarchisti	a n a r x i s c i
angelica	a n ɡ e ʎ i t͡s a
anu	a n u
aplikovanie	a p ʎ i k ɔ v a ɲ ɪ̯ e
architecture	a r x i c e t͡s t u r e
asfaltovou	a s f a l t ɔ v ɔ v
asistencia	a s i s t e n t͡s i a
austrálske	a u s t r aː l s k e
autentických	a u c e n c i t͡s k iː x
ava	a v a
balady	b a l a d i
bankám	b a n k aː m
baráže	b a r aː ʒ e
bash	b a ʃ
basketbalová	b a s k e d b a l ɔ v aː
below	b e l ɔ v
berlínsky	b e r ʎ iː n s k i
bezdrôtový	b e z d r u̯ ɔ t ɔ v iː
bežnému	b e ʒ n eː m u
binárne	b i n aː r ɲ e
biologickými	b i ɔ l ɔ ɡ i t͡s k iː m i
bity	b i t i
bodku	b ɔ t k u
bozkom	b ɔ s k ɔ m
brandt	b r a n t
brožúry	b r ɔ ʒ uː r i
brzdenia	b r̩ z ɟ e ɲ ɪ̯ a
brzdení	b r̩ z ɟ e ɲ iː
bunkre	b u n k r e
burčiak	b u r t͡ʃ ɪ̯ a k
bázou	b aː z ɔ v
búda	b uː d a
candle	t͡s a n d ʎ e
celosvetových	t͡s e l ɔ s v e t ɔ v iː x
champion	x a m p i ɔ n
champs	x a m p s
cigán	t͡s i ɡ aː n
clarková	t͡s l a r k ɔ v aː
comedy	t͡s ɔ m e d i
compton	t͡s ɔ m p t ɔ n
coral	t͡s ɔ r a l
crime	t͡s r i m e
crosby	t͡s r ɔ z b i
ctihodný	t͡s c i ɦ ɔ d n iː
dash	d a ʃ
davos	d a v ɔ s
dedičnosti	ɟ e ɟ i t͡ʃ n ɔ s c i
dedičstvu	ɟ e ɟ i t͡ʃ s t v u
desmod	ɟ e s m ɔ t
dickens	ɟ i t͡s k e n s
diskusných	ɟ i s k u s n iː x
dividend	ɟ i v i ɟ e n t
divokým	ɟ i v ɔ k iː m
dlhodobou	d l̩ ɦ ɔ d ɔ b ɔ v
dnešnými	d ɲ e ʃ n iː m i
dobehla	d ɔ b e ɦ l a
dobrovoľníckej	d ɔ b r ɔ v ɔ ʎ ɲ iː t͡s k e j
dobytie	d ɔ b i c ɪ̯ e
dodržiava	d ɔ d r̩ ʒ ɪ̯ a v a
dohovore	d ɔ ɦ ɔ v ɔ r e
dohovorom	d ɔ ɦ ɔ v ɔ r ɔ m
dokonalou	d ɔ k ɔ n a l ɔ v
doktorke	d ɔ k t ɔ r k e
doll	d ɔ lː
dominantného	d ɔ m i n a n t n eː ɦ ɔ
domovskom	d ɔ m ɔ v s k ɔ m
domácky	d ɔ m aː t͡s k i
donesú	d ɔ ɲ e s uː
doplní	d ɔ p l̩ ɲ iː
doplňovanie	d ɔ p l̩ ɲ ɔ v a ɲ ɪ̯ e
dopĺňal	d ɔ p l̩ː ɲ a l
doručili	d ɔ r u t͡ʃ i ʎ i
dostupného	d ɔ s t u p n eː ɦ ɔ
dotýkali	d ɔ t iː k a ʎ i
držiteľkou	d r̩ ʒ i c e ʎ k ɔ v
dutinách	d u c i n aː x
dvorný	d v ɔ r n iː
dávneho	d aː v ɲ e ɦ ɔ
dážďovky	d aː ʒ ɟ ɔ v k i
dôchodkový	d u̯ ɔ x ɔ t k ɔ v iː
dýky	d iː k i
edwina	e d v i n a
elektrickému	e l e k t r i t͡s k eː m u
emirátoch	e m i r aː t ɔ x
enormné	e n ɔ r m n eː
epilepsie	e p i ʎ e p s ɪ̯ e
expandovať	e k s p a n d ɔ v a c
exponovaných	e k s p ɔ n ɔ v a n iː x
extrémnu	e k s t r eː m n u
farárov	f a r aː r ɔ v
ferenc	f e r e n t͡s
feromóny	f e r ɔ m ɔː n i
festivalové	f e s c i v a l ɔ v eː
figúru	f i ɡ uː r u
fikcie	f i k t͡s ɪ̯ e
filipovi	f i ʎ i p ɔ v i
finch	f i n x
florbalu	f l ɔ r b a l u
flórou	f l ɔː r ɔ v
forget	f ɔ r ɡ e t
francúza	f r a n t͡s uː z a
franza	f r a n z a
fraška	f r a ʃ k a
fábry	f aː b r i
fínskych	f iː n s k i x
gelnici	ɡ e l ɲ i t͡s i
gemerského	ɡ e m e r s k eː ɦ ɔ
gibbons	ɡ i bː ɔ n s
glukózu	ɡ l u k ɔː z u
greta	ɡ r e t a
grile	ɡ r i ʎ e
grill	ɡ r i lː
gui	ɡ u i
guys	ɡ u i s
guľatá	ɡ u ʎ a t aː
hanbila	ɦ a n b i l a
hanson	ɦ a n s ɔ n
highland	ɦ i ɡ ɦ l a n t
hitparáde	ɦ i t p a r aː ɟ e
hliva	ɦ ʎ i v a
hmloviny	ɦ m l ɔ v i n i
hmotnostných	ɦ m ɔ t n ɔ s t n iː x
hodinovom	ɦ ɔ ɟ i n ɔ v ɔ m
hodinovým	ɦ ɔ ɟ i n ɔ v iː m
holubica	ɦ ɔ l u b i t͡s a
horečnatý	ɦ ɔ r e t͡ʃ n a t iː
hospodárení	ɦ ɔ s p ɔ d aː r e ɲ iː
hospodárskemu	ɦ ɔ s p ɔ d aː r s k e m u
hostila	ɦ ɔ s c i l a
hraničnom	ɦ r a ɲ i t͡ʃ n ɔ m
humanitné	ɦ u m a ɲ i t n eː
hun	ɦ u n
husqvarna	ɦ u s k v a r n a
hydraulicky	ɦ i d r a u ʎ i t͡s k i
húsenice	ɦ uː s e ɲ i t͡s e
imi	i m i
improvizácia	i m p r ɔ v i z aː t͡s i a
indiany	i n d i a n i
infarkte	i n f a r k c e
infračerveným	i n f r a t͡ʃ e r v e n iː m
iniciátor	i ɲ i t͡s i aː t ɔ r
interpretácií	i n t e r p r e t aː t͡s i iː
islame	i s l a m e
jahodový	j a ɦ ɔ d ɔ v iː
janove	j a n ɔ v e
jasnejší	j a s ɲ e j ʃ iː
jednorazovo	j e d n ɔ r a z ɔ v ɔ
justícia	j u s c iː t͡s i a
kachle	k a x ʎ e
kanalizáciu	k a n a l i z aː t͡s i u
kapilár	k a p i l aː r
karlove	k a r l ɔ v e
katalog	k a t a l ɔ k
katalyzátorom	k a t a l i z aː t ɔ r ɔ m
kataríne	k a t a r iː ɲ e
keramikou	k e r a m i k ɔ v
klesali	k ʎ e s a ʎ i
klikov	k ʎ i k ɔ v
kokava	k ɔ k a v a
kolegyňou	k ɔ ʎ e ɡ i ɲ ɔ v
kolky	k ɔ l k i
kolíske	k ɔ ʎ iː s k e
komisárov	k ɔ m i s aː r ɔ v
komorami	k ɔ m ɔ r a m i
komplikovaných	k ɔ m p ʎ i k ɔ v a n iː x
kompresný	k ɔ m p r e s n iː
kona	k ɔ n a
koncentrovaná	k ɔ n t͡s e n t r ɔ v a n aː
koncepčné	k ɔ n t͡s e p t͡ʃ n eː
koncertného	k ɔ n t͡s e r t n eː ɦ ɔ
kool	k ɔ ɔ l
kopcami	k ɔ p t͡s a m i
korektor	k ɔ r e k t ɔ r
korunku	k ɔ r u n k u
kozmonautov	k ɔ z m ɔ n a u t ɔ v
krabiciach	k r a b i t͡s ɪ̯ a x
kraťasy	k r a c a s i
kritikmi	k r i c i k m i
krucifix	k r u t͡s i f i k s
krušné	k r u ʃ n eː
kryštalická	k r i ʃ t a ʎ i t͡s k aː
kráľovsky	k r aː ʎ ɔ v s k i
krízové	k r iː z ɔ v eː
kuala	k u a l a
kuchári	k u x aː r i
kvapalnej	k v a p a l ɲ e j
kávové	k aː v ɔ v eː
kúzelníci	k uː z e l ɲ iː t͡s i
lacného	l a t͡s n eː ɦ ɔ
larson	l a r s ɔ n
lawson	l a f s ɔ n
lednice	ʎ e d ɲ i t͡s e
leeho	ʎ e e ɦ ɔ
lehotou	ʎ e ɦ ɔ t ɔ v
lekárnika	ʎ e k aː r ɲ i k a
leteckými	ʎ e c e t͡s k iː m i
letnými	ʎ e t n iː m i
libru	ʎ i b r u
lilith	ʎ i ʎ i t
lindy	ʎ i n d i
links	ʎ i n k s
load	l ɔ a t
lodenici	l ɔ ɟ e ɲ i t͡s i
lopte	l ɔ p c e
lozorno	l ɔ z ɔ r n ɔ
lyon	l i ɔ n
ládin	l aː ɟ i n
lúčim	l uː t͡ʃ i m
macedónci	m a t͡s e d ɔː n t͡s i
macedónskom	m a t͡s e d ɔː n s k ɔ m
macocha	m a t͡s ɔ x a
macu	m a t͡s u
maliarstva	m a ʎ ɪ̯ a r s t v a
malware	m a l v a r e
malária	m a l aː r i a
manny	m a nː i
manželskej	m a n ʒ e l s k e j
mapou	m a p ɔ v
marino	m a r i n ɔ
martinský	m a r c i n s k iː
matiky	m a c i k i
matrika	m a t r i k a
matti	m a tː i
maurizio	m a u r i z i ɔ
medailista	m e d a i l i s t a
menovaného	m e n ɔ v a n eː ɦ ɔ
metodicky	m e t ɔ ɟ i t͡s k i
miernejší	m ɪ̯ e r ɲ e j ʃ iː
miernymi	m ɪ̯ e r n i m i
milostivý	m i l ɔ s c i v iː
milošom	m i l ɔ ʃ ɔ m
miláčikov	m i l aː t͡ʃ i k ɔ v
minerva	m i ɲ e r v a
miniatúr	m i ɲ ɪ̯ a t uː r
ministerský	m i ɲ i s c e r s k iː
miša	m i ʃ a
mlčania	m l̩ t͡ʃ a ɲ ɪ̯ a
množiť	m n ɔ ʒ i c
moderovala	m ɔ ɟ e r ɔ v a l a
mohutnú	m ɔ ɦ u t n uː
mohutnými	m ɔ ɦ u t n iː m i
mokro	m ɔ k r ɔ
monaco	m ɔ n a t͡s ɔ
moreno	m ɔ r e n ɔ
muhammad	m u ɦ a mː a t
muškát	m u ʃ k aː t
myšou	m i ʃ ɔ v
nadaním	n a d a ɲ iː m
nahovárať	n a ɦ ɔ v aː r a c
najhodnotnejšie	n a j ɦ ɔ d n ɔ t ɲ e j ʃ ɪ̯ e
najpredávanejšie	n a j p r e d aː v a ɲ e j ʃ ɪ̯ e
najvýraznejšou	n a j v iː r a z ɲ e j ʃ ɔ v
najťažším	n a j c a ʃː iː m
namáhať	n a m aː ɦ a c
naostro	n a ɔ s t r ɔ
narodeninovej	n a r ɔ ɟ e ɲ i n ɔ v e j
narodky	n a r ɔ t k i
nechystám	ɲ e x i s t aː m
nedostatočnou	ɲ e d ɔ s t a t ɔ t͡ʃ n ɔ v
nedostupná	ɲ e d ɔ s t u p n aː
nehmotné	ɲ e ɦ m ɔ t n eː
neistote	ɲ e i s t ɔ c e
nejedli	ɲ e j e d ʎ i
nekalé	ɲ e k a l eː
nektáru	ɲ e k t aː r u
nemalý	ɲ e m a l iː
nemocničné	ɲ e m ɔ t͡s ɲ i t͡ʃ n eː
neobvyklým	ɲ e ɔ b v i k l iː m
neodmysliteľne	ɲ e ɔ d m i s ʎ i c e ʎ ɲ e
neozvala	ɲ e ɔ z v a l a
nepatrili	ɲ e p a t r i ʎ i
nepokojom	ɲ e p ɔ k ɔ j ɔ m
neposkytujú	ɲ e p ɔ s k i t u j uː
neprekvapí	ɲ e p r e k v a p iː
neprežila	ɲ e p r e ʒ i l a
neprofesionálne	ɲ e p r ɔ f e s i ɔ n aː l ɲ e
nerovnomerné	ɲ e r ɔ v n ɔ m e r n eː
nesmrteľná	ɲ e s m r̩ c e ʎ n aː
nespadol	ɲ e s p a d ɔ l
nesťažujem	ɲ e s c a ʒ u j e m
neuplatňuje	ɲ e u p l a t ɲ u j e
neustálych	ɲ e u s t aː l i x
nevhodným	ɲ e v ɦ ɔ d n iː m
nevyhovoval	ɲ e v i ɦ ɔ v ɔ v a l
nezvratné	ɲ e z v r a t n eː
neúčinné	ɲ e uː t͡ʃ i nː eː
niko	ɲ i k ɔ
normách	n ɔ r m aː x
northern	n ɔ r d ɦ e r n
novotná	n ɔ v ɔ t n aː
nudím	n u ɟ iː m
nádheru	n aː d ɦ e r u
náhlom	n aː ɦ l ɔ m
nánosy	n aː n ɔ s i
náraste	n aː r a s c e
návnadu	n aː v n a d u
názorne	n aː z ɔ r ɲ e
náčelníkov	n aː t͡ʃ e l ɲ iː k ɔ v
obdoby	ɔ b d ɔ b i
obdĺžniková	ɔ b d l̩ː ʒ ɲ i k ɔ v aː
objasnené	ɔ b j a s ɲ e n eː
objavením	ɔ b j a v e ɲ iː m
obojstranný	ɔ b ɔ j s t r a nː iː
obracajú	ɔ b r a t͡s a j uː
obrody	ɔ b r ɔ d i
obrátenia	ɔ b r aː c e ɲ ɪ̯ a
obrátená	ɔ b r aː c e n aː
obzeral	ɔ b z e r a l
ochrannými	ɔ x r a nː iː m i
ochutnávku	ɔ x u t n aː v k u
odbehnúť	ɔ d b e ɦ n uː c
odchýlok	ɔ t x iː l ɔ k
odkázala	ɔ t k aː z a l a
odnož	ɔ d n ɔ ʃ
odovzdaním	ɔ d ɔ v z d a ɲ iː m
odovzdávam	ɔ d ɔ v z d aː v a m
odvetvím	ɔ d v e t v iː m
odviedla	ɔ d v ɪ̯ e d l a
odvážneho	ɔ d v aː ʒ ɲ e ɦ ɔ
oholil	ɔ ɦ ɔ ʎ i l
ohromná	ɔ ɦ r ɔ m n aː
ohrozí	ɔ ɦ r ɔ z iː
ohyb	ɔ ɦ i p
okomentoval	ɔ k ɔ m e n t ɔ v a l
olivier	ɔ ʎ i v ɪ̯ e r
oltárnej	ɔ l t aː r ɲ e j
olympiádach	ɔ l i m p i aː d a x
opakovanej	ɔ p a k ɔ v a ɲ e j
opatrený	ɔ p a t r e n iː
oponou	ɔ p ɔ n ɔ v
opracované	ɔ p r a t͡s ɔ v a n eː
opravte	ɔ p r a v c e
optimalizovaný	ɔ p t i m a l i z ɔ v a n iː
opálený	ɔ p aː ʎ e n iː
orchideí	ɔ r x i ɟ e iː
origami	ɔ r i ɡ a m i
osborne	ɔ z b ɔ r ɲ e
osvienčimu	ɔ s v ɪ̯ e n t͡ʃ i m u
osvieženie	ɔ s v ɪ̯ e ʒ e ɲ ɪ̯ e
osídlení	ɔ s iː d ʎ e ɲ iː
otcovu	ɔ t͡sː ɔ v u
otravná	ɔ t r a v n aː
otváracom	ɔ t v aː r a t͡s ɔ m
overovania	ɔ v e r ɔ v a ɲ ɪ̯ a
ox	ɔ k s
ozdobou	ɔ z d ɔ b ɔ v
ozvučenie	ɔ z v u t͡ʃ e ɲ ɪ̯ e
očistil	ɔ t͡ʃ i s c i l
očného	ɔ t͡ʃ n eː ɦ ɔ
oživenia	ɔ ʒ i v e ɲ ɪ̯ a
padáku	p a d aː k u
pandy	p a n d i
panenskej	p a ɲ e n s k e j
pasienkov	p a s ɪ̯ e n k ɔ v
personálnych	p e r s ɔ n aː l n i x
pestúnka	p e s t uː n k a
pitnú	p i t n uː
plastiku	p l a s t i k u
plesá	p ʎ e s aː
plochú	p l ɔ x uː
plošín	p l ɔ ʃ iː n
pochvala	p ɔ x v a l a
pochybných	p ɔ x i b n iː x
podarené	p ɔ d a r e n eː
podlhovasté	p ɔ d l̩ ɦ ɔ v a s t eː
podliehajúce	p ɔ d ʎ ɪ̯ e ɦ a j uː t͡s e
podraz	p ɔ d r a s
podávaný	p ɔ d aː v a n iː
pohnútky	p ɔ ɦ n uː t k i
pohraničných	p ɔ ɦ r a ɲ i t͡ʃ n iː x
pohrebných	p ɔ ɦ r e b n iː x
pohádali	p ɔ ɦ aː d a ʎ i
pohárikov	p ɔ ɦ aː r i k ɔ v
pohŕdanie	p ɔ ɦ r̩ː d a ɲ ɪ̯ e
points	p ɔ i n t͡s
poirot	p ɔ i r ɔ t
poklona	p ɔ k l ɔ n a
polená	p ɔ ʎ e n aː
poleva	p ɔ ʎ e v a
policu	p ɔ ʎ i t͡s u
polohami	p ɔ l ɔ ɦ a m i
polyméru	p ɔ l i m eː r u
polysacharidy	p ɔ l i s a x a r i d i
polárne	p ɔ l aː r ɲ e
pomalých	p ɔ m a l iː x
pomermi	p ɔ m e r m i
pomocníkmi	p ɔ m ɔ t͡s ɲ iː k m i
pomyslí	p ɔ m i s ʎ iː
ponižujúce	p ɔ ɲ i ʒ u j uː t͡s e
popová	p ɔ p ɔ v aː
poprosíme	p ɔ p r ɔ s iː m e
porovnávaní	p ɔ r ɔ v n aː v a ɲ iː
porozprávam	p ɔ r ɔ s p r aː v a m
posielané	p ɔ s ɪ̯ e l a n eː
posilnení	p ɔ s i l ɲ e ɲ iː
poskytovalo	p ɔ s k i t ɔ v a l ɔ
posolstvom	p ɔ s ɔ l s t v ɔ m
postaveným	p ɔ s t a v e n iː m
postačia	p ɔ s t a t͡ʃ ɪ̯ a
postupnú	p ɔ s t u p n uː
povojnovom	p ɔ v ɔ j n ɔ v ɔ m
povznesenie	p ɔ v z ɲ e s e ɲ ɪ̯ e
povýšená	p ɔ v iː ʃ e n aː
pozastavený	p ɔ z a s t a v e n iː
pozbieral	p ɔ z b ɪ̯ e r a l
pozorné	p ɔ z ɔ r n eː
pozoruhodnú	p ɔ z ɔ r u ɦ ɔ d n uː
pozostávajúceho	p ɔ z ɔ s t aː v a j uː t͡s e ɦ ɔ
pozývame	p ɔ z iː v a m e
počkajú	p ɔ t͡ʃ k a j uː
poľnohospodárskou	p ɔ ʎ n ɔ ɦ ɔ s p ɔ d aː r s k ɔ v
predajných	p r e d a j n iː x
predka	p r e t k a
predkladať	p r e t k l a d a c
predpísať	p r e t p iː s a c
predčasná	p r e t͡ʃː a s n aː
prehliadol	p r e ɦ ʎ ɪ̯ a d ɔ l
prekrytý	p r e k r i t iː
prekážkami	p r e k aː ʃ k a m i
premenia	p r e m e ɲ ɪ̯ a
premenovaný	p r e m e n ɔ v a n iː
premieňajú	p r e m ɪ̯ e ɲ a j uː
prenajali	p r e n a j a ʎ i
preplňovaný	p r e p l̩ ɲ ɔ v a n iː
presnou	p r e s n ɔ v
prestavali	p r e s t a v a ʎ i
prestupuje	p r e s t u p u j e
prestávajú	p r e s t aː v a j uː
presunutie	p r e s u n u c ɪ̯ e
previerku	p r e v ɪ̯ e r k u
prevádzkach	p r e v aː t͡s k a x
prezentovanie	p r e z e n t ɔ v a ɲ ɪ̯ e
prezidentskom	p r e z i ɟ e n t͡s k ɔ m
preštudovať	p r e ʃ t u d ɔ v a c
pribehol	p r i b e ɦ ɔ l
prideliť	p r i ɟ e ʎ i c
prideľovania	p r i ɟ e ʎ ɔ v a ɲ ɪ̯ a
priebežná	p r ɪ̯ e b e ʒ n aː
prieskumná	p r ɪ̯ e s k u m n aː
priesvitné	p r ɪ̯ e s v i t n eː
prijímaním	p r i j iː m a ɲ iː m
prilieha	p r i ʎ ɪ̯ e ɦ a
privedieme	p r i v e ɟ ɪ̯ e m e
priľahlom	p r i ʎ a ɦ l ɔ m
products	p r ɔ d u t͡s t͡s
profesijné	p r ɔ f e s i j n eː
prom	p r ɔ m
prostrednej	p r ɔ s t r e d ɲ e j
protocol	p r ɔ t ɔ t͡s ɔ l
prototypom	p r ɔ t ɔ t i p ɔ m
prstu	p r̩ s t u
príhovore	p r iː ɦ ɔ v ɔ r e
príkazmi	p r iː k a z m i
prímeria	p r iː m e r i a
prístavbu	p r iː s t a v b u
prúdením	p r uː ɟ e ɲ iː m
pušiek	p u ʃ ɪ̯ e k
puškami	p u ʃ k a m i
páchané	p aː x a n eː
páchateľom	p aː x a c e ʎ ɔ m
pápeži	p aː p e ʒ i
pätu	p æ t u
päťročný	p æ c r ɔ t͡ʃ n iː
pôdneho	p u̯ ɔ d ɲ e ɦ ɔ
