אבל	a v a l
השירי	h i ʃ i ʁ i
השלו	h i ʃ l u
השתי	h i ʃ t i
השתרש	h i ʃ t a ʁ e ʃ
התאוות	h i t a v e t
התאספנו	h i t a s p a n u
התחמם	h i t χ a m e m
התיחסות	h i t j a χ s u t
התלהבה	h i t l a h a v a
התלולה	h i t l u l a
התמקמה	h i t m a k e m a
התנתקה	h i t n a t e k a
ואדומים	v e a d u m i m
ואסטרטגיות	v a s t a ʁ t e ɡ j u t
ואתנה	v e a t a n a
ובוכים	v o v u χ i m
והטבעת	v e h i t b a a t
והיעילות	v e h i i l u t
והעדות	v e e d u t
והעוני	v e h o n i
והעיתון	v e h i t o n
והפילו	v e h e f i l u
וזכאי	v i z k a j
וחבילות	v a χ b i l u t
וחרבות	v a χ ʁ a v u t
וחשפה	v a χ ʃ a f a
וילף	v i l e f
וימינה	v i m i n a
ויסביר	v i s b i ʁ
ויפלו	v i p l u
ויציע	v i t͡s i a
ויתעלה	v i t a l a
ויתקיים	v i t k a j i m
וכיבוד	v e χ i b u d
ולאמן	v a l a m a n
ומעגל	v i m a ɡ e l
ומעיר	v i m i ʁ
ומצביעים	v i m t͡s b i i m
ומשיח	v i m ʃ i a χ
ומתקבלת	v i m t a k b e l e t
ונר	v a n a ʁ
ופורש	v e f o ʁ e ʃ
ורמזים	v a ʁ m a z i m
ושיפוט	v e ʃ i p u t
ושרידים	v i ʃ ʁ i d i m
ותביעה	v i t b i a
ותבניות	v i t b e n j u t
זיא	z i
זיס	z i s
זנד	z a n a d
חבוט	χ a v u t
חבושה	χ a v u ʃ a
חיווה	χ i v a
חלומית	χ a l u m i t
חרמנים	χ a ʁ m a n i m
חרסית	χ a ʁ s i t
חרשה	χ a ʁ ʃ a
טווחי	t a v a χ i
טוחנות	t o χ a n u t
טוניה	t o n j a
טוניסיה	t o n i s j a
טיפוחיו	t i p u χ j u
טיקטין	t i k t i n
טרן	t a ʁ a n
יגרע	j a ɡ ʁ a
יודח	j o d e a χ
יחלה	j a χ l a
יחפוץ	j a χ p u t͡s
יטילו	j a t i l u
יטעו	j a t a u
ילחץ	j a l χ a t͡s
יף	j a f
יתחשב	j i t χ a ʃ e v
כזמן	k a z m a n
כחברות	k a χ b a ʁ u t
כחטיבה	k a χ t i v a
כחמישית	k a χ m i ʃ i t
כיסויים	k i s u j i m
כלילית	k l i l i t
כמובטח	k a m u v t a χ
כמעצמה	k a m a t͡s m a
כקלף	k a k l a f
כרחך	k a ʁ χ a χ
כתמיכה	k a t m i χ a
לבאס	l a v a s
לגזרת	l i ɡ z a ʁ e t
לדיו	l a d j u
להי	l a h i
להתפרצויות	l e h i t p a ʁ t͡s u j u t
לווילה	l a v i l a
לועזית	l o a z i t
ליסק	l i s e k
ליצירתה	l i t͡s i ʁ t a
ליראה	l i ʁ a
לכיפת	l e χ i f e t
לכרתים	l i χ ʁ a t i m
לממשק	l i m m e ʃ e k
למעלת	l i m a l e t
למרמה	l i m ʁ a m a
למשתה	l i m ʃ a t a
לפוג	l a f u ɡ
לצדנו	l i t͡s d a n u
לצעירי	l i t͡s i ʁ i
לצרפו	l i t͡s ʁ a f u
לקלה	l a k l a
לשפתיים	l i ʃ p a t a j i m
לתקיפות	l i t k i f u t
מבגדאד	m i v ɡ a d a d
מגבעה	m a ɡ v a a
מגדרה	m a ɡ d a ʁ a
מהיחידות	m e h i χ i d u t
מחקריות	m a χ k a ʁ j u t
מטף	m a t a f
מילן	m i l a n
מימה	m i m a
מימושה	m i m u ʃ a
מיצרים	m i t͡s a ʁ i m
מלבישים	m a l b i ʃ i m
מלוב	m a l u v
מליה	m a l j a
ממפה	m a m p a
מקני	m a k a n i
מקפצים	m a k p a t͡s i m
מרבנים	m a ʁ b a n i m
מרגעי	m a ʁ ɡ a i
מרלי	m a ʁ l i
משבית	m i ʃ b i t
משהגיע	m i ʃ h a ɡ i a
משמונים	m i ʃ m o n i m
מתמונה	m i t m u n a
מתרחצים	m i t ʁ a χ t͡s i m
מתרצה	m i t ʁ a t͡s a
נדחפים	n i d χ a f i m
נופשים	n o f ʃ i m
נוצחה	n o t͡s a χ a
נזקו	n i z k o
ניקוס	n i k o s
נישול	n i ʃ u l
נסתיים	n i s t a j i m
נפשע	n i f ʃ a
נרשמות	n i ʁ ʃ a m u t
נשלטה	n i ʃ l a t a
נשפי	n i ʃ p i
סובלניים	s o v l a n j i m
סטונס	s t o n e s
סלילי	s a l i l i
סנטינל	s a n t i n e l
עזיבתה	a z i v t a
ענדו	a n d u
ענות	a n u t
ערגה	a ʁ ɡ a
עריקה	a ʁ i k a
פגיס	p a ɡ i s
פולטון	p o l t o n
פוליאתילן	p u l i a t i l a n
פולסון	p o l s o n
פוצה	p o t͡s a
פיתון	p i t o n
פקדון	p a k d o n
פרסון	p a ʁ s o n
צוננים	t͡s o n a n i m
צופיות	t͡s o f j u t
צייט	t͡s a j a t
צלויים	t͡s a l u j i m
קוברין	k o v ʁ i n
קוטף	k o t e f
קומבינציה	k o m b i n t͡s j a
קומיות	k o m j u t
קומיסר	k o m i s e ʁ
קורווין	k o ʁ v i n
קיללתי	k i l e l t i
קליגר	k l i ɡ e ʁ
קמצנים	k a m t͡s a n i m
קפדניות	k a f d a n j u t
קריאתה	k ʁ i a t a
קריניצי	k ʁ i n i t͡s i
רודנות	ʁ o d a n u t
רודפות	ʁ o d e f u t
רזרבי	ʁ a z ʁ a v i
שאכילת	ʃ e e χ i l e t
שבל	ʃ a v a l
שבלולים	ʃ a v l u l i m
שגילינו	ʃ ɡ i l i n u
שהגנה	ʃ a h a ɡ a n a
שהיכה	ʃ e h i χ a
שהיפנים	ʃ e h i p a n i m
שהתקין	ʃ e h i t k i n
שוטט	ʃ o t e t
שיוכח	ʃ i j u χ a χ
שיקומית	ʃ i k u m i t
שיקיים	ʃ i k a j i m
שלטוניות	ʃ a l t o n j u t
שמגדל	ʃ i m ɡ d e l
שמדד	ʃ i m d e d
שמדמה	ʃ i m d e m a
שמוט	ʃ a m u t
שמושג	ʃ a m u ʃ e ɡ
שמטבע	ʃ i m t b a
שמינו	ʃ a m i n u
שמשמאל	ʃ i m ʃ m a e l
שמשקל	ʃ i m ʃ k e l
שנטע	ʃ i n t a
שניסיון	ʃ n i s j o n
שננסה	ʃ n a n a s a
שנשר	ʃ i n ʃ e ʁ
שען	ʃ a a n
ששו	ʃ a ʃ u
ששירות	ʃ ʃ i ʁ u t
שתום	ʃ a t u m
שתסבול	ʃ i t s b u l
תאילנדית	t e i l a n d i t
תדרשו	t a d ʁ a ʃ u
תיזה	t i z a
תמהיל	t a m h i l
תצחיק	t a t͡s χ i k
תרגומיו	t a ʁ ɡ u m j u
adult	a d u l t
het	h e t
lines	l i n e s
mia	m i a
pd	p e d e
qu	k u
quality	k w a l i t i
sans	s a n s
such	s u x
theme	t e m e
val	v a l
za	z a
אדין	a d i n
אומנותם	o m a n u t e m
אורקים	o ʁ k i m
אזני	a z a n i
אירווין	i ʁ v i n
אלברטה	a l b a ʁ t a
אלגאזי	a l ɡ a z i
אלוקית	a l u k i t
אמידות	a m i d u t
אמפי	a m p i
אנדורה	a n d u ʁ a
אנזימי	a n z i m i
אפיינו	a f j a n u
אפרה	a f ʁ a
ארדון	a ʁ d o n
ארוזה	a ʁ u z a
ארונוב	a ʁ o n o v
ארלי	a ʁ l i
אשחר	a ʃ χ a ʁ
אשפוך	a ʃ p u χ
אשתף	a ʃ t e f
באפשרותך	b e a f ʃ a ʁ u t a χ
בבידור	b e v i d u ʁ
בביצת	b e v i t͡s e t
בהארכה	b e e ʁ χ a
בהאשמה	b e e ʃ e m a
בהצבעות	b e h i t͡s b a u t
בהתפוצצות	b e h i t p o t͡s a t͡s u t
בהתקוממות	b e h i t k o m e m u t
בוהר	b o a ʁ
בוכמן	b u χ m a n
בחאן	b a χ a n
בחשבונו	b a χ ʃ a v o n u
בחתיכות	b a χ t i χ u t
בידוע	b i d u a
בכינו	b e χ i n u
בלד	b a l a d
בלולאה	b l u l a
בניצב	b e n i t͡s e v
בעיתו	b a i t u
בפיסקה	b e f i s k a
בקידוח	b e k i d u a χ
בקיטור	b e k i t u ʁ
בראו	b a ʁ a u
ברטרם	b a ʁ t a ʁ a m
בריסטו	b ʁ i s t o
ברנקו	b a ʁ n a k o
גדושים	ɡ a d u ʃ i m
גירושו	ɡ i ʁ u ʃ u
גלין	ɡ l i n
גניזת	ɡ n i z e t
גרינבאום	ɡ ʁ i n b a u m
דובק	d o v e k
דליקים	d l i k i m
דקאמר	d i k a m e ʁ
האיסלמי	h e i s l a m i
האיפה	h e i f a
האפלטונית	h e e f e l t o n i t
הגעתן	h i ɡ a t e n
הדוויג	h i d v i ɡ
ההידור	h e h i d u ʁ
ההיכלות	h e h i χ l u t
הועדות	h o e d u t
הותאמה	h o t a m a
הותיקה	h o t i k a
הזמניות	h i z m a n j u t
החזקנו	h i χ z a k a n u
החציבה	h e χ t͡s i v a
הטריטוריות	h i t ʁ i t u ʁ j u t
היקבים	h i k e v i m
המגונה	h i m ɡ o n a
המדונה	h i m d o n a
המזרקות	h i m z a ʁ k u t
המחקה	h i m χ a k a
המלחמתית	h i m l a χ m e t i t
המעניקות	h i m a n i k u t
המפרטת	h i m p a ʁ t e t
המצוף	h i m t͡s u f
המצריכים	h i m t͡s ʁ i χ i m
המקח	h i m k e a χ
המשוטים	h i m ʃ u t i m
הנאבקת	h i n a b e k e t
הנגיפים	h i n ɡ i f i m
הנטיעות	h i n t i u t
הנקבי	h i n k e v i
הסטר	h i s t e ʁ
הערמה	e e ʁ m a
הפטל	h i f t e l
הפתולוגיה	h i f t o l o ɡ j a
הצפע	h i t͡s p a
הצריבה	h i t͡s ʁ i v a
הקיני	h i k i n i
הקיפול	h i k i p u l
הקרויות	h i k ʁ u j u t
הקשתית	h i k ʃ a t i t
הרגוע	h i ʁ ɡ u a
הרתיע	h i ʁ t i a
השוקל	h i ʃ u k e l
השירית	h i ʃ i ʁ i t
השכור	h i ʃ k o ʁ
השלולית	h i ʃ l u l i t
השמית	h i ʃ m i t
השען	h i ʃ a n
השריטה	h i ʃ ʁ i t a
התאם	h i t a m
התבדח	h i t b e d e a χ
התותים	h i t u t i m
התחרותית	h i t χ a ʁ u t i t
התמרדו	h i t m a ʁ d u
התפזרה	h i t p a z a ʁ a
התפללנו	h i t p a l l a n u
התפרחת	h i t p a ʁ a χ e t
התרוקנות	h i t ʁ o k a n u t
ואימוץ	v e i m u t͡s
ואימץ	v e i m e t͡s
והדיוק	v e h a d j o k
וההנחה	v e h a n a χ a
והורסים	v e h o ʁ s i m
וורטון	v a ʁ t o n
וייעץ	v a j a t͡s
ויכולתם	v i χ u l t e m
וישירה	v i ʃ i ʁ a
ולוגיסטיקה	v l u ɡ i s t i k a
ולעת	v a l a a t
ומוזיאונים	v e m u z i u n i m
ומוצגים	v e m u t͡s a ɡ i m
ומחילה	v i m χ i l a
ומל	v a m a l
ומסחריים	v i m s a χ ʁ a j i m
ומפורש	v i m p o ʁ e ʃ
ומתמחה	v i m t a m χ a
ונוסעת	v e n o s a a t
וסיבה	v e s i v a
ופ	v a f
ופס	v a f a s
וצבאי	v i t͡s b a j
וקישוטים	v e k i ʃ u t i m
ורפואת	v a ʁ p u a t
ושימושי	v e ʃ i m u ʃ i
ותבעו	v i t b a u
ותפוח	v i t p u a χ
חדרך	χ a d a ʁ a χ
חדת	χ a d a t
חווייה	χ a v i j a
חויה	χ o j a
חילה	χ i l a
חימצון	χ i m t͡s o n
חלימה	χ a l i m a
חמינאי	χ a m i n a j
חרובים	χ a ʁ u v i m
חרוך	χ a ʁ u χ
טהיטי	t e h i t i
טוחנים	t o χ a n i m
טיאן	t i a n
טיירה	t i j a ʁ a
טרולי	t ʁ u l i
ידוי	j a d u j
יופנו	j o f a n u
יחגוג	j a χ ɡ u ɡ
ייכשלו	j i χ ʃ e l u
יתפנה	j i t p a n a
כוננים	k o n a n i m
כחולי	k a χ u l i
ככלים	k a χ l i m
כמוביל	k a m u v i l
כמוסה	k a m u s a
כרעו	k a ʁ a u
כשגילה	k a ʃ ɡ i l a
כשיצאה	k ʃ i t͡s a
כשנולד	k a ʃ n u l a d
לדבש	l i d b e ʃ
להבדילו	l e h a v d i l u
להחזרה	l e h a χ z a ʁ a
להעדפת	l e h a d e f e t
להתפס	l e h i t p e s
לובין	l o v i n
לווינסון	l a v i n s o n
לוקרציה	l o k ʁ a t͡s j a
לחטיפה	l a χ t i f a
לחסלו	l a χ s a l u
ליוצרי	l i j u t͡s a ʁ i
לימא	l i m a
לימוזינות	l i m u z i n u t
לכפרה	l i χ p a ʁ a
למדרש	l i m d a ʁ e ʃ
למחבל	l i m χ a v e l
למרחבי	l i m ʁ a χ a v i
לסלקו	l i s l a k o
לעליונות	l e a l j o n u t
לפצע	l i f t͡s a
לפשרות	l i f ʃ a ʁ u t
לצבעי	l i t͡s b a i
לצרכנות	l i t͡s ʁ a χ n u t
לקרינת	l i k ʁ i n t
לרביעי	l a ʁ b i a j
לשבעים	l i ʃ b a i m
לשטרות	l i ʃ t a ʁ u t
לשיוויון	l i ʃ i v j o n
לשקיעת	l i ʃ k i a t
מאירת	m e i ʁ e t
מגולה	m a ɡ u l a
מדום	m a d u m
מדחס	m a d χ a s
מדימום	m a d i m u m
מהישג	m e h i ʃ e ɡ
מהישוב	m e h i ʃ u v
מהתל	m e h a t e l
מזכרונות	m i z k a ʁ o n u t
מזנקים	m i z n a k i m
מחדירה	m a χ d i ʁ a
מחטט	m a χ t a t
מחקירה	m a χ k i ʁ a
מחשבותי	m a χ ʃ a v u t i
מיוצרי	m i j u t͡s a ʁ i
מיכן	m i χ e n
מיקרה	m i k a ʁ a
מלכ	m a l a χ
מלנומה	m a l n u m a
ממממ	m a m m a m
ממנהיג	m a m a n h i ɡ
ממקד	m a m k a d
מסמנות	m a s m a n u t
מספנות	m i s p a n u t
מקגרגור	m a k ɡ a ʁ ɡ o ʁ
מקנס	m a k n a s
מרדן	m a ʁ d a n
מרזה	m a ʁ z a
מרטינה	m a ʁ t i n a
מרצוני	m a ʁ t͡s o n i
משגיאות	m i ʃ ɡ i u t
משגל	m i ʃ ɡ e l
משדרי	m i ʃ d a ʁ i
משמנים	m i ʃ m a n i m
משריפה	m i ʃ ʁ i f a
מתחושה	m i t χ u ʃ a
מתחנה	m i t χ a n a
מתלווים	m i t l a v i m
מתפרשים	m i t p a ʁ ʃ i m
נבחנות	n i v χ a n u t
נונו	n o n u
נוסעיה	n o s a j a
ניטה	n i t a
ניסחה	n i s χ a
ניפוי	n i p u j
נלבש	n i l b e ʃ
ננסים	n i n s i m
נספיק	n i s p i k
נפגמה	n i f ɡ a m a
נפצעים	n i f t͡s a i m
נצבר	n i t͡s b a ʁ
נקרה	n i k ʁ a
נשקול	n i ʃ k o l
סלוצק	s a l u t͡s a k
סלחת	s a l a χ a t
סמאש	s a m a ʃ
סקסיים	s a k s a j i m
עדיה	a d j a
עידכונים	i d k o n i m
עלילתיים	a l i l t a j i m
ערמונית	a ʁ m o n i t
פארדו	p e a ʁ d u
פולחנים	p o l χ a n i m
פטורין	p a t u ʁ i n
פיצי	p i t͡s i
פיתולים	p i t u l i m
פראנקל	p ʁ a n k e l
פרברים	p a ʁ b a ʁ i m
פרונט	p ʁ o n t
צז	t͡s a z
צעדות	t͡s a a d u t
צרכה	t͡s a ʁ χ a
קולדוול	k o l d v e l
קטלה	k a t a l a
קטנו	k a t a n u
קיג	k i ɡ
קיומך	k i j u m e χ
קיידי	k a j a d i
קמומיל	k a m u m i l
קרולי	k ʁ u l i
קרישת	k ʁ i ʃ e t
קרנפים	k a ʁ n a f i m
קשקשי	k a ʃ k a ʃ i
קתדרלה	k a t d a ʁ l a
רוטרי	ʁ o t a ʁ i
רולאן	ʁ o l a n
רושדי	ʁ o ʃ a d i
רותה	ʁ o t a
ריה	ʁ i j a
רמבם	ʁ a m b a m
רמוא	ʁ a m u
שבכניסה	ʃ a v χ a n i s a
שדור	ʃ a d u ʁ
שהזקן	ʃ a h a z k a n
שהחיות	ʃ a h a χ j u t
שהקריאה	ʃ a h a k ʁ i a
שוקם	ʃ o k e m
שותת	ʃ o t e t
שחצתה	ʃ a χ t͡s a t a
שיכריע	ʃ i k ʁ i a
שיקשה	ʃ i k ʃ a
שישק	ʃ i ʃ e k
שלאחריהם	ʃ a l a χ a ʁ j a m
שלישו	ʃ a l i ʃ u
שמחזק	ʃ i m χ a z e k
שמחי	ʃ i m χ i
שמחליף	ʃ i m χ a l i f
שמעסיק	ʃ i m a s i k
שמקל	ʃ i m k e l
שנפסקה	ʃ i n p a s k a
שסגן	ʃ a s ɡ a n
שקיווה	ʃ k i v a
שרודר	ʃ a ʁ u d e ʁ
ששמשו	ʃ i ʃ m e ʃ u
תודתנו	t o d t a n u
תחתיך	t a χ t i χ
תסקיר	t a s k i ʁ
תתקשה	t i t k a ʃ a
abu	a b u
brain	b r a i n
dick	d i k
feat	f e a t
half	h a l f
halo	h a l o
ins	i n s
nach	n a x
push	p u ʃ
tal	t a l
xi	ʃ i
אדוורדס	a d v a ʁ d e s
אדיס	a d i s
אדנאואר	a d n a u a ʁ
אומ	o m
אחל	a χ a l
אטיקה	a t i k a
אידאלי	i d a l i
אידיש	i d i ʃ
איזורית	i z u ʁ i t
אינדיקטורים	i n d i k t u ʁ i m
איסלאמית	i s l a m i t
אנית	a n i t
אפריים	a f ʁ a j i m
ארדה	a ʁ d a
ארכי	a ʁ χ i
בביצועי	b e v i t͡s u a j
בדון	b a d o n
בדיסני	b e d i s a n i
בהווי	b e h a v i
בוררים	b o ʁ a ʁ i m
בחגי	b a χ a ɡ i
בחידושי	b e χ i d u ʃ i
ביאכטה	b i a χ t a
ביבול	b i b u l
בירב	b i ʁ e v
בישא	b i ʃ e
ביתנים	b i t a n i m
בסוגייה	b e s u ɡ i j a
בעטיו	b a a t j u
בענייננו	b a a n j a n o
ברדק	b a ʁ d e k
ברכתה	b a ʁ a χ t a
ברמאות	b a ʁ m a u t
ברציחות	b a ʁ t͡s i χ u t
ברשע	b a ʁ ʃ a
גארדנר	ɡ a ʁ d a n a ʁ
גבירת	ɡ v i ʁ e t
גועש	ɡ o a ʃ
גנזים	ɡ a n z i m
גסי	ɡ a s i
דוי	d u j
דלקו	d a l a k o
דעל	d a a l
דרקונית	d a ʁ k o n i t
האכילו	h e e χ i l u
הבקורת	h i v k o ʁ e t
הדאו	h a d a u
הדביל	h i d b i l
הדהוד	h i d h u d
ההזיה	h e h a z j a
ההתדיינות	h e h i t d a j a n u t
הוסעו	h o s a u
הושכר	h o ʃ k a ʁ
הזהובים	h i z h o v i m
הזיופים	h i z j o f i m
החניכות	h e χ n i χ u t
הטחנות	h i t χ a n u t
הטראגית	h i t ʁ a ɡ i t
הטריקים	h i t ʁ i k i m
היבואן	h i b u a n
הינקות	h i n k u t
היצירתיים	h i t͡s i ʁ t a j i m
הכספות	h i χ s a f u t
המאגדת	h i m a ɡ e d e t
המאולתר	h i m o l t e ʁ
המארה	h i m a ʁ a
המדמים	h i m d e m i m
המטריצה	h i m t ʁ i t͡s a
המעשרות	h i m a ʃ a ʁ u t
המצאנו	h i m t͡s a n u
המריץ	h i m ʁ i t͡s
המרפקים	h i m ʁ a p e k i m
המתאמן	h i m t a m e n
המתגלים	h i m t a ɡ l i m
המתוקות	h i m t u k u t
הנפלטים	h i n p a l t i m
הנקסוס	h i n k s o s
הנקר	h i n k e ʁ
הנשאים	h i n ʃ a i m
הנשכח	h i n ʃ a χ a χ
הסיעו	h i s i u
הסליק	h i s l i k
הסעדה	h i s a d a
הספיד	h i s p i d
הספרנים	h i s p a ʁ a n i m
העמידים	e e m i d i m
הפטישים	h i f t i ʃ i m
הפליל	h i f l i l
הצופות	h i t͡s u f u t
הצרת	h i t͡s ʁ e t
הקאפו	h i k a f u
הקדשות	h i k d e ʃ u t
הקטאר	h i k t a ʁ
הקטנטונת	h i k t a n t o n t
הקשתים	h i k ʃ a t i m
הרביע	h i ʁ b i a
הרמאות	h i ʁ m a u t
הרקה	h a ʁ k a
השגרירה	h i ʃ ɡ ʁ i ʁ a
השפלים	h i ʃ p e l i m
הששית	h i ʃ ʃ i t
התאחד	h i t a χ e d
התאי	h i t a j
התמריצים	h i t m a ʁ i t͡s i m
התקומם	h i t k o m e m
התרוקנו	h i t ʁ o k a n u
ואהדה	v e a d a
והבטחתי	v e h i b t a χ t i
והעירייה	v e e ʁ i j a
והעשרה	v e e ʃ a ʁ a
והצלחנו	v e h i t͡s l a χ a n u
והצעירה	v e h i t͡s i ʁ a
וחדירה	v a χ d i ʁ a
וחסידים	v a χ s i d i m
וידידותי	v i d i d u t i
וידל	v i d e l
ויזמות	v i z m u t
ויחיאל	v i χ i e l
ויצורים	v i t͡s u ʁ i m
וכיבוי	v e χ i b u j
וכימיה	v e χ i m j a
ולים	v a l i m
ולנטוש	v a l a n t u ʃ
ומפיל	v i m p i l
ומפיצים	v i m p i t͡s i m
ומפתחים	v i m p t a χ i m
ומצהיר	v i m t͡s h i ʁ
ומקומם	v i m k o m e m
ומשחררים	v i m ʃ a χ ʁ a ʁ i m
וסירות	v e s i ʁ u t
ופורים	v e f o ʁ i m
וקיבוצים	v e k i b u t͡s i m
וקיצור	v e k i t͡s o ʁ
וקרית	v a k ʁ i t
ורבבות	v a ʁ b a v u t
ושברים	v i ʃ b a ʁ i m
ושימושים	v e ʃ i m u ʃ i m
ושפתיים	v i ʃ p a t a j i m
ושריפת	v i ʃ ʁ i f e t
זאביק	z e e v i k
זאיד	z a i d
זהרי	z a h a ʁ i
זיזים	z i z i m
חבלנית	χ a v l a n i t
חובתך	χ o v t e χ
חיבורה	χ i b u ʁ a
חכות	χ a χ u t
חמדי	χ a m a d i
חמסין	χ a m s i n
חשפנית	χ a ʃ p a n i t
טורקיים	t o ʁ k a j i m
טיטאניק	t i t a n i k
טיפסתי	t i p s a t i
טרבולטה	t a ʁ b u l t a
ידריך	j a d ʁ i χ
יודגש	j o d e ɡ e ʃ
יורחב	j o ʁ χ a v
ינקי	j a n k i
ירמוז	j a ʁ m u z
יתחדש	j i t χ a d e ʃ
יתחלק	j i t χ a l e k
כבישה	k a v i ʃ a
כגברים	k a ɡ v a ʁ i m
כיבדה	k i v d a
כיתרון	k i t ʁ o n
כנועה	k n u a
כשפניו	k a ʃ p a n j u
להינתק	l e h i n t e k
להיקרע	l e h i k ʁ a
להשלות	l e h i ʃ l u t
להשתרע	l e h i ʃ t a ʁ a
להתיישר	l e h i t j a ʃ e ʁ
להתפוצצות	l e h i t p o t͡s a t͡s u t
לוגם	l o ɡ e m
לחתונות	l a χ t o n u t
לחתנו	l a χ t a n u
לטרמפ	l i t ʁ a m e f
ליטני	l i t a n i
לימיו	l i m j u
ליריות	l i ʁ j u t
לכלבי	l i χ l a v i
לנהריה	l i n h a ʁ j a
לעס	l a a s
לקוף	l a k u f
לקחתה	l i k χ a t a
לשלישית	l i ʃ l i ʃ i t
לתקנם	l i t k a n e m
מאוננים	m e o n a n i m
מבל	m a v a l
מגרסה	m a ɡ ʁ a s a
מדומות	m a d u m u t
מדיד	m a d i d
מדליקין	m a d l i k i n
מהודקת	m e h u d e k e t
מהרבי	m a a ʁ b i
מהתקפות	m e h i t k a f u t
מוונציה	m a v n a t͡s j a
מופגן	m o f ɡ a n
מורחק	m o ʁ χ a k
מורשעים	m o ʁ ʃ a i m
מחשבתם	m a χ ʃ a v t e m
מיודע	m i j u d a
מיפה	m i f a
מיקרוסקופית	m i k ʁ o s k o f i t
מלהכיל	m a l a χ i l
מנון	m a n o n
מנמנם	m i n m a n a m
מרש	m a ʁ a ʃ
משחזרים	m i ʃ χ a z a ʁ i m
משכירים	m i ʃ k i ʁ i m
מתבטאות	m i t b a t a u t
מתגשמת	m i t ɡ a ʃ e m e t
מתקשות	m i t k a ʃ u t
נדפקה	n i d p a k a
נוטע	n o t a
נוטפת	n o t e f e t
נוס	n o s
נשמטה	n i ʃ m a t a
נתחלף	n i t χ a l e f
סדנא	s a d a n a
סובה	s o v a
סורבה	s o ʁ b a
סוריות	s o ʁ j u t
סחטנות	s a χ t a n u t
סנד	s a n a d
סנטורים	s a n t u ʁ i m
עבותים	a v u t i m
עבי	a v i
עוגמת	o ɡ e m e t
עטוי	a t u j
עטייה	a t i j a
עיוותי	i v a t i
עירה	i ʁ a
עלת	a l a t
עמלי	a m l i
עקבנו	a k b a n u
עקה	a k a
פאז	p a a z
פדן	p a d a n
פולים	p o l i m
פולינה	p o l i n a
פוליסה	p o l i s a
פולסקי	p o l s a k i
פונדקאי	p o n d k a j
פטירתם	p t i ʁ t e m
פיזיולוגיות	p i z j o l o ɡ j u t
פינויים	p i n u j i m
פיניש	p i n i ʃ
פלאנק	p a l a n a k
פלזה	p a l a z a
פרזות	p a ʁ z u t
פריקות	p ʁ i k u t
פרעתי	p a ʁ a t i
פררה	p a ʁ a ʁ a
פתורים	p a t u ʁ i m
ציטטתי	t͡s i t a t i
צילמנו	t͡s i l m a n u
צלוחית	t͡s a l u χ i t
קאב	k a a v
קווינסלנד	k v i n s l a n d
קומפני	k o m p a n i
קונטיננטל	k o n t i n a n t e l
קיסרות	k i s ʁ u t
קליפר	k l i p e ʁ
קמאי	k a m a j
קמדן	k a m d a n
ריגשי	ʁ i ɡ ʃ i
ריכוזם	ʁ i χ u z e m
רעמת	ʁ a a m e t
רפד	ʁ a f a d
שאילץ	ʃ e i l e t͡s
שאלימות	ʃ e e l i m u t
שבאב	ʃ a v a v
שבפני	ʃ a v p a n i
שדרושה	ʃ a d ʁ u ʃ a
שהידיעה	ʃ e h i d i a
שהתבקש	ʃ e h i t b e k e ʃ
שחנתה	ʃ a χ n a t a
שחס	ʃ a χ a s
שימה	ʃ i m a
שכינס	ʃ χ i n e s
שכינתה	ʃ χ i n t a
שליפת	ʃ l i f e t
שמסיבה	ʃ i m s i v a
שמסע	ʃ i m s a
שמקורות	ʃ i m k o ʁ u t
שמקרה	ʃ i m k a ʁ a
שמרוויח	ʃ i m ʁ a v i a χ
שמשיג	ʃ i m ʃ i ɡ
שנזרקו	ʃ i n z a ʁ k o
שנל	ʃ a n a l
שרבינו	ʃ a ʁ b i n u
שרובי	ʃ a ʁ u v i
ששרפו	ʃ i ʃ ʁ a f u
שתבחן	ʃ i t b a χ a n
תבשילין	t a v ʃ i l i n
תחבורת	t a χ b u ʁ e t
תכתיב	t a χ t i v
תלולות	t a l u l u t
תליא	t a l j a
תליתי	t a l i t i
תמיהות	t a m i h u t
תסע	t a s a
תקציבה	t a k t͡s i v a
תקרוס	t a k ʁ o s
תרומתן	t ʁ u m t a n
תריץ	t ʁ i t͡s
תשבחות	t i ʃ b a χ u t
aka	a k a
gone	ɡ o n e
joy	d͡ʒ o j
kill	k i l
lan	l a n
levi	l e v i
levy	l e v i
luck	l u k
mass	m a s
sale	s a l e
shot	ʃ o t
sites	s i t e s
window	w i n d o w
אבטליון	a v t a l j o n
אדירי	a d i ʁ i
אידר	i d e ʁ
איזיס	i z i s
אימאם	i m a m
אינטראקטיביות	i n t ʁ a k t i v j u t
איקונין	i k o n i n
אכניס	a χ n i s
אלגזי	a l ɡ a z i
אליפטי	a l i p t i
אמאן	a m a n
אמרין	a m ʁ i n
אנטמן	a n t a m a n
אפריקאיות	a f ʁ i k a j u t
אצן	a t͡s a n
אקזיט	a k z i t
באפשרותה	b e a f ʃ a ʁ u t a
בהוט	b e h u t
בהיצע	b e h i t͡s a
בהעתקת	b e e t e k e t
בודן	b o d e n
בוויסות	b a v i s u t
בונפרטה	b o n p a ʁ t a
בורמן	b o ʁ m a n
בחסותה	b a χ s u t a
בחרן	b a χ ʁ a n
בירגר	b i ʁ ɡ e ʁ
בירדוגו	b i ʁ d u ɡ o
