deus	d ew s
fotogrametria	f o t o ɡ ɾ ɐ m e t ɾ i ɐ
francia	f ɾ ɐ̃ s i ɐ
frappuccino	f ɾ ɐ p p u k s ĩ n u
frobisher	f ɾ o b i ʃ e ɹ
fronts	f ɾ õ t ʃ s
funding	f ũ d ʒ ĩ ɡ
fungicidas	f ũ ʒ i s i d ɐ s
furinhos	f u ɾ ĩ ɲ u s
fuste	f u s t ʃ i
fóra	f ɔ ɾ ɐ
gabu	ɡ ɐ b u
ganache	ɡ ɐ n ɐ ʃ i
ganhávamos	ɡ ɐ ɲ ɐ v ɐ m u s
gargano	ɡ ɐ ʁ ɡ ɐ̃ n u
garona	ɡ ɐ ɾ õ n ɐ
geisha	ʒ ej ʃ ɐ
gelei	ʒ e l ej
gentoo	ʒ ẽ t o u
georgy	ʒ e o ʁ ɡ i
georreferenciadas	ʒ e o ʁ e f e ɾ ẽ s i ɐ d ɐ s
germinativas	ʒ e ʁ m ĩ n ɐ t ʃ i v ɐ s
gla	ɡ l ɐ
glandulares	ɡ l ɐ̃ d u l ɐ ɾ i s
golding	ɡ ow d ʒ ĩ ɡ
gorky	ɡ o ɹ k i
gostosinhas	ɡ o s t o z ĩ ɲ ɐ s
gott	ɡ o t ʃ t ʃ
graciele	ɡ ɾ ɐ s i e l i
grampeou	ɡ ɾ ɐ̃ p e ow
grandiosamente	ɡ ɾ ɐ̃ d ʒ i ɔ z ɐ m ẽ t ʃ i
greed	ɡ ɾ e e d ʒ
grizz	ɡ ɾ i z s
groupies	ɡ ɾ ow p i i s
guina	ɡ ĩ n ɐ
gung	ɡ ũ ɡ
gustafson	ɡ u s t ɐ f s õ
habitos	ɐ b i t u s
habituamos	ɐ b i t u ɐ̃ m u s
haight	ɐj ɡ t ʃ
halfeld	ɐw f ew d ʒ
hamburguers	ɐ̃ b u ʁ ɡ e ɹ s
harish	ɐ ɾ i ʃ
hatsune	ɐ t ʃ s ũ n i
headhunter	e ɐ d ũ t e ɹ
helenístico	e l e n i s t ʃ i k u
henny	ẽ n i
hesito	e z i t u
hibernam	i b e ʁ n ɐ̃w̃
hibiki	i b i k i
hidrolisado	i d ɾ o l i z ɐ d u
highlanders	i ɡ l ɐ̃ d e ɹ s
hippolyte	i p p ow i t ʃ i
hirst	i ɹ s t ʃ
hoenn	o ẽ n
hollows	ow l ow s
homeopática	o m e o p ɐ t ʃ i k ɐ
homogéneo	o m o ʒ ɛ n e u
hoppe	o p p i
horde	o ʁ d ʒ i
hoth	o t ʃ
hughie	u ɡ i
hus	uj s
iacute	i ɐ k u t ʃ i
ibicuí	i b i k u i
ibp	i b p
ieclb	i e k w b
iida	i i d ɐ
ilma	iw m ɐ
ilustríssima	i l u s t ɾ i s ĩ m ɐ
imagiologia	ĩ m ɐ ʒ i o l o ʒ i ɐ
imortalizados	ĩ m o ɹ t ɐ l i z ɐ d u s
implementem	ĩ p l e m ẽ t ẽj̃
implode	ĩ p l o d ʒ i
inanimada	ĩ n ɐ n ĩ m ɐ d ɐ
inapta	ĩ n ɐ p t ɐ
incitados	ĩ s i t ɐ d u s
incomodasse	ĩ k o m o d ɐ s i
incrustados	ĩ k ɾ u s t ɐ d u s
incómoda	ĩ k ɔ m o d ɐ
indelicadeza	ĩ d e l i k ɐ d e z ɐ
infestar	ĩ f e s t ɐ ɹ
inimputáveis	ĩ n ĩ p u t ɐ v ej s
inimputável	ĩ n ĩ p u t ɐ v ew
instigados	ĩ s t ʃ i ɡ ɐ d u s
instigaram	ĩ s t ʃ i ɡ ɐ ɾ ɐ̃w̃
instigação	ĩ s t ʃ i ɡ ɐ s ɐ̃w̃
instituidor	ĩ s t ʃ i t uj d o ɹ
instruction	ĩ s t ɾ u k t ʃ i õ
intended	ĩ t ẽ d e d ʒ
intensificados	ĩ t ẽ s i f i k ɐ d u s
interpretaria	ĩ t e ɹ p ɾ e t ɐ ɾ i ɐ
invalidando	ĩ v ɐ l i d ɐ̃ d u
invejei	ĩ v e ʒ ej
inverse	ĩ v e ɹ s i
invocaram	ĩ v o k ɐ ɾ ɐ̃w̃
invulnerabilidade	ĩ v u w n e ɾ ɐ b i l i d ɐ d ʒ i
ippar	i p p ɐ ɹ
ippon	i p p õ
jaan	ʒ ɐ ɐ̃
jabari	ʒ ɐ b ɐ ɾ i
jaborandi	ʒ ɐ b o ɾ ɐ̃ d ʒ i
jaded	ʒ ɐ d e d ʒ
jaimie	ʒ ɐ ĩ m i
jaja	ʒ ɐ ʒ ɐ
jalil	ʒ ɐ l iw
jeni	ʒ e n i
joann	ʒ o ɐ̃ n
joliet	ʒ o l i e t ʃ
jonathon	ʒ o n ɐ t õ
junko	ʒ ũ k u
juridica	ʒ u ɾ i d ʒ i k ɐ
jusnaturalismo	ʒ u z n ɐ t u ɾ ɐ l i z m u
kako	k ɐ k u
kanata	k ɐ n ɐ t ɐ
kanté	k ɐ̃ t ɛ
kanui	k ɐ n uj
kcl	k k w
kegel	k e ʒ ɛw
kerim	k e ɾ ĩ
kerri	k e ʁ i
kham	k ɐ̃w̃
khatib	k ɐ t ʃ i b
kik	k i k
koopa	k o o p ɐ
kray	k ɾ ɐ i
kuo	k u u
kyocera	k j o s e ɾ ɐ
labia	l ɐ b i ɐ
laborar	l ɐ b o ɾ ɐ ɹ
laboriosa	l ɐ b o ɾ i ɔ z ɐ
lantern	l ɐ̃ t e ʁ n
lanvin	l ɐ̃ v ĩ
lavatórios	l ɐ v ɐ t ɔ ɾ i u s
laçador	l ɐ s ɐ d o ɹ
lede	l e d ʒ i
legitimou	l e ʒ i t ʃ ĩ m ow
lemond	l e m õ d ʒ
levinha	l e v ĩ ɲ ɐ
leviosa	l e v i ɔ z ɐ
licenciando	l i s ẽ s i ɐ̃ d u
lidaria	l i d ɐ ɾ i ɐ
lidarmos	l i d ɐ ʁ m u s
lightweight	l i ɡ t ʃ w ej ɡ t ʃ
limitadores	l ĩ m i t ɐ d o ɾ i s
lindelof	l ĩ d e l o f
lindon	l ĩ d õ
lipschitz	l i p s ʃ i t ʃ s
lisbela	l i z b ɛ l ɐ
listaram	l i s t ɐ ɾ ɐ̃w̃
livras	l i v ɾ ɐ s
lohmann	l o m ɐ̃ n
longevo	l õ ʒ e v u
lorazepam	l o ɾ ɐ z e p ɐ̃w̃
lovat	l o v ɐ t ʃ
lowenstein	l ow ẽ s t e ĩ
loyal	l oj ɐw
lsb	w z b
lujan	l u ʒ ɐ̃
lukasz	l u k ɐ z s
luminescência	l ũ m ĩ n e s s ẽ s i ɐ
luxuosamente	l u ʃ u ɔ z ɐ m ẽ t ʃ i
machadão	m ɐ ʃ ɐ d ɐ̃w̃
madigan	m ɐ d ʒ i ɡ ɐ̃
magrinhos	m ɐ ɡ ɾ ĩ ɲ u s
mahabharata	m ɐ ɐ b ɐ ɾ ɐ t ɐ
malato	m ɐ l ɐ t u
malco	m ɐw k u
malhou	m ɐ ʎ ow
mandrião	m ɐ̃ d ɾ i ɐ̃w̃
marado	m ɐ ɾ ɐ d u
maritime	m ɐ ɾ i t ʃ ĩ m i
markt	m ɐ ɹ k t ʃ
marmotas	m ɐ ʁ m o t ɐ s
marshmello	m ɐ ɹ ʃ m ɛw l u
masashi	m ɐ z ɐ ʃ i
massacram	m ɐ s ɐ k ɾ ɐ̃w̃
mastite	m ɐ s t ʃ i t ʃ i
masturbo	m ɐ s t u ʁ b u
matricule	m ɐ t ɾ i k u l i
matura	m ɐ t u ɾ ɐ
mccallister	m k k ɐw l i s t e ɹ
medonhas	m e d õ ɲ ɐ s
mentisse	m ẽ t ʃ i s i
messengers	m e s ẽ ʒ e ɹ s
metrôrio	m e t ɾ o ɾ i u
metódicos	m e t ɔ d ʒ i k u s
mga	m ɡ ɐ
micheline	m i ʃ e l ĩ n i
micropigmentação	m i k ɾ o p i ɡ m ẽ t ɐ s ɐ̃w̃
midsummer	m i d ʒ s ũ m e ɹ
mijão	m i ʒ ɐ̃w̃
minimize	m ĩ n ĩ m i z i
ministrava	m ĩ n i s t ɾ ɐ v ɐ
miquelon	m i k e l õ
mirjana	m i ʁ ʒ ɐ̃ n ɐ
mocó	m o k ɔ
modules	m o d u l i s
mofando	m o f ɐ̃ d u
mog	m o ɡ
monteith	m õ t ej t ʃ
monáe	m o n ɐj
moog	m o o ɡ
morimoto	m o ɾ ĩ m o t u
mortíferas	m o ɹ t ʃ i f e ɾ ɐ s
mothra	m o t ɾ ɐ
motivava	m o t ʃ i v ɐ v ɐ
mousinho	m ow z ĩ ɲ u
moyses	m o i s i s
muiiiito	m uj i i i t u
muitíssima	m uj t ʃ i s ĩ m ɐ
mulcahy	m u w k ɐ i
multicelulares	m u w t ʃ i s e l u l ɐ ɾ i s
musgrave	m u z ɡ ɾ ɐ v i
mutar	m u t ɐ ɹ
mutualismo	m u t u ɐ l i z m u
máter	m ɐ t e ɹ
nagaland	n ɐ ɡ ɐ l ɐ̃ d ʒ
nanami	n ɐ n ɐ m i
napo	n ɐ p u
napoleônicas	n ɐ p o l e o n i k ɐ s
naru	n ɐ ɾ u
naser	n ɐ z e ɹ
nassim	n ɐ s ĩ
negará	n e ɡ ɐ ɾ ɐ
neis	n ej s
neyman	n e i m ɐ̃
neópolis	n e ɔ p o l i s
nickerson	n i k k e ɹ s õ
niners	n ĩ n e ɹ s
ningxia	n ĩ ɡ ʃ i ɐ
nominado	n o m ĩ n ɐ d u
noviças	n o v i s ɐ s
nuba	n u b ɐ
ní	n i
númenor	n u m e n o ɹ
observasse	o b s e ʁ v ɐ s i
oiee	oj e i
omita	o m i t ɐ
ondine	õ d ʒ ĩ n i
onívoros	o n i v o ɾ u s
operasse	o p e ɾ ɐ s i
opine	o p ĩ n i
oporem	o p o ɾ ẽj̃
opressoras	o p ɾ e s o ɾ ɐ s
orani	o ɾ ɐ n i
orbán	o ʁ b ɐ n
organico	o ʁ ɡ ɐ n i k u
orioles	o ɾ i o l i s
orquestradas	o ɹ k e s t ɾ ɐ d ɐ s
ostermann	o s t e ʁ m ɐ̃ n
outworld	ow t ʃ w o ɹ w d ʒ
ovariano	o v ɐ ɾ i ɐ̃ n u
pachinko	p ɐ ʃ ĩ k u
padecia	p ɐ d e s i ɐ
palacetes	p ɐ l ɐ s e t ʃ i s
paliativa	p ɐ l i ɐ t ʃ i v ɐ
pancreática	p ɐ̃ k ɾ e ɐ t ʃ i k ɐ
pansexual	p ɐ̃ s e k s u ɐw
papicu	p ɐ p i k u
paquerador	p ɐ k e ɾ ɐ d o ɹ
paranoias	p ɐ ɾ ɐ n oj ɐ s
paranóicos	p ɐ ɾ ɐ n ɔj k u s
parody	p ɐ ɾ o d ʒ i
partissem	p ɐ ɹ t ʃ i s ẽj̃
paspalho	p ɐ s p ɐ ʎ u
patrizia	p ɐ t ɾ i z i ɐ
patrizio	p ɐ t ɾ i z i u
pequinês	p e k ĩ n e s
periodontite	p e ɾ i o d õ t ʃ i t ʃ i
permanências	p e ʁ m ɐ n ẽ s i ɐ s
persson	p e ɹ s õ
pertencessem	p e ɹ t ẽ s e s ẽj̃
piketty	p i k e t ʃ t ʃ i
piloso	p i l o z u
pimenteiras	p ĩ m ẽ t ej ɾ ɐ s
piroso	p i ɾ o z u
pissarro	p i s ɐ ʁ u
pitas	p i t ɐ s
pituca	p i t u k ɐ
plaquetária	p l ɐ k e t ɐ ɾ i ɐ
platónico	p l ɐ t ɔ n i k u
ple	p l i
pluft	p l u f t ʃ
pmmg	p m m ɡ
pompéu	p õ p ɛw
poquinho	p o k ĩ ɲ u
porreiros	p o ʁ ej ɾ u s
portmanteau	p o ɹ t ʃ m ɐ̃ t e ɐw
postulando	p o s t u l ɐ̃ d u
predeterminada	p ɾ e d e t e ʁ m ĩ n ɐ d ɐ
predeterminados	p ɾ e d e t e ʁ m ĩ n ɐ d u s
preferences	p ɾ e f e ɾ ẽ s i s
presentearam	p ɾ e z ẽ t e ɐ ɾ ɐ̃w̃
princ	p ɾ ĩ k
printf	p ɾ ĩ t ʃ f
projeteis	p ɾ o ʒ e t ej s
proletárias	p ɾ o l e t ɐ ɾ i ɐ s
prolixo	p ɾ o l i k s u
pronominal	p ɾ o n o m ĩ n ɐw
propagador	p ɾ o p ɐ ɡ ɐ d o ɹ
propositado	p ɾ o p o z i t ɐ d u
prosódia	p ɾ o z ɔ d ʒ i ɐ
pulasse	p u l ɐ s i
pvd	p v d ʒ
pérignon	p ɛ ɾ i ɡ n õ
pónei	p ɔ n ej
quahog	k w ɐ o ɡ
quantifica	k w ɐ̃ t ʃ i f i k ɐ
querelante	k e ɾ e l ɐ̃ t ʃ i
queta	k e t ɐ
raab	ʁ ɐ ɐ b
raide	ʁ ɐj d ʒ i
raimondo	ʁ ɐ ĩ m õ d u
raiou	ʁ ɐj ow
rajeev	ʁ ɐ ʒ e e v
raonic	ʁ ɐ õ n i k
rathbone	ʁ ɐ t b õ n i
ravióli	ʁ ɐ v i ɔ l i
rdio	ʁ d ʒ i u
reaparecendo	ʁ e ɐ p ɐ ɾ e s ẽ d u
reaproveitada	ʁ e ɐ p ɾ o v ej t ɐ d ɐ
rebelarem	ʁ e b e l ɐ ɾ ẽj̃
reboliço	ʁ e b o l i s u
rebordosa	ʁ e b o ʁ d ɔ z ɐ
rechaço	ʁ e ʃ ɐ s u
recreation	ʁ e k ɾ e ɐ t ʃ i õ
recriá	ʁ e k ɾ i ɐ
recuperador	ʁ e k u p e ɾ ɐ d o ɹ
regenerou	ʁ e ʒ e n e ɾ ow
regret	ʁ e ɡ ɾ e t ʃ
reias	ʁ ej ɐ s
relegadas	ʁ e l e ɡ ɐ d ɐ s
releio	ʁ e l ej u
relembramos	ʁ e l ẽ b ɾ ɐ̃ m u s
relutar	ʁ e l u t ɐ ɹ
rematada	ʁ e m ɐ t ɐ d ɐ
replicam	ʁ e p l i k ɐ̃w̃
repreensível	ʁ e p ɾ e ẽ s i v ew
representassem	ʁ e p ɾ e z ẽ t ɐ s ẽj̃
rescinde	ʁ e s ĩ d ʒ i
resenhando	ʁ e z e ɲ ɐ̃ d u
resgatarem	ʁ e z ɡ ɐ t ɐ ɾ ẽj̃
resistirei	ʁ e z i s t ʃ i ɾ ej
resmas	ʁ e z m ɐ s
respeto	ʁ e s p e t u
retirement	ʁ e t ʃ i ɾ e m ẽ t ʃ
retrataram	ʁ e t ɾ ɐ t ɐ ɾ ɐ̃w̃
retrete	ʁ e t ɾ e t ʃ i
retribuirei	ʁ e t ɾ i b uj ɾ ej
retrocompatibilidade	ʁ e t ɾ o k õ p ɐ t ʃ i b i l i d ɐ d ʒ i
retrospectivo	ʁ e t ɾ o s p e k t ʃ i v u
revezes	ʁ e v e z i s
rewards	ʁ ew ɐ ʁ d ʒ s
ribs	ʁ i b s
ringtone	ʁ ĩ ɡ t õ n i
rodavam	ʁ o d ɐ v ɐ̃w̃
rotavírus	ʁ o t ɐ v i ɾ u s
routine	ʁ ow t ʃ ĩ n i
russians	ʁ u s i ɐ̃ s
sacodem	s ɐ k o d ẽj̃
sacros	s ɐ k ɾ u s
saiamos	s ɐj ɐ̃ m u s
sain	s ɐ ĩ
sait	s ɐj t ʃ
salafistas	s ɐ l ɐ f i s t ɐ s
sanseverino	s ɐ̃ s e v e ɾ ĩ n u
saran	s ɐ ɾ ɐ̃
savant	s ɐ v ɐ̃ t ʃ
schenectady	s ʃ e n e k t ɐ d ʒ i
schweppes	s ʃ w e p p i s
scopus	s k o p uj s
seale	s e ɐ l i
secundario	s e k ũ d ɐ ɾ i u
senhorzinho	s e ɲ o ʁ z ĩ ɲ u
sentimentalista	s ẽ t ʃ ĩ m ẽ t ɐ l i s t ɐ
serejo	s e ɾ e ʒ u
sereníssima	s e ɾ e n i s ĩ m ɐ
serta	s e ɹ t ɐ
shallow	ʃ ɐw l ow
shantala	ʃ ɐ̃ t ɐ l ɐ
shimoda	ʃ ĩ m o d ɐ
shinhwa	ʃ ĩ ɲ w ɐ
shocking	ʃ o k k ĩ ɡ
shoping	ʃ o p ĩ ɡ
shutter	ʃ u t ʃ t e ɹ
sikhs	s i k s
silencie	s i l ẽ s i
silicatos	s i l i k ɐ t u s
simango	s ĩ m ɐ̃ ɡ u
simplificações	s ĩ p l i f i k ɐ s õj̃ s
sindh	s ĩ d ʒ
siquém	s i k ẽj̃
sist	s i s t ʃ
skateboarding	s k ɐ t e b o ɐ ʁ d ʒ ĩ ɡ
skeet	s k e e t ʃ
slovak	s l o v ɐ k
smurfette	s m u ɹ f e t ʃ t ʃ i
snp	s n p
soames	s o ɐ̃ m i s
sobres	s o b ɾ i s
sobreviverei	s o b ɾ e v i v e ɾ ej
sociopatia	s o s i o p ɐ t ʃ i ɐ
sodomitas	s o d o m i t ɐ s
soil	s oj w
solucionador	s o l u s i o n ɐ d o ɹ
solveig	s ow v ej ɡ
soundwave	s ow n d ʒ w ɐ v i
spiegelman	s p i e ʒ ew m ɐ̃
spreading	s p ɾ e ɐ d ʒ ĩ ɡ
sprinklers	s p ɾ ĩ k l e ɹ s
sram	s ɾ ɐ̃w̃
sre	s ɾ i
ssb	s z b
stilton	s t ʃ iw t õ
stockman	s t o k k m ɐ̃
subdural	s u b d u ɾ ɐw
subtraída	s u b t ɾ ɐ i d ɐ
superaquecido	s u p e ɾ ɐ k e s i d u
supercombo	s u p e ɹ k õ b u
superprotetor	s u p e ɹ p ɾ o t e t o ɹ
supplies	s u p p l i i s
sustentarem	s u s t ẽ t ɐ ɾ ẽj̃
syl	s iw
sérico	s ɛ ɾ i k u
tabira	t ɐ b i ɾ ɐ
tamerlane	t ɐ m e ɹ l ɐ̃ n i
tarkovsky	t ɐ ɹ k o v s k i
tarobá	t ɐ ɾ o b ɐ
tatsuo	t ɐ t ʃ s u u
temesse	t e m e s i
tenras	t ẽ ɾ ɐ s
teocrático	t e o k ɾ ɐ t ʃ i k u
teorizando	t e o ɾ i z ɐ̃ d u
teosófica	t e o z ɔ f i k ɐ
terrain	t e ʁ ɐ ĩ
textiles	t e s t ʃ i l i s
threats	t ɾ e ɐ t ʃ s
thrills	t ɾ iw w s
tiaraju	t ʃ i ɐ ɾ ɐ ʒ u
titre	t ʃ i t ɾ i
tng	t ʃ n ɡ
tocarmos	t o k ɐ ʁ m u s
todorov	t o d o ɾ o v
tontinha	t õ t ʃ ĩ ɲ ɐ
topanga	t o p ɐ̃ ɡ ɐ
tranquility	t ɾ ɐ̃ k j l i t ʃ i
transiente	t ɾ ɐ̃ z i ẽ t ʃ i
transmissao	t ɾ ɐ̃ z m i s ɐw
transpirando	t ɾ ɐ̃ s p i ɾ ɐ̃ d u
transportarem	t ɾ ɐ̃ s p o ɹ t ɐ ɾ ẽj̃
trapezoidal	t ɾ ɐ p e z oj d ɐw
triunfado	t ɾ i ũ f ɐ d u
triunfando	t ɾ i ũ f ɐ̃ d u
triunfará	t ɾ i ũ f ɐ ɾ ɐ
trol	t ɾ ɔ w
troopers	t ɾ o o p e ɹ s
tropeçado	t ɾ o p e s ɐ d u
trouxerem	t ɾ ow ʃ e ɾ ẽj̃
tskhinvali	t ʃ s k ĩ v ɐ l i
tta	t ʃ t ɐ
turley	t u ɹ l e i
twd	t ʃ w d ʒ
twists	t ʃ w i s t ʃ s
uems	u ẽ s
uic	uj k
ulf	u w f
ultimatum	u w t ʃ ĩ m ɐ t ũ
ultrassecreto	u w t ɾ ɐ s e k ɾ e t u
unforgettable	ũ f o ʁ ʒ e t ʃ t ɐ b l i
unisc	ũ n i s k
upstream	u p s t ɾ e ɐ̃w̃
urbes	u ʁ b i s
varro	v ɐ ʁ u
vasoconstrição	v ɐ z o k õ s t ɾ i s ɐ̃w̃
vazava	v ɐ z ɐ v ɐ
vendada	v ẽ d ɐ d ɐ
vendrell	v ẽ d ɾ ew w
ventres	v ẽ t ɾ i s
verb	v e ʁ b
vereança	v e ɾ e ɐ̃ s ɐ
vermelhinha	v e ʁ m e ʎ ĩ ɲ ɐ
victoriano	v i k t o ɾ i ɐ̃ n u
vidéo	v i d ɛ u
violentados	v i o l ẽ t ɐ d u s
virgen	v i ʁ ʒ ẽ
visaram	v i z ɐ ɾ ɐ̃w̃
vitimiza	v i t ʃ ĩ m i z ɐ
vivara	v i v ɐ ɾ ɐ
vocs	v o k s
voulez	v ow l ej s
vrai	v ɾ ɐj
vts	v t ʃ s
wagstaff	w ɐ ɡ s t ɐ f f
washing	w ɐ ʃ ĩ ɡ
winton	w ĩ t õ
woodbridge	w o o d ʒ b ɾ i d ʒ ʒ i
yane	j ɐ̃ n i
yasuda	j ɐ z u d ɐ
yuno	j ũ n u
zonda	z õ d ɐ
aar	ɐ ɐ ɹ
abafador	ɐ b ɐ f ɐ d o ɹ
abalone	ɐ b ɐ l õ n i
abcs	ɐ b k s
abdomem	ɐ b d õ m ẽj̃
abençoem	ɐ b ẽ s o ẽj̃
abetos	ɐ b e t u s
abolindo	ɐ b o l ĩ d u
abortando	ɐ b o ɹ t ɐ̃ d u
abul	ɐ b u w
acabares	ɐ k ɐ b ɐ ɾ i s
acabá	ɐ k ɐ b ɐ
acarinhado	ɐ k ɐ ɾ ĩ ɲ ɐ d u
accurate	ɐ k k u ɾ ɐ t ʃ i
aceleradoras	ɐ s e l e ɾ ɐ d o ɾ ɐ s
acendiam	ɐ s ẽ d ʒ i ɐ̃w̃
acirrados	ɐ s i ʁ ɐ d u s
acobertado	ɐ k o b e ɹ t ɐ d u
acompanhassem	ɐ k õ p ɐ ɲ ɐ s ẽj̃
activados	ɐ k t ʃ i v ɐ d u s
actuado	ɐ k t u ɐ d u
acupunturista	ɐ k u p ũ t u ɾ i s t ɐ
adailton	ɐ d ɐj w t õ
adaptive	ɐ d ɐ p t ʃ i v i
addresses	ɐ d ʒ d ɾ e s i s
ademilson	ɐ d e m iw s õ
aderências	ɐ d e ɾ ẽ s i ɐ s
administramos	ɐ d ʒ m ĩ n i s t ɾ ɐ̃ m u s
adulyadej	ɐ d u w j ɐ d e ʒ
aereo	ɐj ɾ e u
aeromodelos	ɐj ɾ o m o d e l u s
afis	ɐ f i j s
agarradinho	ɐ ɡ ɐ ʁ ɐ d ʒ ĩ ɲ u
agarramos	ɐ ɡ ɐ ʁ ɐ̃ m u s
agarras	ɐ ɡ ɐ ʁ ɐ s
agen	ɐ ʒ ẽ
aguentará	ɐ ɡ ẽ t ɐ ɾ ɐ
ailee	ɐj l e i
ajudaste	ɐ ʒ u d ɐ s t ʃ i
ajustaram	ɐ ʒ u s t ɐ ɾ ɐ̃w̃
akele	ɐ k e l i
albedo	ɐw b e d u
alceste	ɐw s e s t ʃ i
alcóolica	ɐw k ɔ o l i k ɐ
algibeira	ɐw ʒ i b ej ɾ ɐ
algueirão	ɐw ɡ ej ɾ ɐ̃w̃
alienou	ɐ l i ẽ n ow
amani	ɐ m ɐ n i
amps	ɐ̃ p s
analisasse	ɐ n ɐ l i z ɐ s i
anastacia	ɐ n ɐ s t ɐ s i ɐ
andropov	ɐ̃ d ɾ o p o v
anelka	ɐ n ɛw k ɐ
angulos	ɐ̃ ɡ u l u s
anika	ɐ n i k ɐ
animismo	ɐ n ĩ m i z m u
antidote	ɐ̃ t ʃ i d o t ʃ i
apelidam	ɐ p e l i d ɐ̃w̃
aportado	ɐ p o ɹ t ɐ d u
apostos	ɐ p o s t u s
apreciavam	ɐ p ɾ e s i ɐ v ɐ̃w̃
aprofundaram	ɐ p ɾ o f ũ d ɐ ɾ ɐ̃w̃
aprontei	ɐ p ɾ õ t ej
aquatico	ɐ k w ɐ t ʃ i k u
arian	ɐ ɾ i ɐ̃
arretado	ɐ ʁ e t ɐ d u
arriscarem	ɐ ʁ i s k ɐ ɾ ẽj̃
aréola	ɐ ɾ ɛ o l ɐ
asakura	ɐ z ɐ k u ɾ ɐ
assef	ɐ s e f
asssim	ɐ s ĩ
atendessem	ɐ t ẽ d e s ẽj̃
athletica	ɐ t l e t ʃ i k ɐ
atormentaram	ɐ t o ʁ m ẽ t ɐ ɾ ɐ̃w̃
autobiográficas	ɐw t o b i o ɡ ɾ ɐ f i k ɐ s
avr	ɐ v ɹ
ayumi	ɐj ũ m i
azerbaijano	ɐ z e ʁ b ɐj ʒ ɐ̃ n u
babau	b ɐ b ɐw
ballas	b ɐw l ɐ s
bally	b ɐw w i
balmoral	b ɐw m o ɾ ɐw
balneária	b ɐw n e ɐ ɾ i ɐ
banc	b ɐ̃ k
bancam	b ɐ̃ k ɐ̃w̃
bancava	b ɐ̃ k ɐ v ɐ
baralhada	b ɐ ɾ ɐ ʎ ɐ d ɐ
barolo	b ɐ ɾ o l u
basement	b ɐ z e m ẽ t ʃ
beetlejuice	b e e t l e ʒ uj s i
bellow	b ew l ow
beneficiarão	b e n e f i s i ɐ ɾ ɐ̃w̃
benoist	b e n oj s t ʃ
berchtesgaden	b e ɹ ʃ t e z ɡ ɐ d ẽ
beti	b e t ʃ i
bilateralmente	b i l ɐ t e ɾ ɐw m ẽ t ʃ i
biofilme	b i o f iw m i
biomarcadores	b i o m ɐ ɹ k ɐ d o ɾ i s
bisturis	b i s t u ɾ i j s
bjim	b ʒ ĩ
blac	b l ɐ k
blackrock	b l ɐ k k ɾ o k k
blackthorn	b l ɐ k k t o ʁ n
blasfémias	b l ɐ s f ɛ m i ɐ s
bloguistas	b l o ɡ j s t ɐ s
boco	b o k u
boll	b ow w
bombos	b õ b u s
borboletinha	b o ʁ b o l e t ʃ ĩ ɲ ɐ
borgias	b o ʁ ʒ i ɐ s
botanico	b o t ɐ n i k u
bouças	b ow s ɐ s
brener	b ɾ e n e ɹ
brujo	b ɾ u ʒ u
brunna	b ɾ ũ n ɐ
brônquica	b ɾ õ k j k ɐ
bul	b u w
bursa	b u ɹ s ɐ
cabelinhos	k ɐ b e l ĩ ɲ u s
cabreiro	k ɐ b ɾ ej ɾ u
caloira	k ɐ l oj ɾ ɐ
calumet	k ɐ l ũ m e t ʃ
cancelá	k ɐ̃ s e l ɐ
canguaretama	k ɐ̃ ɡ w ɐ ɾ e t ɐ̃ m ɐ
caprino	k ɐ p ɾ ĩ n u
captiva	k ɐ p t ʃ i v ɐ
carbamazepina	k ɐ ʁ b ɐ m ɐ z e p ĩ n ɐ
carleto	k ɐ ɹ l e t u
carp	k ɐ ɹ p
carrascalão	k ɐ ʁ ɐ s k ɐ l ɐ̃w̃
caryl	k ɐ ɹ iw
castelar	k ɐ s t e l ɐ ɹ
catena	k ɐ t ẽ n ɐ
cattle	k ɐ t ʃ t l i
cavalinha	k ɐ v ɐ l ĩ ɲ ɐ
cavalitas	k ɐ v ɐ l i t ɐ s
cdh	k d ʒ
cenho	s ẽ ɲ u
cerque	s e ɹ k i
cfd	k f d ʒ
cgm	k ɡ m
chavantes	ʃ ɐ v ɐ̃ t ʃ i s
checks	ʃ e k k s
chouriços	ʃ ow ɾ i s u s
chucha	ʃ u ʃ ɐ
chum	ʃ ũ
chumbos	ʃ ũ b u s
ciclofaixas	s i k l o f ɐj ʃ ɐ s
clo	k l u
colasanti	k o l ɐ z ɐ̃ t ʃ i
collector	k ow l e k t o ɹ
começadas	k o m e s ɐ d ɐ s
commissão	k õ m i s ɐ̃w̃
conclusion	k õ k l u z i õ
condi	k õ d ʒ i
confiarmos	k õ f i ɐ ʁ m u s
congratular	k õ ɡ ɾ ɐ t u l ɐ ɹ
conscienciologia	k õ s i ẽ s i o l o ʒ i ɐ
consistiram	k õ s i s t ʃ i ɾ ɐ̃w̃
contribuíam	k õ t ɾ i b u i ɐ̃w̃
convencesse	k õ v ẽ s e s i
convenio	k õ v e n i u
copista	k o p i s t ɐ
coronavac	k o ɾ o n ɐ v ɐ k
corpóreos	k o ɹ p ɔ ɾ e u s
correspondencia	k o ʁ e s p õ d ẽ s i ɐ
correspondent	k o ʁ e s p õ d ẽ t ʃ
corsan	k o ɹ s ɐ̃
costin	k o s t ʃ ĩ
