abad	a b a d
nangis	n a ŋ e s
nangka	n a ŋ k a
nanti	n a n t i
nasi	n a s i
nasib	n a s i b
nasionalistik	n a s i o n a l i s t i k
naskhah	n a s k a h
nasrani	n a s r a n i
natrium	n a t r i u m
naungan	n a o ŋ a n
nawa	n a w a
nazak	n a z a k
nazisme	n a s i z ə m
negara	n ə ɡ a r a
negeri	n ə ɡ ə r i
nek	n e k
nekad	n ə k a d
nekshar	n e k ʃ a
nenas	n ə n a s
nenda	n ə n d a
nenek	n e n e k
neon	n e ɔ n
neraka	n ə r a k a
ngam	ŋ a m
ngan	ŋ a n
nganga	ŋ a ŋ a
ngantuk	ŋ a n t o k
ngarai	ŋ a r a j
ngeong	ŋ e o ŋ
ngilu	ŋ i l u
ngok	ŋ o k
ngomong	ŋ o m o ŋ
ni	n i
niaga	n i a ɡ a
nihil	n i h e l
nila	n i l a
nilau	n i l a u̯
nipis	n i p e s
nipu	n i p u
nisa	n i s a
nitrogen	n a j t r o d͡ʒ ə n
noda	n o d a
nol	n o l
nombor	n o m b o
nona	a
nonilion	n ɔ n i l i o n
norway	n o r w e j
nostalgia	n o s t a l d͡ʒ i a
november	n o v e m b ə
novemdesilion	n o v ɛ m d ɛ s i l i o n
nusa	n u s a
nusantara	n u s a n t a r a
nya	ɲ a
nyahfros	ɲ a h f r o s
nyahpepijat	ɲ a h p ə p i d͡ʒ a t
nyahserpih	ɲ a h s ə r p i h
nyala	ɲ a l a
nyaman	ɲ a m a n
nyamuk	ɲ a m o k
nyata	ɲ a t a
nyawa	ɲ a w a
nyesal	ɲ ə s a l
nyiru	ɲ i r u
nyiur	ɲ i o
nyonya	ɲ o ɲ a
nyonyot	ɲ o ɲ o t
nyunyut	ɲ u ɲ o t
oasis	o a s i s
oder	o d ə
oftalmologi	o f t a l m o l o d͡ʒ i
oi	o i̯
okey	o k e
oksihidrogen	o k s i h a j d r o d͡ʒ ə n
okt	o k e t i
oktagon	o k t a ɡ o n
oktilion	o k t i l i o n
oktodesilion	o k t o d e s i l i o n
oku	o k e j u
olah	o l a h
olak	o l a k
oleh	o l e h
oman	o m a n
ombak	o m b a k
omnivor	o m n i v o r
online	o n l a i n
optimis	o p t i m i s
optimistik	o p t i m i s t i k
orait	ɔ r a i t
orak	o r a k
orang	o r a ŋ
oren	o r e n
org	o r a ŋ
organik	o r ɡ a n e k
organisma	o r ɡ a n i s m a
otai	o t a j
otak	o t a k
ovum	o v o m
pabila	p a b i l a
pacal	p a t͡ʃ a l
pacu	p a t͡ʃ u
pacuan	p a t͡ʃ u a n
padam	p a d a m
padang	p a d a ŋ
padat	p a d a t
paderi	p a d ə r i
padi	p a d i
paduka	p a d u k a
pagar	p a ɡ a
pagi	p a ɡ i
paha	p a h a
pahal	p a h a l
paham	p a h a m
pahang	p a h a ŋ
pahat	p a h a t
pahit	p a h i t
paip	p a i p
pajakan	p a d͡ʒ a k a n
pakai	p a k a j
pakaian	p a k a i a̯ n
pakal	p a k a l
pakar	p a k a
pakat	p a k a t
pakatan	p a k a t a n
paksi	p a k s i
paku	p a k u
pakwe	p a k w ə
pala	p a l a
paladium	p a l a d i o m
palang	p a l a ŋ
palapes	p a l a p e s
palatau	p a l a t a u̯
palau	p a l a u
paling	p a l e ŋ
palingan	p a l e ŋ ŋ a n
palingkan	p a l e ŋ k a n
palit	p a l e t
palma	p a l m a
palu	p a l u
pamah	p a m a h
paman	p a m a n
pamegat	p a m ə ɡ a t
pampang	p a m p a ŋ
panah	p a n a h
panas	p a n a s
panau	p a n a u̯
panca	p a n t͡ʃ a
pancaindera	p a n t͡ʃ a i n d ə r a
pancing	p a n t͡ʃ e ŋ
pancit	p a n t͡ʃ e t
pancung	p a n t͡ʃ u ŋ
pancuran	p a n t͡ʃ u r a n
panda	p a n d a
pandai	p a n d a j
pandan	p a n d a n
pandangan	p a n d a ŋ a n
pangan	p a ŋ a n
pangkat	p a ŋ k a t
pangsapuri	p a ŋ s a p u r i
panir	p a n i r
panjang	p a n d͡ʒ a ŋ
panjat	p a n d͡ʒ a t
panji	p a n d͡ʒ i
pankek	p a n k e k
pantai	p a n t a j
pantang	p a n t a ŋ
pantas	p a n t a s
papa	p a p a
papan	p a p a n
papar	p a p a r
para	p a r a
paraf	p a r a f
parang	p a r a ŋ
parap	p a r a p
parasit	p a r a s i t
parau	p a r a u̯
pari	p a r i
parkir	p a r k i r
parkiran	p a r k i r a n
parlimen	p a r l i m e n
parti	p a r t i
paru	p a r u
pasak	p a s a k
pasal	p a s a l
pasar	p a s a r
pasir	p a s e
paskal	p a s k a l
pasni	p a s n i
pasta	p a s t a
pasti	p a s t i
pastu	p a s t u
pat	p a t
patah	p a t a h
patera	p a t ə r a
pati	p a t i
patik	p a t e k
patin	p a t e n
patio	p a t i o
patuk	p a t o k
patung	p a t u ŋ
patut	p a t u t
pauh	p a u h
pawagam	p a w a ɡ a m
pawai	p a w a i̯
pawaka	p a w a k a
pawana	p a w a n a
pawang	p a w a ŋ
pawitera	p a w i t ə r a
payang	p a j a ŋ
payudara	p a j u d a r a
payung	p a j o ŋ
pbb	p i b i b i
pbrs	p i b i a r e s
pbs	p i b i e s
pdb	p i d i b i
pdrm	p i d i ʔ a r ʔ e m
pecah	p ə t͡ʃ a h
pecahan	p ə t͡ʃ a h a n
pecut	p ə t͡ʃ u t
pecutan	p ə t͡ʃ o t a n
pedas	p ə d a s
pedati	p ə d a t i
pedih	p ə d i h
pedoman	p ə d o m a n
peduli	p ə d u l i
pegang	p e ɡ a ŋ
pehal	p ə h a l
pejabat	p ə d͡ʒ a b a t
pejam	p ə d͡ʒ a m
pejoratif	p e d͡ʒ o r a t i f
pek	p e k
pekak	p e k a k
pekakkan	p ə k a k k a n
pekamus	p ə k a m o s
pekan	p ə k a n
pekembar	p ə k ə m b a
pekerja	p ə k ə d͡ʒ ə
pekerjaan	p ə k ə r d͡ʒ a a n
pelabuhan	p ə l a b o h a n
pelacur	p ə l a t͡ʃ o
pelajar	p ə l a d͡ʒ a
pelajaran	p ə l a d͡ʒ a r a n
pelakon	p ə l a k o n
pelam	p ə l a m
pelampau	p ə l a m p a w
pelana	p ə l a n a
pelancong	p ə l a n t͡ʃ o ŋ
pelancongan	p ə l a n t͡ʃ o ŋ a n
pelangi	p ə l a ŋ i
pelantar	p ə l a n t a r
pelarian	p ə l a r i a n
pelat	p e l a t
pelatuk	p ə l a t o k
pelawak	p ə l a w a k
pelayar	p ə l a j a
pelbagai	p ə l b a ɡ a j
pelengkung	p ə l ə ŋ k o ŋ
pelepah	p ə l ə p a h
pelestarian	p ə l e s t a r i a n
pelik	p ə l e k
pelincir	p ə l i n t͡ʃ e
pelipat	p ə l i p a t
pelita	p ə l i t a
peluh	p ə l u h
peluit	p ə l u i t
peluk	p ə l o k
pelumba	p ə l u m b a
peluntur	p ə l u n t o r
peluru	p ə l u r u
pemabuk	p ə m a b o k
pemacu	p ə m a t͡ʃ u
pemadam	p ə m a d a m
pemaju	p ə m a d͡ʒ u
pemakaian	p ə m a k a j a n
pemakanan	p ə m a k a n a n
pemali	p ə m a l i
pemampanan	p ə m a m p a n a n
pemanas	p ə m a n a s
pemancing	p ə m a n t͡ʃ e ŋ
pemandulan	p ə m a n d o l a n
pemangsa	p ə m a ŋ s a
pemasa	p ə m a s a
pembaharu	p ə m b a h a r u
pembandaran	p ə m b a n d a r a n
pembaris	p ə m b a r i s
pembayang	p ə m b a j a ŋ
pembela	p ə m b e l a
pembincang	p ə m b i n t͡ʃ a ŋ
pembunuh	p ə m b u n o h
pemburu	p ə m b u r u
pemerintah	p ə m ə r e n t a h
pemilih	p ə m i l i h
pemilik	p ə m i l e k
pemilikan	p ə m i l i k a n
pemimpin	p ə m i m p i n
peminat	p ə m i n a t
pemogok	p ə m o ɡ o k
pemogokan	p ə m o ɡ o k a n
pemotong	p ə m o t o ŋ
pempengaruh	p ə m p ə ŋ a r u h
pempuan	p ə m p u a n
penakut	p ə n a k o t
penampan	p ə n a m p a n
penara	p ə n a r a
penari	p ə n a r i
pencair	p ə n t͡ʃ a i r
pencemaran	p ə n t͡ʃ ə m a r a n
pencerobohan	p ə n t͡ʃ ə r o b o h a n
pencil	p ə n t͡ʃ e l
pencipta	p ə n t͡ʃ i p t a
pencuri	p ə n t͡ʃ u r i
pencurian	p ə n t͡ʃ u r i a n
pendap	p ə n d a p
pendapat	p ə n d a p a t
pendapatan	p ə n d a p a t a n
pendar	p ə n d a
pendarfosfor	p ə n d a f o s f o
pendatang	p ə n d a t a ŋ
pendeta	p ə n d e t a
pendiam	p ə n d i a m
pendidikan	p ə n d i d e k a n
pendingin	p ə n d i ŋ i n
penduduk	p ə n d u d o k
pendudukan	p ə n d u d o k i
penebuk	p ə n ə b o k
penekanan	p ə n ə k a n a n
pengagresif	p ə ŋ a ɡ r e s i f
pengajar	p ə ŋ a d͡ʒ a
pengaki	p ə ŋ a k i
pengaruh	p ə ŋ a r o h
pengasal	p ə ŋ a s a l
pengecualian	p ə ŋ ə t͡ʃ u a l i a n
pengedit	p ə ŋ e d i t
pengeditan	p ə ŋ e d i t a n
pengepala	p ə ŋ ə p a l a
pengerusi	p ə ŋ ə r u s i
pengetua	p ə ŋ ə t u a
pengganas	p ə ŋ ɡ a n a s
penggemar	p ə ŋ ɡ ə m a r
penggerek	p ə ŋ ɡ e r e ʔ
pengguling	p ə ŋ ɡ u l e ŋ
pengguna	p ə ŋ ɡ u n a
penggunaan	p ə ŋ ɡ u n a a n
penghitung	p ə ŋ h i t u ŋ
penghitungkan	p ə ŋ h i t u ɡ a n
penghutanan	p ə ŋ h u t a n a n
pengimpalan	p ə ŋ i m p a l a n
pengokot	p ə ŋ o k o t
pengulin	p ə ŋ u l i n
pengumpil	p ə ŋ u m p i l
pengundi	p ə ŋ u n d i
pengungkil	p ə ŋ u ŋ k i l
pengungkit	p ə ŋ u ŋ k i t
pening	p ə n i ŋ
peningkan	p ə n i ŋ k a n
penjajahan	p ə n d͡ʒ a d͡ʒ a h a n
penjara	p ə n d͡ʒ a r a
penjawab	p ə n d͡ʒ a w a b
penjenayah	p ə n d͡ʒ ə n a j a
penjepunan	p ə n d͡ʒ ə p u n a n
penjual	p ə n d͡ʒ u a l
penjuru	p ə n d͡ʒ u r u
penonton	p ə n o n t o n
pensel	p e n s e l
pensintesis	p ə n s i n t ə s i s
pensyarah	p ə n ʃ a r a h
pentadbiran	p ə n t a d b e r a n
penuaan	p ə n u a a n
penuh	p ə n u h
penundaan	p ə n u n d a a n
penunu	p ə n u n u
penutup	p ə n u t u p
penyahserpihan	p ə ɲ a h s ə r p i h a n
penyaji	p ə ɲ a d͡ʒ i
penyajian	p ə ɲ a d͡ʒ i a n
penyakit	p ə ɲ a k e t
penyanyi	p ə ɲ a ɲ i
penyapu	p ə ɲ a p u
penyederhanaan	p ə ɲ ə d ə r h a n a a n
penyelesaian	p ə ɲ ə l ə s a i̯ a n
penyembah	p ə ɲ ə m b a h
penyembahan	p ə ɲ ə m b a h a n
penyerap	p ə ɲ ə r a p
penyerpihan	p ə ɲ e p e h a n
penyesalan	p ə ɲ ə s a l a n
penyetempatan	p ə ɲ ə t ə m p a t a n
penyewa	p ə ɲ e w a
penyokong	p ə ɲ o k o ŋ
penyu	p ə ɲ u
pepatah	p ə p a t a h
pepatung	p ə p a t u ŋ
pepijat	p ə p i d͡ʒ a t
pepuah	p ə p u a h
perabot	p ə r a b o t
peradaban	p ə r a d a b a n
perah	p ə r a h
perahu	p ə r a h u
perajurit	p ə r a d͡ʒ u r e t
perak	p e r a ʔ
peran	p ə r a n
peranakan	p ə r a n a k a n
perancis	p ə r a n t͡ʃ i s
perang	p e r a ŋ
perangai	p ə r a ŋ a j
peras	p ə r a s
perasaan	p ə r a s a a n
peraturan	p ə r a t u r a n
peratus	p ə r a t u s
perau	p ə r a w
perbaharu	p ə r b a h a r u
perbarisan	p ə b a r e s a n
perbatasan	p ə b a t a s a n
perbezaan	p ə r b ɛ z a ʔ a n
perbincangan	p ə b i n t͡ʃ a ŋ a n
perbualan	p ə b u a l a n
percaya	p ə r t͡ʃ a j a
percit	p ə r t͡ʃ i t
percontohan	p ə r t͡ʃ o n t o h a n
percontohkan	p ə r t͡ʃ o n t o h k a n
percuma	p ə r t͡ʃ u m a
perempat	p ə r ə m p a t
perempuan	p ə r ə m p u a n
pergam	p ə r ɡ a m
pergerakan	p ə r ɡ ə r a k a n
perhatian	p ə h a t i a n
perhentian	p ə r h ə n t i a n
perhitungan	p ə r h i t u ɡ a n
perhutanan	p ə r h u t a n a n
peribahasa	p ə r i b a h a s a
perigi	p ə r i ɡ i
periksa	p ə r e k s ə
perisa	p ə r i s a
perisai	p ə r i s a j
perisian	p ə r i s i a n
peristirahatan	p ə r i s t i r a h a t a n
periuk	p ə r i o ʔ
perjanjian	p ə r d͡ʒ a n d͡ʒ i a n
perkaitan	p ə k a e t a n
perkakasan	p ə r k a k a s a n
perkamusan	p ə k a m o s a n
perkara	p ə k a ə
perkasa	p ə k a s ə
perkeso	p ə r k ə s o
perkhidmatan	p ə h i d m a t a n
perkosa	p ə k o s ə
perkuburan	p ə k u b u r a n
perlahan	p ə l a h a n
perlak	p ə l a k
perlebar	p ə l e b a
perlembagaan	p ə l e m b a ɡ a a n
perlepasan	p ə l ə p a s a n
perlis	p ə l e s
perlu	p ə r l u
permaidani	p ə r m a j d a n i
permaisuri	p ə m a j s u r i
permata	p ə r m a t a
permatang	p ə m a t a ŋ
pernah	p ə n a h
pernyataan	p ə r ɲ a t a a n
perompak	p ə r o m p a k
perosak	p ə r o s a k
persamaan	p ə r s a m a a n
persegi	p ə r s ə ɡ i
persekutuan	p ə r s ə k u t u a n
persembahan	p ə r s ə m b a h a n
persembahkan	p ə r s ə m b a h k a n
persen	p ə r s e n
persenyawaan	p ə r s ə r ɲ a w a a n
persilangan	p ə r s i l a ŋ a n
persimpangan	p ə r s i m p a ŋ a n
persuratan	p ə r s u r a t a n
pertahanan	p ə r t a h a n a n
pertama	p ə r t a m a
pertanda	p ə r t a n d a
pertontonkan	p ə r t o n t o n k a n
pertuan	p ə r t u a n
perumian	p ə r u m i a n
peruntukan	p ə r u n t u k a n
perut	p ə r o t
pes	p e s
pesal	p ə s a l
peseban	p ə s ɛ b a n
pesimis	p e s i m i s
pesimistik	p e s i m i s t i k
pesuruh	p ə s u r u h
peta	p ə t a
petai	p ə t a i̯
petak	p e t a k
petang	p ə t a ŋ
peti	p ə t i
petik	p ə t e k
petir	p ə t e
petisyen	p e t i ʃ ə n
petola	p ə t o l a
petrol	p e t r o l
petroliam	p ə t r o l i a m
petronas	p ə t r o n a s
petua	p ə t u a
pewarisan	p ə w a r i s a n
peygang	p e ɡ a ŋ
piadah	p ī a d a h
piala	p i a l a
piawai	p i a w a i̯
picing	p i t͡ʃ e ŋ
pidato	p i d a t o
pihak	p e h a k
pijak	p i d͡ʒ a k
pijar	p i d͡ʒ a
pijat	p i d͡ʒ a t
pikap	p i k a p
pikat	p i k a t
pikir	p i k i r
pilih	p i l i h
pilin	p i l e n
pinak	p i n a k
pinggan	p i ŋ ɡ a n
pinggang	p i ŋ ɡ a ŋ
pinjam	p i n d͡ʒ a m
pinta	p i n t a
pintar	p i n t a
pintu	p i n t u
pion	p i o n
pipi	p i p i
pipit	p i p e t
pirak	p i r a k
pirau	p i r a w
piring	p i r i ŋ
pirit	p i r i t
pisang	p i s a ŋ
pisau	p i s a u̯
piut	p i o t
piza	p i z a
pj	p i d͡ʒ e
pkm	p i k e e m
pkr	p i k e j a r
pks	p i k e j e s
playar	p l a j a
pmn	p i e m e n
pn	p i e n
pohon	p o h o n
poket	p o k e t
pokok	p o k o k
poligami	p o l i ɡ a m i
polis	p o l i s
polistirena	p o l i s t i r e n a
pompuan	p o m p u a n
pondan	p o n d a n
pongsu	p ɔ ŋ s u
ponteng	p o n t e ŋ
popia	p o p i a
portugal	p o r t u ɡ a l
pos	p o s
posyen	p o ʃ ə n
potong	p o t o ŋ
potongan	p o t o ŋ a n
poyang	p o j a ŋ
poyo	p o j o
pprs	p i p i a r e s
pragmatik	p r a ɡ m a t i k
pragmatis	p r a ɡ m a t i s
pragmatisme	p r a ɡ m a t i s m ə
praha	p r a h a
pramugari	p r a m u ɡ a r i
prang	p r a ŋ
prapembayaran	p r a p ə m b a j a r a n
prasarana	p r a s a r a n ə
prasasti	p r a s a s t i
pratonton	p r a t o n t o n
presiden	p r e s i d e n
presint	p r e s i n
prestij	p r e s t i d͡ʒ
probiotik	p r o b a i̯ o t i k
profesor	p r o f e s o
program	p r o ɡ r a m
projek	p r o d͡ʒ e k
proksi	p r o k s i
pru	p i a r j u
psikologi	p s i k o l o ɡ i
psm	p i e s e m
puan	p u a n
puas	p u a s
puasa	p u a s a
puaskan	p u a s k a n
puchong	p u t͡ʃ o ŋ
pucuk	p u t͡ʃ o k
pucung	p u t͡ʃ u ŋ
pudina	p u d i n a
pukang	p u k a ŋ
pukat	p u k a t
puki	p u k i
pukimak	p u k i m a k
pula	p u l a
pulak	p u l a k
pulang	p u l a ŋ
pulasan	p u l a s a n
pulau	p u l a w
puluh	p u l o h
pulun	p u l u n
pulut	p u l u t
punai	p u n a i̯
punat	p u n a t
punca	p u n t͡ʃ a
puncak	p u n t͡ʃ a k
pundek	p u n d e k
punggung	p u ŋ ɡ o ŋ
pungut	p u ŋ o t
punpun	p u n p u n
punti	p u n t i
puntianak	p u n t i a n a k
punya	p u ɲ a
pupil	p u p i l
pupuk	p u p o k
purata	p u r a t a
purnama	p u n a m ə
pusaka	p u s a k a
pusar	p u s a
pusat	p u s a t
pusing	p u s e ŋ
puspa	p u s p a
pustaka	p u s t a k a
putar	p u t a
putat	p u t a t
putd	p i j u t i d i
putera	p u t ə r a
puteri	p u t ə r i
putih	p u t e h
putra	p u t r a
putrajaya	p u t r a d͡ʒ a j a
putu	p u t u
putus	p u t o s
puyu	p u j u
puyuh	p u j o h
qasidah	q a s i d a h
qur'an	q u r ʔ a n
quran	k u r a n
rabu	r a b u
rabuk	r a b u k
rabun	r a b u n
racun	r a t͡ʃ o n
radio	r a d i o
ragbi	r a k b i
rahang	r a h a ŋ
rahim	r a h i m
rahmat	r a h m a t
raja	r a d͡ʒ a
rajah	r a d͡ʒ a h
rajin	r a d͡ʒ e n
rakan	r a k a n
rakit	r a k i t
raksa	r a k s a
raksasa	r a k s a s a
rama	r a m a
ramai	r a m a j
ramal	r a m a l
ramas	r a m a s
rambutan	r a m b o t a n
ramd	a r e e m d i
ramen	ɹ ɑː m ə n
rami	r a m i
rampok	r a m p o k
rangam	r a ŋ a m
rangkaian	r a ŋ k a i̯ a n
rangkak	r a ŋ k a k
rantau	r a n t a u̯
ranting	r a n t e ŋ
rapat	r a p a t
rapuh	r a p u h
rasa	r a s a
rasmi	r a s m i
rasuk	r a s o k
rata	r a t a
ratu	r a t u
ratus	r a t o s
raut	r a u t
rawa	r a w a
rawat	r a w a t
rawi	r a w i
realiti	r e a l i t i
rebah	r ə b a h
rebung	r ə b u ŋ
redang	r e d a ŋ
reformis	r e f o r m i s
rega	r ə ɡ a
regan	r e ɡ a n
regang	r ə ɡ a ŋ
regas	r ə ɡ a s
regat	r ə ɡ a t
regata	r e ɡ a t a
rege	r e ɡ e
regek	r e ɡ e k
rehat	r e h a t
rejab	r ə d͡ʒ a b
rejimen	r e d͡ʒ i m e n
rekreasi	r e k r e a s i
relatif	r e l a t i f
relativisme	r e l a t i v i s m a
relung	r ə l u ŋ
remayung	r ə m a j o ŋ
rembang	r ə m b a ŋ
rembayung	r ə m b a j o ŋ
rembulan	r ə m b u l a n
rempah	r ə m p a h
renang	r ə n a ŋ
rencana	r ə n t͡ʃ a n a
rendah	r ə n d a h
rendang	r e n d a ŋ
rengit	r ə ŋ i t
rentak	r ə n t a k
renungan	r ə n u ŋ a n
repek	r e p e ʔ
repet	r e p e t
republik	r e p u b l i k
republikanisme	r e p u b l i k a n i s m a
reriang	r ə r i a ŋ
resah	r ə s a h
resam	r ə s a m
resdung	r ə s d o ŋ
resit	r ə s i t
restoran	r e s t o r a n
reti	r ə t i
rezeki	r ə z ə k i
ria	r i a
riba	r i b a
ribi	r i b i
ribu	r i b u
riki	r i k i
rilek	r i l e k
rimau	r i m a w
rimba	r i m b a
rindu	r i n d u
ringan	r i ŋ a n
rintih	r i n t e h
risau	r i s a u̯
ritma	r i t m a
ritu	r i t u
riuh	r i u h
roboh	r o b o h
roda	r o d a
rogayah	r o ɡ a j a h
rogol	r o ɡ o l
roman	r o m a n
rombak	r o m b a ʔ
rompak	r o m p a k
rompin	r o m p i n
rona	ɣ o n ɒ
rotan	r o t a n
rtb	a r t i b i
rtm	a r t i ʔ e m
ru	r u
ruai	r u a i̯
ruang	r u a ŋ
rubah	r u b a h
rugi	r u ɡ i
rujuk	r u d͡ʒ o k
rujukan	r u d͡ʒ o k k a n
rukun	r u k o n
rumah	r u m a h
rumbia	r u m b i a
rumi	r u m i
rumikan	r u m i k a n
rumit	r u m e t
rungutnya	r u ŋ u t ɲ a
runtuh	r u n t o h
rusa	r u s a
rusuk	r u s o k
ruterfordium	r u t ə f o d i o m
ruu	a r j u j u
sabah	s a b a h
sabtu	s a b t u
sabun	s a b o n
sadin	s a d e n
sadis	s a d i s
sadisme	s a d i s m ə
sado	s a d o
safar	s a f a
saga	s a ɡ a
sagar	s a ɡ a
sagu	s a ɡ u
sah	s a h
sahabat	s a h a b a t
sahaja	s a h a d͡ʒ a
sahur	s a h o
sains	s a i̯ n s
sais	s a i s
saja	s a d͡ʒ a
saji	s a d͡ʒ i
sajian	s a d͡ʒ i a n
sajikan	s a d͡ʒ i k a n
sakar	s a k a
sakit	s a k e t
salah	s a l a h
salak	s a l a ʔ
salang	s a l a ŋ
salasilah	s a l a s i l a h
salib	s a l e b
salin	s a l e n
salir	s a l e r
salji	s a l d͡ʒ i
salju	s a l d͡ʒ u
salur	s a l o
saluran	s a l o r a n
sama	s a m a
samak	s a m a k
samar	s a m a r
sambal	s a m b a l
sambil	s a m b i l
sambung	s a m b o ŋ
sambut	s a m b u t
sami	s a m i
sampah	s a m p a h
sampai	s a m p a i̯
sampan	s a m p a n
samping	s a m p e ŋ
sampul	s a m p u l
samseng	s a m s e ŋ
samudera	s a m u d ə r a
samun	s a m u n
sana	s a n a
sanca	s a n t͡ʃ a
sandakan	s a n d a k a n
sandar	s a n d a r
sandiwara	s a n d i w a r a
sangai	s a ŋ a j
sangap	s a ŋ a p
sangat	s a ŋ a t
sanggul	s a ŋ ɡ u l
sanggup	s a ŋ ɡ o p
sangkakala	s a ŋ k a k a l a
sangkut	s a ŋ k o t
santai	s a n t a j
santan	s a n t a n
santap	s a n t a p
santau	s a n t a w
sanubari	s a n u b a r i
sapa	s a p a
sape	s a p ə
sapot	s a p o t
sapta	s a p t a
sapu	s a p u
sara	s a r a
saran	s a r a n
sarang	s a r a ŋ
sarap	s a r a p
sarapan	s a r a p a n
sarawak	s a r a w a ʔ
sarung	s a r o ŋ
sasar	s a s a r
sasaran	s a s a r a n
sasau	s a s a u̯
sastera	s a s t ə r a
sat	s a t
satah	s a t a h
sate	s a t e
satelit	s a t ə l e t
satu	s a t u
saudara	s a w d a r a
saudari	s a u̯ d a r i
saujana	s a u d͡ʒ a n a
sawah	s a w a h
sawang	s a w a ŋ
sawo	s a w o
saya	s a j a
sayang	s a j a ŋ
sayap	s a j a p
sayur	s a j u r
se	s ə
sebab	s ə b a b
sebagai	s ə b a ɡ a j
sebai	s ə b a j
sebaik	s ə b a i k
sebak	s ə b a ʔ
sebaliknya	s ə b a l e k ɲ ə
sebanyak	s ə b a ɲ a k
sebarang	s ə b a r a ŋ
sebelah	s ə b ə l a h
sebelas	s ə b ə l a s
sebenarnya	s ə b ə n a r ɲ a
sebentar	s ə b ə n t a
sebilion	s ə b i l i o n
sebutan	s ə b o t a n
secang	s ə t͡ʃ a ŋ
secangkir	s ə t͡ʃ a ŋ k e
secara	s ə t͡ʃ a r a
sedaerah	s ə d a ʔ e r a h
sedang	s ə d a ŋ
sedap	s ə d a p
sedar	s ə d a
sedekah	s ə d ə k a h
sederhana	s ə d ə h a n ə
sedia	s ə d i a
sedih	s ə d e h
sedikit	s ə d i k i t
sedu	s ə d u
sedut	s ə d o t
seekor	s ə e k o
segala	s ə ɡ a l a
segan	s ə ɡ a n
segar	s ə ɡ a
segara	s ə ɡ a r a
segenting	s ə ɡ ə n t i ŋ
segera	s ə ɡ ə r a
segok	s e ɡ o k
sehelai	s ə h ə l a j
sejahtera	s ə d͡ʒ a h t ə r a
sejak	s ə d͡ʒ a k
sejarah	s ə d ʒ a r a h
sejarawi	s ə d͡ʒ a r a w i
sejati	s ə d͡ʒ a t i
sejuk	s ə d͡ʒ o k
sejuta	s ə d͡ʒ u t a
sekali	s ə k a l i
sekalian	s ə k a l i a n
sekalipun	s ə k a l i p u n
sekam	s ə k a m
sekarang	s ə k a r a ŋ
sekat	s ə k a t
sekata	s ə k a t a
sekedudukan	s ə k ə d u d o k a n
sekeh	s e k e h
sekejap	s ə k ə d͡ʒ a p̚
seketika	s ə k ə t i k a
sekijang	s ə k i d͡ʒ a ŋ
sekilas	s ə k i l a s
sekilwak	s ə k i l u a ʔ
sekinchan	s ə k i n t͡ʃ a n
sekolah	s ə k o l a
seksdesilion	s e k s d e s i l i o n
sekstilion	s e k s t i l i o n
sekta	s e k t a
sekutu	s ə k u t u
selagi	s ə l a ɡ i
selak	s e l a ʔ
selalu	s ə l a l u
selam	s ə l a m
selama	s ə l a m a
selamat	s ə l a m a t
selamba	s ə l a m b a
selancang	s ə l a n t͡ʃ a ŋ
selancar	s ə l a n t͡ʃ a
selangor	s ə l a ŋ o
selapan	s ə l a p a n
selar	s ə l a r
selaras	s ə l a r a s
selari	s ə l a r i
selasa	s ə l a s a
selasih	s ə l a s e h
selat	s ə l a t
selatan	s ə l a t a n
selebih	s ə l ə b i h
selebihnya	s ə l ə b i h ɲ a
selepas	s ə l ə p a s
selesai	s ə l ə s a j
selia	s ə l i a
selikur	s ə l i k o
selimut	s ə l i m o t
selipar	s ə l i p a r
seluar	s ə l u a
selubung	s ə l u b ʊ ŋ
seluruh	s e l u r u h
semai	s ə m a i
semak	s e m a k
semakin	s ə m a k e n
semalam	s ə m a l a m
semangat	s ə m a ŋ a t
semangka	s ə m a ŋ k a
semat	s ə m a t
semata	s ə m a t a
sembah	s ə m b a h
sembahan	s ə m b a h a n
sembahkan	s ə m b a h k a n
sembahyang	s ə m a j a ŋ
sembang	s e m b a ŋ
sembilan	s ə m b i l a n
sembunyi	s ə m b u ɲ i
sembur	s ə m b o
semedera	s ə m ə d ə r a
semenanjung	s ə m ə n a n d͡ʒ u ŋ
semenjak	s ə m ə n d͡ʒ a k
sementara	s ə m ə n t a r a
semisal	s ə m i s a l
semoga	s ə m o ɡ a
sempadan	s ə m p a d a n
sempit	s ə m p i t
sempoa	s ə m p o a
sempoi	s e m p o j
semporna	s ə m p o n ə
semua	s ə m u a
semuanya	s ə m u a ɲ a
semula	s ə m u l a
semut	s ə m o t
sen	s ɛ n
senam	s ə n a m
senang	s ə n a ŋ
senapang	s ə n a p a ŋ
senayan	s ə n a j a n
sendiri	s ə n d i r i
senduk	s ə n d o k
seng	s e ŋ
sengat	s ə ŋ a t
senget	s e ŋ e t
sengkar	s ə ŋ k a r
sengkek	s e ŋ k e k
sengkenit	s e ŋ k e n i t
sengkuang	s ə ŋ k u a ŋ
sengsara	s ə ŋ s a r a
seni	s ə n i
senin	s ə n e n
senja	s ə n d͡ʒ a
senjata	s ə n d͡ʒ a t a
senonoh	s ə n o n o
sentak	s ə n t a k
sentakan	s ə n t a k a n
senteri	s ə n t ə r ī
sentilion	s ɛ n t i l i o n
sentuh	s ə n t o h
