अ	ɐ
यजूंषि	j ɐ d͡ʑ ũː ʂ i
यज्	j ɐ d͡ʑ
यज्ञ	j ɐ d͡ʑ ɲ ɐ
यज्ञस्य	j ɐ d͡ʑ ɲ ɐ s̪ j ɐ
यज्ञोपवीत	j ɐ d͡ʑ ɲ oː p ɐ ʋ iː t̪ ɐ
यज्यु	j ɐ d͡ʑ j u
यज्वन्	j ɐ d͡ʑ ʋ ɐ n̪
यत	j ɐ t ɐ́
यतम	j ɐ t ɐ m ɐ́
यतर	j ɐ t ɐ ɾ ɐ́
यतस्	j ɐ t̪ ɐ s̪
यति	j ɐ t̪ i
यत्	j ɐ t
यत्न	j ɐ t n ɐ
यत्र	j ɐ t̪ ɾ ɐ
यत्रत्य	j ɐ t ɾ ɐ t j ɐ
यत्रा	j ɐ t̪ ɾ ɑː
यथा	j ɐ t̪ʰ ɑː
यदा	j ɐ d ɑ́ː
यदि	j ɐ d̪ i
यदु	j ɐ d̪ u
यद्	j ɐ d̪
यन्तृ	j ɐ n t r̩
यन्त्र	j ɐ n t ɾ ɐ́
यभति	j ɐ bʱ ɐ t̪ i
यभ्	j ɐ bʱ
यम	j ɐ m ɐ
यमराज	j ɐ m ɐ ɾ ɑː d͡ʑ ɐ
यमी	j ɐ m iː
यमुना	j ɐ m u n̪ ɑː
यम्	j ɐ m
यम्यते	j ɐ m j ɐ t̪ eː
यया	j ɐ j ɑː
ययाम	j ɐ j ɑː m ɐ
ययु	j ɐ j u
ययोः	j ɐ j oː h
यर्हि	j ɐ ɾ ɦ i
यव	j ɐ ʋ ɐ
यवन	j ɐ ʋ ɐ n̪ ɐ
यवनधर्म	j ɐ ʋ ɐ n̪ ɐ d̪ʱ ɐ ɾ m ɐ
यवनिका	j ɐ ʋ ɐ n̪ i k ɑː
यवस	j ɐ ʋ ɐ s̪ ɐ
यवसुरा	j ɐ ʋ ɐ s u ɾ ɑː
यव्या	j ɐ w ĭ j ɑ́ː
यशस्	j ɐ ɕ ɐ s̪
यशोदा	j ɐ ɕ oː d̪ ɑː
यष्टि	j ɐ ʂ ʈ i
यष्टृ	j ɐ ʂ ʈ r̩
यस्	j ɐ s
यस्मात्	j ɐ s̪ m ɑː t̪
यस्मिन्	j ɐ s̪ m i n̪
यस्मै	j ɐ s̪ m ɑ j
यस्य	j ɐ s̪ j ɐ
यस्याः	j ɐ s̪ j ɑː h
यस्याम्	j ɐ s̪ j ɑː m
यस्यै	j ɐ s̪ j ɑ j
यहस्	j ɐ ɦ ɐ s̪
यहु	j ɐ ɦ u
यह्व	j ɐ ɦ ʋ ɐ
यह्वत्	j ɐ ɦ ʋ ɐ t̪
यह्वा	j ɐ ɦ ʋ ɑː
यह्वी	j ɐ ɦ ʋ iː
या	j ɑː
याः	j ɑː h
याग	j ɑː ɡ ɐ
याचक	j ɑː t͡ɕ ɐ k ɐ
याच्	j ɑː t͡ɕ
याच्ञा	j ɑː t͡ɕ ɲ ɑː
याच्यते	j ɑː t͡ɕ j ɐ t ɐ j
याजि	j ɑː d͡ʑ i
यातयाम	j ɑː t ɐ́ j ɑː m ɐ
यातयामन्	j ɑː t ɐ́ j ɑː m ɐ n
याता	j ɑː t̪ ɑː
याति	j ɑː t̪ i
यातु	j ɑː t ú
यातृ	j ɑː t r̩
यात्	j ɑː t̪
यात्रा	j ɑː t ɾ ɑː
यात्रिणी	j ɑː t ɾ i ɳ iː
यात्रिन्	j ɑː t ɾ i n
यात्री	j ɑː t ɾ iː
याद	j ɑː d ɐ
यादव	j ɑː d ɐ ʋ ɐ
यादस्	j ɑː d̪ ɐ s̪
यादृश	j ɑː d r̩ ɕ ɐ
यादृश्	j ɑː d ŕ̩ ɕ
यान	j ɑː n̪ ɐ
यानि	j ɑː n̪ i
यान्	j ɑː n̪
याभ	j ɑː bʱ ɐ
याभिः	j ɑː bʱ i h
याभ्यः	j ɑː bʱ j ɐ h
याभ्याम्	j ɑː bʱ j ɑː m
याम	j ɑː m ɐ
यामन्	j ɑː m ɐ n̪
यामान्	j ɑː m ɑː n
यामेय	j ɑː m eː j ɐ
याम्	j ɑː m
यावत्	j ɑː ʋ ɐ t̪
यावन्	j ɑː ʋ ɐ n̪
यासाम्	j ɑː s̪ ɑː m
यासु	j ɑː s̪ u
यु	j u
युक्त	j u k t ɐ́
युक्ति	j u k t i
युग	j u ɡ ɐ
युग्म	j u ɡ m ɐ
युग्मन्	j u ɡ m ɐ n̪
युग्य	j u ɡ j ɐ
युज्	j u d͡ʑ
युज्य	j u d͡ʑ j ɐ
युत	j u t ɐ́
युद्ध	j u d dʱ ɐ́
युधि	j u d̪ʱ i
युधिष्ठिर	j u dʱ i ʂ ʈʰ i ɾ ɐ
युध्	j u d̪ʱ
युध्म	j u dʱ m ɐ́
युध्य	j u dʱ j ɐ́
युनक्ति	j u n ɐ́ k t i
युयुत्सु	j u j u t s u
युव	j u ʋ ɐ
युवक	j u ʋ ɐ k ɐ
युवता	j u ʋ ɐ t ɑː
युवति	j u ʋ ɐ t í
युवती	j u ʋ ɐ t íː
युवत्	j u ʋ ɐ t̪
युवन	j u ʋ ɐ n ɐ
युवन्	j u ʋ ɐ n̪
युवभ्याम्	j u ʋ ɐ bʱ j ɑː m
युवम्	j u ʋ ɐ m
युवयोः	j u ʋ ɐ j oː h
युवश	j u ʋ ɐ ɕ ɐ
युवा	j u ʋ ɑː
युवानः	j u ʋ ɑː n̪ ɐ h
युवानम्	j u ʋ ɑː n̪ ɐ m
युवाभ्याम्	j u ʋ ɑː bʱ j ɑː m
युवाम्	j u ʋ ɑː m
युवोः	j u ʋ oː h
युष्म	j u ʂ m ɐ
युष्मत्	j u ʂ m ɐ t̪
युष्मद्	j u ʂ m ɐ d
युष्मभ्यम्	j u ʂ m ɐ bʱ j ɐ m
युष्माक	j u ʂ m ɑː k ɐ
युष्माकम्	j u ʂ m ɑː k ɐ m
युष्मान्	j u ʂ m ɑː n̪
युष्माभिः	j u ʂ m ɑː bʱ i h
युष्मासु	j u ʂ m ɑː s̪ u
युष्मे	j u ʂ m eː
यूका	j uː k ɑː
यूथ	j uː tʰ ɐ́
यून	j uː n ɐ
यूनि	j uː n i
यूप	j uː p ɐ
यूयम्	j uː j ɐ m
यूरोप	j uː ɾ oː p ɐ
यूष	j uː ʂ ɐ
यूषन्	j uː ʂ ɐ n̪
यूस्	j uː s̪
ये	j eː
येन	j eː n̪ ɐ
येभिः	j eː bʱ i h
येभ्यः	j eː bʱ j ɐ h
येषाम्	j eː ʂ ɑː m
येषु	j eː ʂ u
यैः	j ɑ j h
योक्त्र	j oː k t̪ ɾ ɐ
योक्ष्यति	j oː k ʂ j ɐ t̪ i
योग	j oː ɡ ɐ
योगक्षेम	j oː ɡ ɐ k ʂ eː m ɐ
योगस्	j oː ɡ ɐ s̪
योगिनी	j oː ɡ i n̪ iː
योगिन्	j oː ɡ i n̪
योग्य	j oː ɡ j ɐ
योजना	j oː d͡ʑ ɐ n̪ ɑː
योद्धा	j oː d̪ d̪ʱ ɑː
योद्धृ	j oː d̪ d̪ʱ r̩
योधन	j oː d̪ʱ ɐ n̪ ɐ
योधयति	j oː d̪ʱ ɐ j ɐ t̪ i
योध्य	j oː d̪ʱ j ɐ
योनि	j oː n̪ i
योनिमुख	j oː n̪ i m u kʰ ɐ
योनी	j oː n̪ iː
योषित्	j oː ʂ i t̪
योस्	j oː s̪
यौ	j ɑ w
यौन	j ɑ w n̪ ɐ
यौवन	j ɑ w ʋ ɐ n̪ ɐ
यौष्माक	j ɑ w ʂ m ɑː k ɐ
रंसु	ɾ ɐ̃ s̪ u
रंहति	ɾ ɐ̃ ɦ ɐ t̪ i
रंहस्	ɾ ɐ̃ ɦ ɐ s
रंहि	ɾ ɐ̃ ɦ i
रंहिता	ɾ ɐ̃ ɦ i t ɑ́ː
रंहिष्यति	ɾ ɐ̃ ɦ i ʂ j ɐ t̪ i
रंह्	ɾ ɐ̃ ɦ
रकार	ɾ ɐ k ɑː ɾ ɐ
रक्तफल	ɾ ɐ k t ɐ pʰ ɐ l ɐ
रक्तहीन	ɾ ɐ k t ɐ ɦ iː n ɐ
रक्ताक्ष	ɾ ɐ k t ɑː k ʂ ɐ
रक्ति	ɾ ɐ k t i
रक्षति	ɾ ɐ k ʂ ɐ t̪ i
रक्षस्	ɾ ɐ k ʂ ɐ s̪
रक्षा	ɾ ɐ k ʂ ɑː
रक्षिका	ɾ ɐ k ʂ i k ɑː
रक्षित	ɾ ɐ k ʂ i t ɐ́
रक्षोहन्	ɾ ɐ k ʂ oː ɦ ɐ n̪
रक्ष्	ɾ ɐ k ʂ
रघु	ɾ ɐ ɡʱ u
रघुनन्दन	ɾ ɐ ɡʱ u n ɐ n d ɐ n ɐ
रघुनाथ	ɾ ɐ ɡʱ u n ɑː tʰ ɐ
रघ्वी	ɾ ɐ ɡʱ ʋ iː
रङ्क	ɾ ɐ ŋ k ɐ
रङ्ग	ɾ ɐ ŋ ɡ ɐ
रङ्गकार	ɾ ɐ ŋ ɡ ɐ k ɑː ɾ ɐ
रङ्गल	ɾ ɐ ŋ ɡ ɐ l̪ ɐ
रङ्गली	ɾ ɐ ŋ ɡ ɐ l̪ iː
रङ्गिन्	ɾ ɐ ŋ ɡ i n
रजक	ɾ ɐ d͡ʑ ɐ k ɐ
रजत	ɾ ɐ d͡ʑ ɐ t ɐ́
रजनि	ɾ ɐ d͡ʑ ɐ n i
रजनी	ɾ ɐ d͡ʑ ɐ n̪ iː
रजनीश	ɾ ɐ d͡ʑ ɐ n iː ɕ ɐ
रजस्	ɾ ɐ d͡ʑ ɐ s̪
रजस्वला	ɾ ɐ d͡ʑ ɐ s ʋ ɐ l ɑː
रजि	ɾ ɐ d͡ʑ i
रजिष्ठ	ɾ ɐ d͡ʑ i ʂ ʈʰ ɐ
रज्जु	ɾ ɐ d̪ d͡ʑ u
रञ्जति	ɾ ɐ ɲ d͡ʑ ɐ t i
रञ्जन	ɾ ɐ ɲ d͡ʑ ɐ n ɐ
रञ्जित	ɾ ɐ ɲ d͡ʑ i t ɐ
रण	ɾ ɐ ɳ ɐ
रणति	ɾ ɐ ɳ ɐ t̪ i
रणनीति	ɾ ɐ ɳ ɐ n̪ iː t̪ i
रणवीर	ɾ ɐ ɳ ɐ ʋ iː ɾ ɐ
रण्	ɾ ɐ ɳ
रण्ड	ɾ ɐ ɳ ɖ ɐ
रण्डा	ɾ ɐ ɳ ɖ ɑː
रति	ɾ ɐ t̪ i
रत्नतल्प	ɾ ɐ t̪ n̪ ɐ t̪ ɐ l̪ p ɐ
रथ	ɾ ɐ t̪ʰ ɐ
रथस्थ	ɾ ɐ tʰ ɐ s tʰ ɐ
रथी	ɾ ɐ tʰ íː
रथेन	ɾ ɐ tʰ ɐ j n ɐ
रथेष्ठ	ɾ ɐ tʰ ɐ j ʂ ʈʰ ɐ́
रथेष्ठा	ɾ ɐ tʰ ɐ j ʂ ʈʰ ɑ́ː
रथ्य	ɾ ɐ tʰ í j ɐ
रदति	ɾ ɐ d̪ ɐ t̪ i
रदन	ɾ ɐ d̪ ɐ n̪ ɐ
रन्धयति	ɾ ɐ n dʱ ɐ́ j ɐ t i
रन्ध्	ɾ ɐ n dʱ
रन्ध्र	ɾ ɐ n̪ d̪ʱ ɾ ɐ
रपस्	ɾ ɐ p ɐ s̪
रभसा	ɾ ɐ bʱ ɐ s̪ ɑː
रभस्	ɾ ɐ bʱ ɐ s̪
रभ्	ɾ ɐ bʱ
रमजान	ɾ ɐ m ɐ d͡ʑ ɑː n̪ ɐ
रमजानमास	ɾ ɐ m ɐ d͡ʑ ɑː n̪ ɐ m ɑː s̪ ɐ
रमण	ɾ ɐ m ɐ ɳ ɐ
रमणीय	ɾ ɐ m ɐ ɳ iː j ɐ
रमते	ɾ ɐ m ɐ t̪ eː
रमल	ɾ ɐ m ɐ l̪ ɐ
रम्	ɾ ɐ m
रम्बते	ɾ ɐ m b ɐ t̪ eː
रम्भा	ɾ ɐ m bʱ ɑː
रम्भ्	ɾ ɐ m bʱ
रम्य	ɾ ɐ m j ɐ
रय	ɾ ɐ j ɐ
रयि	ɾ ɐ j i
रयिन्तम	ɾ ɐ j i n̪ t̪ ɐ m ɐ
रयिवत्	ɾ ɐ j i ʋ ɐ t̪
ररंह	ɾ ɐ ɾ ɐ̃ ɦ ɐ
ररौ	ɾ ɐ ɾ ɑ w
रव	ɾ ɐ ʋ ɐ
रवि	ɾ ɐ ʋ i
रविवार	ɾ ɐ ʋ i ʋ ɑː ɾ ɐ
रशना	ɾ ɐ ɕ ɐ n ɑ́ː
रश्मन्	ɾ ɐ ɕ m ɐ n̪
रश्मि	ɾ ɐ ɕ m i
रस	ɾ ɐ s̪ ɐ
रसगोल	ɾ ɐ s̪ ɐ ɡ oː l̪ ɐ
रसगोलक	ɾ ɐ s̪ ɐ ɡ oː l̪ ɐ k ɐ
रसवत्	ɾ ɐ s̪ ɐ ʋ ɐ t̪
रसा	ɾ ɐ s ɑ́ː
रसायन	ɾ ɐ s ɑː j ɐ n ɐ
रसायनज्ञ	ɾ ɐ s ɑː j ɐ n ɐ d͡ʑ ɲ ɐ
रसिक	ɾ ɐ s̪ i k ɐ
रस्	ɾ ɐ s
रहस्	ɾ ɐ ɦ ɐ s̪
रहस्य	ɾ ɐ ɦ ɐ s j ɐ
रहित	ɾ ɐ ɦ i t̪ ɐ
रह्	ɾ ɐ ɦ
रा	ɾ ɑː
राक्षस	ɾ ɑː k ʂ ɐ s ɐ́
राग	ɾ ɑː ɡ ɐ
रागिणी	ɾ ɑː ɡ i ɳ iː
रागी	ɾ ɑː ɡ iː
राघव	ɾ ɑː ɡʱ ɐ ʋ ɐ
राज	ɾ ɑː d͡ʑ ɐ
राजकुमार	ɾ ɑː d͡ʑ ɐ k u m ɑː ɾ ɐ
राजतरंगिणी	ɾ ɑː d͡ʑ ɐ t ɐ ɾ ɐ ŋ ɡ i ɳ iː
राजतरङ्गिणी	ɾ ɑː d͡ʑ ɐ t ɐ ɾ ɐ ŋ ɡ i ɳ iː
राजति	ɾ ɑː d͡ʑ ɐ t̪ i
राजधानी	ɾ ɑː d͡ʑ ɐ d̪ʱ ɑː n̪ iː
राजन	ɾ ɑː d͡ʑ ɐ n ɐ
राजनीति	ɾ ɑː d͡ʑ ɐ n iː t i
राजन्	ɾ ɑː d͡ʑ ɐ n̪
राजपुत्र	ɾ ɑː d͡ʑ ɐ p u t ɾ ɐ́
राजमार्ग	ɾ ɑː d͡ʑ ɐ m ɑː ɾ ɡ ɐ
राजमाष	ɾ ɑː d͡ʑ ɐ m ɑː ʂ ɐ
राजलक्ष्मी	ɾ ɑː d͡ʑ ɐ l̪ ɐ k ʂ m iː
राजवंश	ɾ ɑː d͡ʑ ɐ ʋ ɐ̃ ɕ ɐ
राजा	ɾ ɑː d͡ʑ ɑː
राजाधिराज	ɾ ɑː d͡ʑ ɑː dʱ i ɾ ɑː d͡ʑ ɐ
राजावर्त	ɾ ɑː d͡ʑ ɑː ʋ ɐ ɾ t̪ ɐ
राजासन	ɾ ɑː d͡ʑ ɑː s̪ ɐ n̪ ɐ
राजीव	ɾ ɑː d͡ʑ iː ʋ ɐ
राजेन्द्र	ɾ ɑː d͡ʑ eː n̪ d̪ ɾ ɐ
राजेश	ɾ ɑː d͡ʑ eː ɕ ɐ
राज्	ɾ ɑː d͡ʑ
राज्ञि	ɾ ɑː d͡ʑ ɲ i
राज्ञी	ɾ ɑː d͡ʑ ɲ iː
राज्ञीभिस्	ɾ ɑː d͡ʑ ɲ iː bʱ i s̪
राज्ञीभ्यस्	ɾ ɑː d͡ʑ ɲ iː bʱ j ɐ s̪
राज्ञीम्	ɾ ɑː d͡ʑ ɲ iː m
राज्ञीस्	ɾ ɑː d͡ʑ ɲ iː s̪
राज्ञ्या	ɾ ɑː d͡ʑ ɲ j ɑː
राज्ञ्याः	ɾ ɑː d͡ʑ ɲ j ɑː h
राज्ञ्यै	ɾ ɑː d͡ʑ ɲ j ɑ j
राज्ञ्योः	ɾ ɑː d͡ʑ ɲ j oː h
राज्य	ɾ ɑː d͡ʑ i j ɐ́
राट्	ɾ ɑː ʈ
राड्राजन्	ɾ ɑː ɖ ɾ ɑː d͡ʑ ɐ n̪
राति	ɾ ɑː t í
रात्रि	ɾ ɑː t̪ ɾ i
रात्री	ɾ ɑː t̪ ɾ iː
राद्ध	ɾ ɑː d dʱ ɐ́
राद्धि	ɾ ɑː d̪ d̪ʱ i
राधस्	ɾ ɑː d̪ʱ ɐ s̪
राध्	ɾ ɑː dʱ
राध्य	ɾ ɑː d̪ʱ j ɐ
राम	ɾ ɑː m ɐ
रामः	ɾ ɑː m ɐ h
रामचन्द्र	ɾ ɑː m ɐ t͡ɕ ɐ n̪ d̪ ɾ ɐ
रामम्	ɾ ɑː m ɐ m
रामयोः	ɾ ɑː m ɐ j oː h
रामराज्य	ɾ ɑː m ɐ ɾ ɑː d͡ʑ j ɐ
रामसेतु	ɾ ɑː m ɐ s̪ eː t̪ u
रामस्य	ɾ ɑː m ɐ s j ɐ
रामाः	ɾ ɑː m ɑː h
रामाणाम्	ɾ ɑː m ɑː ɳ ɑː m
रामात्	ɾ ɑː m ɑː t̪
रामान्	ɾ ɑː m ɑː n
रामाभ्याम्	ɾ ɑː m ɑː bʱ j ɑː m
रामाय	ɾ ɑː m ɑː j ɐ
रामायण	ɾ ɑː m ɑː j ɐ ɳ ɐ
रामेण	ɾ ɑː m eː ɳ ɐ
रामेभ्यः	ɾ ɑː m eː bʱ j ɐ h
रामेश्वर	ɾ ɑː m eː ɕ ʋ ɐ ɾ ɐ
रामेषु	ɾ ɑː m eː ʂ u
रामैः	ɾ ɑː m ɑ j h
रामौ	ɾ ɑː m ɑ w
रायति	ɾ ɑː j ɐ t̪ i
रारहाण	ɾ ɑː ɾ ɐ ɦ ɑː ɳ ɐ
रावण	ɾ ɑː ʋ ɐ ɳ ɐ
राशि	ɾ ɑː ɕ i
राशिचक्र	ɾ ɑː ɕ i t͡ɕ ɐ k ɾ ɐ
राष्टि	ɾ ɑː ʂ ʈ i
राष्ट्र	ɾ ɑː ʂ ʈ ɾ ɐ
राष्ट्रपति	ɾ ɑː ʂ ʈ ɾ ɐ p ɐ t i
राष्ट्रिय	ɾ ɑː ʂ ʈ ɾ i j ɐ
राष्ट्रीय	ɾ ɑː ʂ ʈ ɾ iː j ɐ
रासभ	ɾ ɑː s̪ ɐ bʱ ɐ
रासभी	ɾ ɑː s̪ ɐ bʱ iː
रास्	ɾ ɑː s
राहित्य	ɾ ɑː ɦ i t j ɐ
राहु	ɾ ɑː ɦ u
राहुल	ɾ ɑː ɦ u l ɐ
रि	ɾ i
रिक्त	ɾ i k t ɐ́
रिक्षा	ɾ i k ʂ ɑː
रिख्	ɾ i kʰ
रिच्	ɾ i t͡ɕ
रिच्यते	ɾ i t͡ɕ j ɐ t̪ eː
रिणक्ति	ɾ i ɳ ɐ k t̪ i
रिणाति	ɾ i ɳ ɑː t̪ i
रिपु	ɾ i p u
रिपुघातिन्	ɾ i p u ɡʱ ɑː t̪ i n̪
रिपुघ्न	ɾ i p u ɡʱ n̪ ɐ
रिप्	ɾ i p
रिप्त	ɾ i p t ɐ́
रिप्र	ɾ i p ɾ ɐ
रिफित	ɾ i pʰ i t ɐ́
रिफ्	ɾ i pʰ
रिरंसा	ɾ i ɾ ɐ̃ s ɑː
रिरेच	ɾ i ɾ eː t͡ɕ ɐ
रिशा	ɾ i ɕ ɑː
रिशादस्	ɾ i ɕ ɑː d̪ ɐ s̪
रिष्ट	ɾ i ʂ ʈ ɐ
रिष्टि	ɾ i ʂ ʈ i
रिष्यति	ɾ i ʂ j ɐ t̪ i
री	ɾ iː
रीति	ɾ iː t í
रीळ्ह	ɾ iː ɭ̆ʱ ɐ
रु	ɾ u
रुक्म	ɾ u k m ɐ
रुक्मिणी	ɾ u k m i ɳ iː
रुग्ण	ɾ u ɡ ɳ ɐ
रुच्	ɾ u t͡ɕ
रुजति	ɾ u d͡ʑ ɐ t̪ i
रुजा	ɾ u d͡ʑ ɑː
रुज्	ɾ u d͡ʑ
रुणद्धि	ɾ u ɳ ɐ d̪ d̪ʱ i
रुदति	ɾ u d ɐ t i
रुद्	ɾ u d
रुद्ध	ɾ u d dʱ ɐ́
रुद्र	ɾ u d ɐ ɾ ɐ́
रुद्रप्रयाग	ɾ u d ɾ ɐ p ɾ ɐ j ɑː ɡ ɐ
रुद्राक्ष	ɾ u d ɾ ɑː k ʂ ɐ
रुद्राणी	ɾ u d ɾ ɑː ɳ iː
रुधिर	ɾ u dʱ i ɾ ɐ́
रुध्	ɾ u dʱ
रुरु	ɾ u ɾ u
रुरोच	ɾ u ɾ oː t͡ɕ ɐ
रुरोध	ɾ u ɾ oː d̪ʱ ɐ
रुरोह	ɾ u ɾ oː ɦ ɐ
रुष्	ɾ u ʂ
रुष्टि	ɾ u ʂ ʈ i
रुष्यति	ɾ u ʂ j ɐ t i
रुह्	ɾ u ɦ
रूक्ष	ɾ uː k ʂ ɐ
रूढ	ɾ uː ɖʱ ɐ
रूप	ɾ uː p ɐ
रूपक	ɾ uː p ɐ k ɐ
रूपवत्	ɾ uː p ɐ ʋ ɐ t
रूपेन्द्रिय	ɾ uː p eː n̪ d̪ ɾ i j ɐ
रूप्	ɾ uː p
रूप्य	ɾ uː p j ɐ
रेक्णस्	ɾ eː k ɳ ɐ s̪
रेक्ता	ɾ eː k t̪ ɑː
रेक्ष्यते	ɾ eː k ʂ j ɐ t̪ eː
रेखा	ɾ eː kʰ ɑː
रेखागणित	ɾ eː kʰ ɑː ɡ ɐ ɳ i t̪ ɐ
रेखाङ्कित	ɾ eː kʰ ɑː ŋ k i t̪ ɐ
रेचयति	ɾ eː t͡ɕ ɐ j ɐ t̪ i
रेणु	ɾ eː ɳ u
रेणुका	ɾ eː ɳ u k ɑː
रेतस्	ɾ eː t̪ ɐ s̪
रेत्र	ɾ eː t̪ ɾ ɐ
रेपस्	ɾ eː p ɐ s̪
रेफ	ɾ eː pʰ ɐ
रेभ	ɾ eː bʱ ɐ
रेळ्हि	ɾ eː ɭ̆ʱ i
रेवती	ɾ eː ʋ ɐ t̪ iː
रेवत्	ɾ eː ʋ ɐ t̪
रेष	ɾ eː ʂ ɐ
रै	ɾ ɑ j
रैवत	ɾ ɑ j ʋ ɐ t̪ ɐ
रैवत्य	ɾ ɑ j ʋ ɐ t̪ j ɐ
रोक	ɾ oː k ɐ
रोग	ɾ oː ɡ ɐ
रोगिणी	ɾ oː ɡ i ɳ iː
रोगिन्	ɾ oː ɡ i n̪
रोगी	ɾ oː ɡ iː
रोच	ɾ oː t͡ɕ ɐ
रोचक	ɾ oː t͡ɕ ɐ k ɐ
रोचते	ɾ oː t͡ɕ ɐ t̪ eː
रोचन	ɾ oː t͡ɕ ɐ n̪ ɐ
रोचयति	ɾ oː t͡ɕ ɐ j ɐ t̪ i
रोचस्	ɾ oː t͡ɕ ɐ s̪
रोचिस्	ɾ oː t͡ɕ i s̪
रोटिका	ɾ oː ʈ i k ɑː
रोटी	ɾ oː ʈ iː
रोद	ɾ oː d̪ ɐ
रोदन	ɾ oː d̪ ɐ n̪ ɐ
रोदसी	ɾ oː d̪ ɐ s̪ iː
रोदस्	ɾ oː d̪ ɐ s̪
रोदिति	ɾ oː d̪ i t̪ i
रोध	ɾ oː d̪ʱ ɐ
रोधति	ɾ oː d̪ʱ ɐ t̪ i
रोध्र	ɾ oː d̪ʱ ɾ ɐ
रोपयति	ɾ oː p ɐ j ɐ t̪ i
रोमकपत्तन	ɾ oː m ɐ k ɐ p ɐ t̪ t̪ ɐ n̪ ɐ
रोमन्	ɾ oː m ɐ n̪
रोमन्थ	ɾ oː m ɐ n̪ t̪ʰ ɐ
रोरवीति	ɾ oː ɾ ɐ ʋ iː t̪ i
रोरोति	ɾ oː ɾ oː t̪ i
रोष	ɾ oː ʂ ɐ
रोषति	ɾ oː ʂ ɐ t̪ i
रोह	ɾ oː ɦ ɐ
रोहण	ɾ oː ɦ ɐ ɳ ɐ
रोहति	ɾ oː ɦ ɐ t̪ i
रोहिणी	ɾ oː ɦ i ɳ iː
रोहित	ɾ oː ɦ i t̪ ɐ
रोहित्	ɾ oː ɦ i t̪
रौक्म	ɾ ɑ w k m ɐ
रौति	ɾ ɑ w t̪ i
रौद्र	ɾ ɑ w d̪ ɾ ɐ
ल	l ɐ
लकुट	l ɐ k u ʈ ɐ
लक्ष	l ɐ k ʂ ɐ́
लक्षण	l ɐ k ʂ ɐ ɳ ɐ
लक्षति	l ɐ́ k ʂ ɐ t i
लक्ष्	l ɐ k ʂ
लक्ष्मण	l ɐ k ʂ m ɐ ɳ ɐ
लक्ष्मणपुर	l ɐ k ʂ m ɐ ɳ ɐ p u ɾ ɐ
लक्ष्मी	l ɐ k ʂ m íː
लक्ष्मीपति	l ɐ k ʂ m iː p ɐ t i
लक्ष्य	l̪ ɐ k ʂ j ɐ
लखान	l ɐ kʰ ɑː n ɐ
लगुड	l ɐ ɡ u ɖ ɐ
लग्न	l ɐ ɡ n ɐ
लग्यति	l ɐ́ ɡ j ɐ t i
लघिष्ठ	l ɐ́ ɡʱ i ʂ ʈʰ ɐ
लघीयस्	l ɐ́ ɡʱ iː j ɐ s
लघु	l ɐ ɡʱ ú
लघुहस्तता	l̪ ɐ ɡʱ u ɦ ɐ s̪ t̪ ɐ t̪ ɑː
लङ्का	l̪ ɐ ŋ k ɑː
लङ्ग	l̪ ɐ ŋ ɡ ɐ
लङ्घयति	l ɐ ŋ ɡʱ ɐ́ j ɐ t i
लङ्घ्	l̪ ɐ ŋ ɡʱ
लज्जते	l ɐ d d͡ʑ ɐ t ɐ j
लज्जा	l ɐ d d͡ʑ ɑː
लज्जास्पद	l ɐ d d͡ʑ ɑː s p ɐ d ɐ
लज्ज्	l ɐ d d͡ʑ
लट	l ɐ ʈ ɐ
लट्	l ɐ ʈ
लड्	l ɐ ɖ
लण्ड	l ɐ ɳ ɖ ɐ
लण्ड्र	l̪ ɐ ɳ ɖ ɾ ɐ
लता	l ɐ t ɑː
लपति	l ɐ p ɐ t i
लप्	l ɐ p
लब्ध	l ɐ b dʱ ɐ
लब्ध्वा	l ɐ b dʱ ʋ ɑː
लभते	l ɐ bʱ ɐ t ɐ j
लभ्	l ɐ bʱ
लम्पट	l̪ ɐ m p ɐ ʈ ɐ
लम्ब	l ɐ m b ɐ
लम्बक	l̪ ɐ m b ɐ k ɐ
लम्बते	l ɐ́ m b ɐ t ɐ j
लम्बयति	l ɐ m b ɐ j ɐ t i
लम्ब्	l ɐ m b
लम्भ	l ɐ m bʱ ɐ
लयति	l ɐ́ j ɐ t i
लयन	l ɐ j ɐ n ɐ
ललति	l ɐ́ l ɐ t i
ललाट	l ɐ l ɑ́ː ʈ ɐ
ललाम	l ɐ l ɑ́ː m ɐ
ललित	l ɐ l i t ɐ
लल्	l ɐ l
लवंग	l̪ ɐ ʋ ɐ ŋ ɡ ɐ
लवङ्ग	l̪ ɐ ʋ ɐ ŋ ɡ ɐ
लवण	l ɐ ʋ ɐ ɳ ɐ́
लशुन	l ɐ ɕ u n ɐ
लषति	l ɐ ʂ ɐ t i
लसति	l̪ ɐ s̪ ɐ t̪ i
लस्	l ɐ s
लहरी	l ɐ ɦ ɐ ɾ iː
लाङ्गल	l ɑ́ː ŋ ɡ ɐ l ɐ
लाञ्छन	l ɑː ɲ t͡ɕʰ ɐ n ɐ
लाञ्छित	l ɑː ɲ t͡ɕʰ i t ɐ
लाञ्छ्	l ɑː ɲ t͡ɕʰ
लाडिक	l ɑː ɖ i k ɐ
लाप	l ɑː p ɐ
लाबु	l ɑː b u
लाबू	l ɑː b uː
लाभ	l ɑː bʱ ɐ́
