ͷ	t͡s
ἁπλοῖς	a p l i s
ἁπλοῦ	a p l u
ἁπλοῦν	a p l u n
ἁπλοῦς	a p l u s
ἁπλόαις	a p l o e s
ἁπλόοι	a p l o i
ἁπλόος	a p l o o s
ἁπλόου	a p l o u
ἁπλόω	a p l o o
ἁπλᾶ	a p l a
ἁπλῆ	a p l e̝
ἁπλῆν	a p l e̝ n
ἁπλῆς	a p l e̝ s
ἁπλῇ	a p l e̝
ἁπλῶν	a p l o n
ἁπλῷ	a p l o
ἁριμαθαία	a r i m a tʰ ɛ a
ἁρμάμαξα	a r m a m a k s a
ἁρμαγεδών	a r m a ɡ e d o n
ἁρμαλά	a r m a l a
ἁρματοδρομία	a r m a t o d r o m i a
ἁρμογή	a r m o ɡ e̝
ἁρμοδίου	a r m o d i u
ἁρμονία	a r m o n i a
ἁρμονικός	a r m o n i k o s
ἁρμόδιος	a r m o d i o s
ἁρμόζει	a r m o z i
ἁρμόζω	a r m o z o
ἁρμός	a r m o s
ἁρπάγη	a r p a ɡ e̝
ἁρπάγοιν	a r p a ɡ y n
ἁρπάγων	a r p a ɡ o n
ἁρπάζω	a r p a z o
ἁρπίς	a r p i s
ἁρπαγίστατος	a r p a ɡ i s t a t o s
ἁρπαγίστερος	a r p a ɡ i s t e r o s
ἁρπαστόν	a r p a s t o n
ἁρποκράτης	a r p o k r a t e̝ s
ἁσδρούβας	a z d r u b a s
ἁφή	a f i
ἁψίς	a p s i s
ἄ	a
ἄαπτος	a a p t o s
ἄασα	a a s a
ἄασαι	a a s e
ἄασαν	a a s a n
ἄασας	a a s a s
ἄασε	a a s e
ἄασον	a a s o n
ἄβακτος	a b a k t o s
ἄβαξ	a b a k s
ἄβαπτος	a b a p t o s
ἄβατον	a b a t o n
ἄβατος	a b a t o s
ἄβδελλον	a b d e l l o n
ἄβδηρα	a b d e̝ r a
ἄβδης	a b d e̝ s
ἄβιλα	a b i l a
ἄβληρος	a b l e̝ r o s
ἄβολος	a b o l o s
ἄβροτε	a b r o t e
ἄβροτοι	a b r o t y
ἄβροτον	a b r o t o n
ἄβροτος	a b r o t o s
ἄβρωτος	a b r o t o s
ἄβυδος	a b y d o s
ἄβυσσα	a b y s s a
ἄβυσσος	a b y s s o s
ἄγ'	a ɡ
ἄγαγε	a ɡ a ɡ e
ἄγαλμα	a ɡ a l m a
ἄγαμαι	a ɡ a m ɛ
ἄγαμος	a ɡ a m o s
ἄγαν	a ɡ a n
ἄγαρ	a ɡ a r
ἄγαρος	a ɡ a r o s
ἄγαρρις	a ɡ a r r i s
ἄγβαλος	a ɡ b a l o s
ἄγγαρος	a ŋ ɡ a r o s
ἄγγεα	a ŋ ɡ e a
ἄγγειλαι	a ŋ ɡ i l ɛ
ἄγγειλον	a ŋ ɡ i l o n
ἄγγελε	a ŋ ɡ e l e
ἄγγελλε	a ŋ ɡ e l l e
ἄγγελοι	a ŋ ɡ e l y
ἄγγελον	a ŋ ɡ e l o n
ἄγγελος	a ŋ ɡ e l o s
ἄγγος	a ŋ ɡ o s
ἄγγουρον	a ŋ ɡ u r o n
ἄγγρος	a ŋ ɡ r o s
ἄγγων	a ŋ ɡ o n
ἄγε	a ɡ e
ἄγεα	a ɡ e a
ἄγεε	a ɡ e e
ἄγεθ'	a ɡ e tʰ
ἄγει	a ɡ i
ἄγειν	a ɡ i n
ἄγειραι	a ɡ i r ɛ
ἄγειρε	a ɡ i r e
ἄγειρον	a ɡ i r o n
ἄγεις	a ɡ i s
ἄγεν	a ɡ e n
ἄγεος	a ɡ e o s
ἄγεσθαι	a ɡ e s tʰ ɛ
ἄγεσι	a ɡ e s i
ἄγεσιν	a ɡ e s i n
ἄγεσσι	a ɡ e s s i
ἄγεσσιν	a ɡ e s s i n
ἄγετ'	a ɡ e t
ἄγετε	a ɡ e t e
ἄγευς	a ɡ e ʍ s
ἄγεϊ	a ɡ e i
ἄγη	a ɡ e̝
ἄγιδι	a ɡ i d i
ἄγιδος	a ɡ i d o s
ἄγκεα	a ŋ k e a
ἄγκιστρον	a ŋ k i s t r o n
ἄγκος	a ŋ k o s
ἄγκυρα	a ŋ k y r a
ἄγκυραι	a ŋ k y r ɛ
ἄγκυραν	a ŋ k y r a n
ἄγλιδες	a ɡ l i d e s
ἄγλιδος	a ɡ l i d o s
ἄγλιθες	a ɡ l i tʰ e s
ἄγλιθος	a ɡ l i tʰ o s
ἄγλις	a ɡ l i s
ἄγναπτος	a ɡ n a p t o s
ἄγναφος	a ɡ n a pʰ o s
ἄγνινος	a ɡ n i n o s
ἄγνοια	a ɡ n y a
ἄγνος	a ɡ n o s
ἄγνυμι	a ɡ n y m i
ἄγνωστος	a ɡ n o s t o s
ἄγνωτα	a ɡ n o t a
ἄγνωτε	a ɡ n o t e
ἄγνωτοι	a ɡ n o t y
ἄγνωτον	a ɡ n o t o n
ἄγνωτος	a ɡ n o t o s
ἄγομεν	a o m e n
ἄγον	a ɡ o n
ἄγονος	a ɡ o n o s
ἄγοντα	a ɡ o n t a
ἄγοντες	a ɡ o n t e s
ἄγος	a ɡ o s
ἄγους	a ɡ u s
ἄγουσα	a ɡ u s a
ἄγουσι	a ɡ u s i
ἄγρα	a ɡ r a
ἄγραι	a ɡ r ɛ
ἄγραιν	a ɡ r ɛ n
ἄγραις	a ɡ r ɛ s
ἄγραν	a ɡ r a n
ἄγρας	a ɡ r a s
ἄγραυλος	a ɡ r a w l o s
ἄγραφος	a ɡ r a pʰ o s
ἄγρει	a ɡ r i
ἄγρια	a ɡ r i a
ἄγριαι	a ɡ r i ɛ
ἄγριε	a ɡ r i e
ἄγριοι	a ɡ r i y
ἄγριον	a ɡ r i o n
ἄγριος	a ɡ r i o s
ἄγριππος	a ɡ r i p p o s
ἄγροικον	a ɡ r y k o n
ἄγροικος	a ɡ r y k o s
ἄγρυπνος	a ɡ r y p n o s
ἄγρων	a ɡ r o n
ἄγρωστις	a ɡ r o s t i s
ἄγρᾳ	a ɡ r a
ἄγυια	a ɡ y a
ἄγχ'	a ŋ kʰ
ἄγχι	a ŋ kʰ i
ἄγχιστα	a ŋ kʰ i s t a
ἄγχιστος	a ŋ kʰ i s t o s
ἄγχον	a ŋ kʰ o n
ἄγχοντα	a ŋ kʰ o n t a
ἄγχοντας	a ŋ kʰ o n t a s
ἄγχοντε	a ŋ kʰ o n t e
ἄγχοντες	a ŋ kʰ o n t e s
ἄγχοντι	a ŋ kʰ o n t i
ἄγχοντος	a ŋ kʰ o n t o s
ἄγχουσα	a ŋ kʰ u s a
ἄγχουσαι	a ŋ kʰ u s ɛ
ἄγχουσαν	a ŋ kʰ u s a n
ἄγχουσι	a ŋ kʰ u s i
ἄγχουσιν	a ŋ kʰ u s i n
ἄγχω	a ŋ kʰ o
ἄγχων	a ŋ kʰ o n
ἄγω	a ɡ o
ἄγων	a ɡ o n
ἄδαδος	a d a d o s
ἄδαμος	a d a m o s
ἄδανα	a d a n a
ἄδδιξ	a d d i k s
ἄδεια	a d i a
ἄδελφε	a d e l pʰ e
ἄδηλον	a d e̝ l o n
ἄδηλος	a d e̝ l o s
ἄδησα	a d e̝ s a
ἄδικα	a d i k a
ἄδικε	a d i k e
ἄδικοι	a d i k y
ἄδικος	a d i k o s
ἄδιψος	a d i p s o s
ἄδμητε	a d m e̝ t o s
ἄδμητον	a d m e̝ t o s
ἄδμητος	a d m e̝ t o s
ἄδολος	a d o l o s
ἄδορος	a d o r o s
ἄδουλις	a d u l i s
ἄδουλος	a d u l o s
ἄδραστος	a d r a s t o s
ἄδρυα	a d r y a
ἄδυτον	a d y t o n
ἄδυτος	a d y t o s
ἄδωνις	a d o n i s
ἄεθλα	a e tʰ l a
ἄεθλον	a e tʰ l o n
ἄεθλος	a e tʰ l o s
ἄειδε	a i d e
ἄειραν	a i r a n
ἄελλα	a e l a
ἄελλαι	a e l e
ἄεσα	a e s a
ἄζης	a z e̝ s
ἄζυγος	a z i ɣ o s
ἄζυμος	a z i m o s
ἄζω	a z o
ἄζωρος	a z o r o s
ἄζωτος	a z o t o s
ἄημι	a e̝ m i
ἄθεοι	a tʰ e y
ἄθεος	a tʰ e o s
ἄθετος	a tʰ e t o s
ἄθλημα	a tʰ l e̝ m a
ἄθλια	a tʰ l i a
ἄθλιαι	a tʰ l i ɛ
ἄθλιε	a tʰ l i e
ἄθλιοι	a tʰ l i y
ἄθλιον	a tʰ l i o n
ἄθλιος	a tʰ l i o s
ἄθλοιν	a tʰ l y n
ἄθλοις	a tʰ l y s
ἄθλου	a tʰ l u
ἄθλω	a tʰ l o
ἄθλων	a tʰ l o n
ἄθλῳ	a tʰ l o
ἄθος	a θ o s
ἄθρας	a tʰ r a s
ἄθριβις	a tʰ r i b i s
ἄθρυς	a tʰ r y s
ἄθυρμα	a tʰ y r m a
ἄθω	a tʰ o
ἄθων	a tʰ o n
ἄθως	a tʰ o s
ἄθῳ	a tʰ o
ἄκαινα	a c e n a
ἄκαμπτον	a k a m p t o n
ἄκαμπτος	a k a m p t o s
ἄκανθα	a k a n tʰ a
ἄκανθος	a k a n tʰ o s
ἄκαπνος	a k a p n o s
ἄκαρπος	a k a r p o s
ἄκαστος	a k a s t o s
ἄκατος	a k a t o s
ἄκινος	a c i n o s
ἄκιρις	a c i r i s
ἄκις	a c i s
ἄκλιτα	a k l i t a
ἄκλιτε	a k l i t e
ἄκλιτοι	a k l i t i
ἄκλιτον	a k l i t o n
ἄκλιτος	a k l i t o s
ἄκμα	a k m a
ἄκμηνος	a k m e̝ n o s
ἄκμον	a k m o n
ἄκμονα	a k m o n a
ἄκμονας	a k m o n a s
ἄκμονε	a k m o n e
ἄκμονες	a k m o n e s
ἄκμονι	a k m o n i
ἄκμονος	a k m o n o s
ἄκμοσι	a k m o s i
ἄκμοσιν	a k m o s i n
ἄκμων	a k m o n
ἄκοιτιν	a c i t i n
ἄκοιτις	a c i t i s
ἄκολος	a k o l o s
ἄκον	a k o n
ἄκοντα	a k o n d a
ἄκοντας	a k o n d a s
ἄκοντε	a k o n d e
ἄκοντες	a k o n d e s
ἄκοντι	a k o n d i
ἄκοντος	a k o n d o s
ἄκορνα	a k o r n a
ἄκορον	a k o r o n
ἄκορος	a k o r o s
ἄκος	a k o s
ἄκουε	a k u e
ἄκουον	a k u o n
ἄκουσα	a k u s a
ἄκουσαι	a k u s e
ἄκουσαν	a k u s a n
ἄκουσας	a k u s a s
ἄκουσε	a k u s e
ἄκουσεν	a k u s e n
ἄκουσι	a k u s i
ἄκουσιν	a k u s i n
ἄκουσις	a k u s i s
ἄκουσμα	a k u z m a
ἄκουσον	a k u s o n
ἄκρα	a k r a
ἄκραι	a k r e
ἄκραιν	a k r e n
ἄκραις	a k r e s
ἄκραν	a k r a n
ἄκρας	a k r a s
ἄκρατα	a k r a t a
ἄκρατε	a k r a t e
ἄκρατοι	a k r a t i
ἄκρατον	a k r a t o n
ἄκρατος	a k r a t o s
ἄκρε	a k r e
ἄκρη	a k r e̝
ἄκρην	a k r e̝ n
ἄκρης	a k r e̝ s
ἄκριας	a k r i a s
ἄκριθος	a k r i tʰ o s
ἄκριλλαι	a k r i l e
ἄκρις	a k r i s
ἄκριτα	a k r i t a
ἄκριτον	a k r i t o n
ἄκριτος	a k r i t o s
ἄκροι	a k r i
ἄκροιν	a k r i n
ἄκροις	a k r i s
ἄκροισι	a k r i s i
ἄκροισιν	a k r i s i n
ἄκρον	a k r o n
ἄκρος	a k r o s
ἄκρου	a k r u
ἄκρους	a k r u s
ἄκρω	a k r o
ἄκρων	a k r o n
ἄκρᾳ	a k r a
ἄκρῃ	a k r e̝
ἄκρῳ	a k r o
ἄκτινος	a k t i n o s
ἄκτιον	a k t i o n
ἄκτωρ	a k t o r
ἄκυλος	a c i l o s
ἄκυρος	a c i r o s
ἄκων	a k o n
ἄλαπτα	a l a p t a
ἄλαρα	a l a r a
ἄλας	a l a s
ἄλαστον	a l a s t o n
ἄλαστος	a l a s t o s
ἄλβη	a l b e̝
ἄλβις	a l b i s
ἄλβος	a l v o s
ἄλγε'	a l ɡ e
ἄλγεα	a l ɡ e a
ἄλγεε	a l ɡ e e
ἄλγει	a l ɡ i
ἄλγεος	a l ɡ e o s
ἄλγεσι	a l ɡ e s i
ἄλγεσιν	a l ɡ e s i n
ἄλγευς	a l ɡ e ʍ s
ἄλγεϊ	a l ɡ e i
ἄλγη	a l ɡ e̝
ἄλγημα	a l ɡ e̝ m a
ἄλγησις	a l ɡ e̝ s i s
ἄλγιον	a l ɡ i o n
ἄλγος	a l ɡ o s
ἄλγους	a l ɡ u s
ἄλειαρ	a l i a r
ἄλεισον	a l i s o n
ἄλειφαρ	a l i f a r
ἄλεκτορ	a l e k t o r
ἄλεξις	a l e k s i s
ἄλεος	a l e o s
ἄλευρα	a l e v r a
ἄλευρον	a l e v r o n
ἄλη	a l e̝
ἄληκτος	a l e̝ k t o s
ἄλην	a l e̝ n
ἄληπτος	a l e̝ p t o s
ἄλης	a l e̝ s
ἄλθεξις	a l tʰ e k s i s
ἄλθησις	a l θ i s i s
ἄλθομαι	a l tʰ o m ɛ
ἄλθος	a l tʰ o s
ἄλιζα	a l i z a
ἄλινδα	a l i n d a
ἄλιξ	a l i k s
ἄλισμα	a l i z m a
ἄλιψ	a l i p s
ἄλκα	a l k a
ἄλκαι	a l c e
ἄλκαιν	a l c e n
ἄλκαις	a l c e s
ἄλκας	a l k a s
ἄλκη	a l c i
ἄλκην	a l c i n
ἄλκης	a l c i s
ἄλκηστις	a l c i s t i s
ἄλκιμα	a l c i m a
ἄλκιμε	a l c i m e
ἄλκιμοι	a l c i m i
ἄλκιμον	a l c i m o n
ἄλκιμος	a l c i m o s
ἄλκων	a l k o n
ἄλκῃ	a l c i
ἄλλ'	a l
ἄλλα	a l a
ἄλλαγμα	a l a ɣ m a
ἄλλαι	a l e
ἄλλαιν	a l e n
ἄλλαις	a l e s
ἄλλαισι	a l e s i
ἄλλαισιν	a l e s i n
ἄλλας	a l a s
ἄλλε	a l e
ἄλλη	a l i
ἄλληλα	a l i l a
ἄλλην	a l i n
ἄλλης	a l i s
ἄλλιξ	a l i k s
ἄλλο	a l l o
ἄλλοθ'	a l l o tʰ
ἄλλοθεν	a l l o tʰ e n
ἄλλοθι	a l l o tʰ i
ἄλλοι	a l i
ἄλλοιν	a l i n
ἄλλοις	a l i s
ἄλλοισι	a l i s i
ἄλλοισιν	a l i s i n
ἄλλον	a l l o n
ἄλλος	a l l o s
ἄλλοσε	a l l o s e
ἄλλοτ'	a l l o t
ἄλλοτε	a l l o t e
ἄλλου	a l l u
ἄλλους	a l l u s
ἄλλυδις	a l i ð i s
ἄλλω	a l l o
ἄλλων	a l l o n
ἄλλῃ	a l i
ἄλλῳ	a l l o
ἄλμωπες	a l m o p e s
ἄλξ	a l k s
ἄλογον	a l o ɡ o n
ἄλογος	a l o ɡ o s
ἄλος	a l o s
ἄλοχε	a l o kʰ e
ἄλοχοι	a l o kʰ y
ἄλοχον	a l o kʰ o n
ἄλοχος	a l o kʰ o s
ἄλπεις	a l p i s
ἄλπις	a l p i s
ἄλσος	a l s o s
ἄλυπον	a l i p o n
ἄλυπος	a l i p o s
ἄλυς	a l i s
ἄλυτος	a l i t o s
ἄλφα	a l f a
ἄλφι	a l f i
ἄλφιτα	a l f i t a
ἄλφιτον	a l f i t o n
ἄλῃ	a l e̝
ἄμ	a m
ἄμαθος	a m a tʰ o s
ἄμαλλα	a m a l a
ἄμανος	a m a n o s
ἄμαξα	a m a k s a
ἄμαξαν	a m a k s a n
ἄμασις	a m a s i s
ἄμαστρις	a m a s t r i s
ἄμαχος	a m a kʰ o s
ἄμβιξ	a m b i k s
ἄμβολα	a m b o l a
ἄμβροτα	a m b r o t a
ἄμβροτε	a m b r o t e
ἄμβροτον	a m b r o t o n
ἄμβροτος	a m b r o t o s
ἄμβρυσος	a m b r i s o s
ἄμβων	a m b o n
ἄμεικτα	a m i k t a
ἄμεικτος	a m i k t o s
ἄμεινον	a m i n o n
ἄμεσος	a m e s o s
ἄμη	a m e̝
ἄμητος	a m e̝ t o s
ἄμι	a m i
ἄμικτος	a m i k t o s
ἄμιλος	a m i l o s
ἄμμε	a m e
ἄμμες	a m e s
ἄμμι	a m i
ἄμμιν	a m i n
ἄμμινος	a m i n o s
ἄμμος	a m m o s
ἄμμων	a m m o n
ἄμολβος	a m o l b o s
ἄμορφος	a m o r f o s
ἄμοτον	a m o t o n
ἄμπελε	a m b e l e
ἄμπελοι	a m b e l i
ἄμπελον	a m b e l o n
ἄμπελος	a m b e l o s
ἄμπυξ	a m b i k s
ἄμυδις	a m i ð i s
ἄμυλον	a m i l o n
ἄμυλος	a m i l o s
ἄμυνε	a m i n e
ἄμυνεν	a m i n e n
ἄμυρος	a m i r o s
ἄμφηκες	a m f i c e s
ἄμφισσα	a m f i s a
ἄμφοδον	a m f o ð o n
ἄμφρυσος	a m f r i s o s
ἄμφω	a m f o
ἄμωμον	a m o m o n
ἄν	a n
ἄνα	a n a
ἄναια	a n e a
ἄναιμος	a n e m o s
ἄνακτα	a n a k t a
ἄνακτας	a n a k t a s
ἄνακτε	a n a k t e
ἄνακτες	a n a k t e s
ἄνακτι	a n a k t i
ἄνακτος	a n a k t o s
ἄναλκι	a n a l c i
ἄναλκιν	a n a l c i n
ἄναλκις	a n a l c i s
ἄνανδρος	a n a n d r o s
ἄναξ	a n a k s
ἄναξι	a n a k s i
ἄναξιν	a n a k s i n
ἄναπος	a n a p o s
ἄναρθρος	a n a r tʰ r o s
ἄναρτοι	a n a r t i
ἄναρχος	a n a r kʰ o s
ἄνασσε	a n a s e
ἄνασσεν	a n a s e n
ἄναστρος	a n a s t r o s
ἄναυρος	a n a v r o s
ἄνδηρον	a n d e̝ r o n
ἄνδιχα	a n d i kʰ a
ἄνδρ'	a n d r
ἄνδρα	a n d r a
ἄνδρας	a n d r a s
ἄνδρε	a n d r e
ἄνδρες	a n d r e s
ἄνδρεσσι	a n d r e s i
ἄνδρεσσιν	a n d r e s i n
ἄνδρον	a n d r o n
ἄνδρος	a n d r o s
ἄνδρου	a n d r u
ἄνεμος	a n e m o s
ἄνερ	a n e r
ἄνεσις	a n e s i s
ἄνευ	a n e v
ἄνευθ'	a n e f θ
ἄνευθε	a n e f θ e
ἄνευθεν	a n e f θ e n
ἄνεῳ	a n e o
ἄνηθον	a n e̝ tʰ o n
ἄνητον	a n e̝ t o n
ἄνθει	a n tʰ i
ἄνθεμα	a n tʰ e m a
ἄνθεμον	a n tʰ e m o n
ἄνθινος	a n tʰ i n o s
ἄνθος	a n tʰ o s
ἄνθρακα	a n tʰ r a k a
ἄνθρακας	a n tʰ r a k a s
ἄνθρακε	a n tʰ r a k e
ἄνθρακες	a n tʰ r a k e s
ἄνθρακι	a n tʰ r a k i
ἄνθρακος	a n tʰ r a k o s
ἄνθραξ	a n tʰ r a k s
ἄνθραξι	a n tʰ r a k s i
ἄνθραξιν	a n tʰ r a k s i n
ἄνθρυσκον	a n tʰ r y s k o n
ἄνθρωπε	a n tʰ r o p e
ἄνθρωποι	a n tʰ r o p y
ἄνθρωπον	a n tʰ r o p o n
ἄνθρωπος	a n tʰ r o p o s
ἄνισον	a n i s o n
ἄνισος	a n i s o s
ἄννα	a n a
ἄννησον	a n i s o n
ἄννων	a n n o n
ἄνοδος	a n o d o s
ἄνοια	a n i a
ἄνοικος	a n i k o s
ἄνοικτος	a n i k t o s
ἄνομα	a n o m a
ἄνομε	a n o m e
ἄνομοι	a n o m i
ἄνομον	a n o m o n
ἄνομος	a n o m o s
ἄνοπλα	a n o p l a
ἄνοπλοι	a n o p l i
ἄνοπλον	a n o p l o n
ἄνοπλος	a n o p l o s
ἄνουβις	a n u b i s
ἄντ'	a n d
ἄντα	a n d a
ἄντανδρος	a n d a n d r o s
ἄντην	a n d i n
ἄντιον	a n d i o n
ἄντισσα	a n d i s a
ἄντιφος	a n d i f o s
ἄντλος	a n d l o s
ἄντοικοι	a n d i c i
ἄντοικος	a n d i k o s
ἄντρον	a n d r o n
ἄντυγος	a n d i ɣ o s
ἄντυξ	a n d i k s
ἄνυσος	a n i s o s
ἄνυτος	a n i t o s
ἄνω	a n o
ἄνωγα	a n o ɡ a
ἄνωγας	a n o ɡ a s
ἄνωγε	a n o ɡ e
ἄνωγεν	a n o ɡ e n
ἄνωγον	a n o ɡ o n
ἄνωθεν	a n o tʰ e n
ἄνωσος	a n o s o s
ἄνωχθι	a n o kʰ tʰ i
ἄνωχος	a n o kʰ o s
ἄξει	a k s i
ἄξειν	a k s i n
ἄξια	a k s i a
ἄξιαι	a k s i e
ἄξιε	a k s i e
ἄξιοι	a k s i i
ἄξιος	a k s i o s
ἄξονα	a k s o n a
ἄξος	a k s o s
ἄξουσι	a k s u s i
ἄξυλος	a k s i l o s
ἄξω	a k s o
ἄξων	a k s o n
ἄοικος	a i k o s
ἄοκνοι	a o k n i
ἄοκνος	a o k n o s
ἄοπτος	a o p t o s
ἄορ	a o r
ἄορι	a o r i
ἄπαστον	a p a s t o n
ἄπαστος	a p a s t o s
ἄπατρις	a p a t r i s
ἄπεδος	a p e d o s
ἄπειμι	a p i m i
ἄπειρα	a p i r a
ἄπειροι	a p i r i
ἄπειρον	a p i r o n
ἄπειρος	a p i r o s
ἄπια	a p i a
ἄπιε	a p i e
ἄπιθι	a p i tʰ i
ἄπιοι	a p i i
ἄπιον	a p i o n
ἄπιος	a p i o s
ἄπιστα	a p i s t a
ἄπιστος	a p i s t o s
ἄπληστος	a p l e̝ s t o s
ἄπνοια	a p n i a
ἄπνοος	a p n o o s
ἄπο	a p o
ἄποικοι	a p i c i
ἄποικος	a p i k o s
ἄποινα	a p i n a
ἄπολλον	a p o l l o n
ἄπονος	a p o n o s
ἄπορα	a p o r a
ἄπορε	a p o r e
ἄποροι	a p o r i
ἄπορον	a p o r o n
ἄπορος	a p o r o s
ἄπους	a p u s
ἄποψις	a p o p s i s
ἄππιος	a p i o s
ἄπραγμον	a p r a ɡ m o n
ἄπρακτος	a p r a k t o s
ἄπροικα	a p r i k a
ἄπροικε	a p r i c e
ἄπροικοι	a p r i c i
ἄπροικον	a p r i k o n
ἄπροικος	a p r i k o s
ἄπτερος	a p t e r o s
ἄπυγος	a p i ɣ o s
ἄπφα	a p f a
ἄπωθεν	a p o tʰ e n
ἄρ	a r
ἄρ'	a r
ἄρα	a r a
ἄραβες	a r a b e s
ἄραβος	a r a b o s
ἄραδος	a r a d o s
ἄρακις	a r a c i s
ἄρακος	a r a k o s
ἄραντες	a r a n d e s
ἄραξε	a r a k s e
ἄραπλος	a r a p l o s
ἄραρ	a r a r
ἄρας	a r a s
ἄρασθαι	a r a s tʰ ɛ
ἄρατος	a r a t o s
ἄραχθος	a r a kʰ tʰ o s
ἄραψ	a r a p s
ἄρβα	a r b a
ἄρβερνος	a r b e r n o s
ἄρβηλα	a r b e̝ l a
ἄρβηλος	a r b e̝ l o s
ἄργε	a r ɡ e
ἄργει	a r ɡ i
ἄργελλα	a r ɡ e l l a
ἄργεμον	a r ɡ e m o n
ἄργεος	a r ɡ e o s
ἄργευς	a r ɡ e ʍ s
ἄργεϊ	a r ɡ e i
ἄργιλλος	a r ɡ i l l o s
ἄργιλος	a r ʝ i l o s
ἄργματα	a r ɡ m a t a
ἄργον	a r ɡ o n
ἄργος	a r ɡ o s
ἄργου	a r ɡ u
ἄργους	a r ɡ u s
ἄργυρε	a r ɡ y r e
ἄργυροι	a r ɡ y r y
ἄργυρον	a r ɡ y r o n
ἄργυρος	a r ɡ y r o s
ἄργῳ	a r ɡ o
ἄρδην	a r d e̝ n
ἄρδις	a r d i s
ἄρδω	a r d o
ἄρει	a r i
ἄρειον	a r i o n
ἄρειος	a r i o s
ἄρες	a r e s
ἄρεως	a r e o s
ἄρη	a r e̝
ἄρηα	a r e̝ a
ἄρηος	a r e̝ o s
ἄρης	a r e̝ s
ἄρηϊ	a r e̝ i
ἄρθρα	a r tʰ r a
ἄρθροις	a r tʰ r y s
ἄρθρον	a r tʰ r o n
ἄρθρου	a r tʰ r u
ἄρθρων	a r tʰ r o n
ἄρθρῳ	a r tʰ r o
ἄριζος	a r i z o s
ἄριστα	a r i s t a
ἄρισται	a r i s t e
ἄριστε	a r i s t e
ἄριστοι	a r i s t i
ἄριστον	a r i s t o n
ἄριστος	a r i s t o s
ἄρκευθος	a r c e f θ o s
ἄρκηλος	a r c i l o s
ἄρκιον	a r c i o n
ἄρκτοι	a r k t i
ἄρκτος	a r k t o s
ἄρκτου	a r k t u
ἄρκυς	a r c i s
ἄρμενον	a r m e n o n
ἄρνα	a r n a
ἄρναι	a r n e
ἄρνας	a r n a s
ἄρνε	a r n e
ἄρνειον	a r n i o n
ἄρνειος	a r n i o s
ἄρνες	a r n e s
ἄρνεσι	a r n e s i
ἄρνεσιν	a r n e s i n
ἄρνεσσι	a r n e s i
ἄρνεσσιν	a r n e s i n
ἄρνη	a r n e̝
ἄρνης	a r n e̝ s
ἄρνυμαι	a r n i m e
ἄρξαι	a r k s e
ἄρξαιτε	a r k s e t e
ἄροιτο	a r i t o
ἄρον	a r o n
ἄροτρα	a r o t r a
ἄροτρον	a r o t r o n
ἄρουρα	a r u r a
ἄρουραι	a r u r e
ἄρουραν	a r u r a n
ἄρπιξ	a r p i k s
ἄρποι	a r p i
ἄρρεν	a r e n
ἄρρενα	a r e n a
ἄρρενας	a r e n a s
ἄρρενε	a r e n e
ἄρρενες	a r e n e s
ἄρρενι	a r e n i
ἄρρενος	a r e n o s
ἄρρεσι	a r e s i
ἄρρεσιν	a r e s i n
ἄρρηκτον	a r i k t o n
ἄρρηκτος	a r i k t o s
ἄρρην	a r i n
ἄρρητα	a r i t a
ἄρρητος	a r i t o s
ἄρρυθμος	a r i θ m o s
ἄρρωστος	a r o s t o s
ἄρσεα	a r s e a
ἄρσει	a r s i
ἄρσεις	a r s i s
ἄρσεν	a r s e n
ἄρσενα	a r s e n a
ἄρσενας	a r s e n a s
ἄρσενε	a r s e n e
ἄρσενες	a r s e n e s
ἄρσενι	a r s e n i
ἄρσενος	a r s e n o s
ἄρσεσι	a r s e s i
ἄρσεσιν	a r s e s i n
ἄρσεων	a r s e o n
ἄρσεως	a r s e o s
ἄρσην	a r s e n
ἄρσι	a r s i
ἄρσιας	a r s i a s
ἄρσιε	a r s i e
ἄρσιες	a r s i e s
ἄρσιν	a r s i n
ἄρσιος	a r s i o s
ἄρσις	a r s i s
ἄρσισι	a r s i s i
ἄρσισιν	a r s i s i n
ἄρταμος	a r t a m o s
ἄρτε	a r t e
ἄρτεμις	a r t e m i s
ἄρτημα	a r t e̝ m a
ἄρτι	a r t i
ἄρτια	a r t i a
ἄρτιος	a r t i o s
ἄρτοι	a r t i
ἄρτοις	a r t i s
ἄρτον	a r t o n
ἄρτος	a r t o s
ἄρτου	a r t u
ἄρτους	a r t u s
ἄρτυμα	a r t i m a
ἄρτων	a r t o n
ἄρτῳ	a r t o
ἄρυσος	a r i s o s
ἄρχαβις	a r kʰ a b i s
ἄρχανος	a r kʰ a n o s
ἄρχε	a r kʰ e
ἄρχοι	a r kʰ y
ἄρχομαι	a r kʰ o m ɛ
ἄρχομεν	a r kʰ o m e n
ἄρχον	a r kʰ o n
ἄρχοντα	a r kʰ o n t a
ἄρχοντας	a r kʰ o n t a s
ἄρχοντε	a r kʰ o n t e
ἄρχοντες	a r kʰ o n t e s
ἄρχοντι	a r kʰ o n t i
ἄρχοντος	a r kʰ o n t o s
ἄρχουσα	a r kʰ u s a
ἄρχουσαι	a r kʰ u s ɛ
ἄρχουσαν	a r kʰ u s a n
ἄρχουσι	a r kʰ u s i
ἄρχουσιν	a r kʰ u s i n
ἄρχω	a r kʰ o
ἄρχων	a r kʰ o n
ἄρωμα	a r o m a
ἄρωσιν	a r o s i n
