achab	aː k a b
hawe	h a u̯
hawthorn	h a u̯ ə θ oː r n
hayle	h a u̯ l
haylen	h a u̯ l ə n
he	h eː
hede	h eː d
heed	h ɛ v d
heedles	h ɛ̝ː d l ɛ̝ː s
heft	h ɛ f t
hegge	h ɛ d͡ʒ
heggen	h ɛ d͡ʒ ə n
heggynge	h ɛ d͡ʒ i n ɡ
heigh	h e j x
heilen	h æ i̯ l ə n
hekelen	h ɛ k l ə n
helde	h eː l d
helden	h eː l d ə n
hele	h eː l
heleful	h ɛː l f u l
helen	h ɛː l ə n
helle	h ɛ l
helleware	h ɛ l l ə w a r ə
helm	h ɛ l m
helme	h ɛ l m
helmen	h ɛ l m ə n
helmet	h ɛ l m ɛ t
helthe	h ɛ l θ
helve	h i l v
hemp	h ɛ m p
hempen	h ɛ m p ə n
hemself	h ɛ m s i l f
hen	h ɛ n
henden	h eː n d ə n
hene	h ɛː n
henge	h eː n d͡ʒ
hengel	h i n ɡ ə l
hengen	h ɛ n d͡ʒ ə n
hentynge	h ɛ n t i n ɡ
henxman	h æ i̯ n s m a n
hepe	h ɛː p
her	h eː r
herbage	ɛ r b aː d͡ʒ
herbe	ɛ r b
herber	ɛ r b eː r
herberer	h a r b r ə r
herbergage	h ɛ r b i r ɡ aː d͡ʒ
herbergen	h ɛ r b i d͡ʒ ə n
herberjour	h ɛ r b i d͡ʒ u r
herberwe	h a r b ə r
herberweles	h a r b ə r l ɛ̝ː s
herberwen	h a r b r ə n
herde	h a r d
herdeman	h eː r d m a n
here	h ɛː r
hereditament	ɛ r ɛ d i t a m ɛ n t
hereditarie	h ɛ r ɛ d i t aː r iː
heres	h ɛ r i s
heretowa	h ɛ r t ɔ u̯
hereword	h ɛ r w u r d
herien	h ɛ r i ə n
hering	h ɛ r i n ɡ
heritable	ɛ r i t aː b l ə
heritage	i r i t aː d͡ʒ
heritaunce	ɛ r i t a n s
heriter	ɛ r i t eː r
herken	h ɛ r k ə n
hermofrodite	ɛ r m ɔ f r ɔ d iː t
herne	h eː r n
hernes	h a r n s
heron	h ɛː r n
heronsewe	h ɛ r n s ɛ u̯
herre	h a r
hert	h ɛ r t
herte	h a r t
herted	h ɛ r t i d
hertely	h ɛ r t l iː
herth	h eː r θ
hertles	h ɛ r t l ɛ s
hervest	h ɛ r v ɛ s t
hery	h eː r iː
herynge	h eː r i n ɡ
heste	h ɛ s t
hete	h ɛ t
heten	h ɛ̝ː t ə n
heth	h ɛ̝ː θ
hethen	h eː ð ə n
hethenesse	h ɛː ð n ɛ s
hethenli	h ɛː ð ə n l iː
hethens	h ɛː ð ə n z
heven	h ɛ b ə n
hevene	h ɛ v n ə
hevenely	h ɛ v n ə l iː
heveneriche	h ɛ v n ə r i t͡ʃ
hevy	h ɛ v iː
hevyliche	h ɛː v iː l iː
hevynesse	h ɛː v i n ɛ s
hevynge	h ɛ̞ː v i n ɡ
hevysom	h ɛː v i s u m
hevyte	h ɛː v i t eː
hewe	h i u̯
heyfre	h a f r ə
hidel	h i d ə l
hidels	h i d l ə s
hiene	iː aː n
hight	h i x t
hil	h i l
hindemest	h i n d m ɛː s t
hipe	h i p
hird	h eː r d
hirdel	h i r d ə l
hirdman	h iː r d m a n
hire	h eː r
hiren	h eː r
hires	h i r i s
hirlyng	h iː r l i n ɡ
hirplen	h i r p l ə n
hirste	h i r s t
his	h i s
historial	i s t ɔ r i a l
historie	i s t ɔ i̯ r
historier	i s t ɔ r i ə r
hit	h i t
hitten	h i t ə n
ho	h ɔː
hod	h aː d
hoden	h oː d ə n
hoder	h oː d ə r
hodles	h oː d l ɛ̝ː s
hodynge	h oː d i n ɡ
hog	h ɔ ɡ
hoggeshed	h ɔ ɡ i s h ɛː d
hoken	h oː k ə n
hokschyne	h ɔ k s n ə
holden	h aː l d
holer	h u l eː r
holgh	h ɔ l x
holsom	h a l s u m
holt	h ɔ l t
hom	h aː m
homage	u m aː d͡ʒ
homager	ɔ m a d͡ʒ eː r
homly	h ɔ̝ː m l iː
homward	h ɔ̝ː m w a r d
homwardes	h ɔ̝ː m w a r d ə s
hon	h oː n
hond	h a n d
hondbrede	h a n d b r ɛ̝ː d
hondsom	h a n d s u m
hondwerk	h a n d w ɛ r k
hondywerk	h a n d i w ə r k
hone	h ɔː n
honeste	ɔ n ɛ s t
honestly	ɔ n ɛ s t l i t͡ʃ
hony	h oː n iː
honycomb	h u n iː k aː m
honyed	h u n iː d
honyly	h u n i l iː
honysoke	h u n iː s u k
honysokel	h u n iː s u k ə l
hood	h oː d
hope	h ɔː p
hor	h ɔ̝ː r
hord	h oː r d
horden	h oː r d ə n
hordere	h oː r d ə r
hordom	h oː r d a m
hore	h oː r
horehoune	h ɔ̝ː r h uː n
horen	h ɔ̝ː r ə n
horesone	h oː r s u n
horlyng	h oː r l i n ɡ
horn	h oː r n
horned	h ɔ r n d
hornen	h ɔ r n ə n
hornepipe	h ɔ r n p iː p
hornere	h oː r n ə r
hornesse	h aː r n ɛ s
hornynge	h oː r n i n ɡ
hors	h ɔ r s
horsbak	h ɔ r s b a k
horscomb	h ɔ r s k a m
horsen	h ɔ r s ə n
horshelne	h ɔ r s h ɛ l
horsman	h ɔ r s m a n
horsmynte	h ɔ r s m i n t
horsscho	h ɔ r s ʃ oː
horstaile	h ɔ r s t æ i̯ l
hory	h ɔ r iː
horyen	h ɔ r i ə n
horynesse	h ɔ̝ː r i n ɛ s
hos	h aː r s
hose	h ɔ̞ː z
hosely	h ɔː r s l iː
hosen	h ɔ̞ː z ə n
hosiere	h ɔ̞ː z i ə r
hosnesse	h ɑː r s n ɛ s
hospital	ɔ s p i t a l
hospitalarye	ɔ s p i t a l a r iː
hospitalite	ɔ s p i t a l i t eː
hospiteler	ɔ s p i t a l eː r
hostel	ɔ s t ɛ l
hostelen	ɔ s t ɛ l ə n
hostelerie	ɔ s t ɛ l r iː
hostesse	ɔː s t ɛ s
hostiler	ɔ s t i l eː r
hosynge	h ɔː z i n ɡ
hot	h ɔ t
hough	h oː
houghen	h uː x ə n
hound	h u n d
houndesberie	h uː n d b ɛ r j ə
houndestonge	h uː n d i s t u n ɡ
houre	uː r
hous	h uː s
householdstuff	h uː s h ɔː l d s t u f
housel	h uː z ə l
houselen	h u z l ə n
houselynge	h u z l i n ɡ
housen	h uː z ə n
houshold	h uː s h ɔː l d
houslek	h u s l eː k
housles	h uː s l ɛ s
houswyf	h u z w i f
housynge	h uː z i n ɡ
houten	h uː t ə n
houting	h uː t i n ɡ
houve	h uː
how	h uː
howe	h ɔ u̯
howlen	h uː l ə n
hoxe	h ɔ k s
hoxen	h ɔ k s n ə n
huge	h i u̯ d͡ʒ
hugely	h i u̯ d͡ʒ l iː
hugenesse	h i u̯ d͡ʒ n ɛ s
humanyte	i u̯ m a n i t eː
humayne	i u̯ m æ i̯ n
humour	i u̯ m u r
hund	h u n d
hundred	h u n d r ɛ d
hundredfold	h u n d r ɛ d f ɔː l d
hundredpeny	h u n d r ɛ d p ɛ n iː
hunfold	h u n d f ɑː l d
hunger	h u n ɡ ə r
hungren	h i n ɡ r ə n
hungry	h u n ɡ r iː
hungryly	h u n ɡ r i l i t͡ʃ
hunte	h u n t
hunten	h u n t ə n
huntere	h u n t ə r
hunteresse	h u n t ə r ɛ s
hurdis	h u r d i s
hure	h u r
hurlen	h u r l ə n
hurt	h i r t
hurtelen	h u r k l ə n
hurten	h i r t ə n
hurtour	h u r t u r
huru	h uː r u
husbonde	h u z b a n d
huske	h u s k
hyen	h iː ə n
hyve	h eː v
hæthendom	h ɛː ð ə n d oː m
icchen	i t͡ʃ ə n
ich	i t ʃ
ichave	i t͡ʃ aː v
idelhed	iː d ə l h eː d
if	i f
ik	i k
ikil	i k ə l
ilke	i l k
ilkon	i l k ɔː n
ille	i l
ilome	i l oː m
ilond	iː l a n d
imbiben	i m b iː b ə n
immutable	i m i u̯ t aː b l ə
imperial	i m p ɛː r i a l
imposicioun	i m p ɔ z i s j u n
impregnacioun	i m p r ɛ ɡ n aː s i uː n
in	i
inc	i n k
incorrigible	i n k ɔ r i d ʒ i b ə l
indempnite	i n d ɛ m n i t eː
inderly	i n d r ə l iː
indignacioun	i n d i n ɡ n aː s i uː n
indisposicioun	i n d i s p ɔː z i s j u n
infancie	i n f a n s iː
infaunt	i n f a n t
iniquite	i n i k w i t eː
injurie	i n d ʒ i u̯ r iː
injurious	i n d ʒ i u̯ r i u s
inker	i n k ə r
inscicioun	i n s i s i uː n
instrument	i n s t r i u̯ m ɛ n t
instrumental	i n s t r u m ɛ n t a l
intelligence	i n t ɛ l i d͡ʒ ɛ n s
interposicion	i n t ə r p ɔː z i s j u n
intronizen	i n t r oː n iː z ə n
inward	i n w a r d
inwardes	i n w a r d ə s
inwardly	i n w a r d l iː
inwardnesse	i n w a r d n ɛ s
inwit	i n w i t
iren	iː r
is	i s
issen	i s ə n
issue	i s i u̯
issuen	i s i u̯ ə n
istonden	i s t ɔː n d ə n
isweven	i s w a v ə n
isykle	iː s i k ə l
item	iː t ɛ m
iudeisc	j uː d eː i ʃ
iunnen	i u n ə n
iwerpen	i w u r p ə n
iwin	i w i n
iwinnen	i w i n ə n
jacynct	d ʒ a s i n k t
jakke	d͡ʒ a k
jalousie	d ʒ ɛ l u s iː
jargoun	d͡ʒ a r ɡ u n
jay	d͡ʒ æ i̯
jelous	d͡ʒ a l uː s
jelousnesse	d͡ʒ ɛ l u s n ɛ s
jelouste	d͡ʒ ɛ l u s t eː
jonk	d͡ʒ u n k
jordan	d͡ʒ ɔ r d a n
jorneman	d ʒ u r n æ i̯ m a n
jorneyen	d͡ʒ u r n æ i̯ ə n
journe	d͡ʒ u r n eː
journeier	d ʒ u r n æ i̯ ə r
journeyinge	d ʒ u r n æ i̯ i n ɡ
jowe	d͡ʒ a u̯
joye	d͡ʒ ɔ i̯
joynour	d͡ʒ u i̯ n uː r
joynt	d͡ʒ u i̯ n t
jubbe	d͡ʒ u b
juel	d ʒ i u̯ ə l
jueler	d ʒ i u̯ ə l ə r
juelrye	d͡ʒ i u̯ ə l r iː
juge	d͡ʒ i u̯ d͡ʒ
jument	d͡ʒ i u̯ m ɛ n t
junyper	d ʒ i u̯ n i p ə r
jupartie	d͡ʒ u p a r d iː
jupe	d ʒ i u̯ p
jupoun	d͡ʒ i p u n
jure	d ʒ i u̯ r eː
jurour	d͡ʒ i u̯ r u r
jus	d͡ʒ i u̯ s
jussel	d͡ʒ u s ɛ l
juste	d͡ʒ u s t
kalende	k a l ɛ n d
kalender	k a l ə n d ə r
kampe	k a m p
karette	k a r ɛ t
kayser	k æ i̯ z ə r
keep	k eː p
keler	k eː l ə r
kemben	k eː m b ə n
kembestere	k e m b ə s t r ə
kembynge	k eː m i n ɡ
kempe	k ɛ m p
kempen	k ɛ m p ə n
kemse	k ɛ m z
ken	k ɛ n
kene	k eː n
kennen	k ɛ n ə n
kepen	k eː p ə n
kerf	k i r f
kerne	k ɛ r n
kernel	k i r n ə l
kernellen	k i r n ə l ə n
kersey	k a r z æ i̯
kerven	k ɛ r v ə n
ketel	k i t ə l
keverchef	k u r t͡ʃ eː f
kevercher	k ɛ r t͡ʃ eː r
kex	k i k s
keye	k æ i̯
keyle	k æ i̯ l
kichene	k eː t͡ʃ ə n
kide	k i d
kidenere	k i d n eː r
kideney	k i d n æ i̯
kilne	k i l
kinedom	k i n d a m
kineriche	k i n r i k
kinestol	k i n s t oː l
king	k i n ɡ
kingdom	k i ŋ ɡ d oː m
kingles	k i n ɡ l ɛ s
kingriche	k i n ɡ r i k
kirnelly	k i r n ə l iː
kirtel	k i r t ə l
kissen	k i s ə n
kissynge	k i s i n ɡ
kiteling	k i t l i n ɡ
kitoun	k i t u n
kitthe	k i θ
knape	k n aː p
knappe	k n a p
knappen	k n a p ə n
knave	k n aː v
knaven	k n aː v ə n
knaves	k n aː v i s
kne	k n eː
kneden	k n ɛ̞ː d ə n
knedere	k n ɛː d ə r
knedynge	k n ɛː d i n ɡ
knelek	k n eː l eː k
knelen	k n eː l ə n
knobbe	k n ɔ b
knoble	k n ɔ b ə l
knok	k n ɔ k
knokel	k n u k ə l
knokken	k n ɔ k ə n
knop	k n ɔ p
knoppen	k n ɔ p ə n
knotte	k n ɔ t
knotted	i k n ɔ t ə d
knotty	k n ɔ t iː
knowen	k n ɔ u̯ ə n
knowleche	k n ɔ u̯ l ɛː t͡ʃ
knyf	k n iː f
knyght	k n i x t
knyghten	k n i x t ə n
knyghtly	k n i x t l iː
knyghtschipe	k n i x t ʃ i p
knyl	k n i l
knyllen	k n i l ə n
knytten	k n i t ə n
knytter	k n i t ə r
knyttynge	k n i t i n ɡ
kokerel	k ɔ k r ə l
kyken	k i k ə n
kyllyng	k i l i n ɡ
kyn	k i n
kynde	k eː n d
kyndehede	k iː n d h ɛ̝ː d
kyndel	k i n d ə l
kyndely	k i n d l iː
kyndenesse	k eː n d n ɛ s
kynrede	k i n d r ɛ̝ː d
kyte	k eː t
lachet	l a t͡ʃ ɛ t
ladde	l a d
laddre	l a d r ə
laden	l aː d ə n
lady	l a d iː
ladyschipe	l a d iː ʃ i p
lah	l ɑː x
lamb	l a m
landbok	l a n d b oː k
landlorde	l a n d l ɔ̝ː r d
lane	l aː n
langage	l a n ɡ aː d͡ʒ
lanterne	l a n t ə r n
lard	l a r d
larden	l a r d ə n
lardener	l a r d i n eː r
larder	l a r d eː r
larew	l ɑː r øː w
larke	l a r k
larspel	l aː r s p ɛ l
larðewe	l aː r ð øː w ə
las	l a s
lashe	l a ʃ
late	l a t
lateste	l a t ɛ s t
lathe	l aː ð
latly	l a t l iː
latoun	l a t i n
laufulnes	l a u̯ f u l n ɛ s
laughen	l a u̯ x ə n
laughter	l a u̯ x t ə r
laumpe	l a m p
launce	l a n s
launcegay	l a n s ə ɡ æ i̯
launcele	l a u̯ n s ɛ l
launcen	l a n s ə n
launcet	l a n s ɛ t
launchen	l a n t͡ʃ ə n
launde	l a u̯ n d
laurer	l a u̯ r eː r
lauriol	l a u̯ r i ɔ l
lavatorie	l a v a t ɔː r iː
laven	l aː v ə n
lavender	l a u̯ n d eː r
lavendre	l a v ə n d r ə
lavendrie	l a u̯ n d r iː
laver	l aː v ə r
lavour	l aː v u r
lawe	l a u̯
laweday	l a u̯ d æ i̯
laweful	l a u̯ f u l
lawefully	l a u̯ f u l i t͡ʃ
laweles	l a u̯ l ɛ s
laweliche	l a u̯ l iː
lawely	l a u̯ l iː
lawghynge	l a u̯ x i n ɡ
lawiere	l a u̯ j ə r
lawly	l a u̯ l iː
lax	l a k s
leche	l ɛ t͡ʃ
led	l ɛ̝ː d
lede	l eː d
leden	l eː d ə n
leef	l ɛ̝ː f
lef	l eː f
leg	l ɛ ɡ
lege	l eː d ʒ
legement	l i d ʒ m ɛ n t
legende	l ɛ d͡ʒ ɛ n d
legge	l ɛ d ʒ
legiaunce	l eː d ʒ a n s
lek	l eː k
leme	l eː m
lende	l eː n d
lenden	l eː n d ə n
lenge	l eː n d͡ʒ
lengeren	l ɛ n ɡ ə r ə n
lengthe	l i n k θ
lenten	l ɛ n t ə n
lentile	l ɛ n t i l
leodlich	l eː d l iː t ʃ
lepen	l eː p ə n
lere	l ɛː r
lernen	l eː r n ə n
les	l ɛː s
lesarde	l aː s ɛ r t
lese	l eː z
lesen	l eː z ə n
lesse	l ɛ s
lessoun	l ɛ s oː n
leswe	l i z uː
leswen	l i z u ə n
lete	l eː t
leten	l ɛ t ə n
lether	l ɛ d ə r
letheren	l ɛ ð r ə n
letheryd	l ɛ d ə r i d
lettre	l ɛ t r ə
letuse	l ɛ t i s
leuk	l i u̯ k
leukwarm	l i u̯ k w a r m
leuþe	l ɛ u̯ θ
levayn	l ɛ v i n
leven	l ɛː v ə n
lewed	l ɛ u̯ d
lewedly	l ɛ u̯ d l iː
lewednesse	l ɛ u̯ d n ɛ s
lewidhed	l ɛ u̯ d h ɛː d
leye	l æ i̯
leyen	l æ i̯ ə n
leyt	l æ i̯ t
liberte	l i b ɛ r t eː
librarie	l i b r aː r iː
licour	l i k u r
lid	l i d
lift	l i f t
ligament	l i ɡ a m ɛ n t
ligature	l i ɡ aː t i u̯ r
liggere	l i d͡ʒ ə r
light	l i x t
lightsum	l i x t s u m
likame	l i k aː m
liken	l eː k ə n
likinge	l iː k i n ɡ
likken	l i k ə n
likpot	l i k p ɔ t
lilie	l eː l iː
limbus	l i m b u s
line	l iː n
linnen	l i n ə n
liquide	l i k w i d
litel	l i t ə l
livid	l i v i d
locion	l ɔː s i oː n
locuste	l ɔː k u s t
lof	l aː f
lofly	l ɔ f l iː
logge	l ɔ d͡ʒ
loggen	l ɔ d͡ʒ ə n
lok	l aː k
loken	l oː k ə n
lokynge	l oː k i n ɡ
lollen	l o l l e n
lome	l oː m
lond	l a n d
londed	l ɔː n d ə d
londen	l a n d ə n
londyng	l a n d i n ɡ
long	l a n ɡ
longe	l a n ɡ
longman	l ɔ̝ː n ɡ m a n
longnesse	l ɔ̝ n ɡ n ɛ s
lopen	l a u̯ p ə n
loppe	l o
loppestere	l ɔ b s t ə r
lord	l ɑː v ə r d
lordles	l ɔ̝ː r d l ɛ s
lordly	l ɔː r d l iː
lordlyng	l ɔː r d i n ɡ
lordschipe	l aː v ə r d ʃ i p
lore	l aː r
loresman	l aː r ə s m a n
lorfadyr	l aː r f a d ə r
lorþein	l ɑː r ð ɛ j n
los	l ɔ s
losen	l a u̯ s ə n
losenge	l ɔ z a n d͡ʒ
losengen	l ɔ z ɛ n d͡ʒ ə n
losengeour	l ɔ z ɛ n d͡ʒ eː r
losengerie	l ɔ z ɛ n d͡ʒ r iː
losse	l ɔ s ɛ
losynge	l oː s i n ɡ
loth	l ɔː θ
loud	l uː d
loude	l uː d
louren	l uː r ə n
lous	l uː s
louten	l uː t ə n
lovable	l u v aː b l ə
love	l aː f
loveache	l u v a d͡ʒ
loveday	l u v d æ i̯
loveles	l u v l ɛ s
lovely	l u v l i t͡ʃ
lovelyly	l u v l i l iː
loven	l oː v ə n
lover	l oː v eː r
lovere	l u v j ə r
loverede	l u v r ɛ d
lovesom	l u f s u m
lovynge	l oː v i n ɡ
lowe	l ɔ u̯
lowen	l ɔ u̯ ə n
lowting	l o u̯ t i n ɡ
loyne	l i u̯ n
lude	l i u̯ d
lugge	l u ɡ
luggen	l u ɡ ə n
luk	l u k
lukky	l u k iː
lune	l i u̯ n
lushen	l u ʃ ə n
lusk	l u s k
lusty	l u s t iː
lustyhede	l u s t iː h ɛː d
luxurie	l u k s j u r i
luxurious	l u k s j uː r i u s
lyard	l iː a r d
lycorys	l i k u r i s
lyf	l iː f
lyfles	l iː f l ɛ s
lykewyse	l iː k w iː z
lym	l iː m
lymbo	l i m b oː
lyme	l eː m
lymon	l i m u n
lyne	l i n
lynet	l i n t
lyng	l i n ɡ
lynx	l i n k s
lyoun	l i uː n
lyoure	l iː u r
lyven	l eː v ə n
lyvere	l eː v ə r
lyveren	l i v r ə n
lyveret	l i v r ɛ t
lyverwort	l eː v ə r w u r t
macche	m a t͡ʃ
macchen	m a t͡ʃ ə n
mace	m aː s
macer	m aː s ə r
macula	m a k i u̯ l aː
macys	m aː s
mad	m a d
madame	m a d a m
madden	m a d ə n
mader	m a d r ə
madhede	m a d h ɛː d
madli	m a d l iː
madnesse	m a d n ɛ s
madschipe	m a d ʃ i p
mages	m aː d ʒ i s
mageste	m a d͡ʒ ɛ s t eː
magicien	m a d͡ʒ i s i ɛː n
magik	m a d ʒ i k
magnes	m a ɡ n ɛ s
magnete	m a ɡ n eː t
magot	m a ɡ ɔ t
maistresse	m æ i̯ s t r ɛ s
make	i m aː k
maken	m a k ə n
maker	m aː k ə r
makerel	m a k ə r ɛ l
maladie	m a l a d iː
malard	m a l a r d
male	m aː l
malediccion	m a l ɛ d i k s i oː n
malemorte	m aː l m ɔ r t
malencolie	m a l ə n k ɔː l iː
malencolien	m a l ə n k ɔː l iː ɛ n
malencolik	m a l ə n k ɔː l i k
malencolious	m a l ə n k ɔː l i uː s
maligne	m a l i n ɡ n
malignen	m a l i n ɡ n ə n
malisoun	m a l i s u n
malmesye	m a l m ɛ z iː
malt	m a l t
maltalent	m a l t a l ɛ n t
maltestere	m a l s t ə r
malvesye	m a l v ɛ z iː
malwe	m a l i u̯
man	m a n
manace	m a n a s
manacen	m a n a s ə n
manchet	m a n t͡ʃ ɛ t
mane	m aː n
maner	m a n ɔ i̯ r
manere	m a n eː r
manered	m a n eː r ə d
manerely	m a n eː r l iː
manful	m a n f u l
manfully	m a n f u l iː
manfulnesse	m a n f u l n ɛ s
manger	m aː n d ʒ uː r
mangerie	m a u̯ n d͡ʒ ə r iː
mani	m a n iː
manifestour	m a n i f ɛ s t uː r
mankyn	m a n k i n
mankynde	m a n k eː n d
manly	m a n l iː
manquellere	m a n k w ɛ l ə r
manrede	m a n r ɛː d
mansioun	m a n s j u n
mantel	m a n t ə l
mantellen	m a n t l ə n
mapel	m a p ə l
mare	m aː r
mareys	m a r i s
margyn	m a r d͡ʒ i n
marien	m a r iː ə n
marin	m a r i n
marinel	m a r i n ɛ l
mariner	m a r i n eː r
maris	m a r i s
market	m a r k a t
marle	m a r l
marlen	m a r l ə n
marow	m a r i x
marowy	m a r ɔ u̯ iː
marschal	m a r i s t͡ʃ a l
masculyn	m a s k i u̯ l i n
mase	m aː z
mased	m aː z d
masedliche	m aː z d l iː
masen	m aː z ə n
maser	m aː z ə r
masse	m a s
massif	m a s i f
massy	m a s iː
mastik	m a s t i k
mastyf	m a s t i f
mat	m a t
mate	m aː t
maten	m aː t ə n
materas	m a t r a s
matere	m a t ə r
material	m a t ɛː r i a l
materialy	m a t ɛ r i aː l iː
matrice	m aː t r i s
matrone	m aː t r oː n
matte	m a t
mattok	m a t ɔ k
maturacioun	m aː t i u̯ r aː s i uː n
maturatif	m aː t i u̯ r aː t i f
mature	m a t i u̯ r
maturen	m a t i u̯ r ə n
maturynge	m a t i u̯ r i n ɡ
matyns	m a t i n s
maunde	m a n d eː
maundement	m a n d i m ɛ n t
mavys	m aː v i s
mawe	m a u̯
mawmene	m a m ɛ n eː
mawmet	m a u̯ m ɛ n t
mawmetrie	m a u̯ m ɛ n t r iː
may	m æ i̯
mayde	m æ i̯ d
mayden	m æ i̯ d ə n
maydenhede	m æ i̯ d ə n h ɔ̝ː d
mayle	m æ i̯ l
mayled	m æ i̯ l ə d
maylet	m a l ɛ t
maym	m æ i̯ m
maymen	m a æ i̯ m ə n
mayn	m a j ə n
maynful	m æ i̯ n f u l
maynlond	m æ i̯ n l a n d
maynly	m æ i̯ n l iː
maynouren	m a n i u̯ r ə n
maythe	m a u̯ ð
mazidnesse	m aː z d n ɛ s
me	m eː
mecche	m a t͡ʃ
meche	m eː t͡ʃ
mede	m eː d
medeful	m eː d f u l
medefully	m eː d f u l iː
meden	m eː d ə n
medewax	m ɛː d w a k s
medewort	m eː d w u r t
medle	m ɛ d l ə
medler	m ɛ d l eː r
medwe	m i d uː
megre	m ɛː ɡ r ə
mekanyk	m ɛː k a n i k
mel	m ɛ̝ː l
mele	m ɛ̞ː l
melodie	m ɛ l ɔ d iː
melodious	m ɛ l ɔ d i uː s
melten	m a l t ə n
menage	m æ i̯ n aː d͡ʒ
menden	m ɛ n d ə n
menowe	m i n i u̯
mensk	m ɛ n s k
menske	m ɛ n k
mensken	m ɛ n s k ə n
menskful	m ɛ n s k f u l
menskfully	m ɛ n s k f u l iː
menskly	m ɛ n s k l iː
menuse	m ɛ n i s
merche	m a r t͡ʃ
mereswyn	m ɛ r s w iː n
merlioun	m ɛ r l i n
merren	m a r
merssh	m a r ʃ
mersshy	m a r ʃ iː
merveile	m ɛ r v æ i̯ l
merveilen	m ɛ r v æ i̯ l ə n
merveilous	m ɛ r v ə l ə s
merveilously	m ɛ r v ə l ə s l iː
merveilynge	m ɛ r v æ i̯ l i n ɡ
messe	m ɛ s
messen	m ɛ s ə n
metal	m ɛ t a l
mete	m eː t
meteles	m ɛ t l ɛ̝ː s
metropol	m ɛ t r ɔ p ɔ l
mette	m ɛ t
mewe	m i u̯
mewen	m i u̯ ə n
mewynge	m i u̯ i n ɡ
meyne	m æ i̯ n eː
meyneal	m æ i̯ n a l
mi	m i
mid	m i d
mile	m i l
milioun	m i l i uː n
milk	m i l k
milte	m i l t
min	m iː n
mincen	m i n s ə n
ministracioun	m i n i s t r aː s i uː n
ministre	m i n i s t ə r
mire	m iː r
mirour	m i r u r
mirre	m i r
miserie	m i z ɛ r iː
misgang	m i s ɡ a n ɡ
misleren	m i s l ɛː r ə n
mistel	m i s t ə l
mistelto	m i s t ə l t ɔː
misten	m i s t ə n
mister	m i s t ə r
mithen	m iː ð ə n
miȝen	m iː ə n
mo	m ɔː
moddrie	m ɔ d r iː
mode	m oː d
moder	m oː d ə r
moderhede	m oː d ə r h oː d
moderles	m oː d ə r l ɛ s
moderly	m oː d ə r l iː
moderwort	m oː d ə r w u r t
modilich	m oː d iː l iː
modinesse	m oː d iː n ɛ s
mody	m oː d iː
moiste	m ɔ i̯ s t
moisten	m ɔ i̯ s t ə n
moistinge	m ɔ i̯ s t i n ɡ
moistnesse	m ɔ i̯ s t n ɛ s
moisture	m ɔ i̯ s t i u̯ r
mokadour	m u k ə d u r
molde	m oː l d
moldebred	m oː l d b r ɛ d
molden	m ɔː l d ə n
moldere	m ɔː l d ə r
moldewarpe	m ɔ l d w a r p
moldyng	m ɔː l d i n ɡ
molesten	m ɔ l ɛ s t ə n
moleyne	m u l i n
molle	m u l
mollen	m u i̯ l ə n
mollifien	m ɔ l i f iː ə n
mone	m aː n
monen	m u n ə n
moneth	m oː n ə θ
moneye	m u n æ i̯
moneyeles	m u n æ i̯ l ɛ̝ː s
moneyen	m u n æ i̯ ə n
moneyour	m u n i u r
mongere	m ɔ n ɡ ə r
monk	m u n k
monstre	m ɔ n s t r ə
monstruous	m ɔ n s t r i u̯ uː s
monymaker	m u n i m aː k ə r
mor	m oː r
more	m aː r
morgage	m ɔ r ɡ aː d͡ʒ
mornen	m u r n ə n
morsel	m u r s ə l
morsure	m ɔ r s i u̯ r
morter	m ɔ r t eː r
morteys	m ɔ r t i s
morther	m u r d ə r
morwe	m a r i u̯
morwen	m oː r n
morwenynge	m a r n i n ɡ
morwynge	m ɔ r i u̯ i n ɡ
mot	m oː t
mote	m ɔː t
moten	m oː t ə n
motoun	m u t u n
mounde	m uː n d
mount	m u n t
mountant	m u n t a u̯ n t
mountayne	m u n t æ i̯ n
mounten	m u n t ə n
mountuous	m u n t i u̯ uː s
mounture	m uː n t i u̯ r
mous	m uː s
mousen	m uː s ə n
mousere	m uː s ɛː r
mouspese	m uː s p eː z
mouth	m uː θ
mowe	m a u̯
mowen	m a ɣ ə n
mowere	m ɔ u̯ ə r
mowlde	m ɔ u̯ l d
mowlen	m uː l ə n
mowtynge	m uː t i n ɡ
mowynge	m ɔ u̯ i n ɡ
muet	m i u̯ t
mugwort	m u ɡ w u r t
muk	m u k
mukken	m u k ə n
mule	m i u̯ l
mund	m u n d
murage	m i u̯ r aː d͡ʒ
mure	m i u̯ r
muren	m i u̯ r ə n
murmur	m u r m u r
murrey	m u r eː
musard	m i u̯ z a r d
muscheron	m u s ə r uː n
muscilage	m i u̯ s i l aː d͡ʒ
muscle	m u s k i u̯ l
musen	m i u̯ z ə n
musicien	m i u̯ z i s i ɛ n
musike	m i u̯ z i k
muskadel	m u s k a d ɛ l
muske	m u s k
musket	m u s k i t
must	m u s t
mustard	m u s t a r d
mutabilite	m i u̯ t a b i l i t eː
mutable	m i u̯ t aː b l ə
mutacioun	m i u̯ t aː s i uː n
mychen	m i t͡ʃ ə n
mycher	m i t͡ʃ ə r
myddel	m eː d ə l
myddelerd	m i d l ə r d
myddelerthe	m i d ə l eː r ð
