a	ɐ
serelepe	s e ɾ e l e p i
serem	s e ɾ ẽj̃
seremos	s e ɾ ẽ m u s
serena	s e ɾ ẽ n ɐ
serenamente	s e ɾ e n ɐ m ẽ t ʃ i
serenata	s e ɾ e n ɐ t ɐ
serenidade	s e ɾ e n i d ɐ d ʒ i
sereno	s e ɾ ẽ n u
seres	s e ɾ i s
sereza	s e ɾ e z ɐ
serge	s e ʁ ʒ i
sergei	s e ʁ ʒ ej
sergen	s e ʁ ʒ ẽ
sergi	s e ʁ ʒ i
serginho	s e ʁ ʒ ĩ ɲ u
sergio	s e ʁ ʒ i u
sergipana	s e ʁ ʒ i p ɐ̃ n ɐ
sergipano	s e ʁ ʒ i p ɐ̃ n u
sergipe	s e ʁ ʒ i p i
serguei	s e ʁ ɡ ej
seria	s e ɾ i ɐ
seriado	s e ɾ i ɐ d u
seriados	s e ɾ i ɐ d u s
seriais	s e ɾ i ɐj s
serial	s e ɾ i ɐw
serialismo	s e ɾ i ɐ l i z m u
seriam	s e ɾ i ɐ̃w̃
seriamente	s e ɾ i ɐ m ẽ t ʃ i
seridó	s e ɾ i d ɔ
seriedade	s e ɾ i e d ɐ d ʒ i
series	s e ɾ i i s
serif	s e ɾ i f
serigrafia	s e ɾ i ɡ ɾ ɐ f i ɐ
seringa	s e ɾ ĩ ɡ ɐ
seringal	s e ɾ ĩ ɡ ɐw
seringas	s e ɾ ĩ ɡ ɐ s
seringueira	s e ɾ ĩ ɡ ej ɾ ɐ
seringueiras	s e ɾ ĩ ɡ ej ɾ ɐ s
seringueiro	s e ɾ ĩ ɡ ej ɾ u
seringueiros	s e ɾ ĩ ɡ ej ɾ u s
sermos	s e ʁ m u s
sermão	s e ʁ m ɐ̃w̃
sermões	s e ʁ m õj̃ s
serna	s e ʁ n ɐ
serotonina	s e ɾ o t o n ĩ n ɐ
serpa	s e ɹ p ɐ
serpente	s e ɹ p ẽ t ʃ i
serpentes	s e ɹ p ẽ t ʃ i s
serpentina	s e ɹ p ẽ t ʃ ĩ n ɐ
serpentinas	s e ɹ p ẽ t ʃ ĩ n ɐ s
serpico	s e ɹ p i k u
serpro	s e ɹ p ɾ u
serpui	s e ɹ p uj
serra	s e ʁ ɐ
serragem	s e ʁ ɐ ʒ ẽj̃
serralheiro	s e ʁ ɐ ʎ ej ɾ u
serralheria	s e ʁ ɐ ʎ e ɾ i ɐ
serramar	s e ʁ ɐ m ɐ ɹ
serrana	s e ʁ ɐ̃ n ɐ
serrano	s e ʁ ɐ̃ n u
serrar	s e ʁ ɐ ɹ
serraram	s e ʁ ɐ ɾ ɐ̃w̃
serraria	s e ʁ ɐ ɾ i ɐ
serras	s e ʁ ɐ s
serreau	s e ʁ e ɐw
serrinha	s e ʁ ĩ ɲ ɐ
serroni	s e ʁ o n i
serrote	s e ʁ o t ʃ i
serson	s e ɹ s õ
sertaneja	s e ɹ t ɐ n e ʒ ɐ
sertanejas	s e ɹ t ɐ n e ʒ ɐ s
sertanejo	s e ɹ t ɐ n e ʒ u
sertanejos	s e ɹ t ɐ n e ʒ u s
sertão	s e ɹ t ɐ̃w̃
sertãozinho	s e ɹ t ɐ̃w̃ z ĩ ɲ u
sertório	s e ɹ t ɔ ɾ i u
sertões	s e ɹ t õj̃ s
serva	s e ʁ v ɐ
servaz	s e ʁ v ɐj s
serve	s e ʁ v i
servem	s e ʁ v ẽj̃
servente	s e ʁ v ẽ t ʃ i
serventes	s e ʁ v ẽ t ʃ i s
serventia	s e ʁ v ẽ t ʃ i ɐ
server	s e ʁ v e ɹ
servi	s e ʁ v i
servia	s e ʁ v i ɐ
serviam	s e ʁ v i ɐ̃w̃
service	s e ʁ v i s i
services	s e ʁ v i s i s
servida	s e ʁ v i d ɐ
servidas	s e ʁ v i d ɐ s
servido	s e ʁ v i d u
servidor	s e ʁ v i d o ɹ
servidora	s e ʁ v i d o ɾ ɐ
servidores	s e ʁ v i d o ɾ i s
servidos	s e ʁ v i d u s
servidão	s e ʁ v i d ɐ̃w̃
servil	s e ʁ v iw
servindo	s e ʁ v ĩ d u
servir	s e ʁ v i ɹ
serviram	s e ʁ v i ɾ ɐ̃w̃
servirem	s e ʁ v i ɾ ẽj̃
serviria	s e ʁ v i ɾ i ɐ
serviriam	s e ʁ v i ɾ i ɐ̃w̃
servirá	s e ʁ v i ɾ ɐ
servirão	s e ʁ v i ɾ ɐ̃w̃
servisse	s e ʁ v i s i
servissem	s e ʁ v i s ẽj̃
serviu	s e ʁ v iw
serviçais	s e ʁ v i s ɐj s
serviçal	s e ʁ v i s ɐw
serviço	s e ʁ v i s u
serviços	s e ʁ v i s u s
servo	s e ʁ v u
servos	s e ʁ v u s
servílio	s e ʁ v i l i u
será	s e ɾ ɐ
serão	s e ɾ ɐ̃w̃
seríamos	s e ɾ i ɐ m u s
ses	s i j s
sesc	s e s k
sesi	s e z i
sessenta	s e s ẽ t ɐ
session	s e s i õ
sessions	s e s i õ s
sessão	s e s ɐ̃w̃
sessões	s e s õj̃ s
sest	s e s t ʃ
sesta	s e s t ɐ
set	s e t ʃ
seta	s e t ɐ
sete	s e t ʃ i
setecentos	s e t e s ẽ t u s
setembro	s e t ẽ b ɾ u
setenove	s e t e n o v i
setenta	s e t ẽ t ɐ
setentrional	s e t ẽ t ɾ i o n ɐw
setetenta	s e t e t ẽ t ɐ
setin	s e t ʃ ĩ
setor	s e t o ɹ
setores	s e t o ɾ i s
setoriais	s e t o ɾ i ɐj s
setorial	s e t o ɾ i ɐw
sets	s e t ʃ s
sette	s e t ʃ t ʃ i
setters	s e t ʃ t e ɹ s
setti	s e t ʃ t ʃ i
setton	s e t ʃ t õ
setuagenário	s e t u ɐ ʒ e n ɐ ɾ i u
setuagésimo	s e t u ɐ ʒ ɛ z ĩ m u
setubal	s e t u b ɐw
setyon	s e t ʃ j õ
setzer	s e t ʃ z e ɹ
setúbal	s e t u b ɐw
seu	s ew
seuil	s ew j w
seul	s ew w
seurat	s ew ɾ ɐ t ʃ
seus	s ew s
sevcenko	s e v s ẽ k u
seven	s e v ẽ
sevenoaks	s e v e n o ɐ k s
seventeen	s e v ẽ t e ẽ
severa	s e v e ɾ ɐ
severamente	s e v e ɾ ɐ m ẽ t ʃ i
severas	s e v e ɾ ɐ s
severiano	s e v e ɾ i ɐ̃ n u
severidade	s e v e ɾ i d ɐ d ʒ i
severina	s e v e ɾ ĩ n ɐ
severino	s e v e ɾ ĩ n u
severo	s e v e ɾ u
severos	s e v e ɾ u s
sevilha	s e v i ʎ ɐ
sevilla	s e v iw l ɐ
sew	s ew
sex	s e k s
sexagenário	s e k s ɐ ʒ e n ɐ ɾ i u
sexagésimo	s e k s ɐ ʒ ɛ z ĩ m u
sexismo	s e k s i z m u
sexista	s e k s i s t ɐ
sexo	s e k s u
sexos	s e k s u s
sexta	s e s t ɐ
sextas	s e s t ɐ s
sexteto	s e s t e t u
sexto	s e s t u
sexuais	s e k s u ɐj s
sexual	s e k s u ɐw
sexualidade	s e k s u ɐ l i d ɐ d ʒ i
sexualidades	s e k s u ɐ l i d ɐ d ʒ i s
sexualmente	s e k s u ɐw m ẽ t ʃ i
sexy	s e s i
sexóloga	s e k s ɔ l o ɡ ɐ
sexólogo	s e k s ɔ l o ɡ u
seychelles	s e i ʃ ɛw l i s
seymour	s e i m ow ɹ
seção	s e s ɐ̃w̃
seções	s e s õj̃ s
sf	s f
sfat	s f ɐ t ʃ
sfh	s f
sforza	s f o ʁ z ɐ
sg	s ɡ
sga	s ɡ ɐ
sganzerla	s ɡ ɐ̃ z e ɹ l ɐ
sgs	s ɡ s
sgt	s ɡ t ʃ
sh	ʃ
shaat	ʃ ɐ ɐ t ʃ
shaath	ʃ ɐ ɐ t ʃ
shabba	ʃ ɐ b b ɐ
shadow	ʃ ɐ d ow
shadowlands	ʃ ɐ d ow l ɐ̃ d ʒ s
shadows	ʃ ɐ d ow s
shaka	ʃ ɐ k ɐ
shake	ʃ ɐ k i
shakespeare	ʃ ɐ k e s p e ɐ ɾ i
shakespeareana	ʃ ɐ k e s p e ɐ ɾ e ɐ̃ n ɐ
shakespeariana	ʃ ɐ k e s p e ɐ ɾ i ɐ̃ n ɐ
shakespeariano	ʃ ɐ k e s p e ɐ ɾ i ɐ̃ n u
shakur	ʃ ɐ k u ɹ
shalakô	ʃ ɐ l ɐ k o
shalikashvili	ʃ ɐ l i k ɐ ʃ v i l i
shalimov	ʃ ɐ l ĩ m o v
shalom	ʃ ɐ l õ
shame	ʃ ɐ̃ m i
shamir	ʃ ɐ m i ɹ
shan	ʃ ɐ̃
shane	ʃ ɐ̃ n i
shangai	ʃ ɐ̃ ɡ ɐj
shanks	ʃ ɐ̃ k s
shannon	ʃ ɐ̃ n õ
shape	ʃ ɐ p i
shapiro	ʃ ɐ p i ɾ u
shaq	ʃ ɐ k
shaquille	ʃ ɐ k j w l i
shara	ʃ ɐ ɾ ɐ
sharabi	ʃ ɐ ɾ ɐ b i
share	ʃ ɐ ɾ i
shareware	ʃ ɐ ɾ ew ɐ ɾ i
sharif	ʃ ɐ ɾ i f
sharon	ʃ ɐ ɾ õ
sharp	ʃ ɐ ɹ p
shatner	ʃ ɐ t ʃ n e ɹ
shattuck	ʃ ɐ t ʃ t u k k
shaw	ʃ ɐw
shawn	ʃ ɐw n
shazam	ʃ ɐ z ɐ̃w̃
she	ʃ i
sheen	ʃ e ẽ
sheffield	ʃ e f f i ew d ʒ
sheik	ʃ ej k
sheila	ʃ ej l ɐ
shelby	ʃ ew b i
sheldon	ʃ ew d õ
shell	ʃ ew w
shelley	ʃ ɛw l e i
shelleys	ʃ ew l e i s
shelton	ʃ ew t õ
shepard	ʃ e p ɐ ʁ d ʒ
shephard	ʃ e f ɐ ʁ d ʒ
shepherd	ʃ e f e ʁ d ʒ
sheraton	ʃ e ɾ ɐ t õ
sheridan	ʃ e ɾ i d ɐ̃
sherlock	ʃ e ɹ l o k k
sherlocks	ʃ e ɹ l o k k s
sherman	ʃ e ʁ m ɐ̃
sherwood	ʃ e ɹ w o o d ʒ
sheryl	ʃ e ɹ iw
shi	ʃ i
shields	ʃ i ew d ʒ s
shillinger	ʃ iw l ĩ ʒ e ɹ
shilts	ʃ iw t ʃ s
shimada	ʃ ĩ m ɐ d ɐ
shimbun	ʃ ĩ b ũ
shimizu	ʃ ĩ m i z u
shimon	ʃ ĩ m õ
shin	ʃ ĩ
shine	ʃ ĩ n i
ship	ʃ i p
shirer	ʃ i ɾ e ɹ
shirley	ʃ i ɹ l e i
shirt	ʃ i ɹ t ʃ
shirts	ʃ i ɹ t ʃ s
shiró	ʃ i ɾ ɔ
shis	ʃ i j s
shiseido	ʃ i z ej d u
shit	ʃ i t ʃ
shiu	ʃ iw
shoah	ʃ o ɐ
shoemaker	ʃ o e m ɐ k e ɹ
shohoji	ʃ o o ʒ i
shonen	ʃ o n ẽ
shop	ʃ o p
shopping	ʃ o p p ĩ ɡ
shoppings	ʃ o p p ĩ ɡ s
shops	ʃ o p s
shore	ʃ o ɾ i
short	ʃ o ɹ t ʃ
shorts	ʃ o ɹ t ʃ s
shostakovich	ʃ o s t ɐ k o v i ʃ
shot	ʃ o t ʃ
shout	ʃ ow t ʃ
show	ʃ ow
showalter	ʃ ow ɐw t e ɹ
showbiz	ʃ ow b i j s
showcase	ʃ ow k ɐ z i
showman	ʃ ow m ɐ̃
showmício	ʃ ow m i s i u
showroom	ʃ ow ɾ o õ
shows	ʃ ow s
showtime	ʃ ow t ʃ ĩ m i
shriver	ʃ ɾ i v e ɹ
shu	ʃ u
shuttle	ʃ u t ʃ t l i
shwarz	ʃ w ɐ ʁ s
shylock	ʃ i l o k k
si	s i
siaf	s i ɐ f
siafi	s i ɐ f i
sial	s i ɐw
siamês	s i ɐ m e s
sibilante	s i b i l ɐ̃ t ʃ i
sibéria	s i b ɛ ɾ i ɐ
sic	s i k
sica	s i k ɐ
siciliana	s i s i l i ɐ̃ n ɐ
sicilianas	s i s i l i ɐ̃ n ɐ s
siciliano	s i s i l i ɐ̃ n u
sicilianos	s i s i l i ɐ̃ n u s
sicília	s i s i l i ɐ
sid	s i d ʒ
side	s i d ʒ i
sidekick	s i d e k i k k
sideral	s i d e ɾ ɐw
siderbrás	s i d e ʁ b ɾ ɐ s
siderurgia	s i d e ɾ u ʁ ʒ i ɐ
siderúrgica	s i d e ɾ u ʁ ʒ i k ɐ
siderúrgicas	s i d e ɾ u ʁ ʒ i k ɐ s
siderúrgico	s i d e ɾ u ʁ ʒ i k u
siderúrgicos	s i d e ɾ u ʁ ʒ i k u s
sidharta	s i d ɐ ɹ t ɐ
sidnei	s i d ʒ n ej
sidney	s i d ʒ n e i
sido	s i d u
sidra	s i d ɾ ɐ
sidrack	s i d ɾ ɐ k k
sieeesp	s i e e e s p
sieesp	s i e e s p
siegbert	s i e ɡ b e ɹ t ʃ
siegel	s i e ʒ ɛw
siegfried	s i e ɡ f ɾ i e d ʒ
siemens	s i ẽ m ẽ s
siena	s i ẽ n ɐ
sierra	s i e ʁ ɐ
sievernich	s i e v e ʁ n i ʃ
sif	s i f
sig	s i ɡ
siga	s i ɡ ɐ
sigam	s i ɡ ɐ̃w̃
sigei	s i ʒ ej
sight	s i ɡ t ʃ
sigilo	s i ʒ i l u
sigilos	s i ʒ i l u s
sigilosa	s i ʒ i l ɔ z ɐ
sigilosamente	s i ʒ i l ɔ z ɐ m ẽ t ʃ i
sigilosas	s i ʒ i l ɔ z ɐ s
sigiloso	s i ʒ i l o z u
sigilosos	s i ʒ i l o z u s
sigla	s i ɡ l ɐ
siglas	s i ɡ l ɐ s
sigma	s i ɡ m ɐ
sigmar	s i ɡ m ɐ ɹ
sigmaringa	s i ɡ m ɐ ɾ ĩ ɡ ɐ
sigmund	s i ɡ m ũ d ʒ
signatário	s i ɡ n ɐ t ɐ ɾ i u
signatários	s i ɡ n ɐ t ɐ ɾ i u s
significa	s i ɡ n i f i k ɐ
significado	s i ɡ n i f i k ɐ d u
significados	s i ɡ n i f i k ɐ d u s
significam	s i ɡ n i f i k ɐ̃w̃
significando	s i ɡ n i f i k ɐ̃ d u
significante	s i ɡ n i f i k ɐ̃ t ʃ i
significar	s i ɡ n i f i k ɐ ɹ
significaria	s i ɡ n i f i k ɐ ɾ i ɐ
significará	s i ɡ n i f i k ɐ ɾ ɐ
significativa	s i ɡ n i f i k ɐ t ʃ i v ɐ
significativamente	s i ɡ n i f i k ɐ t ʃ i v ɐ m ẽ t ʃ i
significativas	s i ɡ n i f i k ɐ t ʃ i v ɐ s
significativo	s i ɡ n i f i k ɐ t ʃ i v u
significativos	s i ɡ n i f i k ɐ t ʃ i v u s
significava	s i ɡ n i f i k ɐ v ɐ
significavam	s i ɡ n i f i k ɐ v ɐ̃w̃
significação	s i ɡ n i f i k ɐ s ɐ̃w̃
significações	s i ɡ n i f i k ɐ s õj̃ s
significou	s i ɡ n i f i k ow
signifique	s i ɡ n i f i k i
signifiquem	s i ɡ n i f i k ẽj̃
signo	s i ɡ n u
signori	s i ɡ n o ɾ i
signorini	s i ɡ n o ɾ ĩ n i
signos	s i ɡ n u s
sigo	s i ɡ u
sigourney	s i ɡ ow ʁ n e i
sigrist	s i ɡ ɾ i s t ʃ
siim	s i ĩ
silagem	s i l ɐ ʒ ẽj̃
silajdzic	s i l ɐ ʒ d ʒ z i k
silas	s i l ɐ s
silence	s i l ẽ s i
silencia	s i l ẽ s i ɐ
silenciador	s i l ẽ s i ɐ d o ɹ
silenciar	s i l ẽ s i ɐ ɹ
silencio	s i l ẽ s i u
silenciosa	s i l ẽ s i ɔ z ɐ
silenciosamente	s i l ẽ s i ɔ z ɐ m ẽ t ʃ i
silenciosas	s i l ẽ s i ɔ z ɐ s
silencioso	s i l ẽ s i o z u
silenciosos	s i l ẽ s i o z u s
silenciou	s i l ẽ s i ow
silene	s i l e n i
silent	s i l ẽ t ʃ
silex	s i l e k s
silhueta	s i ʎ u e t ɐ
silhuetas	s i ʎ u e t ɐ s
silicato	s i l i k ɐ t u
silicon	s i l i k õ
silicone	s i l i k õ n i
silk	s iw k
silogismo	s i l o ʒ i z m u
silos	s i l u s
silva	s iw v ɐ
silvana	s iw v ɐ̃ n ɐ
silvano	s iw v ɐ̃ n u
silveira	s iw v ej ɾ ɐ
silver	s iw v e ɹ
silverdome	s iw v e ʁ d õ m i
silverstein	s iw v e ɹ s t e ĩ
silverstone	s iw v e ɹ s t õ n i
silvester	s iw v e s t e ɹ
silvestre	s iw v e s t ɾ i
silvestres	s iw v e s t ɾ i s
silvia	s iw v i ɐ
silviano	s iw v i ɐ̃ n u
silvina	s iw v ĩ n ɐ
silvinho	s iw v ĩ ɲ u
silvino	s iw v ĩ n u
silvio	s iw v i u
silvo	s iw v u
silvério	s iw v ɛ ɾ i u
silvícola	s iw v i k o l ɐ
silêncio	s i l ẽ s i u
silêncios	s i l ẽ s i u s
silício	s i l i s i u
sim	s ĩ
simantob	s ĩ m ɐ̃ t o b
simas	s ĩ m ɐ s
simba	s ĩ b ɐ
simbiose	s ĩ b i o z i
simbolicamente	s ĩ b o l i k ɐ m ẽ t ʃ i
simbolismo	s ĩ b o l i z m u
simbolista	s ĩ b o l i s t ɐ
simboliza	s ĩ b o l i z ɐ
simbolizada	s ĩ b o l i z ɐ d ɐ
simbolizado	s ĩ b o l i z ɐ d u
simbolizam	s ĩ b o l i z ɐ̃w̃
simbolizando	s ĩ b o l i z ɐ̃ d u
simbolizar	s ĩ b o l i z ɐ ɹ
simbolizava	s ĩ b o l i z ɐ v ɐ
simbolizou	s ĩ b o l i z ow
simbologia	s ĩ b o l o ʒ i ɐ
simbólica	s ĩ b ɔ l i k ɐ
simbólicas	s ĩ b ɔ l i k ɐ s
simbólico	s ĩ b ɔ l i k u
simbólicos	s ĩ b ɔ l i k u s
simcity	s ĩ s i t ʃ i
simenon	s ĩ m e n õ
simental	s ĩ m ẽ t ɐw
simeone	s ĩ m e õ n i
simetria	s ĩ m e t ɾ i ɐ
simien	s ĩ m i ẽ
similar	s ĩ m i l ɐ ɹ
similares	s ĩ m i l ɐ ɾ i s
similaridade	s ĩ m i l ɐ ɾ i d ɐ d ʒ i
similaridades	s ĩ m i l ɐ ɾ i d ɐ d ʒ i s
similitude	s ĩ m i l i t u d ʒ i
simionato	s ĩ m i o n ɐ t u
simião	s ĩ m i ɐ̃w̃
simmons	s ĩ m õ s
simon	s ĩ m õ
simonal	s ĩ m o n ɐw
simone	s ĩ m õ n i
simonetti	s ĩ m o n e t ʃ t ʃ i
simoni	s ĩ m o n i
simonsen	s ĩ m õ s ẽ
simony	s ĩ m õ i
simpatia	s ĩ p ɐ t ʃ i ɐ
simpatias	s ĩ p ɐ t ʃ i ɐ s
simpatizante	s ĩ p ɐ t ʃ i z ɐ̃ t ʃ i
simpatizantes	s ĩ p ɐ t ʃ i z ɐ̃ t ʃ i s
simpatizar	s ĩ p ɐ t ʃ i z ɐ ɹ
simpatizo	s ĩ p ɐ t ʃ i z u
simpi	s ĩ p i
simple	s ĩ p l i
simples	s ĩ p l i s
simplesmente	s ĩ p l e z m ẽ t ʃ i
simplicidade	s ĩ p l i s i d ɐ d ʒ i
simplifica	s ĩ p l i f i k ɐ
simplificada	s ĩ p l i f i k ɐ d ɐ
simplificado	s ĩ p l i f i k ɐ d u
simplificados	s ĩ p l i f i k ɐ d u s
simplificando	s ĩ p l i f i k ɐ̃ d u
simplificar	s ĩ p l i f i k ɐ ɹ
simplificação	s ĩ p l i f i k ɐ s ɐ̃w̃
simplismo	s ĩ p l i z m u
simplista	s ĩ p l i s t ɐ
simplistas	s ĩ p l i s t ɐ s
simply	s ĩ p w i
simplício	s ĩ p l i s i u
simplória	s ĩ p l ɔ ɾ i ɐ
simplório	s ĩ p l ɔ ɾ i u
simpson	s ĩ p s õ
simpsons	s ĩ p s õ s
simpática	s ĩ p ɐ t ʃ i k ɐ
simpáticas	s ĩ p ɐ t ʃ i k ɐ s
simpático	s ĩ p ɐ t ʃ i k u
simpáticos	s ĩ p ɐ t ʃ i k u s
simpósio	s ĩ p ɔ z i u
sims	s ĩ s
simtek	s ĩ t e k
simula	s ĩ m u l ɐ
simulacro	s ĩ m u l ɐ k ɾ u
simulada	s ĩ m u l ɐ d ɐ
simulado	s ĩ m u l ɐ d u
simulador	s ĩ m u l ɐ d o ɹ
simuladores	s ĩ m u l ɐ d o ɾ i s
simulados	s ĩ m u l ɐ d u s
simulam	s ĩ m u l ɐ̃w̃
simulando	s ĩ m u l ɐ̃ d u
simular	s ĩ m u l ɐ ɹ
simulator	s ĩ m u l ɐ t o ɹ
simulação	s ĩ m u l ɐ s ɐ̃w̃
simulações	s ĩ m u l ɐ s õj̃ s
simulou	s ĩ m u l ow
simultaneamente	s ĩ m u w t ɐ n e ɐ m ẽ t ʃ i
simultaneidade	s ĩ m u w t ɐ n ej d ɐ d ʒ i
simultânea	s ĩ m u w t ɐ̃ n e ɐ
simultâneas	s ĩ m u w t ɐ̃ n e ɐ s
simultâneo	s ĩ m u w t ɐ̃ n e u
simultâneos	s ĩ m u w t ɐ̃ n e u s
simão	s ĩ m ɐ̃w̃
simétrica	s ĩ m ɛ t ɾ i k ɐ
simétricas	s ĩ m ɛ t ɾ i k ɐ s
simétrico	s ĩ m ɛ t ɾ i k u
simétricos	s ĩ m ɛ t ɾ i k u s
simões	s ĩ m õj̃ s
sin	s ĩ
sina	s ĩ n ɐ
sinagoga	s ĩ n ɐ ɡ o ɡ ɐ
sinagogas	s ĩ n ɐ ɡ o ɡ ɐ s
sinai	s ĩ n ɐj
sinais	s ĩ n ɐj s
sinal	s ĩ n ɐw
sinaleiro	s ĩ n ɐ l ej ɾ u
sinaliza	s ĩ n ɐ l i z ɐ
sinalizada	s ĩ n ɐ l i z ɐ d ɐ
sinalizadas	s ĩ n ɐ l i z ɐ d ɐ s
sinalizado	s ĩ n ɐ l i z ɐ d u
sinalizador	s ĩ n ɐ l i z ɐ d o ɹ
sinalizados	s ĩ n ɐ l i z ɐ d u s
sinalizam	s ĩ n ɐ l i z ɐ̃w̃
sinalizando	s ĩ n ɐ l i z ɐ̃ d u
sinalizar	s ĩ n ɐ l i z ɐ ɹ
sinalizaria	s ĩ n ɐ l i z ɐ ɾ i ɐ
sinalizava	s ĩ n ɐ l i z ɐ v ɐ
sinalização	s ĩ n ɐ l i z ɐ s ɐ̃w̃
sinalizações	s ĩ n ɐ l i z ɐ s õj̃ s
sinalizou	s ĩ n ɐ l i z ow
sinardi	s ĩ n ɐ ʁ d ʒ i
sinatra	s ĩ n ɐ t ɾ ɐ
sinca	s ĩ k ɐ
sincera	s ĩ s e ɾ ɐ
sinceramente	s ĩ s e ɾ ɐ m ẽ t ʃ i
sinceras	s ĩ s e ɾ ɐ s
sinceridade	s ĩ s e ɾ i d ɐ d ʒ i
sincero	s ĩ s e ɾ u
sinceros	s ĩ s e ɾ u s
sinclair	s ĩ k l ɐj ɹ
sincopada	s ĩ k o p ɐ d ɐ
sincopetro	s ĩ k o p e t ɾ u
sincovaga	s ĩ k o v ɐ ɡ ɐ
sincretismo	s ĩ k ɾ e t ʃ i z m u
sincronia	s ĩ k ɾ o n i ɐ
sincronismo	s ĩ k ɾ o n i z m u
sincronizada	s ĩ k ɾ o n i z ɐ d ɐ
sincronizado	s ĩ k ɾ o n i z ɐ d u
sincronizar	s ĩ k ɾ o n i z ɐ ɹ
sincronização	s ĩ k ɾ o n i z ɐ s ɐ̃w̃
sindan	s ĩ d ɐ̃
sindhosp	s ĩ d o s p
sindiauto	s ĩ d ʒ i ɐw t u
sindicado	s ĩ d ʒ i k ɐ d u
sindicais	s ĩ d ʒ i k ɐj s
sindical	s ĩ d ʒ i k ɐw
sindicalismo	s ĩ d ʒ i k ɐ l i z m u
sindicalista	s ĩ d ʒ i k ɐ l i s t ɐ
sindicalistas	s ĩ d ʒ i k ɐ l i s t ɐ s
sindicalizados	s ĩ d ʒ i k ɐ l i z ɐ d u s
sindicalização	s ĩ d ʒ i k ɐ l i z ɐ s ɐ̃w̃
sindicato	s ĩ d ʒ i k ɐ t u
sindicatos	s ĩ d ʒ i k ɐ t u s
sindicância	s ĩ d ʒ i k ɐ̃ s i ɐ
sindicâncias	s ĩ d ʒ i k ɐ̃ s i ɐ s
sindifisco	s ĩ d ʒ i f i s k u
sindifrio	s ĩ d ʒ i f ɾ i u
sindilegis	s ĩ d ʒ i l e ʒ i j s
sindimaq	s ĩ d ʒ ĩ m ɐ k
sindipec	s ĩ d ʒ i p e k
sindipetro	s ĩ d ʒ i p e t ɾ u
sindipeças	s ĩ d ʒ i p e s ɐ s
sindirações	s ĩ d ʒ i ɾ ɐ s õj̃ s
sinditêxtil	s ĩ d ʒ i t e s t ʃ iw
sindsaúde	s ĩ d ʒ s ɐ u d ʒ i
sinduscon	s ĩ d u s k õ
sine	s ĩ n i
sinepe	s ĩ n e p i
sinergia	s ĩ n e ʁ ʒ i ɐ
sinesp	s ĩ n e s p
sineta	s ĩ n e t ɐ
sinete	s ĩ n e t ʃ i
sinfavea	s ĩ f ɐ v e ɐ
sinfonia	s ĩ f o n i ɐ
sinfonias	s ĩ f o n i ɐ s
sinfônica	s ĩ f o n i k ɐ
sinfônicas	s ĩ f o n i k ɐ s
sinfônico	s ĩ f o n i k u
sing	s ĩ ɡ
singapore	s ĩ ɡ ɐ p o ɾ i
singapura	s ĩ ɡ ɐ p u ɾ ɐ
singela	s ĩ ʒ ɛ l ɐ
singeleza	s ĩ ʒ e l e z ɐ
singelo	s ĩ ʒ ɛ l u
singelos	s ĩ ʒ e l u s
singer	s ĩ ʒ e ɹ
singh	s ĩ ɡ
singing	s ĩ ʒ ĩ ɡ
single	s ĩ ɡ l i
singles	s ĩ ɡ l i s
singular	s ĩ ɡ u l ɐ ɹ
singulares	s ĩ ɡ u l ɐ ɾ i s
singularidade	s ĩ ɡ u l ɐ ɾ i d ɐ d ʒ i
sinhá	s ĩ ɲ ɐ
sinicesp	s ĩ n i s e s p
sinistra	s ĩ n i s t ɾ ɐ
sinistralidade	s ĩ n i s t ɾ ɐ l i d ɐ d ʒ i
sinistras	s ĩ n i s t ɾ ɐ s
sinistro	s ĩ n i s t ɾ u
sinistros	s ĩ n i s t ɾ u s
sinn	s ĩ n
sino	s ĩ n u
sinop	s ĩ n o p
sinopse	s ĩ n o p s i
sinopses	s ĩ n o p s i s
sinos	s ĩ n u s
sinpro	s ĩ p ɾ u
sinsesp	s ĩ s e s p
sinta	s ĩ t ɐ
sintam	s ĩ t ɐ̃w̃
sintaxe	s ĩ t ɐ k s i
sintetiza	s ĩ t e t ʃ i z ɐ
sintetizada	s ĩ t e t ʃ i z ɐ d ɐ
sintetizado	s ĩ t e t ʃ i z ɐ d u
sintetizador	s ĩ t e t ʃ i z ɐ d o ɹ
sintetizadores	s ĩ t e t ʃ i z ɐ d o ɾ i s
sintetizam	s ĩ t e t ʃ i z ɐ̃w̃
sintetizar	s ĩ t e t ʃ i z ɐ ɹ
sintetizou	s ĩ t e t ʃ i z ow
sinto	s ĩ t u
sintoma	s ĩ t õ m ɐ
sintomas	s ĩ t õ m ɐ s
sintomaticamente	s ĩ t o m ɐ t ʃ i k ɐ m ẽ t ʃ i
sintomática	s ĩ t o m ɐ t ʃ i k ɐ
sintomático	s ĩ t o m ɐ t ʃ i k u
sintonia	s ĩ t o n i ɐ
sintonizada	s ĩ t o n i z ɐ d ɐ
sintonizadas	s ĩ t o n i z ɐ d ɐ s
sintonizado	s ĩ t o n i z ɐ d u
sintonizados	s ĩ t o n i z ɐ d u s
sintonizar	s ĩ t o n i z ɐ ɹ
sintonizaram	s ĩ t o n i z ɐ ɾ ɐ̃w̃
sintra	s ĩ t ɾ ɐ
sintusp	s ĩ t u s p
