't	t
dréif	d ʀ ɜ ɪ f
dréinen	d r e i̯ n e n
dréis	d ʀ e i̯ s
dréiwen	d ʀ e i̯ v e n
dréngen	d ʀ e ŋ e n
drénk	d ʀ e ŋ k
drénks	d ʀ e ŋ s
drénkt	d ʀ e ŋ t
drënner	d ʀ e n e ʀ
drësseg	d ʀ e s e χ
drëtt	d ʀ e t
du	d u
ducken	d u k e n
duebel	d u e̯ b e l
duer	d uː ʀ
duerch	d u e̯ χ
duerchsetzen	d u e̯ χ z æ t s e n
duerleeën	d uː ʀ l e e n
duerno	d u e̯ n o
duschen	d u ʃ e n
duuss	d uː s
däerfen	d eː ʀ f e n
däin	d æ i̯ n
däischter	d æ i̯ ʃ t e r
däitschsproocheg	d æ i̯ t ʃ ʃ p ʀ oː χ e χ
dämpen	d æ m p e n
där	d eː r
déck	d e k
déi	d e i̯
déijéineg	d e ɪ̯ ʁ e ɪ̯ n e χ
dëllen	d e l e n
dëmpen	d e m p e n
dënn	d e n
dës	d e s
dësem	d e z e m
dësen	d e z e n
dëser	d e z e ʀ
dëst	d e s t
dösen	d øː z e n
ech	e χ
eddy	æ d i
eechen	eː χ e n
eedel	eː d e l
eegen	eː ʁ e n
eegentlech	eː ʁ e n t l e χ
eekelen	eː k e l e n
eeleft	eː l e f t
eemol	eː m oː l
eeneeëg	eː n eː e χ
eenegen	eː n e ʁ e n
eent	eː n t
eenzel	eː n t s e l
eesäiteg	eː z æ i̯ t e χ
eeteren	eː t e ʀ e n
effikass	æ f i k a s
eleng	e l æ ŋ
ellen	æ l e n
ellent	æ l e n t
elo	e l o
em	e m
endlech	æ n t l e χ
eneen	e n eː n
eng	æ ŋ
engem	æ ŋ e m
engen	æ ŋ e n
enger	æ ŋ e ʀ
engersäits	æ ŋ ɐ z æː ɪ̯ t͡s
enk	æ ŋ k
enorm	e n o ʀ m
enregistréieren	ã ʀ e ʒ i s t ʀ e i̯ ʀ e n
entbannen	æ n t b a n e n
entbieren	æ n t b iː r e n
entdecken	æ n t d æ k e n
entfléien	æ n t f l e i̯ e n
entsat	æ n t z aː t
entschlofen	æ n t ʃ l oː f e n
entschléissen	æ n t ʃ l e i̯ s e n
entschëllegen	æ n t ʃ e l e ʁ e n
entschëllegt	æ n t ʃ e l e χ t
entsetzen	æ n t z æ t s e n
entspriechen	æ n t ʃ p ʀ i e̯ χ e n
entstoen	æ n t ʃ t oː ə n
entweeder	æ n t v eː d ɐ
entwéckelen	æ n t v e k e l e n
entwëschen	æ n t v e ʃ e n
eppes	æ p e s
eraleeën	e ʀ a l e e n
erfrëschen	e ʀ f ʀ e ʃ e n
ergätzen	e ʀ ɡ æ t s e n
erhuuschen	e ʀ h uː ʃ e n
erhuuschten	e ʀ h uː ʃ t e n
eriwwer	e ʀ i v e ʀ
erkennen	e ʀ k æ n e n
erlaben	e ʀ l aː b e n
erof	e ʀ oː f
eroffalen	e ʀ oː f f aː l e n
eroflueden	e r o f l uː d e n
erofsetzen	e ʀ oː f z æ t s e n
eropsetzen	e ʀ o p z æ t͡s e n
ersetzen	e ʀ z æ t͡s e n
erstaunlech	ɐ ʃ t ɑ ʊ̯ n l ə ɕ
erstécken	e ʀ ʃ t e k e n
erwaarden	e ʀ v aː d e n
erwëschen	e ʀ v e ʃ e n
erzéien	e ʀ t s e i̯ e n
eréischt	e ʀ e i̯ ʃ t
erëm	e r e m
erënneren	e ʀ e n e ʁ e n
esou	e z e u̯
esoubal	e z u b aː l
esouguer	e z u ɡ uː ʀ
esoulaang	e z u l aː ŋ
et	e t
ewech	e v æ χ
ewell	e v æ l
ewéi	e v e i̯
exageréieren	æ k z a ʒ e ʀ e i̯ ʀ e n
explizéieren	æ k s p l i t s e i̯ r e n
exteren	æ k s t e ʀ e n
faarweblann	f aː r v e b l a n
faaschten	f aː ʃ t e n
faassen	f aː s e n
fad	f aː t
falen	f aː l e n
falls	f a l s
fann	f a n
fannen	f a n e n
fannt	f a n t
faul	f æː ʊ l
faulen	f a u̯ l e n
faulenzen	f æ u̯ l æ n t s e n
feelen	f eː l e n
feeën	f e e n
feieren	f a i̯ ʀ e n
fest	f æ s t
festsetzen	f æ s t z æ t s e n
feststellen	f æ s t ʃ t æ l e n
fidderen	f i d e ʀ e n
fierwen	f i e̯ v e n
fir	f e
firwat	f i ə̯ v aː t
fiselen	f i z e l e n
fit	f i t
flaach	f l aː χ
fladderen	f l a d e ʀ e n
flappseg	f l ɑ p s ə ɕ
flechten	f l æ χ t e n
flirten	f l œː t e n
flitt	f l i t
flitts	f l i t s
flitzen	f l i t s e n
flou	f l u
fluchen	f l u χ ə n
flutschen	f l u t ʃ e n
fläissen	f l æ i̯ s e n
flécken	f l e k e n
fléi	f l e i̯
fléien	f l e i̯ e n
fléissen	f l e i̯ s e n
fofzeg	f o f t s e χ
fofzéng	f o f t s e ŋ
fofzéngt	f o f t s e ŋ t
follegen	f o l e ʁ e n
fooschen	f oː ʃ e n
formatéieren	f o ʀ m a t e i̯ ʀ e n
formidabel	f o ʀ m i d aː b e l
fouen	f e u̯ e n
foussen	f e u̯ s e n
freeën	f ʀ e e n
freien	f ʀ a i̯ e n
friddlech	f ʀ i t l e χ
friem	f ʀ i e̯ m
friess	f ʀ i e̯ s
friessen	f ʀ i e̯ s e n
friesst	f ʀ i e̯ s t
froen	f ʀ oː e n
fromm	f ʀ o m
frou	f r e u̯
fräi	f r æ i̯
fréi	f r e i̯
fréier	f r e i̯ e r
fréieren	f r e i̯ r e n
frësch	f r e ʃ
frëss	f ʀ e s
frësst	f ʀ e s t
fuebelen	f u e̯ b e l e n
fueren	f uː r e n
fuerschen	f u e̯ ʃ e n
fuert	f uː ʀ t
fuerzen	f u e̯ t s e n
futti	f u t i
fäeg	f e e χ
fäerdeg	f eː ʀ d e χ
fäerten	f eː ʀ t e n
fälleg	f æ l e χ
fälschen	f æ l ʃ e n
fänken	f æ ŋ k e n
fécken	f e k e n
féieren	f e i̯ ʀ e n
fëllen	f e l e n
fëmmen	f e m e n
fënnef	f e n e f
fënneft	f e n e f t
fënns	f e n s
fënnt	f e n t
fëschen	f e ʃ e n
gaapsen	ɡ aː p s e n
ganz	ɡ a n s
gebass	ɡ e b a s
geblitt	ɡ e b l i t
geblosen	ɡ e b l oː z e n
gebonnen	ɡ e b o n e n
gebrauchen	ɡ e b ʀ æ u̯ χ e n
gebroden	ɡ e b ʀ oː d e n
gebräichlech	ɡ e b ʀ æ i̯ χ l e χ
gebueden	ɡ e b u e̯ d e n
gedoen	ɡ e d o e n
gedriwwen	ɡ e d r i v e n
gedroen	ɡ e d ʀ o e n
gedronk	ɡ e d ʀ o ŋ k
geeschteg	ɡ eː ʃ t e χ
geeschtlech	ɡ eː ʃ t l e χ
gefalen	ɡ e f aː l e n
geflass	ɡ e f l a s
geflunn	ɡ e f l u n
gefriess	ɡ e f ʀ i e̯ s
gefuer	ɡ e f uː ʀ
gehaen	ɡ e h a e n
gehalen	ɡ e h aː l e n
geheien	ɡ e h a i̯ e n
geheim	ɡ e h a i̯ m
geholl	ɡ e h o l
gehuewen	ɡ e h u e̯ v e n
gehéiereg	ɡ e h e i̯ ʀ e χ
gehéieren	ɡ e h e i̯ ʀ e n
gejot	ɡ e j oː t
geklommen	ɡ e k l o m e n
gelaf	ɡ e l aː f
geleeën	ɡ e l e e n
gelidden	ɡ e l i d e n
gelooss	ɡ e l oː s
gelungen	ɡ e l u ŋ e n
gelunn	ɡ e l u n
geléngen	ɡ e l e ŋ e n
gemaach	ɡ e m aː χ
gemidden	ɡ e m i d e n
genuch	ɡ e n u χ
genéieren	ʒ e n e i̯ ʀ e n
genéissen	ɡ e n e i̯ s e n
gepaakt	ɡ e p aː k t
geraf	ɡ e ʀ aː f
geraimeg	ɡ e ʀ a i̯ m e χ
gerass	ɡ e r a s
gerecht	ɡ e ʀ æ χ t
gereest	ɡ e ʀ eː s t
geridden	ɡ e ʀ i d e n
geriwwen	ɡ e ʀ i v e n
germanesch	ɡ eː ʀ m aː n e ʃ
geroden	ɡ e ʀ oː d e n
geréieren	ʒ e ʀ e i̯ ʀ ə n
geschass	ɡ e ʃ a s
gescheit	ɡ ə ʃ ɑ ɪ̯ t
geschitt	ɡ e ʃ i t
geschlass	ɡ e ʃ l a s
geschlechtsflësseg	ɡ e ʃ l æ χ t s f l e s e χ
geschmass	ɡ e ʃ m a s
geschwënn	ɡ e ʃ v e n
geschéien	ɡ e ʃ e i̯ e n
gesetzlech	ɡ e z æ t s l e χ
gesinn	ɡ e z i n
gesond	ɡ e z o n t
gesprongen	ɡ e ʃ p ʀ o ŋ e n
gespréicheg	ɡ e ʃ p ʀ e i̯ χ e χ
gespuert	ɡ e ʃ p uː r t
gesträift	ɡ e ʃ t ʀ æ i̯ f t
getratt	ɡ e t ʀ a t
getrueden	ɡ e t ʀ u e̯ d e n
getëppelt	ɡ e t e p e l t
gewannen	ɡ e v a n e n
gewiescht	ɡ e v i e̯ ʃ t
gewosst	ɡ e v o s t
gewuess	ɡ e v u e̯ s
gewuesst	ɡ e v u e̯ s t
gezunn	ɡ e t s u n
gezwitschert	ɡ e t s v i t ʃ e ʀ t
giel	ɡ i e̯ l
gierwen	ɡ i e̯ v e n
giess	ɡ i e̯ s
ginn	ɡ i n
gipsen	ɡ i p s ə n
glaseg	ɡ l aː z e χ
glat	ɡ l aː t
gleewen	ɡ l eː v e n
gliddeg	ɡ l i d e χ
glidderen	ɡ l i d e ʀ e n
gliesen	ɡ l i e̯ z e n
glott	ɡ l o t
glousen	ɡ l e u̯ z e n
gläich	ɡ l æ i̯ χ
gläichen	ɡ l æ i̯ χ e n
glécken	ɡ l e k e n
goen	ɡ oː e n
gonnen	ɡ o n e n
graff	ɡ r a f
gratinéieren	ɡ ʀ a t i n e i̯ ʀ e n
grell	ɡ ʀ æ l
grillen	ɡ ʀ i l ə n
gro	ɡ ʀ o
grommelen	ɡ ʀ o m e l e n
groussaarteg	ɡ r e u̯ s aː r t e χ
groussem	ɡ ʀ e u̯ s e m
groussen	ɡ ʀ e u̯ s e n
grousser	ɡ ʀ e u̯ s e ʀ
grousst	ɡ ʀ e u̯ s t
gräifen	ɡ ʀ æ i̯ f e n
gräisslech	ɡ ʀ æ i̯ s l e χ
gréng	ɡ r e ŋ
gréngen	ɡ r e ŋ e n
grënnen	ɡ ʀ e n e n
guddem	ɡ u d e m
gudden	ɡ u d e n
gudder	ɡ u d e ʀ
guer	ɡ uː r
gäisselen	ɡ æ i̯ s e l e n
gäizen	ɡ æ i̯ t s e n
gär	ɡ eː r
géi	ɡ e i̯
géint	ɡ e i̯ n t
géinteneen	ɡ e i̯ n t e n eː n
géissen	ɡ e i̯ s e n
gëllen	ɡ e l e n
gënnen	ɡ e n e n
gëscht	ɡ e ʃ t
gëschter	ɡ e ʃ t e ʀ
haalt	h aː l t
haaptsächlech	h aː p t z æ χ l e χ
haart	h aː r t
haassen	h aː s e n
hachéieren	a ʃ e i̯ ʀ e n
hafteg	h ɑ f t ə ɕ
halen	h aː l e n
hallef	h a l e f
hamsteren	h ɑ m s t ə ʁ ə n
handelen	h a n d e l e n
hannen	h a n e n
hannendran	h a n e n d ʀ a n
hannendrun	h a n e n d ʀ u n
hannenno	h a n e n n o
hanner	h a n e ʀ
hannereneen	h a n e ʀ e n eː n
hannerwands	h a n e ʀ v a n s
hanneschtsetzen	h a n e ʃ t z æ t s e n
hannevir	h a n e f iː ʀ
hat	h aː t
hautdesdaags	h a u̯ t d e s d aː χ s
heefen	h eː f e n
heelen	h eː l e n
heemschécken	h eː m ʃ e k e n
hees	h eː s
heeschen	h eː ʃ e n
heften	h æ f t e n
hei	h a i̯
hell	h æ l
hellblo	h æ l b l o
helleg	h æ l e χ
hellegspriechen	h æ l e χ ʃ p ʀ i e̯ χ e n
hessesch	h æ s e ʃ
hexen	h æ k s e n
hicken	h i k e n
hidden	h i d e n
hien	h i e̯ n
hiewen	h i e̯ v e n
him	h i m
himmelblo	h i m e l b l o
himmelen	h i m e l e n
hindeiten	h i n d a i̯ t e n
hinnen	h i n e n
hir	h iː ʀ
historesch	h i s t oː ʀ e ʃ
hiweisen	h i v a i̯ z e n
hoffen	h o f e n
hoppelen	h o p e l e n
hospitaliséieren	h ɔ s p i t ɑ l i z ɜ ɪ̯ ə ʁ ə n
houfreg	h e u̯ f ʀ e χ
houschten	h e u̯ ʃ t e n
huel	h u e̯ l
huelen	h u e̯ l e n
huelt	h u e̯ l t
huerteg	h ʊ ə̯ ʀ t e χ
hummeren	h u m ə ʀ ə n
huppen	h u p e n
huschen	h u ʃ e n
huwwelen	h u v e l e n
häerden	h eː ʀ d e n
häerzeg	h eː r t s e χ
häls	h æ l s
hält	h æ l t
hänken	h æ ŋ k e n
hänselen	h æ n z e l e n
hätschelen	h æ t ʃ e l e n
héchstens	h e k s t e n s
héich	h e i̯ χ
héieren	h e i̯ r e n
héiflech	h e i̯ f l e χ
héijen	h e i̯ ʁ e n
héissen	h e i̯ s e n
hëllefen	h e l e f e n
hëls	h e l s
hëlt	h e l t
hëlzen	h e l t s e n
hëtzen	h e t s e n
ideal	i d e aː l
ieren	iː r e n
ierflech	i e̯ f l e χ
iergenden	i e̯ ʁ e n t e n
iergendeng	i e̯ ʁ e n t æ ŋ
iergendengem	i e̯ ʁ e n t æ ŋ e m
iergendenger	i e̯ ʁ e n t æ ŋ e ʀ
iergeren	i e̯ ʁ e ʀ e n
iess	i e̯ s
iesst	i e̯ s t
iewescht	i e̯ v e ʃ t
iwwer	i v e ʀ
iwwerdreiwen	i v e r d r a i̯ v e n
iwwerdriwwen	i v e ʀ d ʀ i v e n
iwwergräifen	i v e ʀ ɡ ʀ æ i̯ f e n
iwwerhaapt	i v ɐ h aː p t
iwwerliewen	i v e r l i e̯ v e n
iwwersetzen	i v e ʀ z æ t s e n
iwwerweisen	i v e ʀ v a i̯ z e n
jauwen	ʒ a u̯ v e n
jee	j eː
jees	j eː s
jeet	j eː t
jidder	j i d e r
jiddereen	j i d e r eː n
joen	j oː e n
jongléieren	ʒ o ŋ ɡ l e i̯ ʀ e n
jonk	j o ŋ k
jorelaang	j oː ə̯ ʀ ə l aː ŋ
jot	j oː t
jubiléieren	j u b i l e i̯ ʀ e n
jäizen	j æ i̯ t s e n
jéimeren	j e i̯ m e ʀ e n
kaaft	k aː f t
kachen	k a χ e n
kaf	k aː f
kafen	k aː f e n
kal	k aː l
kann	k a n
kanns	k a n s
kaschten	k ɑ ʃ t ə n
kathoulesch	k a t ə ʊ l ə ʃ
katzen	k ɑ t s ə n
kaum	k æː ʊ̯ m
kazen	k aː t s ə n
keefs	k eː f s
keeft	k eː f t
keen	k eː n
keng	k æ ŋ
kengem	k æ ŋ ə m
kengen	k æ ŋ ə n
kenger	k æ ŋ ɐ
kennen	k æ n ə n
kieren	k i ə̯ ʀ ə n
kill	k i l
killen	k i l ə n
klaken	k l aː k ə n
klamm	k l ɑ m
klammen	k l ɑ m ə n
klammt	k l ɑ m t
klappen	k l ɑ p ə n
klassesch	k l ɑ s ə ʃ
kleeden	k l eː d ə n
kleesper	k l eː s p ɐ
kleng	k l æ ŋ
klengem	k l æ ŋ ə m
klengen	k l æ ŋ ə n
klenger	k l æ ŋ ɐ
klengt	k l æ ŋ t
klicken	k l i k ə n
kliewen	k l i e̯ v e n
kloen	k l oː e n
kloer	k l oː e r
klécken	k l e k ə n
kléngen	k l e ŋ ə n
klëmms	k l ə m s
klëmmt	k l ə m t
knapps	k n ɑ p s
knieden	k n i ə̯ d ə n
knäipen	k n æ i̯ p e n
knécken	k n e k ə n
knëppen	k n ə p ə n
kollen	k o l e n
komesch	k oː m ə ʃ
komm	k o m
kommen	k o m ə n
kommt	k o m t
kompetent	k o m p ə t æ n t
komplett	k o m p l æ t
konfus	k o n f uː s
konnt	k o n t
konnten	k o n t ə n
konnts	k o n t s
konzentréieren	k o n t͡s æ n t ʀ ɜ ɪ̯ e ʀ e n
koppeg	k o p ə ɕ
korrekt	k o ʀ æ k t
koum	k ə ʊ̯ m
koumen	k ə ʊ̯ m ə n
koums	k ə ʊ̯ m s
koumt	k ə ʊ̯ m t
kraachen	k ʀ aː χ ə n
krank	k ʀ ɑ ŋ k
krappeg	k ʀ ɑ p ə ɕ
krazen	k ʀ aː t s ə n
kriddeleg	k ʀ i d ə l ə ɕ
kriits	k ʀ iː t s
kriss	k ʀ i s
krit	k ʀ iː t
kriten	k ʀ iː t ə n
kritesch	k ʀ i t ə ʃ
kritt	k ʀ i t
krut	k ʀ uː t
kruten	k ʀ uː t ə n
kruuts	k ʀ uː t s
kräischen	k r æ i̯ ʃ e n
kräizen	k ʀ æː ɪ̯ t͡s ə n
kränken	k ʀ æ ŋ k e n
krëmmen	k ʀ ə m ə n
kucken	k u k ə n
kuerz	k u e̯ t s
käichen	k æː ɪ̯ ɕ ə n
käppen	k æ p ə n
kéim	k ɜ ɪ̯ m
kéimen	k ɜ ɪ̯ m ə n
kéims	k ɜ ɪ̯ m s
kéimt	k ɜ ɪ̯ m t
kéint	k e i̯ n t
kéinten	k ɜ ɪ̯ n t ə n
kéints	k ɜ ɪ̯ n t s
kéipweis	k ɜ ɪ̯ p v ɑ ɪ̯ s
kéngen	k e ŋ ə n
këmmen	k ə m ə n
këmmeren	k ə m ə ʀ ə n
kënnen	k e n e n
kënns	k ə n s
kënnt	k e n t
laachen	l aː χ ə n
laaft	l aː f t
laang	l aː ŋ
laanscht	l aː n ʃ t
laaschten	l aː ʃ t ə n
lafen	l aː f ə n
landen	l ɑ n d ə n
lass	l ɑ s
lauschteren	l æ u̯ ʃ t e r e n
leeden	l eː d ə n
leefs	l eː f s
leeft	l eː f t
leeën	l eː e n
lei	l ɑ ɪ̯
leiden	l ɑ ɪ̯ d ə n
leien	l a i̯ e n
leieren	l ɑ ɪ̯ ə ʀ ə n
leits	l ɑ ɪ̯ t s
lescht	l æ ʃ t
liesen	l i e̯ z e n
lieweg	l i e̯ v e χ
liichten	l iː ɕ t ə n
literaresch	l i t ə ʀ aː ʀ ə ɕ
litt	l i t
litts	l i t s
liwweren	l i v ə ʁ ə n
lokal	l o k aː l
looss	l oː s
loossen	l oː s ə n
loosst	l oː s t
louch	l ə ʊ̯ χ
louchen	l ə ʊ̯ χ ə n
louchs	l ə ʊ̯ χ s
loucht	l ə ʊ̯ χ t
lounen	l ə ʊ̯ n ə n
lueden	l u ə d ə n
lues	l u ə̯ s
läichen	l æː ɪ̯ ɕ ə n
läimen	l æː ɪ̯ m ə n
läis	l æː ɪ̯ s
läit	l æː ɪ̯ t
läschen	l æ ʃ e n
léi	l ɜ ɪ̯
léich	l ɜ ɪ̯ ɕ
léichen	l ɜ ɪ̯ ɕ ə n
léichs	l ɜ ɪ̯ ɕ s
léicht	l ɜ ɪ̯ ɕ t
léien	l e i̯ e n
léieren	l ɜ ɪ̯ ə ʀ ə n
léif	l e i̯ f
léinen	l e i̯ n e n
léisen	l e i̯ z e n
léiss	l ɜ ɪ̯ s
léisst	l ɜ ɪ̯ s t
léiwen	l e ɪ̯ v ə n
lénks	l e ŋ k s
lëschteg	l e ʃ t e χ
maacht	m aː χ t
maandelweis	m aː n d ə l v ɑ ɪ̯ s
maans	m aː n s
man	m aː n
markéieren	m ɑ ʀ k ɜ ɪ̯ ə ʀ ə n
maschinell	m ɑ ʃ i n æ l
mat	m ɑ t
mateneen	m ɑ d e n eː n
matfillen	m ɑ t f i l ə n
matzen	m ɑ t͡s ə n
mech	m e χ
meiden	m ɑ ɪ̯ d ə n
meit	m ɑ ɪ̯ t
meits	m ɑ ɪ̯ t s
mellen	m æ l ə n
meng	m e ŋ
mengem	m e ŋ ə m
mengen	m e ŋ ə n
menger	m e ŋ ɐ
mer	m ɐ
midd	m i t
mierken	m iː ə̯ k ə n
miessen	m i ə̯ s ə n
mir	m iː r
misst	m i s t
missten	m i s t ə n
mockeleg	m o k ə l ə ɕ
moer	m oː e r
mof	m oː f
molen	m oː l ə n
momentan	m oː m ə n t aː n
monter	m o n t ɐ
moossen	m oː s ə n
muench	m u ə n ɕ
muer	m uː r
munch	m u n ɕ
munchmol	m u n ɕ m oː l
munnech	m u n ə ɕ
muss	m u s
mussen	m u s ə n
musst	m u s t
mussten	m u s t ə n
mä	m æ
mäin	m æː ɪ̯ n
männlech	m æ n l ə ɕ
méchs	m e χ s
méien	m ɜ ɪ̯ ə n
méiglech	m ɜ ɪ̯ ʑ l ə ɕ
méiglecherweis	m ɜ ɪ̯ ʁ l e χ ɐ v ɑ ɪ̯ s
mëll	m e l
mënschlech	m e n ʃ l e χ
mëschen	m ə ʃ ə n
mëssen	m ə s ə n
naass	n aː s
nach	n ɑ χ
natierlech	n a t iː ʀ l e χ
nawell	n aː v æ l
nee	n eː
neelen	n eː l ə n
neen	n eː n
nees	n eː s
nei	n a i̯
nennen	n æ n ə n
net	n e t
netzen	n æ t s ə n
nidder	n i d ɐ
nidderlännesch	n i d ɐ l æ n ə ʃ
nieft	n i ə f t
nieren	n i ə ʀ ə n
niewent	n i ə v ə n t
niwweleg	n ɪ v ə l ə ɕ
no	n oː
nodeem	n oː d eː m
noeneen	n oː ə n eː n
nofillen	n oː f i l ə n
nonzeg	n o n t͡s ə ɕ
nonzéng	n o n t͡s e ŋ
nonzéngt	n o n t͡s e ŋ t
näischt	n æː ɪ̯ ʃ t
nämlech	n ɛː m l e χ
nécken	n e k ə n
néideg	n ɜ ɪ̯ d ə ɕ
néien	n ɜ ɪ̯ ə n
néng	n e ŋ
néngt	n e ŋ t
nëmmen	n e m e n
ob	o p
och	o χ
of	oː f
offléissen	o f f l ɜ ɪ̯ s ə n
offälleg	o f f æ l ə ɕ
ofginn	oː f ɡ i n
oflafen	o f l aː f ə n
ofleeën	oː f l eː ə n
ofschafen	oː f ʃ aː f ə n
ofschléissen	o f ʃ l ɜ ɪ̯ s ə n
ofsetzen	oː v z æ t s ə n
ofspriechen	oː f ʃ p ʀ i ə̯ χ e n
onbaarmhäerzeg	o n b aː ʀ m h eː ʀ t͡s e χ
onbedéngt	o n b ə d e ŋ t
onerwaart	o n ɐ v aː t
ongutt	o n ɡ u t
onnatierlech	o n n a t iː ʀ l e χ
onverfälscht	o n f ɐ f æ l ʃ t
ootmen	oː t m ə n
op	o p
operstoen	o p ɐ ʃ t oː ə n
opfaassen	o p f aː s ə n
opféieren	o p f ɜ ɪ ə ʀ ə n
oppen	o p ə n
opreegen	o p ʀ eː ʁ e n
opschloen	o p ʃ l oː ə n
opschléissen	o p ʃ l ɜ ɪ̯ s ə n
opsetzen	o b z æ t s ə n
opwéckelen	o b v e k ə l ə n
ower	oː v ɐ
owes	oː v ə s
paakt	p aː k t
paff	p ɑ f
paken	p aː k ə n
passen	p ɑ s ə n
paweeën	p ɑ v eː ə n
pechen	p æ χ e n
peeks	p eː k s
peekt	p eː k t
pennen	p æ n ə n
perséinlech	p e r z e i̯ n l e χ
plangen	p l ɑ ŋ ə n
platt	p l ɑ t
plazeweis	p l aː t͡s ə v ɑ ɪ̯ s
ploen	p l oː e n
plädéieren	p l æ d ɜ ɪ̯ ə ʀ ə n
plécken	p l e k ə n
plëmmen	p l ə m ə n
plënneren	p l ə n ə ʀ ə n
praffen	p ʀ ɑ f ə n
prett	p ʀ æ t
priedegen	p ʀ i ə̯ d e ʁ e n
pro	p ʀ oː
propper	p ʀ o p ɐ
päifen	p æː ɪ̯ f ə n
pësperen	p ə s p ə ʀ ə n
quiitschen	k v iː t ʃ ə n
quëllen	k v e l e n
raachen	ʀ aː χ ə n
raaft	ʀ aː f t
rabbelen	ʀ ɑ b ə l ə n
rafen	r aː f e n
rappen	ʀ ɑ p ə n
raschten	ʀ ɑ ʃ t ə n
rau	r æ u̯
raumen	ʀ ɑ ʊ̯ m ə n
rechnen	ʀ æ ɕ n ə n
rechtlech	ʀ æ χ t l e χ
rechtwénkleg	ʀ æ ʑ d v e ŋ k l ə ɕ
reefs	ʀ eː f s
reeft	ʀ eː f t
reenen	ʀ eː n ə n
reesen	ʀ eː z ə n
reest	ʀ eː s t
reflexiv	ʀ ə f l æ k s iː f
reiden	ʀ ɑ ɪ̯ d ə n
reien	ʀ ɑ ɪ̯ ə n
reifs	ʀ ɑ ɪ̯ f s
reit	ʀ ɑ ɪ̯ t
reits	ʀ ɑ ɪ̯ t s
reiwen	ʀ ɑ ɪ v ə n
reng	ʀ æ ŋ
rengegen	ʀ æ ŋ e ʁ e n
rennen	ʀ æ n ə n
residéieren	ʀ æ z i d ɜ ɪ̯ ə ʀ ə n
retten	ʀ æ t ə n
richen	ʀ i ɕ ə n
richteg	r i χ t e χ
rieden	ʀ i ə̯ d ə n
riets	ʀ i ə̯ t s
riicht	ʀ iː χ t
riichtbéien	ʀ iː χ t b e ɪ̯ e n
riichten	ʀ iː χ t e n
roden	ʀ oː d e n
ronderëm	r o n d ə ʀ ə m
rosa	ʀ oː z a
rosen	ʀ oː z ə n
rout	r e u̯ t
rueden	ʀ u ə̯ d ə n
ruffen	ʀ u f ə n
räissen	r æ i̯ s e n
réieren	ʀ ɜ ɪ̯ ə ʀ ə n
réimesch	ʀ ɜ ɪ̯ m ə ʃ
réngen	ʀ e ŋ ə n
rënnen	r e n e n
rëselen	ʀ ə z ə l ə n
sachlech	z ɑ χ l e χ
salzeg	z a l t s e χ
sangen	z ɑ ŋ ə n
sat	z aː t
saufen	z æ u̯ f e n
schaarf	ʃ aː ʀ f
schalen	ʃ aː l ə n
scheeden	ʃ eː d ə n
schei	ʃ a i̯
scheien	ʃ ɑ ɪ̯ ə n
schiel	ʃ i ə l
schielen	ʃ i ə l ə n
schieren	ʃ i ə ʀ ə n
schif	ʃ iː f
schinnen	ʃ i n ə n
schlank	ʃ l ɑ ŋ k
schlecht	ʃ l æ ɕ t
schleefen	ʃ l eː f ə n
schliisslech	ʃ l iː s l e χ
schloen	ʃ l oː e n
schlofen	ʃ l oː f ə n
schluechten	ʃ l u ə̯ χ t e n
schläichen	ʃ l æː ɪ̯ ɕ ə n
schläifen	ʃ l æː ɪ̯ f ə n
schläimen	ʃ l æː ɪ̯ m ə n
schläissen	ʃ l æː ɪ s ə n
schléissen	ʃ l e i̯ s e n
schlëmm	ʃ l ə m
schmaachen	ʃ m aː χ ə n
schmidden	ʃ m i d ə n
schmieren	ʃ m i ə ʀ ə n
schmäissen	ʃ m æ i̯ s e n
schneiden	ʃ n ɑ ɪ̯ d ə n
schneien	ʃ n ɑ ɪ̯ ə n
schnell	ʃ n æ l
schnäizen	ʃ n æː ɪ̯ t͡s ə n
schnéiblann	ʃ n ɜ ɪ̯ b l ɑ n
schnéiwäiss	ʃ n ɜ ɪ̯ v æː ɪ̯ s
schonn	ʃ o n
schréi	ʃ ʀ ɜ ɪ̯
schréien	ʃ ʀ ɜ ɪ̯ ə n
schwaach	ʃ w aː χ
schwaarz	ʃ v aː r t s
schweessen	ʃ v eː s e n
schwieren	ʃ w i ə̯ ʀ ə n
schwéier	ʃ w ɜ ɪ̯ ɐ
schwëllen	ʃ w ə l ə n
schäinbar	ʃ æː ɪ̯ n b aː
schäissen	ʃ æ i̯ s e n
schécken	ʃ e k ə n
schéin	ʃ ɜ ɪ̯ n
schéngen	ʃ e ŋ e n
schëlleg	ʃ e l e χ
schënnen	ʃ ə n ə n
se	z ə
sech	z e χ
sechs	z æ k s
sechst	z æ k s t
seechen	z eː ɕ ə n
seegelen	z eː ʁ e l e n
seemen	z eː m ə n
seenen	z eː n ə n
seeën	z eː ə n
selwer	z æ l v ɐ
setzen	z æ t s e n
si	z i
sichen	z i ɕ ə n
siechzeg	z i ə̯ ɕ t͡s ə ɕ
siechzéng	z i ə̯ ɕ t͡s e ŋ
siechzéngt	z i ə̯ ɕ t͡s e ŋ t
siedegen	z i ə̯ d e ʁ e n
