-al	a l
stokilogramový	s t o k ɪ l o ɡ r a m o v iː
stokilometrový	s t o k ɪ l o m ɛ t r o v iː
stokorunový	s t o k o r u n o v iː
stokrát	s t o k r aː t
stole	s t o l ɛ
stolech	s t o l ɛ x
stolek	s t o l ɛ k
stolem	s t o l ɛ m
století	s t o l ɛ c iː
stoletý	s t o l ɛ t iː
stoletých	s t o l ɛ t iː x
stolice	s t o l ɪ t͡s ɛ
stolička	s t o l ɪ t͡ʃ k a
stolní	s t o l ɲ iː
stolový	s t o l o v iː
stolu	s t o l u
stoly	s t o l ɪ
stolů	s t o l uː
stolům	s t o l uː m
stomatolog	s t o m a t o l o k
stomatologie	s t o m a t o l o ɡ ɪ j ɛ
stomatologii	s t o m a t o l o ɡ ɪ j ɪ
stomatoložka	s t o m a t o l o ʃ k a
stonek	s t o n ɛ k
stonkový	s t o n k o v iː
stonku	s t o n k u
stonožka	s t o n o ʃ k a
stop	s t o p
stopa	s t o p a
stopadesátimetrové	s t o p a d ɛ s aː c ɪ m ɛ t r o v iː
stopadesátimetrový	s t o p a d ɛ s aː c ɪ m ɛ t r o v iː
stopař	s t o p a r̝
stopařka	s t o p a r̝ k a
stoper	s t o p ɛ r
stopka	s t o p k a
stopkovýtrusný	s t o p k o v iː t r u s n iː
stopkovýtrusá	s t o p k o v iː t r u s aː
stopkovýtrusé	s t o p k o v iː t r u s ɛː
stopkovýtrusý	s t o p k o v iː t r u s iː
stopky	s t o p k ɪ
stoplampa	s t o p l a m p a
stopovat	s t o p o v a t
stopových	s t o p o v iː x
stoprocentní	s t o p r o t͡s ɛ n t ɲ iː
stoprocentně	s t o p r o t͡s ɛ n t ɲ ɛ
stopu	s t o p u
storno	s t o r n o
stornopoplatek	s t o r n o p o p l a t ɛ k
stornopoplatků	s t o r n o p o p l a t k uː
stornovat	s t o r n o v a t
storublovka	s t o r u b l o f k a
storuký	s t o r u k iː
stotisícového	s t o c ɪ s iː t͡s o v ɛː ɦ o
stotisícový	s t o c ɪ s iː t͡s o v iː
stotisící	s t o c ɪ s iː t͡s iː
stoupa	s t ou̯ p a
stoupají	s t ou̯ p a j iː
stoupala	s t ou̯ p a l a
stoupat	s t ou̯ p a t
stoupati	s t ou̯ p a c ɪ
stoupenec	s t ou̯ p ɛ n ɛ t͡s
stoupl	s t ou̯ p l
stoupne	s t ou̯ p n ɛ
stoupá	s t o u p aː
stovek	s t o v ɛ k
stovka	s t o f k a
stovku	s t o f k u
stovky	s t o f k ɪ
stovkám	s t o f k aː m
stočlenné	s t o t͡ʃ l ɛ n ɛː
stočlenný	s t o t͡ʃ l ɛ n iː
stočné	s t o t͡ʃ n ɛː
stošedesátimetrové	s t o ʃ ɛ d ɛ s aː c ɪ m ɛ t r o v ɛː
stošedesátimetrový	s t o ʃ ɛ d ɛ s aː c ɪ m ɛ t r o v iː
stošestileté	s t o ʃ ɛ s c ɪ l ɛ t ɛː
stošestiletý	s t o ʃ ɛ s c ɪ l ɛ t iː
strabismus	s t r a b ɪ z m u s
strace	s t r a t͡s ɛ
strach	s t r a x
strachkvas	s t r a x k v a s
strachovská	s t r a x o f s k aː
stradivárky	s t r a d ɪ v aː r k ɪ
strak	s t r a k
straka	s t r a k a
strakami	s t r a k a m ɪ
strakatý	s t r a k a t iː
strako	s t r a k o
strakonice	s t r a k o ɲ ɪ t͡s ɛ
strakou	s t r a k ou̯
straková	s t r a k o v aː
strakoš	s t r a k o ʃ
straku	s t r a k u
straky	s t r a k ɪ
strakách	s t r a k aː x
strakám	s t r a k aː m
stran	s t r a n
strana	s t r a n a
strangulace	s t r a n ɡ u l a t͡s ɛ
stranickost	s t r a ɲ ɪ t͡s k o s t
stranickou	s t r a ɲ ɪ t͡s k ou̯
stranické	s t r a ɲ ɪ t͡s k ɛː
stranický	s t r a ɲ ɪ t͡s k iː
stranou	s t r a n ou̯
stranu	s t r a n u
strany	s t r a n ɪ
stranám	s t r a n aː m
straník	s t r a ɲ iː k
strategický	s t r a t ɛ ɡ ɪ t͡s k iː
strategických	s t r a t ɛ ɡ ɪ t͡s k iː x
strategie	s t r a t ɛ ɡ ɪ ɛ
strategií	s t r a t ɛ ɡ ɪ j iː
stratopauza	s t r a t o p au̯ z a
stratosféra	s t r a t o s f ɛː r a
stratéžka	s t r a t ɛː ʃ k a
strava	s t r a v a
stravenka	s t r a v ɛ n k a
stravné	s t r a v n ɛː
stračena	s t r a t͡ʃ ɛ n a
stračí	s t r a t͡ʃ iː
straň	s t r a ɲ
strašení	s t r a ʃ ɛ ɲ iː
strašidlo	s t r a ʃ ɪ d l o
strašný	s t r a ʃ n iː
strašně	s t r a ʃ ɲ ɛ
strašák	s t r a ʃ aː k
strdlice	s t r d l ɪ t͡s ɛ
strdí	s t r ɟ iː
streamování	s t r iː m o v aː ɲ iː
streetworkerka	s t r iː t v ɛ r k ɛ r k a s t r iː t v o r k ɛ r k a
streetworkerky	s t r iː t v ɛ r k ɛ r k ɪ s t r iː t v o r k ɛ r k ɪ
strejda	s t r ɛ j d a
strejček	s t r ɛ j t͡ʃ ɛ k
streptokokový	s t r ɛ p t o k o k o v iː
stres	s t r ɛ s
strhl	s t r ɦ l
strhnout	s t r ɦ n ou̯ t
strie	s t r ɪ j ɛ
striptér	s t r ɪ p t ɛː r
striptérka	s t r ɪ p t ɛː r k a
strkula	s t r k u l a
strmý	s t r m iː
strmě	s t r m m ɲ ɛ
stroboskop	s t r o b o s k o p
strofa	s t r o f a
strohý	s t r o ɦ iː
stroj	s t r o j
strojař	s t r o j a r̝
strojaře	s t r o j a r̝ ɛ
strojařem	s t r o j a r̝ ɛ m
strojaři	s t r o j a r̝ ɪ
strojařovi	s t r o j a r̝ o v ɪ
strojařích	s t r o j a r̝ iː x
strojařů	s t r o j a r̝ uː
strojařům	s t r o j a r̝ uː m
stroje	s t r o j ɛ
strojem	s t r o j ɛ m
stroječek	s t r o j ɛ t͡ʃ ɛ k
stroji	s t r o j ɪ
strojní	s t r o j ɲ iː
strojník	s t r o j ɲ iː k
strojníkův	s t r o j ɲ iː k uː f
strojopis	s t r o j o p ɪ s
strojvedoucí	s t r o j v ɛ d ou̯ t͡s iː
strojvůdkyně	s t r o j v uː t k ɪ ɲ ɛ
strojích	s t r o j iː x
strojů	s t r o j uː
strojům	s t r o j uː m
strom	s t r o m
stromek	s t r o m ɛ k
stromolezkyně	s t r o m o l ɛ s k ɪ ɲ ɛ
stromovka	s t r o m o f k a
stromový	s t r o m o v iː
stromy	s t r o m ɪ
stroncium	s t r o n t͡s ɪ j u m
strop	s t r o p
stropnická	s t r o p ɲ ɪ t͡s k aː
stropnický	s t r o p ɲ ɪ t͡s k iː
stropní	s t r o p ɲ iː
stropních	s t r o p ɲ iː x
strouhanka	s t r ou̯ ɦ a n k a
strouhat	s t r o u ɦ a t
stroužek	s t r ou̯ ʒ ɛ k
strp	s t r p
struhadlo	s t r u ɦ a d l o
struk	s t r u k
strukový	s t r u k o v iː
struktura	s t r u k t u r a s t r u k t uː r a
strukturalistek	s t r u k t u r a l ɪ s t ɛ k
struma	s t r u m a
struna	s t r u n a
strunný	s t r u n n iː
struník	s t r u ɲ iː k
strup	s t r u p
stručný	s t r u t͡ʃ n iː
stručně	s t r u t͡ʃ ɲ ɛ
stránce	s t r aː n t͡s ɛ
stránek	s t r aː n ɛ k
stránka	s t r aː n k a
stránkách	s t r aː n k aː x
stránská	s t r aː n s k aː
strávil	s t r aː v ɪ l
strávit	s t r aː v ɪ t
stráviti	s t r aː v ɪ c ɪ
stráviv	s t r aː v ɪ f
strávníkům	s t r aː v ɲ iː k uː m
stráví	s t r aː v iː
stráň	s t r aː ɲ
stráž	s t r aː ʃ
strážce	s t r aː ʃ t͡s ɛ
strážkyně	s t r aː ʃ k ɪ ɲ ɛ
strážmistr	s t r aː ʒ m ɪ s t r
strážníci	s t r aː ʒ ɲ iː t͡s ɪ
strážník	s t r aː ʒ ɲ iː k
strýc	s t r iː t͡s
strýcův	s t r iː t͡s uː f
strýna	s t r iː n a
strýně	s t r iː ɲ ɛ
strýček	s t r iː t͡ʃ ɛ k
strýčenec	s t r iː t͡ʃ ɛ n ɛ t͡s
strč	s t r t͡ʃ
strčit	s t r t͡ʃ ɪ t
strčiti	s t r t͡ʃ ɪ c ɪ
strůjce	s t r uː j t͡s ɛ
strž	s t r ʃ
stržena	s t r ʒ ɛ n a
strženy	s t r ʒ ɛ n ɪ
stu	s t u
stud	s t u t
studenokrevný	s t u d ɛ n o k r ɛ v n iː
student	s t u d ɛ n t
studentce	s t u d ɛ n t t͡s ɛ
studente	s t u d ɛ n t ɛ
studentek	s t u d ɛ n t ɛ k
studenti	s t u d ɛ n c ɪ
studentka	s t u d ɛ n t k a
studentky	s t u d ɛ n t k ɪ
studentský	s t u d ɛ n t s k iː
studentů	s t u d ɛ n t uː
studentům	s t u d ɛ n t uː m
studentův	s t u d ɛ n t uː f
studená	s t u d ɛ n aː
studený	s t u d ɛ n iː
studia	s t u d ɪ j a
studie	s t u d ɪ j ɛ
studiem	s t u d ɪ j ɛ m
studii	s t u d ɪ j ɪ
studijní	s t u d ɪ j ɲ iː
studijním	s t u d ɪ j ɲ iː m
studio	s t u d ɪ j o
studiu	s t u d ɪ j u
studium	s t u d ɪ j u m
studií	s t u d ɪ j iː
studiích	s t u d ɪ j iː x
studiím	s t u d ɪ j iː m
studna	s t u d n a
studni	s t u d ɲ ɪ
studny	s t u d n ɪ
studovat	s t u d o v a t
studovati	s t u d o v a c ɪ
studuji	s t u d u j ɪ
studujou	s t u d u j ou̯
studuju	s t u d u j u
studují	s t u d u j iː
study	s t u d ɪ
studánka	s t u d aː n k a
studénce	s t u d ɛː n t͡s ɛ
studénecký	s t u d ɛː n ɛ t͡s k iː
studénka	s t u d ɛː n k a
stuha	s t u ɦ a
stul	s t u l
stupeň	s t u p ɛ ɲ
stupidity	s t u p ɪ d ɪ t ɪ
stupidní	s t u p ɪ d ɲ iː
stupka	s t u p k a
stupni	s t u p ɲ ɪ
stupnice	s t u p ɲ ɪ t͡s ɛ
stupních	s t u p ɲ iː x
stupně	s t u p ɲ ɛ
stupněm	s t u p ɲ ɛ m
stupňování	s t u p ɲ o v aː ɲ iː
stupňů	s t u p ɲ uː
stupňům	s t u p ɲ uː m
sturač	s t u r a t͡ʃ
stuttgart	ʃ t u t ɡ a r t
stužce	s t u ʃ t͡s ɛ
stužka	s t u ʃ k a
stvol	s t v o l
stvořitel	s t v o r̝ iː t ɛ l
stvrdit	s t v r ɟ ɪ t
stvrdiv	s t v r ɟ ɪ f
stvrzenka	s t v r z ɛ n k a
stvrď	s t v r c
sty	s t ɪ
stydký	s t ɪ t k iː
stydlivost	s t ɪ d l ɪ v o s t
stydlivější	s t ɪ d l ɪ v j ɛ j ʃ iː
styk	s t ɪ k
styky	s t ɪ k ɪ
styl	s t ɪ l
stylizovaný	s t ɪ l ɪ z o v a n iː
styčka	s t ɪ t͡ʃ k a
stád	s t aː t
stádce	s t aː t t͡s ɛ
stádo	s t aː d o
stáhl	s t aː ɦ l
stáhnout	s t aː ɦ n ou̯ t
stáhnouti	s t aː ɦ n ou̯ c ɪ
stál	s t aː l
stála	s t aː l a
stále	s t aː l ɛ
stálezelený	s t aː l ɛ z ɛ l ɛ n iː
stálo	s t aː l o
stálá	s t aː l aː
stálý	s t aː l iː
stánek	s t aː n ɛ k
stánky	s t aː n k ɪ
stání	s t aː ɲ iː
stár	s t aː r
stárnout	s t aː r n ou̯ t
stárnouti	s t aː r n ou̯ c ɪ
stárnutí	s t aː r n u c iː
stát	s t aː t
státech	s t aː t ɛ x
státem	s t aː t ɛ m
státnice	s t aː t ɲ ɪ t͡s ɛ
státní	s t aː t ɲ iː
státních	s t aː t ɲ iː x
státník	s t aː t ɲ iː k
státníků	s t aː t ɲ iː k uː
státním	s t aː t ɲ iː m
státnímu	s t aː t ɲ iː m u
státovka	s t aː t o f k a
státovědec	s t aː t o v j ɛ d ɛ t͡s
státovědecký	s t aː t o v j ɛ d ɛ t͡s k iː
státu	s t aː t u
státy	s t aː t ɪ
států	s t aː t uː
stávajících	s t aː v a j iː t͡s iː x
stávat	s t aː v a t
stávati	s t aː v a c ɪ
stávka	s t aː f k a
stávkokaz	s t aː f k o k a s
stáří	s t aː r̝ iː
stáž	s t aː ʃ
stáží	s t aː ʒ iː
stéblo	s t ɛː b l o
stéci	s t ɛː t͡s ɪ
stého	s t ɛː ɦ o
stéla	s t ɛː l a
sténám	s t ɛː n aː m
stíhají	s c iː ɦ a j iː
stíhat	s c iː ɦ a t
stíhačka	s c iː ɦ a t͡ʃ k a
stíhá	s c iː ɦ aː
stíhán	s c iː ɦ aː n
stíhána	s c iː ɦ aː n a
stín	s c iː n
stíneček	s c iː n ɛ t͡ʃ ɛ k
stínu	s c iː n u
stísněný	s c iː s ɲ ɛ n iː
stížnost	s c iː ʒ n o s t
stöckla	ʃ t ɛː k l a
stý	s t iː
stěhovavý	s c ɛ ɦ o v a v iː
stěna	s c ɛ n a
stěnám	s c ɛ n aː m
stěně	s c ɛ ɲ ɛ
stěžeň	s c ɛ ʒ ɛ ɲ
stěží	s c ɛ ʒ iː
střech	s t r̝ ɛ x
střecha	s t r̝ ɛ x a
střechy	s t r̝ ɛ x ɪ
střechýl	s t r̝ ɛ x iː l
střed	s t r̝ ɛ t
středa	s t r̝ ɛ d a
středeční	s t r̝ ɛ d ɛ t͡ʃ ɲ iː
středečního	s t r̝ ɛ d ɛ t͡ʃ ɲ iː ɦ o
střediscích	s t r̝ ɛ ɟ ɪ s t͡s iː x
středisek	s t r̝ ɛ ɟ ɪ s ɛ k
středisko	s t r̝ ɛ ɟ ɪ s k o
středisky	s t r̝ ɛ ɟ ɪ s k ɪ
střední	s t r̝ ɛ d ɲ iː
středních	s t r̝ ɛ d ɲ iː x
středník	s t r̝ ɛ d ɲ iː k
středoafrický	s t r̝ ɛ d o a f r ɪ t͡s k iː
středoamerický	s t r̝ ɛ d o a m ɛ r ɪ t͡s k iː
středoameričan	s t r̝ ɛ d o a m ɛ r ɪ t ʃ a n
středobod	s t r̝ ɛ d o b o t
středoevropského	s t r̝ ɛ d o ɛ v r o p s k ɛː ɦ o
středoevropský	s t r̝ ɛ d o ɛ v r o p s k iː
středoitalský	s t r̝ ɛ d o ɪ t a l s k iː
středolevý	s t r̝ ɛ d o l ɛ v iː
středomořský	s t r̝ ɛ d o m o r̝ s k iː
středoobsahový	s t r̝ ɛ d o ʔ o p s a ɦ o v iː
středoplošník	s t r̝ ɛ d o p l o ʃ ɲ iː k
středopravý	s t r̝ ɛ d o p r a v iː
středoušní	s t r̝ ɛ d ou̯ ʃ ɲ iː
středovýchodní	s t r̝ ɛ d o v iː x o d ɲ iː
středověk	s t r̝ ɛ d o v j ɛ k
středověkem	s t r̝ ɛ d o v j ɛ k ɛ m
středověku	s t r̝ ɛ d o v j ɛ k u
středověký	s t r̝ ɛ d o v j ɛ k iː
středočech	s t ɛ d o t͡ʃ ɛ x
středočechů	s t ɛ d o t͡ʃ ɛ x uː
středočeském	s t r̝ ɛ d o t͡ʃ ɛ s k ɛː m
středočeský	s t r̝ ɛ d o t͡ʃ ɛ s k iː
středoškolačka	s t r̝ ɛ d o ʃ k o l a t͡ʃ k a
středoškolský	s t r̝ ɛ d o ʃ k o l s k iː
středoškolák	s t r̝ ɛ d o ʃ k o l aː k
středu	s t r̝ ɛ d u
středy	s t r̝ ɛ d ɪ
střeh	s t r̝ ɛ x
střela	s t r̝ ɛ l a
střelba	s t r̝ ɛ l b a
střelbu	s t r̝ ɛ l b u
střelby	s t r̝ ɛ l b ɪ
střelbě	s t r̝ ɛ l b j ɛ
střelec	s t r̝ ɛ l ɛ t͡s
střelecká	s t r̝ ɛ l ɛ t͡s k aː
střelkyně	s t r̝ ɛ l k ɪ ɲ ɛ
střelmistr	s t r̝ ɛ l m ɪ s t r
střelnice	s t r̝ ɛ l ɲ ɪ t͡s ɛ
střelný	s t r̝ ɛ l n iː
střemchový	s t r̝ ɛ m x o v iː
střemhlav	s t r̝ ɛ m ɦ l a f
střep	s t r̝ ɛ p
střet	s t r̝ ɛ t
střetu	s t r̝ ɛ t u
střetů	s t r̝ ɛ t uː
střevle	s t r̝ ɛ v l ɛ
střevní	s t r̝ ɛ v ɲ iː
střevo	s t r̝ ɛ v o
střevíc	s t r̝ ɛ v iː t͡s
střeše	s t r̝ ɛ ʃ ɛ
střešní	s t r̝ ɛ ʃ ɲ iː
střihat	s t r̝ ɪ ɦ a t
střihnout	s t r̝ ɪ ɦ n ou̯ t
stříbrný	s t r̝ iː b r n iː
stříbro	s t r̝ iː b r o
stříbrohlav	s t r̝ iː b r o ɦ l a f
stříbrotepec	s t r̝ iː b r o t ɛ p ɛ t͡s
stříbrsko	s t r̝ iː b r s k o
stříbrský	s t r̝ iː b r s k iː
stříci	s t r̝ iː t͡s ɪ
střídají	s t r̝ iː d a j iː
střídat	s t r̝ iː d a t
střídati	s t r̝ iː d a c ɪ
střídavý	s t r̝ iː d a v iː
střídavě	s t r̝ iː d a v j ɛ
střídačce	s t r̝ iː d a t͡ʃ t͡s ɛ
střídačka	s t r̝ iː d a t͡ʃ k a
střídka	s t r̝ iː t k a
střídník	s t r̝ iː d ɲ iː k
stříhat	s t r̝ iː ɦ a t
stříhání	s t r̝ iː ɦ aː ɲ iː
stříkat	s t r̝ iː k a t
stříkati	s t r̝ iː k a c ɪ
stříkačce	s t r̝ iː k a t͡ʃ t͡s ɛ
stříkačka	s t r̝ iː k a t͡ʃ k a
stříleli	s t r̝ iː l ɛ l ɪ
střílet	s t r̝ iː l ɛ t
stříleti	s t r̝ iː l ɛ c ɪ
střílna	s t r̝ iː l n a
stříška	s t r̝ iː ʃ k a
stůj	s t uː j
stůl	s t uː l
su	s u
subdodávka	s u b d o d aː f k a
subdodávky	s u b d o d aː f k ɪ
subdurální	s u b d u r aː l ɲ iː
subfebrilie	s u p f ɛ b r ɪ l ɪ j ɛ
subjekt	s u b j ɛ k t
subjektivní	s u b j ɛ k t iː v ɲ iː s u b j ɛ k t ɪ v ɲ iː
sublimace	s u b l ɪ m a t͡s ɛ
sublimní	s u b l ɪ m ɲ iː
sublimát	s u b l ɪ m aː t
submarinní	s u p m a r ɪ ɲ iː
submerzní	s u b m ɛ r z ɲ iː
subreta	s u b r ɛ t a
subsaharské	s u p s a ɦ a r s k ɛː
subsaharský	s u p s a ɦ a r s k iː
subsidiarita	s u p s ɪ d ɪ j a r ɪ t a
subsidiarizace	s u p s ɪ d ɪ j a r ɪ z a t͡s ɛ
subsonický	s u p s o n ɪ t͡s k iː
substance	s u p s t a n t͡s ɛ
substantiv	s u p s t a n t ɪ f
substantivum	s u p s t a n t iː v u m
substituce	s u p s t ɪ t u t͡s ɛ
subsumpce	s u p s u m p t͡s ɛ
subtropy	s u p t r o p ɪ
subvence	s u b v ɛ n t͡s ɛ
sucerský	s u k ɛ r s k iː
such	s u x
suchar	s u x a r
sucho	s u x o
suchoprd	s u x o p r t
suchopár	s u x o p aː r
suchozemské	s u x o z ɛ m s k ɛː
suchozemský	s u x o z ɛ m s k iː
suchý	s u x iː
sucre	s u k r ɛ
sud	s u t
sudba	s u d b a
sudbina	s u d b ɪ n a
sudetoněmecký	s u d ɛ t o ɲ ɛ m ɛ t͡s k iː
sudetský	s u d ɛ t s k iː
sudetských	s u d ɛ t͡s k iː x
sudič	s u ɟ ɪ t͡ʃ
sudička	s u ɟ ɪ t͡ʃ k a
sudlice	s u d l ɪ t s ɛ
sudokopytník	s u d o k o p ɪ t ɲ iː k
sudoku	s u d o k u
sudový	s u d o v iː
sudí	s u ɟ iː
sudý	s u d iː
sudů	s u d uː
sufizantní	s u f ɪ z a n t ɲ iː
suflé	s u f l ɛː
suflér	s u f l ɛː r
sufražetka	s u f r a ʒ ɛ t k a
suicidální	s u j t͡s ɪ d aː l ɲ iː
suit	s v ɪ t
suita	s v ɪ t a
suk	s u k
suknice	s u k ɲ ɪ t͡s ɛ
sukničkář	s u k ɲ ɪ t͡ʃ k aː r̝
sukně	s u k ɲ ɛ
sukovitý	s u k o v ɪ t iː
suku	s u k u
sukulentní	s u k u l ɛ n t ɲ iː
sulawesi	s u l a v ɛ s ɪ
sulfid	s u l f ɪ t
sulfát	s u l f aː t
sultánka	s u l t aː n k a
sum	s u m
suma	s u m a
sumaterský	s u m a t ɛ r s k iː
sumatra	s u m a t r a
sumec	s u m ɛ t͡s
sumersky	s u m ɛ r s k ɪ
sumerský	s u m ɛ r s k iː
sumerština	s u m ɛ r ʃ c ɪ n a
sumeček	s u m ɛ t͡ʃ ɛ k
summit	s a m ɪ t
summitem	s a m ɪ t ɛ m
sumo	s u m o
sumář	s u m aː r̝
sumó	s u m oː
sumýš	s u m iː ʃ
sumčí	s u m t͡ʃ iː
sun	s u n
sundat	s u n d a t
sunitský	s u n ɪ t s k iː
sunout	s u n ou̯ t
sup	s u p
super	s u p ɛ r
superantikontramultiextraunikátní	s u p ɛ r a n t ɪ k o n t r a m u l t ɪ ɛ k s t r a u n ɪ k aː t ɲ iː
supercela	s u p ɛ r t͡s ɛ l a
superkalifradžilistikexpijalidózní	s u p ɛ r k a l ɪ f r a d͡ʒ ɪ l ɪ s t ɪ k ɛ k s p ɪ j a l ɪ d oː z ɲ iː
superlativ	s u p ɛ r l a t ɪ f
superlig	s u p ɛ r l ɪ k
superliga	s u p ɛ r l ɪ ɡ a
superligami	s u p ɛ r l ɪ ɡ a m ɪ
superligo	s u p ɛ r l ɪ ɡ o
superligou	s u p ɛ r l ɪ ɡ ou̯
superligový	s u p ɛ r l ɪ ɡ o v iː
superligu	s u p ɛ r l ɪ ɡ u
superligy	s u p ɛ r l ɪ ɡ ɪ
superligách	s u p ɛ r l ɪ ɡ aː x
superligám	s u p ɛ r l ɪ ɡ aː m
superlize	s u p ɛ r l ɪ z ɛ
supermarket	s u p ɛ r m a r k ɛ t
supermarketu	s u p ɛ r m a r k ɛ t u
supernova	s u p ɛ r n o v a
superobří	s u p ɛ r o b r̝ iː
superobřím	s u p ɛ r o b r̝ iː m
supersonický	s u p ɛ r s o n ɪ t͡s k iː
superúplněk	s u p ɛ r uː p l ɲ ɛ k
superúplňku	s u p ɛ r uː p l ɲ k u
superúterý	s u p ɛ r uː t ɛ r iː
superúředník	s u p ɛ r uː r̝ ɛ d ɲ iː k
supinum	s u p iː n u m
suplent	s u p l ɛ n t
supletivnost	s u p l ɛ t ɪ v n o s t
suplik	s u p l ɪ k
suplika	s u p l ɪ k a
suplikace	s u p l ɪ k a t͡s ɛ
supozice	s u p o z ɪ t͡s ɛ
supí	s u p iː
supět	s u p j ɛ t
supěti	s u p j ɛ c ɪ
surfař	s ɛ r f a r̝ s u r f a r̝
surikata	s u r ɪ k a t a
surinam	s u r ɪ n a m
surinamský	s u r ɪ n a m s k iː
surovec	s u r o v ɛ t͡s
surovina	s u r o v ɪ n a
suroví	s u r o v iː
surový	s u r o v iː
surovým	s u r o v iː m
surrealismus	s ɪ r ɛ a l ɪ z m u s
surrealistek	s ɪ r ɛ a l ɪ s t ɛ k s ɪ r ɛ a l ɪ s t ɛ k
suse	s uː s ɛ
sushi	s u ʃ ɪ
sut	s u t
suterén	s u t ɛ r ɛː n
sutky	s u t k ɪ
suverenitu	s u v ɛ r ɛ n ɪ t u
suverén	s u v ɛ r ɛː n
suverénka	s u v ɛ r ɛː n k a
suzdal	s u z d a l
suď	s u c
sušenka	s u ʃ ɛ n k a
sušený	s u ʃ ɛ n iː
suši	s u ʃ ɪ
sušice	s u ʃ ɪ t͡s ɛ
sušický	s u ʃ ɪ t͡s k iː
sušit	s u ʃ ɪ t
sušičce	s u ʃ ɪ t͡ʃ t͡s ɛ
sušička	s u ʃ ɪ t͡ʃ k a
sušičkách	s u ʃ ɪ t͡ʃ k aː x
sušárna	s u ʃ aː r n a
suší	s u ʃ iː
sužovat	s u ʒ o v a t
sužuje	s u ʒ u j ɛ
svah	s v a x
svahilsky	s v a ɦ ɪ l s k ɪ
svahilština	s v a ɦ ɪ l ʃ c ɪ n a
sval	s v a l
svalnatý	s v a l n a t iː
svalovec	s v a l o v ɛ t͡s
svalový	s v a l o v iː
svar	s v a r
svastika	s v a s t ɪ k a
svatba	s v a d b a
svatbě	s v a d b j ɛ
svatební	s v a t ɛ b ɲ iː
svatebčan	s v a t ɛ p t͡ʃ a n
svatebčanek	s v a t ɛ p t͡ʃ a n ɛ k
svatoanenský	s v a t o a n ɛ n s k iː
svatobarborský	s v a t o b a r b o r s k iː
svatobartolomějský	s v a t o b a r t o l o m ɲ ɛ j s k iː
svatobernardský	s v a t o b ɛ r n a r d s k iː
svatodušní	s v a t o d u ʃ ɲ iː
svatohavelský	s v a t o ɦ a v ɛ l s k iː
svatohorský	s v a t o ɦ o r s k iː
svatojakubský	s v a t o j a k u p s k iː
svatojanský	s v a t o j a n s k iː
svatojirský	s v a t o j ɪ r s k iː
svatojiřský	s v a t o j ɪ r̝ s k iː
svatojánský	s v a t o j aː n s k iː
svatokopecký	s v a t o k o p ɛ t͡s k iː
svatokrádce	s v a t o k r aː t t͡s ɛ
svatokrádež	s v a t o k r aː d ɛ ʃ
svatomarkétský	s v a t o m a r k ɛː t s k iː
svatomartinský	s v a t o m a r c ɪ n s k iː
svatomatějský	s v a t o m a c ɛ j s k iː
svatomikulášský	s v a t o m ɪ k u l aː ʃ s k iː
svatonoční	s v a t o n o t͡ʃ ɲ iː
svatopetrský	s v a t o p ɛ t r s k iː
svatopluk	s v a t o p l u k
svatoprokopský	s v a t o p r o k o p s k iː
svatoschránka	s v a t o s x r aː n k a
svatostánek	s v a t o s t aː n ɛ k
svatosvatý	s v a t o s v a t iː
svatovojtěšský	s v a t o v o j c ɛ ʃ s k iː
svatováclavský	s v a t o v aː t͡s l a f s k iː
svatovítský	s v a t o v iː t s k iː
svatozář	s v a t o z aː r̝
svatoš	s v a t o ʃ
svatoštěpánský	s v a t o ʃ c ɛ p aː n s k iː
svatvečer	s v a t v ɛ t͡ʃ ɛ r
svaty	s v a t ɪ
svatyňka	s v a t ɪ ɲ k a
svatého	s v a t ɛː ɦ o
svatý	s v a t iː
svaz	s v a s
svazek	s v a z ɛ k
svazijsko	s v a z ɪ j s k o
svazků	s v a s k uː
svazácký	s v a z aː t͡s k iː
svazák	s v a z aː k
svačina	s v a t͡ʃ ɪ n a
svačit	s v a t͡ʃ ɪ t
svačiti	s v a t͡ʃ ɪ c ɪ
svařák	s v a r̝ aː k
svaťák	s v a c aː k
sved	s v ɛ t
svede	s v ɛ d ɛ
sveden	s v ɛ d ɛ n
svedou	s v ɛ d ou̯
svedu	s v ɛ d u
svegruše	s v ɛ ɡ r u ʃ ɛ
svetr	s v ɛ t r
svezla	s v ɛ z l a
sveď	s v ɛ c
sveďme	s v ɛ ɟ m ɛ
sveďte	s v ɛ c t ɛ
sveřepice	s v ɛ r̝ ɛ p ɪ t͡s ɛ
sveřepý	s v ɛ r̝ ɛ p iː
svidřík	s v ɪ d r̝ iː k
svině	s v ɪ ɲ ɛ
svislý	s v ɪ s l iː
svit	s v ɪ t
svitava	s v ɪ t a v a
svitavsko	s v ɪ t a f s k o
svitavském	s v ɪ t a f s k ɛː m
svitavský	s v ɪ t a f s k iː
svitavy	s v ɪ t a v ɪ
svitek	s v ɪ t ɛ k
sviňte	s v ɪ ɲ t ɛ
sviňucha	s v ɪ ɲ u x a
sviňák	s v ɪ ɲ aː k
svišť	s v ɪ ʃ c
svižník	s v ɪ ʒ ɲ iː k
svlak	s v l a k
svléknout	s v l ɛː k n ou̯ t
svlíkačce	s v l iː k a t͡ʃ t͡s ɛ
svoboda	s v o b o d a
svobodník	s v o b o d ɲ iː k
svobodníkův	s v o b o d ɲ iː k uː f
