на	n a
гофман	ɡ ɔ f m a n
данном	d a n n ɔ m
дент	d ɛ n t
джером	d͡ʒ ɛ r ɔ m
джойса	d͡ʒ ɔ j s a
джін	d͡ʒ i n
дністром	d n i s t r ɔ m
дрона	d r ɔ n a
едісон	j ɛ d i s ɔ n
жетони	ʒ ɛ t ɔ n i
жін	ʒ i n
загрозами	z a ɡ r ɔ z a m i
зазнавати	z a z n a v a tʲ i
захер	z a xʲ ɵ r
збито	z b i t ɔ
йосафат	j ɔ s a f a t
канадському	k a n a d sʲ k ɔ m u
кох	k ɔ x
крану	k r a n u
крапок	k r a p ɔ k
крилова	k r i l ɔ v a
малая	m a ɮ a j a
мандарини	m a n d a r i n i
марним	m a r n i m
наймом	n ɛː m ɔ m
обробок	ɔ b r ɔ b ɔ k
оглядом	ɔ ɡ ɮʲ a d ɔ m
оздоби	ɔ z d ɔ b i
ооооо	oː oː oː
опитано	ɔ p i t a n o
охраны	ɔ x r a n i
покарана	p ɔ k a r a n a
прогнозовано	p r ɔ ɡ n ɔ z ɔ v a n o
пруд	p r ʊ d
піднімали	p i d n i m a l i
пізнай	p i z n ɛː
розд	r ɔ z d
русько	r ʊ s ɪ k ɔ
ставком	s t a w k ɔ m
трапеза	t r a pʲ ɛ z a
трасах	t r a s a x
тризуба	t r i z u b a
урп	ʊ r p
фастова	f a s t ɔ v a
хама	x a m a
храма	x r a m a
acer	ɑː d͡ʒ ɛ ɾ
burn	b ʊ ɾ n
dress	d ɾ ɛ s
irc	ɪ ɾ d͡ʒ
lada	l ɑː d ɑː
material	m ɑ t ɛ ɾ i ɑː l
plays	p l ɑ j s
агар	a ɣ a r
апетити	a pʲ ɛ tʲ i tʲ i
балкани	b a ɮ k a n i
бертон	b ɛ r t ɔ n
битком	b i t k ɔ m
гриму	ɡ r i m u
гроно	ɡ r ɔ n o
грот	ɡ r ɔ t
данини	d a n i n i
догани	d ɔ ɡ a n i
дрогобицькому	d r ɔ ɡ ɔ b i t͡sʲ k ɔ m u
едет	j ɛ d ɛ t
експо	j ɛ k s p ɔ
жадають	ʒ a d a j u tʲ
заразом	z a r a z ɔ m
здадуть	z d a d u tʲ
зем	z ɛ m
земських	z ɛ m s ɪ k i x
зим	z i m
зруб	z r ʊ b
зібраними	z i b r a n i m i
зіп	z i p
казарму	k a z a r m u
каламбур	k a ɮ a m b ʊ r
канонами	k a n ɔ n a m i
карина	k a r i n a
карно	k a r n o
кодова	k ɔ d ɔ v a
кофту	k ɔ f t u
красной	k r a s n ɔ j
крит	k r i t
мана	m a n a
мандрівок	m a n d r i v ɔ k
множину	m n ɔ ʑ i n u
молимось	m ɔ l i m ɔ s ɪ
монстром	m ɔ n s t r ɔ m
містком	m i s t k ɔ m
нама	n a m a
натяг	n a tʲ a ɡ
обливання	ɔ b l i v a n nʲ a
озноб	ɔ z n ɔ b
опорним	ɔ p ɔ r n i m
офіціанткою	ɔ f i t͡sʰ j a n t k ɔ j u
охопить	ɔ x ɔ p i tʲ
пафосом	p a f ɔ s ɔ m
пень	p ɛ n ɪ
питною	p i t n ɔ j u
плацдарму	p ɮ a t͡sʰ d a r m u
подоба	p ɔ d ɔ b a
подоби	p ɔ d ɔ b i
поливу	p ɔ l i v u
помою	p ɔ m ɔ j u
потрох	p ɔ t r ɔ x
призма	p r i z m ɑ
принад	p r i n a d
приписи	p r i p i s i
прозорим	p r ɔ z ɔ r i m
рогоза	r ɔ ɡ ɔ z a
родову	r ɔ d ɔ v u
сарана	s a r a n a
страхами	s t r a x a m i
тюдор	tʲ u d ɔ r
флер	f lʲ ɛ r
харькова	x a rʲ k ɔ v a
clio	d͡ʒ l i o
esp	ɛ s p
pen	p ɛ n
wwii	w w iː
адміралом	a d m i r a ɮ ɔ m
боргах	b ɔ r ɡ a x
бра	b r a
бімба	b i m b a
гаму	ɡ a m u
гонорару	ɡ ɔ n ɔ r a r u
дослідж	d ɔ s l i d͡ʒ
досліду	d ɔ s l i d u
діми	d i m i
жених	ʒ ɛ n i x
жидам	ʒ i d a m
жо	ʒ ɔ
забивання	z a b i v a n nʲ a
заданою	z a d a n ɔ j u
заможна	z a m ɔ ʑ n a
зво	z ʋ ɔ
зеленню	z ɛ l ɛ n n j u
казать	k a z a tʲ
капніст	k a p n i s t
комиш	k ɔ m i ɕ
компот	k ɔ m p ɔ t
коновал	k ɔ n ɔ v a l
копняка	k ɔ p nʲ a k a
коралів	k ɔ r a l i v
корсакова	k ɔ r s a k ɔ v a
миють	m i j u tʲ
модів	m ɔ d i v
муром	m ʊ r ɔ m
наземну	n a z ɛ m n ʊ
наказам	n a k a z a m
насосних	n a s ɔ s n i x
носимо	n ɔ s i m ɔ
нуб	n ʊ b
опадами	ɔ p a d a m i
погибли	p ɔ ɡ i b l i
подпись	p ɔ d p i s ɪ
поздно	p ɔ z d n o
поминання	p ɔ m i n a n nʲ a
попаданні	p ɔ p a d a n n i
потока	p ɔ t ɔ k a
походили	p ɔ x ɔ d i l i
приправи	p r i p r a vʲ i
приятно	p r i j a t n o
прогалини	p r ɔ ɡ a l i n i
піхоту	p i x ɔ t u
пішоходам	p i ʃ ɔ x ɔ d a m
расово	r a s ɔ v ɔ
рибами	r i b a m i
рик	r i k
скрипалька	s k r i p a lʲ k a
тотально	t ɔ t a lʲ n o
фазою	f a z ɔ j u
фермою	f ɛ r m ɔ j u
фінансиста	f i n a n s i s t a
хабом	x a b ɔ m
хабу	x a b u
худі	x ʊ d i
цок	t͡sʰ ɔ k
чарлз	t͡ɕ a r ɮ z
aa	ɑː
bat	b ɑ t
blank	b l ɑ ŋ k
breath	b ɾ ɛ ɑː t
dig	d ɪ ɡ
gp	ɡ eː p
held	h ɛ l d
helped	h ɛ l p ɛ d
iffhs	ɪ f s
magnum	m ɑː ɡ n ʊ m
mars	m ɑ ɾ s
pets	p ɛ t s
sentiment	s ɛ n t ɪ m ɛ n t
абрис	a b r i s
ази	a z i
альта	a ɮʲ tʰ a
балом	b a ɮ ɔ m
банана	b a n a n a
бандитизм	b a n d i tʲ i z m
джакомо	d͡ʒ a k ɔ m ɔ
дин	d i n
дині	d i n i
доска	d ɔ s k a
заглядати	z a ɡ ɮʲ a d a tʲ i
заказать	z a k a z a tʲ
заливають	z a l i v a j u tʲ
замкову	z a m k ɔ v u
зекоманда	z ɛ k ɔ m a n d a
змісті	z m i s tʲ i
зіркова	z i r k ɔ v a
зіставити	z i s t a vʲ i tʲ i
идёт	i d j ɔ t
каб	k a b
кокса	k ɔ k s a
космосом	k ɔ s m ɔ s ɔ m
ладану	ɮ a d a n u
мамая	m a m a j a
матяш	m a tʲ a ɕ
монахиня	m ɔ n a x i nʲ a
моссад	m ɔ s s a d
муху	m ʊ x ʊ
мікрофона	m i k r ɔ f ɔ n a
наказами	n a k a z a m i
напором	n a p ɔ r ɔ m
насколько	n a s k ɔ lʲ k ɔ
настю	n a s tʲ u
нафто	n a f t ɔ
незграбно	n ɛ z ɡ r a b n o
неё	n ɛ j ɔ
оклику	ɔ k l i k u
особое	ɔ s ɔ b ɔ j ɛ
парова	p a r ɔ v a
пищать	p i ɕ t͡ɕ a tʲ
поднять	p ɔ d nʲ a tʲ
покликом	p ɔ k l i k ɔ m
покривом	p ɔ k r i v ɔ m
помоги	p ɔ m ɔ ɡ i
порою	p ɔ r ɔ j u
прагматизм	p r a ɡ m a tʲ i z m
прибыли	p r i b i ɮ i
пропадуть	p r ɔ p a d u tʲ
піно	p i n o
радон	r a d ɔ n
райрада	r ɛː r a d a
родіон	r ɔ d j ɔ n
розвод	r ɔ z v ɔ d
трафіком	t r a f i k ɔ m
хакі	x a kʲ
эй	e i
ace	ɑː d͡ʒ ɛ
ads	ɑ d s
casey	d͡ʒ ɑː s ɛ j
darpa	d ɑ ɾ p ɑː
fate	f ɑː t ɛ
heat	h ɛ ɑː t
mate	m ɑː t ɛ
sas	s ɑː s
send	s ɛ n d
sera	s ɛ ɾ ɑː
sind	s ɪ n d
андорра	a n d ɔ r r a
анно	a n n o
базису	b a z i s u
богдани	b ɔ ɡ d a n i
бран	b r a n
гавел	ɡ a vʲ ɛ l
гміни	ɡ m i n i
деном	d ɛ n ɔ m
джейд	d͡ʒ ɛ j d
дизайни	d i z ɛː n i
дот	d ɔ t
жакет	ʒ a kʲ ɛ t
желания	ʒ ɛ l a n i j a
заносить	z a n ɔ s i tʲ
заробимо	z a r ɔ b i m ɔ
захарчук	z a x a r t͡ɕʰ u k
зводу	z ʋ ɔ d u
згинання	z ɡ i n a n nʲ a
здавала	z d a v a ɮ a
зразкам	z r a z k a m
кива	k i v a
клінік	k l i n i k
книжкову	k n i ʒ k ɔ v u
командор	k ɔ m a n d ɔ r
композитних	k ɔ m p ɔ z i t n i x
крадькома	k r a dʲ k ɔ m a
лимоном	l i m ɔ n ɔ m
лицо	l i t͡sʰ ɔ
марадона	m a r a d ɔ n a
марин	m a r i n
мозгу	m ɔ z ɡ u
мозу	m ɔ z u
монархом	m ɔ n a r x ɔ m
морис	m ɔ r i s
міп	m i p
надбавок	n a d b a v ɔ k
назарет	n a z a rʲ ɛ t
насосом	n a s ɔ s ɔ m
негро	n ɛ ɡ r ɔ
отара	ɔ t a r a
памперси	p a m pʲ ɛ r s i
панахида	p a n a x i d a
парна	p a r n a
пахан	p a x a n
пла	p ɫ a
подякую	p ɔ d j a k u j u
подіуму	p ɔ d j uː m u
покриви	p ɔ k r i v i
помнить	p ɔ m n i tʲ
понимать	p ɔ n i m a tʲ
посадову	p ɔ s a d ɔ v u
придбаних	p r i d b a n i x
підгруп	p i d ɡ r u p
расизмом	r a s i z m ɔ m
рассказ	r a s k a z
розривом	r ɔ z r i v ɔ m
роні	r ɔ n i
сакральна	s a k r a ɮʲ n a
старост	s t a r ɔ s t
сток	s t ɔ k
стю	s tʲ u
тaк	t ɑː k
табель	t a bʲ ɛ lʲ
тамарою	t a m a r ɔ j u
татра	t a t r a
тодішньому	t ɔ d i ɕ nʲ ɔ m u
торговых	t ɔ r ɡ ɔ v i x
тормоз	t ɔ r m ɔ z
хайнц	x ɛː n t͡sʰ
шипшини	ɕ i p ɕ i n i
якобы	j a k ɔ b i
amp	ɑ m p
blanc	b l ɑ n d͡ʒ
lands	l ɑ n d s
lemberg	l ɛ m b ɛ ɾ ɡ
oslo	o s l o
prada	p ɾ ɑː d ɑː
warm	w ɑ ɾ m
аббас	a b b a s
боец	b ɔ j ɛ t͡sʰ
бомбардиром	b ɔ m b a r d i r ɔ m
борщів	b ɔ r ɕ t͡ɕ i v
бродить	b r ɔ d i tʲ
газах	ɡ a z a x
годи	ɡ ɔ d i
горобина	ɡ ɔ r ɔ b i n a
граб	ɡ r a b
данным	d a n n i m
дейн	d ɛ j n
дзвоном	d͡z ʋ ɔ n ɔ m
димар	d i m ɑ r
димову	d i m ɔ v u
дніпрян	d n i p rʲ a n
драконами	d r a k ɔ n a m i
жандарм	ʒ a n d a r m
жгут	ʒ ɡ ʊ t
жирними	ʒ i r n i m i
запальна	z a p a ɮʲ n a
запискою	z a p i s k ɔ j u
заправок	z a p r a v ɔ k
запрет	z a p rʲ ɛ t
змішаними	z m i ɕ a n i m i
зневагою	z n ɛ v a ɡ ɔ j u
капкан	k a p k a n
кастер	k a s tʲ ɛ r
корда	k ɔ r d a
корзини	k ɔ r z i n i
кохала	k ɔ x a ɮ a
крапкою	k r a p k ɔ j u
купкою	k u p k ɔ j u
лицю	l i t͡sʰ j u
мигаль	m i ɡ a lʲ
міркую	m i r k u j u
міхала	m i x a ɮ a
набрано	n a b r a n o
нацист	n a t͡sʰ i s t
нинi	n i n i
огиди	ɔ ɡ i d i
остановить	ɔ s t a n ɔ v i tʲ
отказа	ɔ t k a z a
пандори	p a n d ɔ r i
паси	p a s i
понимания	p ɔ n i m a n i j a
посадиш	p ɔ s a d i ɕ
прикордоння	p r i k ɔ r d ɔ n nʲ a
примірника	p r i m i r n i k a
припис	p r i p i s
програвали	p r ɔ ɡ r a v a l i
проса	p r ɔ s a
проходят	p r ɔ x ɔ d j a t
підмоги	p i d m ɔ ɡ i
розбивали	r ɔ z b i v a l i
сальвадора	s a ɮʲ v a d ɔ r a
сидит	s i d i t
тод	t ɔ d
фазах	f a z a x
фарфор	f a r f ɔ r
фосфат	f ɔ s f a t
хаб	x a b
харкову	x a r k ɔ v u
хисту	x i s t u
христових	x r i s t ɔ v i x
цапа	t͡sʰ a p a
ялиці	j a l i t͡sʰ i
ard	ɑː ɾ d
cohen	d͡ʒ oː h ɛ n
ships	ʃ ɪ p s
stanley	s t ɑː n l ɛ j
tab	t ɑː b
абз	a b z
ала	a ɮ a
амбасади	a m b a s a d i
ананаси	a n a n a s i
андрiй	a n d r iː
банні	b a n n i
бастер	b a s tʲ ɛ r
биг	b i ɡ
борд	b ɔ r d
галузеву	ɡ a ɮ u z ɛ v u
геббельс	ɡ ɛ b b ɛ l ɪ s
гелю	ɡ ɛ l j u
гордоном	ɡ ɔ r d ɔ n ɔ m
грипом	ɡ r i p ɔ m
дока	d ɔ k a
доні	d ɔ n i
доходила	d ɔ x ɔ d i l a
жебрака	ʒ ɛ b r a k a
займай	z ɛː m ɛː
заморозка	z a m ɔ r ɔ z k a
засн	z a s n
засобам	z a s ɔ b a m
заходам	z a x ɔ d a m
змішаним	z m i ɕ a n i m
йонас	j ɔ n a s
карвер	k a r vʲ ɛ r
липою	l i p ɔ j u
лісок	l i s ɔ k
манько	m a nʲ k ɔ
масті	m a s tʲ
милашка	m i ɮ a ɕ k a
молоковоза	m ɔ l ɔ k ɔ v ɔ z a
надсилання	n a d s i ɮ a n nʲ a
описання	ɔ p i s a n nʲ a
подобные	p ɔ d ɔ b n i j ɛ
пойду	p ɔ j d u
помогать	p ɔ m ɔ ɡ a tʲ
понта	p ɔ n t a
праздником	p r a z d n i k ɔ m
пригрозила	p r i ɡ r ɔ z i l a
принципову	p r i n t͡sʰ i p ɔ v u
прихожани	p r i x ɔ ʑ a n i
рандомно	r a n d ɔ m n o
робом	r ɔ b ɔ m
робінзона	r ɔ b i n z ɔ n a
садибах	s a d i b a x
семпай	s ɛ m p ɛː
собирать	s ɔ b i r a tʲ
спот	s p ɔ t
справка	s p r a w k a
таков	t a k ɔ v
тверк	t ʋ ɛ r k
тошно	t ɔ ɕ n o
шабашу	ɕ a b a ɕ u
bath	b ɑː t
begins	b ɛ ɡ ɪ n s
gl	ɡ l
members	m ɛ m b ɛ ɾ s
naked	n ɑː k ɛ d
pegasus	p ɛ ɡ ɑː s ʊ s
trucks	t ɾ ʊ k s
went	w ɛ n t
арок	a r ɔ k
баригою	b a r i ɡ ɔ j u
бетонними	b ɛ t ɔ n n i m i
боси	b ɔ s i
гадя	ɡ a dʲ a
гам	ɡ a m
горба	ɡ ɔ r b a
грон	ɡ r ɔ n
гумку	ɡ ʊ m k ʊ
джоша	d͡ʒ ɔ ɕ a
доказать	d ɔ k a z a tʲ
доле	d ɔ lʲ ɛ
драмою	d r a m ɔ j u
дівою	d i v ɔ j u
жида	ʒ i d a
жирафа	ʒ i r a f a
забыл	z a b i ɮ
запала	z a p a ɮ a
заплави	z a p ɮ a vʲ i
заразно	z a r a z n o
змішаною	z m i ɕ a n ɔ j u
знахар	z n a x a r
играют	i ɡ r a j u t
кип	k i p
кличку	k l i t͡ʃ k u
кнопками	k n ɔ p k a m i
коки	k ɔ k i
комо	k ɔ m ɔ
кроною	k r ɔ n ɔ j u
кросно	k r ɔ s n o
купина	k u p i n a
лишати	l i ɕ a tʲ i
ману	m a n u
мідним	m i d n i m
нарядом	n a rʲ a d ɔ m
оборотних	ɔ b ɔ r ɔ t n i x
обраною	ɔ b r a n ɔ j u
парагваю	p a r a ɡ v a j u
парашута	p a r a ɕ u t a
патон	p a t ɔ n
побіжно	p ɔ b i ʒ n o
погрозу	p ɔ ɡ r ɔ z u
показах	p ɔ k a z a x
покрили	p ɔ k r i l i
помацати	p ɔ m a t͡sʰ a tʲ i
помидоры	p ɔ m i d ɔ r i
породі	p ɔ r ɔ d i
похибок	p ɔ x i b ɔ k
приземлилися	p r i z ɛ m l i l i s j a
прикрасу	p r i k r a s u
принади	p r i n a d i
припиняв	p r i p i n j a v
прихистку	p r i x i s t k u
пяти	pʲ a tʲ i
рiвень	r i v ɛ n ɪ
рандом	r a n d ɔ m
рат	r a t
рафал	r a f a ɮ
скромних	s k r ɔ m n i x
тарт	t a r t
тополь	t ɔ p ɔ lʲ
троси	t r ɔ s i
фінальним	f i n a lʲ n i m
хитрим	x i t r i m
хорв	x ɔ r v
циклічних	t͡sʰ i k l i t͡ɕʰ n i x
чагарниками	t͡ɕ a ɣ a r n i k a m i
lam	l ɑː m
абзацах	a b z a t͡sʰ a x
армада	a r m a d a
артілі	a r tʰ i l i
ахах	a x a x
базиліку	b a z i l i k u
бойком	b ɔ j k ɔ m
боржником	b ɔ r ʑ n i k ɔ m
брана	b r a n a
бриг	b r i ɡ
бром	b r ɔ m
ганебним	ɡ a nʲ ɛ b n i m
гек	ɡ ɛ k
денді	d ɛ n d i
деспот	d ɛ s p ɔ t
ерс	j ɛ r s
жердиною	ʒ ɛ r d i n ɔ j u
завода	z a v ɔ d a
здохло	z d ɔ x ɮ ɔ
кагда	k a ɡ d a
карандаш	k a r a n d a ɕ
карних	k a r n i x
кишковому	k i ɕ k ɔ v ɔ m u
красно	k r a s n o
крою	k r ɔ j u
малин	m a l i n
микитюк	m i k i tʲ u k
митника	m i t n i k a
мішком	m i ʃ k ɔ m
наказать	n a k a z a tʲ
насипом	n a s i p ɔ m
нелі	n ɛ l i
ниш	n i ɕ
обнова	ɔ b n ɔ v a
одри	ɔ d r i
ондо	ɔ n d ɔ
особовому	ɔ s ɔ b ɔ v ɔ m u
палацах	p a ɮ a t͡sʰ a x
палаю	p a ɮ a j u
панов	p a n ɔ v
парохом	p a r ɔ x ɔ m
пирогово	p i r ɔ ɡ ɔ v ɔ
подарил	p ɔ d a r i l
подходят	p ɔ d x ɔ d j a t
показую	p ɔ k a z u j u
понимают	p ɔ n i m a j u t
пришиб	p r i ɕ i b
прохода	p r ɔ x ɔ d a
римською	r i m s ɪ k ɔ j u
ритмі	r i t m i
ритмів	r i t m i v
родины	r ɔ d i n i
розрізом	r ɔ z r i z ɔ m
рондо	r ɔ n d ɔ
саймона	s ɛː m ɔ n a
скор	s k ɔ r
собрания	s ɔ b r a n i j a
сос	s ɔ s
спросить	s p r ɔ s i tʲ
стаціонарна	s t a t͡sʰ j ɔ n a r n a
таково	t a k ɔ v ɔ
торс	t ɔ r s
тримало	t r i m a l o
тромб	t r ɔ m b
троса	t r ɔ s a
чатах	t͡ɕ a t a x
эпоха	e p ɔ x a
якоря	j a k ɔ rʲ a
decide	d ɛ d͡ʒ iː d ɛ
guns	ɡ ʊ n s
itis	i t i s
snakes	s n ɑː k ɛ s
talks	t ɑ l k s
арканзасу	a r k a n z a s u
арм	a r m
армі	a r m
барті	b a r tʰ
безсоромно	b ɛ z s ɔ r ɔ m n o
брамса	b r a m s a
газонах	ɡ a z ɔ n a x
дезмонд	d ɛ z m ɔ n d
дес	d ɛ s
доказах	d ɔ k a z a x
жопку	ʒ ɔ p k u
замостя	z a m ɔ s tʲ a
замутить	z a m ʊ tʲ i tʲ
захотят	z a x ɔ tʲ a t
земського	z ɛ m s ɪ k ɔ ɡ ɔ
змішану	z m i ɕ a n u
киви	k i v i
китая	k i t a j a
манить	m a n i tʲ
масивом	m a s i v ɔ m
мацати	m a t͡sʰ a tʲ i
мили	m i l i
міклош	m i k l ɔ ʃ
набрал	n a b r a ɮ
нарису	n a r i s u
народж	n a r ɔ d͡ʒ
невістки	n ɛ v i s t k i
недільну	n ɛ d i l ɪ n u
ному	n ɔ m u
оби	ɔ b i
объяснять	ɔ b j a s nʲ a tʲ
окисно	ɔ k i s n o
опорна	ɔ p ɔ r n a
ослів	ɔ s l i v
панi	p a n i
пахощів	p a x ɔ ɕ t͡ɕ i v
паяння	p a j a n nʲ a
письку	p i s ɪ k u
пишно	p i ɕ n o
повер	p ɔ ʋ ɛ r
помпу	p ɔ m p u
помірковано	p ɔ m i r k ɔ v a n o
постання	p ɔ s t a n nʲ a
приблизними	p r i b l i z n i m i
приписки	p r i p i s k i
приходил	p r i x ɔ d i l
програмам	p r ɔ ɡ r a m a m
радист	r a d i s t
раднику	r a d n i k u
римську	r i m s ɪ k u
родить	r ɔ d i tʲ
розмістять	r ɔ z m i s tʲ a tʲ
романс	r ɔ m a n s
роскосмос	r ɔ s k ɔ s m ɔ s
саддам	s a d d a m
сал	s a ɮ
санні	s a n n i
серф	s ɛ r f
сима	s i m ɑ
стопіцот	s t ɔ p i t͡sʰ ɔ t
страдают	s t r a d a j u t
топку	t ɔ p k u
ханю	x a nʲ u
хлів	x ɫ i v
хобот	x ɔ b ɔ t
чакра	t͡ɕ a k r a
ems	ɛ m s
het	h ɛ t
instant	ɪ n s t ɑ n t
lipton	l ɪ p t ɔ n
opens	o p ɛ n s
risk	r ɪ s k
ways	w ɑ j s
ахахахах	a x a x a x a x
ахахахаха	a x a x a x a x a
байковому	b ɛː k ɔ v ɔ m u
бензол	b ɛ n z ɔ l
буркун	b ʊ r k ʊ n
горби	ɡ ɔ r b i
данних	d a n n i x
джонас	d͡ʒ ɔ n a s
дисконту	d i s k ɔ n t u
дорогам	d ɔ r ɔ ɡ a m
доха	d ɔ x a
дрантя	d r a n tʲ a
емпайр	j ɛ m p ɛː r
жениха	ʒ ɛ n i x ɑ
залозами	z a ɮ ɔ z a m i
зум	z ʊ m
канзасу	k a n z a s u
каппа	k a p p a
карибах	k a r i b a x
манала	m a n a ɮ a
мозкову	m ɔ z k ɔ v u
монахами	m ɔ n a x a m i
моху	m ɔ x u
міццю	m i t͡sʰ j u
наливають	n a l i v a j u tʲ
напоказ	n a p ɔ k a z
нафиг	n a f i ɡ
нацистам	n a t͡sʰ i s t a m
носки	n ɔ s k i
обриву	ɔ b r i v u
осада	ɔ s a d a
оскорбил	ɔ s k ɔ r b i l
остановил	ɔ s t a n ɔ v i l
оцту	ɔ t͡sʰ t u
патерни	p a tʲ ɛ r n i
подойди	p ɔ d ɔ j d i
позад	p ɔ z a d
позвоню	p ɔ z ʋ ɔ n j u
полицией	p ɔ l i t͡sʰ i j ɛ j
посаг	p ɔ s a ɡ
пошив	p ɔ ɕ i v
признавать	p r i z n a v a tʲ
присадибних	p r i s a d i b n i x
прискорила	p r i s k ɔ r i l a
пролісок	p r ɔ l i s ɔ k
промовила	p r ɔ m ɔ v i l a
пропускною	p r ɔ p u s k n ɔ j u
пуаро	p u a r o
пытали	p i t a l i
піднімала	p i d n i m a l a
родова	r ɔ d ɔ v a
розу	r ɔ z u
сат	s a t
сени	s ɛ n i
синхронних	s i ŋ x r ɔ n n i x
сис	s i s
скорботних	s k ɔ r b ɔ t n i x
скрип	s k r i p
сор	s ɔ r
старой	s t a r ɔ j
строфа	s t r ɔ f a
сцить	s t͡sʰ i tʲ
токо	t ɔ k o
торп	t ɔ r p
фару	f a r u
фізособа	f i z ɔ s ɔ b a
хiх	x ɪ x
харам	x a r a m
хартiю	x a r tʰ i j u
doi	d o i
ghz	ɣ z
len	l ɛ n
materials	m ɑ t ɛ ɾ i ɑː l s
nel	n ɛ l
ny	n j
pan	p ɑ n
slim	s l ɪ m
stack	s t ɑ k
адана	a d a n a
аномально	a n ɔ m a lʲ n o
баскет	b a s kʲ ɛ t
вазах	v a z a x
гаи	ɡ a j
гайсин	ɡ ɛː s i n
галявинах	ɡ a ɮʲ a vʲ i n a x
гасу	ɡ a s u
гейт	ɡ ɛ j t
гроби	ɡ r ɔ b i
додадуть	d ɔ d a d u tʲ
дослідними	d ɔ s l i d n i m i
діну	d i n u
епізодами	j ɛ p i z ɔ d a m i
загадкову	z a ɣ a t k ɔ v u
знаних	z n a n i x
зорових	z ɔ r ɔ v i x
казани	k a z a n i
кайданах	k ɛː d a n a x
кака	k a k a
катом	k a t ɔ m
котов	k ɔ t ɔ v
лишають	l i ɕ a j u tʲ
монахам	m ɔ n a x a m
надасте	n a d a s tʲ ɛ
нана	n a n a
опорами	ɔ p ɔ r a m i
парадних	p a r a d n i x
погба	p ɔ ɡ b a
поляком	p ɔ lʲ a k ɔ m
починання	p ɔ t͡ɕ i n a n nʲ a
призеркою	p r i z ɛ r k ɔ j u
примх	p r i m x
радж	r a d͡ʒ
ранах	r a n a x
расою	r a s ɔ j u
родичу	r ɔ d i t͡ʃ u
розбитою	r ɔ z b i t ɔ j u
роста	r ɔ s t a
саламандра	s a ɮ a m a n d r a
санскрит	s a n s k r i t
синоді	s i n ɔ d i
смарагди	s m a r a ɡ d i
собко	s ɔ b k ɔ
страховому	s t r a x ɔ v ɔ m u
талановитою	t a ɮ a n ɔ v i t ɔ j u
хасана	x a s a n a
хитрощами	x i t r ɔ ɕ t͡ɕ a m i
blade	b l ɑː d ɛ
campus	d͡ʒ ɑ m p ʊ s
fda	f d ɑː
inn	ɪ n
ot	o t
otp	o t p
par	p ɑː ɾ
trump	t ɾ ʊ m p
és	e s
адорно	a d ɔ r n o
аламо	a ɮ a m ɔ
андах	a n d a x
арагона	a r a ɣ ɔ n a
африкою	a f r i k ɔ j u
балками	b a ɮ k a m i
баранину	b a r a n i n u
барбера	b a r bʲ ɛ r a
барда	b a r d a
бахар	b a x a r
бег	b ɛ ɡ
белые	b ɛ l i j ɛ
вака	v a k a
ганя	ɡ a nʲ a
годах	ɡ ɔ d a x
громом	ɡ r ɔ m ɔ m
дальню	d a lʲ nʲ u
диби	d i b i
еспозіто	j ɛ s p ɔ z i t ɔ
естрадних	j ɛ s t r a d n i x
заграй	z a ɡ r ɛː
залпом	z a ɮ p ɔ m
каз	k a z
козаку	k ɔ z a k u
комою	k ɔ m ɔ j u
листку	l i s t k u
мейд	m ɛ j d
минали	m i n a l i
монтажі	m ɔ n t a ʒ i
мормони	m ɔ r m ɔ n i
міддю	m i d d j u
мікроклімат	m i k r ɔ k l i m a t
міку	m i k u
накривають	n a k r i v a j u tʲ
народить	n a r ɔ d i tʲ
неділею	n ɛ d i l ɛ j u
ноші	n ɔ ʃ i
охоту	ɔ x ɔ t u
памперс	p a m pʲ ɛ r s
параграфи	p a r a ɡ r a f i
паразитами	p a r a z i tʰ a m i
пастер	p a s tʲ ɛ r
пацюка	p a t͡sʰ j u k a
подать	p ɔ d a tʲ
подивом	p ɔ d i v ɔ m
пок	p ɔ k
похоронних	p ɔ x ɔ r ɔ n n i x
приморських	p r i m ɔ r s ɪ k i x
примусило	p r i m u s i l o
програші	p r ɔ ɡ r a ɕ i
ракель	r a kʲ ɛ lʲ
ризи	r i z i
розказана	r ɔ z k a z a n a
скорби	s k ɔ r b i
скрипника	s k r i p n i k a
скрипом	s k r i p ɔ m
трамплін	t r a m p l i n
франция	f r a n t͡sʰ i j a
хмиз	x m i z
хронік	x r ɔ n i k
belarus	b ɛ l ɑː ɾ ʊ s
bez	b ɛ z
demand	d ɛ m ɑː n d
plans	p l ɑ n s
sales	s ɑː l ɛ s
stones	s t oː n ɛ s
аллана	a ɮː a n a
алмазна	a ɮ m a z n a
ацп	a t͡sʰ p
баязид	b a j a z i d
брит	b r i t
горили	ɡ ɔ r i l i
грохот	ɡ r ɔ x ɔ t
дацко	d a t͡sʰ k ɔ
джуно	d͡ʒ u n o
доли	d ɔ l i
драг	d r a ɡ
жона	ʒ ɔ n a
загравати	z a ɡ r a v a tʲ i
задана	z a d a n a
заявам	z a j a v a m
згину	z ɡ i n u
знана	z n a n a
историю	i s t ɔ r i j u
каральна	k a r a ɮʲ n a
каюти	k a j u tʲ i
кофман	k ɔ f m a n
мiсцi	m i s t͡sʰ i
магазинам	m a ɣ a z i n a m
мадриду	m a d r i d u
мго	m ə ɡ ɔ
множинних	m n ɔ ʑ i n n i x
