iš	i ʃ
expo	ɛ k s p o
extra	ɛ k s t r a
gadinti	ɡ a d i n t i
gavyba	ɡ a v i b a
geležinkeliu	ɡ e l e ʒ i n k e l j u
gijos	ɡ i j o s
intrigų	i n t r i ɡ o
išgerkite	i ʒ ɡ e r k i t e
jonušo	j o n u ʃ o
kertinis	k e r t i n i s
klipus	k l i p u s
kovinio	k o v i n j o
kęsti	k ɛ n s t i
ling	l i ŋ
negyvų	n e ɡ i v o
nicolas	n i k o l a s
pinigu	p i n i ɡ u
poliklinikos	p o l i k l i n i k o s
septinto	s e p t i n t o
sesijų	s e s i j o
silpnesnis	s i l p n e s n i s
skelbiu	s k e l b j u
skeleto	s k e l e t o
spindulį	s p i n d u l i
stiprino	s t i p r i n o
suvirinimo	s u v i r i n i m o
teritorinis	t e r i t o r i n i s
tolimesni	t o l i m e s n i
trombocitų	t r o m b o t͡ʃ i t o
užmiršo	u ʒ m i r ʃ o
vilijos	v i l i j o s
visumos	v i z u m o s
višinskio	v i ʃ i n s k j o
anita	a n i t a
atrodanti	a t r o d a n t i
biški	b i ʃ k i
bolivijos	b o l i v i j o s
chanel	ʃ a n ɛ l
ciklus	t͡ʃ i k l u s
cinamono	t͡ʃ i n a m o n o
citata	t͡ʃ i t a t a
debiutinio	d e b j u t i n j o
diabetu	d i a b e t u
dima	d i m a
dino	d i n o
dotnuvos	d o t n u v o s
dženifer	d͡ʒ e n i f e r
eta	e t a
filmuko	f i l m u k o
filmukus	f i l m u k u s
filmukų	f i l m u k o
fontano	f o n t a n o
genetinis	d͡ʒ e n e t i n i s
gido	ɡ i d o
gilūs	ɡ i l uː s
grimo	ɡ r i m o
hudson	h u t͡s o n
ik	i k
iniciatoriai	i n i t͡ʃ a t o r j a i
insulto	i n s u l t o
janis	j a n i s
japonams	j a p o n a m s
juškevičius	j u ʃ k e v i t͡ʃ i u s
kane	k a n e
keksiukų	k e k s i u k o
kisti	k i s t i
kovotojus	k o v o t o j u s
krovininis	k r o v i n i n i s
kyšulio	k i ʃ u l j o
lenos	l e n o s
lygtis	l i k t i s
lūpomis	l uː p o m i s
milžiniškų	m i l ʒ i n i ʃ k o
mylimojo	m i l i m o j o
nadia	n a d j a
negyveno	n e ɡ i v e n o
neskubėti	n e s k u b i t i
nevyko	n e v i k o
norinti	n o r i n t i
nustumti	n u s t u m t i
pernešti	p e r n e ʃ t i
pretendentas	p r e t ɛ n d ɛ n t a s
prisilietimo	p r i z i l j e t i m o
pristabdyti	p r i s t a b d i t i
putos	p u t o s
radinys	ʁ a d i n i s
sekcijų	s e k t͡ʃ i j o
senajam	s ə n a j a m
senyvo	s e n i v o
sijonu	s i j o n u
silkės	s i l k i s
solid	s o l i d
solidus	s o l i d u s
specifinio	s p e t͡ʃ i f i n j o
sritims	s r i t i m s
stengsis	s t e ŋ s i s
suko	s u k o
sustos	s u s t o s
sutriuškinti	s u t r i u ʃ k i n t i
telefonams	t e l e f o n a m s
teleskopo	t e l e s k o p o
tilps	t i l p s
troškimų	t r o ʃ k i m ɔ
trukusi	t r u k u z i
tuneliu	t u n e l j u
uždengti	u ʒ d e ŋ t i
užlipo	u ʒ l i p o
užsispyręs	u ʃ s i s p y r ɛ n s
vadovybe	v a d o v i b e
vertimu	v e r t i m u
vokiškų	v o k i ʃ k o
vokus	v o k u s
čing	t͡ʃ i ŋ
šuniukus	ʃ u n i u k u s
židikų	ʒ i d i k o
žlugus	ʒ l u ɡ u s
žymimi	ʒ i m i m i
žymiu	ʒ i m i u
abs	a p s
aleno	a l e n o
buk	b u k
dagys	d a ɡ i s
deltuvos	d e l t u v o s
demokratinio	d e m o k r a t i n j o
didumo	d i d u m o
dirbtiniu	d i r p t i n j u
edmundo	e d m u n d o
ekonomisto	e k o n o m i s t o
eritrocitų	e r i t r o t͡ʃ i t o
estetinio	e s t e t i n j o
grįšime	ɡ r i ʃ i m e
išmetimo	i ʃ m e t i m o
jum	j u m
klebonijos	k l e b o n i j o s
klinikose	k l i n i k o s e
kolonijų	k o l o n i j o
liftu	l i f t u
milimetrų	m i l i m e t r o
mūs	m uː s
nebuvimo	n e b u v i m o
nebūk	n e b uː k
nevertina	n e v e r t i n a
ošo	o ʃ o
pesticidų	p e s t i t͡ʃ i d o
pramintas	p r a m i n t a s
renovacijos	r e n o v a t͡ʃ i j o s
skatinant	s k a t i n a n t
sutikusi	s u t i k u s i
swift	s w i f t
troškinys	t r o ʃ k i n i s
žinokit	ʒ i n o k i t
žūtis	ʒ uː t i s
abelis	a b e l i s
adrenalinas	a d r e n a l i n a s
akropolis	a k r o p o l i s
base	b aː z
bemaž	b e m a ʃ
bibliografijos	b i b l j o ɡ r a f i j o s
bikini	b i k i n i
būkit	b uː k i t
citatos	t͡ʃ i t a t o s
detalus	d e t a l u s
disco	d i s k o
dūmos	d uː m o s
goro	ɡ o r o
grobiu	ɡ r o b j u
hadas	h a d a s
klydo	k l i d o
koncertinį	k o n t͡ʃ e r t i n i
lily	l i l i
many	m a n i
margi	m a r d͡ʒ i
oc	o k
opa	o p a
pojūčius	p o j uː t͡ʃ i u s
ritmu	r i t m u
sexy	s ɛ k s i
sutrumpinti	s u t r u m p i n t i
tribunolo	t r i b u n o l o
tuščio	t u ʃ t͡ʃ j o
vidurkį	v i d u r k i
vilkus	v i l k u s
yes	j e s
šūviu	ʃ uː v i u
žemi	ʒ e m i
žymius	ʒ i m i u s
akcentavo	a k t͡ʃ e n t a v o
alpha	a l f a
atlantic	a t l a n t i k
atominę	a t o m i n ɛ
atsakomybe	a t͡s a k o m i b e
ave	a v e
debesį	d e b e s i
dell	d ɛ l
demonstracijos	d e m ɔ n s t r a t͡ʃ i j o s
derino	d e r i n o
devi	d e v i
diabetas	d i a b e t a s
emocinio	e m o t͡ʃ i n j o
funk	f u ŋ k
gerinimo	d͡ʒ e r i n i m o
gone	ɡ o n e
grupinis	ɡ r u p i n i s
gąsdino	ɡ ɔ z d i n o
helis	h e l i s
hu	h u
idealas	i d e a l a s
insulino	i n s u l i n o
istorijomis	i s t o r i j o m i s
išdygo	i ʃ d i ɡ o
išlieti	i ʃ l j e t i
jana	j a n a
kasybos	k a s i b o s
kefyro	k e f i ʀ o
kepu	k e p u
krištolo	k r i ʃ t o l o
lagerius	l a ʒ e r i u s
letenos	l e t e n o s
literatūrinį	l i t e r a t uː r i n i
lotoso	l o t o s o
medikus	m e d i k u s
meksiko	m e k s i k o
metropoliteno	m e t r o p o l i t e n o
nekilo	n e k i l o
nenustos	n e n u s t o s
nenutiktų	n e n u t i k t o
neprisimena	n e p r i z i m e n a
neveda	n e v e d a
neš	n e ʃ
nilo	n i l o
obelis	o b e l i s
pele	p e l e
photo	f o t o
pigūs	p i ɡ uː s
pilnus	p i l n u s
pilypo	p i l i p o
pinigams	p i n i ɡ a m s
plyšys	p l i ʃ i s
politiniam	p o l i t i n j a m
portreto	p o r t r e t o
rolls	ʀ o l s
rondo	ʀ o n d o
rutinos	r u t i n o s
seku	s e k u
senstant	s ɛ n s t a n t
senukų	s e n u k o
seserimis	s e z e r i m i s
sportavo	s p o r t a v o
sutiksi	s u t i k s i
svirtis	z v i r t i s
sūnums	s uː n u m s
trintis	t r i n t i s
trokštate	t r o k ʃ t a t e
vitkus	v i t k u s
šoninio	ʃ o n i n j o
šįsyk	ʃ i s i k
amd	a m d
bedarbis	b e d a ʁ b i s
brenda	b r ɛ n d a
bulls	b u l s
delegatų	d e l e ɡ a t o
dronas	d r o n a s
emeritas	e m e r i t a s
epa	e p a
gucci	ɡ u t t͡ʃ i
identiški	i d e n t i ʃ k i
ikonos	i k o n o s
jevgenijus	j e v ɡ e n i j u s
koncepcijų	k o n t͡ʃ e p t͡ʃ i j o
medical	m e d i k a l
milijonams	m i l i j o n a m s
mirusį	m i r u s i
moksliniu	m o k s l i n j u
mokyklinio	m o k i k l i n j o
mylia	m i l j a
nykti	n i k t i
parametras	p a r a m e t r a s
petkus	p e t k u s
prado	p r a d o
solistų	s o l i s t o
stovintys	s t o v i n t i s
tempimo	t e m p i m o
užjūrio	u ʒ j uː r j o
vadams	v a d a m s
virtos	v i r t o s
šūkiu	ʃ uː k i u
ūkinę	uː k i n ɛ
žudomi	ʒ u d o m i
acta	a k t a
aktoriams	a k t o r j a m s
baletas	b a l e t a s
bari	b a r i
batalione	b a t a l j o n e
biokuro	b i o k u r o
bites	b i t e s
būdingu	b uː d i ŋ ɡ u
chartijos	ʃ a r t i j o s
ci	t͡ʃ i
deformacijos	d e f o r m a t͡ʃ i j o s
dekoracijos	d e k o r a t͡ʃ i j o s
departamentų	d e p a r t a m e n t o
diagramos	d i a ɡ r a m o s
dina	d i n a
diplomatų	d i p l o m a t o
doors	d oː r s
etiopijos	e t i o p i j o s
fucking	f u k i ŋ
galerijų	ɡ a l e r i j o
iniciatyvų	i n i t͡ʃ a t i v o
italia	i t a l j a
ivinskis	i v i n s k i s
išpirkos	i ʃ p i r k o s
kiškio	k i ʃ k j o
knicks	k n i k s
komedijų	k o m e d i j o
lelijų	l e l i j o
libano	l i b a n o
md	ɛ m d eː
nemo	n e m o
nidą	n i d ɔ w̃
nulį	n u l i
nutolo	n u t o l o
odino	o d i n o
olimpo	o l i m p o
philip	f i l i p
priveda	p r i v e d a
program	p r o ɡ r a m
pynimo	p i n i m o
roberta	ʁ o b ɛ r t a
seto	s e t o
simbolinį	s i m b o l i n i
siūlymus	s i uː l i m u s
stiklu	s t i k l u
stygos	s t i ɡ o s
sumuštinį	s u m u ʃ t i n i
sužinosi	s u ʒ i n o s i
technikomis	t e k n i k o m i s
trina	t r i n a
twin	t w i n
tyto	t i t o
ydos	i d o s
čempionus	t͡ʃ e m p j o n u s
žinojimo	ʒ i n o j i m o
acid	a s i d
adamo	a d a m o
anapilin	a n a p i l i n
apsirengus	a p s i ʀ e ŋ ɡ u s
aptaria	a p t a r j a
atradimus	a t r a d i m u s
ašigalio	a ʃ i ɡ a l j o
baliono	b a l j o n o
bethoveno	b e t o v e n o
betmenas	b e t m e n a s
būdos	b uː d o s
dekano	d e k a n o
deš	d e ʃ
estate	e s t a t e
felipe	f e l i p e
figaro	f i ɡ a r o
filipo	f i l i p o
funkcinis	f u ŋ k t͡ʃ i n i s
ginantis	d͡ʒ i n a n t i s
gins	ɡ i n s
gripu	ɡ r i p u
hanibalas	h a n i b a l a s
indėnus	i n d i n u s
iširo	i ʃ i r o
julijus	j u l i j u s
jūrinis	j uː r i n i s
kiss	k i s
klijus	k l i j u s
kolumbo	k o l u m b o
kompleksinio	k o m p l e k s i n j o
komunistinio	k o m u n i s t i n j o
ligonį	l i ɡ o n i
lukošius	l u k o ʃ i u s
margareta	m a r ɡ a r e t a
memorialinio	m e m o r j a l i n j o
moralę	m o r a l ɛ
mysql	m i s k l
nago	n a ɡ o
nekęsti	n e k ɛ n s t i
nenutiko	n e n u t i k o
netekusi	n e t e k u z i
nino	n i n o
nišos	n i ʃ o s
nužudžius	n u ʒ u d͡ʒ i u s
olose	o l o s e
pagonys	p a ɡ o n i s
piktos	p i k t o s
pilko	p i l k o
pilti	p i l t i
politiku	p o l i t i k u
politikus	p o l i t i k u s
pratimas	p r a t i m a s
pre	p r e
produktu	p r o d u k t u
psa	p s a
pūsti	p uː s t i
rišti	r i ʃ t i
sebastiano	s e b a s t j a n o
segmento	s e ɡ m e n t o
seklumos	s e k l u m o s
seksualinę	s e k s u a l i n ɛ
stiklinis	s t i k l i n i s
susiduriu	s u z i d u r j u
sutkus	s u t k u s
sykių	s i k i o
sūnumis	s uː n u m i s
tikruosius	t i k r u o z i u s
tilpo	t i l p o
tilptų	t i l p t o
troškimus	t r o ʃ k i m u s
tuščius	t u ʃ t͡ʃ i u s
vidurkio	v i d u r k j o
viki	v i k i
vilnijos	v i l n i j o s
virtus	v i r t u s
voro	v o r o
yourself	j uː ʀ s ɛ l f
še	ʃ e
šiltus	ʃ i l t u s
žuvus	ʒ u v u s
adidas	a d i d a s
aqua	a k w a
atiduos	a t i d u o s
bam	b a m
dominikos	d o m i n i k o s
galaktikų	ɡ a l a k t i k o
geležį	ɡ e l e ʒ i
girdite	ɡ i r d i t e
irimo	i r i m o
kolūkių	k o l uː k i o
koršunovo	k o r ʃ u n o v o
kūnelių	k uː n e l i o
mater	m a t e r
mic	m i k
misteris	m i s t ə r i s
nebūkite	n e b uː k i t e
negyvos	n e ɡ i v o s
neketinu	n e k e t i n u
nekrošius	n e k r o ʃ i u s
nervinis	n e r v i n i s
nykščio	n i k ʃ t͡ʃ j o
pagyrimu	p a ɡ i r i m u
pila	p i l a
prilygo	p r i l i ɡ o
pritarta	p r i t a r t a
puls	p u l s
quest	k w ɛ s t
relikvijų	r e l i k v i j o
rūšimi	r uː ʃ i m i
smito	z m i t o
specifinę	s p e t͡ʃ i f i n ɛ
sunerimę	s u n e r i m ɛ
suvereniteto	s u v e r e n i t e t o
tipu	t i p u
titulu	t i t u l u
trokštu	t r o k ʃ t u
tupi	t u p i
tūno	t uː n o
žuvimis	ʒ u v i m i s
из	i z
abejotina	a b e j o t i n a
ash	ɑ ʃ
atidūs	a t i d uː s
atlantida	a t l a n t i d a
berlin	b e r l i n
betygalos	b e t i ɡ a l o s
bokštu	b o k ʃ t u
bondo	b o n d o
cum	k u m
dažymo	d a ʒ i m o
dešimtį	d e ʃ i m t i
donata	d o n a t a
donis	d o n i s
dy	d i
dydžius	d i d͡ʒ i u s
ekonomijos	e k o n o m i j o s
emocinį	e m o t͡ʃ i n i
geltono	ɡ e l t o n o
industrijų	i n d u s t r i j o
inovacijos	i n o v a t͡ʃ i j o s
išmušti	i ʃ m u ʃ t i
išskirtines	i ʃ s k i r t i n e s
išskirtinius	i ʃ s k i r t i n i u s
johanas	j o h a n a s
juno	j u n o
jurevičius	j u r e v i t͡ʃ i u s
kolibris	k o l i b r i s
kombinacijų	k o m b i n a t͡ʃ i j o
komplimentų	k o m p l i m e n t o
kontrolinį	k o n t r o l i n i
kovinę	k o v i n ɛ
kumpį	k u m p i
ledyno	l e d i n o
leni	l e n i
lopšys	l o p ʃ i s
lygumos	l i ɡ u m o s
lyno	l i n o
maxi	m a k s i
meilus	m ɛ i̯ l u s
meteorito	m e t e o r i t o
metinį	m e t i n i
mimi	m i m i
modeliams	m o d e l j a m s
mokintis	m o k i n t i s
mokinį	m o k i n i
moralinis	m o r a l i n i s
nekiltų	n e k i l t o
nemigos	n e m i ɡ o s
neprarasti	n e p r a r a s t i
nesakyk	n e z a k i k
nikon	n i k o n
nusivylę	n u z i v i l ɛ
onuškio	o n u ʃ k j o
pagrasino	p a ɡ r a z i n o
pedagoginis	p e d a ɡ o d͡ʒ i n i s
perimetras	p e r i m e t r a s
pildo	p i l d o
pin	p i n
pola	p o l a
populiariu	p o p u l j a r j u
potencialų	p o t e n t͡ʃ a l o
prabilti	p r a b i l t i
prioritetų	p r i o r i t e t o
produktyvumo	p r o d u k t i v u m o
protokole	p r o t o k o l e
ragina	r a d͡ʒ i n a
rytu	r i t u
silpno	s i l p n o
sir	s i r
siuntinio	s i u n t i n j o
skersinio	s k e r s i n j o
solinį	s o l i n i
sorry	s o ʁ i
stebuklingu	s t e b u k l i ŋ ɡ u
stefani	s t e f a n i
sukčius	s u k t͡ʃ i u s
sutrikimu	s u t r i k i m u
tech	t e k
techniniu	t e k n i n j u
tha	t a
tito	t i t o
tolimus	t o l i m u s
tuniso	t u n i z o
tvirtesnis	t v i r t e s n i s
veltis	v e l t i s
vokiško	v o k i ʃ k o
yla	i l a
širvintose	ʃ i r v i n t o s e
šnekos	ʃ n e k o s
žibinto	ʒ i b i n t o
žmogum	ʒ m o ɡ u m
žuvusius	ʒ u v u z i u s
žymos	ʒ i m o s
abipusiu	a b i p u z j u
agentams	a ʒ ɛ n t a m s
animacinį	a n i m a t͡ʃ i n i
cistos	t͡ʃ i s t o s
derinama	d e r i n a m a
door	d oː r
dusulys	d u z u l i s
evan	e v a n
gif	ɡ i f
giovanni	d͡ʒ o v a n n i
grigonis	ɡ r i ɡ o n i s
grąžintų	ɡ r ɔ n ʒ i n t o
iltis	i l t i s
iškilę	i ʃ k i l ɛ
ištikus	i ʃ t i k u s
jung	j u ŋ
kat	k a t
kibiro	k i b i r o
kitom	k i t o m
komitetu	k o m i t e t u
koncertu	k o n t͡ʃ ɛ r t u
korpusu	k o r p u z u
mokomojo	m o k o m o j o
nelygus	n e l i ɡ u s
netekimo	n e t e k i m o
netikri	n e t i k r i
pagyvenęs	p a ɡ i v e n ɛ s
petrovičius	p e t r o v i t͡ʃ i u s
pilnatis	p i l n a t i s
rokis	r o k i s
stonys	s t o n i s
storpirštis	s t o r p i r ʃ t i s
supyko	s u p i k o
susikūrimo	s u z i k uː r i m o
sustojus	s u s t o j u s
tikrins	t i k ʀ i n s
žudymo	ʒ u d i m o
animaciniai	a n i m a t͡ʃ i n j a i
animal	a n i m a l
boro	b o r o
bū	b uː
dengtos	d e ŋ t o s
disku	d i s k u
dokumentacijos	d o k u m e n t a t͡ʃ i j o s
dominyko	d o m i n i k o
dynamics	d i n a m i k s
dūmo	d uː m o
fly	f l i
gaono	ɡ a o n o
grikių	ɡ r i k i o
himnu	h i m n u
horacijus	h o r a s i j u s
indigo	i n d i ɡ o
išorines	i ʃ o r i n e s
jonyno	j o n i n o
jurisdikcijos	j u r i z d i k t͡ʃ i j o s
justo	j u s t o
kilusį	k i l u s i
komos	k o m o s
koncesijos	k o n t͡ʃ e z i j o s
konfesijų	k o n f e z i j o
kontūro	k o n t uː r o
kung	k u ŋ
kupolo	k u p o l o
leksikos	l e k s i k o s
leu	l øː
levis	l e v i s
miriam	m i r j a m
mongolijos	m o ŋ ɡ o l i j o s
nestabili	n e s t a b i l i
nin	n i n
nutrūkus	n u t r uː k u s
pilvu	p i l v u
pizza	p i t t͡s a
polietileno	p o l j e t i l e n o
rajoninis	r a j o n i n i s
renatas	r e n a t a s
ryšium	r i ʃ i u m
simpatijų	s i m p a t i j o
singlu	s i ŋ l u
sintetinio	s i n t e t i n j o
solinę	s o l i n ɛ
sunyko	s u n i k o
tbilisio	d b i l i z j o
teorijomis	t e o r i j o m i s
tilpti	t i l p t i
tremtiniams	t r e m t i n j a m s
tuščiu	t u ʃ t͡ʃ i u
tvirtumo	t v i r t u m o
vilsono	v i l s o n o
vinilo	v i n i l o
visual	v i z u a l
vit	v i t
šeštos	ʃ e ʃ t o s
šlepetes	ʃ l e p e t e s
alan	a l a n
aris	a r i s
avilio	a v i l j o
babilono	b a b i l o n o
biznis	b i z n i s
block	b l ɔ k
buvimu	b u v i m u
būsimiems	b uː z i m iː m s
casa	k a z a
crvena	k ʀ v e n a
dešinį	d e ʃ i n i
didijį	d i d i j i
electronic	e l ɛ k t r ɔ n i k
erotinis	e r o t i n i s
etato	e t a t o
etiketo	e t i k e t o
fermento	f e r m e n t o
fund	f u n t
give	ɡ i v e
goa	ɡ o a
gulintį	ɡ u l i n t i
gun	ɡ u n
hado	h a d o
hal	h a l
hito	h i t o
ida	i d a
ion	j o n
išjudinti	i ʃ j u d i n t i
iškirpti	i ʃ k i r p t i
ištirps	i ʃ t i r p s
kleopatra	k l e o p a t r a
kultūroms	k u l t uː r o m s
lab	l a p
ledynmetis	l e d i n m e t i s
lengvus	l e ŋ v u s
lewis	l e w i s
lotyniško	l o t i n i ʃ k o
mylimu	m i l i m u
mylimus	m i l i m u s
mūsiškis	m uː s i ʃ k i s
neras	n e ʀ a s
nesustoti	n e z u s t o t i
nevada	n e v a d a
nevados	n e v a d o s
nusivilti	n u z i v i l t i
nušvito	n u ʃ v i t o
odinis	o d i n i s
optinio	o p t i n j o
pacientu	p a t͡ʃ ɛ n t u
petys	p e t i s
pigesni	p i ɡ e s n i
pilsudskis	p i l s u t s k i s
pokalbyje	p o k a l b i j ə
pomidorus	p o m i d o r u s
potencialus	p o t e n t͡ʃ a l u s
pradedamos	p r a d e d a m o s
pridaro	p r i d a r o
pripildo	p r i p i l d o
pusfinalis	p u s f i n a l i s
pūti	p uː t i
ratams	ʁ a t a m s
rodiklio	r o d i k l i o
rodymo	ʁ o d i m o
senolis	s e n o l i s
sentikių	s e n t i k i o
sin	s i n
sinatra	s i n a t r a
spūstis	s p uː s t i s
stebimos	s t e b i m o s
subtili	s u p t i l i
sukilti	s u k i l t i
sužinokite	s u ʒ i n o k i t e
sąmone	s ɔ m o n e
tan	t a n
tebebuvo	t e b e b u v o
tebus	t e b u s
telkinį	t e l k i n i
tiltelis	t i l t e l i s
troškinį	t r o ʃ k i n i
tyliu	t i l j u
tęs	t ɛ n s
tūpimo	t uː p i m o
užnugario	u ʒ n u ɡ a r j o
užsispyrimo	u ʃ s i s p y r i m o
vilkiko	v i l k i k o
violetinis	v i o l e t i n i s
vol	v o l
če	t͡ʃ e
šimtmečiui	ʃ i m t m e t͡ʃ i u i
šrifto	ʃ r i f t o
šukys	ʃ u k i s
ban	b a n
biologinę	b i o l o d͡ʒ i n ɛ
būni	b uː n i
coli	k o l i
cvirkos	k v i r k o s
demonus	d e m o n u s
dešimtos	d e ʃ i m t o s
diafragmos	d i a f r a ɡ m o s
dreams	d r iː m s
emily	e m i l i
flotilę	f l o t i l ɛ
folio	f o l j o
gagarinas	ɡ a ɡ a r i n a s
giorgio	d͡ʒ o r d͡ʒ o
grasinti	ɡ r a z i n t i
hand	h ɑ n t
imuninę	i m u n i n ɛ
jonaitis	j o n a i t i s
kolageno	k o l a d͡ʒ e n o
lorenso	l o ʀ ɛ n s o
medelis	m e d e l i s
mirksi	m i r k s i
moralinę	m o r a l i n ɛ
pagalbinio	p a ɡ a l b i n j o
pem	p ɛ m
penas	p e n a s
pigmento	p i ɡ m e n t o
pole	p o l e
pskovo	p s k o v o
semo	s e m o
senovinį	s e n o v i n i
stefano	s t e f a n o
switch	s w i t͡ʃ
tk	t e k a
tobulumo	t o b u l u m o
triko	t r i k o
uni	u n i
vidutiniu	v i d u t i n j u
viršelyje	v i r ʃ e l i j ə
adams	a d a m s
agregatų	a ɡ r e ɡ a t o
agronomas	a ɡ r o n o m a s
ane	a n e
atsargomis	a t͡s a r ɡ o m i s
batas	b a t a s
blokus	b l o k u s
bonos	b o n o s
bucks	b u k s
bulius	b u l j u s
civic	t͡ʃ i v i k
diabeto	d i a b e t o
dokumentikos	d o k u m e n t i k o s
dona	d o n a
dvigubi	d v i ɡ u b i
egle	e ɡ l e
ekonominiam	e k o n o m i n j a m
electronics	e l ɛ k t r ɔ n i k s
file	f i l e
galina	ɡ a l i n a
genijų	ɡ e n i j o
hidra	h i d r a
iliustracijomis	i l j u s t r a t͡ʃ i j o m i s
ingredientų	i n ɡ r e d j ɛ n t o
išlikusius	i ʃ l i k u z i u s
išore	i ʃ o r e
jadvygos	j a d v i ɡ o s
jonynas	j o n i n a s
lūšis	l uː ʃ i s
mikis	m i k i s
moliu	m o l j u
ncaa	n k aː
nestabilus	n e s t a b i l u s
netekus	n e t e k u s
nevisada	n e v i z a d a
organinis	o r ɡ a n i n i s
originaliu	o r i d͡ʒ i n a l j u
pavidale	p a v i d a l e
pool	p oː l
praba	p r a b a
prailgina	p r a i l d͡ʒ i n a
print	p r i n t
pusbroliu	p u z b r o l j u
radaro	r a d a r o
realius	r e a l j u s
redakcijų	r e d a k t͡ʃ i j o
ren	ʀ ɛ n
reto	r e t o
savy	s a v i
simbolikos	s i m b o l i k o s
six	s i k s
skirtomis	s k i r t o m i s
stūmimo	s t uː m i m o
sulu	s u l u
sumuštinis	s u m u ʃ t i n i s
susidomi	s u z i d o m i
tedis	t e d i s
then	t ɛ n
tikslius	t i k s l i u s
tiražo	t i r a ʒ o
tofu	t o f u
trūkumu	t r uː k u m u
visiški	v i z i ʃ k i
atidengti	a t i d e ŋ t i
batams	b a t a m s
bielinis	b i l i n i s
britams	b r i t a m s
civilis	t͡ʃ i v i l i s
colio	k o l j o
dešinio	d e ʃ i n j o
esperanto	e s p e r a n t o
felikso	f e l i k s o
gilintis	ɡ i l i n t i s
hat	h a t
irkutsko	i r k u t͡s k o
isterijos	i s t e r i j o s
išskirtos	i ʃ s k i r t o s
ištisi	i ʃ t i z i
kodinis	k o d i n i s
lotus	l o t u s
lydinys	l i d i n i s
magistralinio	m a d͡ʒ i s t r a l i n j o
montana	m o n t a n a
netikite	n e t i k i t e
obels	o b ɛ l s
photos	f o t o s
pilietines	p i l j e t i n e s
požiūrių	p o ʒ i uː r i o
prada	p r a d a
pritarimu	p r i t a r i m u
pyko	p i k o
rapid	r a p i d
religiniu	r e l i d͡ʒ i n j u
rūsiu	r uː z i u
shell	ʃ ɛ l
simo	s i m o
sklisti	s k l i s t i
susibūrę	s u z i b uː r ɛ
teorinę	t e o r i n ɛ
tope	t o p e
trumpojo	t r u m p o j o
ven	v ɛ n
vinci	v i n t͡ʃ i
ypatybėmis	y p a t i b i m i s
šešeri	ʃ e ʃ e r i
žuvinto	ʒ u v i n t o
ata	a t a
atlantidos	a t l a n t i d o s
begalinis	b e ɡ a l i n i s
beth	b e t
bis	b i s
bolševikus	b o l ʃ e v i k u s
boston	b o s t o n
butus	b u t u s
būstus	b uː s t u s
civiliams	t͡ʃ i v i l j a m s
civilinį	t͡ʃ i v i l i n i
comedy	k o m e d i
custom	k u s t o m
degant	d e ɡ a n t
dekanate	d e k a n a t e
didybę	d i d i b ɛ
doll	d o l
drąsu	d r ɔ n z u
dukterimi	d u k t e r i m i
durpyno	d u r p i n o
elektromagnetinis	e l ɛ k t r o m a ɲ ɲ e t i n i s
emile	e m i l e
fat	f a t
fine	f i n e
fit	f i t
grotuvo	ɡ r o t u v o
grynos	ɡ r i n o s
guns	ɡ u n s
hablo	h a b l o
hagos	h a ɡ o s
holo	h o l o
integravimo	i n t e ɡ r a v i m o
išimkite	i ʃ i m k i t e
iškilmes	i ʃ k i l m e s
išplisti	i ʃ p l i s t i
khan	k a n
kimi	k i m i
kind	k i n d
kišo	k i ʃ o
koko	k o k o
kontūrus	k o n t uː r u s
kovotoju	k o v o t o j u
lebronas	l e b r o n a s
levi	l e v i
local	l o k a l
logos	l o ɡ o s
mariana	m a r j a n a
minti	m i n t i
mitu	m i t u
mokys	m o k i s
motociklus	m o t o t͡ʃ i k l u s
negamina	n e ɡ a m i n a
nekils	n e k i l s
nelsono	n e l s o n o
nulinis	n u l i n i s
nykimo	n i k i m o
pistoletus	p i s t o l e t u s
pitagoro	p i t a ɡ o r o
poli	p o l i
prekinio	p r e k i n j o
pri	p r i
prilipo	p r i l i p o
prioritetus	p r i o r i t e t u s
privilioti	p r i v i l j o t i
rikio	r i k j o
ritasi	r i t a z i
ritos	r i t o s
rosita	r o z i t a
sisteminis	s i s t e m i n i s
skystos	s k i s t o s
statys	s t a t i s
stebinti	s t e b i n t i
stebuklu	s t e b u k l u
stipris	s t i p r i s
studijinį	s t u d i j i n i
sunday	s u n d a j
supirkimo	s u p i r k i m o
sutiksime	s u t i k s i m e
sužinojus	s u ʒ i n o j u s
sūkuryje	s uː k u r i j ə
teorinį	t e o r i n i
toksinus	t o k s i n u s
tri	t r i
turetu	t u r e t u
tęsiu	t ɛ n s j u
vinys	v i n i s
vokiški	v o k i ʃ k i
šildo	ʃ i l d o
šokome	ʃ o k o m e
šortus	ʃ o r t u s
žuvimo	ʒ u v i m o
akacijų	a k a t͡ʃ i j o
akcinę	a k t͡ʃ i n ɛ
beer	b eː r
bilo	b i l o
bono	b o n o
buku	b u k u
ciklu	t͡ʃ i k l u
dalinami	d a l i n a m i
diplomatinio	d i p l o m a t i n j o
dobilų	d o b i l o
džil	d͡ʒ i l
etninis	e t n i n i s
files	f i l e s
gagarino	ɡ a ɡ a r i n o
ginasi	d͡ʒ i n a z i
ištuštinti	i ʃ t u ʃ t i n t i
keliant	k e l j a n t
kitokiomis	k i t o k i o m i s
