un	u n
izvirzīts	i z v i r z iː t s
jesus	j e s u s
kims	k i m s
koloniju	k o l o n i j u
lekt	l e k t
likumīgu	l i k u m iː ɡ u
luī	l u iː
luīzes	l u iː z e s
mērfijs	m eː r f i j s
mītnē	m iː t n eː
mūki	m uː k i
neglīti	n e ɡ l iː t i
nepiekrītu	n e p i e k r iː t u
niecīgs	n i e t͡s iː ɡ s
nominēts	n o m i n eː t s
nozīmīgus	n o z iː m iː ɡ u s
objektīvu	o b j e k t iː v u
pievērstu	p i e v eː r s t u
pilsonisko	p i l s o n i s k o
pretējs	p r e t eː j s
putniņi	p u t n i ɲ i
sesks	s e s k s
skotiju	s k o t i j u
spēlējuši	s p eː l eː j u ʃ i
sīks	s iː k s
triumfs	t r i u m f s
tēlnieks	t eː l n i e k s
week	w eː k
ziloņi	z i l o ɲ i
čomu	t͡ʃ o m u
ērvings	eː r v i n ɡ s
ģmo	ɣ m o
īsām	iː s ɑː m
šorti	ʃ o r t i
būvēm	b uː v eː m
dzemdēt	d͡z e m d eː t
eksperte	e k s p e r t e
ieņēmuši	i e ɲ eː m u ʃ i
industriju	i n d u s t r i j u
intensīvu	i n t e n s iː v u
iršu	i r ʃ u
iznāc	i z n ɑː t͡s
izīrē	i z iː r eː
jūniju	j uː n i j u
kioto	k i o t o
klejo	k l e j o
kurs	k u r s
kļūme	k ʎ uː m e
lū	l uː
maiņām	m ɑ i ɲ ɑː m
nenožēloju	n e n o ʒ eː l o j u
netīri	n e t iː r i
neveido	n e v e i d o
omu	o m u
pieviļ	p i e v i ʎ
pieņēmumi	p i e ɲ eː m u m i
pink	p i n k
putenis	p u t e n i s
pēterim	p eː t e r i m
repšes	r e p ʃ e s
sekmē	s e k m eː
seksā	s e k s ɑː
sesiju	s e s i j u
sezonām	s e z o n ɑː m
slīdi	s l iː d i
spējuši	s p eː j u ʃ i
stipro	s t i p r o
tievs	t i eˀ v s
tiltus	t i l t u s
trušu	t r u ʃ u
two	t w o
ugunis	u ɡ u n i s
veltes	v e l t e s
vikingu	v i k i n ɡ u
vizīti	v i z iː t i
zeltiņš	z e l t i ɲ ʃ
zirneklis	z i r n e k l i s
ērā	eː r ɑː
ētiku	eː t i k u
ņēmis	ɲ eː m i s
celiņš	t͡s e l i ɲ ʃ
cietušie	t͡s i e t u ʃ i e
diskus	d i s k u s
dēl	d eː l
ekonomisku	e k o n o m i s k u
enkuru	e n k u r u
epizodēm	e p i z o d eː m
finišu	f i n i ʃ u
gleznā	ɡ l e z n ɑː
ievēroju	i e v eː r o j u
instinkts	i n s t i n k t s
jē	j eː
krustojumu	k r u s t o j u m u
kūst	k uː s t
linku	l i n k u
lnso	l n s o
look	l oː k
luis	l u i s
maltā	m ɑ l t ɑː
nepiemīt	n e p i e m iː t
nomirsti	n o m i r s t i
norīt	n o r iː t
nī	n iː
pilnību	p i l n iː b u
prezentēts	p r e z e n t eː t s
rūpju	r uː p j u
sezonās	s e z o n ɑː s
tibetu	t i b e t u
uzbūvētu	u z b uː v eː t u
vojevodiste	v o j e v o d i s t e
vēstījumu	v eː s t iː j u m u
yo	j o
bitu	b i t u
bundžu	b u n d͡ʒ u
bāc	b ɑː t͡s
devumu	d e v u m u
dzēš	d͡z eː ʃ
esp	e s p
four	f o u r
guvums	ɡ u v u m s
horhe	h o r h e
iemīļoto	i e m iː ʎ o t o
ievērību	i e v eː r iː b u
izbūvēts	i z b uː v eː t s
juriste	j u r i s t e
metīs	m e t iː s
miglu	m i ɡ l u
milzum	m i l z u m
mis	m i s
mērījumu	m eː r iː j u m u
mī	m iː
netrūks	n e t r uː k s
novāks	n o v ɑː k s
pekinu	p e k i n u
pets	p e t s
piespēle	p i e s p eː l e
pieņēmuši	p i e ɲ eː m u ʃ i
pingvīnu	p i n ɡ v iː n u
poniju	p o n i j u
prezidijs	p r e z i d i j s
punduris	p u n d u r i s
que	k e
queen	k w eː n
rose	r o s e
runcis	r u n t͡s i s
rīkojumus	r iː k o j u m u s
skūpsti	s k uː p s t i
soliste	s o l i s t e
sēdeklis	s eː d e k l i s
sī	s iː
teikuši	t e i k u ʃ i
under	u n d e r
uzminēt	u z m i n eː t
uzvilku	u z v i l k u
veto	v e t o
vēlāku	v eː l ɑː k u
vītolu	v iː t o l u
šokējoši	ʃ o k eː j o ʃ i
за	z a
blīvumu	b l iː v u m u
dekrētu	d e k r eː t u
eksportu	e k s p o r t u
elfu	e l f u
enerģisks	e n e r ɣ i s k s
gudrā	ɡ u d r ɑː
gulējusi	ɡ u l eː j u s i
gūts	ɡ uː t s
ieiešu	i e i e ʃ u
ievietojot	i e v i e t o j o t
interesētu	i n t e r e s eː t u
iznākuši	i z n ɑː k u ʃ i
konkurē	k o n k u r eː
mai	m ɑ i
menu	m e n u
mērījumi	m eː r iː j u m i
noliktu	n o l i k t u
nozime	n o z i m e
numur	n u m u r
omīte	o m iː t e
otri	o t r i
piemirsis	p i e m i r s i s
plecus	p l e t͡s u s
polimēru	p o l i m eː r u
pre	p r e
pretēju	p r e t eː j u
putinu	p u t i n u
rezervēm	r e z e r v eː m
serbu	s e r b u
spējusi	s p eː j u s i
spēlējusi	s p eː l eː j u s i
svešzemju	s v e ʃ z e m j u
sēdējis	s eː d eː j i s
sējums	s eː j u m s
sūknis	s uː k n i s
termiņus	t e r m i ɲ u s
tinti	t i n t i
trūkumus	t r uː k u m u s
uzbūvē	u z b uː v eː
ventu	v e n t u
vestes	v e s t e s
vērt	v eː r t
žetonu	ʒ e t o n u
bikšu	b i k ʃ u
blu	b l u
blīvs	b l iː v s
bodē	b o d eː
bortu	b o r t u
dižs	d i ʒ s
dzērveņu	d͡z eː r v e ɲ u
ekipējumu	e k i p eː j u m u
forum	f o r u m
grupējumi	ɡ r u p eː j u m i
helēnu	h e l eː n u
hipotēku	h i p o t eː k u
hits	h i t s
igoru	i ɡ o r u
inesi	i n e s i
izdzirdēju	i z d͡z i r d eː j u
izmērā	i z m eː r ɑː
loteriju	l o t e r i j u
lēcienu	l eː t͡s i e n u
minhenē	m i n h e n eː
mītni	m iː t n i
nēsmu	n eː s m u
nīn	n iː n
oglēm	o ɡ l eː m
piekritīšu	p i e k r i t iː ʃ u
pieminekļus	p i e m i n e k ʎ u s
polisi	p o l i s i
pīpēt	p iː p eː t
ri	r i
site	s i t e
skrējējs	s k r eː j eː j s
skrīveri	s k r iː v e r i
solu	s o l u
spoguļu	s p o ɡ u ʎ u
svētu	s v eː t u
sētu	s eː t u
tuneļi	t u n e ʎ i
tupeles	t u p e l e s
uzsūc	u z s uː t͡s
uzņēmis	u z ɲ eː m i s
vils	v i l s
čipsi	t͡ʃ i p s i
не	n ɛ
cilpu	t͡s i l p u
degu	d e ɡ u
demisiju	d e m i s i j u
desmitu	d e s m i t u
devums	d e v u m s
dzelteni	d͡z e l t e n i
enough	e n o u
erekciju	e r e k t͡s i j u
flirtēt	f l i r t eː t
grozījumu	ɡ r o z iː j u m u
grozīt	ɡ r o z iː t
gulēs	ɡ u l eː s
ieceri	i e t͡s e r i
iecienīto	i e t͡s i e n iː t o
iemiesojums	i e m i e s o j u m s
igo	i ɡ o
intrigu	i n t r i ɡ u
klīnisko	k l iː n i s k o
krūzi	k r uː z i
kurmis	k u r m i s
milu	m i l u
milzis	m i l z i s
momenti	m o m e n t i
momentus	m o m e n t u s
motīvus	m o t iː v u s
perspektīvu	p e r s p e k t iː v u
pieliek	p i e l i e k
pielietojumi	p i e l i e t o j u m i
postījumi	p o s t iː j u m i
return	r e t u r n
ričijs	r i t͡ʃ i j s
sek	s e k
shēmām	ʃ eː m ɑː m
slēptu	s l eː p t u
smuku	s m u k u
ve	v e
veikls	v e i k l s
violetu	v i o l e t u
vērsim	v eː r s i m
īstenību	iː s t e n iː b u
žestu	ʒ e s t u
ceļojumus	t͡s e ʎ o j u m u s
dzimušo	d͡z i m u ʃ o
frekvencē	f r e k v e n t͡s eː
hipotēze	h i p o t eː z e
ieslodzījumu	i e s l o d͡z iː j u m u
ingu	i n ɡ u
instruktori	i n s t r u k t o r i
iztur	i z t u r
koko	k o k o
krāj	k r ɑː j
lelb	l e l b
lēsts	l eː s t s
meitenītes	m e i t e n iː t e s
metējs	m e t eː j s
mio	m i o
neslikti	n e s l i k t i
nesēji	n e s eː j i
nino	n i n o
note	n o t e
novirzes	n o v i r z e s
pievienotu	p i e v i e n o t u
potītes	p o t iː t e s
princim	p r i n t͡s i m
profilus	p r o f i l u s
purvi	p u r v i
pūlī	p uː l iː
riteņus	r i t e ɲ u s
semestrī	s e m e s t r iː
siksnu	s i k s n u
slīpums	s l iː p u m s
solīto	s o l iː t o
south	s o u θ
spīdīgi	s p iː d iː ɡ i
sunīti	s u n iː t i
sveču	s v e t͡ʃ u
vestu	v e s t u
viltu	v i l t u
virvi	v i r v i
codex	k o d e k s
dzelmē	d͡z e l m eː
ekonomists	e k o n o m i s t s
evolūciju	e v o l uː t͡s i j u
homērs	h o m eː r s
ielicis	i e l i t͡s i s
ielido	i e l i d o
ietverti	i e t v e r t i
into	i n t o
ints	i n t s
izturēšu	i z t u r eː ʃ u
izvēlē	i z v eː l eː
juridisku	j u r i d i s k u
komponisti	k o m p o n i s t i
kredītus	k r e d iː t u s
krusttēvs	k r u s t t eː v s
kukurūzu	k u k u r uː z u
lēcu	l eː t͡s u
lūsis	l uː s i s
melus	m e l u s
musiqq	m u s i qː
nenoteiktu	n e n o t e i k t u
nepietiks	n e p i e t i k s
nesmuks	n e s m u k s
nokļuvusi	n o k ʎ u v u s i
nolicis	n o l i t͡s i s
nolikums	n o l i k u m s
pieminējis	p i e m i n eː j i s
pildīs	p i l d iː s
plēves	p l eː v e s
premjerministru	p r e m j e r m i n i s t r u
pulss	p u l sː
reljefu	r e l j e f u
sekmes	s e k m e s
sintēze	s i n t eː z e
spoguļi	s p o ɡ u ʎ i
sputnik	s p u t n i k
trust	t r u s t
tukšumu	t u k ʃ u m u
turbīnu	t u r b iː n u
velosipēdistu	v e l o s i p eː d i s t u
vie	v i e
zosu	z o s u
zu	z u
по	p ɔ
dziļo	d͡z i ʎ o
dzērve	d͡z eː r v e
elektriskie	e l e k t r i s k i e
espn	e s p n
gludu	ɡ l u d u
indīgs	i n d iː ɡ s
jūdze	j uː d͡z e
nepilnīgi	n e p i l n iː ɡ i
neste	n e s t e
nesīšu	n e s iː ʃ u
nokritīs	n o k r i t iː s
nosūtījis	n o s uː t iː j i s
piezīmi	p i e z iː m i
pole	p o l e
put	p u t
pī	p iː
rezervistu	r e z e r v i s t u
roņu	r o ɲ u
skeletu	s k e l e t u
spuldzes	s p u l d͡z e s
sūtnis	s uː t n i s
sūtījums	s uː t iː j u m s
ui	u i
veiksim	v e i k s i m
vīzu	v iː z u
zilumi	z i l u m i
bulduru	b u l d u r u
cenzūru	t͡s e n z uː r u
erik	e r i k
gūstekņus	ɡ uː s t e k ɲ u s
ietilpību	i e t i l p iː b u
ievēlēt	i e v eː l eː t
izejvielām	i z e j v i e l ɑː m
izlēmu	i z l eː m u
jogurtu	j o ɡ u r t u
kleins	k l e i n s
koksni	k o k s n i
kolekcijām	k o l e k t͡s i j ɑː m
kretīnu	k r e t iː n u
lentu	l e n t u
mezglus	m e z ɡ l u s
mitru	m i t r u
nikni	n i k n i
nolikumu	n o l i k u m u
nospēlē	n o s p eː l eː
oktobri	o k t o b r i
pelēm	p e l eː m
penis	p e n i s
piepildītu	p i e p i l d iː t u
pupus	p u p u s
pūļu	p uː ʎ u
seifs	s e i f s
sveši	s v e ʃ i
tusiņu	t u s i ɲ u
uzēst	u z eː s t
vilnu	v i l n u
vēršu	v eː r ʃ u
zemūdene	z e m uː d e n e
zīles	z iː l e s
žests	ʒ e s t s
api	ɑ p i
ball	b ɑ lː
būri	b uː r i
dikļu	d i k ʎ u
dēļu	d eː ʎ u
ekskluzīvs	e k s k l u z iː v s
interesēt	i n t e r e s eː t
izvēlēto	i z v eː l eː t o
juku	j u k u
kind	k i n d
konceptu	k o n t͡s e p t u
lūgusi	l uː ɡ u s i
miku	m i k u
mičels	m i t͡ʃ e l s
neuzkrītoši	n e u z k r iː t o ʃ i
noņems	n o ɲ e m s
omulīgi	o m u l iː ɡ i
origo	o r i ɡ o
pelēki	p e l eː k i
pīrss	p iː r sː
sekmēm	s e k m eː m
sinepju	s i n e p j u
svinēsim	s v i n eː s i m
sēdekli	s eː d e k l i
sērs	s eː r s
sīpolus	s iː p o l u s
tikumību	t i k u m iː b u
toru	t o r u
tusē	t u s eː
vienām	v i e n ɑː m
vikingi	v i k i n ɡ i
vērtēju	v eː r t eː j u
vīriņš	v iː r i ɲ ʃ
zolitūdē	z o l i t uː d eː
zīmulis	z iː m u l i s
šmēdiņš	ʃ m eː d i ɲ ʃ
cerīgi	t͡s e r iː ɡ i
defektu	d e f e k t u
dūšu	d uː ʃ u
eksperimentēt	e k s p e r i m e n t eː t
elvis	e l v i s
english	e n ɡ l i ʃ
fire	f i r e
flotei	f l o t e i
impulsus	i m p u l s u s
iznes	iˀ z n e s
izvirzīti	i z v i r z iː t i
kelvins	k e l v i n s
klinti	k l i n t i
klintīs	k l i n t iː s
kopienām	k o p i e n ɑː m
kīts	k iː t s
lietotie	l i e t o t i e
likumīgs	l i k u m iː ɡ s
likusi	l i k u s i
meet	m eː t
mit	m i t
neriskē	n e r i s k eː
neseno	n e s e n o
optiskās	o p t i s k ɑː s
pielikts	p i e l i k t s
piļu	p i ʎ u
pulkstenī	p u l k s t e n iː
pūst	p uː s t
rūc	r uː t͡s
spēcīgus	s p eː t͡s iː ɡ u s
stimulu	s t i m u l u
sētā	s eː t ɑː
tirdziņu	t i r d͡z i ɲ u
upurēt	u p u r eː t
vilkšu	v i l k ʃ u
villu	v i lː u
vērtīgo	v eː r t iː ɡ o
vērtīgus	v eː r t iː ɡ u s
vēsturiskie	v eː s t u r i s k i e
zināmie	z i n ɑː m i e
ērces	eː r t͡s e s
būts	b uː t s
donu	d o n u
dzenis	d͡z e n i s
flečers	f l e t͡ʃ e r s
frizieris	f r i z i e r i s
iekrist	i e k r i s t
ieviesīs	i e v i e s iː s
izlīgumu	i z l iː ɡ u m u
kenijs	k e n i j s
kristum	k r i s t u m
kritisks	k r i t i s k s
kritēriju	k r i t eː r i j u
krupis	k r u p i s
likteņi	l i k t e ɲ i
līmeņus	l iː m e ɲ u s
nesekmīgi	n e s e k m iː ɡ i
neturi	n e t u r i
neuzzināsim	n e u zː i n ɑː s i m
neņemt	n e ɲ e m t
niro	n i r o
nokritu	n o k r i t u
nopietno	n o p i e t n o
peso	p e s o
pirkts	p i r k t s
porto	p o r t o
portreti	p o r t r e t i
pretrunīgi	p r e t r u n iː ɡ i
reisus	r e i s u s
sie	s i e
spītīgi	s p iː t iː ɡ i
svece	s v e t͡s e
svilst	s v i l s t
sīkie	s iː k i e
tip	t i p
trip	t r i p
tušu	t u ʃ u
vienīgu	v i e n iː ɡ u
viru	v i r u
vējiņi	v eː j i ɲ i
vēlo	v eː l o
īstenotu	iː s t e n o t u
ņemsim	ɲ e m s i m
busu	b u s u
dzirdēto	d͡z i r d eː t o
eks	e k s
esf	e s f
gūsi	ɡ uː s i
institute	i n s t i t u t e
lietojumu	l i e t o j u m u
likmju	l i k m j u
limuzīns	l i m u z iː n s
mitsubishi	m i t s u b i ʃ i
mobīlo	m o b iː l o
mugurpuses	m u ɡ u r p u s e s
nekustīgi	n e k u s t iː ɡ i
noturētu	n o t u r eː t u
noņemtu	n o ɲ e m t u
okeāni	o k e ɑː n i
pudelītes	p u d e l iː t e s
regulēt	r e ɡ u l eː t
riskus	r i s k u s
rus	r u s
rīkle	r iː k l e
sekojošu	s e k o j o ʃ u
simbolisms	s i m b o l i s m s
slēdzeni	s l eː d͡z e n i
stiprinās	s t i p r i n ɑː s
stulbumu	s t u l b u m u
sīvā	s iː v ɑː
tet	t e t
tulko	t u l k o
urbis	u r b i s
urīns	u r iː n s
vergus	v e r ɡ u s
zemūdeņu	z e m uː d e ɲ u
zosis	z o s i s
īsteni	iː s t e n i
īstenojot	iː s t e n o j o t
šeihs	ʃ e i x s
dobumu	d o b u m u
drift	d r i f t
dziru	d͡z i r u
džezu	d͡ʒ e z u
elks	e l k s
emīlu	e m iː l u
feel	f eː l
fermentu	f e r m e n t u
flirtē	f l i r t eː
gudrus	ɡ u d r u s
jozefs	j o z e f s
kentuki	k e n t u k i
kokteiļus	k o k t e i ʎ u s
kritērijus	k r i t eː r i j u s
luisu	l u i s u
luīzi	l u iː z i
museum	m u s e u m
mīlulis	m iː l u l i s
nespēlēs	n e s p eː l eː s
nogāzi	n o ɡ ɑː z i
och	o x
oksīds	o k s iː d s
piemērojot	p i e m eː r o j o t
pingvīns	p i n ɡ v iː n s
potīti	p o t iː t i
rezervi	r e z e r v i
semestri	s e m e s t r i
senām	s e n ɑː m
svinu	s v i n u
sūkņi	s uː k ɲ i
topi	t o p i
turpu	t u r p u
vecrīgu	v e t͡s r iː ɡ u
virvju	v i r v j u
vēžu	v eː ʒ u
zēnus	z eː n u s
čečenu	t͡ʃ e t͡ʃ e n u
čukst	t͡ʃ u k s t
šurpu	ʃ u r p u
beks	b e k s
dižo	d i ʒ o
dī	d iː
future	f u t u r e
fāzi	f ɑː z i
globusu	ɡ l o b u s u
gūstekņu	ɡ uː s t e k ɲ u
hehe	h e h e
izlīst	i z l iː s t
jūtīgi	j uː t iː ɡ i
knābi	k n ɑː b i
kokles	k o k l e s
mikro	m i k r o
miltus	m i l t u s
muskulis	m u s k u l i s
neceļ	n e t͡s e ʎ
nopirks	n o p i r k s
ozoli	o z o l i
pirktu	p i r k t u
primitīvi	p r i m i t iː v i
pulciņu	p u l t͡s i ɲ u
reirs	r e i r s
riktīgs	r i k t iː ɡ s
room	r oː m
skeptiski	s k e p t i s k i
sējumus	s eː j u m u s
teo	t e o
trek	t r e k
triki	t r i k i
tēviņu	t eː v i ɲ u
uzcept	u z t͡s e p t
velosipēdi	v e l o s i p eː d i
vidēju	v i d eː j u
zīds	z iː d s
enkurs	e n k u r s
gi	ɡ i
gleznās	ɡ l e z n ɑː s
iecerējusi	i e t͡s e r eː j u s i
ieguvumi	i e ɡ u v u m i
impulsi	i m p u l s i
izlēmuši	i z l eː m u ʃ i
krāc	k r ɑː t͡s
līksmi	l iː k s m i
lūzumi	l uː z u m i
milimetru	m i l i m e t r u
minējis	m i n eː j i s
moro	m o r o
mutiski	m u t i s k i
mūziklu	m uː z i k l u
nejutu	n e j u t u
nemo	n e m o
nestu	n e s t u
nezināmi	n e z i n ɑː m i
nolēmuši	n o l eː m u ʃ i
ponijs	p o n i j s
por	p o r
pērli	p eː r l i
restēm	r e s t eː m
rip	r i p
rubenes	r u b e n e s
solījis	s o l iː j i s
spirtu	s p i r t u
spoki	s p o k i
stiprumu	s t i p r u m u
suņuks	s u ɲ u k s
sūkni	s uː k n i
tiksim	t i k s i m
trosi	t r o s i
tīši	t iː ʃ i
veru	v e r u
veselums	v e s e l u m s
virzīts	v i r z iː t s
ēnām	eː n ɑː m
buks	b u k s
buļļu	b u ʎː u
cerēts	t͡s e r eː t s
cīrulis	t͡s iː r u l i s
eiropieši	e i r o p i e ʃ i
funkcionēt	f u n k t͡s i o n eː t
izglītoti	i z ɡ l iː t o t i
izturīgu	i z t u r iː ɡ u
kopmītnēs	k o p m iː t n eː s
kristīnei	k r i s t iː n e i
krokodilu	k r o k o d i l u
likti	l i k t i
lipīdu	l i p iː d u
louis	l o u i s
maiņās	m ɑ i ɲ ɑː s
mežāzis	m e ʒ ɑː z i s
mir	m i r
molekulu	m o l e k u l u
monopolu	m o n o p o l u
mētelis	m eː t e l i s
nežēlību	n e ʒ eː l iː b u
nosūtīsim	n o s uː t iː s i m
pievienoto	p i e v i e n o t o
pīpē	p iː p eː
pūli	p uː l i
ruļļi	r u ʎː i
serdi	s e r d i
serveru	s e r v e r u
sitīs	s i t iː s
stērste	s t eː r s t e
stīvu	s t iː v u
sīkumus	s iː k u m u s
tikumu	t i k u m u
tiltiņu	t i l t i ɲ u
toksīni	t o k s iː n i
tuneļu	t u n e ʎ u
turki	t u r k i
tūrismu	t uː r i s m u
using	u s i n ɡ
uzvedās	u z v e d ɑː s
veltīto	v e l t iː t o
vests	v e s t s
vienīgs	v i e n iː ɡ s
brits	b r i t s
bļin	b ʎ i n
dino	d i n o
fāžu	f ɑː ʒ u
ieviesis	i e v i e s i s
izklīst	i z k l iː s t
izturētu	i z t u r eː t u
kurši	k u r ʃ i
leen	l eː n
meteorīts	m e t e o r iː t s
metodei	m e t o d e i
mirdzums	m i r d͡z u m s
mus	m u s
mīlējis	m iː l eː j i s
nelīst	n e l iː s t
nerīko	n e r iː k o
nitišs	n i t i ʃ s
noteiktus	n o t e i k t u s
noturību	n o t u r iː b u
omes	o m e s
pilnās	p i l n ɑː s
polis	p o l i s
pretrunu	p r e t r u n u
projektoru	p r o j e k t o r u
pudeļu	p u d e ʎ u
pusītes	p u s iː t e s
riko	r i k o
robin	r o b i n
rubīns	r u b iː n s
rētu	r eː t u
sintētisko	s i n t eː t i s k o
sists	s i s t s
spirts	s p i r t s
tech	t e x
vecenes	v e t͡s e n e s
virpulī	v i r p u l iː
vērsi	v eː r s i
vērību	v eː r iː b u
ērts	eː r t s
ēsmu	eː s m u
šķidrumi	ʃ t͡ʃ i d r u m i
celmu	t͡s e l m u
dirsu	d i r s u
ekipējums	e k i p eː j u m s
elektriski	e l e k t r i s k i
emisiju	e m i s i j u
fis	f i s
flīžu	f l iː ʒ u
ge	ɡ e
insults	i n s u l t s
izdzēri	i z d͡z eː r i
izvēlei	i z v eː l e i
kirils	k i r i l s
kol	k o l
konteineri	k o n t e i n e r i
lūgumus	l uː ɡ u m u s
lūšu	l uː ʃ u
māls	m ɑː l s
mēriju	m eː r i j u
mīluli	m iː l u l i
nlo	n l o
nopelnus	n o p e l n u s
noteikusi	n o t e i k u s i
novēlēt	n o v eː l eː t
novērotu	n o v eː r o t u
opā	o p ɑː
osi	o s i
pieminēti	p i e m i n eː t i
pieniņu	p i e n i ɲ u
pliks	p l i k s
plūdus	p l uː d u s
rīti	r iː t i
sergeju	s e r ɡ e j u
sfērās	s f eː r ɑː s
skeneri	s k e n e r i
skiču	s k i t͡ʃ u
skumsti	s k u m s t i
sēt	s eː t
uno	u n o
veiktspēju	v e i k t s p eː j u
vientuļu	v i e n t u ʎ u
vērtējot	v eː r t eː j o t
vērtēti	v eː r t eː t i
zudumi	z u d u m i
čiekuru	t͡ʃ i e k u r u
īsus	iː s u s
bleks	b l e k s
bums	b u m s
burvji	b u r v j i
empire	e m p i r e
entonijs	e n t o n i j s
fe	f e
fu	f u
fū	f uː
infekcijām	i n f e k t͡s i j ɑː m
izbūvēti	i z b uː v eː t i
izlīgt	i z l iː k t
jutīsi	j u t iː s i
koptu	k o p t u
korekciju	k o r e k t͡s i j u
kostīms	k o s t iː m s
krietns	k r i e t n s
kritīs	k r i t iː s
kurjeru	k u r j e r u
linkin	l i n k i n
lodēm	l o d eː m
lotus	l o t u s
mentoru	m e n t o r u
mesjē	m e s j eː
misē	m i s eː
monē	m o n eː
neveiksmju	n e v e i k s m j u
nomā	n o m ɑː
norij	n o r i j
nosit	n o s i t
noteiksim	n o t e i k s i m
novērtējot	n o v eː r t eː j o t
objektīvs	o b j e k t iː v s
olīvu	o l iː v u
order	o r d e r
pieslēgumu	p i e s l eː ɡ u m u
pikseļu	p i k s e ʎ u
pilīm	p i l iː m
pokeru	p o k e r u
prezidentūru	p r e z i d e n t uː r u
prombūtnē	p r o m b uː t n eː
promiļu	p r o m i ʎ u
pto	p t o
reku	r e k u
reps	r e p s
river	r i v e r
sekli	s e k l i
slēpēm	s l eː p eː m
tribīnes	t r i b iː n e s
uzliesmojumu	u z l i e s m o j u m u
veikums	v e i k u m s
veslijs	v e s l i j s
zeltiņu	z e l t i ɲ u
zudīs	z u d iː s
čīkstēt	t͡ʃ iː k s t eː t
īves	iː v e s
bell	b e lː
būvētu	b uː v eː t u
ceriņu	t͡s e r i ɲ u
ceļojis	t͡s e ʎ o j i s
ekspresis	e k s p r e s i s
elīnu	e l iː n u
hobits	h o b i t s
horoskopi	h o r o s k o p i
ikru	i k r u
izdzīvojušie	i z d͡z iː v o j u ʃ i e
izzudīs	i zː u d iː s
kompensēt	k o m p e n s eː t
kompleksus	k o m p l e k s u s
komunists	k o m u n i s t s
kontrolējot	k o n t r o l eː j o t
lekrings	l e k r i n ɡ s
lins	l i n s
lit	l i t
logotips	l o ɡ o t i p s
milimetri	m i l i m e t r i
netīru	n e t iː r u
novērojot	n o v eː r o j o t
okupēt	o k u p eː t
peter	p e t e r
preiļi	p r e i ʎ i
priekšpuses	p r i e k ʃ p u s e s
reno	r e n o
roses	r o s e s
secen	s e t͡s e n
segmentu	s e ɡ m e n t u
serums	s e r u m s
setu	s e t u
slīkst	s l iː k s t
stikli	s t i k l i
sūkņu	s uː k ɲ u
sūtītu	s uː t iː t u
triumfu	t r i u m f u
troļļi	t r o ʎː i
tviterī	t v i t e r iː
uzkrītoši	u z k r iː t o ʃ i
vē	v eː
čeks	t͡ʃ e k s
ļeņinu	ʎ e ɲ i n u
bobu	b o b u
burku	b u r k u
cirvis	t͡s i r v i s
defekti	d e f e k t i
degt	d e k t
diskutēs	d i s k u t eː s
estētiski	e s t eː t i s k i
fiksē	f i k s eː
grezns	ɡ r e z n s
horizontu	h o r i z o n t u
horoskopu	h o r o s k o p u
iezīmētu	i e z iː m eː t u
jumis	j u m i s
jurim	j u r i m
jūrām	j uː r ɑː m
komandējumā	k o m ɑ n d eː j u m ɑː
konteinerus	k o n t e i n e r u s
kotletes	k o t l e t e s
krekliņu	k r e k l i ɲ u
krists	k r i s t s
kruts	k r u t s
krēslus	k r eː s l u s
krītu	k r iː t u
kuro	k u r o
likumprojekti	l i k u m p r o j e k t i
lēcām	l eː t͡s ɑː m
merkele	m e r k e l e
metīšu	m e t iː ʃ u
mērīt	m eː r iː t
nebēdu	n e b eː d u
nekļūtu	n e k ʎ uː t u
nesis	n e s i s
neveiksmīgu	n e v e i k s m iː ɡ u
nišu	n i ʃ u
novāc	n o v ɑː t͡s
nīlu	n iː l u
piepūli	p i e p uː l i
pievilcīgu	p i e v i l t͡s iː ɡ u
pildi	p i l d i
pliki	p l i k i
plēš	p l eː ʃ
poļus	p o ʎ u s
prūšu	p r uː ʃ u
psiho	p s i h o
rezervēts	r e z e r v eː t s
robu	r o b u
self	s e l f
shēmā	ʃ eː m ɑː
skutelis	s k u t e l i s
sēļu	s eː ʎ u
sīkus	s iː k u s
tin	t i n
toč	t o t͡ʃ
tusēt	t u s eː t
tuvējo	t u v eː j o
vilcējs	v i l t͡s eː j s
vēlmei	v eː l m e i
ēzeļi	eː z e ʎ i
šoku	ʃ o k u
bāls	b ɑː l s
ciklus	t͡s i k l u s
disko	d i s k o
feini	f e i n i
fiksēto	f i k s eː t o
filozofiski	f i l o z o f i s k i
ierīkoti	i e r iː k o t i
ievirzi	i e v i r z i
keins	k e i n s
klubus	k l u b u s
komunisms	k o m u n i s m s
kristīts	k r i s t iː t s
krīžu	k r iː ʒ u
kursīšu	k u r s iː ʃ u
kūtī	k uː t iː
lēmusi	l eː m u s i
meit	m e i t
meklējis	m e k l eː j i s
meklēti	m e k l eː t i
minutes	m i n u t e s
mirs	m i r s
novilku	n o v i l k u
novērtējis	n o v eː r t eː j i s
ofisu	o f i s u
pikniku	p i k n i k u
policistus	p o l i t͡s i s t u s
restes	r e s t e s
rr	rː
rullis	r u lː i s
rīkojot	r iː k o j o t
she	ʃ e
simbolisku	s i m b o l i s k u
siržu	s i r ʒ u
slēpto	s l eː p t o
streiks	s t r e i k s
suite	s u i t e
svētnīcu	s v eː t n iː t͡s u
ubuntu	u b u n t u
