на	n a
костина	k ɔ s tʲ i n a
краз	k r a z
краснодарское	k r a s n ɔ d a r s k ɔ j ɛ
кремний	k rʲ ɛ m n i j
купала	k u p a ɮ a
кухонным	k u x ɔ n n i m
кэмп	k e m p
кэнди	k e n d i
ладога	l a d ɔ ɡ a
ларса	l a r s a
лошадку	l ɔ ɕ a d k u
магаданская	m a ɣ a d a n s k a j a
манас	m a n a s
мандарины	m a n d a r i n i
масть	m a s tʲ
медью	m ɛ d ɪ j u
мена	m ɛ n a
мерить	m ɛ r i tʲ
миски	m i s kʲ
мит	m i t
мише	m i ɕ ɛ
мучение	m u t͡ɕ ɛ n i j ɛ
мэг	m e ɡ
мясную	mʲ a s n u j u
наказана	n a k a z a n a
напора	n a p ɔ r a
нарядные	n a rʲ a d n i j ɛ
незнания	n ɛ z n a n i j a
нитку	n i t k u
областному	ɔ b l a s t n o m u
образное	ɔ b r a z n ɔ j ɛ
обратятся	ɔ b r a tʲ a tʲ sʲ a
опросах	ɔ p r ɔ s a x
отоплением	ɔ t ɔ p lʲ ɛ n i j ɛ m
планшете	p l a n ɕ ɛ tʲ ɛ
погонять	p ɔ ɡ ɔ nʲ a tʲ
подножку	p ɔ d n ɔ ʑ k u
полёте	p ɔ lʲ ɔ tʲ ɛ
помоему	p ɔ m ɔ j ɛ m u
порча	p ɔ r t͡ɕ a
посрать	p ɔ s r a tʲ
потапенко	p ɔ t a pʲ ɛ n k o
предают	p rʲ ɛ d a j u t
преп	p rʲ ɛ p
преследованием	p rʲ ɛ s lʲ ɛ d ɔ ʋ a n i j ɛ m
придуманы	p r i d u m a n i
прикрепления	p r i k rʲ ɛ p lʲ ɛ n i j a
примерным	p r i m ɛ r n i m
приморская	p r i m ɔ r s k a j a
приходской	p r i x ɔ d s k ɔ j
пришедшим	p r i ɕ ɛ d ɕ i m
пролезть	p r ɔ lʲ ɛ z tʲ
птаха	p t a x a
пуд	p u d
пума	p u m a
пустынях	p u s t i nʲ a x
пухлые	p u x ɮ i j ɛ
радиально	r a d i̯ aː lʲ n o
римлянам	r i m ɮʲ a n a m
рискую	r i s k u j u
роббинс	r ɔ b b i n s
рубку	r u b k u
рутина	r u tʲ i n a
сахару	s a x a r u
сбитых	s b i t i x
светланой	s ʋ ɛ t l a n ɔ j
свиная	s ʋ i n a j a
свитой	s ʋ i t ɔ j
сему	s ɛ m u
сеньоры	s ɛ n j ɔ r i
сигма	s i ɡ m ɑ
скатилась	s k a tʲ i ɮ a sʲ
скучную	s k u t͡ɕ n u j u
сложенные	s l ɔ ʑ ɛ n n i j ɛ
собеседником	s ɔ b ɛ s ɛ d n i k ɔ m
совершенными	s ɔ ʋ ɛ r ɕ ɛ n n i m i
соглашалась	s ɔ ɡ l a ɕ a ɮ a sʲ
соси	s ɔ s i
старухой	s t a r u x ɔ j
столбе	s t ɔ l bʲ ɛ
стрессе	s t rʲ ɛ s s ɛ
сырым	s i r i m
татарское	t a tʰ a r s k ɔ j ɛ
теб	tʲ ɛ b
торте	t ɔ r tʲ ɛ
тоскую	t ɔ s k u j u
транснефть	t r a n s nʲ ɛ f tʲ
тратите	t r a tʲ i tʲ ɛ
трогала	t r ɔ ɡ a l a
трудолюбия	t r u d ɔ lʲ u b i j a
тундра	t u n d r a
тупи	t u pʲ
тяну	tʲ a n u
уб	u b
угорь	u ɡ ɔ rʲ
укола	u k ɔ l a
униформы	u n i f ɔ r m i
уроку	u r ɔ k u
фано	f a n o
фишку	f i ɕ k u
фонтанке	f ɔ n t a ŋ kʲ ɛ
хаб	x a b
харальд	x a r a ɮʲ d
холостяка	x ɔ l ɔ s tʲ a k a
худеть	x u dʲ ɛ tʲ
человеко	t͡ɕ ɛ l ɔ ʋ ɛ k ɔ
чубайса	t͡ɕ u b ɛː s a
шумных	ɕ u m n i x
эзра	e z r a
юнус	j u n u s
юты	j u t i
язв	j a z ʋ
anime	a n i m e
august	a u ɡ u s t
born	b o r n
comes	k o m e s
flame	f l a m e
infinite	i n f i n i t e
marketing	m a r k e t i ŋ
nec	n e k
number	n u m b e r
passat	p a s a t
platinum	p l a t i n u m
qt	k u t
reader	r e a d e r
robot	r o b o t
september	s e p t e m b e r
shit	ʃ i t
solid	s o l i d
tree	t r e e
аграрным	a ɡ r a r n i m
афганские	a f ɡ a n s kʲ i j ɛ
бейсбола	b ɛ j s b ɔ l a
бенефис	b ɛ n ɛ f i s
бескорыстно	b ɛ s k ɔ r i s t n o
беспроводных	b ɛ s p r ɔ ʋ ɔ d n i x
босния	b ɔ s n i j a
братия	b r a tʲ i j a
бредни	b rʲ ɛ d n i
брошюре	b r ɔ ɕ j u rʲ ɛ
буг	b u ɡ
быдло	b i d l o
бэнд	b e n d
ватт	ʋ a tʰ
вим	ʋ i m
вини	ʋ i n i
вирусные	ʋ i r u s n i j ɛ
возбуждением	ʋ ɔ z b u ʑ d͡ʑ ɛ n i j ɛ m
возня	ʋ ɔ z nʲ a
возрождением	ʋ ɔ z r ɔ ʑ d͡ʑ ɛ n i j ɛ m
волнующие	ʋ ɔ l n u j u ɕ t͡ɕ i j ɛ
вселенской	ʋ s ɛ l ɛ n s k ɔ j
всероссийским	ʋ s ɛ r ɔ s s iː s k i m
всероссийскую	ʋ s ɛ r ɔ s s iː s k u j u
вызванным	ʋ i z ʋ a n n i m
выпадающих	ʋ i p a d a j u ɕ t͡ɕ i x
выписаны	ʋ i p i s a n i
высказаны	ʋ i s k a z a n i
высушить	ʋ i s u ɕ i tʲ
гада	ɡ a d a
газетная	ɡ a z ɛ t n a j a
гидры	ɡ i d r i
гофмана	ɡ ɔ f m a n a
дамба	d a m b a
дающее	d a j u ɕ t͡ɕ ɛ j ɛ
дез	d ɛ z
доведения	d ɔ ʋ ɛ d ɛ n i j a
дознание	d ɔ z n a n i j ɛ
дозой	d ɔ z ɔ j
драфт	d r a f t
енота	j ɛ n o t a
задумана	z a d u m a n a
замужняя	z a m u ʑ nʲ a j a
занесен	z a nʲ ɛ s ɛ n
зарю	z a rʲ u
засыпала	z a s i p a ɮ a
затопление	z a tʰ ɔ p lʲ ɛ n i j ɛ
земфиры	z ɛ m f i r i
зонтики	z ɔ n tʲ i kʲ i
изм	j i z m
карманам	k a r m a n a m
картофельные	k a r tʰ ɔ fʲ ɛ lʲ n i j ɛ
катанием	k a tʰ a n i j ɛ m
кидал	k i d a l
кидают	k i d a j u t
клитор	k l i t ɔ r
комом	k ɔ m ɔ m
коннора	k ɔ n n ɔ r a
конти	k ɔ n tʲ i
корзин	k ɔ r z i n
космо	k ɔ s m ɔ
крадет	k r a dʲ ɛ t
кришна	k r i ɕ n a
кухонные	k u x ɔ n n i j ɛ
ленине	l ɛ n i n ɛ
лиссабона	l i s s a b ɔ n a
логичнее	l ɔ ɡ i t͡ɕ n ɛ j ɛ
лото	l ɔ t ɔ
мамай	m a m ɛ
мангу	m a ŋ ɡ u
марсу	m a r s u
мах	m a x
мефодия	m ɛ f ɔ d i j a
мещане	m ɛ ɕ t͡ɕ a nʲ ɛ
микрофлоры	m i k r ɔ f l ɔ r i
мирона	m i r o n a
молодняка	m ɔ l ɔ d nʲ a k a
момо	m ɔ m ɔ
моряком	m ɔ rʲ a k ɔ m
мостика	m ɔ s tʲ i k a
мучил	m u t͡ɕ i l
надым	n a d i m
наказала	n a k a z a ɮ a
насолить	n a s ɔ l i tʲ
насосной	n a s ɔ s n ɔ j
нейрохирург	n ɛ j r ɔ x i r u r k
никакую	n i k a k u j u
нипочем	n i p ɔ t͡ɕ ɛ m
ноша	n ɔ ɕ a
нырнуть	n i r n u tʲ
огласить	ɔ ɡ l a s i tʲ
огорчать	ɔ ɡ ɔ r t͡ɕ a tʲ
олы	ɔ l i
опорах	ɔ p ɔ r a x
оптике	ɔ p tʲ i kʲ ɛ
оратора	ɔ r a tʰ ɔ r a
освоила	ɔ s ʋ ɔ j i l a
охуеть	ɔ x u j ɛ tʲ
парная	p a r n a j a
патологией	p a tʰ ɔ l ɔ ɡ i j ɛ j
пет	pʲ ɛ t
платными	p l a tʰ n i m i
погрузку	p ɔ ɡ r u z k u
подгот	p ɔ d ɡ ɔ t
пойдите	p ɔ j dʲ i tʲ ɛ
полено	p ɔ lʲ ɛ n o
полиграфии	p ɔ l i ɡ r a f i j
полмира	p ɔ l m i r a
полусотни	p ɔ l u s ɔ t n i
полька	p ɔ lʲ k a
помою	p ɔ m ɔ j u
попросим	p ɔ p r ɔ s i m
почтением	p ɔ t͡ɕ tʲ ɛ n i j ɛ m
поясню	p ɔ j a s nʲ u
престолу	p rʲ ɛ s t ɔ l u
прин	p r i n
прометея	p r ɔ mʲ ɛ tʲ ɛ j a
профессиям	p r ɔ fʲ ɛ s s i j a m
проходимость	p r ɔ x ɔ d i m ɔ s tʲ
пружина	p r u ʑ i n a
психоза	p s i x ɔ z a
пузо	p u z ɔ
путинской	p u tʲ i n s k ɔ j
пышная	p i ɕ n a j a
разыгралась	r a z i ɡ r a ɮ a sʲ
римини	r i m i n i
родин	r ɔ d i n
рустем	r u s tʲ ɛ m
самоходные	s a m ɔ x ɔ d n i j ɛ
светлова	s ʋ ɛ t l ɔ ʋ ɑ
сводились	s ʋ ɔ d i l i s ɪ
сены	s ɛ n i
синай	s i n ɛ
скалистых	s k a ɮ i s tʰ i x
слом	s l ɔ m
смолин	s m ɔ l i n
снабжена	s n a b ʑ ɛ n a
соединили	s ɔ j ɛ d i n i l i
сороса	s ɔ r ɔ s a
сотых	s ɔ t i x
створе	s t ʋ ɔ rʲ ɛ
сти	s tʲ i
танцующих	t a n t͡sʰ u j u ɕ t͡ɕ i x
тембр	tʲ ɛ m b r
технолога	tʲ ɛ x n ɔ l ɔ ɡ a
торца	t ɔ r t͡sʰ a
торчал	t ɔ r t͡ɕ a l
троян	t r ɔ j a n
трудна	t r u d n a
трюм	t rʲ u m
тунцом	t u n t͡sʰ ɔ m
тылы	t i l i
уместен	u mʲ ɛ s tʲ ɛ n
уникально	u n i k a lʲ n o
уорда	u o r d a
упорная	u p ɔ r n a j a
употребляю	u p ɔ t rʲ ɛ b lʲ a j u
утес	u tʲ ɛ s
уфас	u f a s
хаас	x aː s
холоп	x ɔ l ɔ p
чествование	t͡ɕ ɛ s t ʋ ɔ ʋ a n i j ɛ
чутко	t͡ɕ u t k o
шапок	ɕ a p ɔ k
эйнар	e i n a r
ярым	j a r i m
ёлку	j ɔ ɮ k u
books	b u k s
boxing	b o k s i ŋ
chan	t͡ʃ a n
diablo	d i a b l o
duo	d u o
echo	e t͡ʃ o
ein	e i n
even	e v e n
exit	e ɡ z i t
garros	ɡ a r o s
hunt	h u n t
ib	i b
killer	k i l ə r
klein	k l e i n
lincoln	l i n k o l n
machines	m a t͡ʃ i n e s
robotics	r o b o t i k s
tomb	t o m b
ut	u t
абая	a b a j a
ама	a m a
армада	a r m a d a
ату	a tʰ u
батыр	b a tʰ i r
башкирских	b a ɕ kʲ i r s kʲ i x
беларусью	b ɛ l a r u s ɪ j u
белее	b ɛ l ɛ j ɛ
бессовестно	b ɛ s s ɔ ʋ ɛ s t n o
боках	b ɔ k a x
брожение	b r ɔ ʑ ɛ n i j ɛ
вада	ʋ a d a
ваню	ʋ a nʲ u
ведре	ʋ ɛ d rʲ ɛ
весомые	ʋ ɛ s ɔ m i j ɛ
визирь	ʋ i z i rʲ
вику	ʋ i k u
витка	ʋ i t k a
возбужденных	ʋ ɔ z b u ʑ d͡ʑ ɛ n n i x
волоконно	ʋ ɔ l ɔ k ɔ n n o
вулкане	ʋ u l k a nʲ ɛ
вши	ʋ ɕ i
выезды	ʋ i j ɛ z d i
вырез	ʋ i rʲ ɛ z
выслушает	ʋ i s l u ɕ a j ɛ t
гавайских	ɡ a w ɛː s kʲ i x
галло	ɡ a ɮ ɮ o
галстуком	ɡ a ɮ s tʰ u k ɔ m
гбу	ɡ b u
гиз	ɡ i z
гниет	ɡ n i j ɛ t
говорящим	ɡ ɔ ʋ ɔ rʲ a ɕ t͡ɕ i m
готы	ɡ ɔ t i
данс	d a n s
дарование	d a r ɔ ʋ a n i j ɛ
довершение	d ɔ ʋ ɛ r ɕ ɛ n i j ɛ
дозаправки	d ɔ z a p r a w̜ kʲ i
донных	d ɔ n n i x
допросу	d ɔ p r ɔ s u
доспех	d ɔ s pʲ ɛ x
дразнит	d r a z n i t
дренаж	d rʲ ɛ n a ʒ
загробной	z a ɡ r ɔ b n ɔ j
зада	z a d a
зан	z a n
запустим	z a p u s tʲ i m
зеландию	z ɛ l a n d i j u
земские	z ɛ m s k i j ɛ
зловещее	z l ɔ ʋ ɛ ɕ t͡ɕ ɛ j ɛ
змз	z m ə z
идейные	i d ɛ j n i j ɛ
идущую	j i d u ɕ u j u
императрицу	i m pʲ ɛ r a tʰ r i t͡sʰ u
инес	i n ɛ s
интере	i n tʲ ɛ rʲ ɛ
иранским	i r a n s kʲ i m
иранское	i r a n s k ɔ j ɛ
ирландских	i r ɮ a n d s kʲ i x
искренних	i s k rʲ ɛ n n i x
каж	k a ʒ
кассет	k a s s ɛ t
каюсь	k a j u sʲ
кики	k i kʲ
китом	k i t ɔ m
коготь	k ɔ ɡ ɔ tʲ
кокос	k ɔ k ɔ s
коренная	k ɔ rʲ ɛ n n a j a
криминальную	k r i m i n a ɮʲ n u j u
криста	k r i s t a
крок	k r ɔ k
кроссу	k r ɔ s s u
ксенией	k s ɛ n i j ɛ j
кулинарной	k u ɮ i n a r n ɔ j
курением	k u rʲ ɛ n i j ɛ m
кэндис	k e n d i s
лаять	l a j a tʲ
лимузина	l i m u z i n a
лыжная	l i ʑ n a j a
магом	m a ɡ ɔ m
маяком	m a j a k ɔ m
мгтс	m ə ɡ t s
микеле	m i kʲ ɛ lʲ ɛ
мимика	m i m i k a
минусе	m i n u s ɛ
минутная	m i n u t n a j a
мудр	m u d r
мути	m u tʲ i
мха	m x a
набросал	n a b r ɔ s a l
надир	n a dʲ i r
нападет	n a p a dʲ ɛ t
наркомания	n a r k ɔ m a n i j a
недолгое	n ɛ d ɔ l ɡ ɔ j ɛ
незнакомом	n ɛ z n a k ɔ m ɔ m
оборонять	ɔ b ɔ r ɔ nʲ a tʲ
обрезания	ɔ b rʲ ɛ z a n i j a
огоньку	ɔ ɡ ɔ nʲ k u
одинокую	ɔ d i n o k u j u
одобрял	ɔ d ɔ b rʲ a l
окраинам	ɔ k r a j i n a m
олигархии	ɔ l i ɡ a r x i j
орск	ɔ r s k
осадил	ɔ s a dʲ i l
освятил	ɔ s ʋʲ a tʲ i l
отбросили	ɔ t b r ɔ s i l i
отн	o t ə n
относись	ɔ t n ɔ s i s ɪ
очернить	ɔ t͡ɕ ɛ r n i tʲ
паи	p a j
палаццо	p a ɮ a t͡sʰ ɔ
парадные	p a r a d n i j ɛ
побоялась	p ɔ b ɔ j a l a sʲ
подбил	p ɔ d b i l
подгрупп	p ɔ d ɡ r u p p
поддалась	p ɔ d d a ɮ a sʲ
подпускать	p ɔ d p u s k a tʲ
полимерные	p ɔ l i m ɛ r n i j ɛ
полоз	p ɔ l ɔ z
порезала	p ɔ rʲ ɛ z a l a
порнографию	p ɔ r n ɔ ɡ r a f i j u
последовательные	p ɔ s lʲ ɛ d ɔ ʋ a tʲ ɛ l ɪ n i j ɛ
пошире	p ɔ ɕ i rʲ ɛ
преданного	p rʲ ɛ d a n n o ɡ o
предложу	p rʲ ɛ d l ɔ ʑ u
пресекли	p rʲ ɛ s ɛ k l i
приграничные	p r i ɡ r a n i t͡ɕʰ n i j ɛ
пробуем	p r ɔ b u j ɛ m
продажные	p r ɔ d a ʑ n i j ɛ
продолжительная	p r ɔ d ɔ l ʑ i tʲ ɛ lʲ ɪ n a j a
пролетая	p r ɔ lʲ ɛ t a j a
промысле	p r ɔ m i s lʲ ɛ
прохлада	p r ɔ x ɮ a d a
психопат	p s i x ɔ p a t
пы	p i
радушно	r a d u ɕ n o
разработкам	r a z r a b ɔ tʰ k a m
разыграл	r a z i ɡ r a ɮ
расс	r a s
родс	r ɔ d s
рожают	r ɔ ʑ a j u t
роллс	r ɔ l l s
рунет	r u nʲ ɛ t
русалочка	r u s a ɮ ɔ t͡ɕʰ k a
свастику	s ʋ a s tʲ i k u
семенных	s ɛ m ɛ n n i x
сенсоры	s ɛ n s ɔ r i
симбирской	s i m b i r s k ɔ j
склеить	s k lʲ ɛ j i tʲ
сообщим	s oː b ɕ i m
софией	s ɔ f i j ɛ j
стояние	s t ɔ j a n i j ɛ
сундуке	s u n d u kʲ ɛ
сыгранных	s i ɡ r a n n i x
сэз	s e z
танцу	t a n t͡sʰ u
тат	t a t
террас	tʲ ɛ r r a s
убрано	u b r a n o
угасла	u ɣ a s ɮ a
угрожающие	u ɡ r ɔ ʑ a j u ɕ t͡ɕ i j ɛ
упразднения	u p r a z d nʲ ɛ n i j a
фао	f a o
флинта	f l i n t a
флорес	f l ɔ rʲ ɛ s
фостера	f ɔ s tʲ ɛ r a
холдер	x ɔ l dʲ ɛ r
холмом	x ɔ l m ɔ m
холост	x ɔ l ɔ s t
хомс	x ɔ m s
хранением	x r a nʲ ɛ n i j ɛ m
цахал	t͡sʰ a x a ɮ
цу	t͡sʰ u
чер	t͡ɕ ɛ r
чики	t͡ɕ i kʲ
шутеры	ɕ u tʲ ɛ r i
эмомали	e m ɔ m a l i
якунина	j a k u n i n a
aim	a i m
analysis	a n a l i s i s
bafta	b a f t a
bio	b i o
catch	k a t͡ʃ
don	d o n
eсли	e s l i
fucking	f u k i ŋ
hilton	h i l t o n
ips	i p s
mall	m ɑ l
maxim	m a k s i m
med	m e d
medal	m e d a l
multi	m u l t i
mundo	m u n d o
person	p e r s o n
raid	r a i d
sec	s e k
shift	ʃ i f t
suv	s u v
азотом	a z ɔ t ɔ m
амфибия	a m f i b i j a
апатия	a p a tʲ i j a
аск	a s k
бантом	b a n t ɔ m
барра	b a r r a
бедноты	b ɛ d n o t i
бедняка	b ɛ d nʲ a k a
безоружных	b ɛ z ɔ r u ʑ n i x
беспроводные	b ɛ s p r ɔ ʋ ɔ d n i j ɛ
бобу	b ɔ b u
брожу	b r ɔ ʑ u
брянском	b rʲ a n s k ɔ m
вадиму	ʋ a dʲ i m u
валялась	ʋ a ɮʲ a ɮ a sʲ
ведёшь	ʋ ɛ d j ɔ ɕ ɪ
везу	ʋ ɛ z u
венеру	ʋ ɛ n ɛ r u
версиями	ʋ ɛ r s i j a m i
верховья	ʋ ɛ r x ɔ ʋ ɪ j ɑ
верхушкой	ʋ ɛ r x u ɕ k ɔ j
веских	ʋ ɛ s k i x
вешалки	ʋ ɛ ɕ a l k i
виню	ʋ i n j u
виргиния	ʋ i r ɡ i n i j a
вис	ʋ i s
вишну	ʋ i ɕ n u
вожу	ʋ ɔ ʑ u
возмещению	ʋ ɔ z mʲ ɛ ɕ t͡ɕ ɛ n i j u
вологду	ʋ ɔ l ɔ ɡ d u
володи	ʋ ɔ l ɔ d i
врожденная	ʋ r ɔ ʑ d͡ʑ ɛ n n a j a
вручен	ʋ r u t͡ɕ ɛ n
вустер	ʋ u s tʲ ɛ r
гарнер	ɡ a r nʲ ɛ r
гербе	ɡ ɛ r b ɛ
гигиене	ɡ i ɡ i j ɛ n ɛ
гитар	ɡ i t a r
глыбы	ɡ l i b i
гнал	ɡ n a l
гоби	ɡ ɔ b i
гок	ɡ ɔ k
гоняют	ɡ ɔ nʲ a j u t
гордой	ɡ ɔ r d ɔ j
горды	ɡ ɔ r d i
госту	ɡ ɔ s t u
готика	ɡ ɔ tʲ i k a
грега	ɡ rʲ ɛ ɡ a
груда	ɡ r u d a
данией	d a n i j ɛ j
дарью	d a rʲ j u
дверных	d ʋ ɛ r n i x
деб	d ɛ b
дефо	d ɛ f ɔ
джихада	d͡ʑ i x a d a
дотянуть	d ɔ tʲ a n u tʲ
дохе	d ɔ xʲ ɛ
дуют	d u j u t
егеря	j ɛ ɡ ɛ r j ɑ
заз	z a z
затронут	z a tʰ r ɔ n u t
зрелым	z rʲ ɛ l i m
зто	z t ɔ
изгоем	j z ɡ ɔ j ɛ m
каску	k a s k u
киргиз	k i r ɡ i z
кислая	k i s l a j a
кладку	k l a d k u
книгопечатания	k n i ɡ ɔ pʲ ɛ t͡ɕ a t a n i j a
колет	k ɔ lʲ ɛ t
колокольню	k ɔ l ɔ k ɔ lʲ ɪ nʲ u
компенсируют	k ɔ m pʲ ɛ n s i r u j u t
кончая	k ɔ n t͡ɕ a j a
корка	k ɔ r k a
кормы	k ɔ r m i
крас	k r a s
крахом	k r a x ɔ m
криминалист	k r i m i n a l i s t
крута	k r u t a
кря	k rʲ a
кут	k u t
лернер	l ɛ r n ɛ r
лечебнице	l ɛ t͡ɕ ɛ b n i t͡sʲ ɛ
лиана	l i a n a
лимонной	l i m ɔ n n ɔ j
любопытным	lʲ u b ɔ p i t n i m
манежной	m a nʲ ɛ ʑ n ɔ j
мартышка	m a r tʰ i ɕ k a
маяки	m a j a kʲ
мембрана	m ɛ m b r a n a
мента	m ɛ n t a
мечел	m ɛ t͡ɕ ɛ l
минаж	m i n a ʒ
минску	m i n s k u
мишей	m i ɕ ɛ j
модуле	m ɔ d u lʲ ɛ
мохамед	m ɔ x a mʲ ɛ d
мысу	m i s u
наденет	n a dʲ ɛ n ɛ t
наложены	n a l ɔ ʑ ɛ n i
намедни	n a mʲ ɛ d n i
низка	n i z k a
нояб	n ɔ j a b
оборотная	ɔ b ɔ r o t n a j a
образным	ɔ b r a z n i m
обронил	ɔ b r ɔ n i l
объединяла	ɔ b j ɛ d i nʲ a l a
оглашение	ɔ ɡ l a ɕ ɛ n i j ɛ
огоньком	ɔ ɡ ɔ nʲ k ɔ m
озона	ɔ z ɔ n a
освобождая	ɔ s ʋ ɔ b ɔ ʑ d a j a
осудит	ɔ s u d i t
отвезу	ɔ t ʋ ɛ z u
отметкой	ɔ t mʲ ɛ t k ɔ j
оформила	ɔ f ɔ r m i l a
параграфа	p a r a ɡ r a f a
паркс	p a r k s
паролем	p a r ɔ lʲ ɛ m
паромы	p a r ɔ m i
пауз	p a u z
плоту	p l ɔ t u
побудь	p ɔ b u dʲ
повешен	p ɔ ʋ ɛ ɕ ɛ n
погребальных	p ɔ ɡ rʲ ɛ b a lʲ n i x
подорожание	p ɔ d ɔ r ɔ ʑ a n i j ɛ
подрезал	p ɔ d rʲ ɛ z a l
позабыли	p ɔ z a b i ɮ i
пок	p ɔ k
поломать	p ɔ l ɔ m a tʲ
получаемой	p ɔ l u t͡ɕ a j ɛ m ɔ j
получатся	p ɔ l u t͡ɕ a tʲ sʲ a
понта	p ɔ n t a
поруки	p ɔ r u kʲ
похождениях	p ɔ x ɔ ʑ d͡ʑ ɛ n i j a x
поющих	p ɔ j u ɕ t͡ɕ i x
прадеш	p r a dʲ ɛ ɕ
призмы	p r i z m i
примыкающих	p r i m i k a j u ɕ t͡ɕ i x
присвоением	p r i s ʋ ɔ j ɛ n i j ɛ m
присвоены	p r i s ʋ ɔ j ɛ n i
прислугу	p r i s l u ɡ u
приюты	p r i j u t i
продюсеру	p r ɔ d j u s ɛ r u
промокли	p r ɔ m ɔ k l i
прос	p r ɔ s
пускал	p u s k a l
рабыни	r a b i n i
радары	r a d a r i
размножению	r a z m n ɔ ʑ ɛ n i j u
разумными	r a z u m n i m i
рвоты	r ʋ ɔ t i
рвы	r ʋ i
родинка	r ɔ d i n k a
рсбу	r s b u
рукояти	r u k ɔ j a tʲ i
руп	r u p
рычит	r i t͡ɕ i t
рязанском	rʲ a z a n s k ɔ m
саранска	s a r a n s k a
сельсоветов	s ɛ l ɪ s ɔ ʋ ɛ t ɔ ʋ
семейно	s ɛ m ɛ j n o
сергее	s ɛ r ɡ ɛ j ɛ
ситком	s i t k ɔ m
скорбим	s k ɔ r b i m
скоты	s k ɔ t i
смутил	s m u tʲ i l
снип	s n i p
снятием	s nʲ a tʲ i j ɛ m
сове	s ɔ ʋʲ ɛ
сокр	s ɔ k r
сокровенные	s ɔ k r ɔ ʋ ɛ n n i j ɛ
сола	s ɔ l a
сонные	s ɔ n n i j ɛ
стрельб	s t rʲ ɛ lʲ ɪ b
субботним	s u b b ɔ t n i m
сумело	s u mʲ ɛ l o
сутра	s u t r a
сырость	s i r ɔ s tʲ
сэру	s e r u
тверже	t ʋ ɛ r ʑ ɛ
террасу	tʲ ɛ r r a s u
террору	tʲ ɛ r r ɔ r u
толика	t ɔ l i k a
трат	t r a t
тягость	tʲ a ɡ ɔ s tʲ
убьем	u b j ɛ m
угрожающих	u ɡ r ɔ ʑ a j u ɕ t͡ɕ i x
удрать	u d r a tʲ
укусит	u k u s i t
усвоение	u s ʋ ɔ j ɛ n i j ɛ
ускоряют	u s k ɔ rʲ a j u t
уютная	u j u t n a j a
финскую	f i n s k u j u
флору	f l ɔ r u
ханы	x a n i
хар	x a r
хитер	x i tʲ ɛ r
хлопают	x ɮ ɔ p a j u t
хохот	x ɔ x ɔ t
хронологию	x r ɔ n ɔ l ɔ ɡ i j u
чена	t͡ɕ ɛ n a
шен	ɕ ɛ n
шикарную	ɕ i k a r n u j u
шикарных	ɕ i k a r n i x
эльдара	e ɮʲ d a r a
южными	j u ʑ n i m i
юи	j u j
якин	j a k i n
яру	j a r u
alice	a l i t͡ʃ e
analytics	a n a l i t i k s
daddy	d a d i
desert	d e s e r t
hospital	h o s p i t a l
justice	ʒ u s t i t͡ʃ e
mio	m i o
monte	m o n t e
mu	m u
robert	r o b e r t
sat	s a t
seven	s e v e n
solo	s o l o
someone	s o m e o n e
ten	t e n
wait	w a i t
андерса	a n dʲ ɛ r s a
арманд	a r m a n d
армянским	a r mʲ a n s kʲ i m
баркер	b a r kʲ ɵ r
басы	b a s i
безграничной	b ɛ z ɡ r a n i t͡ɕʰ n ɔ j
безобидные	b ɛ z ɔ b i d n i j ɛ
безопасен	b ɛ z ɔ p a s ɛ n
безропотно	b ɛ z r ɔ p ɔ t n o
бензема	b ɛ n z ɛ m ɑ
божию	b ɔ ʑ i j u
бронзе	b r ɔ n z ɛ
бул	b u l
бурых	b u r i x
валенсией	ʋ a ɮʲ ɛ n s i j ɛ j
ветхом	ʋ ɛ t x ɔ m
владыкой	ʋ ɮ a d i k ɔ j
водоизмещением	ʋ ɔ d ɔ j i z mʲ ɛ ɕ t͡ɕ ɛ n i j ɛ m
возведено	ʋ ɔ z ʋ ɛ d ɛ n o
волоколамском	ʋ ɔ l ɔ k ɔ l a m s k ɔ m
вотум	ʋ ɔ t u m
врете	ʋ rʲ ɛ tʲ ɛ
выдры	ʋ i d r i
выездные	ʋ i j ɛ z d n i j ɛ
выполняющий	ʋ i p ɔ l nʲ a j u ɕ t͡ɕ iː
выхлопных	ʋ i x ɮ ɔ p n i x
выяснит	ʋ i j a s n i t
вэлли	ʋ e ɮ ɮ i
гене	ɡ ɛ n ɛ
гессе	ɡ ɛ s s ɛ
годных	ɡ ɔ d n i x
горожанин	ɡ ɔ r ɔ ʑ a n i n
госкино	ɡ ɔ s k i n o
грибной	ɡ r i b n ɔ j
гро	ɡ r ɔ
грозные	ɡ r ɔ z n i j ɛ
губин	ɡ u b i n
губку	ɡ u b k u
дари	d a rʲ
дафна	d a f n a
дворянские	d ʋ ɔ rʲ a n s k i j ɛ
диагональю	d i a ɡ ɔ n a ɮʲ j u
диссонанс	d i s s ɔ n a n s
домиком	d ɔ m i k ɔ m
дуры	d u r i
ебаная	j ɛ b a n a j a
жреца	ʒ rʲ ɛ t͡sʰ ɑ
звучанием	z ʋ u t͡ɕ a n i j ɛ m
зеркальных	z ɛ r k a lʲ n i x
играющая	i ɡ r a j u ɕ t͡ɕ a j a
иранскую	i r a n s k u j u
канн	k a n
клиническое	k l i n i t͡ɕ ɛ s k ɔ j ɛ
клубную	k l u b n u j u
комфорте	k ɔ m f ɔ r tʲ ɛ
